ParlaMint-FR_2019-11-13-O1066.u1	The next item is the discussion of the draft amending finance law for 2019 (No. 2400, 2404).
ParlaMint-FR_2019-11-13-O1066.u12	[[Smile]] As long as I'm here!
ParlaMint-FR_2019-11-13-O1066.u13	It remains that this PLFR valid for 2019 the commitments of the Government. I note two remarkable types of progress. The first is, of course, the absence of an advance order for the second consecutive year. Before 2018, it is necessary to go back to 1985, another century,...
ParlaMint-FR_2019-11-13-O1066.u14	It's not rejuvenating anyone!
ParlaMint-FR_2019-11-13-O1066.u15	...to find an exercise without a decree in advance. In my report you will find a graph summarizing the appropriations made available in this way since 1985. The absence of an advance order in 2018. In my view, insisting on this success is no exaggeration. Indeed, the advance decree undermines the budgetary authority to spend which, in essence, is limiting. It is, of course, regulated by the LOLF, but this procedure does not offer the same guarantees as those offered by the amending finance law. It is good practice for Parliament itself, ex ante, to allow the limits it has set to be derogated from. This success was accompanied, for the 2019 implementation, by the retention of 3% of the reserve rate for non-staff appropriations, which allows for greater accountability of managers, but requires more sincere programming and rigorous delivery. Some amendments dispute the very principle of this reservation. I would remind you that parliamentary authority is to set a ceiling on expenditure. Within this limit, the Government is free from the use of funds. It is not unusual for it to provide for a reserve to ensure the best possible management, just as it is normal for Parliament to ask about the use made of this reserve. We must not hide it, we have experienced periods when the budgetary authority was weakened twice in the year: for the first time in programming, by chronic sub-budgeting and by elements of insinuity, and then a second time in execution, by the opening of very large amounts of appropriations by decrees in advance that were themselves the result of the initial sub-budgetings. These were bad ways in Parliament. The management of the year 2019 and that of 2018 show that it is possible to carry out a budget execution that is more reasonable and more respectful of the rights of Parliament. But there is still room for progress, Minister, you recognize it yourself. The return to fully sincere budgeting is a process that cannot be achieved in two years, but it is well under way, and I welcome it. The PLFR seems to return to the vocation that the designers of the LOLF wanted to give it: it is limited to end-of-management operations and contains absolutely no new tax provisions. I welcome this good practice, the adoption of which has been demanded on many benches – I myself have made this request to the Government, as Gilles Carrez and Valérie Rabault did before me – and I hope it will continue. Indeed, over the years, the year-end fiscal collective had become a sort of catch-up FLP, containing tax measures that had often not been prepared or evaluated. As you can see this year, ladies and gentlemen, the examination of the PLFR takes place in a particularly tight sequence: the presentation of the text took place a week ago, the deadline for tabling the amendments was set for Saturday, their examination in committee took place yesterday, and the committee's report appeared in the night. It is therefore pleased that this LFRP does not contain any new tax measures, because we could not have calmly discussed them. I recall our proposal made in the context of the fact-finding mission on the implementation of the LOLF to restrict the scope of a type of ad hoc PLFR to end-of-management operations in order to provide an organic basis for this practice.
ParlaMint-FR_2019-11-13-O1066.u16	Here we go!
ParlaMint-FR_2019-11-13-O1066.u17	Parliamentary seriousness is therefore respected, and the original vocation of the PLFR is restored. Parliament must take part in this virtuous development, and assume that the purpose of this bill is to organize the end of the current year's management, and not to replicate the debate on the finance bill for the coming year. That is the position our committee adopted yesterday morning during the discussion of the text. I would add that the refocusing of the PLFR on its management end-of-management role involves promulgating it at the very beginning of December, in order to guarantee for this month the payment of public officials, whose pre-liquidation takes place at the beginning of the month. We must therefore adhere to collective discipline and reserve our tax amendments for discussion of the finance bill. I will therefore give an unfavorable opinion, together with a brief comment, on all the amendments which fall within the scope of the PLF and not the PLFR, because I consider them, in a way, by distinguishing between letter and spirit, as budgetary riders – they have, in fact, no direct connection with a provision of the original finance law. Do not see in this position any malice on my part. I note in passing that the package contains a large number of amendments already known, either that they have been seen in the first part or that they concern the second part and have been examined in committee. Some have even been adopted last year or in the first part. Others, dealing with the non-attached articles in Part Two, will be discussed in the session this afternoon, following consideration of the PLFR. In any event, I will present, as usual, a detailed argument on the amendments which are directly related to the text. [[Applause on the benches of the LR group. – Mr Charles de Courson and Mrs Valérie Rabault also applaud]] Allow me, Minister, nevertheless, to express a slight disappointment. While replacing pre-decrees with the early examination of a collective is a step forward in principle, it is not for this reason that the conditions of this review must deteriorate to the point where they are closer to those of the draft pre-decrees. While it is logical to examine the collective in a tighter time, given the narrow nature of its scope, it is essential that we be able to do so under satisfactory conditions, in order to analyse at least the possible issues involved in the implementation of the budget. As these remarks have been made, let us turn to the figures that the PLFR contains and the comments they call for. The forecasts on which it is based show an improvement over those of the initial finance law for 2019. As indicated in the introductory section of the bill, the government deficit is better than expected and stands at 3.1 per cent of gross domestic product – GDP – than the 3.2 per cent projected in the original finance law. Apart from the exceptional effect of the CICE's downward shift in social contributions, which has the effect of widening it to a level of 0.8 percentage points of GDP, the decline in the government deficit does indeed continue in 2019. The government's budget deficit is revised to €97.6 billion by the balancing article, an improvement of €10 billion compared to the original finance law, due to both better revenue and good control of government spending. The State's standard of pilotable expenditure would thus be under-implemented by EUR 1 billion in 2019 compared to the forecast of the original finance law. This under-execution is no surprise: it was announced at the time of the discussion of the 2019 finance bill to finance measures to promote household purchasing power. The bill begins with three sections with various resource adjustments. Article 1 thus amends the ceiling of the special tax portion on insurance agreements allocated to Housing Action, as well as that of the student and campus life contribution allocated to higher education institutions and CROUS, the regional centres for academic and academic works. Section 2 adjusts the revenue from the Special Duty Account – CAS – on radars, by reducing by $206.4 million the revenue that the account collects from unincreased fines. This amount goes mechanically to the Agence de financement des infrastructures de transport de France, AFITF, to which is attributed the balance of the proceeds of these fines. Article 3 adjusts the revenues of the "Energy Transition" CAS and reassigns to the general budget of the State a fraction, equal to EUR 529.6 million, of the proceeds of the internal consumption tax on energy products, the TICEP, initially allocated to the account. Articles 5, 6 and 7 provide for the opening and cancellation of appropriations relating respectively to the general budget, the supplementary budgets and the special accounts, as compiled to form Article 4 of the balance. From the general budget, cancellations would amount to €4.3 billion, of which €1.6 billion would be from the State's debt burden. The openings would be EUR 2.8 billion, the average level of openings observed in recent years. Articles 8 and 9 adjust to the margin, for 2019, the ceilings for government employment authorizations by ministries and the ceilings for the employment authorizations of state operators by mission and programme. [[Applause on the benches of the LaREM group. – Mr Fabien Lainé also applauds]] The committee passed the amending finance bill for 2019 without amendment.
ParlaMint-FR_2019-11-13-O1066.u18	The president of the Committee on Finance, the General Economy and Budgetary Control has the floor for five minutes.
ParlaMint-FR_2019-11-13-O1066.u19	He'd have to double it!
ParlaMint-FR_2019-11-13-O1066.u20	For the second year in a row, the Government has tabled a short amending finance bill – only ten articles – that does not include any tax measures, as you have pointed out, minister, rapporteur-general. In principle, these two elements are likely to make our discussions both more effective and more consistent with those of the finance bill for the coming year. Of course, I agree and therefore welcome this approach. However, I am less convinced by the content of this PLFR, and I find that, in a way, the party is ruined because of the method used. Each year, review times are a little shorter. The rapporteur-general has stressed this, not without irritation: last Thursday, the text came to us two and a half hours before your hearing, Minister!
ParlaMint-FR_2019-11-13-O1066.u21	Scandalous!
ParlaMint-FR_2019-11-13-O1066.u22	Your attitude is contradictory: on the one hand, you claim to want to respect parliamentary authorization by giving up the practice of pre-order orders, which is indeed a good thing, and, on the other hand, you give Parliament a very short time to approve the law to correct the implementation of the budget. In this regard, the situation is even worse than last year!
ParlaMint-FR_2019-11-13-O1066.u23	It's getting worse and worse!
ParlaMint-FR_2019-11-13-O1066.u24	You are presenting this PLFR for 2019 as a text of limited scope, whose examination would take a little time, but it is up to Parliament to decide! I hope that next year we can have one or two more days to work. As for the substance, it seems to me important to detach ourselves from certain optical effects. First of all, while government spending is much lower than initial programming by €1.5 billion, it is mostly €7 billion higher than in 2018. In short, the Government reduces the expenditure while increasing it! Then, thanks to the increase in tax revenues and the good maintenance of ancillary budgets and special accounts, you have a deficit, it is true, in improvement of 10 billion euros compared to the forecast: 97.6 billion, compared to 107.6 billion. I understand that the difference of 21.6 billion compared to 2018 is due to the effect of the CICE, but I note that the same 97.6 billion is already a stall of 1.3 billion compared to what you announced at the end of September, when the finance bill was introduced for 2020 – it's not far back! With an updated forecast in an updated forecast, the government's budgetary balance is deteriorating... Moreover, despite proper expenditure management and good revenue surprises – which is more so when low rates bring us a lot of oxygen – this PLFR maintains, for 2019, the same target of depreciation and debt issuance. In short, the text devotes your renunciation to reducing public debt!
ParlaMint-FR_2019-11-13-O1066.u25	That's right!
ParlaMint-FR_2019-11-13-O1066.u26	Once again, I note in both the forecasts and in the achievements the absence of any structural effort on the part of the Government, which the Court of Auditors and the High Council for Public Finance consistently denounce. The risk is that our country will be caught up with the European patrol, but that is not the most serious, because it is obviously not only because of the European gendarmerie that our countries are seeking to reduce their structural deficit. We need to reduce it for ourselves! [[Smile]] You are also down on the number of public servants: it is up 58 FTEs – full-time equivalents worked – due to the 294 FTEs increase in the department's employment ceiling and the 236 FTEs reduction in the operator's. Of course, this is not much and your explanations are detailed in the budget documents, but we see, once again, the abandonment of the objective set by the President of the Republic. To reduce the number of public servants in the proportions announced, it will take three centuries! Has the President of the Republic provided for such a term of office?
ParlaMint-FR_2019-11-13-O1066.u27	Mr. Darmanin won't be a minister anymore!
ParlaMint-FR_2019-11-13-O1066.u28	As far as I'm concerned, I'll probably have stopped sitting in the National Assembly by then!
ParlaMint-FR_2019-11-13-O1066.u29	Probably?
ParlaMint-FR_2019-11-13-O1066.u30	Probably, yes, because you never know what the future is about! I would like to ask you a question about resources and a question about expenses, minister. With regard to defence appropriations and external operations, the OPEXs, you had set aside EUR 1 billion in the budget – an effort of sincerity! – and there have been €400 million in overexpenditure, of which €200 million is covered by new appropriations within the Defence Mission. What about the remaining 200 million? I imagine you'll see them during the year by lifting the credit freeze. As for the defence's "budget crunch", do the remaining payments still amount to around 50 billion euros? Don't you stress it by opening up an additional EUR 12 billion in management on force equipment, a considerable increase in commitment authorisations? What is the meaning of these writing games? Finally, the proceeds of donations are being revised upwards, such as that of estates. You had indeed told us about a reform in this direction. This is certainly a tax reform, but could you please specify the timetable? [[Applause on the benches of the LR group. – Mr. Charles de Courson also applauds]] In conclusion, we reach half the mandate and your budgetary prospects are only half sincere and only half sustainable.
ParlaMint-FR_2019-11-13-O1066.u31	I have received a motion from Ms. Valérie Rabault and members of the Socialists and Related Group to reject in advance pursuant to Rule 91(5) of the Rules of Procedure. Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-11-13-O1066.u32	The motion of rejection tabled today by the members of the Socialist and Related Group is based on seven reasons, which I will present to you. The first was mentioned by the rapporteur-general. It is not the main one, but it still counts: it concerns, Mr.Minister, the timing imposed by the Government. [[Applause on the benches of the LR group. – Mr. Charles de Courson also applauds]] We know that the autumn budget is a race against the clock because of the constitutional deadlines, but these constraints do not mean that we should squander the amending finance bill. [[Rites and exclamations on the banks of the LR group]] Now, Prime Minister... Minister, I meant.
ParlaMint-FR_2019-11-13-O1066.u33	[[Smile]] Revealing lapsus!
ParlaMint-FR_2019-11-13-O1066.u34	However, Minister, you introduced the 2019 Finance Amendment Bill last Thursday at 5 p.m. The deadline for tabling amendments for the sitting was set at 5 p.m. on Saturday, the same day as the tabling of amendments on the non-attached articles of the Finance Bill for 2020.
ParlaMint-FR_2019-11-13-O1066.u35	It's not serious!
ParlaMint-FR_2019-11-13-O1066.u36	In short, we had 48 hours to study the revised state budget, which amounts to EUR 474 billion: that is almost 10 billion per hour and 164 million per minute. You will agree, minister, it's not serious. You cannot ask parliamentarians to look at 164 million euros in appropriations per minute! Second reason: the Government's lack of a credible response to the European Commission. I am the first to say that we are not in Brussels, but I am also the first to say, when we make commitments to our European partners,...
ParlaMint-FR_2019-11-13-O1066.u37	We have to hold them! All right!
ParlaMint-FR_2019-11-13-O1066.u38	[[Applause on the benches of the LR and LT groups]] ...that we must do everything we can to respect them, otherwise we de-credible ourselves politically. This is what is happening for the President of the Republic, and therefore for France, on the European stage. On 22 October, the European Commission wrote to the Government requesting clarification on the structural efforts it intends to implement. In this letter, it is stated: "This information will allow us to determine whether there is a significant risk of deviation from the recommended budgetary adjustment for the year 2020 and for the years 2019 and 2020 taken as a whole. » To this letter, your colleague Bruno Le Maire, Minister for Economic Affairs and Finance, replied on 23 October, but did not focus his answer on the structural effort at the heart of the Commission's question. It is to be feared, Mr Minister, that France will again be subject to the excessive deficit procedure under the preventive part of the Treaty on the Functioning of the European Union. The third reason is that the public deficit is going up again for the first time since 2010, without this being translated into improvements for our fellow citizens, at least for the least advantaged of them. I am well aware that, in a context of low or even negative interest rates, the question of France's deficit is no longer of great interest to the world. Negative rates lead to a situation in which you get paid to borrow! But to govern, Minister, is also to foresee. In the event of a reversal of rates, which is a realistic prospect, France would find itself in a dangerous situation given its level of debt. On the other hand, one can legitimately question the nature of the investment: borrowing to invest in hospitals or infrastructure is a matter of economic common sense; borrowing because the government's revenues have been deliberately reduced by removing the ISF and creating the flat tax,...
ParlaMint-FR_2019-11-13-O1066.u39	That's not what we do!
ParlaMint-FR_2019-11-13-O1066.u40	On the contrary, it is economic nonsense! This measure has had no macroeconomic impact on our economy, as evidenced by the drop in the rate of growth since 2017. The government deficit is therefore going up again: it is a first since 2010. It could be expected, but it was not expected to again exceed the 3% of GDP mark. This situation is also due to the transformation of the CICE into a drop in charges, I did not disknow it, but the threshold is indeed crossed. Fourth reason: the level of cancellations of appropriations at the end of management. You have reminded him, minister: since your appointment, you have praised yourself for never having made pre-orders, a sign in your opinion of good management, or at least a good forecast. It is true that you have not used it since 2017 but, in return, you use the end-of-year PLFR as a broom car.
ParlaMint-FR_2019-11-13-O1066.u41	That's right!
ParlaMint-FR_2019-11-13-O1066.u42	This is not shocking, and all governments have done so. However, I would like to read to you what the rapporteur-general writes on page 26 of his report: "a relatively high level of cancellations [of appropriations]", he says. After reading the table, we realize that the amount of cancellations of end-of-year appropriations, amounting to €4.3 billion, has been the highest in twelve years, except for 2009 – the year of crisis – and 2013 – the year of budgetary consolidation. Of course, some of these cancellations are the result of savings of finding linked to the evolution of the interest charge:...
ParlaMint-FR_2019-11-13-O1066.u43	To the tune of 4 billion euros!
ParlaMint-FR_2019-11-13-O1066.u44	... as interest rates have fallen, the cost of debt was lower in 2019 than expected in the original finance law. If we withdraw these savings of finding due to the fall in interest rates...
ParlaMint-FR_2019-11-13-O1066.u45	There's not much left!
ParlaMint-FR_2019-11-13-O1066.u46	Yes, my dear colleague, since the amount of cancellations is still EUR 2.7 billion, that is to say, in the upper range with regard to cancellations carried out in previous years. In short, Minister, you do not make an order-in-council, which allows you to communicate skilfully – I recognize you here – about the quality of your forecasts, but at the end of the year, you cancel credits for some of the highest amounts in recent years. Cancelling credits at the end of the year is a form of lie in relation to the original finance law.
ParlaMint-FR_2019-11-13-O1066.u47	Exactly!
ParlaMint-FR_2019-11-13-O1066.u48	You make it appear to your majority, who passed this law, that you are devoting the amount of money that it has provided to the various missions, whereas in reality, the level achieved is sometimes much lower than what has been voted. Minister, all governments have done this. But in this PLFR, the extent of cancellations is significant.
ParlaMint-FR_2019-11-13-O1066.u49	We saw him again yesterday during the examination of the mission "Culture"!
ParlaMint-FR_2019-11-13-O1066.u50	Let us first take the example of the "Official Development Assistance" mission: you are removing €302 million from commitment authorisations. We have come to wonder about the sincerity of the President of the Republic when he promises that France will raise its official development assistance to 0.5 per cent of gross national income by 2022. Secondly, with regard to the Defence Mission, you are canceling €1.4 billion of commitment authorizations, while external operations are not fully funded and the renewal of military equipment has fallen behind. [[Claims on several banks of the LaREM Group]] Similarly, in the mission "Sustainable Ecology, Development and Mobility", you are deleting €212 million of payment appropriations, notably on the "Risk prevention" programme, while the fire at the Lubrizol plant in Rouen has shown the weakness of the State's resources for preventing industrial risks.
ParlaMint-FR_2019-11-13-O1066.u51	You didn't follow the debates in committee!
ParlaMint-FR_2019-11-13-O1066.u52	With regard to the overseas mission, you are using the same dexterity as the strategy of the double speech: you say you are very committed to the ultramarine economy and, at the same time, you are abolishing 176 million euros of payment appropriations, allegedly because of "the decrease in the appropriations needed for certain projects financed by the programme". This is the contradiction: you say you cancel the credits because they are not consumed and, at the same time, you encourage the administrations not to consume the credits allocated to them in the original finance law.
ParlaMint-FR_2019-11-13-O1066.u53	CQFD!
ParlaMint-FR_2019-11-13-O1066.u54	Another example is the 40 million amputees for the Culture mission. There is a certain hypocrisy to display in this way in the law of initial finance appropriations in increase before making cuts in law of amending finances. The "Justice" mission? You cancel 118 million euros in credits! You explain this in part by the delay encountered in some real estate projects. But what are these plans? Are these the prisons your government committed to building? What are the reasons for these delays? Again, there is no response in the amending finance bill. [[Protests on many benches of the LaREM group]] And with regard to the "Research and Higher Education" mission, it is very serious, Minister: you cancel €323 million in appropriations, compared to €11 million in 2016 and €100,000 in 2017. The cancellations you ask are incomprehensible and unacceptable at the time a student tried to end his or her life
ParlaMint-FR_2019-11-13-O1066.u55	She's right!
ParlaMint-FR_2019-11-13-O1066.u56	It is not honorable to make such a statement!
ParlaMint-FR_2019-11-13-O1066.u57	...to alert the public to the precariousness of students. Delete a dozen million, or 100,000 euros as in 2017, we might have admitted, but not 323 million euros! Ladies and gentlemen of the majority, do not accept this cut in credits! You just have to adopt an amendment to that effect.
ParlaMint-FR_2019-11-13-O1066.u58	You're decredivizing yourself!
ParlaMint-FR_2019-11-13-O1066.u59	Fifth reason: weak state investment weakens our response to the environmental emergency. If public investment continues, it is only through local authorities. In 2018, they invested €46.3 billion, representing 2% of GDP; On the other hand, investment by the state and various central government agencies – the ODACs – continues to decline as a proportion of GDP. This development is not desirable, especially with regard to energy transition issues. In his recent interview with The Economist, the President of the Republic pleads for "more expansionism", "more investment". He's absolutely right. But before asking others, we should set an example. However, with regard to transport, the State's investment in this draft amending finance law is down by more than EUR 100 million in payment appropriations, while CO emissions from transport continue to increase. As far as housing is concerned, nothing is put in place to absorb the seven million heat sinks, while this would have a threefold advantage: to lower the energy bill of households – to the tune of 500 euros on an annual average –, to reduce CO emissions and to support the activity of the building. Sixth reason: the widening of the territorial divide. Next Saturday will mark the first anniversary of the yellow vest movement. This movement, as we know, has evolved over time. But it was born from the territorial divide, because the French, depending on where they live, are not all treated in the same way.
ParlaMint-FR_2019-11-13-O1066.u60	That's right!
ParlaMint-FR_2019-11-13-O1066.u61	Remember, minister, we had alerted you: at the second sitting of Wednesday, October 17, 2018, I had put before the Minister of Economy and Finance the reality of the energy tax increases you had planned. When Bruno Le Maire asked me where I came from the figure I quoted, I had only to answer him: "I add up the additional amounts paid each year! » In fact, we put before you the magnitude of the increases – we had even put on-line a simulator of purchasing power, which everyone can always consult at the address: the socialists.fr/simulator; and yet you and your majority had decided to persist. You've been caught up in the yellow vest movement, but the most serious thing is that our entire country has been weakened. If I remind you today, it is because the risk of a territorial divide continues to grow: it is the same departments that will both undergo the reform of unemployment insurance, benefit least from the improvement of purchasing power brought about by the reduction of income tax and the abolition of the housing tax, the same departments that are weakened by the decline in public services.
ParlaMint-FR_2019-11-13-O1066.u62	Exactly!
ParlaMint-FR_2019-11-13-O1066.u63	The "less" of your policy always focus on the same territories, the "more" always on the same ones. Thus, in a department I know well, the Tarn-et-Garonne, where there is no public transport,...
ParlaMint-FR_2019-11-13-O1066.u64	All right?
ParlaMint-FR_2019-11-13-O1066.u65	... the increase in energy taxes cost residents an average of 240 euros in 2018 and the same amount in 2019. Since you came to the responsibilities, the Tarn-et-Garonnais have therefore paid 480 euros for more energy taxes, which amounts to 480 euros of less purchasing power – not to mention, and fortunately, the four increases that you had planned to apply afterwards. With regard to the housing tax, 17% of the least wealthy households – less than 900 euros per month – in Tarn-et-Garonne, or 23437 in total, do not pay this tax and will not benefit from its abolition. They won't have one more euro in purchasing power. The national average is 12%: you see that the Tarn-et-Garonne department is penalized: the purchasing power of its inhabitants is not affected in the same way by your reform. And the same is true in your department, Minister, where 16.7% of households do not pay the housing tax, and therefore will not have a single euro of purchasing power in addition. I could do the same with income tax or with the reform of unemployment insurance. [[Applause on the SOC and GDR benches]] Last reason: the oblivion of the poorest French. The Institut national de la statistique et des études économiques published last month its latest figures on poverty and inequality in France: compared to 2017, it notes that an additional 400,000 people are in poverty, an increase of 4.5%. According to INSEE, this increase "would be due in part to the decrease in housing allowances in HLM Park in 2018." Everything is said, minister: you bear a share of responsibility for increasing poverty, because of the policies that you and your colleagues have been leading since 2017 and that we will continue to fight.
ParlaMint-FR_2019-11-13-O1066.u66	The Minister has the floor.
ParlaMint-FR_2019-11-13-O1066.u67	[[Exclaims on the benches of the LR and SOC groups]] I quickly pass on the link that you have established, Madam Member, between certain cancellations of credits and the unfortunate death of this young student. We know you too well to doubt that these words have far exceeded your mind – at least I hope so.
ParlaMint-FR_2019-11-13-O1066.u68	No, his words were clear and very structured!
ParlaMint-FR_2019-11-13-O1066.u69	But what amazes me most, on the part of a former rapporteur-general of the budget, is the approximations or even the obvious misconceptions that you have made. It is all the more true that I have brought all the answers in committee – it is true that I have not seen you there. Thus, you link the cancellations of appropriations on the "Risk prevention" programme of the mission "Sustainable ecology, development and mobility" with what happened in Rouen, but if you had come to the Finance Committee – as a former rapporteur-general, you know how important his work is and how serious the ministers of public accounts answer his legitimate questions – you would have learned that these cancellations of appropriations concern the building Le Signal, in Gironde, and have nothing to do with Rouen or the prevention of industrial risks.
ParlaMint-FR_2019-11-13-O1066.u70	All you had to do was transfer them instead of cancel them!
ParlaMint-FR_2019-11-13-O1066.u71	[[Exclaims on the benches of the LR and SOC groups]] I have listened to you with great attention, Member, now suffer that I can answer you. Let me therefore provide you with some information by simply repeating what I said in the Finance Committee: the appropriations you are talking about are going to be cancelled because the dispute with the co-owners of the Le Signal building – threatened by coastal erosion and whose inhabitants had to be evacuated – has finally been resolved thanks to an amendment by Girondin Benoit Simian and several of his colleagues. This has nothing to do, I repeat, with Rouen and the prevention of industrial risks; You compare the incomparable. You point out that the deficit is rising again, for the first time in ten years. Such a lack of sincerity in the speech has something to leave us coi! You know very well, indeed, that without the "return effect" of the CICE, which represents 0.9 percentage points, our country would have a deficit of 2.2 or 2.3%, i.e. 1.3 percentage points less than the one you left us!
ParlaMint-FR_2019-11-13-O1066.u72	You can't say that, with the economic situation you're enjoying!
ParlaMint-FR_2019-11-13-O1066.u73	Yes, I do! That's the reality!
