ParlaMint-FR_2019-03-13-O1176.u1	The meeting was suspended.
ParlaMint-FR_2019-03-13-O1176.u12	...even though this institution is the pride of our country. Indeed, far from being an investment fund, it is a public service in charge of protecting the savings of the French. However, through this bill, the role of the Caisse des dépôts is being misappropriated. Today, parliamentarians serving on the supervisory committee are working to protect the savings funds of the French. It is clear that, tomorrow, members appointed by the Minister of Economy will not have the same concern to ensure the general interest. By doing so, you knowingly bring the composition and prerogatives of its supervisory board closer to those of an ordinary board of directors. At the same time, under cover of grooming and clarification provisions relating to the governance of La Poste, your government aims to allow the Caisse des dépôts to take control of La Poste while approaching the operator CNP Assurances. It is a very skilful way for the State to turn away from the majority shareholding of La Poste and thus prepare for the privatisation of La Poste. This rapprochement has implications for the nature of the functions of the Caisse des dépôts, which will now be at the head of a conglomerate with multiple and diverse activities. These upheavals do not occur without reason. With the CDC subjecting itself to the supervision of the Supervisory and Resolution Authority – the ACPR – provided for in the draft law, it is to be expected that this powerful group made up of the CDC, the Postal Bank, the CNP and Bpifrance will pass, with its 1000 billion balance sheet, under the direct control of the European Central Bank, like other European systemic banking groups. Therefore, how can this restructuring of public financial institutions not be seen as an important step in the French State's new submission to capital and financial markets? In our view, on the contrary, there is an urgent need to create a public financial hub that is inclined to solve the economic, social and ecological problems that our country is going through. Faithful, truly faithful, you are also true to Ronald Reagan's maxim, which claims that "the state is not the solution to our problem; the state is the problem." Wanting to be faithful to this maxim, this majority – sometimes resigned – and you yourself intend to resort to the privatization of strategic companies. The case of Aéroports de Paris – ADP – is the most symptomatic of your approach. This is an economically successful company that allowed the State to receive more than EUR 1.1 billion in dividends between 2006 and 2016, with a margin rate of 14%.
ParlaMint-FR_2019-03-13-O1176.u13	Down!
ParlaMint-FR_2019-03-13-O1176.u14	This is a company that, in 2017, welcomed more than 100 million people to our territory, becoming the first airport company in the world. This is a company that remains a natural monopoly of the state, which manages a vital border at the heart of our economic and political capital. Yet you get rid of it in what is to be called a state scandal that will mark our history.
ParlaMint-FR_2019-03-13-O1176.u15	It's still a little exaggerated...
ParlaMint-FR_2019-03-13-O1176.u16	I'm saying a state scandal. Indeed, in spite of common sense and any long-term economic logic, this decision is not aimed at anything other than the satisfaction of large private groups that feed an appetite for the particularly profitable economic model of ADP. For the nation, this is another unacceptable loss of sovereignty. How do you justify this abandonment? In the name of a breaking innovation fund, which must be fed for tomorrow's economy! But with the assets of ADP and French gaming, it would have been as possible to guarantee the solvency of this fund!
ParlaMint-FR_2019-03-13-O1176.u17	Exactly!
ParlaMint-FR_2019-03-13-O1176.u18	The divestiture of these companies is not only an economic fault, a political fault or a strategic mistake, it is also a historical mistake. We know that privatizing a natural monopoly or non-competitive economic activity leads to poor results.
ParlaMint-FR_2019-03-13-O1176.u19	It's in every book of economy!
ParlaMint-FR_2019-03-13-O1176.u20	We didn't read the same...
ParlaMint-FR_2019-03-13-O1176.u21	Go on, Mr. President Chassaigne...
ParlaMint-FR_2019-03-13-O1176.u22	The scandal of the privatization of motorways is here to remind us. You have nothing to do with it, and despite the opposition of all the political parties in the country, perhaps with the exception of one, you are obstinate. Yes, this bill will undoubtedly date as one of the most successful texts of the neoliberal dogma, taking back in its midst all the old recipes that have led everywhere to the failure and misfortune of the peoples. The Communist Members will face this draft point by point, some of which are that another economic model is possible and desirable. The urgency is real: our citizens suffer every day from these policies, which reduce their aspirations to better days. As I often do, without any provocation, I address myself by concluding with the colleagues of the majority, even though I am not sure that I have a little bit shaken them.
ParlaMint-FR_2019-03-13-O1176.u23	They're solid!
ParlaMint-FR_2019-03-13-O1176.u24	[[Applause on the SOC benches]] I am speaking to you by giving you this call from Lise London: "Open your eyes wide, do not let yourselves be locked in the certainty, do not hesitate to doubt, fight against injustices"! When I'm more prosaic, I'll say, "Stop letting yourself get bogged down!"
ParlaMint-FR_2019-03-13-O1176.u25	Mr Stanislas Guerini has the floor.
ParlaMint-FR_2019-03-13-O1176.u26	I do not know if I will be able to demonstrate the legendary lyricism of President Chassaigne but I will try to have the same force of conviction. We're almost there! Or in any case we are approaching the vote on the PACTE law, this action plan for business growth and transformation. I have known your impatience for many months, minister. We share it on the benches of the majority, and perhaps also beyond. I am particularly aware of the impatience of the companies in our country, which are waiting for simplification measures, the removal of thresholds, measures to promote investment in the productive tool and their growth. But this law is not only for companies. On the contrary, I am convinced that it represents a profound paradigm shift. This law carries a political vision: that of the end of the sterile oppositions on which, in France, our relationship with the company has been formed, the sterile oppositions between capital and labour, shareholders and employees, competitiveness and social responsibility, profit-making and the general interest. This law is tantamount to asserting that the company is part of the solution to the current challenges. We are in the midst of a great debate and the French tell us how much the crisis we are experiencing is also a crisis of meaning. The French company has lost the north and is unable to direct its company project. What is the company project when the French tell us that they work but they don't get away with it, because the work doesn't pay enough? What is the company project when profits increase but the results are not sufficiently shared within the company? What is the project of society when people are asked for their efforts, especially for the ecological transition, but the most virtuous companies, those who make efforts, are not sufficiently distinguished? I believe that Bill PACTE provides, not all of the answers, but some of the very concrete answers to these central questions. First of all, on the essential issue of work, it does so by simplifying the lives of our companies so that they can grow more easily: leaving five years for our SMEs after crossing the threshold of 50 employees speaks to every entrepreneur in our country. Helping our businesses grow by mobilizing more savings to invest in our SMEs, in innovation, is helping them create tomorrow's jobs. To allow an SME to pay interest to its employees by paying, since January 1, 2019, zero social benefits, is a major measure to value the work in our country. This bill also includes major advances to give more meaning, to inject long time into French capitalism. As you know, the Members of this majority have fought a lot and will not give in on this point on the occasion of this new reading: we must take into account the social and environmental issues of a company's activity. Beyond this major change, I am happy to think of all the companies I know and who are waiting for us to create the French framework to be recognized as mission companies. I am certain, it is hundreds, thousands of companies – often small indeed – that will take advantage of this tool to protect and better value their long-term project, the positive impact they wish to have on their environment. I am also very happy when I think of those entrepreneurs who expect us to create the French status of shareholder foundations, these sustainability funds, as we have chosen to appoint them, which will allow them to dispossess their shares of their company in order to guarantee the company's long-term interest. I am committed to continuing to work on the relaxation of the hereditary reserve in order to further strengthen this current of French philanthropy. I know we can continue to work with the executive on this issue. [[Applause on several benches of the LaREM and MODEM groups]] As soon as we have voted for this text, immediate, very concrete measures will reach the productive fabric of the French economy, but also the employees when they benefit more from participation. The longer-term consequences will require time to transform French capitalism, to embody this "new model of production", this resolutely ecological and social transformation that so many French people call for.
ParlaMint-FR_2019-03-13-O1176.u27	Bravo!
ParlaMint-FR_2019-03-13-O1176.u28	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2019-03-13-O1176.u29	The bill that is being re-read today embodies the commitment to unleash the entrepreneurial energies that we made during our 2017 campaign. This innovative text will free companies from the obstacles that hinder them. I am pleased that it concerns not only large companies or large capital, but also small and medium-sized enterprises. On many subjects, it is going to fly and give smiles to many entrepreneurs, at the stage of the creation of the company, during its existence and at the time of its divestiture. The work of an entrepreneur is to create, operate and transmit, and all these steps are addressed by this text. I am also pleased that this text contains elements introduced by the MODEM Group, in particular the simplification of current account contributions as associate members. Many beautiful things are said, many great theories about capitalism for example, but it is very comforting to know that this text will also solve many practical problems. Our group's contributions also include the extension of crowdfunding to companies whose name includes social or environmental objectives; the introduction of collaborative reverse factoring, which will improve payment times between companies and thus represent a potential leverage of 12 to 14 billion euros; or improving SMEs' access to public works contracts. However, while the simplification of the PACTE bill is welcome to make business more fluid, there are a few points of vigilance that I have pointed out in committee. First of all, if the desire to change the thresholds leading to the obligation to use an auditor can be guided by the desire to simplify the procedures of companies, I would like to draw your attention, Minister, to the fact that companies need third parties of confidence, namely the professions of the number and the law. The auditors – I speak freely about this – are and will remain indispensable to corporate groups. Their decisive role in protecting creditors and associates should not be overlooked through the sincere control they operate, especially in the time of the reorientation of savings towards the enterprise. As the economy evolves with the blockchain, it is important to retain in the company the human and expert advice of these trusted third parties. Therefore, Minister, it would be necessary to postpone the entry into force of the provisions concerning auditors by making them applicable only for fiscal years opened on January 1, 2019. This would leave an additional year for the thousands of professionals involved to reorganize their business, and would allow companies to take the necessary steps to enforce the law, as there is a contractual problem. The MODEM Group, aware of the importance of SMEs in growth, considered that the text could be improved on several other points. Consular chambers must have the means to continue their missions to support SMEs throughout the country. The simplification of business start-ups should be further simplified. The deposit of the statutes should be possible by any act which has acquired a certain date and which is controlled by an authorized profession, in order to confer legal personality on an undertaking on the same footing as registration in the register of commerce and companies. Inter-firm loans should be allowed regardless of the form of the enterprise and without any condition of delay, even if this has been increased from two to three years by this text. Share rental should be extended to legal persons in order to develop their full potential. I am ready to help you work on this, Minister. We mentioned the opportunity to set up a mission on this type of participation. Similarly, at the stage of cessation of business, it would be appropriate to authorise the simultaneous taking of two acts of dissolution and liquidation for undertakings which are not the subject of winding-up operations. These are simple measures that speed up business life. With regard to the reform of security rights provided for in Articles 16, 19 and 64, you will have to find a subtle balance between the effectiveness of the security right and the chances of the company rebounding. Can you tell us if you intend to consult the professionals involved in the drafting of orders? Some mechanisms, without being described as a security right, are also intended to ensure the recovery of the receivable, such as the delegation of a debt, the promise of a security right or compensation. Will they be concerned? With regard to the privatizations of ADP, French gaming or Engie, we were reassured by the content of our exchanges and the evolution of the text. We must not caricature or create any amalgam between this type of privatisation and those we have known in the past. We have confidence in the development of this text, although we will be very vigilant to ensure that nothing is forgotten in the specifications to be drawn up in the context of these developments, in particular the return of the heritage to the State at the end of the seventy years. [[Applause on the banks of the MODEM group and several benches of the LaREM group]] In conclusion, I would like to welcome an ambitious and reformative text which, although it could be further improved at the margin, will facilitate the lives of those who create growth and employment in our country. You can count on our support and commitment to this ambition for our country's businesses.
ParlaMint-FR_2019-03-13-O1176.u30	We can see you know the subject!
ParlaMint-FR_2019-03-13-O1176.u31	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2019-03-13-O1176.u32	Minister, the PACTE bill you are introducing wants to transform our economy in depth. As I said at first reading, this is a laudable and respectable ambition, which leads to certain objectives that we share with you and others with which we do not agree. But this PACTE bill contains several provisions – sections 44 to 53 – that launch a privatization program that is unprecedented in its purpose. This is the first time that the French State has launched such a large-scale privatisation of infrastructure. Unpublished, this program is also so because it would bring the state out of capital completely, and not only reduce its participation as was the case in the past. The privatisations that you are considering are not the result of any industrial projects, they meet only one objective: to fill the state funds, emptied by past deficits and which your tax gifts have helped to undo again. I would therefore like to return to the privatization of ADP, about which I had the opportunity to question the Prime Minister in questions to the Government. First question: Do you absolutely need to privatize? The answer is no. You are looking for between 200 and 250 million euros per year to invest them in breaking innovation. To do this, it was enough to amend the organic law on finance laws so that the dividends paid to the State by Aéroports de Paris – 160 million euros – and the French game company – 90 million – would be directed towards this objective that we are many to support. We have discussed this on several occasions, Minister. The total is exactly the amount you are looking for.
ParlaMint-FR_2019-03-13-O1176.u33	All right.
ParlaMint-FR_2019-03-13-O1176.u34	Dividends paid do not reach 160 million each year!
ParlaMint-FR_2019-03-13-O1176.u35	On the history of the dividends of the last ten years, we are very close to these amounts.
ParlaMint-FR_2019-03-13-O1176.u36	And in 2011?
ParlaMint-FR_2019-03-13-O1176.u37	My calculation is true over the last decade, but you can add some dividends from other state interests if you want! Second question: Will ADP, owned by private capital, place France in a particular situation in relation to our European partners? The answer is yes. To convince myself, I invite our colleagues in the majority to read the very interesting study The ownership of Europe's airports, published by the International Airport Council. The capital composition of 500 airports in Europe is analysed.
ParlaMint-FR_2019-03-13-O1176.u38	These are not comparable airports!
ParlaMint-FR_2019-03-13-O1176.u39	This reading is extremely instructive. France is one of the only countries, with the United Kingdom, Portugal, Slovenia, Hungary and Romania where more than 40% of airports are owned by private actors – today, before the privatization of ADP. In Germany, 53% of airports are owned 100% by the public authorities – cities or Länder – and 47% by a private and public mix. Public authority is still present in the shareholding of German airports, none of which is held exclusively by private investors. The same applies in Italy, no airport is wholly owned by private actors: 20% of airports are wholly owned by the public authorities and 80% by a mixture of private and public. Same in Spain. The study also provides valuable information on the duration of concessions where they exist. Once again, the reading is illuminating: in 56% of cases, the concession lasts between twenty and fifty years; In 3% of cases it lasts more than 50 years and in 7% of cases it is indeterminate. For your part, you propose a 70-year concession for ADP!
ParlaMint-FR_2019-03-13-O1176.u40	That's crazy!
ParlaMint-FR_2019-03-13-O1176.u41	However, ADP is the second largest airport group in the world, managing Roissy and Orly airports, whose combined traffic is almost as high as Atlanta Airport, the world's largest airport. I don't know, minister, if you realize what way you're taking the country. In short, your privatisation will place France among the European exceptions in terms of the structure of airport capital. On the contrary, the vast majority of countries have chosen to keep their hands on their airports, simply because they have fully understood that it is a strategic tool. The third question: what have been the consequences of examples of airport privatization? In Heathrow, only ten regional destinations in the United Kingdom are still served, while there are 27 from Amsterdam – which is managed by ADP – to the United Kingdom.
ParlaMint-FR_2019-03-13-O1176.u42	There's Gatwick Airport!
ParlaMint-FR_2019-03-13-O1176.u43	The reason is quite simple: the number of daily flights, and therefore of aircraft passages, is limited by the number of runways and the size of the airport, this will not have escaped you. So the interest of a private actor, who charges airport taxes per passenger, is to maximize their number and therefore to favour long-haul carriers, which carry more passengers by air. The same logic applies to consumers in airport shops. It is therefore apparent that all of these privatized airports favour the largest aircraft, and thus long-haul flights. There is therefore a major risk for spatial planning, inherent in the airport economic model. Today, the public authorities maintain this balance. What about tomorrow? Among the consequences of these privatisations, I would also like to mention the example of Toulouse airport, a fiasco that takes the form of a series of which we have a new episode almost every week. There was supposed to be a shareholder pact that could protect the interests of the State. In reality, this shareholder pact puts the state in a position of weakness. This weakness is such that the public rapporteur of the Paris Court of Appeal – that is, your representative! – now recommends declaring privatization null and void! In this connection, as Special Rapporteur of the Committee on Finance on State participation, I have asked the State Participation Agency to provide me with a number of details. First of all, I asked for the communication of the draft terms of reference – you said, minister, that you would give it to us –...
ParlaMint-FR_2019-03-13-O1176.u44	We only got the summary!
ParlaMint-FR_2019-03-13-O1176.u45	... and in particular the manner in which the Government intends to establish the concessionaire's investment obligations. That is the purpose of clause 45 of the bill we are looking at, which deals with the operation of airports by the future concessionee. I then asked for the economic regulation contract, which in particular governs airport charges and by extension the competitiveness of the platforms and of Air France – this is Article 48. I also asked for an impact assessment of the future financial balance of the "double caisse". Indeed, Article 47 establishes a double fund that distinguishes airport revenues – regulated scope – from real estate and commercial revenues. We need a detailed impact assessment of the projections on the financial balance of each fund as they will no longer be compensated. Finally, I asked for projections of the transfer to the State of the property allocated by ADP and of the movable or immovable property acquired during the seventy years of concession – this is Article 44. The duration of the concession requires it. [[Exclaims on the banks of the LaREM Group]] Minister, we are in a new reading and we still do not have any information on these four points. None, and I don't know if we'll ever have one, despite the commitments you made. The first reading took place in September: the Government and the Ministry of Finance had ample time in six months to provide us with this data. If they haven't been able to do it in six months, I don't see how they'll be able to do it in two or three weeks. However, I would like to give you the benefit of the doubt. In any event, today we still do not have this information, which is evidence of the weakness in which you lock up the state to conduct negotiations with potential buyers. History shows that this weakness of the state to negotiate with the private sector, whether it is governed by the left, the right or the running Republic, is a constant unfortunate for the protection of the public good. These are serious issues, Minister. The management of an airport is complex and cannot be equated with the management of a commercial space as a Secretary of State suggested last Tuesday. Mr Minister, ladies and gentlemen of the majority, I would like us to try collectively to get out of the political logic that sometimes leads our votes, whether for you or for us as well.
ParlaMint-FR_2019-03-13-O1176.u46	We agree.
ParlaMint-FR_2019-03-13-O1176.u47	In seventy years, none of us will be here to draw the consequences of privatization.
ParlaMint-FR_2019-03-13-O1176.u48	[[Smile]] Yes, the rapporteur Marie Lebec!
ParlaMint-FR_2019-03-13-O1176.u49	I wish it to him! But the overwhelming majority of us will no longer be there, or at least not in a position to judge whether this concession has gone well. So we have to make a decision that goes beyond ideology. If the aim is to find EUR 250 million a year to invest in breaking innovation, it is possible, without recourse to privatisation.
ParlaMint-FR_2019-03-13-O1176.u50	That's not certain.
