Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u13	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u14	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	DePetrisLoredana	De Petris, Loredana	F	1957	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	Misto	Misto	-	-	DePetrisLoredana	De Petris, Loredana	F	1957	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u17	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	CirianiLuca	Ciriani, Luca	M	1967	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u18	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u19	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	CirianiLuca	Ciriani, Luca	M	1967	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u20	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u21	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2019-06-04-LEG18-Senato-sed-117	ParlaMint-IT_2019-06-04-LEG18-Senato-sed-117.ana.u22	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 117, Day (2019-06-04)	2019-06-04	Upper house	18 Legislatura	-	-	117 Seduta	-	Reference	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Opposition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
