ParlaMint-NO_2014-11-12.ana.ud646e26	The representative, Mr Vegar Solhjell, will present a proposal for a representative.
ParlaMint-NO_2014-11-12.ana.ud646e102	I fear that the ideological approach of the government to the sale of state ownership will once again lead to lost income to the community. The inhabitants of Trondheim well remember the sale of the city's e-works by the Right Party and the Advance Party, which has been lost 1 billion. kr per. In the evening post on Saturday, former director of Telenor referred to the state ownership in Norway as ‘performing success’. Looking at the course development at Oslo Exchange for Telenor, which is on the government's list of sales, they have had an average annual return of 12.5 pst. In the 2015 budget, dividends of 5.7 billion are expected. kr for Telenor. In other words, a sale would result in the community again missing out on future billions of income. Does the government’s objective of reducing state ownership go ahead of the objective of securing Community income?
ParlaMint-NO_2014-11-12.ana.ud646e111	I think I now heard a post that did not reflect the pragmatic attitude of the Workers' Party as to what to own or not own, but an ideological defense that the state should always own the most. I think that is wrong, I think it is important to assess the development potential of each company and the importance of each company for Norway. There are important core companies, such as: Telenor, and we've said that here you have to have a strategically important ownership, so that the research development and the head offices will continue to be there, but not necessarily with the same big ownership. Why? Yes, among others. Because when you're going to enter big new markets, you take more risk the bigger you own. There was a major discussion in the Stortinget in the previous period about the India exposure to Telenor. It has a potential, but it turns out not to give the same type of returns as you would like. That's one of the challenges we have to tackle. This isn't ideology, it's actually managing the values of the Norwegian state in a good way.
ParlaMint-NO_2014-11-12.ana.ud646e116	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e119	The Christian People's Party believes there is room for a certain reduction of state ownership. The sale of State holdings in companies will generate large revenues to the State. We experience that part of the criticism of sales is due to fear that this money can be deposited in foreign funds, shares or property. My question to the Prime Minister is then: how does the Prime Minister and the Government manage the revenue from sales in such a way that it can promote entrepreneurial activity and value creation in Norway, for example: by establishing seed funds, etc., instead of depositing them into shares or foreign funds and property?
ParlaMint-NO_2014-11-12.ana.ud646e125	The sale of state ownership shall not be used to undermine the rule of action or a responsible economic policy. Then there is basically not a lack of money in Norway, but with the scope of action we have in economic policy, we always have to make sure that we do not spend more money than the Norwegian business world can bear in total. Then there are many positive and good instruments that you could have had more of. The government is for seed funds, we are in favour of stimulating various other contributions, and we are also in favour of private ownership investing in more risky projects. That is why, among other things: proposes a new balance sheet within the wealth tax, where we increase the value of property, but we lower the rates of property tax, because we know that local private capital can often contribute to the further raising of small businesses. Then we must prevent them from having such difficult framework conditions that they have to pay taxes before they earn money. It is also important – not just to run after new government money, but to ensure that private money contributes to jobs.
ParlaMint-NO_2014-11-12.ana.ud646e132	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e135	One of the companies in which the government commits itself to selling and giving up control is the Kongsberg Group. One of the main tasks of the Kongsberg Group is the development and production of weapons and military material. In the event of a sale, we have no control over who takes over the majority of the ownership of the Kongsberg Group and the control of the company. It's probably going to be in foreign hands. My question is: does it not matter to the Prime Minister who owns the Kongsberg Group and has control of the company, or is there any owner who does not want the Prime Minister to have into the Kongsberg Group, with the business they do?
ParlaMint-NO_2014-11-12.ana.ud646e142	Our proposal for changes in ownership in the Kongsberg Group is not to be sold out of the Kongsberg Group. Nor is it the case that the Norwegian law and legislation relating to arms control, development or armaments will change as a result of changing ownership shares. Control of what we produce in Norway, control of where we sell in Norway, is regulated by other laws and regulations. It also applies to all privately owned companies that produce out of Norway. We're concerned that it might be that we get strategic, good partners, it could be we can develop the company even better in the future, make the jobs safer. We want to assess jobs, development, safety in all contexts where we go down in ownership. Potential partners that can help actually make this an even better company will always have the first rank in the assessments we make of important companies when we go down into holdings.
ParlaMint-NO_2014-11-12.ana.ud646e149	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e152	I have an additional question about Statskog. State forests have extensive but also very varied properties from drifting forests, but also public opinion, which can to a large extent be common areas with strong grazing rights, which are varied and with strong public interest. My question to the Prime Minister is: when one goes into possible privatisation in Statskog, can one not go into what concerns the general government, where one has the strong Community interests? This must be very limited and could have a minor impact on some particularly large areas.
ParlaMint-NO_2014-11-12.ana.ud646e159	I fully agree with that. Long-term public rights managed by State Forest today will have to be guaranteed to the public in the future. Therefore, these questions are part of the assessments to be made by State Forest when they are now investigating different models of how to privatise parts of its forest activities – I stress forest activities. That's what the mission is -- not as it was given the impression in the past -- that it's about privatising the administrative tasks that State Forest has, on behalf of the Norwegian people. Then we come back to how you can do it in practice, but the starting point for this is that there are private owners around the country who might want you to manage better and make sure that the forest industry, the whole logging industry in Norway, gets better and more efficient. And it should be our intention, no matter what natural resources we have, that it contributes to jobs, that it contributes to development, and that it contributes to more efficient operation.
ParlaMint-NO_2014-11-12.ana.ud646e166	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e169	In Norwegian policy, it has been an important success factor that in key industries with major challenges and which will become important in the future, Norwegian ownership has been high. With the sale of Cermaq, the government has sold itself completely out of Norwegian breeding. Although it has our disunity on the red-green side of this sale, the Labour Party is now in agreement with SV that it has been a loser. The development of the farming industry is that there will be fewer actors, which means that the activity will be withdrawn from the community, and there will be more international actors, which will make many values disappear from the country. Is this a development that is completely indifferent to the government, or will the government take action to ensure that small actors who are closer to the communities are brought in and gripped to ensure that values created in the coastal farming industries go to the coastal population?
ParlaMint-NO_2014-11-12.ana.ud646e176	This government has said that local communities in new concessions will have a greater share of the new concession money, unlike the red-green ones, which would initially give it to county municipalities. Then, fortunately, they repented. So we've helped to get more money back on new concessions to the community, because the burden on land bonding and other things is just in the community. So we're occupied with this is an industry that needs to be profitable, that needs to be environmentally good, and that's going to need capital to evolve, not least on the environmental aspects. This means that we are concerned about getting good skills and research-based development in these areas. Environmental aspects will be among the main aspects of this government in the further development of the farming industry. I don't think the state ownership is so important in this regard. The most important thing is the regulatory and growth opportunities we create, and what conditions we set for it.
ParlaMint-NO_2014-11-12.ana.ud646e183	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e187	So the government wants to sell out State Forest, which is a company that manages very large values for the Norwegian people. At the same time, the government is the owner of a company at Svalbard – Great Norske – that produces coal. Thus, according to official rhetoric, carbon is the substance of Norwegian energy and climate policy, which is most concerned with getting rid of it. On Svalbard, cf. not least the new Northern Region Strategy of the Government, it is research, tourism, management and other things that are the Norwegian profile. The question to the Prime Minister then becomes: does the Prime Minister still see it as his and the State's task to continue the ownership and operation of a coal company that is in deficit on Svalbard and produces what the world needs at least in terms of climate and energy?
ParlaMint-NO_2014-11-12.ana.ud646e194	At first, I just want to say that we're not going to sell out State Forest. As I said earlier, for parts of the forest business we look at different models, considering whether it can be managed more by private individuals and possibly transferred to private ownership in Norway. In the case of coal operations on Svalbard, there are major challenges associated with it. The press releases we've seen show that the international coal price is very low. That means that the current profitability is low. The Ministry of Economic Affairs and Fisheries is in a process with companies to discuss further development plans related to this. This has been a cornerstone company for the presence of Svalbard. But there are some dilemmas, as Rasmus Hansson points out, related to what we mean internationally about coal mining, and the question of the balance between the climate issue and the national presence. Fortunately, in the last 20 years, we have been able to build up several legs to stand on Svalbard, but I can't tell you what we're going to do, because we're now monitoring the situation in cooperation with the company.
ParlaMint-NO_2014-11-12.ana.ud646e201	Let's move on to the next main question.
ParlaMint-NO_2014-11-12.ana.ud646e204	‘It doesn’t help to say from here, they don’t do anything from anywhere.’ These words belonged to 13-year-old Odin. His story and his experience of not being heard when he reported that he was being bullied, have made a strong impression on many people in the last few days. This week several Norwegian youths have stood up and told about their bullying stories. Unfortunately, there are several people who share this experience, that it doesn't help to say from, because nobody does anything anyway. We are many who have a responsibility to combat bullying, and we are many who have a responsibility to help our children have a safe and good learning environment at school. Teachers, school leaders and school owners also have their share of that responsibility, and I know that there are a lot of teachers doing a lot of work in this area. For many, just being able to make a positive contribution to the lives of children is an important reason why they chose a job at school, and fortunately there are also very many who succeed well. But sometimes we hear about children and parents who experience not being heard. On Sunday, there will be organized torch against bullying here in Oslo and several other places in the country. The fight against bullying engages. I think we all share a common desire that no children in the future should have to say those words again, that it doesn't help to say from, because nobody does anything anyway. My question to the Prime Minister is, what does she think we can do, we as politicians and we as societies, so that no children should have to say these words in the future?
ParlaMint-NO_2014-11-12.ana.ud646e217	I think we're all deeply concerned about the statements in the VG related to Odin, and we know that there are very many other children, estimated at 17,000 in our country, who experience bullying every week, maybe every month, some every day, at their school. This is a question that can lead to many individual measures, but one of the main challenges is to create an attitude, which is about us parents, school management and others, to address the environment that is in the individual school. And then we can make a lot of rules, and we're doing that. The Djupedal Committee will take a position in March 2015, with new measures related to the fight against bullying. We've revitalized the bullying party, there's going to be new rules of order and behaviour, and the county officials are making lists of the schools where the students report that there are most cases of bullying. Many newspapers have published these lists. There is a stigmatizing experience for those schools that are high on the lists, but I hope that it also leads to significant action in those schools. There's a lot of things we have to do small and big to prevent this. The most important thing, I think, is that the school must have an eternal focus on building empathy, building understanding for others, working for more tolerance, caring for the school environment, not least making sure that other kids who watch bullying, say stop, and that adults who watch bullying, don't apologize. It is a matter of accountability for the whole line in Norwegian school everyday life, but also among us who are parents. It is often the case that when these matters come up, they are difficult for the school to handle, because the parents of those who have bullied do not realize that their children also contribute to the bullying.
ParlaMint-NO_2014-11-12.ana.ud646e226	Thank you for the answer from the Prime Minister. I am very pleased that we have a prime minister who is engaged in this subject. She puts forward the role of parents and the importance of parents, and I think that's very important, because it's clear that we, as children in school, have a responsibility for our children entering the school gate with good attitudes. It's not a responsibility we can discharge at the moment they enter the door of the school. Much research also points to active and committed parents and good school-home cooperation contributing to a better learning environment at school and better relationships between pupils and teachers. I would like to ask the Prime Minister if she and this government will look at measures to strengthen school-home cooperation at Norwegian schools.
ParlaMint-NO_2014-11-12.ana.ud646e231	I don't think we can reject any good ideas about how to strengthen the work against bullying in school, simply because much of the effort we have on knowledge and competence for the rest, won't work if children sit at school and are afraid of what's going to happen in the spare minute, is afraid of what's going to happen on the school road afterwards. That means we have to have a stronger focus, and good input, I think we're all going to take it with us. One of the things that the Minister of Knowledge has advertised is that in the worst cases where it's almost impossible to do things, it's no longer the child who gets bullied, who has to move on, it's actually the ones who bully, who have to move on. But that's the last solution. The most important solution is to prevent this from happening at all, and to have much better contact between adults. It is both the parents and the school who have to take responsibility.
ParlaMint-NO_2014-11-12.ana.ud646e238	It opens for follow-up questions – first Knut Arild Hareide.
ParlaMint-NO_2014-11-12.ana.ud646e241	I am pleased with the offensive attitude of the Prime Minister to this great challenge. Bodil Houg, a bully in Buskerud, says: ‘What can be done? Listen to the Minister of Knowledge. In his reaction to the Odin case, he pointed out that the anti- bullying work has played down. Our actions have not had the desired effect. Our understanding of bullying has made no big difference. This is a recognition so important that it should have ring-effects.» These are very serious words when one sits with the exercising power. We now understand that the government is thinking about a follow-up, not least after the Djupedal elections, but my challenge to the Prime Minister is: what is the whole-hearted strategy when we can conclude that what we've done so far has gone down?
ParlaMint-NO_2014-11-12.ana.ud646e251	I think it's too violent to say that what we've done so far has gone down, because over many years we've had many good school projects and many good and responsible school leaders. We see that the work has been systematized to a large extent. We know that the mob payments went down after the first launch of Manifesto against bullying, as Prime Minister Bondevik and then Minister of Knowledge Clement presented in 2003. There's something about the vigilance here, there's something about the system strategy that needs to be done. It's important. That's why we're saying this is going to go into school management/rector's education -- everywhere you work with the school and learning environment. It is also important that municipalities take seriously the lists that have now been published, and say, what do we do with the situation that is in many schools, when the students themselves report that they have experienced a lot of bullying? Then you also have to take responsibility for school management in the individual schools.
ParlaMint-NO_2014-11-12.ana.ud646e260	Marianne Aasen – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e264	I am pleased with the Prime Minister's response and commitment to this serious matter, and not least because she also points to good school management and systematic work on a good learning environment as key factors and important tools. But what's sad and still a reality, unfortunately, is that schools don't always stretch to. Therefore, it is good to have the help of non-governmental organisations. In the government's draft budget, it was cut by approx. 7.5 million. to organisations which have the common aim of contributing where the school does not always extend to. These include MOT, which is committed to building robust young people and secure youth environments, Rosa Competence under the direction of LLH, who are working to prevent bullying based on homophilis, etc., the Change Factory, which works with children who experience injuries, and UNICEF – to name a few. Why does the government want these organisations to be less active in Norwegian school?
ParlaMint-NO_2014-11-12.ana.ud646e273	We have made some adjustments for some organisations, and some are indirectly affected by a more general reduction in adult education. It is not a signal that I believe we should do less in Norwegian school, but it is an assessment of how we provide support. On the other hand, we have increased the key considerably. This means that both non-governmental organisations and sport get a lot more money next year, that's the biggest promise for volunteering done. That's actually the change that's within the key. So it's in the hundred trillion dollar class -- against these other examples. Then it's important to work with the volunteer organisations and organisations else. I think having more health professionals and others working at school, having other jobs, is important to have more places to go. I think the example of the bully in Buskerud is very good. I remember that it was Young Right who blew it through in the Busherud Right County Program the last time, just for the commitment they've had to reduce bullying around the schools. And I think it's a good example when more county councils now get to go elsewhere.
ParlaMint-NO_2014-11-12.ana.ud646e280	Janne Sjelmo Nordås – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e283	Bullying has gradually become a very widespread social problem. I am very pleased with the commitment that the Prime Minister and others have shown in the matter after the various matters we have seen. I also want to say that when it comes to online bullying, adults are sometimes bad role models. There's a lot going on among the web roles that I'd call bullying other people. That's not exactly a good example for our children. The Prime Minister has pointed out that there is a need in school for both management, time and various measures that we may have to agree on. But I also want to ask the Prime Minister what she sees as possible measures to correct the behaviour of those who are bullying – not just measures to protect, although it is very important.
ParlaMint-NO_2014-11-12.ana.ud646e292	There are just some of the things in which the Minister of Knowledge has now announced that there may be both legislative changes and new rules of procedure in order to be more clearly able to have sanctions and reactions to them as bullies. So it's like there's two things that have to be done. One thing is to have a clear and clear reaction to them as bullies, but it's also to mobilize the resources of all those who are looking at. It is both the school's responsibility and the parents' responsibility to tell children that they actually have an individual responsibility: when you see bullying, you should say no, then you should say that it is not acceptable that this happens. That's what I mean by empathy building among children and young people. I fully agree that the web is one of the major challenges we have for it. Unfortunately, we see that many children are also being bullied online, many young people are being bullied online, and adult behavior online is not always good examples. But one of the big campaigns going on is the use of the wit-campaign, which is a very good way to teach kids how to not use the web.
ParlaMint-NO_2014-11-12.ana.ud646e297	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e300	‘It doesn’t help to say from here, they don’t do anything from anywhere’ is the quote from Odin in VG. That's a very serious question. I appreciate the answer to the Prime Minister. It's important to look at school management. They have the overall responsibility of each school. But it is also important to look at the role of the teacher — that one builds up the teacher as a safe leader in the classroom and in the school situation. Then my question becomes: When the government wants us to have more continuing training of teachers, will this also be a central part of continuing education – to have safe teachers who have control and management in their day-to-day school, and to which it will also be useful to say from now on?
ParlaMint-NO_2014-11-12.ana.ud646e309	Class management is also among the things embedded in the continuing training programmes that we now have. In addition, we have a separate project where the schools and municipalities that want to do so receive guidance and support through tailor-made arrangements to reduce bullying. It shows, among other things: how to use network resources, guidance on laws and regulations, but also how to use the teaching of the principal and how to obtain assistance from external environments that are good at this work. So both parts have to be part of -- having clear and clear class management, having a good principal training and management training is important. And then it's really important that we have relief measures, and that the municipalities like school owners see that they have to contribute when some schools get out of shape.
ParlaMint-NO_2014-11-12.ana.ud646e316	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e319	I would like to thank the questioner and the Prime Minister for their commitment to the cause. Bullying is totally unacceptable. In Norway, we have much less bullying than in other countries, but at the same time too much. 17,000 says they're being bullied two to three times a month. There's reason enough to keep going on this. The former governments have also invested heavily in this. The red-green government made several important promise changes, such as changing the burden of proof, and came up with different programs that have also contributed here. But I think that an inclusive school with a broad knowledge view is also a very important reason for this. It's the everyday job that needs to be done, which is the important thing. A group that often gets forgotten is the school attendance. In their guide they have done a very important job when it comes to the school environment, and my question to the Prime Minister is: does the Prime Minister want eartags to strengthen the school health service, so that it reaches a minimum level and they can help fight bullying in school?
ParlaMint-NO_2014-11-12.ana.ud646e330	We have proposed a strengthening of the school health service. Both last year and this year it has been significantly strengthened in relation to the municipalities. And then we don't think that we're always much better at making all the good decisions than for example. The European Parliament, the Economic and Social Committee and the Committee of the Regions will be represented by the Committee of the Regions, the Economic and Social Committee, the Committee of the Regions, the Committee They might just want to see how to better strengthen the individual school. I also believe that they have the same experience and alertness around bullying, etc., and therefore I will never become a big fan of earmarked schemes. The reason for this is that earmarked schemes lead to more bureaucracy, which means spending more hours on reporting. In a society where we're going to have fewer time thieves, we have to stop making the simple political solutions and say 'eye mark' every time we want to prioritise something, because that's what helps teachers to have more reporting, which makes school administration grow, state control grow, that we're left with less money to spend on service, and that we get a growing bureaucracy. That's the dilemma with ear tagging. That sounds good in the political debate. In practice, we use resources in the wrong way.
ParlaMint-NO_2014-11-12.ana.ud646e338	Then we move on to the next main question.
ParlaMint-NO_2014-11-12.ana.ud646e341	The government sells Norway bit by bit. The government will get rid of the Fly train, and the government will give up control of Telenor and Kongsberg Group. In the Ministry of Agriculture, there are processes in place to get rid of State Forest. Foreigners are increasingly owned by Norway. 37 pst. of the value of Oslo Exchange is everything on foreign hands. The government clearly believes that it is too small, and adds in the ownership message to a further sale of Norwegian ownership at Oslo Børs. The government's policy is based on the fact that there is a contradiction between facilitating private ownership and public ownership. Everyone agrees that private ownership should be the general rule in Norway, but state ownership is an important tool to help ensure national ownership. Telenor says that in Asia, it's an advantage when you go in, to have Norwegian public owners in your back. We have also been confirmed today that the money will not go into important reforms in Norway, but into the oil fund. And that's what's most pointless about the state sales – that the government is moving capital from important Norwegian companies to the world's stock exchanges. The oil fund is now about 5 800 billion. kr, and by giving away the national control over Telenor and the Kongsberg Group, we can add a few billion more. But then we lose national ownership and control of these important companies. Why does the Prime Minister think it is important to sell away from Norwegian companies and instead place the money in the oil fund?
ParlaMint-NO_2014-11-12.ana.ud646e348	This is equal to the first question we had. I can actually refer to all the answers I gave in that round earlier today. I find it interesting to hear that everyone believes that private ownership should be the most important cornerstone. I wonder! Is it that private ownership is stimulated in Norway, or is it penalised? I think it's punishable. I experience that every time we discuss private ownership, it is that you are primarily concerned that someone has too much money, and less concerned about what jobs they actually create. That is the debate we have every day. I have to say that I am a little surprised that someone who has been sitting in a red-green government who does not recognise your own party programme's desire to reduce the taxation of private ownership in Norway believes that everyone agrees on this. Because that is not the way the political debate until day-to-day works. It is not that that money is not used in Norway. They are going well for use in Norway. We've transferred money to a climate fund, and we've increased it more than the red-green ones did. We have a road maintenance fund that we have committed, and an infrastructure fund. And there's also a way to bind the money that comes in here. We have a pragmatic relationship with our ownership, but we have a systematic in that pragmatism. We are concerned that we should develop ownership, we should ensure national control of the main companies. It's not like we're selling Telenor, but we're reducing some of how much we own in Telenor. These include: because Telenor is involved in some risky investments. If we want more money, they might as well pick up money in other parts of the market, like there's going to be money we invest abroad.
ParlaMint-NO_2014-11-12.ana.ud646e355	I am glad that the Prime Minister does not refer to the previous answer, because I felt that we did not get a very good answer as to why this is right and important. It was said earlier that one should remember the story, and I will go back to the story yesterday. Then the Prime Minister of Dagbladet said that ‘quarterly capitalism and non-resident owners are more important than long-term Norwegian ownership.’ It is that state ownership in Norway is an instrument to ensure long-term Norwegian ownership. Sometimes, when reading the ownership message, it may seem that it is more important for the government to ensure that foreigners have something to live on the day the oil ends than to manage the Norwegian interests for the benefit of the Norwegian people. One example is that in the third quarter, Telenor had a gross operating surplus of 10 billion. kr. In the same period, the oil fund had a return of 0,1 pst. Is the Prime Minister certain that it is wise from an economic perspective to make the transactions that a person now commits?
ParlaMint-NO_2014-11-12.ana.ud646e362	I think the whole debate on unorthodox or Norwegian is a rather foolish debate, to be completely honest. I think the most important thing we do is to ask what kind of society we want in the future. I want more private owners, I want a lot of new businesses, I want us to make that transition both to a greener society, to a society that is sustainable for our children in the future, and to have security for our well-being. In fact, we need to look through both the portfolio and the companies owned by the state today, but above all we need better conditions of competition for Norwegian business in the years to come. Under the previous government, taxation of private capital increased significantly. It was a shift from the wealth tax burden on pensioners in the first place, to a significantly stronger corporate, workplace and owner-taxation under the red-green government. I believe that if we really want to speed up Norway and the conversion needs we have, then we have to look at the conditions of competition. There is no large-scale sale of ownership, it is an adjustment of what we have, and the state ownership is going to be large also with the message we have provided.
ParlaMint-NO_2014-11-12.ana.ud646e369	It opens up for follow-up questions – first Janne Sjelmo Nordås.
ParlaMint-NO_2014-11-12.ana.ud646e372	The flight has been largely a success that people are well pleased with. Now it opens for sale. Will the Prime Minister say that the travellers will receive a better offer after sale?
ParlaMint-NO_2014-11-12.ana.ud646e377	I believe that the Flytog may be an exciting new development with other owners, who might be able to participate in competitive tendering in other areas of the Norwegian network in the future. We know that after the competition at Gjøvikbanen we got more departures, lower costs and better material. It shows that competition actually works in this area. The flight is a very good company, but the fact that it's good operation, as an alternative, means that we have an opportunity to develop it into one of the actors that can help us get a little more competition to provide the transport service itself, which makes the train services in Norway better.
ParlaMint-NO_2014-11-12.ana.ud646e382	Else-May Botten – for follow-up questions.
ParlaMint-NO_2014-11-12.ana.ud646e385	The Labour Party has a dynamic approach to state ownership, and when we crashed, we sold Secora. We reduced the share in Hydro when the company joined alliance with Brazilian Vale, and we secured the power to purchase again. And the state bought up in Cermaq. The government now only wants to sell and sell. Paradoxically, important industrial companies that are sold can end up on foreign hands, and the income entered into the Pension Fund is used to buy up foreign companies. Should not a capitalist nation like Norway also invest in strategically important companies in this country, and is the Prime Minister so pragmatic that she also follows us to buy up on state ownership?
ParlaMint-NO_2014-11-12.ana.ud646e390	I will not deny that there may be situations where it is correct that the Norwegian State is going to buy up. This has been done under former bourgeois governments to secure and consolidate businesses. This could be done, for example, by: are made in connection with any strategic purchase. There's no such thing that lies ahead of us right now, but we don't have a principle view that makes us unable to participate in it. Then, the key to future challenges in Norway is to ensure that we have a wide portfolio of small and medium-sized enterprises in the coming years. Many of them are likely to feel the need to improve access to capital, to improve access to risk capital. There are areas where we're going to contribute to it in the years that come, without necessarily having to go into direct ownership, but we can go into indirect ownership forms. For example, once we have entered into a seed fund, it is against having an indirect ownership of many small and medium-sized enterprises.
ParlaMint-NO_2014-11-12.ana.ud646e398	Torgeir Knag Fylkesnes – for follow-up questions
ParlaMint-NO_2014-11-12.ana.ud646e401	I thank the questioner. This is a question that there's a lot of commitment around the Storting, and it's related to the previous question, where I asked a question that didn't get a proper answer. When one has sold out of the farming industry and is about to conduct a more liberal concession policy, I would like to ask the Prime Minister about the previous round of the Red-Green Government. There was a demand that new concessions can only go to companies that have 20 concessions or fewer, just to ensure that this is not an industry dominated by a few companies, after all large foreign companies, which makes the values disappear from the community. Is this a scheme for any new government concessions? Is this a scheme that the government wants to continue and has an assessment of the introduction of an area tax that guarantees values for the community?
