ParlaMint-NO_2014-04-09.ana.ud2193e26	The representative of Pál Farstad will present a proposal for a representative.
ParlaMint-NO_2014-04-09.ana.ud2193e92	There will be no proposals from today's government to extend access to the establishment of schools on a religious basis. On the contrary, there is the possibility of setting up alternative schools that do not have a religious basis, which is one of the points. If one today wants a school that has a special math pressure or a special sports pressure, one can actually not necessarily get it approved by the law of the day, but if one says that it is a religious school at the same time, it will trigger a greater right to get it based on the principles underlying it. There will be no greater opportunity to establish neither Christian nor Muslim schools of the laws we propose. On the contrary, I think it would be counterproductive to use a religious superstructure to establish schools for other purposes. I am most concerned that we make sure that the Norwegian school is so good that you want to send your children there because you know that it gives the best future for the children. Therefore, the main focus must always be to raise the Norwegian public school.
ParlaMint-NO_2014-04-09.ana.ud2193e99	We then go to the follow-up questions – first Martin Henriksen.
ParlaMint-NO_2014-04-09.ana.ud2193e102	If the goal is to have such a good public school that no student wants to go to private schools, then I don't understand the point of having a new private school law that opens up several private schools. Three years ago, the Prime Minister wrote in the book «A Society of Diversity and Proliferation of Power»: ‘If you see in the Netherlands, where more than 70 percent of children go to health schools or Sweden, how much more go to health schools than we do, you will understand that the primary schools are not a threat to community. On the contrary.’ If this attitude of government permeates the work of new private school laws, we will see far more religious private schools in Norway in the future. That's why I ask whether this is an assessment the Prime Minister still has, and whether she really believes that a multiple of the number of students in religious private schools and private schools will not pose any threat to the community?
ParlaMint-NO_2014-04-09.ana.ud2193e114	You should have listened very poorly to what I have said for many years if you have heard that I have wanted a multiple of private schools. I have used every occasion when the Workers' Party has raised this question, to say that my main project is to raise the Norwegian public school so that no parents feel that they have to choose an alternative in order for their children to have the best possible future. It is the Norwegian school, the Norwegian public school, which should be the best for children, regardless of background. But I think there's a difference in believing that it's better if you don't say anything, than if you promise the public school. The Labour Party believes that the public school is getting better by banning alternatives. We believe that raising public schools will improve: by investing in the teachers, by making sure that we get better education, that is, by actually raising the content of the ordinary school in which the students go, instead of using all their strength in the political debate on the ban line against the alternatives. So I think it's a little special -- I'm very happy with that expression -- that the Workers' Party uses Muslim schools as the entrance to this debate, because, after all, it also allowed the previous government.
ParlaMint-NO_2014-04-09.ana.ud2193e121	Ivar Odnes – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e124	Today's private school law gives you a limited right to start up private schools with government grants. For the Central Party, it is important to protect parental rights, while preserving the school as a central common arena. In this particular case in Oslo, I record that the City Council has failed to approve the application – not the grounds on which the school should be run, but because of the concerns about the impact it will have on the municipality's own schools if the school starts up and has to cease operations later. Then it's the municipality that's left with the responsibility to give these students a school place. If this school is approved for 200 elephants, there will be great challenges for the municipality. The municipality of Oslo may choose to appeal to the Ministry of Knowledge for the decision of the Directorate of Education. To what extent should my Prime Minister's attention be focused on the schooling and integration aspects when approving private schools?
ParlaMint-NO_2014-04-09.ana.ud2193e134	It is possible to make demands on content, and it is possible to make demands on how to work at school. But there's no reason to say that because you have a special religious basis, you can't get permission to start a school. I would assume that the treatment of any complaint will follow about the same lines as the previous time a question of establishing a Muslim school in Norway was being treated. It happened in 2010. Then there was an application from something called the Peace School, which was a Muslim school, where Oslo didn't municipalize the school either at the time. The Education Directorate’s decision was appealed against, and the SV-led Department of Knowledge approved the application. Although the school never came into existence, it was approved on the basis of the law that exists today. That law is based on the human rights obligations we have and parental rights. It is not possible to discriminate. I remember that we have 71 Christian schools, and we have no – we might get one – Muslim schools as of today. I cannot say that Muslim schools by definition cannot be established. Then we're breaking human rights.
ParlaMint-NO_2014-04-09.ana.ud2193e141	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e144	For eight years now, we have lived with a law of free school that is almost fanatical about the fact that there is only one religious basis that can be the basis for starting a school of our own. There is nothing to suggest that one can also have a rather exclusive way of running a school on a Christian basis. Then we hear that from both party representatives and workers' party representatives here in the Chamber, it is arranged that when there are Muslims who are going to run such a school, it becomes quite different. Yes, the Labour Party's representative here said that was not what was Norwegian. I just want to make sure that the Prime Minister does not kneel either for representatives of one of the government parties or from the Workers' Party in this Chamber, and is principled and using qualifying terms to actually assess which schools are to be allowed and not treat Muslim schools differently from Christians.
ParlaMint-NO_2014-04-09.ana.ud2193e151	It's like we can't discriminate on the basis of which religion you're connected to. You can't do that according to the law that exists today. And there will be no proposal to expand or change in relation to a new law when the government makes these proposals to the Stortinget. I think it's very important that we are principled in terms of human rights. Clearly, a decision that will be perceived as discriminating on a religious basis will soon be considered invalid in relation to human rights issues. So I think it's a challenge if many go to religious schools in Norway. That's what I want to say. There are differences between religious schools. And it's absolutely right that there are also Christian schools where I think the children might have been better off going to a more inclusive common school than going there, but I think we should respect parents' choices in that context. It's a fundamental human rights issue. We have French school, we have German school, and we have international schools in Norway that are part of the school offer you can actually go to. It is quite important to say that we should ensure equal treatment regardless of school.
ParlaMint-NO_2014-04-09.ana.ud2193e160	Karin Andersen – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e163	Opening up to several private schools as the government wants is a step for segregation. This is seen from the experience in Sweden, where the difference between students has increased, the difference between schools has increased, and where free choice and more private schools have increased segregation. This is confirmed by Anna Ekström, head of the Swedish Education Directorate. When the Prime Minister now also says that several private schools do not affect the already existing school offer, it is empty rhetoric. The municipalities lose money when they establish private schools, and they have to pay anyway. If the government believes that they are actually going to invest the big money and bet the most on making the primary school better, then it must mean that they intend to change the funding system for these schools, so that by opening up more private schools, you make sure that the primary school doesn't lose money and thus perhaps also lose many of the students who should definitely go there, because the parents choose to go away.
ParlaMint-NO_2014-04-09.ana.ud2193e170	Today, private schools, or fresh schools, receive 85 pst. the operating costs measured in relation to public school spending per student. That means you get less money in private school than a student initially costs the municipality. The calculation shows that the municipal sector is left with more money than the average because some of the students go to private school. Then I know you can't bring it down on each municipality, but I don't think it's a basis to say that this costs the municipality anything. I don't think it should be the most important thing. The most important thing is that we manage to raise the public school, and that's what the government systematically does. Now comes the long-awaited teacher's vow. Now we see that there are several teachers coming to further education. Now we know that we're getting better at math and real science. Now we're getting the new promise after the promise of knowledge, precisely because we're prioritizing it. Then the Norwegian school will be a good school for the students. It'll be a good school the parents are going to choose. That's what we have to fight for, that's to go to the public Norwegian school because that's where you know that the kids get the best future.
ParlaMint-NO_2014-04-09.ana.ud2193e175	Let's move on to the next main question.
ParlaMint-NO_2014-04-09.ana.ud2193e178	I thought the Prime Minister answered the previous main question very well. She was busy with human rights, civil rights and being principled. It is not just Prime Minister Erna Solberg who is. It is also the European Court of Justice, because he is so clear now and states that the Data Storage Directive is illegal. The European Court of Justice states that the Directive involves a very extensive and particularly serious intervention in the fundamental right to respect for privacy and the protection of personal data. It is not every day that the European Court of Justice decides that a directive violates the fundamental rights of citizens. This is a directive in which the state is given the possibility to store all information about each and when individuals use mobile phones, send e-mails or online searches, i.e. an extremely comprehensive and monitoring directive that is now outlawed by the European Court of Justice. It is a fundamental right that a society should not be monitored for no reason. The Prime Minister has been very familiar with the serious complaints against this directive, for they have been aware of it for a long, long time. There was even a divided right, so even in the group meeting on the right, this information came up. My question is: what are the prime minister's thoughts when the European Court of Justice now decides that we are implementing an illegal directive?
ParlaMint-NO_2014-04-09.ana.ud2193e193	There may be grounds for distinguishing between ‘illegal’ and ‘invalid’. I'm not going to make a big number of that. I find it interesting to read the court decision that has been taken. They have therefore known the Data Storage Directive invalid, because they believe it is too much at the expense of privacy. I also believe that some parts of the directive did so. That was one of the reasons why we were so concerned about both putting on minimum solutions and turning and putting much stronger privacy requirements into the decision the Stortinget made. We therefore assumed the minimum six-month retention period of the Directive followed by what does not result from the Directive, namely a deletion requirement in Norway. Then, much more stringent storage security requirements have been imposed with encryption and closed storage. There are also stricter requirements for the provision of data with legal requirements. Thus, several of the themes addressed in the judgment have been met in what is the national decision in Norway, but not all. That is why we believe that we should continue to look at how the European Union is dealing with this. Until then, it is up to each EU and EEA country to decide on the laws to be adopted in this area in the framework of the EMC and the EEA Agreement. So we're going to go through the judgment to see if there's a need to make changes to the data storage legislation, which we adopted here in April 2011. It is important that the area is regulated. It is important that we have legal regulations in the field of storage/non-storage. This is important given the needs of the police. I think it was a recognition of that in this room when we dealt with it. I remember that opposition that time meant that we needed a national law in this area – not that it was supposed to be a legal space. So we need to look at how we both ensure access to the data that the police need, and how we're going to take the privacy considerations in the years to come, and we're going to work on that.
ParlaMint-NO_2014-04-09.ana.ud2193e202	I thank you for your answer. I am pleased that the government will go in and look at the Court of Justice of the European Union. My question, however, is, what happens to the work of the government when it comes to implementing the directive? Is there a full stop in that work? I see that Nikolai Astrup from the Right said to the Evening Post yesterday: ‘It is unnatural for us to include a directive in Norwegian law which violates fundamental rights.’ I'm completely in agreement with Astrup. Can the Stortinget now have a conclusion that the implementation of this Directive has been completely stopped, so that we do not continue to implement an invalid and illegal directive?
ParlaMint-NO_2014-04-09.ana.ud2193e213	We in the government proposed to Stortinget to postpone the implementation to the summer of this year, given that we were not sufficiently involved in the technical and good solutions. Of course, we will consider what we might need to do about changes – whether we should make changes – and come back and discuss them with the settlement partners, with the Workers' Party and with the Storting as such, based on the agreement that is in place. But now we have to have time to go through what this means, when, in fact, more conditions have been taken into account in the legislation adopted by the Storing, but not all areas. Then I would like to stress that there is a need for instruments that provide effective tools for the police in the fight against serious crime. In fact, I perceived that a mere majority in the Stortinget – quite wide – was necessary. We need to have tools in the fight against terrorism, against killing, and not least against child abuse, such as child abuse. access to IP addresses is one of the important issues. We know that we have not been able to follow up the investigation in Norway in large cases due to a lack of IP addresses.
ParlaMint-NO_2014-04-09.ana.ud2193e220	We go to the follow-up questions – first Kjell Ingolf Ropstad.
ParlaMint-NO_2014-04-09.ana.ud2193e223	Some of the main challenge also with the Data Storage Directive is that there has been a huge technological development. When the directive was created, smart phones were not that common. Now it is simply possible to circumvent a part of the directive. Those who want to send messages that are not stored can easily do so through e.g. Skype. This means that the directive, which had the primary purpose of being a rigorous directive to take the most serious and organised criminals, instead affects every single innocent citizen. There has also been some of the main criticism in the judgment. Therefore, I would like to say that there is a significant difference between whether the government now wants to review the judgment – which I understand – and then assess what it will do, or whether it is just saying today that we are stopping the implementation, we are going through the judgment to see what the European Court of Justice or the European Union chooses to do. Norway is free to choose to introduce the Directive or not. Then we can find the sure measures to take the organized criminals or the serious crimes that we want to achieve through the use of data storage.
ParlaMint-NO_2014-04-09.ana.ud2193e230	I am very pleased that the representative actually stresses the need for national rules. It was a very important part of my 2011 post in this room that the agreement we had, which was the basis for the changes we made, was primarily a national agreement. It was an agreement on how to implement the fight against serious crime in Norway – not the EEA Directive. It is important to say that even if technology moves fast, and even if you don't hit everything, the question is: Should it mean that you're resigning, or should you actually try to use tools to fight the police, for example. pedophile's assault on children? Should we be able to follow up serious criminal cases? Can we follow up and make sure we have a good anti-terrorist work? The availability of communication data is important to achieve this. It is important to remember that although the Court says that the Directive went too far in terms of privacy considerations, it said that all these purposes legitimised that there should be regulation there.
ParlaMint-NO_2014-04-09.ana.ud2193e235	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e238	I thank the Prime Minister for the assessments she has shared so far, and the Labour Party supports the evaluations and difficult balances outlined by the Prime Minister here. My question relates to the fact that one knows that there are already a number of telecommunications providers that keep a lot of traffic data for a long time. So far, it has been estimated that the legislation in this field does not take sufficient account of individuals, i.e. ordinary people and their production of these traffic data through their general activity in everyday life. My question is then whether the Prime Minister sees the need to regulate this field more closely – regardless of how the Data Storage Directive is now proceeding.
ParlaMint-NO_2014-04-09.ana.ud2193e247	That's it. There is a need to regulate those who have data storage. The fact that we, among other things, the imposition of a deletion obligation was important. There were actually a lot of people who didn't delete that type of data before. The processing of data by the police, which was an important part of the right-wing requirements in the negotiations on it, is important, because it also has something to do with how data released to the police after a court hearing is handled there. It is important that we ensure that we have good rules relating to privacy issues. So it may be that there are parts of what we have adopted that will be seen as unnecessary and that will be too expensive and too bureaucratic if we do not meet a directive requirement in those areas. That's why I think it's important that we have time to go through this and set up the questions related to what we're going to do. Then we shall be in dialogue with the Storting also about those things. It won't come into force until we have done this review, precisely because it will be unnecessary, for example. to create legislation that imposes more on storage than we need to do when the directive is not to be implemented.
ParlaMint-NO_2014-04-09.ana.ud2193e254	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e257	It has been three years since the Stortinget adopted the Data Storage Directive by a large majority in Stortinget. Because Iceland has said no, it is no longer relevant to impose it in the EEA, and there may now be no directive to introduce at all. The Prime Minister will not say that someone is now stopping the work, but we were told by the Minister of Transport that 1 July 2015 was the date of implementation. When the Prime Minister does not now say that one is putting away the work, can the Prime Minister confirm that we can put a line over the date of 1 July 2015? That date will mean that Storting must have dealt with the matter before this summer. When you're going to have a review, this is unlikely. So my question is, can we put a line over the date of 1 July 2015 for the implementation of the Data Storage Directive?
ParlaMint-NO_2014-04-09.ana.ud2193e266	The judgment was published yesterday. We're going to spend time going through it. I don't want to say that we're setting a line, or that we're stuck on July 1st. We actually have to have time to evaluate the consequences of it. What's until July 1st is the question of what requirements we set now and what system we have for the storage itself. Some of those things I hope are desirable in this big thing, just based on the previous question I had, namely that we actually get clearer rules on deletion, that we have a clearer set of rules about this. It is clear that it may be important for us to make some changes to what requirements and other things we should do, but I remember that in the last time in the processing there was a broad connection that IP addresses should be stored. It was at that time an offer to the Right from all parties about a national law that also meant that we should regulate storage and have a storage obligation on part of this data. If not, I think we are dangerously close to being in a very legal space where crime areas develop.
ParlaMint-NO_2014-04-09.ana.ud2193e271	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e275	I would like to follow up on the last speaker's question, because in the supplementary proposal to the State budget, the government announces that they will assess the directive in the light of the ruling of the Court of Justice of the European Union and promote the cause of the Storting during the spring session, so that the changes can take effect in July 2014. Does the government stand by this progress plan? And does the government plan to set aside funds for the implementation of the DLD in the revised state budget?
ParlaMint-NO_2014-04-09.ana.ud2193e280	As I just answered the previous question, we're going to evaluate this. We can't say today that that plan holds, or that there will be changes in that plan.
ParlaMint-NO_2014-04-09.ana.ud2193e285	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e288	I think it has been very disappointing and quite surprising answer the Prime Minister comes along. So it is a dramatic feeling that has come from the Court of Justice. Then it is very special that the Norwegian government should not stop this process in order to facilitate us from scratch to discuss what kind of national legislation we need in Norway, regardless of an EU directive we no longer have to deal with. I want to read what the court says: «The Directive involves a very extensive and particularly serious interference with the fundamental right to respect for privacy and the protection of personal data.» It is not just a crushing judgment on the directive, but a crushing judgment on the Right and the Workers' Party's judgement on privacy issues. That is why my question about the Prime Minister, who has the key to this since half the government is against the directive, will open up the party to turn right on this issue, or whether there is only an adjustment to the already adopted directive that is on the agenda.
ParlaMint-NO_2014-04-09.ana.ud2193e300	It is advisable to read the entire sentence before being morally offended by the decisions of the Labour Party and the Right in this Chamber. In particular, this justification now quoted by the representative points out that DLD does not require access to data regulation by the Court of Justice or an independent administrative body to ensure that the data are not used for purposes other than those strictly necessary, in view of the purpose for which the data were collected. Well, we do that in Norway. We have just taken it seriously that we were strongly critical of the lack of data protection rules around the EU directive. That is why we have established some of the strictest conditions in these areas. Then there are some other areas of the verdict that we haven't changed – that we haven't followed up, and that make us do it. For example, there are groups of so - called confidentiality talks that we have not created special barriers to access. It's an interesting and important theme to look at when we're going to move on. In fact, I do not think that this rallies from Lysbakken are voting if we measure Norwegian implementation with what is in the directive.
ParlaMint-NO_2014-04-09.ana.ud2193e309	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e312	I appreciate the fact that the Prime Minister confirms that she will assess the consequences of the decision of the European Court of Justice in view of the implementation of the Data Storage Directive in Norway, but we also agree with SV that the consequences should have been halted at first. Since the adoption of the Data Storage Directive, we have had some massive examples of what that kind of monitoring and data storage can and will lead to. In a Council of Europe consultation, Edward Snowden just raised the proposal for an international convention to regulate international electronic monitoring and data storage. The question for the Prime Minister is: What is the government doing now to promote international cooperation in order to protect citizens from this kind of monitoring?
ParlaMint-NO_2014-04-09.ana.ud2193e319	I think it's an interesting topic because in that case it must be a convention that takes care of the personal safety of those who have information and data about communication, but also the privacy of those who are victims of crime. There is a balance between privacy in these matters. We also have some massive examples that we haven't been able to investigate gross crime. The largest pedophilia — starting in 2011 — was illuminated and sentenced in several countries. Nearly 300 Norwegian IP addresses were registered. The data was not saved. This was about assault on young children. We couldn't prosecute, we couldn't get that data. I remember that in the Stortinges hearing, the PST chief was clear and clear that in the work against terrorist attacks, in the work for better preparedness, it is precisely this type of information. It's also privacy. It is not just privacy to make sure that your data cannot be researched by the police, it is also privacy to ensure that people have security in their everyday lives.
ParlaMint-NO_2014-04-09.ana.ud2193e324	Let's go to the next main question.
ParlaMint-NO_2014-04-09.ana.ud2193e327	We now have a government that has an answer to almost all of the challenges. If we have a problem in a public enterprise, the answer is: it has to be bigger, we have to put things together – whether it's police, whether it's college, or whether it's municipal structure. The answer is larger units. One of the areas where I have had many debates with the Right is in terms of municipal structure. If we go back a few years in time, the main reason for merging municipalities was to save money. But then you thought, no, we're losing the choice, we're talking about people and not billions. And then you stopped talking about it. So the main reason was that the services in the small municipalities are so bad, it's so incredibly bad services. Then came the large survey of citizens to the state that showed that people were most satisfied with the services of the small municipalities, especially in care and care, and the main challenges were in the large municipalities – hm! What was the next round? Well, then it was the international company, and then it was child protection. Let me take child protection first: Child protection in small municipalities is so bad – we have to collapse because child protection is so bad there. Then a report from Deloitte shows that there was actually better vocational training and more action in small municipalities than in large ones. Last week IKS was the main reason: cooperation between municipalities is a huge problem, so we have to merge municipalities. But there's also a wonderful little detail, and there's more international companies between large municipalities than between small ones. The answer is in any case community merger. I understand that the answer given to the right hand hand hand side, no matter what the problem, is a community merger. On March 5th, Jan Tore Sanner opened up here in the hall to use coercion. My question to the Prime Minister is: is Jan Tore Sanner on the government's line in that question?
ParlaMint-NO_2014-04-09.ana.ud2193e342	I am not familiar with the description given by the representative of the Battle Violence Vedum. I believe that there is a little superficial treatment of a question that concerns mental illness should be given a good offer, whether or not children should receive a good offer, whether or not the weakest groups – those who need the most public – should actually meet professional competence. It is quite logical that in many small municipalities it is almost not possible to have the range of skills you need in order to provide a professional and qualitatively good offer to the inhabitants. I think that's important. In addition, there are many important, important tasks that require a certain amount of people. Then it is clear that there are many good intercommunal solutions to follow up, for example. in the protection of children. I have boasted of many of the intercommunal solutions, but over time they are vulnerable to some, for example. will withdraw, say they will not be involved in that cooperation in the future. Our answer is not larger units, but to make clear demands on the quality to be delivered and on the knowledge and competence. In fact, I think it means something that people are competent and trained to provide good services to the weakest. But I believe that the report that the Committee of Experts has now presented shows us that there is a critical mass in order for us to achieve this. Then our answer is simple and straightforward: the solution is not coercive – it is taking a broad political responsibility in Norway to take that debate locally and centrally if it is not time for us now to see that the municipal boundaries should not prevent the weakest people in our society from actually getting good enough services, that they should meet people with good enough professional skills to do so.
ParlaMint-NO_2014-04-09.ana.ud2193e354	I think it's almost amazing that the Prime Minister again chooses to push the child-restraint children in front of him. Looking at the large report that Deloitte has made on child protection in Norway, it concludes with the opposite of what the Prime Minister now says. It concludes that there is the best vocational training, most interventions and the best follow-up in the small municipalities. If there is child protection you are concerned about, you should go into child protection and discuss people, not the structures. Now Erna Solberg starts a huge process and discusses structure, but forgets people. I would like to repeat my question, which the Prime Minister did not answer: is it the principle of volunteering to be based, or does Prime Minister Jan Tore Sanner share the wish that coercion be used if necessary?
ParlaMint-NO_2014-04-09.ana.ud2193e363	The government's starting point is volunteering. So we've said that limiting coerciveness, for example. in a situation where several municipalities have discussed community mergers and there is a broad majority in many, but not necessarily in one, is an opportunity – it must be possible to get a cross-section from the national parliament in order to achieve it. It's a coercion that I think is right. Then you take into account the broad people's will, but you don't let each municipality be the one that in such a context slows the changes in order to get good solutions. But the starting point is not to start with coercion. The starting point is to start with our responsibility for providing good services. We have a responsibility when, for example, we have a responsibility. will move back even more mentally ill clients who have completed treatment but need care, follow-up and support for many years to see to it that they meet a competent crew. If you have 1,000 inhabitants in a municipality, it is difficult to take care of it – if you suddenly get it. One of the reasons why we have created our own system of top financing for heavy users, as we did when I was a municipal minister, is precisely the municipal structure in Norway, because it can be so random when a small municipality gets a heavy disability. It shows that we're patching on a system that doesn't work.
ParlaMint-NO_2014-04-09.ana.ud2193e372	Geir Pollestad - for follow-up questions
ParlaMint-NO_2014-04-09.ana.ud2193e375	We have come to understand that the government wants fewer municipalities. One of the most interesting questions then is the degree of coercion that might become relevant to getting this done. State Council Sanner has used the UK example — and it has been repeated by the Prime Minister now — that if three out of four municipalities say yes, one may be willing to use coercion against the latter, unwilling. I would like to ask: in a situation where five, six or ten small neighbouring municipalities in a region are turning their thumbs down for the government's merger reform, will a desire to use coercion, or will one respect the local desire of the municipalities in that region? Is the use of coercion that the government sees for itself limited to the example of Sanner?
ParlaMint-NO_2014-04-09.ana.ud2193e382	The government has not spent much time discussing the question of coercion or not coercion. Our starting point is that we are now going to start a debate based on volunteering. That's why we're not talking about what this hall will finally do. It's going to be up to this hall, if things come up at some point. It's a long way ahead. First, we will start the debate on why we need a different administrative level at municipal level today – what content and what services – not how to force reluctant forces to participate in it. We believe that this is a siding that comes to the end of a phase like this, which is up to the Storting to decide. Our focus is the process of discussion. My experience is, both when we look at the KS decision and when we look at the discussion outside, that this discussion is alive, because you want to see other ways of organizing and becoming larger units, just for the weakest.
ParlaMint-NO_2014-04-09.ana.ud2193e391	Trond Giske – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e394	It is absolutely essential that the services of the citizens govern how we organise our welfare state. This must also be the starting point for the discussion on municipal structure and on the level of administration. At the end of the day it's about the municipalities being efficiently organised, but not least that we have prioritised spending our money on welfare instead of other things, and do not set, for example, tax cuts first. A few months ago, one of the Right’s representatives went out and thought that we could have pilot schemes where the municipalities also assumed responsibility for high school. This means that some municipalities that are large enough – the largest city municipalities – will be able to take responsibility for secondary schools, while other municipalities that do not have a population base for it, simply will not have any influence over the secondary school offer for their inhabitants. Is it, in the view of the Prime Minister, the right way to approach good services for people, or does it only create even greater problems with an efficient and quality good supply structure for people?
ParlaMint-NO_2014-04-09.ana.ud2193e403	This is an area where we've had several so-called task-differentiated trials. We had this kind of experiment in Båtsfjord. The evaluation of it was very good. The municipality of Båtsfjord got to run high school. This resulted in less setbacks. This also resulted in the presence of more youth leaders. So these are examples of how this worked well. This is a small district municipality in Finnmark, not a large, central municipality. We also had the idea that we would carry out such an experiment in Asker and Bærum. The challenge was that when you have increasing population growth somewhere and have trials where you need to develop new schools, it is quite difficult to get there. I believe that such attempts could also be interesting in order to gain some pedagogical experience based on cooperation in high school and high school, but the government has not taken a decision on whether to approve it, and currently has no programme for us to have differential trials in high school.
ParlaMint-NO_2014-04-09.ana.ud2193e412	Geir S. Tuskedal – for follow-up questions.
ParlaMint-NO_2014-04-09.ana.ud2193e415	It seems that there is a broad understanding that a community reform is useful. It is therefore important to provide good motivation for this in order to achieve a good voluntary scheme. The reform must last for the long term. Now we know that we're going to start distributing tasks, and in the first round we're going to find tasks from the state, the department, the directorate and the statesmen. But then there is an uncertainty about the county council, because it will affect what is a good and right size for the new municipalities. Uncertainty here can lead to a lack of motivation, and lack of motivation results in less volunteering, and thus we can risk reducing the success of the reform. What does the Prime Minister think of the third elected level not being included in the mandate of the Committee of Experts, or so far promised as a decisive factor for successful municipal reform?
ParlaMint-NO_2014-04-09.ana.ud2193e424	I have seen a very clear signal from several parties on the Stortinget that we should not include the third level of government – or the second, if you count from below and up – in this assessment. The two governmental parties have a clear and clear view of this, but the other parties have wanted to maintain a territorial, regional, administrative level. That's why the government's strategy has been to listen to the signals we've received from the rest of the world, that we should not draw it into the question of municipal structure. If it's like there's completely different signals now, it's going to be interesting to bring them with it. Then we might be able to consult on it. Obviously, there's nothing wrong with the government wanting to discuss how many levels of government we're going to have. But I think we're going to review the municipal structure based on the tasks they have today and the tasks we see in the future. Then we have to see if we need another level of government in retrospect. I just want to say that I hear new signals now, which is a little different from those I've been given before.
ParlaMint-NO_2014-04-09.ana.ud2193e434	Ketil Kjeseth - for follow-up questions.
