ParlaMint-NO_2014-03-26.ana.ud2183e26	The called alternate of the Vestfold County, Steinar Gullvåg, has taken the seat.
ParlaMint-NO_2014-03-26.ana.ud2183e139	Karin Andersen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e142	The changes made by the government in the case of a differentiated employer’s fee have dropped like a bomb in many places, especially in the north, of course, but also in the districts. One of the most surprising things was that it is a finance minister from the Progress Party who is now sugaring on the idea of a whole transport industry in the districts, because the system of reduced employers’ fees is established to compensate for geographical differences and inequalities, and it is more expensive to live in the districts and far north – it is far from the markets. There is also a political conscious approach to maintaining jobs, housing and activity in the districts. There is a logical flaw in what the government has done when the transport industry is no longer involved. Will the government initiate the reintroduction of the transport industry?
ParlaMint-NO_2014-03-26.ana.ud2183e149	The logical flaw, as the representative Karin Andersen calls it, is then made by the EU. It was also done under the knowledge and will of the previous government. I believe that both the previous government and this government have worked hard and intensively to provide the best possible differentiated employer fee by 2020. The important thing in this is that all municipalities are still in the scheme they have been in, as well as 31 new municipalities. Then it is absolutely right that the decision taken by the European Union last June means that some industries will be exempted from the scheme. The job we are doing now is to narrow it down as much as possible so that the damage is minimised for the industries concerned. Secondly, we are working on the best possible compensatory measures, and I believe that is also in the interest of SV.
ParlaMint-NO_2014-03-26.ana.ud2183e154	Let's move on to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e157	My question goes to the Minister of Industry. The eagerness to give bonuses is high both here and there, whether it's the trade union movement that's the partner of SpareBank 1, whether it's the state that's the partner, or whether it's private. In the last few days, we've seen that leaders in several state companies are still getting very high wages, and with bonuses, pension schemes and other benefits, we're getting into considerable amounts. Helge Lund in Statoil, for example, got $7 million. kr in basic salary in 2013, while different bonuses, benefits and schemes amount to nearly 6,8 million. kr. Rune Bjerke in DNB, who has invited to split layers, got a bonus increase last year at 26 pst. In both these companies, annual work and costs are cut, but management fees are not included in the savings. On the contrary, if the company is given a large cut, the top managers are rewarded with an additional wage increase. For many, this is quite hard to understand. This is nothing new. The growth in management wages has been a sustained trend, leading wages rose twice as fast as usual in the decade up to 2007, according to the Norwegian School of Economics. The second major trend in the last 20 years, including in Norway, is the increasing use of variable wage compensation schemes, such as bonuses. The growth of management wages is worrying for all those who want to avoid a society with greater differences, it is demanding in the meeting with the wage settlement, and it is also not entirely in line with the government's stated objectives of moderation in the management salaries of companies owned by the State. My question to the Minister of Industry is what the Minister of Industry will do through the ownership dialogue with the companies and through the government representatives in the boards to slow down top management wages.
ParlaMint-NO_2014-03-26.ana.ud2183e170	Our system is such that it is the responsibility of the board to determine directors' salaries. Those management salaries shall be in line with the guidelines of the State. For our part, it is that we have said that the management salaries should be competitive, but they should not be wage-leading, and they should contribute to moderation. That's our starting point. So it's so that in several areas we can follow up on this and will follow up on this. One thing we do through ownership dialogue with the companies, where we communicate what is the government's view of leadership wages. The other thing we can do and will do is review this in the context of the ownership message – i.e. whether the government's guidelines are good enough. The third thing we can do is, of course, look at the legislation related to this in terms of transparency, etc., which has also been a debate on. So we're going to follow this up. It is important that state companies follow state guidelines. If it doesn't, of course, have consequences, even when we select directors of the companies.
ParlaMint-NO_2014-03-26.ana.ud2183e177	I would like to thank you for the reply from the Council of State. I am pleased that this is something the government and the Council of State will follow up with three concrete measures. What's then exciting is what signals the government gets into the ownership message that comes in this spring. Is it true, then, that in the ownership notification there could already be a change of direction in terms of top management remuneration in the rented state company?
ParlaMint-NO_2014-03-26.ana.ud2183e187	Yes, this is some of what we want to look at. I will not forge the content of the ownership message, it is not finished yet, but we will get back to that when it is ready.
ParlaMint-NO_2014-03-26.ana.ud2183e192	There will be follow-up questions – first Hans Olav Syversen.
ParlaMint-NO_2014-03-26.ana.ud2183e195	The Financial Committee was recently visited by the Folketry Fund. It is a fund that is very concerned with ownership and responsible ownership on behalf of the country. One of the interesting signals that came from there was that the narrower the circle of directors, bonuses and not least pension conditions, is, the more favorable it becomes to the leaders – perhaps because those who sit on the boards are leaders of other companies where the board members have only changed positions, and then in many cases you help each other. Switzerland has now agreed to add the decision to the general meeting in this kind of situation. My question is: is there something that will be assessed in the ownership message?
ParlaMint-NO_2014-03-26.ana.ud2183e202	I don't want to deny that we can make that assessment. But I believe in the division of labour that we have, that the board is responsible for determining directors' salaries. What we have to ensure is that the government follows the guidelines of the state. To me, of course, the board does. If not, it must have consequences for the government. In addition, I believe it is very important to have transparency around the total payments. We have to have openness, and we have to have cleanliness – they have to be easy to understand. This is something we get back to in the review we do in connection with the ownership message.
ParlaMint-NO_2014-03-26.ana.ud2183e209	Else-May Botten – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e212	In Norway, we have a flat pay structure, and there are small differences. The matter that came up about DNB, with the split layer, clearly challenged the moderation line. Although they haven't done anything illegal, it's an ethical challenge that lies there. Does the Council of State recognise that a leadership wage development out of course challenges the flat pay structure in Norway, and does the Council of State consider that this could be a problem in that case?
ParlaMint-NO_2014-03-26.ana.ud2183e219	As I've said, it's the board that sets management wages. The Governing Board shall deal with national policies. This was the same before the government change as it is today. If the board doesn't, it can have consequences for the board. I take it for granted that the board is dealing with the applicable guidelines. So I'm not going to comment on individual wages and salaries in individual companies.
ParlaMint-NO_2014-03-26.ana.ud2183e226	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e229	This is a repetition in this room. There have been rumors from all parties that this is an unculture that one wants to stop. This was last debated on 19 March last, on the basis of an opinion of the Control Committee. Everyone agreed that the management salaries of publicly owned or leased companies are increasing more than those of the private companies, cannot continue. Everyone agrees – nothing happens. What the state council has now said is what has been said by all state councils – nothing is happening. I have two questions: Does the Council of State find this development serious, and is there something to stop – yes or no? Point two: Is it not appropriate to make the submission of minutes by government representatives at the General Assembly and to point out that the will of the State is not being followed?
ParlaMint-NO_2014-03-26.ana.ud2183e236	I have little experience with repeaters in this room. But for this government, it is important to clarify what is our policy in this area: wages should be competitive, not pay, and moderation should be demonstrated. What we are doing now is to review this in the context of the ownership announcement to be promoted for Stortinget, hopefully before the summer, so that we will have a good debate related to this. It may then be appropriate to respond to the general meeting or the appointment of members of the Governing Board if the country's guidelines are not followed. But I stress that we are dealing with the decision of the board when they indicate that these are within the guidelines.
ParlaMint-NO_2014-03-26.ana.ud2183e245	Snorre Serigstad Valen – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e249	There's a lot of talk about moderation in pay terms this year. Usual workers have shown moderation in settlement after settlement in Norway. The government has not had any problems worrying about wage developments in, for example: The industry in Norway, but when it comes to the salary level of directors of state-owned companies, we only get answers where the Council of State hides behind words as guidelines and that it is, in fact, law, etc. But I'm a little busy with some moral assessments from the Minister of Industry. Now Statoil and herrings in coffee and peanuts are driving the employees, etc., while Helge Lund is getting a huge increase in his salary. I am fully aware that the Council of State can respond once again by referring to guidelines and reviews, etc., but I wonder: What does the Council of State think about these salaries? Does the Council of State think that it is decent that the Director of Statoil earns more than ten times as much as the Prime Minister of the country?
ParlaMint-NO_2014-03-26.ana.ud2183e256	It is that the division of labour in terms of the responsibilities of the board is the same now as it was before the government change, when the party representing the representative is put in government. So it's the board that determines pay. What we can do, and what we'll do, is make sure that it's within the state's guidelines. So I've said, and I repeat, we're going to go through the state's guidelines. We go through the law related to this because we are concerned that we should be competitive, but not pay-paying.
ParlaMint-NO_2014-03-26.ana.ud2183e263	Then we move on to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e266	I have a question for the European Minister. After almost half a year in government, there is a picture of a government in a very passive state of EU and EEA legislation. Immediately after the government change, the government announced that a would reverse veto against the Postal Directive. It will make it more difficult to maintain postal transport throughout the country. So the government announced that one no longer has objections to the EU rail package IV. This could mean putting the railway out of competition. A few weeks ago, the municipal minister announced that one does not consider it possible to maintain a differentiated employer’s fee for all sectors. It's hard for the districts, especially in North Norway. Earlier this week, the Minister of Agriculture warned that a person is giving up the fight to produce fishmeal for animal feed, despite the fact that it is environmentally friendly, that it is free from genetically modified organisms, and that all the professional bodies, including in the EU, say that the EU’s requirements are not justified on a professional basis. The government also appears to have given up securing Norwegian banking customers through the so-called bank deposit guarantee, which provides Norwegian banking customers with much less protection for their savings than before. In addition, the government also appears to have given up the possibility of securing the position of NPISHs in relation to the public sector. The consequence of this could be that non-profit actors have to compete for tenders in line with commercial operators. I could fill up with even more examples. But the question is, what are the ambitions of this government towards the EU? Will one in some cases take care of Norwegian interests, even when they go across the EU, or will one in all cases, as I have just mentioned, be completely passive towards the EU and the EEA?
ParlaMint-NO_2014-03-26.ana.ud2183e279	I thank the representative Arnstad for having had a good review of various things that lie on this government's table, which have been on the table of former governments. It is true that we have an active European policy, but we have it based on the values, principles and policies of this government. Ensuring industrial competitiveness is not least. As a result, we want a level playing field for Norwegian businesses and their competitors in the EU. So let's do that. One important thing: we have, on the Norwegian side, been considerably reduced by legal acts. It sounds bureaucratic, but it's about, we're going to have to put in place the same rules for Norwegian companies that their competitors have. There was a significant aftermath from our predecessors. Then we have taken important initiatives in climate and energy policy. Energy is a heavy area for Norway. We have taken initiatives on a level playing field between airlines in Europe. We have also inherited some things, as it was referred to here, from previous governments. On the question of tendering rules for non-profit institutions serving households – the decision was taken last year. And similar for a differentiated employer's fee. As regards the issue of fishmeal in animal feed, the same is true: there have been decisions taken a long time ago, and we must therefore note that the former governments have done nothing to influence it. This is a government that places emphasis on policy implementation, but this is not a government that has retroactive effect. That's the starting point we need. So it's important that we now work to see what decisions are coming in two years, instead of caring more about the decisions that were taken by the EU two years ago. If we are to influence, we must look forward to it.
ParlaMint-NO_2014-03-26.ana.ud2183e290	I am still not very reassured about the government's inaction to EU and EEA directives. Instead, I note that the government is constantly apologizing for what the EU has adopted while setting up a red-green government. Now it is not often that I use former leaders of the European Movement as a witness to truth for what I believe, but former leader of the European Movement, Paal Frisvold, says that last June the EU made a decision on the difference in the employer’s fee is quite possible. He says the train has not gone for the sector exceptions. This must be possible, for example: notifying the aid to these sectors under other State aid rules, if one so wishes. In order to give the Council of State an opportunity to say a little about the ambitions of the government, I would like to ask again: does the Council of State think that there might be reason to go further on this kind of initiative to which Frisvold referred when it comes to the fight to maintain the best possible differential employer's tax?
ParlaMint-NO_2014-03-26.ana.ud2183e299	As the Minister of Finance also mentioned earlier, we are now working to see how we can ensure the best possible results for Norway in terms of the differentiated employer fee. In the case of EU regulations, there are two sides, and you have to check both. The first page is when the legislation is drawn up. There went the train – or the trails – last year, in the first six months. The Commission presented a proposal in January, the decision was taken in June. But then it's the other side, and it's adaptations: seeing how to interpret and apply the law in a decent way. There is also room for action and opportunities for Norway, and that is where we are now – not on the general rules, but on how we can adapt them to Norwegian reality in the best possible way. There we work very actively towards the revised national budget. The question of State aid rules is interesting in this context. I can reassure the representative Arnstad that here we are at the ball, but Norway should be more at the ball in the first six months of last year when it came to regulatory development.
ParlaMint-NO_2014-03-26.ana.ud2183e306	Janne Sjelmo Nordås – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e309	A development that has been a cause of concern here in the United Kingdom is the transfer of power to agencies and supervision in the EU, which on an independent basis can make decisions and penalise Norwegian business. We then give more sovereignty than the EEA Agreement provides. Such an example we saw in winter, when the Council of State announced that ESA is now given the power to fine companies that violate the terms of the marketing of medicinal products. How many such waivers of sovereignty must we expect before the Storting is given the opportunity to discuss this in full?
ParlaMint-NO_2014-03-26.ana.ud2183e316	There is a long tradition in this room to deal with issues of waiver of sovereignty under the second paragraph of the Basic Law, Section 26, where there is a little interventional transfer of authority. All batches that have been in government during the lifetime of the EEA Agreement have participated in this type of transfer of powers. Then we have a challenge in that there are an increasing number of agencies and supervision during establishment in the EU that will have – and already have – more interventional powers than what we can accept in the framework of the Constitution and the EEA Agreement. Financial supervision is one such example. There we work hard to find a solution in dialogue with the EU and our EFTA/EEA partners, a solution that is within the Constitution, and a solution based on the two-pillar system of the EEA Agreement.
ParlaMint-NO_2014-03-26.ana.ud2183e323	Ingrid Hegø – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e327	The representative Arnstad had a number of examples of topical issues that are very important to Norway, and asked what ambitions the government had. The Minister's answer was that the government has an active business policy with no retroactive effect, and almost everything that had gone wrong was due to the fact that the negotiations with the previous government had not led. Therefore, I will give the Minister a chance to say something about it as, among other things. liability for a differentiated employer's fee. What concrete ambitions does the government have?
ParlaMint-NO_2014-03-26.ana.ud2183e332	As the Minister of Finance and Industry has also pointed out earlier today: we have ambitions to increase the number of municipalities that will receive a lower level of the employer’s fee. We have ambitions to ensure that the sector exemptions that were knocked on last June will be as narrowly applied as possible. We have ambitions to look at and clarify other concrete effects resulting from these changes, so that we can find measures that can mitigate these effects. So it's not like we, because the main question was settled last year, are now laying us flat. We are actively working, and we are coming back with concrete actions in the budgetary process.
ParlaMint-NO_2014-03-26.ana.ud2183e337	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e340	Here we have a government council with executive powers on a visit. But I sometimes wonder what kind of form the executive takes, because what we've seen now is a tremendous eagerness to unilaterally draw Norwegian positions in Brussels, without getting anything left for it. We saw that in the postal directive, we have seen it in the case of the railway case, and we saw it for a little while – until the court came – in the case of the ostetoll. I'm not surprised that this government is too free competition in postal and rail, but I'm surprised that one goes into discussions with the EU and gets flat before one starts negotiating, and I'm not trying to get anything left for the positions you give up. I have never heard that it is particularly good negotiation tactics. Therefore, I wonder why the government's line is to start negotiations with drawing Norwegian positions without getting anything back, and who has given this negotiating tactical council to the Council of State.
ParlaMint-NO_2014-03-26.ana.ud2183e349	It is hardly surprising to anyone, either in this room or in Brussels halls, that the parties currently in government want more competition in the postal market and more competition in the rail sector. There are positions that we have had for a long time – the Bondevik government presented proposals on the liberalisation of the postal market – so I don't think this is short to play in a negotiating context. Then it is important that we do not forget in this Chamber and in media debates that the main thing about the EEA Agreement is that we will be in the internal market. When I meet businesses around the country, they do not ask about all exceptions and special arrangements; they ask when we can get the legislation in place, so that we have the same rules as our European competitors. That is what creates values, that is the basis for our well-being, that we have a business that can compete – and compete well – under the same conditions as others. That's the main thing we should not forget when we lose track of the details.
ParlaMint-NO_2014-03-26.ana.ud2183e356	Let's go to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e359	My question goes to Minister of Industry Monica Mæland. There are more than 500,000 individual enterprises registered in Norway, and although some of them have little or no activity, and many have other paid employment alongside running their enterprise, there are very many who feed on just being self-employed. It seems that the left is fundamentally good, and we want to make sure that more people do it, that is, create a job for themselves and maybe a few more. This is an engagement that it might look like we're kind of alone about in political Norway. Despite repeated promises, the previous government did nothing to improve the conditions of the self-employed. Nor does the new government have any obliging stakes in individual enterprises or self-employed persons in the government platform. The only thing that says about self-employed people is that they are to be exempted from the rules on collecting paper. That's good, but hardly any big bet. This is somewhat strange, all the time when both the Right and the Advance Party closed up wholeheartedly on a proposal from the Left in the previous magnificence, in which we together asked the then government to carry out an overall review of the conditions of individual enterprises and proposed to the Storting on concrete improvements specifically related to fiscal non-discrimination, social rights, simplification measures, access to capital and the arrangements and efforts of the public agency. My question is: why does the government show little initiative and little implementation when it comes to improving the conditions for self-employed workers in line with what they promised before the elections?
ParlaMint-NO_2014-03-26.ana.ud2183e374	I am absolutely concerned about the conditions for small and medium-sized enterprises, which are the most of them in Norway. 99 pst. has fewer than 100 employees, and very many have fewer than 100 employees. So when we make changes in the tax environment related to both property taxes and inheritance tax removal, this benefits small and medium-sized enterprises. When we have ambitions to simplify, this benefits all the small and medium-sized enterprises, because they have much less resources and less time to report to the authorities. When I have meetings with entrepreneurs to hear how we can facilitate more entrepreneurs, it is also about small and medium-sized enterprises. So we're definitely focusing on this. I am committed to facilitating small and medium-sized enterprises, and then perhaps this with simplification is the most important thing, because it frees time to do what you want to do, that is, to run your business.
ParlaMint-NO_2014-03-26.ana.ud2183e381	I thank you for your answer. I understand that, at the general level, certain measures have been taken and certain measures taken. That is good, but I still miss what goes directly on the smaller businesses, on entrepreneurs and on individual companies. Then I would also like to highlight the need for it to be focused on facilitating women's bets. We know that there are far fewer women than men who are self-employed, and we know that individual enterprises based on men have a higher survival rate than the equivalent started by women. Then there is the concrete question: will the Council of State, together with the Left, secure a majority in order to improve social rights? Can the Council of State specifically confirm this for the group that I have asked questions about here?
ParlaMint-NO_2014-03-26.ana.ud2183e390	I would like to confirm that we will receive good input from the Left to create good policies for small and medium-sized enterprises. I'd like to cooperate with the Left on proposals related to this, but going into proposals I haven't seen, I'm going to be very careful with. My starting point is that good general industrial policy is also a good industrial policy for small and medium-sized enterprises. We are now working on a comprehensive policy for entrepreneurs, and one of the things we have to look at is why too few entrepreneurs are women. So this is something we work with and come back to, and we like to cooperate with the Left about it.
ParlaMint-NO_2014-03-26.ana.ud2183e397	Terje Breivik – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e401	My follow-up question goes to Minister of Finance Siv Jensen. Economic operators create their own jobs, where they personally have the financial risk of the operation, and they have neither entitlement to sickness benefits nor unemployment benefits. They are also not entitled to assistance from the Wage Guarantee Fund in the event of bankruptcy. Nevertheless, they pay more in taxes than usual employees with the same income. In particular, it applies to non-high income. The explanation is simple: Ordinary workers are entitled to the minimum deduction, not employed. The left has suggested, on several occasions, the introduction of a right to compensation for the deduction of the actual costs of the trader. Simplification measures as well as targeted tax measures take them with the lowest income. For a batch that is busy bringing down the total tax burden and giving tax relief to those with the lowest incomes, this should be in the middle of the flash. I therefore hope that the Minister of Finance can confirm that she shares that view.
ParlaMint-NO_2014-03-26.ana.ud2183e410	When the government presented the supplementary proposal for the current year's budget, we proposed tax reliefs of over 7 billion. kr. It benefits both self-employed and limited companies and the general business community, and that is good. It's a work the government will continue. I hear that the representative Breivik also points to a wide range of other measures, instruments and issues that affect the daily self-employed. There are areas where different government councils are looking at and working on, precisely with the intention of simplifying their everyday lives, so that they can concentrate their efforts on running the company well.
ParlaMint-NO_2014-03-26.ana.ud2183e417	Odd Omland – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e420	My question goes to the Minister of Industry. Simplification is – as we have heard – an important contribution for small businesses and individuals. The government of Stoltenberg started a great deal of work with an ambitious goal of 10 billion. NOK in savings by 2015, and we were in a good path. Today's Business on February 20th, we read that the government has to simplify first to simplify. We are talking about the Council of the Rules of Procedure, and in this context one has to wait for the rules of the Minister of Modernisation. It also talks about establishment in 2015. My question is, When can you expect the government to start its simplification work? Will the government start the proposals that were clear from the previous government as soon as possible?
ParlaMint-NO_2014-03-26.ana.ud2183e427	I'm very pleased that the red-green government started working on business simplification towards the end of its eight-year period. It's very important, and that's one of the business issues in all the meetings I have. We have a more ambitious program to simplify, and we're working on it. After our accession, we have implemented 14 simplification measures, we have 18 measures in implementation and many more on the table. Then there was a suggestion that the Minister of Modernization is working to modernise the plan. It'll be good if we introduce a rule board – if it's in place – but there's no premise. And it's no problem that two departments work with simplification at the same time. It's actually just good.
ParlaMint-NO_2014-03-26.ana.ud2183e434	Per Kåre Foss – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e437	Founders and self-employed people are an important resource that contributes to innovation and jobs in Norway. The pressure on supply and presence in small enterprises is particularly high, and absences are often difficult. Then I also talk about absences that we in society experience as normal, like at birth, illness in the family, etc. The Christian People's Party has for several years proposed changes aimed at equalising the social security rights of entrepreneurs with the rights of workers. My question to the Council of State is: What concrete measures are being taken to improve the social rights of entrepreneurs and self-employed people?
ParlaMint-NO_2014-03-26.ana.ud2183e442	I ask for understanding that it is not my constitutional responsibility to answer questions about social security rights, but, as the Minister of Finance said, several departments are working to simplify precisely to increase value creation, perhaps especially in small and medium-sized enterprises. My responsibility is to ensure good policies for entrepreneurs. I have meetings with entrepreneurs, and I keep asking, how can we better facilitate more entrepreneurs? Getting enough capital, getting enough skills and creating a framework for us to become an even more innovative country is what we need.
ParlaMint-NO_2014-03-26.ana.ud2183e449	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-03-26.ana.ud2183e452	Simplification is good, and we look forward to further work by the government in terms of simplification. During the winter that we have spent behind us, the government has implemented a number of measures that weaken the framework conditions for individual enterprises, entrepreneurs and small businesses. We have had a historically high increase in the diesel tax, which affects very many individual companies and small businesses. Nearly half a billion dollars have been removed from regional development funds, which is an important source of initial capital and birth aid for very many entrepreneurs and small businesses. The question is what we can expect from the government in the future in order to correct some of the problems they have caused to small businesses and sea-going business in winter through these decisions. Can we expect better arrangements and better framework conditions for this group of traders, e.g. in the revised national budget?
ParlaMint-NO_2014-03-26.ana.ud2183e461	I will not stand here and explain the content of the revised national budget. I'm sure the questioner has a lot of understanding for that. I experience very good feedback on the budget that was adopted by the Stortinget in December. Our commitment to industrial research and innovation, our prioritisation of nationwide schemes in Innovation Norway, our commitment to transport and, not least, growth-promoting tax incentives are making – and making good. Overall, I get good feedback on the policy of the government in this area.
ParlaMint-NO_2014-03-26.ana.ud2183e469	Let's go to the next main question.
ParlaMint-NO_2014-03-26.ana.ud2183e472	My question is to the Minister of Finance. When we're discussing the incredible bonuses to rich directors in state-owned companies right now, it's worth thinking about the following: A home help that earns less than $30,000 a year, gets 27 dollars a day in tax bills by the finance minister. It's less than I got in the week's pay when I was a nine-year-old. On the other hand, directors like Rune Bjerke and Helge Lund don't only get huge bonuses – they also get a "riching bonus" from Siv Jensen. They get a tax return of 107 kroner a day, 39 000 kroner a year, 390 times more than home help. Will the Council of State say that her policy is mostly a support to hard-working, low-paid women and people most, or a direct call for more pay-for-rich directors?
