ParlaMint-NO_2014-03-19.ana.ud835e26	The representative, Mr Ketil Kjeseth, will present a proposal for a representative.
ParlaMint-NO_2014-03-19.ana.ud835e197	We have ten years of compulsory schooling in Norway, so it's not just a right but also an obligation. But the next few years are actually optional. It is not the case that in Norwegian school there is no penalty for absenteeism. First of all, there is absence on the certificate and there is legal absence as well as illegal absence. It may be important that we teach Norwegian youth that an employer is going to look at it – that it has a meaning of how much absence you have. We know that there's some of the things that are going to include apprentices that look a lot. If you meet a manager of a medium-sized enterprise in Norway who has some apprentices, he will say that the first thing he sees is how much absence the apprentice has had in school, because they see it as a matter of commitment. So it's important to teach the students that it means something, what's on the diploma related to absence. The second is the ability you actually have to give order and behavioral characteristics. Whether we should have penalties in other ways at the same time, for example: say that there is no basis for setting a professional character, or otherwise, the government has not assessed. I think it's important that we discuss this question. I have a hope that it is possible not only to run with punishment, but actually also to mobilize both parents and youth themselves to see that going to school is a privilege that many people around the world are not allowed to take part in, that getting an education and a diploma is important for further participation in the working life of Norway, and that you should not waste your youth on having a great deal of absence. We want to look at opportunities to regulate or anything else, but first of all, I feel that we should appeal to Norwegian youth to take responsibility for themselves, and perhaps show them the confidence that means that if we are clear and clear that it is unacceptable to have a lot of absence, then the first thing we need to do is not to create new rules.
ParlaMint-NO_2014-03-19.ana.ud835e208	I would like to thank the Prime Minister for his answer. I think she points to something that is very important, namely that high school students are about to go out to work and meet a demanding labour market. Then I think we're doing them a lot of bear service by not making greater demands on them while they're students at school. Although these are students who are soon adults, there are many high school students who are still under 18 years of age. This means that parents and superiors also have a place in this image. What does the Prime Minister think about the role and responsibility of parents for high school students? Does she agree that closer cooperation between school and home could also help reduce absenteeism and homelessness in high school? If so, what will the government do to strengthen this cooperation?
ParlaMint-NO_2014-03-19.ana.ud835e215	I fully agree that parents of children who are minors, as well as parents of children who live at home even though they have become competent, should both be notified and have an opportunity to take this up with their children and follow closely up. There are some schools that have good projects on this. Among other things, there are schools that follow in particular the children who fall out a lot, and who have additional problems, who not only cheat because it is Czechs to sit and talk and be somewhere else, but who actually have some problems with the motivation to go to school. For these, many schools have good projects such as: go out to pick up children at home or make sure to call them in the morning. Where family relationships don't work well enough, there's a lot of work going on around the municipalities. I have visited several schools that have good projects related to just this. At the same time, I believe that the role of parents must be the first. They are the ones who will ensure that their children participate in the education system and can make use of their opportunities. Therefore, schools must have good contact with their parents.
ParlaMint-NO_2014-03-19.ana.ud835e222	There will be follow-up questions – Trond Giske.
ParlaMint-NO_2014-03-19.ana.ud835e225	We celebrate the 20th anniversary of the establishment of this hall with a statutory right to secondary education. Even though the right at the time voted against, I see that there is no need to reverse this right. Unfortunately, it is – and it has been completely constant over the 20 years – that it is only about 70 pst. who have completed secondary education five years after they began. It is serious for the individual, it is serious for the Norwegian economy, and it is serious for Norwegian working life, because we need skilled people – both skilled and with study preparation subjects. Then the question is, what can we do to help more people get through? Then I think we have to distinguish between different types of absence. It could be people who are gone 25-30 pst. of school time because they have chronic diseases and plagues but still make a great effort, acquire the knowledge and be able to reach the level that satisfies the completion of high school. They should be rewarded and helped through. But then there are others who may come in the hours now and then, coming in the middle of the hour, have illegal absences. In the view of the Labour Party, stricter rules must be introduced against this. Now the prime minister knows that there's a majority in this room to get such rules, give the teacher tools to keep order in the class. It also disturbs other students when half the class does not show up from the start. The question then is: will the Prime Minister ensure that such a proposal is made, so that teachers get the tools they need to help students through high school?
ParlaMint-NO_2014-03-19.ana.ud835e232	I don't think this is an area where there's a need to make a big political disagreement about how to do it. We just have to make sure that the rules we make take into account those people who, for various reasons, are unable to participate in education. We can make very clear rules, but for some groups that today need other help to get to school and be present, that's not what's most important to prevent the drop-off. What is most important to prevent the dropout is early intervention. It's to make sure that students learn to read and write and that they learn basic math. One of the main reasons people fall out of school is that they have problems with professional mathematics. It's now the symptoms show up, but the problem started earlier in school. It's important to look at the cause chains here as well. So there's a group of students who just need to be raised a little bit better. Then the kind of rules that the representative Giske mentions can be important to make them realize that the school is important and necessary. But for many, this is not the biggest challenge of non-response. The main challenge in case of non-response is that there is a lack of quality in early training work in Norwegian schools.
ParlaMint-NO_2014-03-19.ana.ud835e239	Astrid Aarhus Byrknes – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e242	In 2009, there was a time-use survey in the continuing school that showed that a teacher spent up to 50 minutes during the day getting a rest in the classroom. Teachers also refer to the lack of tools for setting up the necessary authority, and that the authority is actually built up gradually. There are other students who show that the teacher is unable to fulfill his assignment in the classroom because of lack of legitimacy and authority. Teachers also show that they want more sanctions, so that the students actually meet in the classroom. Does the Prime Minister agree that the authority of the teachers should be strengthened? What does the Prime Minister intend to do to ensure that the teacher regains the authority and becomes the leader he will be in the classroom with the students, so that both an absentee and a learner can relax?
ParlaMint-NO_2014-03-19.ana.ud835e247	I think the most important thing is that all of us who are parents teach kids to respect school, that you learn to respect the rules that are. I think the most important foundation is what you have when you start school, and you have to start with it. If I don't remember completely wrong, recent studies have shown that there is actually progress in the area of calm and order, that the teachers spend less time on this, and that the students actually experience that there are less problems with noise in the classroom. But we still lose many hours. In 2009, the right did a calculation of this which showed that we actually lost a little more than a whole day of teaching each week because of lack of concentration and calm. That means that there's a great potential for doing this. So I say the parents have a role before the kids start school. Of course, we're going to have systems that allow us to follow up students who have big problems, so that they get help. Then we're going to make sure that the authority is there because the teachers are well-trained, and it's good management in the schools, which contributes to a system where you respect that in the classroom is the education that's going to take place.
ParlaMint-NO_2014-03-19.ana.ud835e256	Ivar Odnes – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e260	There is a consensus that the reason for absenteeism and non-response is compounded, and that there must be different approaches in order to succeed in getting more people through the school course. The Prime Minister himself has been busy that this must be resolved in the basic sphere as well, not only is the continuing schooling that counts here. The red-green government was busy with this very thing about reintroducing the electoral profession into the youth school stage. This has been seen on the agenda that now at one of the party friends of the Prime Minister here in Oslo, who wanted to introduce the law to instead of the electoral profession in the school in Oslo. There has been a lot of talk about cake here before, and it is important that students learn it in practice and not just theoretically. So I want to ask the Prime Minister: is the Prime Minister in agreement with his party and the Minister of Knowledge in Oslo that the liquidation of the electoral profession in favour of more theory into the youth sphere is the right thing?
ParlaMint-NO_2014-03-19.ana.ud835e267	As you know, the right in the previous magnification period went in to introduce the electoral subjects when we dealt with the message in Stortinget. We're going to implement it. Then I have to say that it's going to be a while until we can see if it has a meaning for non-response or not. It is a theory that the electoral professions should contribute to less non-response, but whether it contributes to it is uncertain. What we know contributes to non-response is poor math education, because math is what most of the subjects end up with. In this way, I think in Oslo, when you get to grips with the core of what's most difficult for many, you've gone to the root of the challenges, that's that a lot of those who fall out of school actually say they can't go on in mathematics. But we're followers of maintaining the electoral profession.
ParlaMint-NO_2014-03-19.ana.ud835e272	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e275	I'm very happy to hear that. I do not believe that the City Council really believes it should be dealt with in its organs. But the challenge is the absence that leads to non-response, and the challenge is that students also have to feel that it is useful to meet in school, that it is a signal to the teachers – who previously learn – unless the students find the benefit of actually meeting up with the education given. Then it's also important to provide for the authority of the teachers, sail if I don't think it's adopted here. But what we can do is help the teachers become more professionally safer and can exercise the authority they have to exercise as leaders in a classroom. What we can do is we can relieve the teachers of all the work that is not related to the teaching job, but that health sisters, special educators and others should do in the network around. Therefore, a massive effort on the type of support functions is needed to prevent non-response. And finally, we have to learn from the schools that fix it.
ParlaMint-NO_2014-03-19.ana.ud835e282	I agree with the representative of Trine Skei Grande that there are many reasons, and they have to meet with a little different measures. It is clear that non-response can also be symptoms of completely other problems, which are not professional but which are challenges. I agreed to start using the Hue campaign against bullying yesterday. There are strong stories about how bullying on social media helps young people not to go to school. It is important to make sure to work against bullying. Making sure to work for lowthreshold services for young people in the field of mental health, such as health sisters, is important. Also making sure that you have places to go as a relative, because your parents have problems, is important. All of this affects participation. Then the professional questions are important. Both the teacher's competence, the entire college of teachers and the principal's management of a school are incredibly important for lifting the professional. There are many answers to a complex issue. Fortunately, children are different, and the challenges are different.
ParlaMint-NO_2014-03-19.ana.ud835e289	Let's go to the next main question.
ParlaMint-NO_2014-03-19.ana.ud835e292	One of the Norwegian successes is that we have used all of Norway. We have actively used the policy of creating living communities, and we have stimulated the creation of value throughout the country. In the first budget of the government of Solberg, it was a clear pattern. There were cuts in all measures that had to do with using the whole of Norway. It was cut in the fishing industry, it was cut in the forestry industry, it was cut in agriculture, it was cut in funds that go to those who are going to create new farms – with half a billion dollars – those who have the new ideas, the better solutions. Everything pointed in a direction towards more centralization. The most important, unbureaucratic tool we have in district policy is a differentiated employer's fee, that companies in District-Norway get a lower tax burden. The government has now announced that there may be a fee shop up to 1 billion kroner. kr for these holdings. My question is: What has the government done to avoid this fee shopping?
ParlaMint-NO_2014-03-19.ana.ud835e301	The representative should have asked himself that question. The areas taken out of a differentiated employer’s fee were removed from the instrument, i.e. the permissible instruments in the State aid legislation, in June 2013. At that time, it was therefore decided that it would be illegal State aid if, for example, the transport sector, the energy sector and the financial sector were granted. different employer’s fee. It's a framework condition we can't do so much with. I know that the previous government took up sectorial restrictions in letters to the EU on a general basis – not necessarily these sectors, but primarily the sector that was out in the last period, namely the yard industry. It's come back in. However, de facto is what is the problem today, and the sectors that have been selected, a result of a decision taken in the EU in June 2013 on what is legal state aid. We have not chosen to criticize the previous government for that, because we believe it would be difficult. They say they've taken it up – we might think they should be better informed. We can take self-criticism that we should have also been better informed, but it is therefore that this decision was taken in the European Union at that time. What we've been working on afterwards is the boundary lines around this. The question we have also been working on is: Are we able to obtain a differentiated employer's fee throughout North Norway? That's what we've done. Can we obtain a differentiated employer's fee in several municipalities further south, which has lost it earlier? We've also done that. However, it has not been possible since the EU decision to reintroduce sectors explicitly excluded from State aid legislation, in the same way as the previous government did not reintroduce the yard industry, for there was also a clear decision taken in the EU at that time. Now there are other sectors out there – the yard industry is in.
ParlaMint-NO_2014-03-19.ana.ud835e308	This illustrates the very clear difference between the Center Party and the Right. It is quite right, as Prime Minister Erna Solberg says, that this decision was taken in the EU on 19 June, but it was not taken by the Norwegian Government. Nor was it accepted by the Norwegian Government. On the other hand, we actively opposed the implementation of the legislation in Norway. We had a different attitude, we had a meeting with them, we had contact in the form of letters, and we made it clear that we saw another solution. Erna Solberg asked for responsibility, she was given responsibility, and then she had to take responsibility, for she has not worked actively, and does not want to stand up to the EU in this matter. Then it is also a little illustrative that, in the form of a letter to Stortinget on 5 February, Finance Minister Siv Jensen writes that there is still an active work to be done on this. My question is then: what have you been working actively with after February 5th, when Solberg here says that it was completed on June 19th?
ParlaMint-NO_2014-03-19.ana.ud835e315	What's in that letter is that these exceptions are in place. So that's the boundary draw question we've been actively working on. It's about, for example, in the energy sector, setting out the framework for which measures are in place and which are outside. We've done a lot of that to try to get the best possible solution, so that too many companies don't experience this. But to say that there's a big difference between the Center Party and the Right: So you put on the watch when this decision happened. We have now gone through all the minutes of the European Committee of the Regions in Stortinget. You have never informed the European Committee that this was a problem, that these sectoral exceptions were there, and they have been there for work from January last year. You've never informed the Storting about it. I can take criticism that we should have informed better in retrospect about what has happened, but the yommet true should have been involved in this before. It didn't do the last government. I really think it's a little bit, yes, especially – I'm very happy with that word, you may have noticed – to hear that those who were responsible when the decision was taken are now trying to waive responsibility.
ParlaMint-NO_2014-03-19.ana.ud835e322	There will be follow-up questions – Marit Arnstad.
ParlaMint-NO_2014-03-19.ana.ud835e326	The most special thing is that the government has resorted to the habit of blaming the previous government for everything that is bad and difficult – so also in this case. A decision in the EU is not a decision of the red-green government. The matter was raised at administrative level in July, it was taken up in the form of a letter in August, and it was taken up by meetings with the municipal minister in the red-green government in September. Decisions taken in the EU and ESA have almost never previously stopped Norwegian governments from doing a job trying to find better solutions for the differentiated employer fee. This has happened in 1999, as it happened in 2005 and also in 2007, when the red-green government set up a new fee. So the question is still: has this government already given up that question, or is it a current option to fight further for a better system, and how will one do that?
ParlaMint-NO_2014-03-19.ana.ud835e333	I believe it is important that we fight for a better system, and we will do so with the timeline ahead of the next revision of State aid legislation. I think we need to be aware that as long as we are part of the EEA, and even if we were outside the EEA, the companies involved are at risk of getting dumping charges against them because they had illegal State aid when it is not authorised under the State aid rules that the EU has. The center party now says they've fought on. I have participated in rounds where we paid a differentiated employer’s fee again – after we had not had it for three years. We did that by working intensively to get this back again as part of EU legislation, because that's the only way to make sure that you have the right to implement it. Now we're working on the compensation measures. We're trying to do that by looking at the areas that can best reach those sectors and regions that are best hit by increased expenditure. We don't want this, and I don't think the previous government did either. That's why we commended the previous government for fighting this. But you have to take responsibility for what happened when you were in government.
ParlaMint-NO_2014-03-19.ana.ud835e340	Else-May Botten – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e343	Businesses are concerned with predictability and not least with competitive framework conditions. The differentiated employer’s fee has been a targeted district policy system that has also been unbureaucratic. We've been very satisfied with that. The struggle has been to get new municipalities within the reduced employer’s tax scheme. The joy was great when the 31 municipalities were granted it. I thought I would take one example: Vanylven municipality in More and Romesdal, which is relatively small, but which has now fallen from 10.6 to 6.4 pst. Many people would say that there are small businesses there, but one of them is a transport operator, which has 7.5 annual works. Only the bill for them is $100,000 a year, and there's something that's been thrown down their heads now. So they're wondering, what is the government actually doing since it took over and up until now? Have you used the space you have? The compensation schemes you're talking about, is it clear what's in it? And are you going to get compensation heads for crowns, like Sanner said at NRK yesterday?
ParlaMint-NO_2014-03-19.ana.ud835e352	First of all, we have worked to get exactly what makes Vanylven get a lower employer's fee. We've used the objective criteria, we've been working on expanding the area. In addition, we have ensured that there was a great deal of discussion about whether we could manage to do so, namely Tromsø and Bodø within a differentiated employer's fee. It is, after all, two large-growth municipalities that break with the usual criteria, but it is a coherent area. It has been important to give priority to doing so. So we've been working on the boundaries that we have in some areas in the exempted sectors – how far do they go? But the main principle that the sectors have been removed was in June last year. We haven't been able to do anything about it, just as little as we were able to do anything about the yard industry being taken out. It was actually in the work before June that had to be implemented to make those changes. It's a cross of thought for me that it comes so surprising to people, but it may be because it hasn't been informed about from the government that was responsible at that time.
ParlaMint-NO_2014-03-19.ana.ud835e359	Geir S. Tuskedal – for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e362	Last week we became familiar with these 31 municipalities, which are now subject to a change in the employer’s fee and a change in the economic areas affected by the scheme. We have been promised that it will be compensated for the unfortunate results that may come from this. I am aware that this is a continuation of the work that the red-greens have been doing and that we are now waiting for in two months to have a decision in the EFTA Court. I have two questions. Because some of these 31 municipalities already have grant schemes that are not affected by the EFTA Court, will those grant schemes continue? Because when business areas can now change, municipalities assess whether they are losing or serving on the new scheme and whether they are retaining the grants that are therefore not affected by this ESA case at this time. My next question is: this can be decided within two months, but when will the scheme enter into force?
ParlaMint-NO_2014-03-19.ana.ud835e371	The scheme shall enter into force on 1 July 2014. That's the starting point for this, and that's the time we've been given to adapt to the new thing. This is when the new legislation also applies in the EU. That is why we are now working on the compensatory measures towards the revised national budget. There is also a review of whether what has been put in place has implications for other schemes. I cannot without knowing what arrangements are involved, and what kind of support, give some analysis just above the table of whether there are some measures being given today, which conflict with the introduction of a differentiated employer's fee. It happens that you can't get double support for things, that it reaches a roof, but it's almost impossible for me to answer such a special and concrete question based on a general view.
ParlaMint-NO_2014-03-19.ana.ud835e376	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2014-03-19.ana.ud835e379	I'm from the municipality of Gjøvik. We have the neighbouring municipalities of East and West Toten and North and Søndre Land. In my 15 years in the local government, we have always discussed community mergers in our region. Now North and Søndre Land are two of the 31 municipalities that are proposed to receive a lower employer’s fee. Has the government ever discussed giving whole regions compensation or a structural fund to influence municipal mergers?
ParlaMint-NO_2014-03-19.ana.ud835e384	It is a challenge when we get more municipalities into the differentiated employer tax map, that there will be some natural municipal associations. It's a challenge. On the other hand, on the Fozen, the opposite happens. There was such a barrier – now everyone has got it. What we've laid out for who gets are the objective criteria of the district indices, because that's what we can best defend against ESA, and don't start drawing questions and maps that make it harder. To the question of incentives for community reunification: it is a topic we come back to when we present the municipal proposition, where we also come back to the whole work of community reform. At that time, we will have discussed various measures related to stimulating, for example: local government reform.
