ParlaMint-NO_2014-12-02.ana.ud559e88	The representative, Karin Andersen, will present a proposal for a representative.
ParlaMint-NO_2014-12-02.ana.ud559e502	Several have not asked for the floor on case No. 2nd@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e518	I want to start the interpellation by saying that the aupair system is great for many people and has been a good arrangement for many years, both for our own young people to travel out and for families in Norway to become acquainted with other cultures. The AUPair scheme was regulated by the Council of Europe in 1969 and ratified in 1971. Norway was in the beginning a missionary country, while we are now a destination country, especially for au pairs from Asia and Eastern Europe. It imposes other requirements on our own rules and on the management of the scheme, a scheme involving around 3000 new au pairs per year. It's not the system itself I think is wrong, but what we see is that the system is now being hollowed out to something other than what it was supposed to be, namely a cultural exchange. To be on the same footing, as it originally means, is to give knowledge of language and culture and apply to them between 18 and 30 years of age, most girls, but approximately. 5 pst. are men. It is defined in the guidelines which tasks are to be performed and residence permits are granted for up to two years. However, the granting of a residence permit or a work permit varies from country to country, while in Norway we grant a residence permit. The question then is whether this has become a scheme for those who want cheap labour to help at home. Today we see that the scheme can be used for that. The Norwegian People's Aids Au Pair Center, which provides advice, information and legal assistance, can tell about many aspects of the scheme that are not just positive. Some experience abuse and poor working conditions. They receive no language training or cultural exchange and have long working days, with heavy housework and a lot of solitude. I think we agree that the scheme was not intended to be used to legitimize such matters. Today, there are people from Peru and the Philippines who are the largest group outside Schengen who have au pair status. Those within the Schengen area can enter into employment agreements. So they don't fall. Many of those who come here come from poor households, with family and children at home, although the general rule is that children in their home country should not grant a residence permit. But we know that. This is avoided by not telling, not registering the kids on their own or having false identity. They will often help those who are left at home — and can do so with the subsidy they can send home. The Au Pair Center of Public Aid has uncovered several cases of trafficking in human beings. In 2013, they had 350 enquiries. In three of the cases, it is revealed that there is too much work to do, so that it tends to trade in human beings. The contract says a maximum of 30 hours a week. It has to be kept, but we know it's broken. Do we have any rules to prevent this? The size changed the Foreign Affairs Act. Quarantine measures were introduced against host families that abuse the scheme. Quarantine measures will be preventive and will be able to protect against undue pressure from the host family. The action mainly affects the host family, not the au pair. I think that's important and correct. Why hold a debate on this scheme – do we disagree? It's important because there's so much negative happening within a scheme that should be positive for everyone. Our political responsibility is to make arrangements that do not allow abuse by other people or that are not exploited. As a member of the Nordic Council, I have also raised the issue in Nordic cooperation, for these are challenges that concern several Nordic countries – Denmark most, Finland least. It is less about Finland because they have strict rules on, among other things, to have studied the language in advance, and it might frighten. In Sweden it is difficult to obtain a work permit if you have been au pair in another country just before. There's been a drop in the application amount. Maybe that's the reason. We in the North are a common market. One sees that many work first in one country, and then in another. They're shopping host families. Norway is on top, most attractive, because we have quite a high rate of pocket money – $5,400 a month. That's why we also have most things. It would be wise to establish a common regulatory framework for the Nordic region to ensure that this once again becomes a real cultural exchange offer. The choice of countries should be made in advance. The Nordic countries are quite the same in terms of culture, and it must be unnecessary to stay in several of these to learn more about our culture, if that's the reason. I think we also need to make the police aware of how they are going to work on this, and what demands are to be made on the host family. But we also need to be aware that the police are not always seen as helpers by those who come here, but are often seen as a threat. Therefore, it is important that the police have good knowledge of the conditions surrounding this with the aupair system. Some are exposed to quite serious acts. We can find more judges in our legal system where the victim was au pair – several were sexually exploited. The question the police should ask is whether there is an au pair we're talking about, or whether it's a victim of human trafficking. It is then important perhaps to be aware of it to be able to offer a reflection period if that is the last thing we are talking about, and that this becomes a matter for the court, so that it is followed up. All rules must be made more visible. The fact that the holiday law applies to au pairs may be known to some. However, the legislation is unclear, and it is easy to do – this is not the employee and the employer. This may be something the Council of State can take further into the government, although I know that this law is not his field. But the rule should be clearer. Coming as au pair to Norway or the Nordic countries is too many the only way to get here. It is therefore important to find out ways in which we can best care for their relationship. Language requirements, study permits and more pure cultivation of the cultural exchange site may be some useful measures. Other measures may include clearer rules on working time, better definition of easier housework — see why Sweden has fewer applicants than other countries! Is the requirement for the first country just the way to go? Should we set a limit on how many countries you can travel to, or should there be a limit on the time, even the total time? In Denmark, insurance is a claim. The au pair is reported to the public register and health insurance and three other insurances covering occupational injury, recreational injury and injury and repatriation in the event of sickness or death. They must also cover the trip home to bopel outside Europe. Could there be a way to find rules in common? We know that some host families include the insurance premium in the total and set off or expect additional service. It's not allowed. Should we look more at that rule? Much is regulated in regulations. Should the value of free food be part of the holiday basis? Who informs about the holiday law? Should there be an agreement in the standard contract for both pay, holidays and rights? Another side of the scheme that I want to mention is the view of equality. Since the majority are women, this is also a challenge for equality. Some host families choose au pair because they don't want to do housework or take care of their own kids. The Au pair is then used as a 24-hour home service. We have thus been given a new type of ‘rulers and servants’, which I believe we should not accept here in Norway. Is it a solution to make it easier for people to come to Norway, work as a maid and get a work permit? There are many who want help in the house. With au pair they can get it at a low price, a price that does not match the wages. Instead of paying a household servant NOK 20 000 – NOK 25 000 a month, they can pay NOK 5 400 and get 24 hours of service. It's social dumping. When this happens in the workplace otherwise, we thank you – then the trade union movement can thank you, then we have a law that goes into effect. Here it's clear. That is why I have raised this debate. We have to think about how we can solve this. Here's a lot of things to catch up to.
ParlaMint-NO_2014-12-02.ana.ud559e565	Let me first thank the representative Mandt for the interpellation. It is important to have open discussions about the aupair system. I also think that is important, as the representative has shown, not only in Norway, I would have almost said, but also by raising this up on the Nordic agenda. Because there is no doubt that this can be a good question for having some common Nordic guidelines on how to do this, to a greater extent than today. Norway ratified the Council of Europe Agreement on the recruitment of au pair from 1969 in 1971. Since then, in terms of gender roles and gender equality, labour immigration regulation and international migration flows, as the interpellant was involved. The number of au pairs in Norway has also increased significantly, and today’s au pairs come to a greater extent than before from poorer and less developed countries than Norway. In 2013, 1667 new aupair permits were granted. By 31 October of this year, 1220 authorisations were granted. About 85 pst. of those authorised to act in 2013 and 2014, Filipino citizens. After them comes Ukrainian, Vietnamese and Thai citizens, who each got 2 psts. of the aupair authorisations. The purpose of the aupair system is, as the interpellant says, cultural exchange where a young adult is given the opportunity to learn another language and gain insight into another culture by being included in a family in the host country. The idea is also that the host family should learn about the au pair's culture and home country. In return, the au pair shall facilitate housework and assist with childcare. The scheme does not therefore involve a traditional employer/employee relationship. The AUPair Scheme’s intention – language training and cultural exchange through work and family participation – is good and based on values that ensure that the scheme, which is also concluded by the inter-pellant, should remain. But we have to make it work the best possible way. Young people from other countries too should still be able to come to Norway and learn about Norwegian culture and social conditions. The Fafo report ‘On equal terms?’, written by Cecilie Island in 2009, concludes that many have enjoyed the aupair system, but that the scheme is often not perceived and practised as intended. Although the cultural exchange aspect is not entirely irrelevant to the scheme today, unfortunately, some host families regard the aupair scheme as primarily a form of work organisation or income strategy. In the media, serious abuse of the scheme is reported from time to time. Unfortunately, the relationship between the au pair and its host family makes it possible for au pairs to be subject to different levels of exploitation. I am also concerned that we should take these challenges seriously. In 2011, the Ministry of Justice carried out an evaluation of the aupair system, which led to several changes in legislation and practice, with a view to strengthening the cultural aspect and preventing au pairs from being exploited as cheap labour. A number of measures have been introduced in recent years to prevent abuse and strengthen the cultural exchange aspect. One of the measures was to introduce a quarantine system for host families who abuse the aupair scheme in the event of serious or repeated breaches of the conditions for having au pair and for host families with a member who has been penalised for offences against an au pair. The provisions on quarantine for host families entered into force on 1 July 2013. In other words, it is relatively new. During that time, the Directorate of Foreign Affairs has quarantined two host families. In addition, a further 14 cases are now pending against host parents. Of other measures introduced after the evaluation to prevent abuse and strengthen cultural exchanges, I would like to mention facilitating a faster transition between permits, reinforced information work, covering the return of the host family to the au pair, the adjusted amount of pocket money and language courses, the improvement of compliance with tax rules and the restriction of the personality that may become au pairs. If it turns out that these measures have not had the desired effect, I believe it is necessary to consider introducing new measures. As demonstrated by the Government Platform, the government of Solberg wants to continue its efforts towards social dumping. We must ensure that the aupair system is used for cultural exchanges and prevent abuse. Therefore, it is important for me to follow closely whether the measures implemented have the desired effect. Then it is important to stress that the kind of debate that the representative Mandt has raised in the Stortingssalen today is also an important contribution to keeping focus on the challenges that the aupairs can bring. At the same time, I think the interpellant has had a very balanced production, precisely because there are many advantages to the aupair system. It is difficult to say that the aupair system as such should be discontinued because there is abuse, but it is our job to facilitate that abuse should not occur.
ParlaMint-NO_2014-12-02.ana.ud559e591	Thank you to the Council of State for a thorough review. Many of the au pairs come from poor countries, but we also see that from countries such as Spain and elsewhere in southern Europe, the scheme is used as a springboard to work in Norway. It is well and good, but it is also not in line with the intentions of the scheme, which should be cultural exchange. And once again, they're going to do a job that might be out of proportion to the pay, the contract or the arrangement as such. There is an investigation within the EU. It's going to be exciting to see what that investigation is coming up with. Then we can scale it up a little bit, what you might suggest of changes. In 2013, Au Pair Center had 350 enquiries. So far it's been 650 this year. It says that either more people dare to say, because the aid is more known – it started in 2013, and there have been good headlines in the media, on TV – or in the worst case, more people are being abused, or poorly treated. Of those who turn around, they from the Philippines are overrepresented. The distribution of power is crooked, because many of those who come are basically poor, and they're afraid to be sent home. They need money, and they accept a lot. We hear about issues where papers are seized by the host families, about renting out to other families or businesses, about sexual abuse and about work that is not close to easy housework. Luckily, we have the Au Pair Center, where they have lawyers to help with the roughest stories. A small parentheses – this is a centre that the Right and the Advance Party wanted to remove the support for in the budget, and one can question why. The question is how best to take care of au pairs if the rules are broken and there is a judgment. Who is responsible for caring for them, and how are we going to help them the best? I look forward to a good debate on a topic where I don't think we disagree very much on the purpose of the aupair system, but where we should discuss the different ways to make it the best possible, so that the young people who come get a good arrangement that cultural exchanges, both for themselves and for the host families.
ParlaMint-NO_2014-12-02.ana.ud559e602	The interpellant was that also some European countries are now involved as – I had just said – the senders of au pairs. But as I mentioned in my post, it's still like this, in 2013 and 2014, at least, that 85 pst. of the au pairs coming, are Filipinos. Then Ukrainians, Vietnamese and Thais come, but they have an approx. 2 pst. share. So the overall proportion is Filipino au pairs coming to Norway. It helps to create some of the challenges that interpellant faced, dependency, the power situation between au pair and host family, to which we should pay particular attention. We're all very shaken when we see examples that show up in the media, if the ways the aupair system is abused. So sometimes it's abuse of it all, most seriously, combined with serious and serious crime. It is absolutely essential that we have both the competence and the insight to deal with that kind of situation. And the worrying thing is that the issues mentioned in the media are likely to represent the top of an iceberg, because these are issues that are complicated to come up with initially, precisely because the power relationship between the parties is as different as it is. At the same time, I want to maintain what I said in my post, and I believe that the interpellant also agrees, that there are a lot of people who enjoy and benefit from the aupair system, not least of those who come here to participate in this cultural exchange and are offered language training and follow-up. When the aupair system works as intended, it is a good arrangement. In addition to the aupair centre, several of the intermediary companies also offer services both to host families and to au pairs. There may be language offers, there may be own cultural exchanges and other follow-up offers on the way to the au pair, which also together contribute to, I think, strengthening the relationship and reducing the gap in power, for au pairs participating in these offers, will get a kind of community, some to be with, tell their stories to, and take advantage of each other's competence in this regard. So in addition to the job done by the aupair centre, which through the budgetary agreement with the Christian People's Party and the Left is now guaranteed continued funding, there are also some offers implemented by the intermediary companies, which it is also important to bring with them in this picture.
ParlaMint-NO_2014-12-02.ana.ud559e613	I would like to take this opportunity to talk about the need for a safety net around both the host families and the au pairs coming to Norway. It brings me to the need for the aupair centre, which I am pleased to be included in the budget for 2015. The Aupair Centre was officially opened in January 2013 as one of several measures to ensure that the Aupair Scheme is used in accordance with its cultural exchange intention. Other measures, including those of the Council of State, which were taken to secure the scheme, included: that the au pair should not have children, that they should be able to move into the next host family after submitting the application to the police, that the host families should be able to pay for repatriation, and that there is a quarantine scheme for host families who abuse the scheme. None of these improvements have an effect in themselves if there is no instance to ensure that they are followed. The scheme is written in Norwegian. To pass this on to the au pairs translates, among other things. the aupair center this, posting it on its web and facebook pages and telling about it at its information meetings. Without this information, au pairs would have been unaware that the scheme exists at all. Then, in reality, the Storting has been involved in adopting a law that they would protect it from, not knowing that exists. Au Pair Center ensures that the au pairs get the rights they actually have, and without the center, the host families who abuse the scheme can do this without consequences for themselves. Neither do the host families who seek help and advice from the centre to make their stay the best possible for the au pair. Each year, the Au Pair Center must fight for its existence by ensuring that it is on the State budget and, after that, be involved in annual tendering procedures. As a political authority, we should at least ensure that funds are allocated to the State budget. One-year tenders are also a major challenge. This is about trust and competence built over time. The Centre will keep statistics and will be able to make recommendations on how the improvements in the aupair system should be done. Let's not shake it off with annual appropriations and uncertainties if they are at all on next year's budget. As long as the aupair system exists, with all the pitfalls and dilemmas that exist, we must allow the centre to receive a more long-term funding. Then we get, based on findings made over time, to look at the whole arrangement and whether it has its justification in our time. Some people think that the solutions are to put down the whole aupair system, but we live in the time of migration. If we put down the aupair system, other women and men are ready to wash, cook and care for children in many Norwegian homes. Several young people come from the outer borders of Europe, and without the aupair system and the Au Pair Center, they may have fewer rights than the au pairs have today.
ParlaMint-NO_2014-12-02.ana.ud559e634	The world has changed considerably and is quite different now than it was when the aupair system was established in 1969. In particular, the migration picture has changed. We see that people from poorer parts of the world travel to richer countries looking for work and income. This also seems to be the case with the aupair system. There is nothing wrong in itself with people travelling to other parts of the world to get work and get income, but that was not the purpose of this system. In the last few years, there have been an average of between 2000 and 3000 au pairs in Norway, and the vast majority of them, some of them. 85 pst., is from the Philippines. Several surveys carried out over several years have shown that the vast majority of au pairs and host families view the relationship as an employment relationship. If the aupair system is to act as a cultural exchange, the system must be reviewed and reformed. Here we can look at a lot of pages that have been up in the debate until now, but I think it might also be a good idea to look at whether or not the work of the au pair can be reduced and their scope reduced, and whether or not monitoring of compliance with the work restrictions can be introduced. The limit between working time and leisure time may also be better clarified and ‘lighter housework’ can be defined more clearly. The threshold for reporting breaches of the conditions may be lowered from police level to supervisory level and the fee for changing the host family may be lowered or removed. The question is whether such changes would actually lead to a change in current practice, where the main motive is work, and work is done in private homes where no public authorities can or should have a full overview. In my opinion, it is therefore naïve to believe that the scheme can actually function as a cultural exchange as long as the motivation for both parties to the agreement is work, and one does not look at the basic framework of this scheme. I would therefore like to commend the interpellant for putting this topic on the agenda, so that we can get a discussion, a debate and not least changes in an arrangement that most of us believe can be very positive if it works according to the purposes it had. We can also look at experiences from our neighbouring countries, from other countries in Europe, which have completely different frameworks around this – much clearer defined frameworks around what is going on in cultural exchange. There we can learn a lot. It has been mentioned here, for example: language requirements and other things. I am not sure if we can fully implement everything from other countries here in Norway, but it is at least worth looking at it. When all the parties agree that this system can have positive sides, that it can be enriching both for us and for those who come to our country, I think we ought to debate it and look at how we can make changes, so that the system works according to how it was originally intended.
ParlaMint-NO_2014-12-02.ana.ud559e651	I would also like to take the opportunity to thank the inter-pellant and the Council of State for their good answers. I would also like to thank you for posts that have been held here before, and that have raised important points. It is not difficult to agree that the au pair scheme is initially a good one. But I think this interpellation is important and necessary to discuss the way further, because, as the Council of State says, there has been a decline in recent years. If I understood the council correctly, it's about. 1 200 applications granted this year, 85 pst. Of them are from the Philippines, and there are some questions raised. Today, the scheme acts more like an employment relationship and in many ways cheap labour than it does as a cultural exchange. The interpellant used the translation of au pair, which means ‘on equal footing’. There is no doubt that in those cases where the arrangement does not work, there is a very distorted relationship of power between the au pair and the host family. When I say this, at the same time, I would like to stress that fortunately, most families have au pairs, amazing families that take care of the au pair. Then we're also into a different system than the one that the aupair system was actually supposed to be, and unfortunately we've seen examples that haven't been good. I believe that we in this Chamber have a great responsibility for these people. As others have pointed out, the Au pair advisory centre had 350 enquiries in 2013, and so far this year they have had 650 enquiries. Now it's not from au pairs alone. It's from au pairs who wonder about things and ask important questions, but it's also from families who want to do things right. This is no indication that so many people are hurting. But we have seen many examples of social dumping, trafficking in human beings and gross exploitation – as the Council of State said. I've used this word before; I mean some of these live in slavery-like relationships. That is why I believe that there are good reasons to introduce stricter rules, and that is good reason for – as the representative Keshvari had in mind – to look at reducing the amount of work and perhaps giving au pairs more leisure time. This summer, the Advisory Centre was used as an argument by a State Secretary of the Ministry of Justice not to introduce stricter rules. Then it was proposed to remove the aid. Fortunately, this was maintained through the conciliation now, but anyway, I think it is important to take that debate. I note that the previous speakers are at peace with the system, but I think that is something we should not do. I do not think we should be at peace with the system and say that it should in any case continue. I think I'll get a little bit different there. I think we should take a discussion about the whole scheme, because if there is cultural exchange that is the point of the scheme, it does not work as intended today. We also know that cultural exchanges can be achieved today, for example. to come here and study, which will be fully possible for the vast majority of those who come to Norway. There is a system of high risk that there may be exploitation, because there is a great difference between the power relationship between the au pair and the host family, and you know you can get relatively cheap labour. When it comes to cultural exchange and most people come from one country, at least it shows me that there is not necessarily a scheme used by a lot of people around. Then I asked if it was right to have such a type of arrangement. I am pleased with the debate, and I am pleased that everyone will follow developments and want to assess stricter rules, and at least will ensure that no one is exploited. It can be seen that this does not apply to more than 1 200 people this year. After all, when we see that there is social dumping and trafficking in human beings, and that it is and a distorted relationship of power, I think there are good reasons to discuss the whole system. It is in any case I am willing to do, without having concluded – to clarify it.
ParlaMint-NO_2014-12-02.ana.ud559e668	I think most of us are positive to the basic idea behind the aupair system. Au pair means as we know it on the same foot. The idea is that the scheme should give young people the opportunity to travel to another country to live with a family as a family member, benefit through childcare and assistance in the house, but first of all learn about culture and language and through this get the opportunity for positive self-development. The obligation to work in a house shall not exceed five hours a day. We are going back no further than until June 2013 since the aupair scheme was discussed in depth here in Stortinget. When we adopted the law to prevent abuse of au pair, and that if the host family violates the conditions given to grant au pair residence permits, a decision may be made that the family is given quarantine for one, two or five years in order to obtain a new aupair contract. I have listened with interest to the Council of State review of how the decision has been followed up, and we must note that the tightening has so far had limited significance. But it's been a short time, and it's too early to say whether this has been successful or not. The intention of the size was safer conditions and more rapid intervention if the regulation was not followed. I hope the Council of State will take the signals from the debate that the tightening of the law was done to contribute to a change. In my article on last year's debate, I stressed that the aupair system is positive when the assumptions are met, and I also believe that most people do. Many people have a good stay in Norway where au pairen is well integrated into the family, and where the exchange between work, education and leisure is as intended. The challenge is that the aupair system is undermined by a few who employ au pair to get domestic help for a cheap money and with low protection. In the worst cases, they may be subjected to assault. The Aupair Centre is important for both guidance, information, follow-up to the proper functioning of the Aupair System and to contribute to the detection of abuse or abuse. It would be sad if we had to scrape a good arrangement for international cultural and language exchanges because a few abuse the system, and because the authorities do not have the power to follow up well enough through the responses available in the law today. I hope we can be able to clean this up by actively following up the law that we have recently tightened up. If we fail to do so, there is clearly a need for further tightening and more stringent response possibilities.
ParlaMint-NO_2014-12-02.ana.ud559e681	I want to thank the interpellant. It is a very important debate, also because we have just adopted a budget where the government has proposed to remove the service centre. I believe that is one of the smallest cuts that was in this budget. Now the representative of the Progress Party, Keshvari, was up and said that the arrangement had to be changed. And I fully agree with most of what he said, but the big change that the government has made is therefore to propose to remove the help offered to those who are exposed to this scheme. I have asked why they have done so, and I have been told that it is in line with the main objective of the government and for savings reasons. So in this difficult budget of billions of dollars, you've seen that you have to take away $3 million. NOK at a service centre for the au pairs, which everyone now describes, may be in a very exposed position. Yes, the Minister of Justice even says that he has been shaken by what he has heard, but he cannot have been particularly shaken when he agrees to remove the service centre and save money on some of the most vulnerable. The aupair system has removed itself from what it was supposed to be. I am in favour of the arrangement as it is, but without the service centre and more restrictions, we cannot keep it. There I agree with the Christian People's Party and also – clearly – the representative of the Progress Party. Unfortunately, the majority are now using the scheme as a purely domestic aid scheme. Not everyone abuses the system in the sense that they expose the au pairs to gross abuse, but there are too many of them as well. The service centre even reports that there may be cases of trafficking in human beings. And when you find relationships with human trafficking with a service center system, I have to say that I don't believe in the great concerns you have for this group. There's been a discussion if this isn't some kind of developmental aid. Some of the brokerage companies claim that. I have to say it's quite upsetting to hear that it's like that. If this is to be the case, we need to open up labour immigration, decent labour immigration, from these countries and for those who need to get into a different work situation. So what we have is a cultural exchange scheme that is being abused as a cheap home aid scheme. With regard to those who abuse the system at worst, I believe that even a 10-year quarantine period is not enough. If you do that, you can't have au pair anymore. It is said that many in our busy everyday life now need help in the house. I've been working and triple working my entire adult life, so I know what it's all about. But what I don't understand is that those with the highest wages pay so incredibly badly for the service and the help they need. If people are to have help at home, it's an honest thing, but then you get to hire people on a tarif, under normal conditions and with the freedom to live for themselves. Living at home with other people gives a huge bias in power and a crazy much bigger room for exploitation in all areas. Work is work whether you wash a hotel or a private home. Then you have to have the normal pay for it. People renting help into their homes also have to be employers. So this arrangement is overly mature for assessment. It's overly mature for assessment just because it's not what it looks like. SV is for an aupair scheme as it should be, namely a cultural exchange scheme. I think that's a very good thing, so we should have it. But if this is about getting cheap domestic and labour to the most prosperous families in Norway, we cannot continue to keep the scheme. Anyway, it'll take time before we get changes. I hear more people now making arrangements for different types of tightening, supervision and changes. It is SV for, but in the meantime we have to make sure that the service centre remains. And I get to say a thousand thanks to the Left and Christian People's Party that made sure that it came back in, because without it at least SV is totally against that we're going to keep the order.
ParlaMint-NO_2014-12-02.ana.ud559e701	I thank you for a very good debate. My goal, as I started with, was to put the system on the agenda to create a debate for a better and more pure-bred system in which cultural exchange again is what is important, if we are to continue with the system. Once again, I would like to make it clear that many have good host families that will do the best and that meet the conditions with respect to the au pair. Many have positive experiences of their stay in Norway. That's the way it should be. But as I've been to, and as the representative Ropstad also said, in the most extreme cases, it tends to human trafficking and modern slavery. European au pairs register as immigrants and not as au pairs. That's why we also have some darkness here. The question is, as has been mentioned here: how are we going to cultivate that cultural exchange further? Clear guidelines, supervision and control could help. The consequences of misuse of the scheme are also important. Review of regulations to see if there is any other legal requirement should also be considered. It is important to further develop the provision provided by the Norwegian Folkehelp aupairsenter and, as the Council of State said, by others. I am very pleased with the agreement with the Left and Christian People's Party on further support. I think that such a center and a support device around the au pair is very important. They're in a foreign country, they're committed to our rules and our moral principles, and they need help if they're being exploited – or to other things. The centre may detect conditions and assist further. It's just 5 pst. of those who come, who go through agencies. That's why the agencies reach quite a few. Unfortunately, I think there are too many people who are not yet in contact, and who do not have it very well. That's why we have the political responsibility to make sure that they have the opportunities to get help. We owe the system that we're doing it better. I also hope that we get common Nordic rules – state council, through the president – because if we don't get common Nordic rules, I think it's just moving the problem to the next country. I hope that the Council of State will talk to its colleagues in the Nordic region about this, and I will continue to work for it in the Nordic Council. I thank you again for a very good debate, and I hope that in the future we will find the good solutions, where we will have a good arrangement for those who will be au pairs in Norway and the Nordic countries, so that we can keep the arrangement as it was supposed to be, namely a cultural exchange on an equal footing.
ParlaMint-NO_2014-12-02.ana.ud559e720	I would also like to thank you for a good debate. It turns out that the Storting largely agrees that the intentions behind the aupair system are good, and that everyone agrees that one must not accept that the scheme is being abused. In this way, it is important to get that kind of problem in Stortinget. Then it's quite obvious, as also the representative Keshvari had in mind, that cultural exchange is something other than washing and nurturing children. Detoxification and care of children is in a way the response to the cultural exchange. That means that it is the cultural exchange that stands in the main seat, and then those who take responsibility for ensuring that cultural exchange and ensure that they get to participate in Norwegian language and culture, get something back, as well as learning about au pair culture. So the whole point is that some of the host families have unfortunately misunderstood, is that it looks like they're looking at it so that it's the work that's the main intention of the scheme, while the cultural exchange gets as it comes. It is not acceptable, and therefore it is important that we now look at the measures that have already been implemented, having the effect that we want them to have. If they don't, we must, of course, make new changes. Then the representative, Ropstad, said that the cultural exchange was not working today. I think it's a little bit too bastant. In very many cases, it does, and I think maybe I dare say that in a large majority of cases it works, even though it's also being abused. But it's not – I think – an alternative for the group we're talking about here, to get similar cultural exchanges as students, for example. So, as I mentioned, 85 pst. Of those who come as au pairs, from the Philippines, and it is probably not an alternative for them to come to Norway as students to get a cultural exchange perspective that way. There's a little bit of other groups that it's relevant for. I think it's important that we have a system that allows people who come from quite poor countries to have the opportunity to get cultural exchanges on a slightly different footing than what a student can give them. There are many good measures that have come from the pulpit today, which are important, and which I will take with me in the further assessment of the need to implement further tightening of the aupair system. I think it is good to also bear in mind that the Stortinget as such believes that the aupair system has a good starting point. But it's important to make sure that we don't abuse.
ParlaMint-NO_2014-12-02.ana.ud559e733	Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2014-12-02.ana.ud559e747	At the request of the Business Committee, the President will propose that the speaking time be limited to 5 minutes to each party group and 5 minutes to the government. In addition, the President will propose that there be no loopholes, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2014-12-02.ana.ud559e754	It is a pleasure for me to be able to present you so as to say a unanimous vote on this matter. There's a debate that I think is going to be fine, but I still want to link some words to this. In my opinion, the unanimous attitude and the connection to the steps taken by the Food Safety Authority are a good, constructive and powerful signal from the whole of Stortinget that the need for the Food Safety Authority to be both competent and sufficiently rigged to ensure that the tasks assigned to the Food Safety Authority are taken into account, both for the purpose of checking the food we eat and for the purpose of caring for animal welfare are taken into account. Today's debate and, to a large extent, last year's debates related, among other things, to: food security is a very good response to the need to contribute – not just through increased funding – to the organisation of food surveillance that is so organized that the most resources are spent on supervision and control and being out, and at least in the case of bureaucracy and complaints. In this way, I am pleased with the grip that is now being done by the government, I believe that is absolutely right. It will not deprive us of the commitment we have in the budget rounds we are going to have in Stortingen to make sure that the Food Authority has sufficient resources. There I understand that we disagree, but we get to come back to that in the budget debate. This is a good example of the fact that, in addition to increasing resources for an important part of the public sector, it is absolutely important that we be able to straighten up public enterprises – here the Food Authority – in such a way that we use as much resources as possible on what gives the best possible effect, in an increasingly growing and important field. That is why an overall committee, and in my view, also a total increase, believes that this is absolutely necessary. I would like to add a few words to the changes that are now being made. The main change, according to my concepts, must be that one now goes from a three-institutional procedure to a two-institutional examination of the matters in the Food Safety Authority. I think that is quite right, and the restructuring that is now actually being carried out by the Regional Offices of the Food Authority should be an important tool for more force. This means that people who work in the Food Authority will be more involved in outreach activities, control, supervision, what really works, and that we get more rationality into the review process. The other good effect of this is that we are more able to achieve legal equality between the regional offices’ complaints — now there are five regional offices to deal with this — and that there are no major differences in how to assess it legally and how to assess it effectively, against the decisions to be taken by the Food Authority. It is my hope that this will contribute to better legal certainty, more legal equality, which is important in a field where we actually want more activity, and perhaps later more use of the most stringent coercive measures you can have at your disposal in the Food Authority. This gives me the opportunity to point out that we are also dealing here with the possible reactions, for example. the issue of a fee for the activity of companies in a more private context and not necessarily in a commercial context. I think that's a proper charging. The fact that you now also expand the possibilities of placing business candidates on the market, I think, is very important. It is a language that perhaps a good number of actors actually understand, that one is deprived of the ability to operate, and that that possibility is made effective, i.e. the fact that you cannot move to a neighbouring premises and operate the same establishment. With the changes now being made, the Food Safety Authority will have the opportunity to impose on business candidates also for those responsible in the establishment. I think that is absolutely necessary in order to prevent circumvention, and perhaps make one of the most important instruments – where there is a real breach of the provisions – a good sanction, so that this can be effective. This matter is unanimous on the part of the Economic and Social Committee, and I am delighted. There will be a clear signal to the Food Authority that this is a system for which there is broad support.
