ParlaMint-NO_2014-12-01.ana.ud1735e28	The representative Tom E. B. Holthe, who has been licensed, has once again taken the seat.
ParlaMint-NO_2014-12-01.ana.ud1735e160	I do not get a complete answer as to whether the Syverse believes that the main grips of the blue-blue government are still stuck, so he would like to repeat it. But then back to the local economy. In Stavanger, the Christian People's Party has the Vice-President and the Right rapporteur. That's where the councillor proposed so dramatic cuts in school and nursing homes that the majority went to increase property tax by 90 million. kr. It was a long way in. Tax losses are now affecting large and small municipalities. It's about 3 billion. kr. Will the Christian People's Party be involved in pushing the government towards the new age, the last thing we have in the Storting before Christmas, so that we can manage to save many municipal, important welfare offers for large and small people here in the country?
ParlaMint-NO_2014-12-01.ana.ud1735e169	What I see remains after this budget is that very much of what the four parties have agreed on in the cooperation agreement is given priority. I think all four parties are very pleased with that, including the Right parliamentary leader, for whom I understand the Hagebaken has a special love. In the case of the Municipalities' Central Association, which is speaking on behalf of the municipalities that Hagebakken is talking about, the budget is, and the comparison is not the least, very well received in the KS and in many of the municipalities – so well that I remember that the representative Hagebakken was angry at the hearing because KS was not more sour than they were when it came to the budget and impact.
ParlaMint-NO_2014-12-01.ana.ud1735e176	Right has every year prioritised school and education as one of our most important things -- it's because we think that a good school is quite central to giving children and young people opportunities for the rest of their lives, and that education helps to smooth out social differences. Today's children are problem solvers, innovators and entrepreneurs in the future. Research has shown that it is not the learning density, but the quality of the teacher in the classroom that is the most important factor for good results. In the budget agreement, the Christian People's Party gained a positive impact on increasing the learning density of the first and second stages, which will lead to between 1,200 and 1,500 more annual works. How does the Christian People’s Party feel about increasing learning density will increase the quality of teaching and provide better results? And how does the Christian People's Party view the recruitment of the teaching profession?
ParlaMint-NO_2014-12-01.ana.ud1735e185	To take the last one first, we have a particular challenge in that there are too many teachers who are not in school but who are in other professions, among other things. because they believe that they are not given sufficient time to the students they would like to spend time on. There is one important grip on the proposal we have. Then we have research of different character. But let's take an example from reality, as it's called fine. The Dovre municipality has done some of the things we propose and have been passed on to, together with the Right, the Advance Party and the Left, namely, put more teachers in the primary school. As a result, it has provided better adapted education for all students, and it has also reduced the need for special education later on. It's so good for me that it's worth following up at national level too.
ParlaMint-NO_2014-12-01.ana.ud1735e192	I would first like to thank the representative Syversen for a good report. I would also like to thank you for good and constructive negotiations, which led to the conciliation on the budget that we are going to discuss here today. The Christian People's Party and the Advance Party are two different parties, we're obviously not a few about everything, but we're a civil party, and we have a lot of common values. We are certain that the budget we are going to adopt here is a very good budget, which solves important challenges today, and which equips Norway for the future. I would like to ask the representative Syversen in what area the representative thought it would be easiest to agree with the Progress Party. Where do we have the simplest values, and where do we have the most trap values?
ParlaMint-NO_2014-12-01.ana.ud1735e202	It's rare I'm put on such a serious test. [[muttering in the hall]] As I think, let me confirm that the Christian People's Party and the Advancement Party are two different parties, as the representative Hagesetter said, but I would say that we have absolutely reached a good consensus in many fields. Without disclosing too much from the constructive debates to which Mr Hagesetter referred, I understood, for example. that it was not very difficult to get the Progress Party into the school effort we are now in common about. I also believe that in the case of many of the changes we are making on the social profile, at least it does not seem that there is too much inside of the representative Hagesetter.
ParlaMint-NO_2014-12-01.ana.ud1735e209	The Christian People's Party has influenced the budget in several areas, but not when it comes to the major reforms, which are the government's line. An example is free treatment options, a proposal that was slaughtered during the hearing, which is the largest commercialisation of public health in recent times, where private providers in practice are given the right of establishment and can operate patient treatment paid by the State in competition with public hospitals. I want to ask the representative Syversen about how it is to move money, but let politics go, and secure their government's votes for free treatment choices, a proposal that the Christian People's Party in the election campaign said they were very clear against.
ParlaMint-NO_2014-12-01.ana.ud1735e216	Now it is the case that the representative Toppe refers to, that the Stortinget is going to deal with in its full width, so we might wait a little while for what comes out of an overall process, before the representative can possibly repeat that we are leaving the policy behind. However, we are changing policies through this budgetary agreement, and I hope that the Central Party, too, when they look at all the positive changes in the budgetary agreement, that is to say that this budget has changed both direction and policy, even in a direction in which the Central Party, in some areas at least, can say it is quite gratifying.
ParlaMint-NO_2014-12-01.ana.ud1735e221	The budgetary agreement between the Christian People's Party, the Left and the Government allocates 106 million. less climate action in poor countries than is provided for in the draft budget presented by Siv Jensen in October. How did that happen?
ParlaMint-NO_2014-12-01.ana.ud1735e226	I don't know if the representative refers to quota purchases. If that's what's going on, we have experience that the estimate given in the budget is often diverted, at least that's when the red-green fell. It is possible that there is more control over it now with a new government, hopefully it is. But if it turns out that we get commitments that require more of us in that area, we'll of course get back to it. Otherwise, I would like to say that if the representative Serigstad Valen looks closely, the agreement has also received 200 million. kr to the UN Green Climate Fund. I hope there's something he can enjoy.
ParlaMint-NO_2014-12-01.ana.ud1735e231	The cord shift is over.
ParlaMint-NO_2014-12-01.ana.ud1735e234	I remember the financial debate last year. Then there were many of the representatives from the government parties who were up on this pulpit and said, "This is just an additional proposition." But just wait, wait till we get our own budget presented. Then people are going to see what this government actually wants. There we are. We've seen what this government actually wants. The draft budget submitted by Siv Jensen on 8 October received some strong reactions. Many have tried to analyze why. I think it's a long way from now on that the government's budget is against people's perception of what's fair and right. It doesn't take Norway in the direction that people want. The very sympathetic slogan ‘People, not billions’ proved to mean ‘People with billions’. Norwegian billionaires and multimillionaires were given the gift package of the times, and the bill was sent to several people, among others. with children, disabled persons with a need for a car, the unemployed, the elderly who had experienced the joy of the cultural spa, and the four- and five-year-olds who had been found entirely innocent in the reception of asylum, but who at least received a day-to-day nursery offer. I could have used strong words to characterize such priorities and the values they express, but I'll leave it. In my opinion, the throne speech of the year was quite good. It was good in the problem descriptions. We agree that Norway faces some major challenges in the years ahead. It is about economic conversion to less oil dependence at a time when oil and gas activity is gradually being reduced. It's about road and public transport at a time when, not least, urban areas are growing, and we're becoming more. It's about care services, hospitals and other health services at a time when we're getting older. And it's about understanding the responsibility we have for the climate with which our children and grandchildren will live, and that the time for action is now. The major climate summit in Paris, where the world has set its own deadline, will not go off in ten years, but in 2015. That's the year we immediately go into. These challenges require something of us as politicians, at least those of us who want to be responsible politicians. In this situation, the government chooses not only to present a budget that makes us more oil dependent than ever, but not just to present a budget where the main disincentive is not particularly growth-promoting tax relief, but it tries to sell this budget as necessary for the future of the country. It'll equip us for the future, we'll hear. The criticism from the voters is that the Nordics do not take into account the changes that the future requires. That's what the Prime Minister said about the evening post recently – we're not going to take it over us, really. This is where I believe that the real problem in communication around this budget lies – if it has been a communication challenge, and some have suggested it. Because it is right that responsible politicians sometimes have to make unpopular decisions, that we, as politicians, should not only listen but also lead. Therefore, it is serious to play the ‘uppullary, but necessary’ card when there is no basis for it at all. People should have confidence that when we say that, it's actually serious. In today's debate, we are going to hear repeatedly that the government's tax cuts are about growth and jobs, and not that wealthy nuclear electors will only pay less in taxes. The big problem of the government is that the debate on the taxes on wealth is one of the longest and most thorough we've had in Norway in very many years, and the fasitist is quite clear. That tax is not unproblematic – we also recognise it – but it is most likely to live with for Norwegian business, and there is absolutely no automaticity in the fact that tax cuts for the most prosperous are what brings with it a lot of new jobs. That people think that exactly they, exactly their group, are going to pay less into the common fund, and that they're finding arguments for why, shouldn't surprise anyone. But we politicians have obligations to deal with the quality of those arguments, and then it's interesting to hear what external, neutral experts say. When VG conducted a survey of Norway's 20 leading economists, it was a massive majority, 17 out of 20 to be completely accurate, giving the government's argument for the tax regime the smooth layer. The government simply does not have heavy professional arguments behind it when it claims that this tax gift to the most prosperous will work in the way it claims. Then the government has a problem, and Norway has a problem. The word «knowledge» is perhaps the most used honorary word of all parties, including my own – for all – in the last 10–15 years. But I have to remember that knowledge is of little value if it is not used, and then I haven't even mentioned the knowledge we have today about the consequences of major economic and social differences for societies and individuals, and that the path to reduced differences does not go by increasing the differences, as Right fiscal spokesman, Svein Brachtten, recently stated in clear text. We now have knowledge that this theory is just that -- a theory that has proved not to be true. That's the knowledge you should take over. I have now spent a lot of time on the government's original draft budget. Today we are going to deal with what I will call a moderated edition, and I will praise the Left and Christian People's Party for a damaging effort through long negotiations, where not least part of the most petty cut proposals have been reversed. That's good. I think we were many both here in the house and around the country who felt that the two support parties negotiated on behalf of far more than themselves, and the budget was also moved in a number of areas closer to the value-based stand to the majority of the Storting. But I would like to agree with the chairman of the committee, Mr Syversen, who also believed that the majority of voters had been brought closer. I think he's right about that. At the same time, I would like to refer to the Right parliamentary leader, Trond Helleland, who, during the presentation of the conciliation, at the press conference when this agreement was presented, said that the main acts of the government budget are firm. Yes, they do, and that's why our main criticism is also fixed. Today, we are going to discuss a budget proposal where freedom of action is used to increase disparities, not to equip ourselves for the future. It is in the use of the freedom of action that the budget gives us, that the political differences really come to light. The Labour Party on its side shows with its alternative budget another way towards the future, one where we are going to be the country with small differences between people geographically and widely possible, a road that is about spending the big money on the big tasks. We want to equip Norwegian municipalities to provide their citizens with the security of old age. The municipal structure that the majority will adopt tonight after all the sun brands means that advisers over the whole country are now planning budgets with cuts in welfare, and then we're talking about the welfare that's closest to people. Then we're talking about kindergarten, we're talking about primary school, we're talking about care for the elderly. This is the municipal economy, the close welfare – not dry figures in a transmission table in the State budget. We announced when we dealt with the municipal bill in ours, that we would be adding 2.5 billion. kr over the arrangements of the government in the case of growth in free income. Of course, we follow that up – we have promised. In addition to that, we're adding 1 billion. NOK to compensate for the tax failure now experienced by Norwegian municipalities. The reason why we can do that is because we don't want to do billions of dollars in tax cuts. Representatives of the government parties tried throughout the election campaign to sell us a message that tax cuts do not involve cuts in welfare. We can afford both, was the message. I believe that the government's municipal code shows that they were wrong, but a large part of the cut job is left to the municipalities, we do not take it here in the hall tonight. Then we can probably discuss in the knowledge and the broad how it might be that the representative Hagebakken is more acid than the KS central, but we choose to listen to the municipalities and the recordings that come from there. As mentioned in the reply: Stavanger and Bergen introduce a property tax in order to avoid dramatic cuts in their budgets, in violation of the Right Election Lifts. We have been told that the Vice-President of the Right in Sokndal is now so frustrated by the poor local economy that he does not take re-election. He gets the result of Røres Bjørn Skinnarland in Vinje, who despairs that the government does not take the districts seriously. It should make both the government parties and the supporting parties think. We will also equip Norwegian hospitals to treat more patients and offer the best of treatment. That's why we went out in the election campaign and promised that over a four-year period we'll spend 12 billion. kr extra to bring about a real rise in patient treatment – a costly promise: 3 billion. kr per year. Then it took about 15 minutes before Right Bent Höie was out and promised that it would be right tops, where they would beat us. Bent Höie has now delivered a health budget with a growth of less than 2 billion. NOK and where he adds to include new tasks in the hospital framework without financial compensation to the hospitals. This will give hospitals a more strenuous economy, making estimated activity growth not realistic. So that framework will cover the introduction of the flagship 'Free Treatment Choice', which, when we see the budget figures now, turns out to have skyrocketing red tape costs. We put what we promised in the alternative budget. That's why it's over 1.2 billion. kr more in our hospitals for an increase in activity than in the budget that has been agreed upon. In addition, we are taking real action on public health. Of course, we're going to have the world's best specialist health service, but if people are going to live better lives, if we're going to be able to balance social differences in health and, in addition, ensure the sustainability of our welfare system over time, we need to be better at preventing unhealth. In our public health package, both sports, fruit and vegetables are at school, an hour of physical activity every day, school health services and outdoor activities are very central elements. We're almost as heavy on it as what we're doing on activity growth in hospitals. It's a powerful signal, and it's forward-looking. And we can do that because we don't prioritize tax cuts. We will equip Norway for the future with investment on the road and collective services, kindergartens, schools and research. We have long thought that the state must take a much greater responsibility for financing heavy infrastructure investments in the major cities. They grow fast. Collective systems will collapse in a few years if no more is built, and it is quite illusory to think that county councils will manage the billions of investments they are talking about on their own. We started while we were in government, launching the urban environment packages, a whole new grip. In our alternative budget, we propose to add 1 billion. kr – 10 billion extra over 10 years – to allow the State to take a greater part of the bill for cities that are willing to commit. And we can do that because we don't prioritize tax cuts. We will meet the real needs of creative, ingenious norwegians who want to start their own business. I've met many of them, and the entrepreneurs we meet rarely talk about the wealth tax, it's largely not relevant at that stage, but they talk very often about how difficult it is to get risk capital, early-stage capital, someone who will join them when they're in the most vulnerable phase. We also meet that challenge in our alternative budget. We want to bet on the skilled worker rather than facilitate a permanent low-income class. The government has reduced a productivity commission, and there will certainly be many interesting inputs and conclusions from there. However, those who are seriously concerned with productivity must also be concerned about what is happening now in traditional crafts. Competitive skilled workers and tidy conditions are replaced by cheap, hired labour, social dumping and, in part, criminal matters. We believe that innovation and productivity are created by people who can work, so we are now proposing that we equate the apprentice's grant with the cost of a school place on the preparatory course. It is both an important signal and essential to increase the quality of training, stimulate more enterprises to attract apprentices and recruit more young people to choose these subjects. Together with the renewal of the machine parks around the schools, hospitation schemes for vocational teachers and a number of other measures, a powerful package is put together to strengthen the skilled worker we present. And we can do that because we don't prioritize tax cuts. Then we want climate action as monks, when we go into the year when world leaders meet at the Paris Summit to solve one of the greatest challenges of our time: collective billions and railways, strengthening the environmental technology system, more money for Enova, forest protection, green shifts on car charges that can make a chargeable hybrid up to 100 000 kroner cheaper in purchasing. It's gripping like monks. And we can do that too because we don't prioritize tax cuts. We have to have a backbone to say that the level of taxation we had as late as last year, with the income it gave to the common fund, is a level that both business and most people lived well in 2013, and with which they will live well in 2015. The two or three crown pieces that the government will distribute to people most of the day do not constitute much for the individual, hardly noticeable, and especially when it is eaten by increased kindergarten prices, as it will be for everyone, most of them, or a carrier bag or two at the store. But overall, there is money that really monks in the work of arming Norway for the future. It's a confession we have to take seriously. That's what the Working Party does. We can be on our way into some more troubled waters. Several have been involved in many contexts in the last few weeks and months. We're all busy, I think, what's now happening on the Norwegian base, and the mantra that we need more legs to stand on, as many of us have said in many contexts, is more relevant than ever. Then, as politicians, we must be wise and build up under the industries where we have natural advantage. It could be tourism, it could be the marine sector, fisheries and environmental technologies. We must not liquidate important arrangements for these industries. We have to hold back on the use of oil money, not make it as far as possible at any crossroads. We have to have a proper law of permitting in order to ensure that businesses have the power to maintain valuable competences when the order books are down. It's forward-looking. Norway should be a country with small differences and great opportunities. The Labour Party's proposal for the 2015 government budget reflects the ambition we have for the Norwegian community. We will pursue a policy in which we meet the challenges as a community. That is why we say no to large tax cuts for the most prosperous, and instead use the space for action to invest in climate, knowledge, business and health to equip Norway for the future. Finally, I would also like to take the opportunity to thank my colleagues in the Financial Committee for their good cooperation. We had one in part tough sjau to get this into port. We got rid of our deadlines as a result of negotiations going on over a longer period of time than we might have foreseen, but we got it in cooperation, and we have now reached the financial debate, where we can be snuffed out about the real political disagreements. I think this could be a good debate beyond the day. I bring this up with the proposals of the Workers' Party.
ParlaMint-NO_2014-12-01.ana.ud1735e306	The representative Marianne Marthinsen has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2014-12-01.ana.ud1735e311	First of all, I wonder at the representative's criticism of the Right-wing parliamentary leader about the firmness of the main acts. We can see that the Workers' Party is also involved in these main acts, which concern, among other things. focus on knowledge and transport. The right is concerned with keeping order in the Norwegian economy. It is important to ensure jobs and value creation – the very basis for our well-being – and to make Norway robust for the future. If we look at the realities of what actually matters to economic sustainability in the future, it's the underlying expenditure growth in the government budget. The working party proposes net expenditure increases of 8 billion. kr, and it raises the actual underlying expenditure growth of 2,3 pst. to dry 3 pst. and makes it clear about the underlying growth of the mainland economy. The Labour Party itself has criticised the government for overcoming the growth of the mainland economy. Why, then, do they even increase the underlying growth and thus bind up a larger part of the oil money consumption in the future?
ParlaMint-NO_2014-12-01.ana.ud1735e318	Firstly, I have to make an explanation if it is perceived as a criticism of the Right Trond of Greece for his statements. On the contrary, I fully agreed with his statement that the main items in the budget were fixed. And then we have it in place. It is absolutely right that we spend more money on kindergartens, hospitals and care for the elderly than the government does. We can do that because we don't prioritize billions of tax cuts for those who have the most of them. This means, for example: that we can give the municipalities the framework next year that makes the municipalities not need to cut in welfare, as the government now states. However, we spend less oil money than the settlements do, and we do it to show resistance to the glide flight that we perceive the government is on, where, at every crossroad since they took over, you have chosen to correct the use of oil money. You did that when you made the extra proposition last fall, you did it when you came to the NIS department and you went to the revision, and we see that you're doing it now. All opposition parties proposed less oil money use than the government did. This is a strong signal that oil money should be curbed in the coming years.
ParlaMint-NO_2014-12-01.ana.ud1735e325	I am recording the criticism of the government's use of 2 billion. kr – I repeat: 2 billion. kr – more than the working party itself proposes in the use of oil money. But back to what really matters to the economy of this country in the future: the underlying expenditure growth. The Labour Party first criticises the government for over-growth in the mainland economy, then the Labour Party places itself there again in its expenditure increase and thus binds up oil money consumption on a larger scale in the future. Is this representative Marthinsen and the Workers' Party thinking is a sustainable expenditure increase for Norway from a generation perspective? Is this an attempt to double-communicate a message to the voters, or is it perhaps simply due to some calculation error in the Workers' Party?
ParlaMint-NO_2014-12-01.ana.ud1735e333	Given the level of taxation we base in our alternative budget, and given the level of taxation we have gone to elections and communicated to the voters, we are, of course, putting forward a sustainable scheme, where we spend less oil money than the government has provided. There's a sign from our side that we believe that the stuff that we're now seeing at all of the intersections is not okay. I think it's a little strange to register, simply, that when both the Right Party and the Advance Party in election struggle and over several months have made a big point that we had a red-green government that they thought only spent money and allowed public consumption to grow, they themselves present a budget where the growth of public consumption is higher than the growth of GDP. This did not happen while we were in government, with the exception of one year – it was in 2009, with the financial crisis budget. It goes without saying that the bourgeois parties do not have the power to negotiate a settlement that keeps the expenditure growth down, when this has been such a central part of their own communication.
ParlaMint-NO_2014-12-01.ana.ud1735e340	In the Workers' Party's alternative state budget, a two-billion-billion-dollar tax surcharge has been proposed. Those with the lowest income, as at the bottom of the table, shall be required to pay more taxes on income to the wealthiest country in the world. In addition, many taxes are increasing: fuel and diesel taxes are increasing, caravans are becoming more expensive, motorcycles are becoming more expensive, snowmobiles are becoming more expensive, most cars are becoming more expensive, mineral oil is becoming more expensive, diesel taxes are becoming more expensive, hang-on engines are becoming more expensive, alcohol taxes are increasing, tobacco taxes are increasing, and the non-alcoholic drink charge is also increasing by 5 pst. Of course, the hardest thing will happen to those who have the least route to start with. But one fee has not been reintroduced, the inheritance fee. My question to the representative Marthinsen is: why is the inheritance fee not reintroduced?
