ParlaMint-NO_2014-10-22.ana.ud143e26	The representative, Dag Terje Andersen, will put forward a proposal for a representative.
ParlaMint-NO_2014-10-22.ana.ud143e121	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e124	The Prime Minister said it was about getting ready for the future. With regard to the use of oil money, the Prime Minister is the one who is often the most concerned — not always how much is used, but how they are used, and that they are to be used for knowledge, transport and tax relief, in line with what was the intention of the action rule. We've recorded that tax relief seems to be successful, at least in the draft budget, and it's also a plus on transportation. What I'm a little surprised about is what you read in the government's own draft budget on knowledge. It says in white that the share used for knowledge has fallen from 7.7 pst. to 7.3 pst. of the total budget space for action. So my question is, is the government and government parties ready for negotiations that can raise the knowledge part of the budget?
ParlaMint-NO_2014-10-22.ana.ud143e132	I can confirm that we are in order to raise the level of knowledge, both in this budget and in the years to come, but it is thus a significant increase in the knowledge effort in the years to come: we have 4.2 pst. growth in research next year. For the last four years, we have had an average of about 2 pst. real growth in research. It's a big boost. We're moving well forward on many of the single indicators -- we've now reached the top of 1 billion. kr in the continuing training of teachers. Then it's true that we make a larger room for action, including: to fulfill an ambitious transport package, which we all agreed on in Stortinget. And some of us, including the representative here, I think, agreed that we should spend even a little bit more on parts of the transport sector in the years to come. This is a big and concrete promise, but it's a solid commitment to knowledge. If you go in and look at the growth in the individual areas, it's good. But we're going to negotiate, so we're ready to see what demands come up in this area as well.
ParlaMint-NO_2014-10-22.ana.ud143e139	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e142	For industry, too, there is a distortion in this budget. In Norway, most enterprises are small. I noticed that the government chose to raise the VAT registration limit from 50 000 to 150 000 kroner. This is presented as a simplification measure. In fact, it's a tax tightening. It is an attack on entrepreneurs and self-employed people, who will not be able to benefit from a refund of VAT until the turnover reaches NOK 150 000. This saves the state for 125 million. kr, or in other words: founders and small entrepreneurs lose 125 million. kr. Some people get out positive, but those who get out negative, are probably going to get even worse than 125 million. kr. How does the government view this as part of a forward-looking industrial policy?
ParlaMint-NO_2014-10-22.ana.ud143e149	I believe that raising this rate is a simplification for many of those who are doing some activity, but who then do not want to do the reporting work that is related to having to submit tasks in order to get reimbursement. It makes it easier for those who have little activity, that's why we've put it in. It also simplifies systems and follow-up in the public sector. That means that we can reduce the control and follow-up of all the smallest companies. There is mainly one group saying that there is a challenge to this, and there are sheep farmers in the West. I note that today they have a more favourable arrangement for this. Otherwise, I believe that when you have NOK 150 000 on the market, it might be even better to drop some of the paperwork you have to do in order to be part of the VAT system than to get some VAT dollars back.
ParlaMint-NO_2014-10-22.ana.ud143e156	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e159	In his New Year's speech, the Prime Minister said that knowledge is the new oil. The budget proposal she has submitted is a budget in which knowledge lags behind in the struggle for the large crowns, where the only major effort at school is a continuation of the continuing training promise that the previous government began, and where the modest increase in research was received by the Swedish Research Association with a question: Should we not build the knowledge society? This is a budget for tax cuts, not for knowledge. This is a budget for a different society rather than a knowledge society. We have to assume that what a government spends most is what the government thinks is most important. In this budget, money is spent many times as much on reducing wealth taxes as on knowledge. Is it that lower taxes on wealth are the new oil, and why does the government spend so much more on tax relief than on knowledge?
ParlaMint-NO_2014-10-22.ana.ud143e166	The new oil concerns many different knowledge establishments. Those companies need the knowledge as a base. That's why we're raising the research by 4.2 pst, as opposed to the last four years, where it's been 2 pst. real growth. It is possible that a representative of the former government thinks we are small-minded. If we're bad at this, I'd like to hear a description of his own average bets in the last four years. The second shift that new businesses need is the framework conditions that allow them to grow larger. In order to achieve this transition, they also need good framework conditions in the tax system, and they need the possibility of innovation and innovation money as they grow – such as the BIA funds and the TaxFUNN scheme. All these are bets in this budget. The sum of it contributes to knowledge becoming our new oil.
ParlaMint-NO_2014-10-22.ana.ud143e173	Let's move on to the next main question.
ParlaMint-NO_2014-10-22.ana.ud143e176	The state budget is up to 1 200 billion. kr. It gives Norway possibilities we've never had before, and then it's important that we see a good health with a good social profile. The Christian People's Party has been involved in a bad reform that will make it easier to be lazy and fight back to work. At the same time, we need to be aware that many performers will be completely incapable of working. They've had a legitimate disability. It is therefore with great disappointment that the Christian People’s Party records that the government is cutting the need - tested child supplement for disability. We now experience that the family tells them that they must sell the house and cannot afford to give the child an upbringing that other children in Norway get. This is a targeted action that helps those who need it the most. The NOVA researchers Jon Ivar Elstad and Kari Stefansen have provided information that shows a serious link between the children's experience of support and help and the family's financial situation. This means that parents' ability to provide support and care for their children becomes very weak in the weak economy, understandable enough because of great financial turmoil in the family. We know that children of disabled people have a more difficult starting point than others. The social position is inherited, and such a cut makes the starting point for the children even harder. We have listened to the government answer that work is the solution. But I want to challenge the Prime Minister when it comes to the situation of poor parents who don't have the ability to work. Isn't this just a severe setback for this group?
ParlaMint-NO_2014-10-22.ana.ud143e189	I want to stress that what we are doing in this budget is two things. First of all, with regard to the large misappropriation adopted by a unanimous increase in 2011, it has some quite significant consequences for those who have high interest rates, and therefore this government has said that we cannot implement it as proposed by the previous government. We have to make the transition softer, and that's why we're putting more money on the table to help those who are hit hardest in the transition to a new misguided reform. The second is to make a new assessment, which I have also registered in the 2011 proposal from the red-green government, of the issue of the children's supplement. We have done so, including: based on the recommendation of the Brochmann Committee. And yes, it's important in the future to make sure that children have fewer challenges that the family has poor finances, but we have to find other means than to solve it through the social security system. What we've done is we've created a stencil solution for all children. Let me give you an example: a single person in low-income jobs – a little over 300,000 kroner, which is among the lowest full-time income in Norway – who has four children, would be able to lose 72 000 kroner with the system that would apply before we looked at the children's supplement by going from working 40 pst. to work 100 pst. This is an effective barrier to being full-time at work. The challenge is that we can't separate those groups that absolutely cannot work, but if the work line is to be implemented, we don't have to make it extra beneficial not to take out the work skills you have or to get back to work – and that makes the child supplement today.
ParlaMint-NO_2014-10-22.ana.ud143e198	I hear the prime minister say we can't separate those groups. And so we see that what the government is now proposing is a significant saving measure directed at some of the most vulnerable groups in our society. There is a saving measure of more than half a billion dollars – up to 590 million. kr. Prime Minister Solberg and I were in the same government in 2005. That time, then, Prime Minister Bondevik said that what we did too little was for the poor families of our children in our country. Now we have had eight years of red-green government, which has failed to solve the challenge, we have experienced several poor families of children, and what we see with the proposal that lies here, is that in 2017 we will have even more poor families of children. Does the Prime Minister believe that we are able to reduce the number of poor families with this measure that the government is now introducing?
ParlaMint-NO_2014-10-22.ana.ud143e208	The most important way to reduce the number of poor children is to ensure that their parents are in work. It's the most important part to get it done, and that's why we have to have systems that enable those who can work to get to work, we don't have to have systems that prevent them. In this budget, we are doing more things outside the social security system to improve the situation for those with the greatest financial challenges and children. We make a scheme to differentiate the nursery prices from August next year, we make a scheme where those who go to high school and have parents with low income get higher scholarships, against reducing it for those who have parents with higher income. So we've focused on several of the measures that are outside the social security system. It's hard to do these things. I get that. They're pretty heartbreaking, part of the stories we see. But the big question at the end is, if we want to do something about child poverty, we actually have to use what we know works. In fact, the workline, ensuring that people are at work, motivated to be at work, is the most important thing to reduce the number of poor children.
ParlaMint-NO_2014-10-22.ana.ud143e217	There will be follow-up questions – first Kjell Ingolf Roppstad.
ParlaMint-NO_2014-10-22.ana.ud143e220	The Prime Minister is talking about you doing something about the kindergarten rates. Well, I don't have teenage children, but it seems to me that teenage children are quite expensive in operation as well, so for those who don't get lower kindergarten rates, losing the baby supplement is pretty hard. The Christian People's Party fully agrees with the Prime Minister that one of the most important measures to help poor children's families is to get more in work, and therefore we are going to hit hard on that instead of cutting in the number of places of action to help people get out of work, we are going to try to increase the number of places of action. But what my main question to my party leader was, is what we do with those who fall completely outside, those who can't work. How can we help them even more? When the government parties were in opposition, we together promoted a proposal for a representative on measures for families with children, and in the cooperation agreement we wrote: ‘Children growing up in poor families in Norway shall be given more equivalent opportunities.’ I wonder when the follow-up of the representative proposal will come to Stortinget?
ParlaMint-NO_2014-10-22.ana.ud143e232	It is stated in the budget that we will present an action plan on child poverty in the context of the revised national budget in 2015. There are also individual measures in this budget, including: some who meet the challenge of teenage children. When one significantly increases the grant rate in secondary school for those who have parents with low incomes, one meets the exact same group that feels that the child supplement will be different in the future. It is also important to say that the most important job we have to do is to prevent so many people from being dissatisfied. It has a lot to do with what action system we have, and we need to look not only at the number but also at the quality of those measures. It has to do with how we handle drug care in Norway. Increasing the activity of care services will help to reduce this. The fact that we are stimulating and working extra with regard to mental health protection, a priority area that the government has placed high on the agenda, and where we have said that next year we will introduce free treatment choices precisely for these two perhaps weakest groups, helps to break the circle that over time causes people to fall outside and that children live in poor families to a greater degree.
ParlaMint-NO_2014-10-22.ana.ud143e239	Lise Christoffersen – to follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e242	The cut in the children's supplement is obviously such a bad thing for the government that it has always had to hide behind what the red-green government has assessed. Now the question from the representative Hareide indicates that the government will have problems getting that matter through in Stortinget, and nothing would have pleased to sign more. But I want to go back to the matter we dealt with in Stortinget. You can see in the option: ‘The majority of the Committee, all except the members of the Progress Party and the Right, agree to the continuation of today’s need-tested child allowance.’; Can the Prime Minister confirm that this is a correct quote? The rest of the note reads: ‘The majority note that this is a point to come back to in the implementation of the Brochmann Committee.’ That assessment has now been made by the Workers' Party. I wonder if the Prime Minister can say where it says that the Labour Party has changed its position on this matter.
ParlaMint-NO_2014-10-22.ana.ud143e261	The proposal from the red-green government states that the red-green government will come back to the assessment of changes to the children's supplement to deal with the Brochmann Committee's setting. This means that at the time of the reform, no changes were made to the child supplement, but it was not at any time that the Labour Party was opposed to making changes to the child supplement. Former Prime Minister Stoltenberg also pointed out that this was an important reform, and that we had to get back to these issues. Former Minister of Labour Bjurstrøm also gave clear, clear messages in the media that the child supplement was one of the areas that contributed to the difficulty of working. I understand that the Working Party seems that the working line is difficult to implement – ensuring it has been difficult for every step we have taken. What I'm a little surprised about, is that the Workers' Party now seems to have gone away from the line of work on these important issues, gone from arguing that it will pay to work, and gone away from saying that we need measures other than those that are in the social security system, to combat child poverty.
ParlaMint-NO_2014-10-22.ana.ud143e268	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e271	There is, of course, a clear profile in this budget. The 590-million child-plugin savings. kr is similar to what you give in terms of relief in the top tax, and that says a little about what the government's priorities are. At the same time, this is done in a number of areas, and it is done in a slightly different way: either raising the threshold when you can get support, making the scheme a structured one, or avoiding adjusting for price increases. The sum of what you choose to do in this way in the case of nonsocial cuts is quite burdensome. The children's supplement has been mentioned here. We can also mention a number of schemes for single carers, aids, for example: in the case of disabled persons and tombs, to name a few. My question to the Prime Minister is simply: when all these measures are put on top of each other, does the Prime Minister not see that, in sum, there will be a very unfortunate social profile and that a number of measures will also burden municipalities to a greater extent than before in the case of the social assistance budgets?
ParlaMint-NO_2014-10-22.ana.ud143e280	There is not one additional penny in the budget for the next year of the changes made with the children's supplement, so linking this with what is done at the entry point for top taxes or other items is a little sought after. It is therefore only in 2019 that this will have full effect – with the proposed transitional regime. I want to say that I am recording what the Center Party says, but I have also read the Central Party party program. It states that it is essential for the maintenance of the working line that no one should be able to receive more welfare benefits than they could have expected to serve as employees. That's what this discussion is about. Or, for example,At the time of the impending reform, the then Social Policy Spokesman of the Senterpartiet, Geir Pollestad, announced a rematch on the child supplement and referred to the recent report of the Brochmann Committee, which included: document how some families serve more in social security than in work. Pollestad said: ‘The debate on the defunctory arrangement has not been decided on forever. This also applies to the issue of the design of the child supplements.’ This is difficult to implement, and it is difficult to meet the single examples. I understand that there are many who feel uncertainty both for what we have agreed on, for the conversion of disability and for the new arrangements. [[President clubs]]
ParlaMint-NO_2014-10-22.ana.ud143e292	That's when the time is up, including for the Prime Minister. André N. Skkelstad – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e298	The government cuts in the childcare facilities for children in reception and in the necessary health care for asylum seekers, it reduces support for residents in reception who themselves do not have money for living, it cuts the number of places for lone minor asylum seekers, and not least in language training for immigrants – all in a comprehensive budget. We have 78,200 poor children in Norway. About half of them have an immigration background. Does the Prime Minister think we're getting more or less poor kids by implementing these cuts?
ParlaMint-NO_2014-10-22.ana.ud143e305	I believe that the most important thing we do is to ensure that those who have been asylum seekers and have been accommodated are to have a faster settlement. The government has a lot of work to do. That is why we also contributed higher subsidies to municipalities last year – to ensure that we would get more housing, so that we could start our lives in a municipality. That's the most important thing we do, so we actually prioritise that work very high. When, for example: on the issue of fewer places for single minors, it is primarily an estimate. If the lone minor comes, you have to give them an offer, and then you increase the offer. Luckily, we've seen that there has been a decrease in the number of people who are coming in the past. You'll need less space. We cannot maintain a system in which we have to pay for places in which we do not have asylum seekers, just because we expect more. We increase capacity when it is needed, and we reduce capacity when there is less need.
ParlaMint-NO_2014-10-22.ana.ud143e312	Karin Andersen – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e315	There is no doubt that the measures proposed by the government lead to more acute child poverty. The Prime Minister says she's busy with the line of work. One of the most important measures to get single carers into work is the transitional benefit. Then you can train and qualify for three years while you have a safe income, and the kids don't have to be afraid that they don't have any place to live tomorrow. That system works so it wears out. People come to work, and you can qualify for a job that has such a high salary – when you can spend three years – that you can support your family. But what does the government do with this? Yes, they cut two years of this arrangement. Can the Prime Minister explain how this will work in the short term with regard to poor children? How many of these parents will get a job when you take away this opportunity to qualify for a job?
ParlaMint-NO_2014-10-22.ana.ud143e324	There is no doubt that there is a difference between the relationship of the Right, the Government and the SV to the working line. In almost all reforms – except when SV sat in the red-green government – where changes to the working line arrangements have been made, SV has been opposed. That was also the time you went from a ten-year transitional benefit to a three-year transitional benefit. It is one of the most successful reforms we have made for the working line and to prevent children from becoming poor. We believe that one year’s transition process is enough in such a situation, with the possibility for those who have particularly ill children – acutely or longer – and with special conditions in the scheme. Then it's getting a transitional benefit one year, so you can surround yourself and move on, important. And so we have other arrangements, for example. loan fund schemes where you can apply to participate in studies and other activities. We believe that those arrangements are good enough for those who need them to get help. But we believe that this is important, that after one year you have had time to change your life.
ParlaMint-NO_2014-10-22.ana.ud143e331	Let's move on to the next main question.
ParlaMint-NO_2014-10-22.ana.ud143e334	Good business conditions are important. One of the proposals in the State budget is to raise the VAT limit for online commerce from NOK 200 to NOK 500. It may seem negligible, but in reality this is a proposal that significantly impairs the competitiveness of Norwegian trade in goods. All Norwegian shops sell between 200 kroner and 500 kroner, in fact they will be 25 pst. more expensive than the foreign online shops can offer. The industry, industry and the NHO have strongly warned against the proposed scheme and have said that it could mean deflagging businesses and the closure of jobs in Norway. The centre party takes a positive view of online commerce – and we are followers of simplification – but competition must take place on equal terms. In this case, the government chose a line that makes it more difficult for Norwegian businesses. Complete.no says directly that this means that they have to move their business to Sweden, which may mean that 200 jobs disappear. All Norwegian online shops are in reality in the same situation, but these are also common shops – the retail trade around the whole country – sports shops, perfumeries, electronics shops and toy shops, to name a few. My question to the Prime Minister is simply: Why did the government with open eyes choose to weaken Norwegian goods and Norwegian online shops by imposing such a significant competitive disadvantage on them?
ParlaMint-NO_2014-10-22.ana.ud143e343	This is a consumer-oriented measure, which makes it easier for many of those who want to buy from abroad. Some do so in competition with Norwegian business, others do so because they buy goods from abroad that are not so easily available in Norway. I hear there are large numbers that are calculated. I don't think there's any evidence that these numbers are going to vote. It's important to remember that what we're proposing is to increase by 50 kroner, including shipping and fees. In practice, this means that there are 125 kroner in VAT for most packages that make up the difference — according to current charging rules. That makes the sum, with what we include, less -- when both shipping and charges are part of this. I think it is great that there are more parties than the government parties that are concerned with non-discrimination of Norwegian businessmen. I had hoped that the discussion we had about, for example. property taxes, had the same mark. Property tax is a special penal tax on Norwegian-owned jobs, which affects the long-term private capital of Norway and contributes to significantly more uncertainty for many jobs and significantly more focus on short-term investments instead of on long-term investments. This is a balance between the conditions for traders, of course, and the conditions for consumers. I don't think the consequences are as big as the business community says. There are many consumers who think this is good. This is something that many parties have promised. We as a party think it's good to implement what we promise in a election. I also think that is important given the status of politicians: not just to turn around every time other arguments come on the table.
ParlaMint-NO_2014-10-22.ana.ud143e354	I feel that the Prime Minister is actually trying to minimize the matter a little bit, at least in relation to what business means. The head of the NHO, Kristin Forest Lund, has warned strongly against the proposal. She says, ‘It’s very stupid to use taxpayers’ money to favor foreign enterprises.’ She goes on to say that you might as well stand on the Gardermo and distribute "a hundredth". I think it's important that someone takes the question very seriously. That's what the right has done in the past. A year ago, in September 2013, the Right said that this was a problem with regard to the competitiveness of Norwegian industry. Tore Vamraak, fiscal adviser, stated: ‘Such increase’ – of the limit, i.e. up to NOK 500 or NOK 1000 – ‘will change the ‘tariff-free limit’ from being a simplification measure to become a discrimination against Norwegian businesses’. That is quite precisely what will happen if such a proposal is adopted. When the Right a year ago thought that this could weaken competitiveness, what has changed until today?
ParlaMint-NO_2014-10-22.ana.ud143e371	What changed was the question of what we – and many other parties in Stortinget – had been on, that is to say that we were going to go up to NOK 1000. It went right away before the 2013 elections. We said we should raise the limit, but we didn't say we should go up to NOK 1,000, as before. 1000 kroner would be a pretty high jump. What we're doing now is adding cargo and fees. We're increasing it to 500 kroner in total, which is a significantly more moderate change than the proposal that Tore Vamraak commented on, and on which the Right did not go to elections. We then thought that this would mean too much change for Norwegian business. There is a balance between consumer considerations and contributing to more competition, such as: as regards trade in goods and retail trade in Norway. There are some people who believe that there is a lot of concentration around these areas — there may be a need for some competition.
ParlaMint-NO_2014-10-22.ana.ud143e380	Follow-up questions are given – first Geir Pollestad.
ParlaMint-NO_2014-10-22.ana.ud143e384	I think the Prime Minister is taking Norwegian jobs very easily, and I am reacting to some of the arguments that are being used, when a serious person is standing here and claiming that to some extent this is about goods that are not in Norway, that is what online commerce is all about. No, this case is about goods sold from Norway being subject to VAT, while goods sold from abroad are exempt from VAT. It's distorting. Work has been conservatively estimated that as many as 10,000 jobs can be found. The NHO strongly warns. This is a matter on which the business community has not been given its opinion, and then my question is to the Council of State: When one hears the reactions of the business community and one hears how woolly the Prime Minister's own argument is, isn't it time to put a foot in the ground and allow business to express its opinion on this, through a proper hearing, before one makes such a dramatic change?
ParlaMint-NO_2014-10-22.ana.ud143e391	Erna Solberg is still Prime Minister, the President must remind the representative of.
ParlaMint-NO_2014-10-22.ana.ud143e394	I believe that one of the fine things about the fact that we have a minority government – although a prime minister will always want a majority government – is that the hearings that are now taking place in the Stortinge will be quite real, it will be possible to present all his views, and finally, the Stortinge will take a decision on this. As a government, we have proposed what we actually promised the voters – to increase this limit. We've done that, and including shipping and fees, which means that it's not 500 kroner, it's probably going to be an increase of about 150 kroner compared to today's system. We do it because we think it's also a simplification, and we take into account the strong consumer interests and consumer desires to do this in a simpler way. Sometimes in our society we have to weigh consumer and business interests against each other, and then consumers sometimes have to win. In this case, they have won.
ParlaMint-NO_2014-10-22.ana.ud143e401	Else-May Botten – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e404	There has been strong criticism from both the NHO and the Working Party, as has been said earlier here, but also from the Right-wing rapporteur in Sandefjord today in today's business life. I experience this case in a number of similar cases and changes that the government has made within the framework of business, which are not knowledge-based enough because they have not been investigated enough. The Prime Minister was in charge of the property tax. Stein Erik Hagen is the largest owner in Complete.no. The government spends billions on strengthening his private economy and others in that club, while the conditions for the businesses he owns are raging. How can the government present a proposal that in practice means shifting shopping workplaces out of the country?
ParlaMint-NO_2014-10-22.ana.ud143e411	I believe that this is a minor change that becomes a simplification, and that is not going to push jobs out of the country. But I know that every time we make proposals that give tougher competition, business protests. I've been a local politician, and I've experienced how the business community doesn't like a new mall somewhere else because it involves competition with its own shops. I've seen that when we've tried to make decorations within areas that have been detailed in the past, business hasn't been so excited about it. I'm used to that. When one makes sure that consumer considerations sometimes win in some cases, business will be concerned to argue against some of those changes. Although you often talk about more competition being good, you don't think it's good when it comes to your own area. If that's how the Workers' Party now wants to listen to business, I think they'll listen to a lot of the other wishes that we're actually fulfilling, for example. in the case of taxes, in the case of the User-Controlled Innovation Arena, the BIA, in the case of the TaxFUNN, yes, in all the areas where they did not contribute to the creation of new jobs when they were in government.
ParlaMint-NO_2014-10-22.ana.ud143e418	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e421	First, to some clarification, I think, because when you refer to the party program, it's a little different from what you mention there – it's issues of customs freedom, and then there's someone else who's talked about the limit of VAT. Our programme is about customs – that is to say. In an interview with the NRK, one of the State Secretarys of the Ministry of Finance said yesterday that the government's loss on the proposed change was estimated at 180 million. kr. On the question of what it means for Norwegian business and Norwegian jobs, the State Secretary answers that it has not been calculated. Is that right?
ParlaMint-NO_2014-10-22.ana.ud143e428	It is not easy to calculate what such a marginal increase in this limit means for Norwegian jobs and no specific assessment has been made of it in this context. It is also not done every time we increase other charges, e.g. Petroleum taxes, which we increase in budgetary settlements in Stortinget, or other, which also have consequences for Norwegian jobs.
ParlaMint-NO_2014-10-22.ana.ud143e433	Ingunn Gjerstad - for follow-up questions.
ParlaMint-NO_2014-10-22.ana.ud143e436	Of the 365 000 who work in the trade in goods, many are members of the Trade and Trade Office with collective bargaining agreements and maintain the Norwegian labour market model. Similarly, we have logistics companies in Norway that, in regulated forms, provide tax revenues to build well-being. And on the other hand, there's an increasing proportion of online trade that we have examples of being organized more as slavery than as work, as in the case of Amazon. How will the Prime Minister explain to the parties to our regulated working life and to those who are now at risk of losing their work in the trade in goods that this VAT change builds on the stakes of the Storting against an increasingly criminal and unregulated working life?
ParlaMint-NO_2014-10-22.ana.ud143e442	We have good cooperation with the parties to address economic crime, especially in relation to the crime of working life. We work with LO and NHO to implement an action plan. I believe that, of course, there are also major challenges with everything we do. If we are acting in regulated shops in Norway or if we are shopping over the Internet, there are major challenges in terms of how social work conditions have been in the countries where the goods are produced. A lot of the goods we buy are produced in countries where the working environment is not like ours. It's important to work with the ethical consciousness, but unfortunately we can go into shops in Norway and buy clothes, buy things that are made under working conditions that we wouldn't want, and that we think we should fight internationally. There is no difference whether we buy from the online store, or whether we go into a Norwegian store. What we have to work on is to make sure that the whole supply chain is ethically responsible.
ParlaMint-NO_2014-10-22.ana.ud143e447	Then we go to the next main question.
