ParlaMint-NO_2014-02-13.ana.ud1374e65	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2014-02-13.ana.ud1374e221	In this proposal, it is proposed to provide a legal basis for the confiscation and destruction of medicinal products that have been attempted to import contrary to the legislation, without the need to report the situation to the police. It's a very positive suggestion. There has been full support in the hearing round, and there is full support in Stortinget today. The representative, Nesvik, said that this is because the new government was very effective and is making a proposal after 120 days. I must be allowed to say that it was the red-green government that took the initiative and sent the matter out on the phone. So I thought the government party might admit that something good came from the red-green government. Then I will admit that something good has occasionally come from the EU, as there was new knowledge, but also because of an EU directive that aims to prevent counterfeiting of medicinal products when the legal supply chain for medicinal products. There is a note in the Committee setting on food supplements. I am not in favour of evaluating the practice of which dietary supplements are to be classified as a medicinal product. The background to this is that I agree with what the Committee has said, that ‘this amendment also allows for the seizure and destruction of food supplements with illegal content of active substance — without a police report’. Thus, it applies to supplements containing active substances in such a quantity that they can be characterised as medicinal products. I would have liked to take part in a case that took a proper review of the diet, but I feel that the committee was only interested in taking the upper end up against the medicine – not a full review of the food supplement field and what can be classified as a food supplement. That's why I'm not at that particular comment. When it comes to nettapothek, I agree with the Working Party and the Red-Greens. I don't want to say that we're going to adopt nettapotek now, but we can be involved in a distribution. There is certainly a safe and good offer, but we also need to look at the consequences for both the range and the established structure.
ParlaMint-NO_2014-02-13.ana.ud1374e234	Effective and safe medicines are good for the health of the population. Medicinal products that do not work and are dangerous can do a lot of damage. Therefore, in order to protect public health, medicinal products have long been required to be sold only if the manufacturer first demonstrates that the medicinal product has an effect greater than the adverse reactions. In addition, operators in the pharmaceutical supply chain, such as manufacturers, importers, wholesalers and pharmacists, must be authorised before they can start their activities. This provides a safe and controllable pharmaceutical market in Norway. In the past, the general public received first and foremost access to medicinal products through pharmacies and health services. Today, each of us can obtain medicines by buying on the Internet. Trafficking on the Internet has increased sharply in recent years. Only Postens Godssenter will receive an estimated 120 000 consignments per day. At Alnabru, approx. 1000 consignments per day. Of these, approx. every third consignment of medicinal products or food supplements. Although the extent is uncertain, there is much evidence that individuals import several thousand packs containing medicinal products every single day. In recent years, the medical authorities have warned people against buying medicines via the Internet because of the risk of buying counterfeit or illegal medicines. The World Health Organisation has estimated that more than 50 pst. the medicinal products purchased online from unauthorised sellers have been falsified or unlawful. A study performed on the Agency’s website concluded that 62 pst. of the medicines sold on the Internet are fake. The buyers today have little opportunity to make sure that the medicines they buy are real. False medicinal products may be ineffective. In worst cases, they can be directly harmful. This use may mean that the patient is not treated with a serious illness. The authorities are currently lacking effective grounds for the seizure and destruction of such medicinal products that are being tested to be imported in smaller quantities. In practice, therefore, they are in many cases returned to the consignor, who then has the opportunity to send them again until they reach the consignee. In fact, there are some of these who operate with a delivery guarantee. I have therefore proposed that the authorities be given the opportunity to seize and destroy illegally imported medicinal products. While police and prosecution authorities have to be involved today in the seizure of illegally imported medicinal products, the customs and pharmaceutical authorities will be able to seize and destroy the medicinal products after notifying the recipient. This ensures that counterfeit medicinal products are withdrawn from circulation, while contributing to more effective import control and ensuring that police and prosecution authorities are able to use their resources in other areas. Agents are not themselves purchasers or sellers of the medicinal products and have no physical condition with them. Such intermediaries are not currently subject to authorisation. Since these have contributed to the introduction of counterfeit medicines in Europe, I have proposed that regulations should be able to lay down more detailed requirements for such intermediaries. It is an important and absolutely necessary legislative change to which Stortinget today, hopefully unanimously, subscribes. There is reason to say that this is a work that started under the previous government, but it is high time it was introduced.
ParlaMint-NO_2014-02-13.ana.ud1374e255	I am extremely pleased that today, at Stortinget, we are adopting these changes. You have to be careful to say that you have to protect people from yourself, but in this case, it's actually incredibly important action we're taking. Unfortunately, many people diagnose themselves from home and trade medicine online rather than go to the doctor and get them prescribed for their suffering. In particular, it is a large market for so-called embarrassing medicines, which were used here instead, as potentants and diet pills. Pirate drugs are purchased online, and many take great risks, and you act in good faith. But in reality, you're acting in ignorance about what's the content of that medicine. It is purchased for huge sums, as the rapporteur said, and there are many fakes out there. Some people have suffered severely after use. Even here in Norway, deaths have actually occurred after someone has taken these kinds of drugs. In the last period, I asked questions to the then health minister, Anne-Grete Stroem-Erichsen, who started this work in investigating the changes to the legislation that had to be made in this area. It has been important to focus on more effective facilities for the seizure and destruction of illegally imported medicinal products, so that it no longer has to be returned to the consignor, because it only contributes to someone else being sent the same medicine. The customs authorities have informed that an estimated 120 000 postal consignments arrive daily from abroad to the Postens Godssenter. That means that the scope is quite large, and it will be a bit demanding to follow the enforcement of this law. That's why I think what's important in the future is that you come out with as much information as possible about how dangerous it can be, and that the risk is great by doing this. I would also like to challenge the Council of State a little bit on the question of how the Customs Authority is now going to enforce this law: will they get extra funds to do so? Would they have the resources and the capacity to enforce the law, destroy the drugs and take the necessary checks to put an end to this?
ParlaMint-NO_2014-02-13.ana.ud1374e274	I will not undertake to answer for the Council of State, but it is enough that this amendment will facilitate the resource use of Customs and give them more room for control since it becomes less bureaucratic to deal with what is being seized. However, it is also stated in the report from the Department that there is a need for any costs to be borne by the Agency. With regard to this issue, which is really a simple change in the pharmaceutical law, it's amazing how many breakthroughs we've had in the staging room: we've only opened up to nettapothek. In addition, we got the Central Party to admit that there are good things coming from the EU. And now I can follow up by saying that this case came from the red-green, and that's a good thing. And once again, the debate shows that we are unanimous and agree that this is good. Medicine in a fool's hands is married, and poison in a wise man's hand is a medicine. With regard to the discussion on whether to introduce retapothek now or whether to have a broad assessment first, I am absolutely convinced that if we do not open up to retapothek, the problem of buying drugs via websites abroad will increase. Now the pharmacy law has worked for almost 13 years. We have received a triple in the number of pharmacies in Norway. Major structural changes have already been made. I am convinced that Norway is mature for retapothec. But when said, one cannot do this without changing the prescription, probably also in the Pharmacy Act, because, as the representative Nesvik said, the Pharmacy Act does not authorize this. There'll probably be one round or two more here in Stortinget before we get this in place. Regarding this with food supplements, as the representative Toppe mentioned, I agree that we should be restrictive. But at the same time: if we are so strict in Norway that it seems quite unreasonable in the eyes of consumers, and we see that Norwegian practice is very much stricter than in other countries, although the legislation is quite similar, I think it is timely that we ask for an assessment of individual cases. I am very confident that the department will handle this in a good way.
ParlaMint-NO_2014-02-13.ana.ud1374e285	There was a question of customs handling the legislation. The State budget for 2014 added an increase of 3 million. to strengthen customs enforcement. At the same time, there is also reason to believe that the customs service will save money on postage to the shipments of this, which is not insignificant either. Of course, it's also a much smaller bureaucratic system, which will also free a resource through it. Of course, with regard to the comments of the Committee on Food Grants, the government will follow it up and receive an assessment at an appropriate time. The issue of net drug use is an important topic, and this will involve an investigation work in which we will have to carefully evaluate the various issues, for example: this by ensuring that a good consignment of, among other things: medicinal products that are temperature sensitive. I believe that it will be fully possible to investigate and establish framework conditions for this which can ensure the safety of medicinal products in a good way.
ParlaMint-NO_2014-02-13.ana.ud1374e292	Several have not asked for the floor on case No. 4th@item: inlistbox
ParlaMint-NO_2014-02-13.ana.ud1374e308	This interpellation is about incredibly vulnerable people, because we're talking about those who often labor the most in our society. We should be careful to stigmatise and think that all seriously ill patients with mental disorders are dangerous. We'll talk about these people with respect, warmth and care. At the same time, we need to look at the challenges that lie there and see if we can get on together and find measures and laws that are appropriate to the measures. I think everyone's goal in this room is to have safe services for everyone: that the individual sufferer who is ill is given proper help, so that he or she may be safe and not be a danger to himself or other users, relatives, employees or others, that other patients living around those who are ill can also feel safe and maintained for themselves that relatives of users should know that their family member is being well cared for professionally and humanly, and that they can be safe that he or she is most happy is taken care of: In Stavanger Aftenblad on December 17, 2013, there was a young girl and several others who had had great and bad experiences in different municipalities around our country. They involved felt that the local authorities had taken a little hold on their problem. I have asked myself some questions. Where are we? What are the facts? When we talk about bombs ticking around the community – because that's what we're saying – one can wonder why we haven't heard the tick before it snaps. That's what the head of mental health said. We have these events that have emerged through the media lately. Some people are afraid. Others create self-righteousness. I am grateful that the government has said that they will bet on the Russians and psychiatry, but we also need to know what we want with this bet. Where do we find these patients that we know can be a challenge? Why don't we hear the ticking that the head of mental health is talking about? Why is there someone we can't catch? Could it be that from the start, already in kindergarten, we are actually not good enough to see the challenges and report them further? Have these people fallen between professional groups in the municipalities from the small ones? Have we been too poor in the transitions between different disciplines and different fields of service, since they were young and growing up, so that we haven't caught them up, and they've fallen between all the chairs? Some of these patients are found in the specialist health service. They've had a serious illness. They have entered security areas or closed wards in psychiatry, and once they have been processed there, they must then go straight into the municipality – straight into a community. Other of these patient groups are actually in prison, where their mental illness develops. They're going to go straight into the municipality. Everyone's going to a municipality. Many municipalities struggle to have good enough housing for this group, because some of them have a mixture of drugs and psychiatry. The big question I'm asking myself is, do we have the whole picture of this? Who is responsible for the seventh and last? Is it the municipality that doesn't discover it early enough? Is it the state, who prints through the hospital too early, or who doesn't have enough specialist health care, and says that the patients are finished, and then they're not? Is there anything about the law here? The hospital has its own law. The municipality has a different law and cannot use coercion. The municipalities have to accept. It is not always that they have neither housing nor professionals to do the job they would like to do. They also feel that the law sometimes prevents them from doing a good job. I met a mariner in a municipality with 17,000 inhabitants. He told me they had two patients in his municipality, who for them stood for 20 pst. Of crime, but they couldn't do anything, because the law didn't. It's not good for the patient, the municipality or the surrounding area. The municipalities lack professionals. They lack competence. Many people are in a sick patient in the course of a week, and thus you do not see when the user gets sicker. There was a patient who told me that in a week there were seven-eight different people coming in. Is that why we don't hear the ticking? KS asked for a report from Agenda Kaupang – ‘When care fails’. I know that this report is really aimed at the care of the elderly, but I think we can still see some similarities. Some of the events were not discovered by the media or by relatives. Therefore they did not come into the light and remained lying. There were few cases reported. Thus, there were few cases in which to build on learning and experience — one did not become a learning organisation because one did not report. That's why this is also going to be a matter of attitudes, security and transparency enough to learn from the mistakes we're making. Cross-disciplinary cooperation — being able to do things across professional bodies — is prevention. The relatives are often told that they are a resource for all of us. But are they? Do we listen to their experience when they feel that their closest ones are getting worse? In fact, they account for a fairly large proportion of our care and take great responsibility for the seriously ill. We have to listen to the relatives. Ethical reflection on the failure of an organisation is an important step forward – that employees can say: We can be here, but if we go further, it happens and that happens to this patient, because we know him. Systematic work and systematised knowledge of failures and serious failures help to create a direction for targeted work to build skills, culture and attitudes. It's a management responsibility. I think cooperation between specialist health services, county councils and municipalities can be better. We've had a bunch of campaigns over time. Nevertheless, there are equally many undesirable events. We think it's bad when it happens. Not least it hurts those who experience it. I also know that the red-green government has launched a patient safety campaign. That's very good. We have a lot of supervision. But what kind of attitudes do we have to them? Are they a plague and a plague – a booklet – or do we want to use them for something good? We're talking about risk and vulnerability analysis in general. But are we ready to use them when we have analysed the risk? Municipalities shall receive guidance from the specialists. But do they get enough guidance? I was on a municipal visit to Sandnes. They know that this is a big challenge for them. They have four challenging inhabitants, to whom they have built four housing units. There are 26 job homes for four people. None of the employees are without higher education. They say they work at the limit of the law, but they want to do it, because they see that they are unable to meet these challenges without doing so. I challenge the Council of State in view of whether we should have a half-way service, a service that would both meet the needs of these citizens, and not least create a professional environment around them – building a specialist health service that is not a hospital, but is so good that we are able to provide and provide good health care to them. I think we need to think about new and different things in the future. We have to make the law work, along with the service we want. I ask the Council of State, after giving my description of how I see it: what does he think we can do in the future to ensure the security, both for those people who need help, and for those who live in the same municipality, and who are also patients or users? What does the Council of State think we can do for the care service as a whole, for those who are going to work there, and to ensure enough knowledge and people who are going to work there?
ParlaMint-NO_2014-02-13.ana.ud1374e354	I would like to thank the representative of Bollestad for his contribution to a very important debate. The problem raised is complex. It also appeared well in the interpellant's articles. Several municipalities experience major challenges related to some people in need of help who have cognitive failure, challenging behaviour, are seriously mentally ill, and who sometimes do not consent to health and care services. Some people have drug problems and a background of crime, and they can be perceived as threatening. For some, neither the conditions for housing in prison nor the conditions for the use of coercion under health and care legislation are met. In these cases, the consideration of individual freedom could be weighed and assessed against society’s need for protection. From a number of quarters, critical questions have been asked about the way in which this balance has been made, especially when something has gone tragically wrong. But when something serious happens, one cause is rarely found alone, for example. a diagnosis. I'm concerned that we're not going to stigmatize individuals or groups in society. It may in itself affect attitudes and contribute to their not seeking and providing services that can help. However, we must recognise that some people who are considered dangerous have fallen between two chairs — the health sector and the justice sector. In this area, there have been many investigations without subsequent action. That is why, together with the Minister of Justice, I would like to thank you for this. Municipalities and specialist health services have a statutory obligation to provide the necessary health and care services. Responsibilities also include resource-intensive users and persons with obscene or violent behaviour. What is necessary and appropriate health and care services shall be determined on the basis of an individual assessment of the individual’s needs. This requires adequate competence and personnel and well-coordinated services. Municipalities may apply to the Health Directorate for partial reimbursement of wage costs for particularly resource-intensive health and care services. The decision-makers are important to be able to capture the kind of problems we're discussing here. They shall further refer to the specialist health service if necessary. The municipality shall facilitate cooperation between the local authorities and other service providers and ensure that the permanent scheme is well integrated in the provision of health and care services by the municipality. More knowledge of mental illness, cognitive failure, developmental retardation, drug dependence and good treatment reduces the risk of fixed situations and creates a basis for good dialogue with individuals. Today, we know that people with mental disorders or cognitive failures living in a safe environment pose very little danger to other people. This is why the institution’s care for people with developmental disabilities was discontinued and that the number of daily places in mental health protection from 1970 to the present day is reduced from 14,000 to 4000 places. The prerequisite for these major changes is partly the strong expansion of municipal health services, better housing, social services, work and employment, and partly better specialist health services, in particular outpatient and outpatient services. Responsibility for following up persons mentioned in the interpellation lies with several bodies. These may include municipal health and care services, specialist health services, labour and welfare management, child protection and police. It is essential that the statutory duty of cooperation between these services be fulfilled and that efforts are coordinated. In order to provide necessary and sound assistance, close cooperation between service providers, users and – if possible – relatives is essential. The relative, together with the patient/user, has a right of participation if he/she is not himself able to care for his/her interests. User involvement is more than one legal right. It is also essential for professional good services. Taking the user and family perspective seriously means listening and using their experience to improve services. This means that the advance notifications that can and often come must be taken seriously. Security is created through mastering, cooperation, trust and not least through good competence. Security is about preventing crises. Good crisis plans, developed in cooperation with users, relatives and auxiliaries, ensure a common understanding of danger signals and shall help to ensure that users, relatives and personnel always have a call point so that assistance is readily available. User-controlled DPS locations are an easily accessible option for many with severe and complex disorders. These people need more municipal services, and there is much to be gained from strengthening the multidisciplinary municipal work of patients with a complex need for help. Individual level and coordinator, as intended by law, could be important instruments to help coordinate supply better. It is essential that municipalities and specialist health services cooperate closely in these matters. Active outreach treatment teams are examples of good cooperation between municipalities and specialist health services. The team provides a comprehensive range of services for people with severe mental and drug problems who use the regular services to a small extent. I will look carefully at the evaluation of the teams coming later this year, and will assess whether such teams can also be an offer to other patient and user groups, and consider what is needed to further develop that part of the service. The law and regulation imposes on businesses an obligation to have internal control over compliance with statutory obligations and that services are at all times sound. This should also be a tool for learning in municipalities and health enterprises. If failures or weaknesses are detected, they shall be rectified immediately. In addition to internal controls, the competent authorities of the counties and the health surveillance authorities shall supervise the proper functioning of the services. Whether or not a notification system should be established for the municipal services is something I would like to assess. I have also been asked whether a subject should be set up with rapid access to the investigation of relief measures for at-risk adults. I would like to look into this when the Health Directorate has assessed a technical report and when the Storting has addressed the notification of the developmentally disabled. I would also like to refer to the Syse Committee, which is to assess how serious incidents and suspicions of crimes in the healthcare sector should be followed up by society. After changing their mandate, the committee shall assess whether the establishment of a commission of inquiry is appropriate, but shall also propose the legal and organisational basis for such a commission. The committee shall also assess whether the police should have health professional competence when investigating serious incidents in healthcare. The aim of this government is to strengthen the provision of municipal services to people with mental illness, both by focusing more on prevention and by expanding the provision of lowthreshold services in municipalities. Such an offer must also include people with mild developmental disabilities and mental problems, who are currently receiving municipal services to a lesser extent — either because they are not known to have a developmental handicap or because they do not want such help. Let me stress that it is perhaps the sickest who most need the treatment threshold to be lower. We need to ensure that the municipalities are large and robust enough to handle the tasks they are assigned to them, and we want to work for a solid empowerment in the municipal health and care services. Among other things, we have Strengthened Competencelift 2015 by 50 million. kr in 2014. This provides room for more adult education and decentralised higher education. The Government Platform also determines that an escalating plan should be established for the drug field. The governance signals of health enterprises have made it clear that outpatient clinics, rehabilitation services, outpatient services and user-controlled sites should be given priority. The government implements the rule that mental health protection and multi-disciplinary specialised treatment of drug problems should have a higher growth rate than somatic health services in all health regions. In the case of insertion and outsourcing, violence risk shall be assessed. The basic idea that services should be built around patients and users is, I believe, the most important step towards better and safer services. That is why I am very pleased that the future supervisor of local mental health and drug treatment also contributes to the creation of the patient’s health and care service. We also review circulars on legal certainty through coercion and power towards individuals with mental retardation. I want to assure the interpellant that the government is working to ensure safety both for people receiving health and care services and for society. At the same time, we're going to work to have a good system of evaluation when serious events actually happen.
ParlaMint-NO_2014-02-13.ana.ud1374e394	I agree with the Council of State that it is the sickest sick people who need the lowest threshold on the offer, because it is nice for us to have the most trouble getting in touch with them. I also very much agree with this with user-controlled locations. But they have to enter the system first in order to be able to use the user-driven places, and it's often before they get to the point where they get to us, that they can make use of it. I am also grateful that the Minister says that he and the Minister of Justice together will address the issue of the group of people falling between two chairs. But I still want to go back to what it is that makes someone fall between two chairs. I think some of it might be that the regulation for mentally ill children and young people in the municipality defines to a small extent who in the municipality is responsible before they are 18. The decision maker has a central role, and it should be lacking, but is it the health centre, is it the kindergarten, is it the PPT service, is it child protection – of all these that are around the children – that has to take total responsibility for the mentally ill children until they are 18 years old? I know that the municipalities are asking for this, and we would like to have a clarification of it. Maybe we should define this more clearly in the regulation. In addition, we have had an interaction reform, and it is good. It was aimed at creating a seamless health system, including in mental health. But anyway, I see some issues, and it's a matter of equivalency between the specialist health service and the municipality. Who is that who has the power to define when the patient is ready to print, and we can't do more? It is then the specialist health service that has both the power of definition and the right to print, and the municipality has to accept it. For this group it is important that it is well prepared when they come out – that there are teams around them that can help, that the dwelling is there, and that we have the trade unions around. It's not always like that when it's the specialist health service that has the power of definition. That is why I also want to challenge the Council of State to look at how local health companies deal with the municipalities and the agreements with them in the interests of equivalency – that you have an equivalency when you want to see if patients are actually ready to come from specialist health services and to a municipality.
ParlaMint-NO_2014-02-13.ana.ud1374e405	I would like to thank the interpellant for the recordings of the debate further. The Health Directorate is now also investigating the relationship between the education requirements of the law and the state of competence of the services of persons with developmental disabilities. It is also an important work in relation to some of the issues raised. Then I think we need to recognise in a way – and that is also what government policy is in this area, and as I see it also has broad political support – that the main solution lies in the municipalities. It is building up good competences in the municipal service that is much of the solution to this. It is therefore important to give municipalities the opportunity to get more people who have higher education, to further train those who are already working in the service, but also to clarify national leadership on qualifications requirements. But these are groups that also require coordinated services. With regard to the issue raised by the interpellant regarding children, one will not find a good solution to it without the various actors being able to cooperate in a better way. Then one would think that it was in the municipality, where one has an overall responsibility, that one managed the best – where one is responsible for school, child protection, health and social services, etc. But nevertheless, we see that there are still challenges to it, even if the responsibility is located in one place. Then also, the specialist health service needs to be better at going out, to be out in the municipalities, to support the services provided in the municipalities. This is probably where the two-way service is best provided, because the expertise and authority in the specialist healthcare service are more widely available to patients and users where they live – that instead of moving on to users and patients, we are moving on to services. It is also important that municipalities learn when things go wrong. Here we have a major challenge throughout the healthcare system – we are not a good enough learning organisation. Too often it is concluded that once the Health and County Medical Officer has said that nothing has happened illegally, or that the service is proper, it is good enough. No, that's not good enough. One also has to go into the specific situations and learn: what was it that caused this event to occur? Often there is not one explanation factor, but one often has a lot to learn from going into the individual situation. Then it doesn't work as it does, among other things. came out in the report in Stavanger Aftenblad, that the people concerned are discussing it over lunch. One must work much more systematically with this.
ParlaMint-NO_2014-02-13.ana.ud1374e420	The theme of this interpellation, violence by mentally ill people, often against other weak groups, arouses strong feelings in most of us – and grief, pain, and perhaps also seasickness in those affected in a different way. First of all, it is important to stress that mental illness in itself poses a rather moderate risk of violence. It shows all the research. Very many people come into contact during their lives with mentally ill people or have a mental illness. The vast majority of mentally ill people are no more dangerous than most healthy ones. There must be an important starting point for this interpellant debate, as both the interpellant and the Council of State also mentioned. But when the accident strikes, when people are killed or injured by people who are ill, we look for explanations: Could we have prevented this? Can we learn from what went wrong, so that it doesn't happen again? The interpellant looks at how particularly vulnerable people — children, young people, the elderly or people who are sick at sea — are likely to be more vulnerable to this type of violence than others. It draws a more complex picture and makes it even more important to clearly address the problems we are discussing today. The relationship between mental illness and domestic violence is relatively well known. Recent studies on the theme embrace a wide range of mental health conditions. The overview shows that the risk of exposure to e.g.: Partner violence is much higher in women with depression and anxiety than in women without mental distress. We also know that many older people are subjected to violence by their mentally ill adult children, and we have also experienced that children have been killed by adult carers or by other adults they trusted. It is undoubtedly a major challenge to identify people who may be at risk to others, especially when dealing with patients without a known background of violence. Often it has been found that there may be relationships between patients and the environment that allow some people to act violently in given situations. The use of drugs may increase this likelihood. For this reason, we must work with the aim of identifying the risk situations that can trigger aggression and violence. A realistic picture can help to adapt assistance and treatment as early as possible, avoiding unnecessary measures for people at low risk, and also preventing people at high risk from being overlooked. To ensure the quality of patient assessments, good knowledge and access to good diagnostic tools are required. District psychiatric centres, outpatient clinics, specialist hospitals and contract specialists must be able to assess risk situations both during the patient’s stay and during the hospitalisation and outsourcing phase. It is also very important that different institutions cooperate well in the care of mentally ill people. The police are often an important body, and the police officer in Troms, Ole B. Säverud, recently stated that the police can become much better at communicating information to the health services about serious mental illness. The same will apply to other social institutions. An important conclusion is that early intervention in the auxiliaries is absolutely necessary to prevent people from developing severe mental disorders. In many cases, getting a low-threshold offer in the municipality where you live with an initial mental or drug problem will be the most important help you can get. And then we have to get in and help people in an early life, already in childhood and youth. Therefore, it is so important that the government has more focus on municipal health services in psychiatry than it has so far communicated. Strengthening municipal psychiatry may go beyond a bastant demand to spend more money on psychiatry than on somatics in specialist health services. Perhaps this can lead to people getting help at such an early stage that hospitalization is not necessary, and that, in addition, treatment resources are released in hospitals and in the specialist healthcare of the very sickest, who really need it.
ParlaMint-NO_2014-02-13.ana.ud1374e443	The representative of Bollestad brings up an extremely important debate, which shows a major social problem that has been allowed to evolve in the wrong direction over many years. For too long, we have experienced that people with serious drug problems and personality disorders have not received the follow-up that one should expect. Stavanger Aftenblad brings with him his series a part of too many events that show that this is a social problem that needs to be given greater attention and priority. In addition to the matters referred to in the Evening Leaf, mention can be made of the brutal carnage, Nav-employee killed in Oslo, knife stabbing at the TIMExpress in Sogn and Fjordane and, last but not least, the Aksla-drap in Ålesund, where a young student from Bergen was brutally raped and killed while she was out jogging on high light day. The attacker here has multiple violent convictions, has been admitted to a drugstore and has previously threatened to kill women. He killed while he was waiting for atonement. Where is the auxiliaries to assist the sick, violent person while he is waiting for a zone? And what about the security that we others in his presence should be able to expect? Too often, when we stand there with serious violence or killing, care legislation is not met in terms of the need for protection of society. Municipalities and specialist health services have a statutory obligation to provide the necessary health and care services, which also include resource-intensive users and persons with obscene or violent behaviour. One must be able to expect the statutory duty of cooperation between services to be fulfilled and that the services are well coordinated. It is sad to see that municipalities are showing a lack of willingness to accept maritime criticism, as reflected in the Stavanger Aftenblad survey. Most of the municipalities concerned are in maritime defence and claim that they could not have done anything else, except for the municipality of Namso, which takes maritime criticism and says that they have learned from the incident where a young woman was killed in one of the municipality's housing communities. They have chosen to be examined by an unhindered third party. Every time a new tragedy occurs in which an unspeakable, sick person hurts or kills another human being, we wonder why this unhappy human being has not received the help it needs. I dare say that the system is now calling for a commission of inquiry to investigate such tragedies when they happen. The government has started the important job of strengthening the treatment of mentally ill and addicted people. In addition, child protection and school health services are strengthened at an earlier stage in order to prevent and capture more people who are struggling. It's important not to build up under prejudices. Russ problems and mental illness alone do not make people dangerous. At the same time, we will always have people among us who, for various reasons, are unbeatable. The society must then weigh humane considerations, and good help and care for the individual against the need for safety of other people. These are some of the difficult balances we just have to deal with. In the past, we barred many people with aberrant behavior into closed institutions. Today we know that many can get a new life with the right help, but then the help has to be there when they need it. This can be expensive in some cases, but we see that the alternatives can often be much more expensive to society, because these events produce incredible ring-effects. I am pleased that the Minister of Health, along with the specialist health service, the municipalities and the Minister of Justice, will now seek to find good arrangements together to make this offer better for these people who need it. I put my trust in the Minister of Health and the bet in both drugs and psychiatry, because we know that many of these cases happen just because of drugs.
ParlaMint-NO_2014-02-13.ana.ud1374e473	The representative of Bollestad has addressed an important topic for debate today. Security, both for people receiving and providing municipal health and care services, is particularly important, and serious incidents such as assault and violence should not occur, but unfortunately it does. The Government Platform states: ‘There is a need to strengthen and modernise health and care services in municipalities and to ensure better coordination of the overall health supply. Employees are the health care's most important resource and the government will implement a level of competence to enhance the quality of service.» We need to ensure that the municipalities have size and robustness enough to handle the tasks they are assigned to them. The right-wing Party government will work towards a solid empowerment of municipal health and care services. Already in the State budget for 2014, the government strengthened continuing training in the health and care sector by 50 million. kr, which is an important step in the right direction. The increased proportion of skilled people in the services will contribute to increased quality and reduce the incidence of serious incidents, to which the representative of Bollestad refers. As the Council of State mentioned in its reply, municipalities and specialist health services have a statutory obligation to provide the necessary health and care services. This responsibility also includes resource-intensive users and persons with demeaning or violent behaviour. What is necessary and appropriate health and care services shall be determined on the basis of an individual assessment of the individual’s needs. Adequate competence and personnel and well-coordinated services are required. It is important to stress that municipalities may apply to the Health Directorate for a partial reimbursement of compensation of compensation of wages for particular resource-intensive health and care services, because deprived municipalities should not be prevented from providing the necessary services. As the Council of State also pointed out, the decision-makers are important in terms of the problem that the interpellant travels in the hall here today. They shall further refer to the specialist health service whenever necessary. Local authorities must and must facilitate cooperation between the local authorities and other service providers and ensure that the permanent scheme is well integrated in the provision of health and care services by the municipality. I am pleased that the Council of State said that the very basic idea and the most important step towards better and safer services is that these should be built around patients and users. User involvement is not only a statutory right, it is also essential for the provision of the best professional services. Family members, together with the patient, also have a right of participation if they themselves are unable to care for their interests. Taking the user and family perspective seriously means listening, using their experience to improve services. We know that increased knowledge of mental illness, cognitive failure, developmental retardation, drug dependence and good treatment reduces the risk of serious incidents. The Council of State referred to the Syse Committee, which is to assess how serious incidents and suspicions of crimes in the healthcare sector should be followed up by society. It's an important job. It is also important that individual users do not fall between two chairs at work for the good and safe provision of good and safe services.
ParlaMint-NO_2014-02-13.ana.ud1374e495	I would also like to thank the interpellant for bringing up an incredibly important topic. At the same time – as many have said here – it is important that we do not stigmatise all those who are struggling with mental health challenges. We all have a mental health, and several of us will face challenges there once in a lifetime. Municipalities have had many and large tasks in recent years. There have been many major reforms. We have the responsibilities reform, which came more than 20 years ago, we have had the psychiatry reform, which was between 1998 and 2008, and now the cooperation reform, which came in 2012. It is no secret that the same municipalities that have been given new tasks may find that not all funds and resources have followed with the new tasks they have been given. In particular, it may be the silent reform that some people experience in these days, that the cooperation reform has also begun to apply in psychiatry. There is a lot of pressure in many municipalities with ready-to-print patients waiting for housing and follow-up outside the municipalities. It is important that all those responsible for serious mental illness at risk of violence work closely together. This applies to the police, to all levels of a community health service, and to the specialist health service. It must not be that the organisational obstacles make us powerless. We know that a person who has been assessed as ready to print in psychiatry one day, the next day may need specialised treatment and follow-up in psychiatry again. That's how fast it can actually change. It has a lot to do with a freer framework condition when you get into the municipality, and not least access to drugs, which makes behavior and health suddenly change. This is a major challenge for those responsible for following up and providing services in the community health service. Therefore, interaction and cooperation are incredibly important, and there is a need to improve. In fact, the community, police and specialist health services must recognise that people with serious mental illness in combination with alcohol and risk of violence are a shared responsibility, and efforts to improve interaction need to be intensified. It is important to prevent serious incidents – we are constantly reading about them. The seriously ill need to be cared for in a better way. Those who are neighbors, relatives and in the community must be able to feel safe. I am pleased that the government is clearly aware that the growth in health budgets is now going to be greater in mental health and alcohol than in the somatic environment. There is a clear signal for health businesses, which have downgraded this much in recent years. I am pleased that the Council of State will address this difficult challenge in terms of them – there are not so many, fortunately – that fall between the chairs. It's important, and it's about both health and law, so I'm also glad he says that he's going to cooperate with the Minister of Justice to figure out and see what you can do for the serious psychological psyche that doesn't even realize that they need to receive treatment and follow-up, and to say no to good, preventive measures. Here it is important to see the individual's right to freedom and to do what you want, in relation to society's need for security and protection. I'm glad that the government takes this seriously, and that it's working both in the prevention field and that, when you experience serious incidents, you have to evaluate them properly, so that you can learn from the mistakes that are made, so that things don't happen again.
