ParlaMint-NO_2014-12-03.ana.ud105e26	The representative, Mr Andersen Eide, will put forward a proposal for a representative.
ParlaMint-NO_2014-12-03.ana.ud105e106	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e109	The Christian People's Party is and has been concerned that the input-driven funding will be used to prioritize the treatment provided by the hospital, thus increasing the hospital's revenues. There are cases where this has been shown to have resulted in adverse practices. My question to the Prime Minister is: What will the Prime Minister do to ensure that the patient and the patient’s needs are at the centre – not the effort-driven funding, which means that a person prioritises more according to the hospital’s income than according to the patient’s needs?
ParlaMint-NO_2014-12-03.ana.ud105e117	The main governance barometer is the patient rights existing, where there are clear and clear priorities between the serious disease and the medically defined limits to be applied to each individual. In addition, we have the golden rule, which we reintroduced, which clearly directs all health businesses to the fact that the growth of drug treatment and mental health protection should be greater than the growth of somatic treatment. It is in itself a clear and clear prioritisation of those with the greatest challenges and who have the most difficulty. And together, these control parameters must help us to ensure that patients with the greatest needs are given priority first. But if you have free capacity to also do simple surgery, you want to use it, because it takes some time to convert and for example. move surgeons to the specialty of the russian. You don't get to do that overnight.
ParlaMint-NO_2014-12-03.ana.ud105e124	Kjersti Top – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e127	In 2015, Norwegian hospitals will have an operating cut of more than 700 million. as part of the so-called red tape and efficiency reform of the government. This increased by well 100 million. kr as a result of the budgetary agreement with the Christian People's Party and the Left. This operating cut is a cheese match inspired by the Ministry of Finance. If Norwegian hospitals are to deliver more and better quality for the money, a change in organisation and guidance is needed. As you know, the model of driving led to major health bureaucracies. How can the government believe in a patient-friendly outcome of a cheese match without focusing on organisation and rental, where the first measure should be to introduce urban rental in all hospitals, and where the leader is given responsibility for both quality, staff and budget?
ParlaMint-NO_2014-12-03.ana.ud105e134	I believe that it is, and it has actually shown us the hospital sector in many places, room for better use of resources. There is a big difference between what individual hospitals get out of about the same type of resources. It is about local organisation. It's about how good you are in local management, about how the structure is. So you can always ask the question, is that if you sit far away, you get to the conversion that gives the good results? Or are they the ones who are close to it? I think they're the ones who're close. This means that management has to meet this locally and produce the results. At the same time, we have brought back more money in base, which means that it's not a cut of 700 million. kr in the health sector but an expectation of an improvement in efficiency. I think that this slightly broad government from the state is better than sitting here and believing that all our different ways of organizing the individual department or sector in a hospital are best to create more efficient local and better treatment. I believe that those who are local are, in fact, with clear management parameters as a requirement for efficiency improvement.
ParlaMint-NO_2014-12-03.ana.ud105e139	Ketil Kjeseth - for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e142	For the Left, there is no target of maximising hospital growth and of maximising hospital coverage. We are most concerned with preventing and contributing to public health. That's where we might split up a little bit politically from the Right. In the budget agreement, 30 million came in. This is a good way of preventing and creating a better life for the individual patient, so that one can stay at home longer. It can also lead to fewer hospitalisations and relieve hospitals. On the part of the government, a means of welfare technology is distributed to the statesmen. The question is: we already have a large bureaucracy in health – within the Health Directorate and within regional health businesses. Now are we going to build a health bureaucracy of the statesmen?
ParlaMint-NO_2014-12-03.ana.ud105e151	Welfare technology is largely a question of what we do in the care of the elderly, and the community is closer to individual municipalities. This means that they can more easily stimulate the good projects out there. Therefore, the statesmen, with their greater local knowledge, are not a bad idea to use in these kinds of contexts. If we're going to make large applications systems into the Health Directorate, it's going to be quick, because the Health Directorate doesn't have the same local skills, and it's important to remember that local knowledge is more out of the country. Then we have to work with a lot more than $30 million to get the big promise we need in welfare technology in the care of the elderly. There we have to work with the purchasing, with the way we buy, we have to work with the collaboration on technological development with the parts of the industries that work with this, and we have to learn from the good example, because there are lots of good examples out there in the municipality of Norway.
ParlaMint-NO_2014-12-03.ana.ud105e158	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e161	There is a big gap between what the government says is most important, and what it shows in practice is most important. Before Erna Solberg was elected Prime Minister, she talked mostly about health and less about tax cuts. As Prime Minister, she spends much more money on tax cuts than she spends on increasing health budgets. We have a financial debate in Stortinget, where there was an alarming reluctance on the part of the government parties to talk about the big tax cuts. It's obvious that the government feels the most comfortable talking about things other than what they give the highest priority. Then I think it's time for the Prime Minister to comment and respond clearly to why she prioritizes as she does. She spends a lot more money on tax cuts than on increasing health budgets. Why is tax cuts more important for Erna Solberg than increased health budgets?
ParlaMint-NO_2014-12-03.ana.ud105e166	The government increases welfare benefits and the public sector more than the tax cuts made. Overall, there are significantly greater efforts to improve public services and improve public infrastructure than the tax changes made. But there has been no lack of argument as to why we're also making tax changes, because we're facing a society that needs to change just to ensure the well-being of the future. It is possible to close your eyes, pretend that everything is going to be like before, and expect the oil industry to carry us forward. This government doesn't. We know that the health budget of the future, the elderly care of the future and the education system of the future depend on the fact that we are now stimulating the growth of the economy in new industries and new businesses. That's why we're making changes to tax systems, we're spending more money on infrastructure, and we're putting a record high on research and innovation.
ParlaMint-NO_2014-12-03.ana.ud105e171	Let's move on to the next main question.
ParlaMint-NO_2014-12-03.ana.ud105e175	Yesterday, Bergen's Official Journal could reveal that the Minister of Justice's clear order not to prioritize the posting of the long-term asylum children never reached those who carry out the work. The letter of assignment from the Ministry of Justice to the Directorate of Police made it very clear that the long-standing asylum children should not be given priority when it comes to posting. But the same message never went further in the letter from the Police Directorate to the State Department and to the Police Foreign Unit. This is very serious, and yesterday we got a clear reason from the Minister of Justice. What's a paradox here is that this has been one of the most mentioned issues in this field just in the last year. And we know that these letters of assignment are the very instructions for use for the etats in the follow-up to the concrete work. Both the Minister of Justice and the Police Director have said that this is a very regrettable error, and so we do not know the consequences and what this could have resulted in. My question to the Prime Minister is: When we have now come to know that there has been a very regrettable error here, is it not right to stop the posting of the long-standing asylum children until we have a permanent solution in place, which we had an agreement on in the Nydalen?
ParlaMint-NO_2014-12-03.ana.ud105e186	The Minister of Justice has been very clear to the police that the instructions given in the letter of assignment to the Directorate of Police should be followed up from yesterday by absolute compliance. It's about making a change. Where the previous government in its letter of assignment to the Foreign Affairs Department and the Police Directorate had said that priority should be given to long-term children, we took this priority away. However, it remains a priority for children to be sent out quickly, precisely because it is a burden to be in a situation where broadcasting is not enforced. I believe that the Minister of Justice yesterday was quite clearly sorry, and I think it was a perfectly correct regret to give, because it should not be such that clear political messages given to the police do not go to the external links. Now we're going to do a review, and the Police Directorate is going to do a review of what it's been like in practice, because it's at the same time a governance dialogue. Then you have to see which other steering signals are given in addition to this letter of assignment. Would it be that we should stop all broadcasts? No, we believe that we should deal with what the government has said: not to send out long-term children, as the priority was before, but to ensure that we can enforce the foreign policy for which there is a broad majority.
ParlaMint-NO_2014-12-03.ana.ud105e199	The government has shown a strong implementation in those parts of the asylum agreements that have been important to the government party. We have also agreed that there should be a faster return, and it was followed up immediately. The ban on entry, which was a legislative amendment, has already been implemented. Yes, even issues that were not part of the asylum agreement – now the latest requirement – have been implemented by the government. But what is a regulatory change, which provides a lasting solution for the long-standing asylum-seekers, is not followed up. Then my question is to the Prime Minister: Does she feel that – call it – the balance of the cooperation agreement we have at this point has been maintained with the follow-up we have seen so far?
ParlaMint-NO_2014-12-03.ana.ud105e204	It is true that there are two parts of the embellishment in that agreement. One is the one-time solution, and it's in place: there are 318 things that are now being treated after this. Several of them are determined by the fact that more children are allowed to become. There are 165 children in that one-off solution – 318 people when taking with adults who are associated with these children’s problems – and they are being treated. That means that the immediate solution that was agreed on, it's being implemented now. Then there's a question: we should have had the change of regulation in place. It's been at the hearing. The challenge was that the hearing bodies thought that what we had in common would not work after the intention. That is why we have a good dialogue, and I hope that we will soon have a legal understanding that will enable us to achieve the intention that lies, namely that there should be some liberalisation in this.
ParlaMint-NO_2014-12-03.ana.ud105e209	It opens for follow-up questions – first Geir S. Tuskedal.
ParlaMint-NO_2014-12-03.ana.ud105e212	The Christian People's Party is concerned that we get clarity in these agreements and clarity in what is happening. Yesterday Stortinget got a complaint from the Minister of Justice in a very serious case, in a serious situation. We're waiting with excitement for what's now going to be the follow-up. To be specific: we follow a little bit in the newspapers, and I was surprised when I discovered that Bergen's Official Journal today quotes the director of the Police Directorate, Odd Reidar Humlegård, who says: ‘There is no reason to put anything to rest. There's nothing to suggest that there's reason to change something now." Then I wonder, in the light of the Minister of Justice's regret, what shall we listen to? Is the Prime Minister behind the Commissioner's statement that there is no reason to change anything now?
ParlaMint-NO_2014-12-03.ana.ud105e224	The Minister of Justice has asked for a review of the issues, the priorities and what has happened in the issue of children, and the background to the fact that the letters of assignment to the Foreign Affairs Department have not been followed up on what was actually the clear political governance signal. I cannot support statements made by the police director, based on the fact that we have asked for this review. Then we have to see whether that review shows that the practice has been in line with the government's signals, that the document has not been followed, or that the document and the letter of assignment have been followed, and that it has therefore not been in line with the clear political governance signals of the government. Before we get it on the table, it is not possible to give an assessment of whether what the police director is now saying is right or not.
ParlaMint-NO_2014-12-03.ana.ud105e229	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e232	A year has now passed since the government parties together with the Christian People's Party and the Left signed an agreement on the foreign field, where the parties, among other things, have signed an agreement. agreed that there would be a permanent arrangement for the long-term asylum-seekers. We still do not know what it will mean in practice, and yesterday it was found that the government's announced change in the practice of sending long-term asylum children has not been followed up either. It is the government's responsibility at all times to ensure that the underlying agencies follow up government policy. Then my questions become to the Prime Minister: When did the letter of assignment actually go to the police, how long has it been until now, and what does the government actually do to make sure that the underlying agencies implement the desired changes requested by the government?
ParlaMint-NO_2014-12-03.ana.ud105e239	In the Norwegian governance community, once the government has given an instruction to an underlying directorate, the directorate is obliged to implement that instruction. Then it is also a prerequisite that the steering signals move on to their underlying stations. It has not happened in this case, and it has the Minister of Justice yesterday lamented. That was a very timely regret, because this is not the way the management system should work in Norway. We are now doing a review – as I said in my answer to previous questions – of what has actually been done, and whether the governance dialogue has underlined what has been the government's priorities, or whether that is how the police's broadcasts have been practiced in violation of what has been the government's clear signal. The Minister of Justice has been quite clear that it is of course his and the government's responsibility to implement the policy, and that means that we need to better control the follow-up of the underlying agencies. But our starting point is actually that they're going to follow what they're told, not that we're going to expect them not to do it.
ParlaMint-NO_2014-12-03.ana.ud105e248	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e252	It is easy to understand the frustration of the Christian People's Party and the Left over the agreements concluded and the way they are either followed up or not followed up. This has been a much-mentioned issue in the media throughout the year – both in the Stortinget and in the media. According to the Minister of Justice, the letter of allocation was sent in January, and the disposal letter was sent to the underlying offices in March. It's starting to be months ago. And you have to ask yourself – especially when you see it in the light of the police director’s statements in today’s newspapers, where he says that there is no basis for doing anything – whether the government has really not checked the follow-up to the letter of assignment and the order for disposal in such a central political area in the eleven months that have passed.
ParlaMint-NO_2014-12-03.ana.ud105e259	The question of whether or not one has followed up is now being reviewed by the police, with a report to the Minister of Justice. It's to see if you've followed up the signals that were clearly given to the Police Directorate, or if there's been another practice. The answer to whether it's been a different practice, we don't get until we get a review of this. Of course, if you're always going to follow up, it's a lesson for the Ministry of Justice that this kind of mistake is happening. The final evaluations must be made once we have received the report from the Police Directorate.
ParlaMint-NO_2014-12-03.ana.ud105e266	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e269	For the past six months, I have spent a lot of time negotiating with the government. I've learned that if we have a deadline, we can agree. Can the Prime Minister give us a deadline for when we are to agree on this, in this Chamber, so that it undertakes?
ParlaMint-NO_2014-12-03.ana.ud105e274	I assume that the representative Skei Grande believes the permanent solution. We have an ongoing dialogue on when we're going to be able to get a formulation that all the four parties agree on will work. We thought we had one, which we sent to the hearing. I have great hopes that this is right around the corner, and that at least it is in place before Christmas. But we have to be sure that we have hit the plank in terms of what was our consensus. And this is hard fun: we're going to put more emphasis on the children's best, but it shouldn't be an open bar door, so everyone is going to be allowed to stay.
ParlaMint-NO_2014-12-03.ana.ud105e279	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e282	Twice before, a majority of Stortinget has concluded agreements that have allowed a large number of long-term children to remain in Norway. The first time was when the government put Erna Solberg in the last time, it agreed with the Center Party and SV in Stortinget, the second time was when the red-green government made an agreement with the Christian People's Party and the Left. Both agreements resulted in many children becoming children. One prerequisite for both agreements was that while waiting for a new legislation, the cases were put to rest, so that families with children who could be affected by new rules were not sent out. Hopefully, what we're going to get now is a third round of such an agreement, but it hasn't been followed up by putting matters at risk. That proposal has been voted down in Stortinget twice this year. So even now the government says you won't. How is it possible, if the intention is for more children to stay, not to stop the broadcasts before a new legislation is in place?
ParlaMint-NO_2014-12-03.ana.ud105e289	I would like to remind you that there are two different parts of this agreement. One is the one-time solution for long-term children. It is in place, and there was a special vigilance to prevent people from being sent out under it. Now we have all the people who feel that they can search within it. So it was going to sort out some of the things about people who have been here for a very long time. For the permanent solution, which will apply for the years to come, it has never been a prerequisite for us to stop and not have the transport of persons. So the long-term scheme has been a more liberal system to help solve some of the most difficult issues.
ParlaMint-NO_2014-12-03.ana.ud105e296	Let's move on to the next main question.
ParlaMint-NO_2014-12-03.ana.ud105e299	Health Minister Höie said on Monday at the Political Quarter in the NRK that there are very clear reports from the Health Inspectorate that confirm the failure of the health and care services to the elderly. Health Minister Höie referred to over-medication of the elderly to avoid anxiety. He also said that people are being held in and not coming out because they have to save on staff resources. So there are institutions that use overmedication deliberately and that don't allow users to get out. The reason for the institutions is that they have too little people. Warm hands require employees who have time and profits — and employees cost money. But what happens in the municipalities now? The revenues of the municipalities, which provide care for the elderly, are failing. The last figure of tax losses is 2.8 billion. kr for the current year, i.e. the offer to the elderly of the country is getting worse, not better. Then my question is: does the Prime Minister agree with the description of the Minister of Health? Can the country's caregiver hope for a little fuss now towards Christmas, so as to compensate for the great failure of incomes to the municipalities, precisely those who want to offer a better offer, so that we do not see what is happening now – that it will be cut and not improved?
ParlaMint-NO_2014-12-03.ana.ud105e308	I agree with the description that there are examples in our care for the elderly that are neither worthy, acceptable nor that should be so. I believe that several measures need to be taken to contribute to the fact that there is no such thing. These cases occur not only in poorly advised municipalities, but also in better advised municipalities, because this is also a question of knowledge and competence. It is a question of having enough skilled labour compared to those who do not have training. What kind of knowledge you have is quite crucial to not being able to use drugs and for example. uses activity instead. Therefore, one of the priorities of this government is to raise knowledge among those who work in the care of the elderly. That's why we've increased the money for quality development in care, and that's why we make quality criteria and indicators that we can measure the quality of care for the elderly, because we know that it's not just a question of money, it's also a question of money. It is very important to remember that a poor-advised municipality does not necessarily have poor care for the elderly, or that a high-income municipality necessarily has good care for the elderly. Looking at the supervisory reports, the picture is much more complex. Therefore, it is important to say that quality assurance in the care of the elderly is one of the important things we need to work with in the future. It's about having activity at the bottom too much, for example. in the case of dentures. It has to do with the fact that those who work in the sector are simply learning other ways to stimulate working with older people, rather than using medicine to deal with troubled patients. This is why many glacial stories in Norwegian care for the elderly show that this is achieved, even within narrow budgets. It is also about management – and about money.
ParlaMint-NO_2014-12-03.ana.ud105e322	I understand that Prime Minister Solberg does not want to talk about the income deficit in Norwegian municipalities of 2.8 billion. kr – and it gets faster. I understand that it's easier to talk about these projects a little bit on the page. At the bottom, however, to have a well-functioning care service in Norway, it is entirely dependent on having income for municipalities, so they can have employees. In my own county, Hedmark – to take an example – they have now announced that they will cut 39 places in the care of the elderly. Today, in Bergen's Official Journal, it says: Warsler well-being in two of three municipalities in the West. Now well-being around Norway is being warned about because of failing income, due to tax failure. In 2004, when Erna Solberg was a municipal minister, the tax deficit was compensated for, among other things, The party of progress was so busy with it. Why do you not want to compensate for the loss of income now? If you don't, it's going to go down on the caregivers and the elderly around the country.
ParlaMint-NO_2014-12-03.ana.ud105e331	There has been a tradition in Norway that when you have increased tax revenue over the course of a year, you don't drag them into Christmas, and so you have also had a tradition that the municipalities, when they have less income, have created a buffer that allows you to balance this over the years. If you want to get away from that principle, you really need to put in place a principle that you also draw the profit in the years you get more tax revenue. This may also be the reason why KS has said quite clearly that they prefer the model that is today, namely that when there is more tax revenue, the municipalities keep it, but then they have to be aware that when tax revenue fails, it will be a little less. So it's like next year's budget contains a solid commitment to the free revenues. When we see the difference between the demographic expenditure and the growth in free income, there is a larger amount available this year than it was in 2011, 2012 and 2013. This means that there is actually room in 2015 to give priority to care for the elderly, as well as the earmarked funds that we have on quality promises.
ParlaMint-NO_2014-12-03.ana.ud105e338	It opens up for follow-up questions – first Marit Arnstad.
ParlaMint-NO_2014-12-03.ana.ud105e341	First of all, what the Prime Minister draws from the government's municipal economy is not correct. No year in the previous ageing period has seen lower growth than expected this year, and a major reason for this is the tax failure of municipalities. It's the reality of the day we now have to discuss. It is that there are major challenges in the care of the elderly, there is a huge tax failure in the municipalities, and it is a municipal arrangement on the part of the government that is disproportionate to the challenges and the tax failure. Many suggest that tax revenue is also going to fail until next year, and the government's budget for next year does not take into account either. The key to better care for the elderly — whether it is a will or not — is a better community economy. The question remains whether the government will correct the lack of money due to tax failure and allow municipalities to improve the provision of care, or whether one here will implement principles, as the Prime Minister did in his previous reply.
ParlaMint-NO_2014-12-03.ana.ud105e348	It's not a matter of principle, it's a question of how to have the system. Is it the case that tax revenue is maintained when it increases, and therefore also has to deal with a situation where tax revenue is reduced, it has to be taken into account within the local economy as well? But for next year's government budget, there is a higher growth in free income than it was, for example. in 2012. It's a bigger room, because the demographics are smaller. That's why it's a very good community arrangement for next year, which gives room for this kind of bet. Then we have submitted our balancing for treatment in Stortinget, and we have not proposed to compensate for the failure this year, in line with what we have understood that KS has agreed, that it is right to have a system where you keep the gain, but also take the loss those years the loss is there.
ParlaMint-NO_2014-12-03.ana.ud105e353	Torgeir Mikalsen – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e356	This system that the Prime Minister is talking about is no more special than that about a year ago the government chose to cut tolls in a budgetary procedure and spend oil money on it. If you can spend money on this kind of action, it is also possible to imagine that in terms of income that goes to the municipalities, who are responsible for following up the elderly of the country, you can do it that way, so I think it became a little special, to use the Prime Minister's favorite expression. What I agree with the Prime Minister is that in the last ten years there have been many major improvements in Norwegian care for the elderly. Quality is increased, tens of thousands are employed, more competent employees, and many are getting much better help. But we in the government felt that it wasn't enough. Even with rusty investment frameworks, although no municipalities that applied for grants were refused to build, and even with a municipal economy that I think many believe is something that stands after the red-green government, which was raw, we didn't get to the goal. The government is now selecting the same instruments. Can the Prime Minister be sure that the means available to her government will give rise in the coming years?
ParlaMint-NO_2014-12-03.ana.ud105e363	The first numbers we're looking at are building in the care of the elderly, is that it's slowed down after the new government came, as opposed to how it was under the red-green government, because we increased the subsidies. What we see is that we've been focusing on quality and content in the care of the elderly in a systematic way. I have great hopes that we will do better than what has been done in the past, because it's important not just to count places, but also what quality we have. I have some amazing experiences in Norwegian care for the elderly by just these engaged people, who have received further training, who have learned how to handle it with demente in order to stimulate them and make sure that they do not need heavy medication, because they have been active enough – they have used the body. One of the major challenges we face in the care of the elderly is that very many of those who are in the institution today are demented, and many of them are physically sprawl and need a different offer than the care of the elderly. We're going to have that transition with all the employees, along with the KS, to make sure that we get an older care of quality and knowledge, and that you get an individual better follow-up.
ParlaMint-NO_2014-12-03.ana.ud105e368	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e371	Patients in Norwegian nursing homes have an average of seven different diagnoses. About 60 pst. of those living in our nursing homes suffer from chronic pain — which has often not been diagnosed or mistreated. The medical treatment in Norwegian hospitals is 1 doctor for 1.3 patients. The medical treatment in nursing homes is 1 doctor for 130 patients. The Medical Association has previously stated that this should be ensured in another way, that we need to get a standard for how many doctors we should have per patient in a nursing home. How are we to ensure that the elderly in our nursing homes who have complex disorders and who have complex needs for care receive the necessary follow-up of doctors in our Norwegian nursing home?
ParlaMint-NO_2014-12-03.ana.ud105e376	It is important to make sure that we have enough medicine available. For this reason, we have been concerned from the citizen's point of view that more doctors may have to be employed in the care of the elderly, and that they are less based on the care system also in the institutions, because a speciality related to home medicine is important. This is what the government is working on, specializing in working with the elderly, because there are other and more complex disease images. It is important to make it attractive to work in the care of the elderly, and it is important that you then have the knowledge to do just that. Many municipalities that have made changes in recent years have hired more people to work only in hospitals, in the care of the elderly. We think it gives significantly better results than connecting to a regular practitioner, who has less time to follow up patients than an employed doctor in a nursing home wants.
ParlaMint-NO_2014-12-03.ana.ud105e384	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2014-12-03.ana.ud105e387	Undernourishment and illegal use of coercion have been among the examples NRK has documented in recent days on human rights violations in Norwegian care for the elderly. We both know that this is not the main picture of Norwegian care for the elderly, but we also know that this is the reality of many elderly people in need of care. What we see in Norwegian care for the elderly is that everywhere – from relatives, from employees – there is talk about a lack of time, that there are too few jobs to be able to follow up each one well enough. This is a question of local economy, of course, about our ability to get more people to work when the elderly need it. But I have registered that the government in its comments on NRK's matters has been most concerned with competence. Competence is important, but it's not going to get away from the fact that increased ground crew is crucial. That's not what the government's talking about. Therefore, I would like to ask whether the Prime Minister believes that increased basic staffing is important in Norwegian care for the elderly.
ParlaMint-NO_2014-12-03.ana.ud105e394	First, I would like to stress that I am pleased with what Audun Lysbakken says that we should not draw a picture of these examples as the main picture of Norwegian care for the elderly, because it is not. It's incredibly important that we don't make people afraid to move into a nursing home and get good follow-up there. The danger in many such major cases is that it contributes to a quality deterioration for the elderly, because they are afraid of what will happen if they need good luck and care. So I think it's important to have a good base crew at everyone's home. But I believe that the question of e.g. illicit use of coercion to the same extent is a question of competence and knowledge, for there are other ways of dealing with up-to-date, active, but perhaps demented patients – who are often subject to some form of coercion – through activity, by using the body during the day. This is one of the important things we work with in terms of quality parameters, and in terms of the quality promise in the future, because there is another group of patients who are in hospital today, than it was in the past.
ParlaMint-NO_2014-12-03.ana.ud105e401	Let's move on to the next main question.
ParlaMint-NO_2014-12-03.ana.ud105e404	In the debate on the throne, the Prime Minister said the following in answer to a question from the representative Syversen: ‘One of the things the government did for the current year was to change the allocation letter to the UDI, which in 2013 confirmed that priority was to be given to sending out long-term children, while in 2014 we said that priority should be given to sending out children, but not to focus on those who were long-term, precisely because we have an agreement.’ The day before, the Council of State said Anundsen in reply to a question from me in the same debate: ‘But no government signals have been sent to give priority to a long-term child in order for a person to send them out more quickly in advance of a regulation.’ And he went on to say, ‘I believe that this would also be an unacceptable act in relation to the contractual relationship that the government has with the Left and Christian People’s Party.’ As both the Prime Minister and the Minister of Justice in this Chamber stressed that there had been a change in priorities, a change in the letter of assignment, my question to the Prime Minister is: Should these changes mean anything?
