Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u12	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	KrzysztofSłoń	Słoń, Krzysztof	M	1964	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u13	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u14	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u15	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u16	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u17	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u18	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	MarekPęk	Pęk, Marek	M	1975	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u19	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u20	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	TomaszGrodzki	Grodzki, Tomasz	M	1958	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u21	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MariaKoc	Koc, Maria	F	-	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u22	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	JerzyWcisła	Wcisła, Jerzy	M	1958	
ParlaMint-PL-en_2018-01-19-senat-54-3	ParlaMint-PL_2018-01-19-senat-54-3.u23	Report of the session of the Senat of the Republic of Poland, Term 9, Session 54, Day 3 (2018-01-19)	2018-01-19	Upper house	9. kadencja Senatu	54. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MariaKoc	Koc, Maria	F	-	
