ParlaMint-GB_2021-04-28-commons.u1	What recent assessment he has made of the strength of the Union.
ParlaMint-GB_2021-04-28-commons.u32	I completely agree with my hon. Friend. Our proposed world-leading target marks a decisive step towards net zero by 2050 and would reduce greenhouse gas emissions by 78% by 2035, compared with 1990 levels. Through this year’s COP26 summit, we will urge countries and companies around the world to join us in delivering net zero globally. We continue to work together throughout all parts of the UK to achieve our net zero ambitions and a green recovery from the covid-19 pandemic.
ParlaMint-GB_2021-04-28-commons.u33	The Minister should be embarrassed that renewables generators in Scotland face the highest locational grid charges in the whole of Europe. Ahead of COP26, we need to see a route to market for pumped-storage hydro and for wave and tidal, the go-ahead given for Acorn carbon capture and storage and a contract for difference for hydrogen. What capability does the Scottish Office, working with Cabinet colleagues, have to get those matters resolved?
ParlaMint-GB_2021-04-28-commons.u34	I thank the hon. Gentleman for his question. I share his enthusiasm for all things related to energy renewables, but he will know as well as I do that, by law, transmission charging is a matter for Ofgem as the independent regulator. I imagine that he will also be aware that Ofgem is currently considering some aspects of transmission charging arrangements through its access and forward-looking charges review.
ParlaMint-GB_2021-04-28-commons.u35	The SNP Scottish Government have committed to doubling their climate change justice fund if re-elected next week. This £21 million fund is used to help combat the effects of climate change in the global south while we tackle carbon emissions at home. In the year of COP26, will the UK Government follow Scotland’s lead and commit to a comparable climate justice fund to help those affected by climate change?
ParlaMint-GB_2021-04-28-commons.u36	Not only will we commit to a comparable financial commitment, but the recent spending review committed to spending £12 billion on green measures to support the 10-point plan and boost the UK’s global leadership on green infrastructure and technologies, not just ahead of COP26 this year, but beyond as well.
ParlaMint-GB_2021-04-28-commons.u37	What recent assessment he has made of the effect of the recent reduction in official development assistance funding to UK Research and Innovation on Scottish universities.
ParlaMint-GB_2021-04-28-commons.u38	The United Kingdom is and will remain a research superpower, with research and development spending at the highest level for four decades. The Government have committed to investing nearly £15 billion in R&D in 2021-22, much of which will be used to fund the work being led by our world-class universities.
ParlaMint-GB_2021-04-28-commons.u39	Both Aberdeen and St Andrews universities stand to lose £2.5 million each as a result of official development assistance cuts. Among the ongoing projects at risk at Aberdeen is a £1.8 million research initiative into the spread of infectious diseases between rodents and humans. Given that we have recently been reminded of the importance of long-term, well-funded research in responding to a global crisis, what steps are being taken to ensure that these cuts do not impair Scotland’s ability to respond to future crises?
ParlaMint-GB_2021-04-28-commons.u40	The first point I would make to the hon. Gentleman is that I am always willing to discuss individual programmes with specific universities and I have done that through the hon. Member for North East Fife (Wendy Chamberlain) in the case of St Andrews. The second point is that all the universities that he has listed have benefited from significant investments either directly through UK Research and Innovation or through our city and regional growth deal programmes, looking at R&D initiatives such as clean energy and sustainable farming.
ParlaMint-GB_2021-04-28-commons.u41	We now come to the shadow Minister, Chris Elmore.
ParlaMint-GB_2021-04-28-commons.u42	It is strange, because Universities Scotland says that the ODA funding cut is unprecedented and egregious, yet the Minister stands at the Dispatch Box and says that it is okay because the universities get funding from other sources. Universities Scotland says that it amounts to a 70% cut in overseas funding for the development of projects across universities in Scotland. Can the Minister explain how these cuts are reconciled with the Conservative Government’s idea of their post-Brexit ambition to build a global Britain?
ParlaMint-GB_2021-04-28-commons.u43	As I said in response to the hon. Member for Denton and Reddish (Andrew Gwynne), I am more than happy to discuss individual programmes with the universities concerned, but if we look at R&D investment from this Government in the round, it is significantly up, and Scottish universities are punching above their weight in securing a share of that.
ParlaMint-GB_2021-04-28-commons.u44	What steps his Department is taking to support the defence sector in Scotland.
ParlaMint-GB_2021-04-28-commons.u45	What steps his Department is taking to support the defence sector in Scotland.
ParlaMint-GB_2021-04-28-commons.u46	The defence industry in Scotland is strong, thanks to sustained UK Government spending. My Department has a close, positive relationship with the industry and the UK armed forces in Scotland, including on the implementation of the recent integrated review: defence Command Paper and the defence and security industrial strategy.
ParlaMint-GB_2021-04-28-commons.u47	Shared expertise and infrastructure are key to supporting jobs across our United Kingdom, such as at Warton in my constituency and those north of the border at the BAE Systems site at Clyde. What estimates does my right hon. Friend make of the positive impact the UK Government’s defence manufacturing has on job opportunities for the people of Scotland?
ParlaMint-GB_2021-04-28-commons.u48	The Royal Navy shipbuilding programme will provide a pipeline of work and sustain valuable jobs and skills for shipyards around the United Kingdom, including those in Scotland, in Rosyth and the Clyde, which are currently constructing the new frigate fleets. The Ministry of Defence has spent £2.7 billion with Scottish industry in 2019 and 2020 alone, and that has supported 12,400 jobs.
ParlaMint-GB_2021-04-28-commons.u49	The integrated review published last month made it clear that our strongest asset is the capabilities, expertise and skills we have across the United Kingdom. Does my right hon. Friend agree that it is the same expertise and skills, shared across the country, that has enabled us to spend billions of pounds over the next decade on shipbuilding in Scotland?
ParlaMint-GB_2021-04-28-commons.u50	Yes; I wholeheartedly agree. We saw a fine example of Scotland’s contribution to the UK’s defences this week with the deployment of our new aircraft carrier strike group, which was built in yards around the United Kingdom, but was constructed in Scotland. Her Majesty’s Ship Queen Elizabeth will fly the flag for global Britain right around the world.
ParlaMint-GB_2021-04-28-commons.u51	What assessment he has made of the adequacy of economic support for Scottish businesses during the covid-19 outbreak.
ParlaMint-GB_2021-04-28-commons.u52	Last month’s Budget provides continued UK-wide support and security to manage the ongoing impacts of covid-19. One in three jobs in Scotland has been supported by the UK Government’s employment support package; Scottish businesses have benefited from more than £3.4 billion of loans and support; and we have provided a much needed boost to the Scottish tourism and hospitality sector with our UK-wide extension of the VAT reduction.
ParlaMint-GB_2021-04-28-commons.u53	Scotland’s Auditor General recently said that the Scottish Government had received an extra £9.7 billion from the UK Government during 2020-21 to tackle covid, yet it only made £7 billion-worth of spending announcements in response to the pandemic up to the end of 2020. The Auditor General said that that left £2.7 billion unallocated. Does my hon. Friend agree that this highlights the need for transparency and scrutiny of Scottish Government spending, as people in Scotland have a right to know how much money is being spent to help Scotland to deal with the pandemic?
ParlaMint-GB_2021-04-28-commons.u54	My hon. Friend is right to draw the House’s attention to this alarming finding. People in Scotland want to know that the money that this Government have provided is reaching them and their businesses, and it is of great concern that Audit Scotland has identified this shortfall. I absolutely agree that there must be maximum transparency on this matter.
ParlaMint-GB_2021-04-28-commons.u55	What recent discussions he has had with Cabinet colleagues on the potential opportunities for Scotland arising from new free trade agreements.
ParlaMint-GB_2021-04-28-commons.u56	I regularly discuss with my Cabinet colleagues opportunities for Scotland arising from the signing of trade deals. This Government have already struck deals with 67 countries around the world worth £218 billion a year, including with Canada, Japan and Singapore—with many more to come. This will create new markets for Scotland’s exporters, including our world-leading food and drink sector.
ParlaMint-GB_2021-04-28-commons.u57	A new free trade agreement with Australia is now in sight for the UK. Does my right hon. Friend agree that this is a tremendous opportunity for exporters of agricultural products, and food and drink producers, across Scotland and Wales?
ParlaMint-GB_2021-04-28-commons.u58	My hon. Friend is right about that and he is right to welcome the breakthroughs over the past few days with the Australian Government. Businesses in Scotland exported goods worth over £352 million to Australia in 2019, and reducing tariff barriers for our world-class food and drink industry could bolster Scotch whisky exports to Australia. As the Secretary of State for International Trade made clear at the weekend, this deal will be based on fair competition, maintaining our high standards and providing excellent, exciting opportunities for British products.
ParlaMint-GB_2021-04-28-commons.u59	What recent discussions he has had with the Scottish Government on Scotland’s constitutional future.
ParlaMint-GB_2021-04-28-commons.u60	The UK Government work with the Scottish Government on a daily basis on a range of constitutional matters, including delivering on our devolution commitments through the Scotland Act order programme. I would have thought that a more interesting question would have been to ask what discussions his new party has had with the First Minister on an unnecessary and divisive further referendum on separation.
ParlaMint-GB_2021-04-28-commons.u61	When Scotland opens negotiations for independence following the election of a supermajority on 6 May, will those talks be led by the Secretary of State or the Minister for the Union—should, of course, he still be in post by that time?
ParlaMint-GB_2021-04-28-commons.u62	The hon. Gentleman is being rather presumptuous about the outcome of the elections next week, so let us wait and see what the people of Scotland decide. I would have thought they would be more interested in keeping the protections of the pandemic in place, helping businesses to recover and helping children to catch up on the education that they have missed over the past year.
ParlaMint-GB_2021-04-28-commons.u63	If he will list his official engagements for Wednesday 28 April.
ParlaMint-GB_2021-04-28-commons.u64	I know that the thoughts of Members across the House are with the people of India. We are supporting India with vital medical equipment and we will continue to work closely with the Indian authorities to determine what further help they may need I also welcome last week’s Court of Appeal decision to overturn the convictions of 39 former sub-postmasters in the Horizon dispute—an appalling injustice. Sir Wyn Williams is leading an ongoing independent inquiry that will report this summer This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I will have further such meetings later today.
ParlaMint-GB_2021-04-28-commons.u65	[Inaudible. ]
ParlaMint-GB_2021-04-28-commons.u66	You are on mute, I think, Andrea.
ParlaMint-GB_2021-04-28-commons.u67	[Inaudible. ]
ParlaMint-GB_2021-04-28-commons.u68	Have you got the answer, Prime Minister? Tell us more about PMQs. I am sure the Prime Minister knows the answer. [Interruption. ] We will try to come back to that question, and I will go to the Leader of the Opposition, Keir Starmer.
ParlaMint-GB_2021-04-28-commons.u69	I join the Prime Minister in his remarks about the humanitarian disaster we are witnessing in India. I know the UK has already committed some support, but given the scale and gravity of the disaster, I hope the Foreign Secretary will set out today what more the UK will do to help the Indian people in their hour of need I also join the Prime Minister in his remarks about the Post Office case—an ongoing injustice. Of course, today is International Workers Memorial Day. This year, after all the sacrifices our frontline workers have made during the pandemic, it is even more poignant than usual. I join in solidarity with all those mourning loved ones today It was reported this week, including in the Daily Mail and by the BBC and ITV, backed up by numerous sources, that at the end of October the Prime Minister said he would rather have “bodies pile high” than implement another lockdown. Can the Prime Minister tell the House categorically, yes or no: did he make those remarks or remarks to that effect?
ParlaMint-GB_2021-04-28-commons.u70	No, Mr Speaker. The right hon. And learned Gentleman is a lawyer, I am given to understand, and I think that if he is going to repeat allegations like that, he should come to this House and substantiate those allegations and say where he heard them and who exactly is supposed to have said those things. What I certainly can tell him—he asks about the October decisions—is that they were very bitter, very difficult decisions, as they would be for any Prime Minister, because no one wants to put this country into a lockdown, with all the consequences that means for loss of education, the damage to people’s life chances, and the huge medical backlog that it entails. But it was thanks to that lockdown—the tough decision that we took—and thanks to the heroic efforts of the British people that we have got through to this stage in the pandemic where we find ourselves rolling out our vaccine, where we have done 50% of the population and 25% of the adult population have now had two doses. Lockdowns are miserable. Lockdowns are appalling things to have to do. But I have to say that I believe that we had absolutely no choice.
ParlaMint-GB_2021-04-28-commons.u71	Well, somebody here is not telling the truth. The House will have heard the Prime Minister’s answer, and I remind him that the ministerial code says: “Ministers who knowingly mislead Parliament will be expected to offer their resignation” I will leave it there for now. [Hon. Members: “Ooh! ] There will be further on this, believe you me. Who initially —and “initially” is the key word here—paid for the redecoration of his Downing Street flat?
ParlaMint-GB_2021-04-28-commons.u72	When it comes to misleading Parliament, the right hon. and learned Gentleman may recollect that it was only a few weeks ago that he said that he did not oppose this country leaving the European Medicines Agency—a fact that he was then forced to retract—and that leaving the European Medicines Agency was absolutely invaluable for our vaccine roll-out. Actually, it was just last week that he said that James Dyson was a personal friend of mine—a fact that James Dyson has corrected in the newspaper this morning. As for the latest stuff that he is bringing up, he should know that I paid for Downing Street refurbishment personally. Any further declaration that I have to make—if any—I will be advised upon by Lord Geidt The right hon. and learned Gentleman talks about housing costs. The people of this country can make their own decision in just eight days’ time, because on average, Labour councils charge you £93 more in band D than Conservative councils, and Liberal Democrat councils charge you £120 more. That, I think, is the issue upon which the British people would like him to focus.
ParlaMint-GB_2021-04-28-commons.u73	Normally when people do not want to incriminate themselves, they go, “No comment. ” Let us explore this a bit further. Let me ask it a different way. This is the initial invoice, Prime Minister. Either the taxpayer paid the initial invoice, or it was the Conservative party, or it was a private donor, or it was the Prime Minister. I am making it easy for the Prime Minister—it is now multiple choice. There are only four options. It should be easier than finding the chatty rat. I ask him again: who paid the initial invoice—the initial invoice, Prime Minister—for the redecoration of the Prime Minister’s flat?
ParlaMint-GB_2021-04-28-commons.u74	I have given the right hon. and learned Gentleman the answer, and the answer is that I have covered the costs. Of course, the Electoral Commission is investigating this, and I can tell him that have I conformed in full with the code of conduct and the ministerial code, and officials have been advising me throughout this whole thing. But I think people will find it absolutely bizarre that he is focusing on this issue, when what people want to know is what plans a Labour Government might have to improve the lives of people in this country The right hon. and learned Gentleman talks about housing again. I would rather not spend taxpayers’ money like the last Labour Government, who spent £500,000 of taxpayers’ money on the Downing Street flat. [Interruption. ] Yes they did, tarting it up. I would much rather help people get on the property ladder, and it is this Conservative Government who have built 244,000 homes in the last year, which is a record over 30 years. This is a Government who get on with delivering on the people’s priorities, while he continually raises issues that most people would find irrelevant to their concerns.
ParlaMint-GB_2021-04-28-commons.u75	The Prime Minister talks of priorities. What is he spending his time doing? This is a Prime Minister who, during the pandemic, was nipping out of meetings to choose wallpaper at £840 a roll. Just last week, he spent his time phoning journalists to moan about his old friend Dominic Cummings. He is telling the civil service to find out who paid for the redecoration of his flat—the Cabinet Secretary has been asked to investigate who paid for the refurbishment of the flat. Why doesn’t the Prime Minister just tell him? That would be the end of the investigation It has been widely reported that Lord Brownlow, who just happens to have been given a peerage by the Conservative party, was asked to donate £58,000 to help pay for the cost of this refurbishment. Can the Prime Minister, if he is so keen to answer, confirm: did Lord Brownlow make that payment for that purpose?
ParlaMint-GB_2021-04-28-commons.u76	I think I have answered this question several times now, and the answer is that I have covered the costs. I have met the requirements that I have been obliged to meet in full. When it comes to the taxpayer and the costs of No. 10 Downing Street, it was under the previous Labour Government that I think Tony Blair racked up a bill of £350,000. I think what the people of this country want to see is minimising taxpayer expense. They want to see a Government who are focused on their needs and delivering more homes for the people of this country and cutting council tax, which is what we are doing. It is on that basis that I think people are going to judge our parties on 6 May.
ParlaMint-GB_2021-04-28-commons.u77	Answer the question! That is what the public scream at their televisions every PMQs: “Answer the question! ” The Prime Minister has not answered the question. He knows he has not answered the question. He never answers the question The Prime Minister will be aware that he is required to declare any benefits that relate to his political activities, including loans or credit arrangements, within 28 days—[Interruption. ] Twenty-eight days, Prime Minister, yes. He will also know that any donation must be recorded in the register of Ministers’ interests, and that under the law any donation of over £500 to a political party must be registered and declared, so the rules are very clear. The Electoral Commission now thinks that there are reasonable grounds to suspect that an offence or offences may have occurred. That is incredibly serious Can the Prime Minister tell the House: does he believe that any rules or laws have been broken in relation to the refurbishment of the Prime Minister’s flat?
ParlaMint-GB_2021-04-28-commons.u78	No, I don’t. What I believe has been strained to breaking point is the credulity of the public. The right hon. and learned Gentleman has half an hour every week to put serious and sensible questions to me about the state of the pandemic, about the vaccine roll-out, about what we are doing to support our NHS, about what we are doing to fight crime, about what we are doing to bounce back from this pandemic, about the economic recovery, about jobs for the people of this country, and he goes on and on about wallpaper when, as I have told him umpteen times now, I paid for it.
ParlaMint-GB_2021-04-28-commons.u79	Can I remind the Prime Minister of the Nolan principles, which are meant to govern the behaviour of those in public office? They are these: selflessness, integrity, objectivity, accountability, openness, honesty and leadership. Instead, what do we get from this Prime Minister and this Conservative Government? Dodgy contracts, jobs for their mates and cash for access. And who is at the heart of it? The Prime Minister. Major Sleaze, sitting there Meanwhile—the Prime Minister talks about priorities—crime is going up, NHS waiting lists are at record levels and millions of people are worried about their jobs, including at Liberty Steel. Do not the British people deserve a Prime Minister they can trust, not a Government who are mired in sleaze, cronyism and scandal?
ParlaMint-GB_2021-04-28-commons.u80	Last week, the right hon. and learned Gentleman came to this Chamber and he attacked me for talking to James Dyson about ventilators, when we are now sending ventilators to help the people of India, and the following day—the following day—Labour Front Benchers said that any Prime Minister in my position would have done exactly the same thing. It was only a few months ago that they were actually attacking Kate Bingham, saying she was a crony when she helped to set up the vaccine taskforce that delivered millions of vaccines for the people of this country and is helping us to get out of the pandemic This is a Government who are getting on with delivering on the people’s priorities. We are rolling out many more nurses, with 10,000 more nurses in the NHS now than there were this time last year, and 8,771 more police officers on our streets now than they were when I was elected, with tougher sentences for serious sexual and violent criminals, which the right hon. and learned Gentleman opposed. And, by the way, I forgot to mention it but last night our friends in the European Union voted to approve our Brexit deal, which he opposed. That enables us not just to take back control of our borders, but to deliver free—[Interruption. ] It does, which he fervently opposed, enabling us, among other things, to deal with such threats as the European super league. It enables us to deliver freeports in places like Teesside. Above all, taking back control of our country has allowed us to deliver the fastest vaccine roll-out in Europe, as he well knows, which would not have been possible if we had stayed in the European Medicines Agency, which he voted for Week after week, the people of this country can see the difference between a Labour party that twists and turns with the wind and thinks of nothing except playing political games, whereas this party gets on with delivering on the people’s priorities, and I hope the people will vote Conservative on 6 May. [Interruption. ]
ParlaMint-GB_2021-04-28-commons.u81	Order. Let us see if we can calm it down a little.
ParlaMint-GB_2021-04-28-commons.u82	The UK is indeed a world leader in covid-19 vaccination. May I thank the Prime Minister for the swift action he has taken to deliver this for our country, and will he join me in thanking the many local volunteers, such as Kirsty Griffiths who has been volunteering at the Marlow vaccine centre, and Guy Hollis and Paul Bass who have been volunteering alongside Denham community health centre? And thank you for the vaccine roll-out in South Bucks.
ParlaMint-GB_2021-04-28-commons.u83	My hon. Friend should thank everybody involved, and it has been a fantastic national effort, led by the NHS—led overwhelmingly by GPs, but also by many others, including local council officers and officials and the Army, and of course huge numbers of volunteers in her constituency and elsewhere, and I thank Kirsty Griffiths, Guy Hollis and Paul Bass very much for everything they have done.
ParlaMint-GB_2021-04-28-commons.u84	May I associate myself with the remarks of the Prime Minister and the Leader of the Opposition on the humanitarian crisis in India and the injustice in the Horizon issue at the Post Office Over 127,000 people have died from covid in the United Kingdom. People have lost their mothers and fathers, their grandparents and even their children. NHS staff have given their all, fighting to keep people alive. That is why so many people find the Prime Minister’s remark that he would rather let the bodies pile high in their thousands than go into lockdown utterly, utterly sickening. The BBC and ITV have multiple sources confirming that this is what the Prime Minister said. People are willing to go under oath confirming that the Prime Minister said these exact words—under oath, Mr Speaker. Parliamentary rules stop me saying that the Prime Minister has repeatedly lied to the public over the last week, but may I ask the question: are you a liar, Prime Minister?
ParlaMint-GB_2021-04-28-commons.u85	Mr Speaker, I leave it to you to judge whether the right hon. Gentleman’s remarks were in order, but what I will say to him—
ParlaMint-GB_2021-04-28-commons.u86	Order. Unfortunately, they were in order, but were not savoury and not what we would expect.
