ParlaMint-GB_2021-12-10-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163).
ParlaMint-GB_2021-12-10-commons.u53	rose—
ParlaMint-GB_2021-12-10-commons.u54	I am very conscious that others want to come in, so I am going to crack on While I am a nerd and I can understand the science, I think we are on shaky ground if elected individuals get into a position where we are strongly incentivising the system or telling medically qualified people who have taken an oath what to do. I do not think it is possible for us to say, “Okay, I know we do not have peer review evidence that that particular drug x on that percentage formulation can work, but the family says it does and I can see it does, so off you go and prescribe it. ” Simply put, I do not think we can tell doctors what to do. I say that with a genuinely heavy heart I hugely commend the hon. Member for Manchester, Withington for bringing the Bill before the House today. I thank the hon. Member for Gower for her passionate contribution. I know she will continue to stick pins in me to make sure I continue to work behind the scenes. [Laughter. ] My final message to Joanne is this: “I know you think I don’t care. I do. I just cannot support the Bill today. ”
ParlaMint-GB_2021-12-10-commons.u55	I confess to having been depressed many a time in this Chamber, but after that last contribution I cannot remember feeling as low as I do at this moment. [Interruption. ] I ask Members please to take this Bill seriously. It is not in any way about telling medical practitioners what to do. I ask them please to read the Bill. The proposition opposite the argument around placebos that we would somehow look to a cohort in some other jurisdiction for available children to participate fills me with absolute and utter horror I rise to speak in support of the Bill, and in doing so I congratulate my hon. Friend the Member for Manchester, Withington (Jeff Smith) on his masterclass. If anybody needs to understand what Members have tried to persuade this place to do over many years, they should read that speech in Hansard. It was a comprehensive account. But we are here yet again. With respect to the hon. Member for South Ribble (Katherine Fletcher), she has taken us back years in going back to the basics—to the very beginnings of this debate—and I regret that bitterly. My hon. Friend has brought forward a modest, focused and eminently reasonable Bill, which I trust and hope will gain the support of the entire House The application of medical cannabis extends to and is of benefit to those with conditions such as intractable nausea, vomiting and chronic pain, but I want to focus my remarks on cases of epilepsy. We have had many a debate in this place about medical cannabis and heard incredibly moving stories from families about its wonderful efficacy in response to severe treatment-resistant epilepsy. Only last month, we had an excellent debate in Westminster Hall, secured by the hon. Member for South Leicestershire (Alberto Costa), who spoke with such eloquence and forensic accuracy about the efficacy of these treatments. We also heard from the right hon. Member for Hemel Hempstead (Sir Mike Penning), who has been a determined advocate in this campaign Notwithstanding the welcome change to the law to facilitate NHS prescriptions of medical cannabis, only three such prescriptions have been issued in the three years since 2018. As such, the parents of children with intractable epilepsy, knowing that the medical cannabis treatment they have procured works, with seizures much reduced or eliminated, have been left at breaking point emotionally and financially, having to find up to £2,000 a month to pay privately for this medicine. There can be no question but that those who issued those prescriptions did anything other than obey the Hippocratic oath None of us can imagine how on earth those loving parents cope with such massive costs. Up to £2,000 a month—that is the equivalent of an additional and very substantial mortgage; in fact, it would dwarf many people’s mortgage payments. Not even we MPs, on over £80,000 a year, could cope with that. How on earth can we expect those families to withstand those huge costs simply trying to keep their children alive and free from the ravages of seizures by accessing a known and proven prescriptive solution? That these families cannot secure NHS prescriptions for their children, when it has been proved beyond doubt that cannabis is efficacious, is a monumental shame. The campaign group End Our Pain rightly said that this saga has dragged on for far too long. Those families have petitioned, marched and campaigned with such dignity. They should not and must not be ignored The new Secretary of State for Health and Social Care was pivotal in the change in the law when he was Home Secretary. I urge him, the Minister and the Department to give effect to that change and remove all barriers to getting medical cannabis to those patients. The Bill will make an invaluable contribution to increasing prescription capacity by pointedly freeing up one of the blockages in getting these vital prescriptions to the people who desperately need them and who so evidently benefit from them It is a simple Bill with a mere three substantive, but very precise, clauses. The overall effect will be, first, to require the General Medical Council to operate a register of general practitioners who may prescribe cannabis-based products in England, changing the position from prescription only by consultants. It will also require the GMC to set the criteria to include training and professional development requirements to enable GPs to be on the register. It is up to each GP to decide whether they participate The second limb of the Bill will establish a commission to bring forward a framework for the assessment of cannabis-based medicines and their suitability for NHS prescription, and it will task such a commission with recommending measures to overcome barriers to gaining access to cannabis medicines on the NHS. I am sorry that the hon. Member for South Ribble is not in her place My hon. Friend the Member for Manchester, Withington has made provision in such a commission for the careful consideration of evidence other than from conventional controlled trials, including from observational studies and other countries where cannabis-based medicines are more readily prescribed. This is not a case of licking a finger and sticking it in the air. It is about proper research on which we can rely. We have heard it explained to us how randomised trials are not the appropriate way to go about business. In any event, that being held up as the gold standard is certainly open to debate I am afraid that the mantra of conventional random trials is simply inhumane. We have a situation where patients and their families know that this works, but the current system is trapped in inflexible and flawed processes that badly fail epilepsy sufferers, who have to mortgage all that they have to pay for these prescriptions or continue to suffer the ravages of seizures and often some dreadful side effects of powerful drugs. This Bill is a careful step along the way in addressing one small part of the blockage to sufferers getting the right treatments Somewhat belatedly, I must declare an interest, Madam Deputy Speaker, as I have a 26-year-old son with epilepsy and severe developmental delay and special needs as a consequence. I would like to explore further whether medical cannabis might be of assistance to him, but hitherto, the system is as resistant as the condition itself. He had two older brothers, one of whom we lost when he was just 16 years old, 15 years ago—colleagues will have heard me mention him before. I do not know whether medical cannabis would have helped him, had we even known about it then, but I will do everything I can to assist families right now in their determination to get the medication that their children need We were confronted with our beloved Rory locked in status. I recall so vividly calling the ambulance and having him whisked off to hospital, where the consultant told us we better call a priest, and then all of us, my wife Sally, my son Paddy and my daughter Rosie, holding Rory as he died. I never want to have any of those families suffer such an outcome. I bitterly regret that I have not shown the courage and determination of people such as Hannah Deacon in securing that medication for her child. How I wish I had been as wise as she. I beg right hon. and hon. Members not to talk this Bill out today, as they have been instructed to do, but to do the right thing and help to take this small step today, to remove one of the barriers placed in the way of people so desperately in need of these treatments and to give them access to this life-changing and indeed life-saving treatment.
ParlaMint-GB_2021-12-10-commons.u56	I am extremely moved and saddened by the comments of the hon. Member for Middlesbrough (Andy McDonald). My great sympathies and good wishes to him and his family This is such an important topic to be discussing today, and I thank the hon. Member for Manchester, Withington (Jeff Smith) for introducing his private Member’s Bill. The issue affects many people up and down the country, adults and children alike. I welcome the opportunity to speak in this debate and will focus my remarks on epilepsy in children My constituent, Teagan Appleby, who was mentioned earlier, is one of those who cannot access medical cannabis on the NHS. Teagan is reliant on medical cannabis to manage her epilepsy so that she does not suffer hundreds of fitting episodes. I pay tribute to Teagan’s mother Emma for her superb care of Teagan. It is simply unfair and unacceptable that, in addition to looking after Teagan, Emma has to raise thousands of pounds each month to get hold of Teagan’s medicine. That should not be the case—that is what our NHS is there for. The law was changed by my right hon. Friend the Secretary of State for Health and Social Care when he was Home Secretary, but too many people simply cannot get an NHS prescription in practice even after that change Teagan’s case was one of the first constituency surgery cases I worked on after being elected in December 2019. As is the case for many hon. Members representing children who have epilepsy and need medicinal cannabis, the issue has gone on for many years—too many years. Many hon. Members have worked hard to secure access to the medicine, and I pay tribute to them for all the work that has been undertaken. I attended the debate on this topic here just over a month ago, on Thursday 4 November, which followed the Westminster Hall debate on 3 November, to which the hon. Member for Middlesbrough referred, where the narrower topic of the situation for epileptic children was explored Pursuing the situation for Teagan, I had fully expected that it would be a case of, “Where there’s a will there’s a way”. I am sorry to say that has not been my experience of the NHS in this case. Instead it seems to be, “Where there’s no will, no one will pay”. I do not mean political will. As has been set out time and again in this place, the political intent is clear and I truly believe it is cross-party I was present when the Minister for primary health, my hon. Friend the Member for Lewes (Maria Caulfield), said last month: “The Health Secretary and I are committed to doing everything in our power to accelerate this work. ” I have spoken to her personally about the sad situation that affects Teagan and I have absolutely no doubt about her resolve or that of the Government resolve on this. She said further: “We have changed the law, but that has clearly not been enough. We need to find a resolution, so that we can get these medications licensed if the clinical evidence is there, and we need to work with the regulator. ” —[Official Report, 4 November 2021; Vol. 702, c. 1120-21. ] I agree with her: the law has changed, but that is not enough. It is not enough to ensure that Teagan gets the medicine she needs on the NHS. In my own experience of pursuing the matter as a constituency MP, I have seen the blocks and barriers to helping Teagan at first hand, as I am sure many others have in many other cases within the NHS. These blocks and barriers are harder to overcome because of the specialty of dealing with those children and with specialised medicines in a shared care environment. This is one aspect that clause 1 seeks to address Medical cannabis can be prescribed on the NHS, and changes were made in November 2018 to legalise that position. Although that class of drugs is unlicensed, it is not unlawful. Plenty of unlicensed medicines and treatments can be prescribed on the NHS. Indeed, I once read that exercise might be available for prescription on the NHS, but I am not sure whether that is the case. I have been able to confirm that the National Institute for Health and Care Excellence has approved the funding of the Alexander technique for Parkinson’s disease, as well as ginger and acupressure for reducing morning sickness This particular drug, cannabis, is illegal, and I support that position and fully oppose a relaxation on or general legalisation of cannabis. The same is true of morphine, which is sold illegally as heroin. I support that position and fully oppose the general legalisation of heroin, but I have needed morphine in hospital and have been utterly and profoundly grateful for the relief it gives—other Members may have had the same experience. I am mindful of that, which is why it is vital that we find a way to support Teagan and those like her who need access to the medicine that works for them That support is twofold: money and prescribing. I am afraid it cannot wait for the outcome of years of medical trials or the vague hope that some company will want to invest in developing further research in this area, because this is an issue that affects, in numbers, relatively few children, but its impact on their quality of life and their condition is utterly profound Of course, medicines need to meet the highest standards, and there must not be a question of opening Pandora’s box and legalising cannabis through the back door—I know some hon. Members are concerned about that aspect of the debate. That will need to be explored further in Committee to ensure that the Bill is entirely robust For me, the question is how I can help Teagan and other children like her to get the support they need paid for by the NHS. Subsection (2) of proposed new section 34CA of the Medical Act 1983 sets out that a register may be kept of prescribing GPs. At the present time, there must be concern that the terms and conditions of what is described in the subsection as the “criteria” and “training” elements may not resolve the problem faced by Teagan, and a number of Members have referred to the hesitancy within the medical profession on some of these issues and have recognised the immense specialty of these issues Let us suppose that Teagan’s GP is willing to prescribe. The money to pay for prescriptions currently needs to come from the area’s clinical commissioning group or the main NHS funding for exceptional medicines. I have tried both sources for Teagan without success. I ended up in a perpetual loop: essentially this is not an approved medicine, so it will not be funded, even though it is a legal medicine that can be prescribed. Some specialist consultants do not accept that the medicine works, even though it clearly does work for those families who have children taking it. Teagan’s mum knows it works, which is why, month after month and year after year, she tirelessly gets the money through fundraising to help her daughter get the medicine she needs. If Teagan does not get the medicine she needs, she gets more ill; if she gets the medicine she needs, she is better. Sometimes the particular type of medicine she needs has to change in order for it to remain effective. Then it is changed, and she is better again. That seems to me to be unquestionable and reliable evidence. Indeed, it can be found in Teagan’s own medical records, including those that are kept when she is hospitalised, which she is on occasion I am mindful of what was said by my hon. Friend the Member for Crewe and Nantwich (Dr Mullan), but I would suggest that that is documentary and professional evidence, given that it is in Teagan’s medical records. Prescriptions are being given for this medicine. I therefore do not accept that the evidence is simply observational, as was suggested by my hon. Friend the Member for South Ribble (Katherine Fletcher). I realise that she was referring to it in a scientific context, but, as she said herself, we are having a debate that people can understand and connect with. These are not “observations” by Teagan or her family; they are clinical notes in her formal medical records, and I think that some of the evidential base that is needed can be found in those few but very well-observed and well-documented cases in which children are using this particular medicine.
ParlaMint-GB_2021-12-10-commons.u57	I think we need to understand that this is not just about whether a treatment works for a particular patient. There are plenty of treatments that work, but with more study and better understanding we come to recognise that there are many side-effects, and that problems that might crop up among a small number of patients could turn out to be devastating. We must be careful about what we mean when we say that a treatment is effective. We have all just experienced the process of approving a vaccine which we know works, but which we also know has severe side-effects. We must look at a bigger picture than what happens in the case of any one individual patient.
ParlaMint-GB_2021-12-10-commons.u58	My hon. Friend clearly has considerable practical experience in medicine, and, as I have said, the subject of medical cannabis and the treatment of children is very much a specialist area. However, it would be perverse indeed for people to be ordered to have a medicine that they do not want—my hon. Friend has raised the question of research and the covid vaccines—while others are prevented from getting medicines that they do want when they know that they work.
ParlaMint-GB_2021-12-10-commons.u59	My hon. Friend is making a powerful speech, and I ask this question with the aim of developing my own knowledge of the subject. According to what the hon. Member for Manchester, Withington (Jeff Smith) said about the two-stage process of being referred for treatment, there is a clinical referral which is then considered by the clinical commissioning group. In Teagan’s case, after the clinical referral did the CCG cause the blockage? If so, were clinicians at a CCG level or non-medically qualified people making that decision?
ParlaMint-GB_2021-12-10-commons.u60	As I said earlier, that is the perpetual loop. This is not an approved medicine, so it cannot be funded despite being a legal medicine that can be prescribed. The prescription element is of particular concern to a number of Members. In view of the hesitancy and the expertise about which we have heard today, the pool of people who might be able to prescribe this medicine on the NHS is not a large one, and I think that that is largely what is driving the proposals in the Bill I want to say something about professionalism, a subject that has arisen more than once today. Private prescriptions from qualified GPs are being given by qualified specialists in this area. As with so many areas of medicine—and Members who are doctors will know this better than anyone—some doctors believe that one medicine will work for some patients and another will work for others, and different doctors take different views. It is important to note that these are professionally prescribed private prescriptions. The issue is that the prescriptions are not available where they are needed on the NHS I will move on to funding and why the drug might not be funded because of the status of the medicine and the licensing. I have heard the Minister for primary care refer to the licensing tests of quality, safety and efficacy, which all hon. Members would agree are important. The quality and effectiveness of medical cannabis in the few cases relating to epileptic children can be satisfied. It is obtained openly via private prescriptions through recognised channels. As I have said—and I emphasise this for Conservative Members in particular—that is lawful. It is medication lawfully prescribed by doctors. It is NHS prescribing that is the barrier On safety, there is always a risk in having any medicine, and there are consequences of not having it. A professional doctor and those involved in medical care will look at what happens when someone has a particular medicine and its potential risks, and what will happen if they do not. In this case, not having the medicine results in worse health outcomes, and a worse quality of life, for Teagan. If the Alexander technique, acupressure and ginger can be funded on the NHS, it should be considered whether the right bar is being set for Teagan’s medicine to be funded My hon. Friend the Member for South Ribble mentioned the speed with which the covid vaccination got regulatory approval—a pace and speed that we have not seen with medical cannabis. Some of the Acts that we pass in this place have effects that can be measured in centuries, such as the Environment Act 2021; we will move on to discuss climate change more generally later. Some of the decisions that we make in this place, however, have an impact on lives that can be measured in days, months and years. I suggest that this is one of those cases The Government have authorised the medicine to be available—that decision was taken. It is about completing the journey, so that there is the intended effect of ensuring that where clinically appropriate and in a child’s best interest, that child can be treated with the right medicine for them under the correct supervision and that that medicine can be funded on the NHS Teagan Appleby needs medical cannabis to improve her serious health condition. Without it, she suffers from fits. With it, she is so much better. That is why I support the prescription of medical cannabis on the NHS for little Teagan and the other children who clearly need it. I pay tribute Teagan’s mum, Emma, who has been a tireless and energetic campaigner on behalf of her daughter to get the medical treatment that she needs. I close by thanking again the hon. Member for Manchester, Withington for bringing forward the bill and the Minister for her attention to Teagan’s case and the matter.
ParlaMint-GB_2021-12-10-commons.u61	It is a pleasure to follow the hon. Member for Dover (Mrs Elphicke). I wholeheartedly agree with her point of view, as do other hon. Members. I refer to what she said about “completing the journey”, which is what we want to do today, so that we can get to where we want to be. I commend the hon. Member for Manchester, Withington (Jeff Smith) for bringing forward the Bill, which I am pleased to see being debated in the House. I commend the hon. Member for Middlesbrough (Andy McDonald) for his personal story, which served to emphasise to us in this House how important it is for the Bill to pass. I know that it was hard for him to tell us that story, but it was also hard for us to listen to it because we sympathised with him. I thank him for sharing his story and for giving us that force of personal experience, which makes a difference I thank you, Madam Deputy Speaker, for allowing me to speak this morning. I will not detain the House for long; I intend to keep my comments fairly concise. I shall give as an example one story, which I will leave with the House. Along with other Members, who are all in their places today, I am well known for advocating medicinal cannabis under specific circumstances. I fought furiously for young Sophia Gibson in Newtownards to get the medication that her parents knew would make a difference to that sweet little darling of a girl. The following note is from her mum and dad who fought night and day for their child. They went to live in Holland, as others have said, and tried to raise funds. They did all of this alone and in desperation, which underlines the battle that is faced by parents throughout the United Kingdom of Great Britain and Northern Ireland and why I am supportive of access to medicinal cannabis in certain circumstances. As the hon. Member for Dover said, I am not talking about a universal application or prescription for medicinal cannabis; it is specifically for those whom it can help from a medicinal point of view. That is what I have always said. Perhaps I put things very simply, but that is what I think this Bill is about, which is why I support it I do not want to take too long, but I will quote the parents’ story: “Three years ago, our lives were changed when Sophia received the great news that she would get her whole plant medicinal cannabis medicine via an NHS prescription. The expert panel was set up to help children like our daughter, but was quickly scrapped. Three years ago, the law surrounding medicinal cannabis was changed, but nothing has changed since. There are still only three whole plant medicinal cannabis NHS prescriptions in the United Kingdom. Why, we asked, when this marvellous medicine has kept our daughter out of hospital for over three years, has improved her life immensely, and kept her seizures the most controlled that they have ever been in all her young life. Some say that this is classed as anecdotal evidence”— I say that it is not. It is real evidence, as the hon. Members for Dover and for Manchester, Withington have also said— “but we are with Sophia the most and see the difference. The hospital records speak volumes: Sophia has not needed to avail herself of ambulances, of A&E visits and of hospital ward visits for over three years. ” Is that not evidential basis for thinking that change can make a difference? I respect the fact that others have much more understanding of medical and health matters than I, but, I have seen evidence from my constituents. The parents continue: “These are facts. Why can’t other children and adults avail themselves of this medicine via the NHS? Why has it become a two-tier system that, if you have the money, you can avail yourself of it? Why are so many forced into fundraising, selling their personal belongings, or taking loans out just to keep their loved ones safe? ” The hon. Member for Middlesbrough referred to that. The parents said: “Imagine every month having to add over £1,000 to your essential bills for a medicine, because that is exactly what some families are forced to do, being so scared that if you don’t have that money what will happen to your child. ” That is the reality for some in the United Kingdom today. Let me read on: “We know we are blessed and so fortunate to have an NHS script because we know that we couldn’t afford that money each month for a private prescription. We thought three years ago that, after the three prescriptions, many more would follow, and what a let-down it has been. Soul destroying for us because you feel bad that you have an NHS script and others don’t. Why do our loved ones need to suffer—whether it be physically with seizures or mentally—and have this additional stress when, three years after a standstill, we have some of the best resources, doctors and health service in the world? ” I pay tribute to our NHS and to everyone involved. In this House, we are privileged to have those who make a contribution to it every day. The parents end with these words: “We could have been leading the way, but instead we are stalling, passing the buck with no answers or resolutions for these families. How many more lives will be taken or be at risk before they can get the medication that they want”— that is what the hon. Member for Dover said and that is what I endorse as well. They said: “Families have enough stress and worry without having to do all this. We hope someone, somewhere”— in this House— truly listens and can have the answers for us all. ” That is a wee summary of Sophia’s story Sophia has not been in hospital since July 2018, which is three and a half years ago. Her seizures have reduced dramatically and are managed at home, as they are so brief. The change is almost miraculous, yet families throughout the UK are forced into a two-tier system where if they can afford a private script to help their child, they can have it. Sophia’s parents have said, “We know we are blessed”—and they are—“and so fortunate”. They still to this day do not know why Sophia’s consultant had a change of heart, but he did, and my constituents today benefit from that and his courage to stand out from the crowd and take a chance on the only medicine that has helped Sophia This year marks the end of Sophia’s time in primary school and her transitioning into high school next year. Did Sophia’s parents ever think that would happen? There were times they thought they would never see the day, as they thought on many occasions that they would lose her. They and we thank God every day that her neurologist in Belfast prescribes the medicine. Whole-plant medicinal cannabis worked for their precious little girl. We just need other NHS neurologists to listen and take the chance and give all those loved ones a chance at a better quality of life I understand that people have a different point of view, and I always respect other points of view, even though I may not agree with them, but I urge those who are not yet convinced—I look to the Minister, for whom I have great respect on a personal basis and as a Minister, and she knows that—that today we have an opportunity to change lives in this House with something that I have seen makes a difference To conclude, nothing I could say could explain it better than Sophia’s story. That is why I stand today for Sophia Gibson’s story, and also for the family of Jorja in Dundonald in the constituency of my hon. Friend the Member for Belfast East (Gavin Robinson), so that they can have the new life they need for their child, like with Sophia. I again commend the hon. Member for Manchester, Withington on bringing forward the Bill. I implore—others have said they would beg, and I would beg if that is what it takes—the Minister to make the change and make it happen today. It will save lives. It will lift quality of life and it will, I believe, be an answer to prayer.
ParlaMint-GB_2021-12-10-commons.u62	What a terrific debate to have the privilege of taking part in. I have spoken on this subject before, so I will try to keep my remarks to a minimum, because many of them are already on the record, and I want to respond to the points raised in the debate First, I record an interest—it is not a financial interest—as I chair the Conservative Drug Policy Reform Group Ltd.. I am unpaid for it and have no stake in it, but it is a think-tank that I have set up to try to get evidence-based policy delivered and to make the case on drug policy in its widest forms. We are dealing today with the opportunities we have missed due to the absence of drugs from the development of medicine. Given also the awful criminal justice consequences of our wider drugs policy over 60 years, I believe it is vital to get proper evidence into this space to guide our policy. That is why I welcome the Government’s drug strategy, published just a few days ago, with its commitment to evidence and data, and it is on evidence and data that we should be formulating policies It has been a terrific privilege over the past four years to work with the promoter of the Bill, the hon. Member for Manchester, Withington (Jeff Smith), who has become my friend in this cause. To colleagues, and in particular to my hon. Friend the Member for South Ribble (Katherine Fletcher)—she gave a very brave speech to juxtapose the almost unanswerable case of her constituent with the wider challenge of exercising our duty as Members of Parliament—when she says she wants to oppose the Bill, I say to her, “Not yet. ” The issues that have been engaged in here, and the debate that is being had, deserves to go to a Committee of this House so that discussion can continue. It would be quite wrong to oppose this Bill on Second Reading. It is fine that, after all the efforts of the Government, who have been trying to engage with the hon. Member for Manchester, Withington to find a route that they could support, we have not yet been able to get that route, but let us continue that discussion in Committee. The debate will continue anyway; we are trying to find the right construction of our analysis of the evidence in order to arrive at a better answer than we have today The raw emotion engaged by the magnificent speech from the hon. Member for Middlesbrough (Andy McDonald), and the emotion surrounding speeches made by other colleagues on behalf of their constituents, is incredibly powerful in its own right, but my hon. Friend the Member for South Ribble quoted the doctors’ oath, which says: “I will…not allow prejudice to influence my practice” If only our profession had done the same, because the position of cannabis and the psychedelics in schedule 1 to the Misuse of Drugs Regulations 2001 is not supported by any evidence. Why on earth is heroin subject to fewer controls for research purposes than the psychedelics? I am not aware of any cases where the psychedelics have directly caused harm—obviously nothing like the scale of harm caused by drugs that have been made legal, such as alcohol and tobacco, or by the opiates. In response to parliamentary questions, the Home Office has been unable to produce the evidential base The rotten truth about cannabis is that its position in the regulatory framework rests on the racist policing of the United States in the 1950s, which is the basis of the world’s approach to drugs policy, and that basis is morally bankrupt. When we have now to deal with the consequences, we ought to bear that in mind. We have a duty to try to find a way to make good the damage that we have done. When I say “we”, I mean 50 or 60 years of politicians, who have avoided engaging in these difficult questions. We have put ourselves on a moral high mountain, and have not been prepared to engage with the difficult trade-offs that are engaged by this issue. Our objective should be to protect the public good and to have a positive outcome for society through medicines and treatments—the positive things that drugs can do—as well as to minimise the damage that they can do I want to draw the attention of the House to the work of the magnificent people who work at Conservative Drug Policy Reform Group Ltd.. The organisation is not part of our party, but I fully accept that its principal objective is aimed at our party because the position on the centre right is naturally rather more resistant to change than, perhaps, other parts of the political spectrum. Eighteen months ago, the group produced a terrific review of where we are on medicinal cannabis, called “The UK Review of Medicinal Cannabis”, which identifies, as a consequence of our policy, how many people are being driven into criminality in order to get the therapeutic use of a medicine based on cannabis It is not right that there are about 50,000 people growing their own cannabis to try to treat their multiple sclerosis. We should be in a better place and serve people better. We should not need Carly Barton to have to produce a pass to say that people have a diagnosis that might suggest that they would need medicinal cannabis in order for them to avoid arrest. All those people are formally at risk of 14 years in prison in order to access a therapeutic product. We are not in the right place on this issue, and it is up to us to try to correct it. I totally agree with my hon. Friend the Member for South Ribble that we should not impose the answer on medical professionals, scientists and researchers, but I am afraid that that is what we have done, which is why we are held in collective contempt by the body of science and research. Opportunities have gone begging over decades because our drugs policy, in its widest sense, has not been informed by evidence and data.
ParlaMint-GB_2021-12-10-commons.u63	My hon. Friend paints a picture that I recognise in part, but I am sure that he would welcome recent innovations and changes in the law, such as the Government allowing psilocybin—magic mushrooms—to be used in research on clinical depression. Does he welcome the fact that there is movement in this space despite, I grant you, more than a century of ignorance in the area?
ParlaMint-GB_2021-12-10-commons.u64	I fear that I missed what my hon. Friend refers to, because it still sits in schedule 1. When my team first presented the case for moving psilocybin out of schedule 1 so that we could actually do some research at scale, I thought that the case was so blindingly obvious that it would take about five minutes to speak to a Minister and get it done; indeed, I had a conversation with a Minister that rather implied that. But then we ran into what colleagues might in other circumstances call the blob—the endless circuit on which the family of Teagan Appleby have found themselves, as my hon. Friend the Member for Dover (Mrs Elphicke) explained I simply say to colleagues, given the data that I will publish through the Conservative Drug Policy Reform Group next week, that it is a substantial majority position in this House that our drugs policy is not working and we need to do something about it. The worst signal that we could send would be that we are not going to continue the conversation about the proposal in the Bill by sending it into Committee. If we do not give it a Second Reading, that is what we will be doing. Let us get it into Committee and continue to have the conversation. Whether it is fit for Third Reading, or for the Government to support, is a decision we can take later.
ParlaMint-GB_2021-12-10-commons.u65	I rise to support the Bill. I am very proud of the work that my hon. Friend the Member for Manchester, Withington (Jeff Smith) has done to break the barrier that is there. I commend the hon. Member for Dover (Mrs Elphicke); I know Emma Appleby and Teagan very well, and I listened with joy to the hon. Member’s words, which show her great understanding of the situation that Emma finds herself in for her child to survive. She is one of many parents we work with. As co-chair of the all-party parliamentary group for access to medical cannabis under prescription— with the hon. Member for South Leicestershire (Alberto Costa)—I am very proud of our work, particularly with the hon. Member’s predecessor, the right hon. Member for Hemel Hempstead (Sir Mike Penning) This has been a journey. I have been in this House for nearly four and a half years, which is not a long time—I am quite a youngster by many standards—but I remember standing at the doors on a Friday, overhearing the conversations of peers from across the House. Basically, they were laughing at a Bill introduced by my late hon. Friend the Member for Newport West, Paul Flynn. It really did break my heart, because Paul worked tirelessly to break that barrier and get medicinal cannabis legalised. Soon after he passed away, we had a breakthrough thanks to the campaigning of the right hon. Member for Hemel Hempstead, the End Our Pain organisation and the tireless work of Hannah Deacon and Peter Carroll. Those people must be remembered in this House, along with the many, many parents and people working alongside them, as well as the hon. Member for Reigate (Crispin Blunt). Many people are fighting for the cause We are in a ridiculous situation, and I am very emotional. My hon. Friend the Member for Middlesbrough (Andy McDonald) has spelled out what it is like to be a parent and have that loss. I cannot even bring myself to imagine it. It does not matter whether you are a parent or not; to see these children is heartbreaking. It is four and a half years since I stood here incredulous at the mockery made of the Bill that was being brought forward. The law has changed; we have had three prescriptions on the NHS. We have had no other change I thank the Minister and the Secretary of State for our recent conversations about this situation. While there is a lot of empathy in this House, there is little action. I have stood with the parents and we have had many meetings here in the House. Members have gone to meet the parents and sometimes the children—most recently outside of the House because of covid regulations—to hear their story at first hand, and there is an empathy. But those parents and children have had to wait. They had to wait because Brexit was going on and they were on the back burner; they had to wait again because there was an election in 2019 and they were put on the back burner; and then there was covid, albeit nobody saw that coming, and they had to wait. They have been hospitalised, they have not been able to get hold of their prescriptions, there have been problems in fundraising to get their prescriptions and, as has been said, they have been unable to pay for their prescriptions, even having to sell their house. The situation they have been put in is inhumane I see that the hon. Member for South Ribble (Katherine Fletcher) is leaving, but I was going to pay tribute to her. I am so glad that she has engaged with this debate with her constituent Joanne and Joanne’s son Ben. It is wonderful that she has listened to them and continues to want to fight, even though she knows Joanne will not be voting for her, which is very amusing for us. It is good that there is that engagement. I do not stand here with a geeky knowledge of science, to use the hon. Lady’s words, or as a general practitioner, but I stand here with four and a half years’ experience—the experience of a mother—to see the passage of the tireless work that has been done across the House, only for nothing to have changed. That is why I pay tribute to the Bill.
ParlaMint-GB_2021-12-10-commons.u66	The hon. Lady is right. If the Government are not minded to support the Bill, as it seems they may not be, does she, like me, ask, “Well if you’re not going to help, what are you going to do? ”
ParlaMint-GB_2021-12-10-commons.u67	Absolutely. I really want to know what they are going to do. This has been collaborative, cross-party work, and I have had good conversations with the Secretary of State this week and with the Minister a week ago. The solution that has been put forward to me is quite interesting. They say, “Oh, well you could find one of these drug companies that you know and work with, and maybe they could put an observational trial together, and we could have the conversations with the necessary bodies, we could work on this and then it could move forward”—this is the point I was coming to—“in another two to three years. ” After four and a half years, we are already in a situation where some of these children are now adults, so we are going to be looking at another, completely different situation. This situation has to change My hon. Friend the Member for Manchester, Withington has worked tirelessly on the Bill, giving the Government an option to move this issue forward, yet yesterday I was told, “Don’t worry, Tonia; talk for as long as you like, because they’re going to talk it out anyway. ” We have had debate upon debate upon debate. This is a private Member’s Bill. It would address the issues and move everything forward. That is the disappointment of this place. When the parents we work with know there is going to be a debate, they get all excited, and then nothing happens. Unfortunately, because of the way the parliamentary system works, that is how it is. That is why the Bill is so brilliant. It absolutely hits the nail on the head and I want it to pass—but we know that is unlikely We know there is a blockage in the system. I will not stand here and call out where I think that blockage is, but it is my personal view and my experience. It is what I have read and what I know. When somebody very high up in the system says, “We do not want this to happen,” it usually does not happen. There is a blockage, and that blockage has to be broken down. I am not a GP or a medical expert, but it is wrong that this is not being looked into properly In the conversations that the right hon. Member for Hemel Hempstead and I had with the NHS we were promised an observational clinical trial, but that had changed to an RCT by the time of our next conversation with the same people. Why? We had the perfect situation. These children were already on the medicine and were already proving that it makes their lives better.
