ParlaMint-GB_2021-06-07-commons.u1	What steps she is taking to tackle large gatherings that breach covid-19 restrictions.
ParlaMint-GB_2021-06-07-commons.u37	My right hon. Friend is absolutely right to draw attention to this. People smuggling is a wicked and vicious activity that puts lives at risk. Indeed, a young family tragically drowned in the channel last autumn. We are prosecuting people who are involved in people smuggling. Since the beginning of 2020, there have been 65 prosecutions related to small boat crossings for those people facilitating that sort of activity. We are now explicitly going after the people who drive these boats, and our objective is to prosecute as many of those wicked facilitators as we can get our hands on.
ParlaMint-GB_2021-06-07-commons.u38	Does the Minister recognise the public anger at us being made fools of in this? Border Force is little more than a taxi service for illegal migrants—it is ridiculous. Will the Minister assure me that he will use his powers under the Immigration Act 1971 to arrest all illegal immigrants, put them in detention, prosecute them, imprison them and deport them, so that we can stop this horrible trade dead in its tracks?
ParlaMint-GB_2021-06-07-commons.u39	I completely share my right hon. Friend’s anger at the situation, and the Home Secretary and the Prime Minister do as well. As I say, we are actively prosecuting the facilitators. In the forthcoming sovereign borders Bill, as part of the new plan for immigration, we plan to significantly strengthen the section 24 illegal entry offence in the 1971 Act, to which he refers, to make it easier to use and easier to implement in practice. At the same time, we will increase the sentence for illegal entry and the sentence for facilitation under section 25 of the Act. I look forward to working with him on getting that Bill passed as quickly as possible and then implemented.
ParlaMint-GB_2021-06-07-commons.u40	We have another substantive question for Minister Philp.
ParlaMint-GB_2021-06-07-commons.u41	What steps she is taking to ensure that EU citizens with indefinite leave to remain will not be required to apply for EU settled status.
ParlaMint-GB_2021-06-07-commons.u42	It is my lucky day today, Mr Speaker. It is, of course, open to EU citizens with indefinite leave to remain to apply for EU settled status. Some of them choose to do so because the rules are slightly better for EUSS in terms of the ability to leave the country for a particular period and the family reunion rules. There is no obligation on people with ILR to apply for EUSS, but it is a choice that each individual may or may not choose to make according to their own personal wishes and circumstances.
ParlaMint-GB_2021-06-07-commons.u43	I am grateful to the Minister for his answer, and I would like to offer my condolences to the Under-Secretary of State for the Home Department, the hon. Member for Torbay (Kevin Foster) Many constituents of mine who have previously been granted indefinite leave to remain have received letters suggesting that they should apply for EU settled status instead. This has created a great deal of consternation and a fear that their indefinite leave to remain status may not be valid in the future. Can the Minister tell me why those letters were sent? It is not clear to people whether or not they should be applying for EU settled status. Could he give a clear answer to my constituents on this matter?
ParlaMint-GB_2021-06-07-commons.u44	My understanding is that those people with ILR who are also eligible for EUSS can continue to enjoy ILR whether or not they apply for EUSS. Letters were sent out to people who might be eligible for EUSS, but I believe those letters did make it clear that someone who received those letters who was already naturalised as a British citizen or indeed had ILR needed to take no further action. If the hon. Lady thinks those letters were unclear, I will be happy to look into it further, but I understand that they were worded in such way as made it clear that no further action was taken in the circumstances she describes.
ParlaMint-GB_2021-06-07-commons.u45	What steps she is taking to reduce the length of time taken to conclude investigations into police conduct.
ParlaMint-GB_2021-06-07-commons.u46	Last year, the Government introduced wide-ranging reforms to the police complaints and discipline system, including a 12-month trigger requiring the investigating body to provide a written explanation for any delays. Significant improvements have already been made, and we will continue to monitor the timeliness of investigations conducted by both forces and the Independent Office for Police Conduct through data collection.
ParlaMint-GB_2021-06-07-commons.u47	Even under the new Home Office system, only around 80% of police conduct investigations are resolved within 12 months. The remaining cases linger on far longer, with a detrimental effect on those involved. Does the Minister agree with the Police Federation that we need action to fix the system now—not, as the Minister has said, allowing it to bed in—as no one benefits from long drawn-out investigations?
ParlaMint-GB_2021-06-07-commons.u48	I share the hon. Lady’s view that no one benefits from long drawn-out investigations, and it is absolutely our aspiration to shorten investigation times as much as we possibly can, bearing in mind the impact on both the officer who is under investigation and those who are making the accusation. It is worth bearing in mind that delays in investigations often happen for complex reasons, particularly in very difficult investigations, which are not necessarily within the control of the investigating body. While I understand and sympathise with the Fed’s desire to shorten investigation time, it is worth bearing in mind that our overriding interest should be in quality and thoroughness, rather than in hitting some kind of arbitrary deadline. However, I do meet regularly the director general of the IOPC and we do monitor very closely how long investigations are taking. It did inherit 538 investigations from the Independent Police Complaints Commission, which it has now managed to get down to three, and I think currently it only has 30 investigations that have taken longer than 12 months.
ParlaMint-GB_2021-06-07-commons.u49	What assessment she has made of the potential effect of new sentencing powers on levels of crime.
ParlaMint-GB_2021-06-07-commons.u50	This Government are serious about fighting crime and making sure the criminal justice system is one the public can have confidence in. That is why the Police, Crime, Sentencing and Courts Bill currently going through this House sees the sentences for causing death by dangerous driving being increased to life. It is why many of the most serious offences, including rape, will see the perpetrators spend longer in prison, while at the same time we make sure that those people with drug and alcohol addictions get the treatment they deserve. I hope my right hon. Friend will agree that these are measures that will build public confidence and keep the public safer.
ParlaMint-GB_2021-06-07-commons.u51	I want to congratulate the Government on their plans to extend sentences for the deplorable crime of assaulting our emergency workers. Is not it now time for a specific offence of assaulting shop workers and other customer-facing frontline workers, given that the number of assaults on them since this pandemic started has doubled?
ParlaMint-GB_2021-06-07-commons.u52	My right hon. Friend is right: we are of course doubling the sentence for assaulting—for the common assault of—an emergency worker from one year to two years, which I think is widely welcomed across the House. In relation to other people who deal with the public—not just retail workers, but transport workers, teachers, postmen and women and other people who deal with the public—that is already taken account of in the Sentencing Council guidelines, which makes it an aggravating factor if the victim deals with the public. Therefore, judges can reflect that when handing down sentences. There is a Westminster Hall debate later on today on this very topic, and I am very much looking forward to discussing it in more detail then.
ParlaMint-GB_2021-06-07-commons.u53	What rights will be protected for EU citizens and non-EU family members unable to apply to the EU settlement scheme by the 30 June 2021 deadline.
ParlaMint-GB_2021-06-07-commons.u54	In relation to EU citizens who are granted EUSS status, where their family who are not EU citizens reside in the United Kingdom, they can apply for EUSS status as well. For close family members who are not in the United Kingdom at present, they are able to join the person who is granted EUSS status. If it is a child under the age of 21, that is automatic. If it is parents, grandparents or children over the age of 21 where there is a degree of dependency, they can join as well. So I think those are extremely generous arrangements—far more generous than the arrangements for other cohorts of people.
ParlaMint-GB_2021-06-07-commons.u55	I thank the Minister for his answer. Even where the guidance provides a route back to status, it will not protect EU citizens who missed the deadline from hostile environment policies, or prevent them from being denied access to homelessness assistance and free NHS care, as recently confirmed by other Departments. Will the Minister assure the House that EU citizens and non-EU family members who miss the deadline will maintain the right to such assistance, and be able to continue working without fear of criminal liability?
ParlaMint-GB_2021-06-07-commons.u56	On the deadline, I will repeat what I said earlier: the critical thing is to encourage constituents, very strongly, to apply by that deadline. If somebody misses the deadline, of course they can apply where they have reasonable grounds to do so. Guidance is about to be published on precisely what will happen to those who miss the deadline. I assure the hon. Gentleman that the Government intend to take a reasonable and proportionate approach, and I ask him to wait just a short time until that guidance is published.
ParlaMint-GB_2021-06-07-commons.u57	What steps she is taking to ensure that interpreters who assisted British armed forces overseas will be included as part of reforms to the immigration system.
ParlaMint-GB_2021-06-07-commons.u58	The Government owe an immense debt of gratitude to the brave interpreters who worked alongside our armed forces overseas. In April we launched the Afghan relocations and assistance policy, under which any current or former staff members in Afghanistan who are at risk are offered priority relocation to the United Kingdom, regardless of their employment status, rank, role, or length of service.
ParlaMint-GB_2021-06-07-commons.u59	It is a real pleasure to submit a question asking for a change in policy, and for that to happen one week later, so I congratulate the Government, and particularly the Home Secretary, on this long overdue change of heart. It is right that we accelerate the relocation scheme for Afghan interpreters and their families—people who have protected us and our country so well for so long. In view of worrying reports in the press last week, will my right hon. Friend clarify that not only Afghan interpreters directly employed by the Ministry of Defence but sub-contracted interpreters will share the right to those Afghan relocations?
ParlaMint-GB_2021-06-07-commons.u60	My right hon. Friend is absolutely right, and the entire House should pay tribute to those who worked alongside our armed forces in Afghanistan, in harrowing conditions. The Defence Secretary and I were determined to ensure that this policy went through. In light of what is taking place in Afghanistan now, with further withdrawal and drawdown, it is right that we reach out to those who, as my right hon. Friend said, are part of that wider support network and have worked with our armed forces.
ParlaMint-GB_2021-06-07-commons.u61	What recent discussions she has had with Cabinet colleagues on tackling online harms.
ParlaMint-GB_2021-06-07-commons.u62	The Home Office is working across Government to tackle online harms though the online safety Bill and other measures. That Bill will be a truly world-leading and much needed piece of legislation to make the UK the safest place to be online. Although the draft Bill will be scrutinised by Parliament, the Government continue to work nationally and internationally to tackle online harms, including through the G7 and Five Country Governments.
ParlaMint-GB_2021-06-07-commons.u63	The ease with which even primary school-aged children can access extreme but legal pornography is frightening, and it is warping a whole generation’s view of healthy sexual relationships. Will the Minister assure me that the longstanding issue of age verification for legal pornography will finally be addressed in the online safety Bill?
ParlaMint-GB_2021-06-07-commons.u64	This issue concerns many Members across the House, and it has been voiced by many parents across the country. We must consider not just the online safety Bill, but the wider question of education and ensuring that our children are taught what is a healthy relationship and what is not. The hon. Lady will know the massive progress made by the Domestic Abuse Act 2021, which set out clear parameters regarding the so-called rough sex defence as well as non-fatal strangulation. She will know that discussions are ongoing with the Departments for Education and for Digital, Culture, Media and Sport about how we can cement that approach in legislation and, crucially, through education.
ParlaMint-GB_2021-06-07-commons.u65	The director general of MI5 has said that Facebook is giving terrorists a “free pass” by introducing end-to-end encryption, which effectively blocks the security and intelligence services from monitoring suspects and potential plots. Despite what the Minister said, the online safety Bill is very vague—in fact, some might say it is a bit wishy-washy—when it comes to measures to counter these dangerous activities, so will she commit today to treating this matter with the seriousness and urgency that it requires and that Ken McCallum has demanded?
ParlaMint-GB_2021-06-07-commons.u66	I hope that the hon. Gentleman understands the seriousness with which the Home Secretary, and also the Prime Minister and the Government, take such matters. I do not agree with his description of the online safety Bill. Indeed, he will note the confidence with which the Government have put it forward as a draft Bill in order to allow Parliament to scrutinise it. On Facebook and its activities, it should be in no doubt that under the new Bill as it stands at the moment, it will be held to account for its activities. The development of its systems is a matter for it, and it must justify that to the public and to this Government.
ParlaMint-GB_2021-06-07-commons.u67	What steps she is taking with Cabinet colleagues to help ensure children are safe on the internet.
ParlaMint-GB_2021-06-07-commons.u68	I, too, am earning my salary this afternoon, Mr Speaker! We are working across Government and internationally to ensure that children are safe on the internet. We continue to encourage companies to endorse and implement the voluntary principles to counter online child sexual exploitation and abuse, which we launched in March last year in collaboration with Five Country Governments, and we are engaging the G7 on how we go further in our collective response to protect children. We have published our draft online safety Bill, and companies will be required to take stringent action to tackle the growing and evolving threat of child sexual exploitation and abuse on their platforms.
ParlaMint-GB_2021-06-07-commons.u69	Will the Minister please outline the support that her Department is giving the Department for Digital, Culture, Media and Sport with the online safety Bill and confirm that internet companies that break the law will be heavily prosecuted and heavily fined?
ParlaMint-GB_2021-06-07-commons.u70	Indeed. Of course the Home Office has been working with the Department for Digital, Culture, Media and Sport, at both official and ministerial level, in developing the draft Bill. We remain fully committed to making the UK the safest place to be online while defending freedom of expression, and we believe that the Bill achieves that. The strongest protections in the Bill are reserved for children, and I can confirm that Ofcom, the independent regulator, will have a range of tough enforcement powers to use against companies that fail to fulfil their duties. Those include fines of up to £18 million or 10% of qualifying annual global turnover, whichever is greatest.
ParlaMint-GB_2021-06-07-commons.u71	What steps her Department is taking to ensure effective investigations by the police of allegations of rape to help improve the number of cases that result in charges being made.
ParlaMint-GB_2021-06-07-commons.u72	Supporting victims of sexual violence and abuse is an important priority for this Government. In the past five years, we have seen a significant decline in the number of charges, prosecutions and convictions for rape. That is why we have carried out a robust end-to-end review of the criminal justice response. The review will be published shortly and will set out clear action to reverse this trend and to ensure that victims receive the support they deserve and that perpetrators face justice.
ParlaMint-GB_2021-06-07-commons.u73	There is currently a backlog of 57,000 cases in the Crown court, with victims of rape and serious sexual violence often left to wait years to go to trial. Sadly, they are the minority who received sufficient support to bring a case forward in the first place. Will the Minister commit to bringing forward urgently proposals for the fast-tracking of rape and serious sexual assault cases? Will he also confirm the creation of specialist rape and serious sexual violence units in every police force to ensure that cases are brought against alleged perpetrators?
ParlaMint-GB_2021-06-07-commons.u74	Two of the key planks of the work that we will be undertaking in this area—indeed, we have started already—are, first, yes, to shorten the timeframe between a report and a case getting to court, and secondly, to develop expertise throughout the system to ensure that victims get the justice they need, but in particular that investigations focus on perpetrators.
ParlaMint-GB_2021-06-07-commons.u75	To follow up on what has just been said, rape prosecutions in England and Wales are at their lowest on record. One third of all the violent crime recorded by the police is domestic abuse-related, and now only 1.6% of rape cases are even being charged, let alone convicted. That is all according to the latest figures from the Home Office. This situation is untenable and it is worsening on the Home Secretary’s watch. The Government are leaving dangerous rapists and violent offenders on our streets and in our communities, so will the Minister and the Department back calls to ensure that violence against women and girls is included in the definition of serious violence in the Police, Crime, Sentencing and Courts Bill, including domestic abuse-related violence and all sexual violence?
ParlaMint-GB_2021-06-07-commons.u76	In the urgent question that I answered on this subject not two weeks ago, I expressed serious regret about the conviction numbers that the hon. Lady mentions. It is not a situation that any of us should be happy with, and we have confirmed as a Government that we will do our utmost to turn that around. She will understand, I know, because she is from the west midlands, that we will need the assistance of police and crime commissioners and chief constables to do so. I hope that she will join us in urging them to play their part in what will be the enormous task of turning this particular challenge around As for the serious violence duty, that will no doubt be debated by the Under-Secretary of State for the Home Department, my hon. Friend the Member for Louth and Horncastle (Victoria Atkins), during the Bill Committee, but I would hope, whether or not there is a statutory duty for everybody to play their part in dealing with this problem, that all those other organisations—whether that means health or local authorities, or, indeed, police and crime commissioners—will step forward anyway, because the moral case is strong and I know that the hon. Member for Birmingham, Yardley (Jess Phillips) will make it with us.
ParlaMint-GB_2021-06-07-commons.u77	What steps her Department is taking to reduce the use of immigration detention for women who have survived torture, rape or trafficking.
ParlaMint-GB_2021-06-07-commons.u78	The use of detention, including the detention of women for immigration purposes, has reduced significantly over the past few years. In particular, for women who have survived torture, rape or trafficking it is used extremely sparingly, if ever. There is an adults-at-risk policy, which makes sure that people who have suffered in that way are detained only in extremely rare cases where the vulnerability is outweighed by very serious risk, for example, to public safety. Those exceptions are extremely rare.
ParlaMint-GB_2021-06-07-commons.u79	The Minister says that these cases are extremely rare, but an immigration removal centre for women is set to open in the north-east on the former Medomsley detention centre site, despite, as he said, the Home Office previously committing to reducing its use of detention for women. Research shows that many detainees are survivors of torture, rape or trafficking, and detaining women in this way severely impacts on their mental health. Does he agree that reopening the Medomsley site should be reviewed and that immigration cases can be resolved more humanely and at less cost in the community?
ParlaMint-GB_2021-06-07-commons.u80	First, I remind the hon. Lady again that the use of detention in general and for women in particular has reduced very significantly already over the past few years. Secondly, Hassockfield is replacing the Yarl’s Wood facility, which is being converted for mainly male use and, therefore, the number of female places for immigration detention as a result is going down dramatically. Thirdly, no, we are not going to review the use of Hassockfield—first, for the reason I have just mentioned, it actually represents a reduction in total numbers, and, secondly, because the adults-at-risk policy very actively, carefully and thoughtfully weighs up vulnerability against questions of detention. My hon. Friend the Member for North West Durham (Mr Holden) has been fully engaged on this issue. The new centre will create local jobs, and, as I said, it will also represent a reduction in the women’s detention footprint.
ParlaMint-GB_2021-06-07-commons.u81	What steps her Department is taking to ensure that children in care can apply for settled status after the EU settlement scheme deadline has passed.
ParlaMint-GB_2021-06-07-commons.u82	We will take steps to ensure that children in care are handled sensitively. As I mentioned in answer to previous questions, if someone misses the 30 June deadline, where they have reasonable grounds for doing so—that could conceivably very well apply to children in care—discretion will be exercised and a late application accepted.
ParlaMint-GB_2021-06-07-commons.u83	I welcome the Government’s commitment that we will learn lessons from Windrush and ensure that vulnerable people, especially children, do not find themselves with a question mark over their status in years to come. Will my hon. Friend confirm that the offer of support to care leavers making applications out of time includes those who were aged 18 to 25—and therefore had care leaving status under the Children Act 1989—before 31 December 2020, not just those who were under 18 at the time? Will he consider tweaking the case study provided in the Home Office guidance to make that absolutely clear?
ParlaMint-GB_2021-06-07-commons.u84	As I mentioned earlier, we are doing a great deal of active outreach via grant-funded organisations, in particular with local authorities, to make sure that vulnerable people of the kind my hon. Friend describes are reached. I can give him an assurance that the care leavers he describes are potentially included, because the reasonable grounds provision potentially applies to anybody. Anyone who misses the deadline, whether they are a care leaver or, indeed, anyone else, can make the case that they have reasonable grounds for having missed the deadline, so they are absolutely included. The list of case studies is, of course, non-exhaustive; it is designed not to list everything, but to give a few examples. Anybody can apply for the reasonable grounds exemption. I repeat that anyone who thinks that they are eligible should apply by 30 June. That is the best way to make sure that their case is handled properly and fairly.
ParlaMint-GB_2021-06-07-commons.u85	If she will make a statement on her departmental responsibilities.
