ParlaMint-GB_2021-11-15-lords.u1	To ask Her Majesty’s Government when they will publish their white paper on levelling up.
ParlaMint-GB_2021-11-15-lords.u18	My Lords, financial inclusion is very important in particular areas, and it is important in addressing it to bind together different departments. That is why there is a new levelling-up task force under the leadership of Andy Haldane that brings together the Department for Levelling Up, Housing and Communities and the Cabinet Office, precisely because we need that Whitehall join-up.
ParlaMint-GB_2021-11-15-lords.u19	My Lords, can the Minister tell the House how he believes that levelling up can be squared with cancelling the eastern leg of HS2? Is he aware that if HS2 East is cancelled, it will take four times longer to get to Sheffield and Leeds, and six times longer to get to Durham and Newcastle, than it takes to get to Birmingham? Does he appreciate that this will introduce a new east-west divide into the country, which will be the equivalent of our Victorian forebears deciding to build the railways in the western part of the country while leaving the eastern part of the country with the canals?
ParlaMint-GB_2021-11-15-lords.u20	My Lords, I recognise the noble Lord’s expertise on high-speed rail. However, I do not want to comment on the specific scheme. The most important thing for the Government is to back up the investment we have in transport infrastructure in our city regions, and we have committed £5.7 billion for transport settlements for those regions. Of course, decisions about high-speed rail will be taken in due course.
ParlaMint-GB_2021-11-15-lords.u21	To ask Her Majesty’s Government what assessment they have made of (1) reports of violations of the Nagorno-Karabakh ceasefire agreement by the government of Azerbaijan, and (2) the number of Armenian military and civilian personnel who have yet to be released by the government of Azerbaijan.
ParlaMint-GB_2021-11-15-lords.u22	My Lords, the Minister for Europe and Americas has repeatedly highlighted the need for both countries to avoid provocative actions. She has also raised the long-standing issues of prisoners of war, detainees and the missing or deceased in calls with both Azerbaijani Foreign Minister Bayramov and Armenian Foreign Minister Mirzoyan. We urge both Governments to engage in substantive negotiations to settle all matters relating to the conflict.
ParlaMint-GB_2021-11-15-lords.u23	My Lords, I thank the Minister for his reply, but the impunity enjoyed by Azerbaijan has encouraged continuing violations of the ceasefire agreement by Azerbaijan. As Azeri forces continue to advance into Armenian territories, a few weeks ago I visited a village, Davit Bek, in Syunik province, and witnessed the suffering of the Armenian people there. Azerbaijan also refuses to release Armenian prisoners, subjecting many to torture and killing. What will Her Majesty’s Government do to require Azerbaijan to stop violations of the ceasefire agreement and of human rights?
ParlaMint-GB_2021-11-15-lords.u24	My Lords, the UK has engaged very actively both during and after the conflict. The Minister for Europe and Americas, Wendy Morton, speaks regularly with her counterparts in both countries. She continuously urges de-escalation and a return to the negotiating table under the auspices of the OSCE Minsk Group, and she has condemned the alleged war crimes, including the deliberate shelling of civilian areas, videos purportedly showing beheadings of soldiers, and alleged deliberate use of white phosphorus against civilians. The allegations come from both sides in this conflict.
ParlaMint-GB_2021-11-15-lords.u25	My Lords, in June, I visited the border inclusion area of Syunik province, at an earlier stage than the noble Baroness, Lady Cox. In Khoznavar, the incursion had cut off the nearby village from its main water source, and access to grazing land had been denied, threatening the survival of this poverty-stricken village. Following my letters of 7 July to the Foreign Secretary and of 5 November to the Minister for Europe and Americas, what further steps are Her Majesty’s Government taking to challenge those illegal incursions, to ensure the integrity of Armenia’s borders and to press for the withdrawal of Azerbaijani troops according to the terms of the November 2020 ceasefire?
ParlaMint-GB_2021-11-15-lords.u26	My Lords, the UK notes the ceasefire agreement reached in November last year. Both countries had to make difficult decisions to secure stability and peace, and it is important that remaining issues relating to the conflict are resolved through negotiation. In particular, the OSCE Minsk Group is the obvious and key forum for this, facilitated by France, Russia and the US. The UK is not a formal member of the OSCE but we continue to support its efforts to negotiate a permanent and sustainable settlement.
ParlaMint-GB_2021-11-15-lords.u27	My Lords, for years, one of the major causes of tension and violence has been the lack of a clear and mutually acceptable demarcation of the international border. Although the border agencies of both Armenia and Azerbaijan are now in contact, given our close connections in the region, have we considered assisting or promoting this vital process, which is essentially technical, on the basis of clear international principles?
ParlaMint-GB_2021-11-15-lords.u28	My Lords, as I said, the UK supports the OSCE Minsk Group process and, alongside that, the basic principles. Last updated in 2009, these include a return of the occupied territories and the acceptance of a free expression of will on the status of the Nagorno-Karabakh region.
ParlaMint-GB_2021-11-15-lords.u29	My Lords, I just returned at the weekend from a visit to Karabakh, where I saw thousands—yes, thousands—of homes which had been demolished or vandalised by the occupying troops over the last 30 years. First, can the Government now confirm that they recognise that Karabakh is part of Azerbaijan? Secondly, were all the Armenian prisoners of war captured before the ceasefire released by Azerbaijan? Thirdly and finally, have either the Russian peace observers, whom I saw, or the Minsk Group reported any breach of the ceasefire by Azerbaijan, and will Her Majesty’s Government continue to encourage UK investment in Azerbaijan, including Karabakh, now that it has been liberated?
ParlaMint-GB_2021-11-15-lords.u30	My Lords, I will not repeat the last answer, relating to recognition of the Nagorno-Karabakh region, but in relation to the ongoing conflict, the UK Government continue to raise at every opportunity the critical importance of settling all matters related to the conflict, in particular last year’s conflict, with the Armenian and Azerbaijani Governments. That includes, for example, the return of all prisoners and the remains of the deceased, which has been a particular focus of the Minister for Europe and Americas, Wendy Morton, who has raised this repeatedly with her counterparts.
ParlaMint-GB_2021-11-15-lords.u31	My Lords, on the first anniversary of the ceasefire, the US State Department statement, as well as listing all of the humanitarian issues that are supported by allegations on both sides of this—the Minister has referred to almost all of them—expressly called for an investigation into alleged human rights abuses and violations of international humanitarian law. Do the Government support that call and, if so, have they discussed it with the United States, and how do they intend to advance this really important initiative?
ParlaMint-GB_2021-11-15-lords.u32	My Lords, the UK Government are of course aware of allegations that war crimes were committed by both sides during last year’s conflict. There is credible evidence for that. My colleague Wendy Morton, Minister for Europe and Americas, has raised this issue with both Governments, and she has urged that those allegations be thoroughly investigated. Where we can, we support the trilateral OSCE on a regular basis.
ParlaMint-GB_2021-11-15-lords.u33	My Lords, Azerbaijan has handed over, bona fides, Armenian POWs who had been detained during the course of hostilities, but the cessation of hostilities provides huge opportunities to reopen transportation and communication routes between Azerbaijan, Armenia and the Zangezur corridor. Once fully operational, this could provide inter-and transregional trade and economic connections, bringing significant benefits for Armenia’s own economic development. Will HMG consider encouraging the Armenian Government to seize this opportunity to ensure that the transport corridor is reopened?
ParlaMint-GB_2021-11-15-lords.u34	The noble Lord makes an important point. Of course, we continuously urge both the Armenian Government and the Azerbaijani Government to honour in full the agreement reached last year. That is why our support for the OSCE Minsk Group is also important: the opportunities for both countries in a lasting settlement are enormous, as he rightly says.
ParlaMint-GB_2021-11-15-lords.u35	My Lords, what representations do the UK Government intend to make to the Government of Armenia to encourage the latter to fulfil its obligations under the 10 November bilateral ceasefire agreement—specifically to fully withdraw its troops from the Azerbaijan Nagorno-Karabakh region, where the Russian peacekeepers are currently stationed, and to reverse its lack of co-operation with Azerbaijan in helping with the opening of communication and transportation routes?
ParlaMint-GB_2021-11-15-lords.u36	The UK Government have not made a full assessment of the impacts of the Russian peacekeeping efforts, but this is an area that my colleagues in the other House keep under regular review.
ParlaMint-GB_2021-11-15-lords.u37	My Lords, will the Minister make urgent representation to the Government of Azerbaijan to allow UNESCO to investigate all Armenian cultural and religious sites to ensure their physical preservation, and to guarantee the rights of Armenian clergy and religious communities to continue to run and live in them?
ParlaMint-GB_2021-11-15-lords.u38	The Government strongly support the noble Baroness’s appeal for full access and full transparency, in relation both to cultural heritage and the allegations that have been made, and to the International Committee of the Red Cross, which does not currently have full access to all prisoners of war. That is something that we are pushing hard for.
ParlaMint-GB_2021-11-15-lords.u39	My Lords, six months ago, I raised with the noble Lord, Lord Ahmad, the fact that Russia had taken significant control over the administration of Nagorno-Karabakh. Last week, a Russian news agency suggested that the Armenian President wanted the Russian army to remain for good. What assessment has his department made of this move, and what impact will it have on security in the region?
ParlaMint-GB_2021-11-15-lords.u40	As I said, the UK has not yet made a full assessment of the deployment of the Russian peacekeepers, but deployment of peacekeepers clearly has to have the support of both parties to the conflict, or the aims become almost impossible to achieve.
ParlaMint-GB_2021-11-15-lords.u41	My Lords, the time allowed for this Question has elapsed.
ParlaMint-GB_2021-11-15-lords.u42	To ask Her Majesty’s Government what plans they have to provide funds to charities based in the United Kingdom that work to remove landmines and dismantle improvised explosive devices in other countries.
ParlaMint-GB_2021-11-15-lords.u43	My Lords, over the next three years, the UK’s demining work will continue to save lives, limbs and livelihoods across the world, supporting those most in need and delivering our treaty commitments. The Global Mine Action Programme 3, due to begin in 2022, will involve landmine clearance and risk education to help affected communities keep safe, and capacity development to help national authorities manage their landmine contamination. We are currently working towards finalising funding and country allocations for this programme.
ParlaMint-GB_2021-11-15-lords.u44	My Lords, I declare my interest as an ambassador for HALO, which has an agreement with the Taliban to continue to carry out mine and IED clearance in Afghanistan. It employs 2,500 locally engaged staff with financial support from Germany and the United States for this work. However, there is no support from the United Kingdom. Why not?
ParlaMint-GB_2021-11-15-lords.u45	My Lords, in Afghanistan, since 2018, the FCDO’s funding to UNMAS has cleared landmines and unexploded ordnance in 27.2 square kilometres of land. It has released a further 211 square kilometres of land by assessing it as no longer being dangerous. That has directly benefited nearly 1.5 million people. UNMAS has also delivered landmine-risk education to at least 1.2 million people, including more than 450,000 women and girls. The UK has a long track record in Afghanistan.
ParlaMint-GB_2021-11-15-lords.u46	My Lords, a long time ago, back in 1982, while the Argentinians had a short occupation of the Falkland Islands, they laid a number of landmines there. These were mostly still there when we retook the islands a few months later. What is the present position? Is everything now safe?
ParlaMint-GB_2021-11-15-lords.u47	I thank the noble Lord for his question. I shall have to write to him with an answer on the current assessment.
ParlaMint-GB_2021-11-15-lords.u48	My Lords, in September, the United Kingdom assumed the presidency of the Convention on Cluster Munitions. Since then, the FCDO has removed funding for mine-clearance operations in Vietnam, South Sudan and Zimbabwe, some of the countries worst blighted by cluster munitions and landmines. Will the Minister explain how this decision will help the UK achieve its objective of the universal application of the convention? From outside, it looks as though we are failing to put our money where our mouth is.
ParlaMint-GB_2021-11-15-lords.u49	The noble Lord is right that the funding has currently been reduced in relation to demining. The Global Mine Action Programme, which I mentioned earlier, will begin next year. We are reviewing funding and country allocations and hope to be able to share our plans for the programme in due course.
ParlaMint-GB_2021-11-15-lords.u50	My Lords, further to the last question, is not the truth that the cut in our support for clearing landmines, cluster bombs and cluster munitions will result in thousands of people either being killed or having their legs blown off? How can we justify such a cut?
ParlaMint-GB_2021-11-15-lords.u51	My Lords, the UK has invested really significant sums; it is one of the most generous countries in the world when it comes to funding demining. We have saved, as a consequence of taxpayers’ contributions to programmes backed by the Foreign Office, the lives of many, many hundreds of thousands of people. As I said, the FCDO recognises how critical this work is. That is why we are reviewing the decisions that were made: we are reviewing funding and country allocations and we will come back with details as soon as possible.
ParlaMint-GB_2021-11-15-lords.u52	My Lords, I declare my interest as co-chair of the Zimbabwe APPG. I may be able to help the Minister with the answer to the question from the noble Lord, Lord Trefgarne. Last year, landmine clearance in the Falkland Islands was completed, with Minister Wendy Morton paying particular tribute to the brilliant contribution of the team of Zimbabwean deminers. In the context of this assistance, does the Minister recognise that it is absolutely unacceptable for the Government to cut entirely our mine-action funding to Zimbabwe, which has some of the densest and most dangerous minefields in the world? Will he review this decision and restore funding so that Zimbabwe can meet its goal of being landmine-free by 2025, and will he meet me to discuss this matter?
ParlaMint-GB_2021-11-15-lords.u53	My Lords, as I said in answer to the previous two questions, we are reviewing the funding decisions. We are reviewing country allocations and we will come back with figures when we can. No one disputes the importance of this work to people’s lives and to the stability of countries. Yes, I would be very happy to meet the noble Lord.
ParlaMint-GB_2021-11-15-lords.u54	I think it is worth repeating this really important point so that the Minister hears: there has been a 75% cut in our landmine clearance work. That will result in deaths. While the Minister is waiting for another nine months, many children and women will be killed as a consequence of this action. It is no good talking about the past; it is the future we are concerned about. Will he, therefore, go back to his department and say, “Restore these cuts now”?
ParlaMint-GB_2021-11-15-lords.u55	My Lords, the department is currently—not in nine months—reviewing funding decisions in relation to demining. As I said, none of my ministerial colleagues and no one in the foreign office disputes the importance of this work. Every penny that we put into this programme is a penny that will contribute to saving lives and we are very aware of that.
ParlaMint-GB_2021-11-15-lords.u56	My Lords, as a qualified bomb disposal officer, this is an area in which I have some experience. I confirm that it is difficult, dangerous and challenging work, and often poorly paid. The HALO Trust is an exemplar, offering a five-week training package. I witnessed its people finishing clearing the Falkland Islands back in 2019. What assurances has the department put in place to ensure that all charities offer appropriate training packages for their workers and—crucially, should the worst happen—appropriate insurance and compensation packages for their workers as well?
ParlaMint-GB_2021-11-15-lords.u57	I thank the noble Lord for his question and for his work in this area. All FCDO contracts and NGOs are held to the highest standards. GMAP 2 partner organisations have robust training and monitoring processes in place to ensure the safety of their staff and of the beneficiaries. The FCDO conducts due-diligence assurance checks on all areas of their work, including staff training and safeguarding before any funding is released.
ParlaMint-GB_2021-11-15-lords.u58	My Lords, in April 2017 the then International Development Secretary, Priti Patel, standing alongside Prince Harry at a Landmine Free 2025 event, announced the UK’s funding commitment and said of humanitarian demining: “Global Britain has a historic role in tackling the indiscriminate and lethal legacy of landmines … We have a moral duty to act - and it is in our national interest to act. ” Until we discharge that moral duty and until it is no longer in our interests, we should not reduce our investment in either of them by one penny.
ParlaMint-GB_2021-11-15-lords.u59	My Lords, the UK remains a leading donor in this sector, notwithstanding the recent cuts, and our demining work will continue to save lives. We are committed to all of our international treaty obligations. We are finalising our plans for GMAP3—the global mine action programme. As I said a few times, we will release details as soon as we can.
ParlaMint-GB_2021-11-15-lords.u60	My Lords, it has been only in the last few weeks that NGOs have heard that the cuts they will face will be between 75% and 80%, so I welcome the confirmation from my noble friend the Minister that this is being reviewed. Could he tell me when this review will be completed and assure the House that we will be informed of its findings?
ParlaMint-GB_2021-11-15-lords.u61	I thank the noble Baroness for her question. I will have to get back to her in writing when I have a date that I can share.
ParlaMint-GB_2021-11-15-lords.u62	The Indo-Pacific is a region that is heavily contaminated with landmines and unexploded bombs, and is set to lose UK funding despite the Government’s ambition to strengthen their relations and influence there. In fact, Vietnam will no longer receive any funding at all. What assessment has been made of the impact this will have on UK relations in this region? Will the Government commit today to reinstate Vietnam’s funding to rid that country of its dreadful mine legacy?
ParlaMint-GB_2021-11-15-lords.u63	The legacy in Vietnam of live mines that are still in place is appalling, of course. I know that our funding has been valued by the Vietnamese Government and the Vietnamese people, and has helped to support wider diplomatic objectives. I cannot make any commitments on funding today, other than to say that those decisions that were recently made are being reviewed. I hope they will be reviewed as quickly as possible and that we will be able to continue the work that this House is rightly proud of.
ParlaMint-GB_2021-11-15-lords.u64	My Lords, some 15 years ago I was chairman of the Halo Trust, which has been mentioned, and a very good organisation it was too. I was also on the DfID Select Committee for some six years. I have seen that not all international aid from Britain is well spent: a lot of it ends up in overseas bank accounts, fast cars and weaponry. However, the Halo Trust got the money and spent it on exactly what it said it would. I plead with my noble friend, when the Government review it, to look at what is achieved. I saw the Halo Trust achieving fantastic things around the world.
ParlaMint-GB_2021-11-15-lords.u65	The noble Lord is right. There will never be enough public money to resolve the various issues we are committed to help resolve around the world—this being an important one, but just one. It is incumbent on us to ensure that, when we invest money, it is invested as well as it can be. The point he makes about the Halo Trust is a view that I know is shared by colleagues in the Foreign Office. I will convey his words back to colleagues.
ParlaMint-GB_2021-11-15-lords.u66	My Lords, all supplementary questions have been asked, and we now move to the next Question.
ParlaMint-GB_2021-11-15-lords.u67	To ask Her Majesty’s Government what is their position on adopting a formal definition of Islamophobia.
ParlaMint-GB_2021-11-15-lords.u68	The Government remain committed to acting against Islamophobia in all its forms. We utterly condemn the prejudice, discrimination and hatred directed towards British Muslims due to their faith. While we are considering definitions of Islamophobia, this in no way restrains our ability to monitor, prosecute and punish those perpetrating religiously motivated hate crime. We have provided Tell MAMA with £4 million over the last five years to monitor anti-Muslim hate crime and to support victims.
ParlaMint-GB_2021-11-15-lords.u69	My Lords, I thank my noble friend for his response. I first raised this matter in your Lordships’ House on 11 July 2019. We were told then that the Government agree that there needs to be a definition and that two advisers would be appointed. One adviser was appointed more than two years ago and nothing tangible has been done since. The Muslim community is concerned about issues relating to Islamophobia, and would ask that a second adviser now be appointed and their terms of reference agreed, which must include consultation with the community. We need to do this without any further delay and to commence the process.
ParlaMint-GB_2021-11-15-lords.u70	My Lords, I thank my noble friend for raising the concerns of the Muslim community, for his contribution to how we tackle the issue of Islamophobia and for his advice on how best to proceed. We remain committed to tackling Islamophobia where it exists across our communities, and we will continue to consider this issue with the utmost seriousness.
ParlaMint-GB_2021-11-15-lords.u71	My Lords, the Government’s own hate crime statistics show that nearly half of all recorded religious hate crimes were against Muslims. What specific urgent steps have the Government taken to end this abuse and will the Minister commit to working with Muslim groups to ensure urgent progress?
ParlaMint-GB_2021-11-15-lords.u72	My Lords, it is quite correct to say “nearly half”—around 45% of religiously motivated hate crime was against Muslims. As I mentioned in my Answer, we provided Tell MAMA £4 million over the last five years to monitor anti-Muslim hate crimes and support victims. We have also awarded £1.8 million through the faith, race and hate crime grant scheme to support established community groups and civil society organisations to boost shared values and tackle religiously and racially motivated hate crime.
ParlaMint-GB_2021-11-15-lords.u73	My Lords, the Minister has acknowledged that the Home Office’s own figures show that 45% of all recent recorded religious hate crimes in England and Wales targeted British Muslims, but he has not yet said why the Government are so reluctant and are dragging their feet over coming up with a clear definition of Islamophobia. Why have they refused to do this? Is he aware that it is mainly Muslim women who are being targeted, because of the way they dress? Young people are being targeted and bullied in schools and on the streets. Given the scale of this problem, and given the rise in far-right extremism, can the Minister tell me what actual action, besides funding an organisation to monitor it, the Government will take to reassure the 3 million British Muslims of their commitment to tackling hatred, and the violent crimes and discrimination they are experiencing?
ParlaMint-GB_2021-11-15-lords.u74	My Lords, we recognise the seriousness of this, but we also recognise the point made by Khalid Mahmood MP in the other place that there are issues with the term “Islamophobia”. It has been weaponised by particular groups to tackle free speech. We recognise that it is important to establish a definition, but as he himself says, this is a difficult thing to solve and the first principle is to do no harm. We will proceed slowly and carefully in order to get this right.
ParlaMint-GB_2021-11-15-lords.u75	My Lords, I think the House will be united against anybody who discriminates against somebody on their beliefs, but I will follow up on the last question about what exactly we mean by “Islamophobia”. I understand that it means fear of Islam. Why should one be frightened of one of the great religions of the world? It is fair enough to be frightened of the people who blew up the Manchester Arena or whatever, but surely not of Islam itself. I think the Minister is on my side in this: could we please be absolutely clear what it is that we are trying to do?
ParlaMint-GB_2021-11-15-lords.u76	My Lords, part of the difficulty of adopting some of the definitions that are being proposed, including that proposed by the APPG, is that they effectively conflate anti-Muslim hatred and Islamophobia with race. They also do not deal with issues around sectarianism. I completely agree that we want to tackle prejudice that discriminates against people based on who they are.
ParlaMint-GB_2021-11-15-lords.u77	My Lords, a phobia is a fear. An irrational fear of Muslims is best countered by leaders of the community explaining that discrimination against women and violent attitudes to other faiths have nothing to do with Islam. Will the Minister agree with a previous government statement that all faiths and beliefs should be given equal protection, and that giving special consideration to one or two groups at the expense of others is totally contrary to the Government’s levelling-up agenda?
ParlaMint-GB_2021-11-15-lords.u78	My Lords, I can give that assurance. We must provide our faiths and beliefs, particularly a religion such as Islam, with the same protections as all other important religions, but we must not make the mistake of conflating religion with race, as I said in the previous answer.
ParlaMint-GB_2021-11-15-lords.u79	My Lords, it is crucial that we distinguish between aberrant anti-Muslim bigotry and the highly contentious concept of Islamophobia which threatens free speech for fear of it being labelled Islamophobic. Does the Minister acknowledge this chilling effect for liberal Muslims, as is well described in the Don’t Divide Us film “‘Islamophobia! ’ The Accusation that Silences Dissent”, muting any criticism of Islam as a religion and even muting critiques of political Islamism, however dangerous? Does the Minister accept the nervousness of politicians from all parties in supporting the Batley Grammar School teacher who was forced into hiding under shouts of “Islamophobic”, effectively allowing a default blasphemy law to be snuck in for fear of being called Islamophobic?
ParlaMint-GB_2021-11-15-lords.u80	My Lords, I do recognise that issue and I was trying to point that out in the responses I gave to previous supplementary questions. There is no doubt that the term “Islamophobia” is used as a heckler’s veto to shut down alternative opinions. We need to come up with a way forward that does not compromise free speech, and that is absolutely what we are committed to doing.
ParlaMint-GB_2021-11-15-lords.u81	Imam Qari Asim, whom the Government appointed to assist with this in 2019, has been a magnificent ally in the fight against anti-Semitism and had a huge impact in West Yorkshire on Covid vaccinations in the Muslim community. Would it not be in the Government’s interests to find more work for Qari Asim to do?
ParlaMint-GB_2021-11-15-lords.u82	My Lords, as someone who has spent time with and engaged with Qari Asim—I met him in my previous role as Faith Minister—I recognise that he has much to contribute and I am sure we will continue to make best use of his undoubted reputation and track record.
ParlaMint-GB_2021-11-15-lords.u83	My Lords, Islamophobia is a real problem in the UK. Prejudice against Islam must be taken very seriously. The Government are certainly proceeding very slowly—there is no question about that—as highlighted by the noble Lord, Lord Sheikh. Can the Minister confirm that it is the Government’s intention to adopt a definition, or are they not planning to do so? It is very easy, either way.
ParlaMint-GB_2021-11-15-lords.u84	My Lords, I always thank the noble Lord for providing me with an easy question. Of course we want to work on establishing a definition that can be adopted, but I want the House to recognise that this is not a straightforward matter and will take time.
ParlaMint-GB_2021-11-15-lords.u85	My Lords, do the Government recognise that in any attempt to elucidate a formal definition of Islamophobia, religion and not race must be the central tenet? I agree with the noble Lord’s earlier response. Will the Minister give a personal assurance to the noble Lord, Lord Sheikh, me and others that he will do everything he can to resolve this as a matter of urgency?
ParlaMint-GB_2021-11-15-lords.u86	My Lords, I can give the assurance that we are tackling this as a matter of urgency. I completely agree with the point made about the need not to conflate race with religion. We need to get the definition of Islamophobia right.
ParlaMint-GB_2021-11-15-lords.u87	To ask Her Majesty’s Government what action they are taking to secure the release and return to the United Kingdom of Nazanin Zaghari-Ratcliffe.
ParlaMint-GB_2021-11-15-lords.u88	My Lords, it is unacceptable and unjustifiable that Iran has chosen to continue with this second, wholly arbitrary case against Nazanin. Iran has put her through an inhumane ordeal. We continue to call on Iran in the strongest possible terms to allow her to return to the UK to be reunited with her family. The Prime Minister raised her situation with former President Rouhani, and the Foreign Secretary continues to engage with Foreign Minister Amir-Abdollahian, most recently on 8 November.
ParlaMint-GB_2021-11-15-lords.u89	My Lords, first, I commend the bravery of Richard Ratcliffe—
ParlaMint-GB_2021-11-15-lords.u90	Hear, hear.
ParlaMint-GB_2021-11-15-lords.u91	—in his determination to get his wife home safe. We understand why he ended his hunger strike, and it was right for him to do so Will the Minister now confirm that there is no doubt whatever that the United Kingdom Government owe Iran £400 million for tanks the Iranian Government paid for but which were never supplied? Secondly, when the Prime Minister was Foreign Secretary, he pledged that that debt would be paid, and it is further acknowledged that when it is paid, Nazanin will be released. Can the Minister therefore use his undoubted influence with the Prime Minister to get him to make it his top priority to resolve this issue and get Nazanin released and returned home to her husband and daughter, because it is the Prime Minister’s moral duty to do so?
ParlaMint-GB_2021-11-15-lords.u92	Like the noble Lord, I recognise the commitment and huge sacrifice that has been shown by Mr Ratcliffe and the families of other British detainees in seeking the release and return of their loved ones detained in Iran. We continue to call on Iran to end Nazanin’s suffering immediately and to allow her to return home to her family in the UK. But I need to be clear, in the place of my colleague and noble friend Lord Ahmad, who is not here to answer the Question, that the UK does not and never will accept our dual nationals being used as diplomatic leverage. Our priority is securing Nazanin’s immediate release so that she can be reunited with her family.
ParlaMint-GB_2021-11-15-lords.u93	While it is absolutely right that the dreadful detention of Nazanin Zaghari-Ratcliffe should be kept totally separate from other issues in the relationship with the Iranian Government, will my noble friend explain the delays in the payment of the proper debt for the Chieftain tanks that were never delivered? It seems to me a straightforward matter, entirely separate from this horrible detention issue, which surely could be settled, and settled fast. Can he explain what the delay is because we do not understand?
