ParlaMint-GB_2021-11-17-lords.u1	That the Bill be now read a third time.
ParlaMint-GB_2021-11-17-lords.u12	Before we come to this important group of amendments, I have one housekeeping matter. As noble Lords are aware, the amendments have been marshalled according to the instruction of 13 October 2021, and that puts Clauses 55 to 61 towards the end of our Committee stage. If noble Lords who have the ninth Marshalled List of amendments go to Amendment 319A, they will see a number of pages of government amendments which, in effect, introduce a range of new offences and new powers for the state. In effect, they introduce the offences of locking on and of being equipped for locking on, and they change the law on wilful obstruction of the highway and on obstruction of major transport works This is not for the noble Lord, Lord Wolfson, but it would be convenient if the Government, at some stage during Committee, indicated how they intend to deal with the pages and pages of amendments. A whole new structure of offences is being introduced in Committee in the Lords without the stages in the Commons having been gone through and without a Second Reading on those issues. This is not for now, because I have given no warning of it, but it will take as long as it takes to get an answer as to whether special provisions will be made, whether the Government intend to stop the Committee and have a Second Reading, or whatever. Whatever the plans are in relation to this, we on this side of the House—indeed, I think the whole House—would like to know, so we can think about how we deal with it, because it is an important issue The group we are about to deal with concerns youth justice. We are into a new part of the Bill and part of this group will raise issues about the age of criminal responsibility. The only reason I am starting is because my Amendment 219B requires the centralised monitoring of court decisions to impose youth custodial remands. As noble Lords will know, a whole new regime of remanding people aged 10 to 17 in custody was introduced by the LASPO Act in 2012. It gives rise to very practical difficulties throughout the country in relation to finding appropriate places to remand people of that age in what is, in effect, detention of some sort. There is no centralised monitoring In responding to this amendment, will the Minister indicate what the current arrangements are for monitoring this nationally, and what is the Government’s proposal, if any, for making sure that national statistics are regularly available? Without such statistics, it is difficult to have an informed debate about what additional provision is required, save to say that the experience on the ground is that there needs to be more proper provision over a range of options. I beg to move.
ParlaMint-GB_2021-11-17-lords.u13	My Lords, I shall speak to Amendment 220. I feel very strongly about the issue of the age of responsibility of children. I first raised it in this House in 2006, when a Labour Government dismissed it out of hand. I was for 35 years a family judge dealing with children; I happen also to have brought up three children, and I care about children. In 2006, what is now known about young children and the maturation of their brains was not particularly well known, but a great deal of evidence has now come forward. It was looked at by the Select Committee on Justice in the other place in November of last year Psychiatrists gave evidence, in particular about the fact that young children aged 10—and, for goodness’ sake, a child of 10 is young—do not really mature until considerably later. We have only to look at what is happening across Europe as an example. Scotland has raised the age to 12. The age of responsibility across Europe is either 12 or, in more places, 14. We remain at 10. I think it is probably because successive Governments, on both sides of this House, are afraid of what the public will say.
ParlaMint-GB_2021-11-17-lords.u14	My Lords, I present the apologies of my noble friend Lord Dholakia, who is unwell and in some considerable pain. He is therefore not able to attend your Lordships’ House. On his behalf, I have his speech, from which I should like to read some extracts. I am sure that Members of the House of Lords will recognise, of course, that my noble friend had a Private Member’s Bill precisely on this issue, and that it passed all stages in this House. It fell because of Prorogation and therefore had no time in the House of Commons. This House has certainly made its view well known and presented it to the House of Commons. This amendment gives us an opportunity to make sure that what was decided by this House is carried forward My noble friend Lord Dholakia has said that, at present, in England and Wales, children are deemed to be criminally responsible from the age of 10, and this provision was last amended more than 50 years ago, in 1963, when the age of criminal responsibility was raised from eight to 10 by the Children and Young Persons Act of that year. This means that children who are too young to attend secondary school can be prosecuted and receive a criminal record. A 10 year-old who commits a “grave crime”—which includes serious, violent and sexual crimes but can also include burglary—will be tried in the adult Crown Court. A child of 10 or 11 who is accused with an adult will also be tried in the Crown Court The age of criminal responsibility in the United Kingdom is the lowest in Europe. In Ireland, in 2006, the age was raised to 12, with exceptions for homicide, rape or aggravated sexual assault. In Scotland, where the age of criminal responsibility was particularly low, at eight, legislation in 2010 amended it to age 12. Outside the British Isles, the age of criminal responsibility is invariably higher. In Holland, it is 12; in France, it is 13; in Germany, Spain, Italy, Austria, Hungary, Bulgaria, Slovakia, Slovenia, Croatia and Romania, it is 14. In most other European countries, it ranges between 14 and 18. Across Europe the average age is 14 The United Nations Committee on the Rights of the Child has repeatedly stated that our minimum age of criminal responsibility is not compatible with our obligations under international standards of juvenile justice and the UN Convention on the Rights of the Child. In a statement in 1997, the committee said: “States parties are encouraged to increase their lower minimum age of criminal responsibility to the age of 12 years as the absolute minimum age and to continue to increase it to a higher age level. ” In subsequent reports in 2005 and 2007, the committee reiterated that a minimum age below 12 is not internationally acceptable Taking 10 or 11 year-olds out of the criminal justice system would not mean doing nothing with children who offend; it would mean doing what other countries do with 10 and 11 year-old offenders. It would mean doing what we do with delinquent nine year-olds. In other words, it would mean dealing with the causes of these children’s offending through intervention by children’s services teams. In the minority of cases where court proceedings are necessary, it would mean bringing children before family proceedings courts, which can impose compulsory measures of supervision and care. In the most serious cases, this can mean detention for significant periods in secure accommodation, but this would be arranged as part of care proceedings rather than as a custodial punishment imposed in criminal proceedings In 2012, the Centre for Social Justice, which was set up by the former Secretary of State for Work and Pensions, produced a report on the youth justice system entitled Rules of Engagement: Changing the Heart of Youth Justice. It said: “There is now a significant body of research evidence indicating that early adolescence (under 13-14 years of age) is a period of marked neurodevelopmental immaturity, during which children’s capacity is not equivalent to that of an older adolescent or adult. Such findings cast doubt on the culpability and competency of early adolescents to participate in the criminal process” The evidence internationally is overwhelming, and from the United Kingdom and from this House. There is extensive evidence from neuroscientists, psychologists and psychiatrists demonstrating the developmental immaturity of young children. The Royal College of Psychiatrists has expressed the view, based on evidence, that our age of criminal responsibility is too low While a 10 year-old might know that stealing something is wrong, their ability to apply that knowledge to their actions will be very different from that of an 18 year- old. This does not mean that children aged 10 or 11 have no responsibility for their actions, but on any reasonable interpretation of the evidence, they must be regarded as less responsible than an older adolescent or an adult The age of criminal responsibility is an anomalous exception. In relation to the age of consent for sexual activity, for example, we regard any purported consent as irrelevant in order to protect children from abuse or immature sexual experimentation. It is completely illogical that we regard immaturity in this context as worthy of protection by law but take a diametrically opposite approach when it comes to criminal responsibility. The illogicality of our current law is increasingly recognised. The Law Commission concluded last year that the age of criminal responsibility is not founded on any logical or principled basis The fact that the numbers involved are relatively small is a strong argument for this amendment. It means that it will not be a huge burden on resources to make alternative provisions through welfare interventions; nor would dealing with these children through non-criminal processes put the public at risk Children who are officially labelled as offenders often react by trying to live up to the label and acting in increasingly delinquent ways to achieve status in front of their friends. While the numbers are low, the resources needed to execute a shift towards treating these vulnerable children through a welfare lens, rather than a criminal justice one, would be small, and the positive benefits for them and for wider society considerable Even though some changes have been made to court processes involving children, it remains true that exposing young children to a criminal trial is no way to achieve justice. This is a short amendment but its recommendation, if implemented, will change the shape of our criminal justice system for our children.
ParlaMint-GB_2021-11-17-lords.u15	My Lords, I strongly support this amendment, as I have supported the PMBs on this from the noble Lord, Lord Dholakia, over recent years. The reasons for raising the age by the—goodness knows— modest enough margin of two years, from 10 to 12, are cumulative and compelling. If there is any objection to this amendment, it is that it does not go far enough, but I do not make that objection I have three reasons for supporting this. First, a 10 year-old’s mental capacities are not comparable to those of an older adolescent or adult. The noble and learned Baroness, Lady Butler-Sloss, has made these points about maturation, and I will not repeat them Secondly, criminalising these youngsters while they are still developing their identities and character and growing socially and emotionally is deeply damaging to their self-esteem and future prospects. Brand a child of 10 or 11 a criminal and that is how he will come to see and identify himself, and so he will behave in future. The subsequent criminal records of those who have been thus branded bear this out. Their records attest to it Thirdly, whatever their wrongdoing and however grave—to call it criminal is of course to beg the question—they will be dealt with in the same basic way whether they are convicted under the criminal justice system or dealt with through corrective welfare processes. If they need to be detained securely, they will be. The necessary measures can be imposed whichever route is taken, whether they are prosecuted as criminals or treated as however gravely miscreant children requiring correction. The public will not suffer if in future they are recognised as children who have done something dreadfully wrong rather than wicked criminals. On the contrary, the public will benefit. These children are more likely to lead law-abiding lives in future if we change our system at last It is high time to banish the long shadow of the tragic Bulger case—it has already been mentioned today—that, alas, is still cast and obscures the realities and common sense on this issue.
ParlaMint-GB_2021-11-17-lords.u16	My Lords, I also rise to support Amendment 220. When I was chairman of the Commission on Justice in Wales, we looked at this issue and had extensive evidence, including from the Children’s Commissioner for Wales. Without hesitation, we recommended that, were it free to do so, Wales should raise the age of criminal responsibility to 12, consistent with United Nations obligations it has untaken I agree completely with what has been said about the profound changes in the understanding of mental capacity that have taken place over the last 10 years in particular. I urge the Government not to delay any further a change to make our country no longer a laggard on this issue but one that is at least catching up. There are problems, such as knife crime, but the age of criminal responsibility is not the way to deal with them.
ParlaMint-GB_2021-11-17-lords.u17	My Lords, it is very good to see the Committee refreshed and to have the opportunity to meet earlier in the day, so I thank the powers-that-be for making this possible.
ParlaMint-GB_2021-11-17-lords.u18	My Lords, I rise to speak in place of my noble friend Lady Bennett, who has tabled Amendment 221. As the noble Baroness, Lady Chakrabarti, said, it is perhaps a softer option that your Lordships might find acceptable I strongly support the amendment in the name of the noble Lord, Lord Dholakia, and the noble and learned Baroness, Lady Butler-Sloss. The only qualm I have about Amendment 220 is that it sets the age at 12 and not 14. Quite honestly, we treat our children in the criminal justice system absolutely abysmally, with demonstrably disastrous results and a recidivism rate of 40% within a year. This demonstrates that the courts are not working to address the issue of these children. As we have already heard, the Children’s Commissioner has described the youth justice system as “chaotic and dysfunctional”, and the children caught up in it are disproportionately from ethnic minority communities We are world leading in the awful way in which we treat children. At 10, we have the lowest age in Europe—far below the suggestion from the UN Committee on the Rights of the Child of a minimum appropriate age of 14. That is the average across European countries, but even China and Russia—where the UK rightly often has cause to point out human rights abuses—have higher ages of criminal responsibility than we do. And we do not have far to look—we can go to Scotland to see exactly what happens there. There the age is 12, and I would prefer it to be 14 This is not a moral question but a scientific one. Children’s brains do not develop as quickly as people might think. Children below the age of 14 are still developing the capacity for abstract reasoning. Their frontal cortex is still developing; therefore, they are unlikely to understand the impact of their actions. I think there is some political will in Westminster to take this evidence on board and, to use a phrase so loved by the Government, “level up” our youth justice legislation. In 2020, the Justice Committee recommended that the Ministry of Justice review the minimum age of criminal responsibility. Unfortunately, the Government seem to have chosen once again to renew their ideological commitment to being tough on law and on youth crime, even when it is committed by children. This is not an acceptable status quo either on human rights or on scientific grounds. Children are being failed by antiquated government standards. This is an outrage, and reform is needed If the Government cannot accept Amendment 220—which they absolutely should—Amendment 221, in the name of my noble friend Lady Bennett, might be a soft option. Both she and I hate putting softer options to the Government, but, in this case, it might work. It would ensure a legally binding commitment on the UK Government to at least consider whether our abnormally low age of criminal responsibility is tenable, given international norms and expert opinion. My noble friend Lady Bennett would, of course, be happy to discuss a revised text for Report. Personally, I would tough it out and potentially vote for Amendment 220 and for our Amendment 221.
ParlaMint-GB_2021-11-17-lords.u19	My Lords, I apologise to the noble Baroness who has just spoken. It is a pleasure, on this occasion at least, to follow her. I do not necessarily agree with some of the language she used. I do not feel a sense of outrage about this issue. I feel shame and sadness and I agree strongly with the speech of my noble and learned friend Lady Butler-Sloss, and other noble Lords who have spoken on this issue The noble Baroness, Lady Jones, used the term “outlier”. That is what I had scribbled down on the piece of paper in front of me. We are the outliers on this. As the noble Baroness said, in Russia the age of criminal responsibility is much higher. Indeed, the general age of criminal responsibility there is 16, with 14 for exceptionally serious offences. I have visited a number of countries in central and eastern Europe and looked at the way in which young children who have committed serious offences are dealt with, and I do not notice a higher level of disorder in a single one of these countries. I do not know any country with a higher age of criminal responsibility in which children roam the streets committing crime to a greater extent than—very occasionally, fortunately—happens here, and I can see absolutely no empirical reason for turning down this amendment I have also observed how children behave when they are sent to Crown Courts. I am happy to note that far fewer children are being dealt with in Crown Courts than used to be the case and that the Crown Prosecution Service is being much more sensitive than it used to be at one time as regards the joinder of children with adults in Crown Court trials. The CPS has recognised that, wherever it is possible, children should be dealt with in the youth court. That has led to a reduction in the number of Crown Court trials.
ParlaMint-GB_2021-11-17-lords.u20	My Lords, perhaps I may begin by saying that I support Amendment 220. I endorse it completely and have nothing further to say on it. Noble Lords have spoken with great eloquence and force. As the noble Baroness, Lady Chakrabarti, has explained, my Amendment 221ZA, is a probing amendment designed to correct the terms of a subsection in Amendment 221 in case that amendment goes forward and the Government are interested. Let me explain I should say at once that Amendment 221 is, in principle, good. If accepted, it would require the Government to carry out a review of the age of criminal responsibility. I have no argument with that whatever. The issue that I raise is with the list of factors to be considered by any such review and, in particular, the use of the word “gender”. The right word there should be “sex”. The requirement in Amendment 221 is that the review should take into account certain factors. It can take other factors into account, but the following are mandatory: “age, gender and ethnic background” My focus is on gender. Those noble Lords who sat through the important debate on Monday night will have heard lengthy discussion of those terms and their use in legislation. I will come back to that When I drafted my amendment rather hurriedly on the Thursday, I focused on the terms in the Equality Act. Why I did so will become obvious in a moment. I used too many words; I just lifted other factors in order to include them. I am now satisfied that the only proper course is to remove the term “gender” and substitute that with “sex and gender reassignment”. The cohort, if the review were to take place, will be those under 18 and, for the large part, those materially younger. One could call them children. Importantly, “sex” is established in statute and describes physiology. It is not a social construct. It is easily identified, and is listed and defined, as I shall explain, in the Equality Act. It should be noted that “gender” is not so defined. I say that for noble Lords who were not here on Monday or have not studied the Act in detail Section 11 of that Act states: “In relation to the protected characteristic of sex … a reference to a person who has a particular protected characteristic is a reference to a man or to a woman; … a reference to persons who share a protected characteristic is a reference to persons of the same sex. ” There is further elaboration in Section 212, which defines “man” and “woman”—in other words, the terminology that has just been explained. It states that, “ ‘man’ means a male of any age … ‘woman’ means a female of any age. ” There we have it all clearly defined. Sex is a physiological condition and, importantly for the purposes of a review, it is an objective fact, not someone’s opinion. It is not what someone identifies as. We are talking here about people under 18, usually those much younger. Also, we all know that sex is registered at birth. It is on the birth certificate In the case of a small number of people who are under 18 and may fall within the ambit of the review, there may be those to whom the term “gender assignment” will apply. They will be few, but if that does apply within the meaning of the legislation, that, too, will be a fact, not an opinion. That is because gender reassignment is also a protected characteristic under the Equality Act. Section 7(1) of that Act defines gender reassignment as follows: “A person has the protected characteristic of gender reassignment if the person is proposing to undergo, is undergoing or has undergone a process (or part of a process) for the purpose of reassigning the person's sex by changing physiological or other attributes of sex. ” So gender reassignment likewise refers to a physiological process and does not include mere self-identification or opinion. Lastly, in case anyone were to ask, “What about gender recognition certificates? ” , they simply do not apply. One cannot have one of those if one is under 18. I say that so that everyone knows where we are Put simply, if there is to be such a review, the mandatory—if that is the right word—considerations should be age, sex, gender reassignment and ethnic background, but not gender. I commend this approach and await with interest the Minister’s response.
ParlaMint-GB_2021-11-17-lords.u21	I should say briefly in the absence of the noble Baroness, Lady Bennett of Manor Castle—perhaps it is not my place to do so because it was her amendment that I signed—that I should thank the noble Lord, Lord Sandhurst. We have been using various terms in Committee, but on this occasion he must be right. If one were considering children under 18 in the context of a review of the age of criminal responsibility, it would be a glaring omission to include “gender” instead of “sex” in the legislation Sometimes it may be appropriate to use both terms, and I supported that position on Monday in the particular context of a different amendment about hostility towards people. What I tried to suggest, and which Twitter does not reflect, is that hostility can be towards people in broader categories than those protected under the Equality Act. I would not want someone to be subjected to violent hostility, even on grounds that are not currently in the Equality Act, because they were non-binary or whatever. That is not really the point in this context. If I may say so, the noble Lord, Lord Sandhurst, put it very well What is more, I hope that the noble Baroness, Lady Bennett, will forgive me for making that concession, given that this is a probing amendment and her list of factors to be considered in any review was inclusive and not closed. I hope it is helpful to respond to the noble Lord, Lord Sandhurst, in this way.
ParlaMint-GB_2021-11-17-lords.u22	My Lords, I broadly support a rise in the age of criminal responsibility. I think the review is a good idea, and of course it should be science-based. The danger of going for 12 years, which is an improvement, is that it could be higher if only we thought about it well. I would be open-minded on whether it needs to be a matter of law or a government commitment to carry out a review There is just one area which I hope such a review might consider. The Bulger case is often referred to, for obvious reasons. Hard cases can make very bad law; we are aware of that. But I do think that that type of case imposes a duty on government to consider people’s concerns. There are two concerns that people might have if they lived in the area. One is where the child would live on return to society. That could be covered through care proceedings—you can control where someone lives and who they live with. The second is their occupation. If, at the age of 18, the murderers were released—as they were in the Bulger case—and wanted to go into childcare, or any of the care professions, would people be content with that? There would at least be a question about whether that would be wise. If they only have a care proceeding against them, they would be perfectly entitled not to declare what they were involved in at the age of 10. My point is not that they should be criminalised and therefore always carry that with them, but about how you manage their occupation, subsequent to their reaching an adult stage. It can be managed without criminalisation, but such a review might want to consider how that could be done most efficiently.
ParlaMint-GB_2021-11-17-lords.u23	My Lords, I am constantly amazed by the persistence of this generally civilised country in being willing to treat children of 10 and 11 as criminally responsible The noble and learned Baroness, Lady Butler-Sloss, my noble friend Lord German, the noble and learned Lord, Lord Brown of Eaton-under-Heywood, and all other noble and noble and learned Lords who have spoken have made the argument persuasively and on the basis of the scientific, social and international evidence. I say no more about the strength of the evidence The noble and learned Baroness, Lady Butler-Sloss, also pointed out the degree to which government inaction on this issue has been based on public prejudice and the Government’s pandering to it. Bluntly, that is moral cowardice, not leadership. Many of us find it unbelievable that, uniquely in western Europe, our children of 10 and 11 can be treated as criminals, when it is entirely clear that they lack the psychological maturity that is appropriate for any legitimate view of criminal responsibility. Why did change come successfully to Scotland and yet the Government seem unprepared to make it here I pay tribute to my noble friend Lord Dholakia, who has campaigned tirelessly on this issue for many years. I know he will have been most disappointed to have been unable to attend to speak today. But the House has fully recognised in this debate his commitment and his major contribution on this issue, and we will wish to send him our good wishes for a full and swift recovery Amendment 221A in my name and that of my noble friend Lord German has a different purpose. It is to pursue the worthwhile goal of diverting young offenders away from the criminal justice system and towards alternative methods of encouraging them to avoid offending. Youth offender teams have been established since 1998 and have as their function helping young offenders under 18 under supervision of the Youth Justice Board. Central to their function has been to establish services within their local communities to help prevent offending and reoffending. They have a wide remit that permits them to organise a range of activities in an effort to keep young people away from crime. Sometimes this involves involving young people in a form of restorative justice by bringing them into contact with their victims and helping them to organise reparation where it is thought that might help the offender and be accepted by the victims. Among their functions is to help supervise community sentences for young people. Our amendment is designed to help youth offender teams fulfil their function by diverting young people within their area away from the criminal justice system.
ParlaMint-GB_2021-11-17-lords.u24	My Lords, I rise to speak briefly to Amendment 221B in my name, which is a probing amendment on the need for a review of youth sentencing. I would also like to refer to my interests as set out in the register I appreciate that this is a very extensive Bill, and as a former member of the Youth Justice Board and a youth magistrate I note that there has been little reference to the youth courts. It would be a real opportunity lost not to commit to undertake a review of youth sentencing, especially with the ever-evolving criminal justice landscape As I mentioned on Second Reading, I have several concerns relating to youth sentencing, and one in particular that I would like to refer to today, which is the unfairness in the treatment of the jurisdiction of young offenders under 18 years of age with regard to the dates of the offence and their first court appearance. Simply put, young people who commit an offence as a child but are then not brought to court before their 18th birthday through no fault of their own are treated as adults in the adult courts. However, defendants who do not get to court before their 18th birthday will go to the youth court where they will benefit from all the specialisation and expertise of the youth court, the youth court practitioners and the youth court’s specific focus on the defendant’s needs and welfare It should not be a postcode lottery of where you live due to multiple issues, including court scheduling, that can affect which court you end up in and therefore how you are dealt with. Reforming this now is important, so that defendants are instead dealt with according to their age at the time of the alleged offence, which would mean that youth justice principles would be followed and all defendants would be given the same opportunity and fairness in having access to the youth court services and the support that is so needed to reduce reoffending. We know that the adult court cannot offer the same specialist support as the youth court In February, the MP for Aylesbury, Rob Butler, introduced a 10-minute rule Bill on this issue in the other place, where he outlined how his proposals garnered a wide range of support, not only cross-party support but support from key stakeholders and organisations including the YJB, the National Association for Youth Justice and the Magistrates’ Association. There seems to be no common sense or fairness that these young people are treated so differently The Covid-19 pandemic has thrown up challenges and, in turn, some positive innovation in youth justice. At the same time, there remain outstanding anomalies in youth sentencing that pre-date the pandemic; I have spoken about some of those issues before in this place, and again today. All taken together, surely now is the right time to commit to a wide-ranging review and for the Government to bring forward a report. In doing so, not only can we address and meet future challenges, and keep under review the innovation we have seen, such as the use of video linking, to ensure that it results in the intended outcomes; importantly, we can also help to address the historical anomalies in the system that existed well before Covid-19 I look forward to hearing from my noble friend the Minister and hope that he will consider this review, which I hope will help to deliver and improve outcomes in youth justice.
