ParlaMint-GB_2021-11-04-commons.u1	1. What progress he has made on establishing a national headquarters for Great British Railways.
ParlaMint-GB_2021-11-04-commons.u43	I thank my right hon. Friend—a former Transport Minister—for his question. That is absolutely the case. One of the best gala dinners I have ever attended was the “cycle to rail” gala dinner, where awards were given for the best schemes of that kind. We are investing a huge amount of money in new, secure cycle parking around the country, and I went to see some of it not so long ago in the great city of Hull.
ParlaMint-GB_2021-11-04-commons.u44	8. What recent assessment he has made of the potential merits of the airspace modernisation proposals for Glasgow airport.
ParlaMint-GB_2021-11-04-commons.u45	Glasgow airport is engaged in the airspace modernisation programme, and is working with the Civil Aviation Authority and the Airspace Change Organising Group to develop its proposals.
ParlaMint-GB_2021-11-04-commons.u46	With COP26 kicking off this week, the environmental impact of flying is at the forefront of many attenders’ minds. What assessment has the Minister made of the environmental benefits of potential airspace changes?
ParlaMint-GB_2021-11-04-commons.u47	UK airspace is among the most complex in the world, but it has not been modified significantly since the 1950s. Airspace modernisation will enable us to have more direct, quicker, quieter and cleaner journeys, and will harness new technologies such as performance-based navigation. As set out in the “Jet Zero Consultation”, the Department’s analysis shows that “Moving to best-in-class aircraft, operations and airspace modernisation could deliver 25-36% of CO² savings by 2050”, bringing benefits not only for the hon. Lady’s constituents but for the whole United Kingdom.
ParlaMint-GB_2021-11-04-commons.u48	Is my hon. Friend aware that Rolls-Royce is now developing an aviation jet engine that will run on 100% sustainable fuel? When that happens, will it not show that flying can be not only fun but clean?
ParlaMint-GB_2021-11-04-commons.u49	My hon. Friend is absolutely right. I am aware of that engine that is being developed; in fact, I believe that my right hon. Friend the Secretary of State went to see it only this week. There are a number of exciting technologies with new aerospace advancements including sustainable aviation fuel that will deliver precisely the guilt-free flying that my hon. Friend refers to.
ParlaMint-GB_2021-11-04-commons.u50	We have an analogue airspace system in the digital age; the Minister is right in what he says. With the better ascents and descents of planes and the elimination of holding patterns, we will not only improve noise abatement but cut carbon emissions by up to 26%, as he rightly said. This is the lowest of the low-hanging fruit when it comes to the climate crisis, so can the Minister tell us what he is personally doing and how he is talking to the industry to unlock the funding we need to enable this programme to continue?
ParlaMint-GB_2021-11-04-commons.u51	The hon. Gentleman is quite right. There are a number of aspects to decarbonising aviation. There are the existing efficiencies as well as sustainable aviation fuel and the £180 million that we have recently announced on that. Then there is the longer-term but still rapidly advancing technology that was referred to earlier. He is also quite right to talk about airspace modernisation, and the Air Traffic Management and Unmanned Aircraft Act 2021, which was put through in the last Session, was a major part of that. It gives the Government extra powers. After the pause that took place during covid, we have given £5.5 million for the future airspace strategy programme, which is taking place as we speak.
ParlaMint-GB_2021-11-04-commons.u52	9. What steps he is taking to improve rail services.
ParlaMint-GB_2021-11-04-commons.u53	We are reforming rail guided by the “Great British Railways: Williams-Shapps plan for rail” White Paper. This will improve services for passengers and drive taxpayer value for money at the same time.
ParlaMint-GB_2021-11-04-commons.u54	After many years of waiting, we have seen the electrification of the Manchester to Liverpool and Manchester to Preston railway lines. We are now looking forward to the electrification of the line between Bolton and Wigan. Can my hon. Friend confirm that this is going to go full steam ahead?
ParlaMint-GB_2021-11-04-commons.u55	No, we want electrification on that line!
ParlaMint-GB_2021-11-04-commons.u56	Stepping back in time at the Dispatch Box, Mr Speaker. Steam is not necessarily an option for that particular line, but I am pleased to confirm that on 1 September this year, £78 million to electrify the route between Wigan North Western and Bolton was announced. It will enable greener electric trains—rather than Thomas the Tank Engine—to run along that route, with more seats to serve passengers across Greater Manchester. The scheme is on track and targeted for completion by 2024.
ParlaMint-GB_2021-11-04-commons.u57	In Bath, we are still waiting for the full electrification of our lines, so perhaps the Minister will take that on board too. The direct line from Oldfield Park station in Bath to London Waterloo will be cancelled in December. Will the Minister reconsider these service cuts, which will make travel into south London nearly three times more expensive for my constituents and force them to use the underground while covid cases are rising?
ParlaMint-GB_2021-11-04-commons.u58	On the hon. Lady’s last point, using the underground—and other trains—is one of the safest methods of transport in the covid pandemic. I believe that the air on the underground is exchanged every three minutes, and on trains every six minutes. They are perfectly safe. She referred to the consultation that has just finished on South Western Railway services, and she is quite correct: passenger numbers on that service are remarkably low. I will happily meet her to go through that, and we can talk about how we can improve those services.
ParlaMint-GB_2021-11-04-commons.u59	10. What recent discussions he has had with the Home Secretary on ensuring that the statutory fees for roadside rescue and recovery are set and distributed in an equitable manner to ensure the long-term viability of that sector.
ParlaMint-GB_2021-11-04-commons.u60	The Home Office is currently considering responses to a targeted stakeholder consultation on the level of statutory fees for vehicle recovery.
ParlaMint-GB_2021-11-04-commons.u61	I thank the Minister for that response. The fees paid to the often family-run businesses that provide this service have not risen since 2008, and there are cases of operators receiving less than 50% of the statutory fee. This is both unsustainable and unethical. Will my hon. Friend work with her counterparts in the Home Office to put in place arrangements that properly ensure the long-term viability of this industry, thereby keeping our roads safe?
ParlaMint-GB_2021-11-04-commons.u62	Absolutely. The Home Office is reviewing the responses to the consultation on the level of statutory fees for vehicle recovery. The purpose of the consultation is to gather evidence to ensure that fees are adequate to meet the current costs and operational needs of a sustainable vehicle recovery service. I welcome my hon. Friend’s keen interest in this area, and I will work alongside our colleagues in the Home Office as we progress this necessary update.
ParlaMint-GB_2021-11-04-commons.u63	11. What plans he has to visit the Rhondda tunnel.
ParlaMint-GB_2021-11-04-commons.u64	As I said at the last Transport orals, I would be happy to visit when time allows.
ParlaMint-GB_2021-11-04-commons.u65	I hope it will be very soon because, frankly, the harness is ready. The mines rescue service is ready to dangle the Secretary of State down a hole, and I will be right behind him On a serious point, the Rhondda railway tunnel is a disused tunnel that is 3,443 yards long. It belongs, oddly, to Highways England, so it is the Secretary of State’s responsibility. If we are able to reopen it as a cycle path, as many people hope, it would be the longest cycle path in Europe. It would be a major local attraction, which would be good for tourism and jobs in an area of outstanding beauty that unfortunately has terrible financial deprivation. The Secretary of State is welcome.
ParlaMint-GB_2021-11-04-commons.u66	I did a bit of research following our last exchange at the Dispatch Box, and it transpires that National Highways owns the tunnel at the moment. I would be happy to transfer it to a local group, the Welsh Government or the local council, with money for the purpose. The hon. Gentleman is welcome to take that up, and I look forward to taking up his offer of a harness at some time in the future when I can see it fully open.
ParlaMint-GB_2021-11-04-commons.u67	12. What steps his Department is taking to decarbonise the UK’s transport network. [R]
ParlaMint-GB_2021-11-04-commons.u68	Our world-leading transport decarbonisation plan sets out how transport will be cleaner and greener, leading to healthier communities and supporting tens of thousands of jobs.
ParlaMint-GB_2021-11-04-commons.u69	I refer the House to my entry in the Register of Members’ Financial Interests It is a world-leading plan, and there is so much going on in the rail industry. As the Secretary of State well knows, cars are still the biggest emitter and the biggest contributor to air pollution. The key is switching to electric vehicles and hybrids. What is his Department doing to encourage local authorities to put up more charging points so the inflection point can happen sooner?
ParlaMint-GB_2021-11-04-commons.u70	My hon. Friend is right. As the House is bored of hearing, I have been driving an electric car for the past two and a half years, and they are fantastic. People need to be convinced that they will be able to fill up and add energy when required, which is why we have put £2.5 billion into the process not just for grants for those cars but for the infrastructure itself My hon. Friend will be interested to hear that yesterday I was looking at a new design that will be unveiled at COP26 next week for an iconic electric charger that I hope will one day be as familiar as the black taxi, the red phone box and many other iconic street items in order to encourage that move.
ParlaMint-GB_2021-11-04-commons.u71	With COP under way, the Government should be sending the strongest signals on transport decarbonisation. On the one hand we have the chief scientific adviser telling people to fly less, as did a report from the nudge unit that the Government quickly deleted and suppressed, but on the other hand the Chancellor is cutting air passenger duty on domestic flights and the Prime Minister flew back from COP on a private jet for a supposedly urgent appointment that turned out to be a dinner for Telegraph journalists. Does the Secretary of State agree with the chief scientific adviser, or does he agree with the Chancellor and the Prime Minister? He cannot do both.
ParlaMint-GB_2021-11-04-commons.u72	I will tell the hon. Lady who I do agree with: the Climate Change Committee. She may not be familiar with this, but it has said that its “overall assessment” is that our net zero strategy, launched this week at COP26, is “ambitious and comprehensive”. On the transport element specifically, the CCC says that it is very positive, rating our plans for transport decarbonisation as the highest in terms of planning; ours is the only sector with good plans and the funding, with incentives. So I hope she will accept that when it comes to transport we are doing everything we can.
ParlaMint-GB_2021-11-04-commons.u73	The net zero strategy and the transport decarbonisation plan are full of climate buzzwords but are not backed up by the required investment. We have already heard about the paucity of active travel funding in England, but let us look at another area—buses. The Prime Minister boasted about his 4,000 green bus pledge, but that represents just 10% of the English bus fleet, whereas the Scottish Government have committed to helping fund 50% of our fleet—the equivalent of 20,000 buses. When will this Government’s ambition and investment match their rhetoric?
ParlaMint-GB_2021-11-04-commons.u74	The hon. Gentleman points out the wonders of the Barnett formula, which allows our record-breaking funding of electric buses, which the Prime Minister has led, to be carried over into Scotland, where that money is able to be used in a way that is helpful. This does not get around the fact that, as we all remember, the Scottish Government have failed to meet their own carbon reduction targets. So I suggest he looks closer to home before criticising the enormous amounts of money coming through the Barnett formula.
ParlaMint-GB_2021-11-04-commons.u75	We now come to Question 13, and, once again, the Member of Parliament cannot access the House to represent democracy and his constituents. Once again, these people are blocking democracy, and the fact that Members who are actually trying to talk about these issues are being blocked from doing so is totally counterproductive. So what I would expect is for the Minister to answer Question 13, please.
ParlaMint-GB_2021-11-04-commons.u76	13. Whether he has plans to re-evaluate the carbon cost of a third runway at Heathrow Airport.
ParlaMint-GB_2021-11-04-commons.u77	I agree entirely with you, Mr Speaker, and observe that it is not only ironic, but totally counterproductive that a Member of Parliament who wished to ask Ministers about carbon is prevented from doing so by protesters purporting to care about carbon. I will do my best to answer my hon. Friend’s question, anticipating what he might have asked. I anticipate that he would have asked me, on behalf of his constituents in Windsor, about Heathrow expansion. He would have expanded on the carbon cost of a third runway, which is what is set out on the Order Paper. Of course, Heathrow expansion is a private sector project, which will need to meet strict criteria on air quality, noise and climate change. He is right to raise those questions. Clearly, the aviation sector has a big part to play in delivering the UK’s net zero commitment. Were he here, I would hope to be able to reassure him that we are continuing, through technology and aviation, to look for ways to reduce the carbon footprint of aviation, to ensure that we can transition to guilt-free flying. We will be setting out the final jet zero strategy early next year, which will show how we can support the benefits of air travel and the opportunities that aviation decarbonisation can bring to the UK. I say to the whole House and to everyone who is concerned about this issue that it is emissions, not flying, that is the problem.
ParlaMint-GB_2021-11-04-commons.u78	14. What recent discussions he has had with Cabinet colleagues on the ongoing shortage of heavy goods vehicle drivers.
ParlaMint-GB_2021-11-04-commons.u79	I regularly meet my ministerial colleagues, and together we have implemented 28 measures to alleviate the HGV driver shortage. So far, these measures are resulting in an extra 1,000 applications every week.
ParlaMint-GB_2021-11-04-commons.u80	The Prime Minister was warned of this crisis way back in June, but it took until last month for there to be a paltry offer of 5,000 temporary visas, to fill 100,000 vacancies. The Government recently told the Select Committee on Transport that this crisis was going to last until the end of 2022—that is more than one whole year of empty shelves, port backlogs and rising prices. This is unacceptable incompetence. What is the Government’s plan to end this now?
ParlaMint-GB_2021-11-04-commons.u81	First, it is important to set this in context. This is a global issue. I met my German counterpart here in Parliament just yesterday and it is estimated that by 2027 Germany will have a shortage of 185,000 HGV drivers. We have been taking action, and not just in the past few weeks, as the hon. Lady suggests; since I became Secretary of State, I have launched 28 measures, which are having a real impact. I mentioned that 1,000 more people are becoming lorry drivers each week—or, rather, are having their applications for a provisional signed through. We have actually got 1,000 a day applying for those forms, so we are starting to see those numbers come through. The Opposition leader tells us what his solution is, which is to issue 100,000 visas, which would completely undercut our own lorry drivers and take us back to square one.
ParlaMint-GB_2021-11-04-commons.u82	15. What steps he is taking to support investment in the East Birmingham tram line.
ParlaMint-GB_2021-11-04-commons.u83	Thanks to our hard-working Mayor, Andy Street, diggers are in the ground for the very first part of the East Birmingham tram line, to Digbeth from the city centre. We just awarded, in the spending review, over £1 billion to the West Midlands for transformative projects such as this, and I am sure the right hon. Gentleman will give all his support to our Mayor in the delivery of this important levelling-up priority.
ParlaMint-GB_2021-11-04-commons.u84	Last week’s Budget was a step forward, but if we strip out the re-announced money, we see that it was actually £1 billion less than the Mayor asked for. That shortfall jeopardises our potential to build the 8-mile tram line through east Birmingham, so will the Minister meet me and other Members from east Birmingham so that we can explain to him the cross-party ambition to build the line? We cannot connect what are the poorest communities in the country with the wealth created by High Speed 2 without the tram line, and we cannot level up what is, in effect, the fifth-biggest city in Britain without it.
ParlaMint-GB_2021-11-04-commons.u85	The Minister responsible for trams, my hon. Friend Baroness Vere, would be happy to meet the right hon. Gentleman to discuss that and other local priorities. He will be aware that the £1 billion announced in the spending review is only one part of the transport investment that is going into the region. I hope that more good news will be announced for the West Midlands as part of the upcoming integrated rail plan.
ParlaMint-GB_2021-11-04-commons.u86	T1. If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2021-11-04-commons.u87	Mr Speaker, you have rightly highlighted the Insulate Britain protests outside the House that are preventing Members from getting into the Chamber, which is completely unacceptable. I therefore thought it would be helpful to update the House: following my requirement that National Highways seek injunctions against the protesters, 475 injunctions have been served to protesters at their homes for contempt of court, of which 32 are due to come to court, nine of them later this month When it gets to the point that protests against climate change prevent Members of this House from getting here to hold Ministers to account and be heard, it is clearly counterproductive. Contempt of court can lead to unlimited fines and prison sentences. We will act through the Police, Crime, Sentencing and Courts Bill to resolve the gap in the law that has led to this situation.
ParlaMint-GB_2021-11-04-commons.u88	Five years ago, Sheffield looked as though it was going to benefit from a whole range of levelling-up measures for rail infrastructure, but then the electrification of the midland main line was abandoned in 2017; a positive 2016 report on a new road tunnel between Sheffield and Manchester seems to have lain in the bottom of some ministerial drawer since; and the high-speed rail line between Sheffield and Manchester seems to have become an upgrade to the Hope Valley line which, however welcome, means that trains will get to the very high speed of under 60 mph. The one thing we have left is the eastern leg of High Speed 2. Will the Secretary of State now commit to that eastern leg going ahead? Or is this simply another example of Sheffield being not levelled up but, together with whole parts of the east midlands, being forgotten about and left behind?
ParlaMint-GB_2021-11-04-commons.u89	I am disappointed by the hon. Gentleman’s lack of ambition. He says that only the east midlands line is left; he is wrong: there are still other upgrades to be considered, such as the midland main line and many others. I am afraid he will have to wait for the integrated rail plan, but I think he will be excited when it is delivered.
ParlaMint-GB_2021-11-04-commons.u90	T3. The Mayor of London is making cuts to seven bus routes in my constituency and has halted the upgrade to South Kensington tube station, at the same time as he has increased the congestion charge to £15 a day for my constituents. Does my right hon. Friend agree that this reeks of financial incompetence on the part of the Mayor and Transport for London?
ParlaMint-GB_2021-11-04-commons.u91	I think you might get a favourable answer here.
ParlaMint-GB_2021-11-04-commons.u92	You will not be surprised, Mr Speaker, to hear me say that my hon. Friend is absolutely on the nail. She has listed a litany of problems that the Mayor has created; I shall add to it. She did not mention the 31% increase in council tax for her constituents through the mayoral precept. Also, the Mayor is now considering bringing in checkpoints for anybody driving into London: it would cost £1,000 a year for non-Londoners at checkpoint Chigwell and elsewhere around the capital. It is completely unacceptable and we will fight it all the way.
ParlaMint-GB_2021-11-04-commons.u93	May I begin by sending my thoughts and prayers to those injured in Sunday’s train crash, particularly the badly injured train driver, and, of course, I pay tribute to the emergency responders The British people are looking for leadership on climate change. The Budget was the clearest indication yet that the Government lack ambition, urgency and commitment after a wearying 11 years in power. The Government saw cuts to domestic aviation taxes, yet baked in inflation-busting rail fare increases and did nothing to reverse the rapid decline in bus use. Of the 4,000 new zero-carbon buses promised by the Prime Minister two years ago, not a single one is yet on the road. The roll-out of electric charging points is sluggish, and, today, there are 1 million more diesel vans on the road than when the Government came to power. So, next week, when Transport Day meets at COP26, what will change?
ParlaMint-GB_2021-11-04-commons.u94	I note that the hon. Gentleman is not listening to the Committee on Climate Change. I will not repeat its quote, but it did say that the transport sector and our plans are particularly world leading. We have actually reduced greenhouse gas by a quarter since we came to power. We are the first country in the world, as he well knows, to legislate for net zero by 2050. In the Budget, we announced another £620 million for that transition to zero-emission vehicles and £180 million for sustainable aviation fuel. The plan that Labour is proposing—and I notice that the GMB union that supports it is proposing—is to stop people from flying, or to allow them to go on holiday only once every five years, and to prevent them from using their cars. [Official Report, 16 November 2021, Vol. 703, c. 4MC. ]
