ParlaMint-GB_2021-09-23-commons.u1	I congratulate the new Minister on his appointment, and call Alistair Carmichael.
ParlaMint-GB_2021-09-23-commons.u35	My hon. Friend is absolutely right, and the declaration particularly focuses on new entry routes for professionals from outside Government, encourages new entrants with specific high-demand skills, particularly scientists, and develops a pipeline of secondments into and out of the civil service, very much addressing the point he rightly highlights.
ParlaMint-GB_2021-09-23-commons.u36	5. What recent discussions he has had with Cabinet colleagues on the potential effect of proposed voter ID requirements on voter turnout in general elections.
ParlaMint-GB_2021-09-23-commons.u37	18. What discussions he has had with Cabinet colleagues on the potential effect of the introduction of voter ID on levels of enfranchisement.
ParlaMint-GB_2021-09-23-commons.u38	Mr Speaker, I add my congratulations about Chorley. I look forward to seeing your cameo appearance on “Coronation Street”, perhaps with Speaker Pelosi Following his appointment, the Secretary of State for Levelling Up, Housing and Communities is now responsible for this policy. As I think the hon. Member for East Renfrewshire (Kirsten Oswald) knows, in Northern Ireland there has been a requirement for photographic identification at polling stations since 2003, and it operates with ease and is a proven and effective way of tackling fraud. It has improved voter confidence in Northern Ireland, and everyone who is eligible to vote will continue to have the opportunity to do so.
ParlaMint-GB_2021-09-23-commons.u39	According to the Electoral Reform Society, around 2.1 million people risk not being able to vote in a general election due to not having recognisable photo ID. The Government’s own data shows that significantly fewer people from black and minority ethnic communities are likely to have photo ID. Similarly, it is likely to be a disproportionate barrier for other minority and marginalised groups, including disabled people and homeless people The Paymaster General says his intention is to reduce voter fraud, but in 2019 there was just one conviction in the UK for voter impersonation. Does he not see that needlessly dampening participation in democratic processes by already excluded groups, and at significant cost to the taxpayer, will simply shut down the voices that we should most hear?
ParlaMint-GB_2021-09-23-commons.u40	I am happy to offer the hon. Lady some reassurance. Ninety-eight per cent. of the electorate already own an accepted form of photographic identification, including 99% of black, Asian and minority ethnic electors and 99% of young electors aged 18 to 29. The Electoral Commission’s survey on this matter offers reassurance because the majority of the public say that a requirement to show identification when voting at polling stations would make them more confident, and 66% of people want more confidence in the security of the system. She really ought to read the 2015 Tower Hamlets election court judgment, where she will see the nature of the problem at hand.
ParlaMint-GB_2021-09-23-commons.u41	Geraint Davies. Not here.
ParlaMint-GB_2021-09-23-commons.u42	I strongly support what the Paymaster General has said, and I welcome the team to their positions When I had responsibility for these matters, I visited and spoke to the electoral officials in Northern Ireland, which has had this system for 18 years and where it works perfectly well. People in Northern Ireland are perfectly capable of using it, and I have no doubt that it will be a great success when we roll it out in the rest of the United Kingdom. Frankly, these scare stories are more likely to depress voter turnout than the introduction of voter ID.
ParlaMint-GB_2021-09-23-commons.u43	My right hon. Friend is absolutely right, as usual. Any eligible voter who does not have one of the required forms of ID—and there are very few of them—would be able to apply for a free local voter card from their local authority. As he says, this has been working extremely well in Northern Ireland, which in fact has had an ID requirement since 1985—it is the photographic ID requirement it has had since 2003. So the hon. Member for East Renfrewshire (Kirsten Oswald) is perpetuating scare stories here.
ParlaMint-GB_2021-09-23-commons.u44	Does my right hon. and learned Friend agree that we detect more than a whiff of hypocrisy from Opposition parties, which oppose voter ID but would ask their own members to show ID to attend a meeting to discuss the issue itself?
ParlaMint-GB_2021-09-23-commons.u45	My hon. Friend makes a good point. I understand that the Labour party does make those requirements, not that I have attended Labour conferences of course. May I offer the further reassurance that a wide range of countries, including most European countries, require some form of ID? Canada, France, Germany, Austria, the Netherlands, Switzerland and Norway do. So I have to say that the hon. Member for East Renfrewshire ought to refrain from these repeated scare tactics, which may have a deleterious effect on voter turnout.
ParlaMint-GB_2021-09-23-commons.u46	European countries that do require voter ID often have national ID cards, and if that is the Government’s intention, they should be a little more straightforward about it My question to the Minister is specifically about the human rights aspects of this. The Elections Public Bill Committee has been warned that this policy may be in breach of human rights. It quizzed Gavin Millar QC, who said that there will “inevitably be challenges to this as incompatible with the European convention on human rights”. ––[Official Report, Elections Public Bill Committee, 16 September 2021; c. 109, Q165. ] I draw the Minister’s attention to article 1, protocol 1. What legal advice have the Government had that makes them so sure that this policy is not in contravention of our human rights laws?
ParlaMint-GB_2021-09-23-commons.u47	Of course we do not discuss legal advice, but what I can say is that people also have a human right not to have their votes stolen. In 2019, the Electoral Commission found nearly 600 allegations of electoral fraud. They had to be investigated by the police, and 142 of them were related to alleged voting offences. So this is a problem, and it needs to be dealt with. This was a Government manifesto commitment and we intend to follow through.
ParlaMint-GB_2021-09-23-commons.u48	My question was specifically about how this legislation is compatible with human rights laws, so may I invite the Minister to publish the legal advice his Government will have received in the Library of the House of Commons, so that all Members, especially those on the Bill Committee, which is currently sitting, can be confident that this legislation is not in breach of human rights law?
ParlaMint-GB_2021-09-23-commons.u49	I am very grateful to the hon. Lady for her repeated question, but she well knows that successive Governments, from both sides of the House, do not publish legal advice, and there is a good reason for that. But she can be assured that this Government are very focused on protecting the human rights of all, and that includes those who have been subject to personation, where their votes have been taken by someone else. That is also a human right that we seek to protect, and we will continue to do so.
ParlaMint-GB_2021-09-23-commons.u50	Some 90% of the public think that polling station voting is safe from fraud and abuse, and they are right to think that. Personation, which is the only problem the voter ID provisions of the Elections Bill are designed to address, resulted in a single conviction in 2016, 2017 and 2019, and zero convictions in 2018. Given that up to 3.5 million people may not have suitable ID and that the Government’s pilots confirmed that up to 324,000 people would be denied a vote in a Great Britain election, let me ask the simple question: why are this Government prepared to embark on voter suppression on an industrial scale?
ParlaMint-GB_2021-09-23-commons.u51	I am surprised by the right hon. Gentleman, because it is not just a question of convictions: attempts to commit crimes are also wrongs. We have to focus on reducing the criminality in this area. It is also about voters having confidence that they are not going to be subject to personation and confidence to go and vote because they know there is no interference in the voting system. Some 66%—two thirds and more—of those questioned said that they would like to see increased security around voting. In this day and age, that is increasingly important, and the right hon. Gentleman ought to recognise that, too.
ParlaMint-GB_2021-09-23-commons.u52	On the matter of confidence, the House of Commons Library has rather helpfully told us that half the public think there is inadequate regulation of political party spending and that only 14% think there is transparency around it. The Paymaster General knows perfectly well that there have been concerns about the influence of dark money in the UK electoral system for many years. Why could it be that this Government are planning to suppress the right of ordinary people to vote rather than tackle the real problem of dark money buying influence in the democratic process?
ParlaMint-GB_2021-09-23-commons.u53	These bold assertions have no basis in evidence or reality and have a tendency to do exactly what the right hon. Gentleman claims to seek to avoid, which is to suppress votes. He wishes to focus on a lack of regulation in respect of voting confidence. We seek—our manifesto commitment on this has been, and will continue to be, followed through on—to protect the voting system, and we do that in the same way as has happened in all the countries I have mentioned: by increasing confidence in the system.
ParlaMint-GB_2021-09-23-commons.u54	6. What steps he is taking to help ensure that the use of fire and rehire tactics in (a) the public sector and (b) public funded bodies is not permitted.
ParlaMint-GB_2021-09-23-commons.u55	17. What steps he is taking to help ensure that the use of fire and rehire tactics in (a) the public sector and (b) public funded bodies is not permitted.
ParlaMint-GB_2021-09-23-commons.u56	Public sector bodies and employers are responsible for the management of their respective workforces. The Government have made it clear to all employers, and I wish to do so again now—including to those in the public sector—that the use of threats to fire and rehire people to pressure workers during negotiations is unacceptable.
ParlaMint-GB_2021-09-23-commons.u57	I thank the Paymaster General for his response, but given the increasing prevalence of outsourcing throughout the public sector, where we have seen the creation of a two-tier workforce and a race to the bottom on pay and conditions, does he agree that no company that is found to be using fire and rehire tactics against its workers should be awarded public contracts or be allowed to take over public services in future?
ParlaMint-GB_2021-09-23-commons.u58	I challenge the premise of the hon. Lady’s question. The UK has the best employment rights in the world. This Government have banned the exclusivity clauses in zero-hours contracts, and we introduced the national living wage in 2016 and the right to a day-one statement of rights for all workers in 2020. This Government—this party—are protecting the rights of workers and have established some of the best employment rights in the whole world Nevertheless, the point that the hon. Lady makes is recognised, and we have asked the Advisory, Conciliation and Arbitration Service to look into the matter. We want to ensure that there is clearer guidance to help employers to explore all the options before they consider what one or two have been doing in respect of the fire and rehire policy. We are interested in maintaining and encouraging good employment relations. I cannot be clearer than what I have already said, which is that we think it is unacceptable to pressure workers in such a way during negotiations.
ParlaMint-GB_2021-09-23-commons.u59	I thank the Paymaster General for his response, but during the pandemic I was contacted by many constituents in Vauxhall who were subject to this practice—constituents who had worked for many years for the likes of British Airways and British Gas; constituents whose lives were turned upside-down by the threat that they would lose their jobs. The Paymaster General said that he will put pressure on the organisations involved, but the pressure is not working, so will he give his full support to the private Member’s Bill that has its Second Reading on 22 October and would ban fire and rehire once and for all?
ParlaMint-GB_2021-09-23-commons.u60	I am aware of the private Member’s Bill to which the hon. Lady referred. At this stage, I will say that the Government will respond to that Bill as it passes through Parliament. As I say, we have been clear that fire and rehire should not be used in the way the hon. Lady describes, or as a negotiating tactic, which is why we have asked ACAS to look carefully at the matter and to produce guidance. We will continue to keep the issue under review.
ParlaMint-GB_2021-09-23-commons.u61	I have noticed the change in personnel on the Cabinet Office Front Bench and I would like to welcome all the Ministers to their place today. I also welcome the Prime Minister’s direction on fire and rehire, which is that he does not accept this bullying practice, but when will the Government take action on this? I accept the Minister’s response on ACAS, but this is just not good enough. If the Minister is committed to having good employment practices, what will he do to end this practice of fire and rehire? I reiterate that he can back the private Member’s Bill of my hon. Friend the Member for Brent North (Barry Gardiner), which will see the practice ended by this Parliament.
ParlaMint-GB_2021-09-23-commons.u62	We are keeping the private Member’s Bill of the hon. Member for Brent North (Barry Gardiner) under review. I think the hon. Lady knows that, when it comes to protecting the rights of workers, this Government have been doing just that. I ask her to bear in mind the protected earnings for furloughed workers, the review into how employers can support victims of domestic violence in the workplace, and Jack’s law. There are myriad ways in which we have been protecting workers and their rights. We keep a laser-beam focus on that, and we will continue to do so.
ParlaMint-GB_2021-09-23-commons.u63	8. What recent assessment the Government have made of the effectiveness of the operation of the Northern Ireland protocol.
ParlaMint-GB_2021-09-23-commons.u64	As we set out in our July command paper, the protocol is not meeting its core objectives as it stands; it is causing considerable disruption to lives and livelihoods. That is why we need to find a new balance through significant changes to the Northern Ireland protocol and we are working intensively to that end.
ParlaMint-GB_2021-09-23-commons.u65	Given that both the US and the EU have expressed serious concerns and reservations about the current practical arrangement regarding the Northern Ireland protocol, is the Minister not concerned about this protocol that his Prime Minister negotiated as part of his Brexit plan? The deal may have been oven ready, but did someone forget to turn the gas on?
ParlaMint-GB_2021-09-23-commons.u66	We have tried to operate the protocol in good faith, but the problems are significant and they are growing. The hon. Lady should be concerned about the fact that the Northern Ireland Executive noted that, from January to March, about 20% of all of the European Union’s checks were being conducted in respect of Northern Ireland, even though Northern Ireland’s population is just 0.5% of the EU as a whole. It is unacceptable, and those are the sort of problems on which she ought to focus.
ParlaMint-GB_2021-09-23-commons.u67	9. What steps the Government are taking to increase opportunities for small businesses to bid for Government contracts.
ParlaMint-GB_2021-09-23-commons.u68	We are increasing opportunities for small and medium-sized enterprises in a variety of ways, from transparently publishing contract pipelines to simplifying the bidding process. Those measures are working. The latest procurement figures show that £15.5 billion was paid to SMEs to help deliver public services. That is the highest since records began in 2013 and a £1.3 billion increase on the previous year.
ParlaMint-GB_2021-09-23-commons.u69	Dudley South has many fantastic firms doing innovative work, particularly in world-class advanced engineering, but, too often, the size of Government contracts mean that only a handful of multinationals are able to compete. Will my right hon. Friend do everything that he can to ensure that public procurement contracts are advertised in the smallest chunks possible so that Government and public services can take full advantage of the talents in our SMEs?
ParlaMint-GB_2021-09-23-commons.u70	My hon. Friend raises a very legitimate point, and, in short, yes we will. To encourage the issue he highlights, we require public buyers to divide contracts into more accessible lots, or to explain why they cannot, so that tender requirements can be matched to smaller business specialisms. I know that he is a champion for Dudley South and that is exactly the sort of measure that will help businesses in his constituency.
ParlaMint-GB_2021-09-23-commons.u71	10. What recent assessment his Department has made of the progress of the infected blood inquiry.
ParlaMint-GB_2021-09-23-commons.u72	The Government remain committed to fully supporting the infected blood inquiry. The inquiry maintained pace throughout lockdown, I am pleased to say, and it is making good progress. The hearings restarted this week. The inquiry will continue to hear evidence about blood services and pharmaceutical companies until the end of this year. I take this opportunity to thank the right hon. Lady because I know that she has been doing sterling work in this area, and I wish to commend her for that. Please allow me also to commend my predecessor as Paymaster General, my right hon. Friend the Member for Portsmouth North (Penny Mordaunt), who also worked hard in this area.
ParlaMint-GB_2021-09-23-commons.u73	I welcome the Minister to his new post. May I also join him in thanking the previous Paymaster General, the right hon. Member for Portsmouth North (Penny Mordaunt), for all that she did to ensure that the cause of those infected and affected by the contaminated blood scandal was at the heart of the work she carried out As the Paymaster General said, we are three years into the NHS infected blood inquiry, and at the start of the new review into compensation for those infected and affected. Will he say something, though, about what is happening to the bereaved partner payments that were announced in March, and about whether he is willing to look at the inconsistencies that still apply to bereaved partners and their families?
ParlaMint-GB_2021-09-23-commons.u74	I am grateful to the right hon. Lady for her remarks, particularly about my predecessor. The previous Paymaster General announced in March this year changes to the four national financial support schemes to bring them into broader parity. That means increasing annual payments and lump sums where necessary to bring them up to the highest existing levels. The right hon. Lady knows better than anyone that there is an independent statutory inquiry, chaired by former High Court judge Sir Brian Langstaff. The issue of compensation is being looked at by Sir Robert Francis QC. I look forward to correspondence with her and hope to be able to go into more detail on the matter in due course.
ParlaMint-GB_2021-09-23-commons.u75	How much compensation has been paid, and to how many families?
ParlaMint-GB_2021-09-23-commons.u76	The matter is currently under consideration. Sir Robert Francis QC is conducting a compensation study, which will consider options for a framework of compensation when the inquiry reports. I can say this: the public consultation on the terms of reference for that study has concluded; the terms of reference were signed off by me in the last couple of days; and they will be published later today in a written ministerial statement.
ParlaMint-GB_2021-09-23-commons.u77	11. What recent assessment his Department has made of the effect of the UK’s withdrawal from the EU on opportunities for UK businesses.
ParlaMint-GB_2021-09-23-commons.u78	16. What recent assessment his Department has made of the effect of the UK’s withdrawal from the EU on opportunities for UK businesses.
ParlaMint-GB_2021-09-23-commons.u79	Our exit from the European Union has given us the freedom to conceive and implement rules that put UK businesses first. Only last week, the Government announced further reforms to reduce burdens on businesses, which I am sure the hon. Member for North Ayrshire and Arran (Patricia Gibson) and her party will welcome, to help unleash innovation and propel economic growth across the whole United Kingdom. The Government’s action to seize the opportunities of Brexit is already having an impact, as she well knows. The International Monetary Fund is expecting the United Kingdom to see the fastest GDP growth in the G7 this year—something about which the entire House can be proud.
ParlaMint-GB_2021-09-23-commons.u80	Back here on planet Earth, rather than a sea of opportunity we are drowning in Brexit despair, as the Scottish food and drink sector is sacrificed on the altar of this hard Tory Brexit, at a cost of £2 billion on pre-pandemic levels, with extensive trade barriers, extra red tape, labour shortages and damage to Brand Scotland. Industry figures are warning that they will not come close to making up the EU market losses. How do the UK Government plan to mitigate the damage that they have caused to Scotland’s economy?
ParlaMint-GB_2021-09-23-commons.u81	Our exit from the European Union provides us with positives, although I know that the hon. Lady and her party wish to focus on negatives. The relentless negativity of the Scottish nationalists really is a wonder to behold. The fact of the matter is that the opportunity to think boldly about how we regulate gives us the freedom to conceive and implement rules that will put the United Kingdom—all constituent parts of the United Kingdom, including Scotland, Wales, Northern Ireland and England—first.
ParlaMint-GB_2021-09-23-commons.u82	A major export business in my constituency is in the process of relocating to an EU member state, taking with it scores of highly skilled jobs. As a result of Brexit, it has faced massive delays for shipments and EU member states preventing their public authorities from procuring from it. The rest of its export market has been killed off because of shocking delays by the UK’s Export Control Joint Unit. Despite numerous correspondences and meetings with Ministers, I have not been able to get those delays reduced. Minister, here is the evidence from my constituency of Edinburgh South West, in Scotland. The UK Government are strangling thriving businesses in Scotland. What should I tell my constituents?
ParlaMint-GB_2021-09-23-commons.u83	What the hon. and learned Lady ought to tell her constituents is that we have, thanks to global Britain, established a new points-based immigration system on migration, and we are replacing the common agricultural policy. She can tell them that we are taking back control of our territorial waters. She can tell them that we have been striking bilateral trade agreements with 60 countries so far, with more on the way. She can tell them all those things and they will then no doubt be voting Conservative.
ParlaMint-GB_2021-09-23-commons.u84	I apologise that this is a rather detailed question, but a few businesses in my constituency are having issues with specifics on rules of origin. Will my right hon. and learned Friend update the House as to the willingness of the EU to sit down and iron out these anomalies?
ParlaMint-GB_2021-09-23-commons.u85	The trade and co-operation agreement provides for zero tariffs and zero-quota trade with the EU while also allowing us to regulate in a way that suits the UK economy and our businesses without being bound by EU rules. The trade and co-operation agreement includes appropriate rules of origin, as my hon. Friend mentions, to support tariff-free trade across all sectors.
ParlaMint-GB_2021-09-23-commons.u86	12. What recent discussions he has had with Cabinet colleagues on implementing the Government’s levelling-up agenda.
ParlaMint-GB_2021-09-23-commons.u87	13. What recent discussions he has had with Cabinet colleagues on implementing the Government’s levelling-up agenda.
ParlaMint-GB_2021-09-23-commons.u88	20. What recent discussions he has had with Cabinet colleagues on implementing the Government’s levelling-up agenda.
ParlaMint-GB_2021-09-23-commons.u89	Levelling up is at the heart of the Government’s agenda. The landmark White Paper we will publish later this year will build on the actions we are already taking to improve livelihoods and opportunity across the UK. My right hon. Friend the Secretary of State for Levelling Up, Housing and Communities will be driving forward this agenda. I, and all my ministerial colleagues, look forward to working with him to deliver bold new policies that level up all parts of the UK.
ParlaMint-GB_2021-09-23-commons.u90	I welcome the new Minister to his place. The Government are already taking great steps to level up Teesside, including our new freeport—the UK’s largest—and locating the northern economic campus there. Will he update us on the progress of the new campus and join me in encouraging Teessiders to apply for these highly rewarding civil service jobs?
ParlaMint-GB_2021-09-23-commons.u91	My hon. Friend makes a very good point. That part of the country is really on fire at the moment. It is fantastic that so much is happening on Teesside. There are some brilliant local Members of Parliament assisted by a fantastic Mayor as well. I am pleased to say that the Darlington economic campus is up and running. Almost all Treasury roles are now being advertised as available in Darlington, and we are recruiting exclusively for Darlington-based Treasury roles. These are great jobs working on issues that really matter to our country. I hope to see a range of people from north-east England, and beyond, take up these opportunities.
ParlaMint-GB_2021-09-23-commons.u92	The levelling-up fund is going to be vital for Rother Valley to increase our prosperity, and we have a bid outstanding at the moment for Maltby and Dinnington. Can the Minister confirm when we will hear back about the levelling-up fund bid, and tell us what other steps the Government are taking so that the whole of Rother Valley, not just Maltby and Dinnington, benefits from the Government’s levelling-up programme?
ParlaMint-GB_2021-09-23-commons.u93	My hon. Friend is absolutely right to raise Rother Valley’s bid in this regard. We are committed to levelling up across the whole of the UK. The idea is to ensure that no community is left behind. The £4.8 billion levelling-up fund will invest in infrastructure to improve everyday local life and boost growth and jobs. All areas of the UK are able to access the fund, and Rother Valley is exactly the sort of area that it is designed to support. Applications for the first round of the levelling-up fund closed on 18 June, and we expect that investment decisions will be made for this funding round in the autumn.
ParlaMint-GB_2021-09-23-commons.u94	Infrastructure and regenerating our town centres is a really important part of levelling up, but so too is education, skills and work. Will my right hon. Friend therefore confirm that ahead of the Budget and the spending review at the end of October, the Cabinet Office is working across Government with the Department for Education, the Department for Work and Pensions and others to make sure that we leave no stone unturned in levelling up across the country?
ParlaMint-GB_2021-09-23-commons.u95	Absolutely. The whole team—the Minister for the Cabinet Office and all my ministerial colleagues—are well placed to do exactly that, working across all Departments. Levelling up is at the heart of the Government’s agenda. My hon. Friend will not have missed the renaming of the Department for Levelling Up, Housing and Communities, and the former Chancellor of the Duchy of Lancaster will lead on that work. We are committed to levelling up across the UK to ensure that literally no community is left behind. We will publish a landmark White Paper later this year.
ParlaMint-GB_2021-09-23-commons.u96	On 12 September, the world watched as 50,000 great north runners crossed the iconic Tyne bridge, whose peeling, faded, rusting and sad state exactly reflects the Government’s level of investment in the north-east. Just what is levelling up? How will the north-east know that we have been levelled?
