ParlaMint-GB_2021-10-19-commons.u1	1. What recent steps his Department has taken to increase NHS capacity.
ParlaMint-GB_2021-10-19-commons.u16	All Devon’s hospitals are on red alert, partly because of capacity issues caused by ongoing covid cases. Why does the Secretary of State think the UK now has the highest covid infection, hospitalisation and death rates in western Europe?
ParlaMint-GB_2021-10-19-commons.u17	First, may I take this opportunity to congratulate all the health and care workers across Devon on the fantastic work they are doing? The right hon. Gentleman will know that the Government have set out clearly their approach to dealing with the pandemic and that we are very much focused on vaccinations, which are working, building a wall of defence, treatments and testing.
ParlaMint-GB_2021-10-19-commons.u18	Further to the last question on NHS dentistry from the right hon. Member for Normanton, Pontefract and Castleford (Yvette Cooper), we are in a difficult situation across North Yorkshire, where there is no NHS dentist availability across the whole of Thirsk and Malton. It will take the NHS two years to recommission the service in Helmsley—the closed practice in Helmsley—and the Thirsk practice has just closed its doors with its current list of patients. Will my right hon. Friend set out exactly what we can do to increase the availability of NHS dentistry?
ParlaMint-GB_2021-10-19-commons.u19	Again, my hon. Friend is right to raise this issue. As we have just heard from other hon. Members, there is a real issue with dentistry across England, including in North Yorkshire, and we know how the pandemic has had an impact on that. Dentists have tried to do the best they can in those circumstances. The changes we are making to infection prevention and control will help. We are looking at further measures, and I understand that my hon. Friend will be meeting the Minister shortly to discuss his issues in North Yorkshire carefully.
ParlaMint-GB_2021-10-19-commons.u20	2. What recent estimate he has made of the size of backlogs in cancer diagnosis and treatment.
ParlaMint-GB_2021-10-19-commons.u21	11. What recent estimate he has made of the size of backlogs in cancer diagnosis and treatment.
ParlaMint-GB_2021-10-19-commons.u22	The number of people waiting longer than 62 days for treatment following an urgent referral for suspected cancer in England has come down considerably, from 35,000 people in May 2020 to about 19,000 people. The NHS is putting in place extra capacity to diagnose and treat cancer patients, with the aim of clearing the cancer backlog of patients waiting over 62 days from referral to first treatment by the end of March 2022.
ParlaMint-GB_2021-10-19-commons.u23	To do that, we are going to need healthy NHS staff. I was alarmed to hear Cambridgeshire’s director of public health last week talking about the sheer scale of covid ripping through the school population and then into the parental cohort, many of whom, of course, will be working in the NHS. Peterborough currently has the highest number of cases it has had at any time during the pandemic. So what is the Government’s plan to keep NHS staff healthy, in order to allow them to tackle that alarming cancer backlog?
ParlaMint-GB_2021-10-19-commons.u24	First, let me say that NHS staff have done a phenomenal job throughout the pandemic in helping patients with cancer or any other illness. A comprehensive plan of support has been in put in place, with this Department working with our NHS colleagues carefully to provide, for example, advice and help. Extra mental health support has been provided as well, and we are looking to see what more we can do.
ParlaMint-GB_2021-10-19-commons.u25	My late constituent Anne began to suffer pain in April. She never had a GP visit. She had two visits to accident and emergency, which did not result in any treatment plan. Finally, after four months, she had a non-urgent visit to a urologist. Sadly, because at no point was she diagnosed with a terminal condition, she was not given access to hospice care and died in September. I put it to the Secretary of State that this is no way to treat an elderly lady and no way for her family to suffer. What is he going to do to guarantee that there will not be many more Annes in the months and years to come?
ParlaMint-GB_2021-10-19-commons.u26	I thank the hon. Gentleman for raising that case. I am very sorry to hear about his constituent Anne and send my condolences to her family for what has happened The hon. Gentleman will understand that, during the pandemic, sadly, many people stayed away from the NHS, on which there was a huge amount of pressure. Despite everyone, especially those working in health and care, doing as much as they could, it just was not enough for some people. There is not only emergency spending to deal with the pandemic pressures—this year there is an additional £34 billion—but much more investment in equipment and diagnostic processes, such as the community diagnostic hubs that we announced last week, which will help to make a real difference.
ParlaMint-GB_2021-10-19-commons.u27	Unsurprisingly, I have become more acutely aware of stories about backlogs in cancer diagnosis and treatment, the impact of which should not be underestimated, so I welcome the Secretary of State’s sensitive and sensible response. Will he join me in recognising the multidisciplinary teams throughout the country that are working non-stop to meet cancer pathway targets, including Maidstone and Tunbridge Wells NHS Trust, which continued to operate cancer services throughout the pandemic last year and has met the 62-day target for 26 months in a row? Will he consider a visit to the hospital that treated me and thousands of others, to hear how the team there continues to strive to achieve improvements in diagnostic services and outcomes for cancer patients in my constituency and others in Kent?
ParlaMint-GB_2021-10-19-commons.u28	Yes. It is great to see my hon. Friend, who speaks with real knowledge on this issue. Not only would I be pleased to visit that hospital but I wish to join her in congratulating the multidisciplinary teams throughout the country—especially the Maidstone and Tunbridge Wells multidisciplinary trust—that have been doing fantastic work on cancer.
ParlaMint-GB_2021-10-19-commons.u29	The proportion of people starting cancer treatment within one month has dropped to the lowest level on record. Some 30,000 fewer people are accessing cancer treatment than we would have expected pre-pandemic, and winter pressures have already caused chemotherapy to be paused in Nottingham. The Government’s plans simply are not working and the Secretary of State is denying reality. Will he make a commitment today that there are now sufficient resources for cancer services throughout the winter period that will protect staff from redistribution, so that they can continue to deliver the care and support that cancer patients need?
ParlaMint-GB_2021-10-19-commons.u30	The hon. Gentleman may have heard me say a moment ago that, of course, cancer remains a huge priority for the NHS. Very sadly, there have been people who have waited longer than 62 days after urgent referral. The number has come down considerably in the past year, to 19,000 as of May 2021, but that is still 19,000 too many, which is why the NHS is rightly committed to clearing that completely by March 2022. That requires a lot more investment. There is the additional £34 billion this year, but it requires long-term, sustainable investment, which is why the plan we have announced for long-term funding over the next three years, with additional funding of at least £12 billion a year for health and care, will make a real difference.
ParlaMint-GB_2021-10-19-commons.u31	3. What steps the Government is taking to improve health outcomes for people with learning disabilities and autism.
ParlaMint-GB_2021-10-19-commons.u32	I thank my hon. Friend for her work as the Minister for Care and particularly for starting the work on the Oliver McGowan mandatory training. We are currently trialling the training to improve awareness and understanding of learning disability and autism for all health and care staff. The improvement of health outcomes for people with learning disability was also championed by our dear friend Sir David Amess; I shall think of him every day in this role and try my very best to live up to his expectations.
ParlaMint-GB_2021-10-19-commons.u33	I warmly welcome the Minister to her role, which I know she will do with great care. Will she expand a little on the roll-out of the mandatory training for all health and care professionals working in learning disability and autism, which is, as she knows, named in honour of Oliver McGowan? Will she say when it is likely to be rolled out nationwide and what sort of funding will be attached to it? Will she also say when the annual GP health checks for people with learning disability or autism are likely to be rolled out throughout the country on a face-to-face basis post covid?
ParlaMint-GB_2021-10-19-commons.u34	We have started the trials and they are well under way. We are using three trial providers. Our final evaluation report is due in spring 2022 and I would be very happy to share that with my hon. Friend. The outcomes of this trial and the evaluation will inform the plans for the roll-out across the country. I am working closely with Paula and Tom, Oliver McGowan’s parents, who, incidentally, grew up in the same place that I did—in fact, two streets away. They are key stakeholders and, obviously, we will make sure that we set out the detailed plans for roll-out as soon as possible. I thank my hon. Friend and Paula and Tom for all the work that they have done in this area; it really is remarkable and will make a massive difference. On the annual health checks for people with learning disabilities, the NHS has already met its target two years ahead of time for 75% of people on the GP learning disability register to receive an annual health check. I would urge anybody to come forward to make sure that they take advantage of that very important step.
ParlaMint-GB_2021-10-19-commons.u35	The Government have not responded to the report of the Health and Social Care Committee on the treatment of autistic people and people with learning disabilities and that response is now well overdue. Sadly, there is continued evidence of ongoing abuse of people with learning disabilities and autistic people. I point the Minister to the deaths reported at Cawston Park. There was a terrible report on that recently. This needs immediate and assertive action. Autistic people and people with learning disabilities are often trapped in inappropriate units for six years on average. By delaying their response, the Government are demonstrating apathy with regard to the terrible treatment in places such as Cawston Park and other units. When will the Government respond and act?
ParlaMint-GB_2021-10-19-commons.u36	I share the hon. Lady’s concerns; it simply is not good enough. The events at Cawston Park—my first response as a Minister to an Adjournment debate was on that subject—were unbelievable and deeply traumatic. My deepest condolences are with the families of Ben, Joanna and Jon. I have committed to meeting with the families at the earliest opportunity so that I can understand their experiences directly. This is currently being arranged by officials and the Norfolk Safeguarding Adults Board. The Department continues to work at pace through the delivery board of cross-Government and cross-system partners to drive progress on implementing the Building the Right Support national plan, which is ultimately the answer to have much better support in the community. We will publish an action plan, outlining all of the plans that we have, how we will improve outcomes and how we will enable people to live well in our communities.
ParlaMint-GB_2021-10-19-commons.u37	First, let me welcome my hon. Friend to her position. As chair of the all-party group on learning disability, I look forward to working with her On the point that the hon. Member for Worsley and Eccles South (Barbara Keeley) raised, the Government have a plan to reduce the number of people in in-patient units—the assessment and treatment units—like the one at Winterbourne View, which delivered completely inappropriate treatment. When will that delivery plan be published? Her predecessor committed to doing it four months ago; she said that there was work to be done. Can my hon. Friend set out when it will be published so that we can press the Government on delivering those ambitious goals?
ParlaMint-GB_2021-10-19-commons.u38	I look forward to working with my right hon. Friend. I have been along to the first board, although I have not yet chaired it. But we will be developing that action plan. I cannot commit to the date but I will let him know as soon as I can when we will publish the plan. We will be publishing a winter plan for the NHS, which will include lots of different support, in the next couple of weeks.
ParlaMint-GB_2021-10-19-commons.u39	I thank the Minister for her response. Given recent statistics that show that one in 20 schoolchildren in Northern Ireland has an autism diagnosis, may I ask her what steps have been taken here on the mainland to ensure that children with learning disabilities or autism have guidance in their health journey and are never left overwhelmed without specialised support at those very necessary appointments?
ParlaMint-GB_2021-10-19-commons.u40	I thank the hon. Gentleman for his question. He is right to identify this concern. Compared with the general population, people with learning disabilities are three times more likely to die from an avoidable medical cause of death. That is why these annual health checks to ensure that we get early diagnoses for these people are so important. That is why I am delighted that many people are coming forward and that the NHS is two years ahead of its plan here in England. Hopefully, others will follow that lead.
ParlaMint-GB_2021-10-19-commons.u41	4. What plans his Department has to build a new hospital in Doncaster.
ParlaMint-GB_2021-10-19-commons.u42	We have now received applications from trusts to be one of the next eight hospitals in our new hospital programme, which will be the biggest hospital building programme in a generation. I understand that an expression of interest has been submitted, proposing developments at the Doncaster Royal Infirmary site. Although I cannot comment on this particular application at this stage, I can tell my hon. Friend that we aim to make our final decision in spring next year.
ParlaMint-GB_2021-10-19-commons.u43	It appears that every time that I am fortunate enough to ask a question relating to health and social care, another disaster has happened at Doncaster Royal Infirmary. This time, it is a second water leak in the women’s hospital. Given that there is a maintenance backlog of £514 million and the newest part of Doncaster Royal Infirmary is older than the town of Milton Keynes, does my hon. Friend agree that a new hospital is not a “nice to have”, but an absolute necessity for the people of Doncaster? Will he please also visit Doncaster Royal Infirmary, although, with ceiling collapses and water leaks, he may need to bring a hard hat and some wellies?
ParlaMint-GB_2021-10-19-commons.u44	I cannot comment on the selection process while it is under way, but my hon. Friend is a strong and powerful advocate for his constituents and for a new hospital in Doncaster. He has met me a number of times and continues to raise this matter in the House. I should perhaps have taken him up on his offer of a visit in the summer, when it was sunny, but I am still certainly happy to take him up on that offer If I may briefly be indulged, Mr Speaker—we do not often have the opportunity to do this from the Front Bench—let me say that I am grateful to the hon. Member for Tooting (Dr Allin-Khan) for her kind words about our late colleagues, James Brokenshire and Sir David Amess. The last time I saw David was a few weeks ago, when he posed for a photo that he wanted with me and then tried to impress on me the question of whether I would come to the wonderful town of Southend.
ParlaMint-GB_2021-10-19-commons.u45	City.
ParlaMint-GB_2021-10-19-commons.u46	Hang on, sir! I was about to say that I would be delighted to visit what is now the city of Southend. My only deep sadness is that our friend will not be there to meet me when I do so. He and his family are very much in our thoughts.
ParlaMint-GB_2021-10-19-commons.u47	5. What discussions he has had with the Secretary of State for Environment, Food and Rural Affairs on the (a) short-term and (b) long-term impact on public health of the ongoing odorous emissions from Walley’s Quarry in Newcastle-under-Lyme.
ParlaMint-GB_2021-10-19-commons.u48	I commend my hon. Friend for his tenacity on the issue of Walley’s Quarry and for continuing to stand up for his constituents. As part of the multi-agency response, the UK Health Security Agency provides expertise and support to the Environment Agency and the Department for Environment, Food and Rural Affairs. On 4 May, the Secretary of State took appropriate action, writing to the Environment Agency, which regulates the landfill operation, and urging it to use its regulatory and enforcement powers over Walley’s Quarry Ltd to resolve the problems at the site. It has been strongly recommended that the Environment Agency takes appropriate measures as early as possible to reduce offsite odours from the landfill site and to reduce the concentrations in local areas to levels below the health-based guidance values used to assess long-term exposure.
ParlaMint-GB_2021-10-19-commons.u49	I welcome the Minister to her place. This ongoing public health emergency in Newcastle-under-Lyme has been a real trial for my constituents. Does she agree that in future the Environment Agency will need to take into account the effects on public health—both physical and mental health—of odorous emissions and the gases that escape from landfills, so that no other town has to go through what we have in the last year?
ParlaMint-GB_2021-10-19-commons.u50	I assure my hon. Friend that the Environment Agency takes the situation very seriously and is working with the operators of the site to address it as quickly and effectively as possible. I am sure that he will be pleased to learn that the Environment Agency has re-evaluated its regulatory approach following the outcome of the judicial review, and on 14 October published its plan to reduce the levels of hydrogen sulphide emissions at the site.
ParlaMint-GB_2021-10-19-commons.u51	6. What estimate his Department has made of the number of people with Dandy-Walker syndrome in the UK.
ParlaMint-GB_2021-10-19-commons.u52	I thank my hon. Friend for raising a question on this rare but important condition. Public Health England’s national disease registration service contributed data to a European Dandy-Walker syndrome epidemiology study back in 2019. The results identified that the condition occurs in about 2.7 live births per 100,000. More work is currently being done to report on the number of people living with the condition in the United Kingdom.
ParlaMint-GB_2021-10-19-commons.u53	I thank my hon. Friend for doing the research on this question. One of my constituents, Steven Forster, came to see me during a surgery last summer. His granddaughter, Mia, is suffering with Dandy-Walker syndrome. As there is not the knowledge in the NHS about how best to treat the condition, like many families, when they do eventually find a doctor who has that knowledge, they have to travel a long way to see them and there is a huge cost attached to that. With that in mind, will my hon. Friend agree to meet some of the families across the UK who are trying to get together a support group on the issue, and consider putting together an NHS centre of excellence so that parents and carers know where to go for help?
ParlaMint-GB_2021-10-19-commons.u54	I thank my hon. Friend for raising his constituent’s granddaughter Mia’s case. With over 7,000 rare conditions, awareness among healthcare professionals can be difficult. That is why in January this year the Government set up the UK Rare Diseases Framework whereby officials are working with partners including Health Education England to raise awareness of rare conditions such as Dandy-Walker so that we provide training for staff and target education for healthcare professionals. I would be happy to meet him and his constituent to talk about this and listen to some of their concerns and experiences.
ParlaMint-GB_2021-10-19-commons.u55	7. What steps he is taking to provide a long-term solution to social care.
ParlaMint-GB_2021-10-19-commons.u56	Last month the Prime Minister announced an unprecedented investment in social care to support our own futures and those of our loved ones and our growing ageing population. This investment of £5.4 billion will support the wellbeing of the 1.5 million-strong workforce, offer professionalisation and provide hundreds of thousands of training places. It will also fund supported housing, better advice and capped care costs at £86,000, removing the fear of spiralling care bills.
ParlaMint-GB_2021-10-19-commons.u57	I am grateful for my hon. Friend’s answer, but she will acknowledge that even the promised better integration of health and social care, although very welcome, will not be enough. We need a long-term plan covering workforce issues, the use of technology, and provision whereby people can live in their own home for longer if we are to achieve ultimate success. If we do not solve all those issues, then I am afraid we will not have fixed social care.
ParlaMint-GB_2021-10-19-commons.u58	I agree with my right hon. Friend. The forthcoming White Paper on adult social care reform, which we will publish before the end of the year, will set out our vision for the sector. It will cover issues that affect care users, including housing and innovation within our housing models, access to information and advice, and funding for the workforce. I am very happy to be meeting him on 4 November in his role as chair of the all-party parliamentary group on adult social care to ensure that his insight and all the work that he and the APPG have done in this area are carefully considered.
ParlaMint-GB_2021-10-19-commons.u59	I welcome the hon. Lady to her post. I listened carefully to what she said about the Government’s recent announcement. However, is not the reality, as the Association of Directors of Adult Social Services says, that all the additional money announced is going to the NHS in the first three years and little, if any, will ever make it to social care; there is nothing to deal with the overwhelming workforce pressures and increased levels of need we are experiencing right here, right now; and we will not see a single extra minute of care and support or an improved quality of life for older and disabled people or family carers? On top of this, at £86,000 the cap on care costs will not even stop people having to sell their homes to pay for care, and the vast majority of people will be dead before they ever reach the cap because it does not cover the costs of accommodation or food. How is this a long-term solution to social care, and is the Chancellor finally going to fill these gaping omissions in his Budget and spending review next week?
ParlaMint-GB_2021-10-19-commons.u60	I am sure the hon. Lady is in fact delighted that finally a Government have come forward with a plan for social care. In addition to that, this Government have spent an extra £34 billion this year in the NHS and we have raised the levy, which, as she says, will fund both the electives and the catch-up from the pandemic—we all know that many of our constituents need this—but there is also the £5.4 billion that is the biggest investment we have had in social care in this country. As things stand, one in seven adults over 65 face care costs of over £100,000 in their lifetime. Nobody will be forced to sell their home, as people will now have a very clear cap of £86,000 that will give families peace of mind that their assets will not be wiped out, and people can already take a deferred payment agreement so that their payments can be deducted from their estate after they die. Most people I have spoken to truly welcome this announcement and are absolutely convinced that this Government will introduce it.
ParlaMint-GB_2021-10-19-commons.u61	We all know that when the care sector is struggling, the NHS feels the pressure, and that is certainly the case in Gloucestershire at the moment. The demand for adult social care is increasing for us locally by 4% year on year, which is higher than the average, and the huge number of requests for new care packages means that there are now delays for domiciliary care, as the market cannot respond to demand. Will the Minister, who I welcome to her new post, tell the House and the Gloucestershire care sector that the Government are working to support us? Will she meet the six Gloucestershire MPs and the leader of the council to discuss this matter?
ParlaMint-GB_2021-10-19-commons.u62	This is absolutely vital. The recent announcement of £500 million over three years to fund social care professionalisation is very warmly welcomed by the sector. It is a sector that employs 1.54 million people. It is larger than the NHS, construction, transport or food and drink. I am of course happy to meet my hon. Friend and other Gloucestershire MPs. I know this issue is a challenge. We have some short-term actions, and it is a key pillar of our long-term reform.
ParlaMint-GB_2021-10-19-commons.u63	With the Government introducing a health and social care levy, will the Minister ensure that social care is not at the back of the queue for spending? Can she provide clarity about every penny of Barnett consequentials that will be given to the devolved nations?
ParlaMint-GB_2021-10-19-commons.u64	I am sure that the Chancellor will be setting out what will happen with the Barnett consequentials. Yes, this issue is important. The most important thing to say is that this is the start—we have £5.4 billion over the next three years for us to embed some of the changes we need in the system, but this levy will continue, and social care will be a big part of and a big beneficiary from that levy in the future.
ParlaMint-GB_2021-10-19-commons.u65	Will the Minister recommend what North Northamptonshire Council has just done, which is to pay its social care workers as a minimum the real living wage and to backdate that to April this year? That would be a small step in helping with this situation.
ParlaMint-GB_2021-10-19-commons.u66	Yes, I completely agree. Some 95% of the jobs are with private providers, so it is important that they take care of their workforce. There is a lot of competition for labour and a lot of skills shortages in our country. Most workers are on just above the national living wage, but it worries me that a third are on zero-hours contracts, so there is a lot we can do to improve the terms and conditions of the social care workforce. My hon. Friend raises a good leadership example.
ParlaMint-GB_2021-10-19-commons.u67	8. If he will make it his policy to keep prescriptions free for people aged over 60.
ParlaMint-GB_2021-10-19-commons.u68	The Department’s consultation on aligning the age for free prescriptions with the state pension age closed on 3 September. The responses to the consultation are being reviewed, and we will outline the next steps in due course.
ParlaMint-GB_2021-10-19-commons.u69	We know that low incomes are associated with worse healthcare outcomes and also that average prescription use is higher among those in more deprived areas. Will the Minister accept that increasing healthcare costs for those on low incomes will mean that health inequalities will widen, increasing the pressure on low-income families and the NHS this winter?
ParlaMint-GB_2021-10-19-commons.u70	I thank the hon. Lady for her question. I reassure her that around 90% of prescription items in the community are provided free of charge. Those who are vulnerable and on low incomes, such as those on universal credit, income support and jobseeker’s allowance, already qualify for free prescriptions. It is really important that those over the threshold can also apply for the prescription prepayment certificate, where all their items will cost just about £2 a week. We are making sure that costs are low for those on low incomes.
ParlaMint-GB_2021-10-19-commons.u71	Record levels of funding by the Scottish Government for primary care will protect free eye examinations and free prescriptions for people in Scotland and will also enable the abolition of all NHS dentistry charges. Will the Minister follow Scotland’s lead and commit to a similar policy for England?
ParlaMint-GB_2021-10-19-commons.u72	I thank the hon. Gentleman for his question. Although the Scottish Government provide free prescriptions, the money comes out of existing budgets, which means it is taken from elsewhere in the health service. That may be why, at the moment, three health boards in Scotland need the armed forces’ support to deal with their winter crisis.
ParlaMint-GB_2021-10-19-commons.u73	9. What steps he is taking to reduce elective procedure backlogs in the NHS.
ParlaMint-GB_2021-10-19-commons.u74	We have committed an additional £1 billion this year to increase elective activity and tackle the backlog, doubling the £1 billion already provided through the elective recovery fund. Over the next three years, we plan to spend more than £8 billion to fund the biggest catch-up programme in NHS history, which comes atop, of course, the record £33.9 billion increase in funding and the health and social care levy.
ParlaMint-GB_2021-10-19-commons.u75	Before asking my question, may I make a declaration of personal interest, namely, my age? People of my generation and older are finding more and more delays in elective procedures, but the response of the Government, as we just heard, appears to be to just pump more taxpayers’ money into the bottomless pit of the NHS, resulting in ever more waste and lower productivity. Why do the Government—this Conservative Government—not use innovative private sector solutions to relieve some of the pressure on the NHS? Why do they not do what the Major Government did—hardly right-wing extremists—and give tax relief for private health insurance?
ParlaMint-GB_2021-10-19-commons.u76	I have known my right hon. Friend for a long time and he is eternally youthful. As my right hon. Friend the Secretary of State set out, the record investment that we are putting into our NHS, particularly to address the elective procedure backlogs, goes hand in hand with innovation and reform To the specific point of my right hon. Friend the Member for Gainsborough (Sir Edward Leigh), the NHS is utilising the independent and private sector to carry out procedures for NHS patients. As he would expect me to say, however, tax breaks or similar are matters for the Chancellor, not me.
ParlaMint-GB_2021-10-19-commons.u77	The thresholds of the elective recovery fund have a perverse impact, so hospitals with the least capacity are more unlikely to have the money to build their capacity. What steps will the Minister take to ensure that my constituents in York have funding from the Government to help build that capacity and have the elective surgery they need?
ParlaMint-GB_2021-10-19-commons.u78	In respect of the elective recovery fund and the thresholds, the hon. Lady recognised that they are an additionality alongside the record extra investment that we are putting into our NHS. We are putting more resources in, alongside reform and innovation, to deliver that increased capacity. The elective recovery fund is also designed to stimulate activity and to reward additional costs over and above that activity. We believe it is the right approach to generate that increased activity.
ParlaMint-GB_2021-10-19-commons.u79	The elective procedure backlog requires appropriate capacity for recovery and rehabilitation, much of which is provided by community hospitals, especially in rural areas. Is the Minister aware that on Friday, NHS Shropshire announced the imminent closure of Bishop’s Castle Community Hospital for patient safety reasons due to a lack of qualified nursing staff? Will he work with me to put pressure on the local NHS to develop a plan to recruit suitably qualified nurses and reopen the hospital as soon as possible?
ParlaMint-GB_2021-10-19-commons.u80	On elective surgery.
ParlaMint-GB_2021-10-19-commons.u81	In the context of elective surgery recovery, my right hon. Friend makes an important point about the role that community hospitals play in helping to drive down waiting lists. I am grateful to him for drawing that to my attention and I will look into the specific situation he raised. It is important that, alongside providing a service, it is a safe service. I am happy to work with him to see what can be done in that situation.
ParlaMint-GB_2021-10-19-commons.u82	Delays in procedures are causing increased pressure on our adult social care system. In September, East Riding of Yorkshire Council told my constituent that there was not a single carer to be had for her mum in the whole of the East Riding, and that the family’s options were to put their mum into residential care or to deal with it themselves. I spoke to those on the Conservative-led council to check whether that was true, and they said yes. They are facing a huge shortage of carers and they asked for my support in lobbying their Government for increased funding for social care. Will the Government give East Riding of Yorkshire Council the extra funding it needs to raise the wages of carers and try to attract some of them back to the profession?
ParlaMint-GB_2021-10-19-commons.u83	The hon. Lady is right to highlight that, essentially, social care and the NHS go hand in hand; they are two sides of the same coin. That is why we have made ambitious proposals, and will bring forward further proposals, for furthering the integration of those two sides The hon. Lady raised a specific case to illustrate her point. I, or perhaps more appropriately the Minister for Care and Mental Health, my hon. Friend the Member for Chichester (Gillian Keegan), would be happy to meet her to discuss the details of that situation.
ParlaMint-GB_2021-10-19-commons.u84	12. What steps his Department is taking to build new hospitals.
ParlaMint-GB_2021-10-19-commons.u85	I am grateful to my hon. Friend for his question. In October 2020 the Prime Minister announced details of 40 schemes that we will be taking forward in line with our manifesto commitment to deliver 40 new hospitals by 2030, supported by an initial £3.7 billion investment for them.
ParlaMint-GB_2021-10-19-commons.u86	This seems to be the crumbling hospital corner of the House, as we have already heard from my hon. Friend the Member for Don Valley (Nick Fletcher) about his concerns. In Norfolk, we have the Queen Elizabeth Hospital, which is physically crumbling, and the ceilings and roofs are held up by wooden staves and acrow props. Although it is not in my constituency—it is in the constituency of my hon. Friend the Member for North West Norfolk (James Wild)—it serves the entire county, and eight Members of Parliament have written in support of the bid. Could I invite the Minister to visit the Queen Elizabeth Hospital to see for himself the state of its structure?
