ParlaMint-GB_2021-07-13-commons.u1	When he plans to bring forward proposals on social care reform.
ParlaMint-GB_2021-07-13-commons.u17	I also welcome the Secretary of State to his new role. I hope he will soon see that the Department performs best when it follows the scientific advice. This morning, Professor Graham Medley, the chief modeller for the Scientific Advisory Group for Emergencies, said of mask wearing that “if it’s not mandated it probably won’t do any good. ” That advice would explain why, last year, the Government moved from just guidance on mask wearing in May 2020 to making it compulsory on public transport in June and in shops in July. So if the advice is clear and the Government took that advice last year, why on earth are they moving away from it now?
ParlaMint-GB_2021-07-13-commons.u18	The hon. Gentleman will know that the Government’s decisions are rightly informed by the best possible scientific advice there is and, as well as that, looking at the data and then taking all of that into account when reaching decisions. The hon. Gentleman asks about masks, and I have answered that question a number of times at the Dispatch Box. I am very happy to repeat that we are moving away from a system of regulation to guidance, but in that guidance, which was published yesterday, we have made it very clear that in certain situations masks will still make sense, and we believe that people will use their common sense and follow that guidance.
ParlaMint-GB_2021-07-13-commons.u19	What steps he is taking to improve the infrastructure of the NHS estate.
ParlaMint-GB_2021-07-13-commons.u20	What steps he is taking to improve the infrastructure of the NHS estate.
ParlaMint-GB_2021-07-13-commons.u21	What steps he is taking to improve the infrastructure of the NHS estate.
ParlaMint-GB_2021-07-13-commons.u22	In our manifesto, we committed to building 40 new hospitals by 2030 and to upgrading another 20 hospitals. We are delivering on this commitment, and we now have plans to build 48 new hospitals this decade. We are also delivering improvements across the country to hospital maintenance, eradicating mental health dormitories and improving A&E capacity. Finally, the Department has received a £9.4 billion capital settlement for 2021-22, including the first year of a £5.4 billion multi-year commitment until 2024-25 for new hospitals and hospital upgrades, and £4.2 billion for NHS trusts’ operational capital.
ParlaMint-GB_2021-07-13-commons.u23	Some 83% of the Airedale hospital in my constituency is built from aerated concrete, with the building containing 50,000 aerated concrete panels in its construction, which is five times more than any other hospital in the UK. This building material is known for its structural deficiencies, so can my hon. Friend assure me that when his Department considers new infrastructure projects, schemes with the highest risk profile, such as the Airedale hospital, will be an absolute priority?
ParlaMint-GB_2021-07-13-commons.u24	My hon. Friend is a doughty campaigner in this House on behalf of his local hospital at Airedale, going the extra mile, I gather from the Keighley News, by committing to run 100k in 10 weeks to raise funds for, among other things, the Friends of Airedale Hospital—I hope, if he has not finished that yet, it is going well To my hon. Friend’s substantive point, he raises an important issue. Airedale has been allocated capital investment in the millions for the 2021-22 financial year from a funding budget that is ring-fenced for RAAC—reinforced autoclaved aerated concrete—plank remediation, but I can reassure him that, as we look to set the criteria for the next eight hospitals, safety considerations are highly likely to be one of the key considerations.
ParlaMint-GB_2021-07-13-commons.u25	The Minister will be aware that, in March 2018, Shrewsbury and Telford Hospital NHS Trust was allocated over £300 million to undertake a radical transformation of its acute hospitals at Shrewsbury and Telford. Since then, the trust’s management have been engaged in finalising the strategic business case, but as a consequence of changes to the Green Book and clinical standards the cost will have increased. Will the Minister commit to meet with Shropshire and Telford MPs once the business case is complete to help to ensure that the project can still be delivered?
ParlaMint-GB_2021-07-13-commons.u26	NHS E&I and the Department of Health and Social Care wrote to the Shrewsbury and Telford Hospital NHS Trust on 19 November last year confirming we remain committed to supporting the scheme. This letter confirmed the allocation remains at £312 million at this time, and of course my right hon. Friend will recall that I committed to approving the request in principle for £6 million of early funding to continue to develop the scheme. It is an important scheme, we want to see it proceed and I am very happy to meet him and fellow Shropshire colleagues.
ParlaMint-GB_2021-07-13-commons.u27	In my role as chair of the all-party group for axial spondyloarthritis I have heard from many about the importance of hydrotherapy pools in supporting those living with the condition, but there has been a concern that the reopening of these pools following the pandemic has been jeopardised by space within hospitals being allocated to other functions and a general low level of prioritisation. Does my hon. Friend agree that it is vital that we have robust plans in place to reopen as many hydrotherapy pools as possible, and will he consider meeting me to discuss this matter in further detail?
ParlaMint-GB_2021-07-13-commons.u28	I pay tribute to my hon. Friend and the all-party group for their work. He raises an important point: the challenges posed by infection control and the impact of the pandemic on the operation of hospitals. That has had an impact in this space, but I entirely recognise the value and importance of hydrotherapy as a treatment for particular conditions and I will be delighted to meet him.
ParlaMint-GB_2021-07-13-commons.u29	Of course the number of general and acute beds open across the estate impacts on a trust’s ability to get on top of the elective backlog, which now stands at 5.3 million—a record high—with 336,000 waiting over a year and 7,000 waiting over two years for treatment. On appointment, the Secretary of State promised trusts that they would get everything they need to get through the backlog. So how much will trusts get and when will they get it?
ParlaMint-GB_2021-07-13-commons.u30	It is an important question. The Secretary of State has made it clear that tackling the elective backlog is one of his key priorities in his new role. The right hon. Gentleman will be aware that the Government have already committed £1 billion to helping to tackle the elective backlog. That, of course, comes on top of the record funding of £33.9 billion to ’23-24 for our NHS, but that commitment remains. We will do whatever is necessary to ensure that our NHS can tackle the elective backlog and get those waiting lists down.
ParlaMint-GB_2021-07-13-commons.u31	I am grateful to the Minister for his answer, but if it is a priority of the new Secretary of State why on Friday were trusts told that the threshold for accessing that elective recovery funding was increasing, effectively making it harder for a trust to access funding at just the time when hospital admissions for covid are increasing and we have trusts, such as in Leeds and Birmingham, cancelling cancer surgery? Surely we should be giving trusts more resources now, not restricting access to the elective recovery fund.
ParlaMint-GB_2021-07-13-commons.u32	In terms of the elective recovery fund, we have worked with the NHS to determine the right thresholds and the right premiums for payment for elective activity over and above what we would be expecting in the circumstances. The NHS is doing an amazing job in difficult circumstances, as the right hon. Gentleman will appreciate, with the impact that infection prevention control restrictions have had on the ability of trusts to see the number of people that they normally would. Trusts are taking huge strides to restore services and the ERF is there to help to ensure that they are funded for that activity level so that they can get provision up and above where it needs to be in order to get the waiting lists down.
ParlaMint-GB_2021-07-13-commons.u33	What steps he plans to take to ensure that the NHS is excluded from future trade deals.
ParlaMint-GB_2021-07-13-commons.u34	We have been clear that the NHS, the price it pays for medicines and the services it provides are off the table in our trade negotiations. No trade agreement has ever affected our ability to keep public services public, nor forced us to pay for more medicines. My Department works closely with the Department for International Trade to ensure that this is reflected in the negotiations of new trade deals.
ParlaMint-GB_2021-07-13-commons.u35	Last week we proudly celebrated the wonderful creation of the NHS—the most cherished of all national institutions—yet grave fears remain about its ultimate privatisation under this Government. If the Government are determined to sign up to the provisions in the trans-Pacific partnership for investor-state dispute settlement, can the Minister at least do one thing today to limit that damage? Will he guarantee that the NHS will be totally exempt from the scope of those ISDS lawsuits and ensure that that exemption is written into the terms of the UK’s accession?
ParlaMint-GB_2021-07-13-commons.u36	The Government have been clear in our published approach to negotiations, both on the comprehensive and progressive agreement for trans-Pacific partnership and any US trade deal, that protecting the NHS is a fundamental principle of our trade policy. The UK will ensure that the terms we sign up to in any trade negotiation uphold the Government’s manifesto commitment that the NHS, its services and the cost of medicines are not on the table, and that we hold true to our principles underpinning the NHS—of a service available to all at the point of need, free.
ParlaMint-GB_2021-07-13-commons.u37	What steps he is taking to tackle childhood obesity.
ParlaMint-GB_2021-07-13-commons.u38	What steps he is taking to tackle childhood obesity.
ParlaMint-GB_2021-07-13-commons.u39	We are committed to halving childhood obesity in England by 2030, and the 2020 strategy takes decisive action to help everybody to achieve and maintain that healthier weight. We have five trailblazer sites working to create a healthy environment for our children. We have laid regulations for out-of-home calorie labelling. We have put £100 million into funding for adult and child weight management, and announced the introduction of some of the toughest advertising restrictions—both on TV and online—regarding children’s exposure to high fat, salt and sugar products. This is about the cumulative effect of several policies.
ParlaMint-GB_2021-07-13-commons.u40	I am grateful to my hon. Friend for mentioning that wide range of measures. May I also encourage her to work closely with colleagues at the Department for Education and the Department for Digital, Culture, Media and Sport on an expanded children’s sports and activity plan, both in and out of school, to try to make 60 minutes a day as much a norm as five-a-day fruit and vegetables by bringing in the power of sports clubs and the governing bodies, and finally getting more school facilities available for out-of-hours use?
ParlaMint-GB_2021-07-13-commons.u41	My right hon. Friend’s question is music to my ears. He will be pleased to hear that, last week, along with Ministers from DCMS and the DFE, I was in front of the Lords National Plan for Sport and Recreation Committee talking about doing just that—about how we can build on the DFE’s £10.1 million contribution, so that we can unlock the 40% of facilities that lie on school estates and help to get children active for 60 minutes a day. We will be publishing our cross-departmental update to the school sport and activity action plan later this year.
ParlaMint-GB_2021-07-13-commons.u42	Ultra-processed food is basically high in fat, high in salt and high in sugar, and it is highly addictive. I believe that it plays a significant part in the growing crisis that is obesity. I genuinely believe that it is not food in itself, when one considers all the flavourings and artificial colourings that have to go into it to make it taste like food in the first instance. Does my hon. Friend agree that the food industry needs to play its part in tackling the obesity crisis, and not contribute to it?
ParlaMint-GB_2021-07-13-commons.u43	I do. This is about helping people and caring for people. We know the detrimental effect obesity has on all stages of our lives. It costs personally, in productivity terms, as well as the NHS, being the precursor to diabetes, heart disease, cancer, musculoskeletal conditions and so on. We cannot afford for the country not to tackle this issue. I am encouraged, but want to see business go faster in the reformulation ambition to reduce the salt, sugar and fat in these products.
ParlaMint-GB_2021-07-13-commons.u44	What progress he has made on consultations on the General Practice Data for Planning and Research roll-out.
ParlaMint-GB_2021-07-13-commons.u45	We are committed to being transparent about the collection and use of data. We paused the implementation of GP data for planning and research services, and we have had productive discussions with the Royal College of General Practitioners, the British Medical Association, health charities and others. We have listened to the concerns and we will respond to them. We will continue to listen and we will take our time. We will show patients and clinicians why they can have full trust and confidence in the programme, where data will only be accessed through a secure environment with the oversight of the Information Commissioner’s Office and the National Data Guardian.
ParlaMint-GB_2021-07-13-commons.u46	Mr Zeichner has withdrawn, so let us go to the SNP spokesperson.
ParlaMint-GB_2021-07-13-commons.u47	The Government’s plan to give pharmaceutical firms access to pseudo-anonymised data from GP practices in England is creating public concern and distrust, just like the failed care.data project of 2013. Most patients would be happy to see better communication and information sharing within the NHS, as well as for public health and academic research, but are concerned about commercial access to their data. Will the Minister halt the process to allow time for genuine debate and public consultation?
ParlaMint-GB_2021-07-13-commons.u48	The hon. Member and I are both passionate about the use of data to enhance patient care, as she outlined. That is the prize here. We are listening. We are taking our time. The data will only be used for health and care planning and research purposes by organisations that have a legal basis and a legitimate need to use the data. NHS Digital will publish all the details of the data we have shared on our data release register. We want to build confidence. We want to build trust. We are listening, but this is an important agenda that we need to get right to deliver better care for patients.
ParlaMint-GB_2021-07-13-commons.u49	The problem is that the plan to allow commercial access is going to undermine the public trust in improving digitisation within the NHS, and the Minister will be aware of that. The current plans apply only to the NHS in England, but can she guarantee that the United Kingdom Internal Market Act 2020 will not be used to force commercial access to patient data from Scotland’s NHS? If so, can she explain why the Department for International Trade is advertising access to the health data of 65 million people, which is the population of the whole UK?
ParlaMint-GB_2021-07-13-commons.u50	I go back to the answer I gave: we do not allow data to be used for commercial purposes. NHS Digital will not approve requests for data where the purpose is for marketing and so on and so forth. The hon. Member would not expect me to respond on behalf of another Department, but I reiterate that we are communicating and building trust. There will be a public information campaign. We will be working across the professions and across research to make sure that access is appropriate and proportionate. In the Health and Care Bill, we will be redoubling our efforts to make sure people have that confidence.
ParlaMint-GB_2021-07-13-commons.u51	At the previous health questions, we secured a commitment from the Minister to delay the implementation date for this data grab in order to properly communicate with the public. However, rather than a significant delay so there could be the public information campaign the Minister says she is so keen to have, on the basis set out by the BMA and the Royal College of GPs, what we have instead is a short pause. The Minister says she wants to listen and to build trust, so why on earth is this being snuck out during the summer recess? The reality is that the Government simply have not passed the test for informed consent. Will the Minister take this moment today to stop this process and commit to a proper engagement campaign, rather than running off during recess?
ParlaMint-GB_2021-07-13-commons.u52	I really respect the hon. Gentleman, but nothing is being snuck out. We are not doing a data grab. I refer him to the answer I gave a few moments ago. It is important that we get this right. We have heard the concerns and will respond to them. We will take the appropriate amount of time—even if that means going beyond 1 September—to ensure that we have engaged properly.
ParlaMint-GB_2021-07-13-commons.u53	What evidence he plans to use to inform the Government’s decision on whether to proceed with step 4 of the covid-19 road map on 19 July 2021.
ParlaMint-GB_2021-07-13-commons.u54	What evidence he plans to use to inform the Government’s decision on whether to proceed with step 4 of the covid-19 road map on 19 July 2021.
ParlaMint-GB_2021-07-13-commons.u55	The Government have committed to taking a cautious approach to easing restrictions, guided by the data and not by dates. As I set out in my statement to Parliament yesterday, the decision to lift the remaining measures on 19 July and proceed to step 4 is based on an assessment of the four tests that were set out in the road map.
ParlaMint-GB_2021-07-13-commons.u56	I thank my right hon. Friend for his answer and welcome him to his new post For me and most of my constituents, 19 July cannot come early enough. It is refreshing to see the Secretary of State’s new approach to the wider issues of health provision, and the huge success of our vaccine roll-out has surely ensured that there should and will not be any more lockdowns or restrictions on our civil liberties. Will he assure me that no matter what vested interests have held sway in his Department and across Government in the past 18 months, he is clear that lockdowns and state intervention in the lives of our constituents have gone far enough and need to be curbed?
ParlaMint-GB_2021-07-13-commons.u57	First, I am pleased that my hon. Friend agrees with the decision we have made to proceed with step 4. It sounds like he agrees with the central decision to move from a system of regulation to one of guidance. As he knows, the pandemic is not over, so we are rightly moving forward in a measured way. I am pleased that he agrees with the approach.
ParlaMint-GB_2021-07-13-commons.u58	I also welcome yesterday’s step 4 announcement. Does the Secretary of State agree that his Department should embrace a bit more risk by working with the Department for Transport to open up the international travel sector fully? Will he also ensure that GPs return to fully physical appointments and that we open up the full range of dental services?
ParlaMint-GB_2021-07-13-commons.u59	I am pleased to tell my hon. Friend that, now that we have begun the process of opening up, more work is being done between my Department and the Department for Transport on international travel. The announcements made by my right hon. Friend the Transport Secretary last week will certainly help and be welcomed by the sector and travellers. On GP access, now that we have started to open up, working together with GPs we can see better direct access, and especially face-to-face access.
ParlaMint-GB_2021-07-13-commons.u60	What steps he is taking to develop the role of pharmacies in primary care provision.
ParlaMint-GB_2021-07-13-commons.u61	We are committed to the five-year community pharmacy contract and to enabling community pharmacy to deliver more clinical services as well as being the first port of call for minor illnesses. Pharmacists are highly skilled members of the primary care team. We are making good progress with referrals from NHS 111 and general practice, with discharge medicines services from hospitals, and with 96% of pharmacies providing lateral flow tests as well as delivering vaccines. We know that community pharmacies are keen to deliver more, and we should be thinking pharmacy first.
ParlaMint-GB_2021-07-13-commons.u62	I am sure the Minister agrees that pharmacies have gone above and beyond to deliver vital medicines and health advice to patients in their communities during the covid-19 pandemic and that their response underlines the huge potential to grow their already massive contribution to our nation’s health. Pharmacies have proven themselves to be a valuable member of the NHS family, so will she prioritise looking at the potential for pharmacies to provide even better primary care? Will she bring forward a plan to unleash their potential post pandemic?
ParlaMint-GB_2021-07-13-commons.u63	I know that the hon. Lady speaks from experience, having been a clinical pharmacist before she came to this place. That potential needs unleashing. We are working across the profession to make sure that pharmacies are enabled to play a fuller part in the primary care family. We should think pharmacy first when we have minor ailments, and pharmacies should be enabled to do everything they can.
ParlaMint-GB_2021-07-13-commons.u64	What steps his Department is taking to improve collaboration between health and social care.
ParlaMint-GB_2021-07-13-commons.u65	We can no longer just think of a health system; we have to think about the health and social care system. We want people’s experiences of care to be seamless, which is why we have introduced the Health and Care Bill and will debate its Second Reading today.
ParlaMint-GB_2021-07-13-commons.u66	In order to better integrate and support local services in Nottinghamshire, we would benefit greatly from working with a single integrated care footprint for a simpler and fairer service. A boundary congruous with our county boundary would allow us to offer more equitable care across the whole area. I understand that the decision on the integrated care system boundaries is imminent, so will my right hon. Friend meet me to discuss the potential benefits?
ParlaMint-GB_2021-07-13-commons.u67	I am aware that several factors are helpful in fostering stronger partnerships between the NHS and local authorities, including alignment of boundaries. My hon. Friend will know that the former Secretary of State, my right hon. Friend the Member for West Suffolk (Matt Hancock), asked NHS England to conduct a boundary review for integrated care systems. That review, which is just being completed, will certainly look at and give advice on the best ICS footprint for alignment. No final decision has yet been made, but it is a priority for me. I would be happy to arrange a meeting for my hon. Friend with Ministers to discuss the matter further.
ParlaMint-GB_2021-07-13-commons.u68	What steps he plans to take in response to the findings of the Royal College of Paediatrics and Child Health on the effect of covid-19 on child health services, published on 14 June 2021.
ParlaMint-GB_2021-07-13-commons.u69	My apologies, Mr Speaker; I have lost my voice slightly. I was at Wembley on Sunday night and I have to say that those young lions outperformed. We are so proud of them, and I am certain that in 15 months’ time the nation will get behind them in Qatar and they will outperform again I thank the hon. Member for raising this really important question. We are committed to protecting vulnerable children and ensuring that every child receives the best start in life.
ParlaMint-GB_2021-07-13-commons.u70	Children’s and young people’s health has been severely impacted by the pandemic, but it is the mental health impact of lockdown and school closures that is perhaps most concerning. Some 12% of in-patient paediatric beds are now occupied by those admitted because of severe mental health problems. That is double what it was in 2019. Does the Minister agree that children and young people have suffered greatly as a result of lockdown and that their health should now be prioritised in our recovery? If so, what steps will he take to put children at the heart of all policies and implement an overarching child health strategy?
ParlaMint-GB_2021-07-13-commons.u71	I am grateful for the hon. Member’s question. Our mental health recovery action plan will allow us to deliver additional support for 22,500 more children to have access to community health services—I know that the Minister for Patient Safety, Suicide Prevention and Mental Health would say that community access is incredibly effective—and for 2,000 more children to access eating disorder services. It will also help to increase the coverage of mental health support teams in schools and colleges from 29 to 400 by April 2023. That makes it all the more important, as the Secretary of State has outlined, that we get to step 4: it is critical to delivering the recovery action plan.
ParlaMint-GB_2021-07-13-commons.u72	What recent discussions he has had with the Chancellor of the Exchequer on the effect on patients of the VAT treatment of patient transport service providers.
ParlaMint-GB_2021-07-13-commons.u73	While the Department of Health and Social Care takes a keen interest in any tax situation that may affect patients, any discussions surrounding the VAT treatment of patient transport services would need to be conducted with relevant officials in Her Majesty’s Revenue and Customs. Services for the transportation of the sick and injured are exempt from VAT.
ParlaMint-GB_2021-07-13-commons.u74	Non-emergency patient transport services provide vital support to those who have no other way of reaching hospital and medical appointments, in addition to those who require specialist transport. An inconsistency in the VAT treatment of providers currently means that some can claim VAT relief while others cannot, despite providing the same services in the same type of vehicles. Would the Minister consider meeting representatives of the sector to better understand the impact and, hopefully, find a way forward?
ParlaMint-GB_2021-07-13-commons.u75	I am very happy for myself and the Under-Secretary of State, my hon. Friend the Member for Bury St Edmunds (Jo Churchill), to meet with others about that. Of course, I cannot comment on specific cases, and I would recommend that the services in question take up their concerns with Her Majesty’s Revenue and Customs as well.
ParlaMint-GB_2021-07-13-commons.u76	What discussions he has had with his (a) European and (b) US counterparts on progressing (i) mutual quarantine-free travel for people who are fully vaccinated against covid-19 and (ii) international covid-19 vaccine pass recognition.
ParlaMint-GB_2021-07-13-commons.u77	I thank the hon. Lady for her question. We are working with the United States authorities, with the EU and with other international partners to ensure a safe return to international travel while managing public health risks. We support a global consistent minimum technical standard for covid status notification. Of course, the NHS app with the NHS covid pass is now accepted in 33 countries around the world.
ParlaMint-GB_2021-07-13-commons.u78	The continued lack of recognition of vaccination status between the UK and the EU is putting the UK at a competitive disadvantage, according to the Association of British Travel Agents, especially when compared with the steps taken by the EU and the US. Both the US and the EU now have standardised digital ways to prove vaccination status, so will the Minister clarify why there is an ongoing delay in resolving this matter?
ParlaMint-GB_2021-07-13-commons.u79	The European Medicines Agency and our regulator, the Medicines and Healthcare Products Regulatory Agency, work incredibly closely together, and the EMA has authorised the vaccines that are approved by the MHRA. All vaccines that are authorised and deployed in the UK have been subjected to rigorous checks, including individual batch testing and site inspection. Our two regulators work incredibly closely together and I am confident that we will continue to do so and ensure that any issues are resolved as quickly as possible, working with the manufacturers as well.
ParlaMint-GB_2021-07-13-commons.u80	What progress his Department has made on selecting the eight new hospital programme schemes invited to bid for funding announced in the spending review 2020.
ParlaMint-GB_2021-07-13-commons.u81	On 2 October last year, we announced 40 new hospitals to be built by 2030 and committed to an open process to confirm a further eight new schemes. Taken together, those 48 schemes should represent the biggest hospital building programme in a generation. As my hon. Friend would expect, my right hon. Friend the new Secretary of State is taking a close interest in the detail of this process, and I hope to be able to offer a further update on the selection process for the next eight hospitals very soon.
ParlaMint-GB_2021-07-13-commons.u82	Spending hundreds of millions of pounds patching up buildings long past their planned lifespan—such as the Queen Elizabeth Hospital in King’s Lynn, which currently has 200 safety props holding up the concrete roof—does not represent value for money. What reassurance can my hon. Friend give to the thousands of my constituents who in recent days have signed a petition for a new hospital to replace the QEH that the Government are looking seriously at the urgent and compelling case for a new fit-for-purpose hospital for staff, patients and visitors?
ParlaMint-GB_2021-07-13-commons.u83	My hon. Friend’s constituents will know that, in him, they have a doughty champion of their cause and a strong advocate for his hospital. He and I have spoken on many occasions, and I recognise the challenges facing the Queen Elizabeth Hospital, which he has been very clear about. The spending review 2020 included £4.2 billion this financial year for NHS operational capital investment to allow hospitals to maintain and refurbish their infrastructure, including a ring-fenced £110 million allocation for the most serious and immediate risk posed by reinforced autoclaved aerated concrete. My hon. Friend’s hospital has received just over £20 million of that funding to help to mitigate the most urgent RAAC risk, but he will also have heard me say, without prejudging any announcement my right hon. Friend will make about the criteria for the future eight, that safety will be one of the considerations.
ParlaMint-GB_2021-07-13-commons.u84	What support his Department is providing to young carers during the covid-19 outbreak.
ParlaMint-GB_2021-07-13-commons.u85	What steps his Department is taking to ensure that unpaid carers can access the support they need to provide care to family members.
ParlaMint-GB_2021-07-13-commons.u86	We recognise how much carers do and the huge demands that caring places on them. We have made carers a priority group for covid-19 testing and vaccination, funded carers’ organisations and asked local authorities to meet their duties to identify and support carers. We have also provided guidance and funding through the £1.5 billion infection control fund to support the reopening of day services.
ParlaMint-GB_2021-07-13-commons.u87	I have been contacted by a Megan, a young carer in my constituency, and I have been in correspondence with the Minister about the lack of guidance for young carers on the gov.uk website. We got the Government to remove an outdated linked to a Barnardo’s service that had closed at the end of March, but they have not replaced it with anything, which has left a vacuum in where young carers can look for advice and support. Can the Minister ensure that there is adequate, up-to-date information on the gov.uk website and that young carers have somewhere to turn to when they need help and support?
ParlaMint-GB_2021-07-13-commons.u88	I thank the hon. Lady for her question and her correspondence on this. She makes a very important point and I will make sure of that.
ParlaMint-GB_2021-07-13-commons.u89	When the Select Committee on Housing, Communities and Local Government went to Germany about four years ago to look at its social care system, we saw that people entitled to public funding for social care could either pay the public authorities or care agencies to deliver it. Alternatively, for a slightly reduced amount of money, they could pay their family members, which meant that the person receiving care got the care they wanted, family members got paid for their efforts and the public purse actually saved some money. In reforming the social care system, would the Minister look at introducing elements of the German system into our system in this country?
ParlaMint-GB_2021-07-13-commons.u90	The Secretary of State has already said that we are working on our plans for social care reform, and we will be bringing them forward later this year. Of course, as part of those plans we are considering unpaid carers.
ParlaMint-GB_2021-07-13-commons.u91	If he will make a statement on his departmental responsibilities.
ParlaMint-GB_2021-07-13-commons.u92	It is an honour to be here for my first oral questions as the Secretary of State for Health and Social Care, and I thank the Prime Minister for bringing me back from furlough. I accepted this role because I love my country and the NHS. I know that I join this Department at a pivotal time, and I have three pressing priorities for these critical few months. The first is getting us on the path out of this pandemic. The second is busting the backlog of non-covid services. The third is putting social care on a sustainable footing for the future. I want to draw on what I have learnt during this time of adversity and what we have all learnt together. I want to make this great nation a healthier and fairer place, and I am looking forward to working with all hon. Members in this House.
ParlaMint-GB_2021-07-13-commons.u93	You missed the fourth: a 24-hour accident and emergency unit for Chorley.
ParlaMint-GB_2021-07-13-commons.u94	East Sussex Healthcare NHS Trust has the potential to get hundreds of millions in investment as part of the Government’s NHS estate infrastructure improvement plan. Will funding be allocated on a two to three-year basis, so that the NHS can better plan its funding and estates plans? Where funding has been indicated for a longer term, what plans are there to ensure that providers have sufficient resource in the shorter term to address immediate issues, or to support covid or recovery?
