ParlaMint-NO_2000-05-10.ana.ud84e27	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2000-05-10.ana.ud84e219	As I tried to say in my previous answer, I think it's an advantage for the whole of this case that you don't always express your opinion and feel something about different possible alternatives. I think the advantage is that there is now a proposal. The Prime Minister’s task is not to look in different directions, nor to make representations in different directions or to decide on various proposals launched here in the Chamber, but it is to make a responsible arrangement for the further management of the banking structure. The Prime Minister is working purposefully and conscientiously on this matter, and then you get a proper order of not too long.
ParlaMint-NO_2000-05-10.ana.ud84e224	The President assumes that it is most appropriate to proceed with key questions – Per-Christian Foss.
ParlaMint-NO_2000-05-10.ana.ud84e227	I understand both the President and the Prime Minister that this is a theme the Prime Minister does not want to answer further. Especially after the cruel criticism that was now delivered against the previous behaviour of the Workers' Party this year, we shall leave it to ourselves. On the other hand, I would like to ask a main question relating to the division of tasks in economic policy. If so, the Norwegian Bank has stated in the letter of budget: «Over time, developments in price levels may be affected by monetary policy. Employment can be affected by wage formation. The allocation of resources between the protected sector and the competitive economy may be affected by financial policy.’.» This is a clarification for Norway’s Bank’s view of the division of tasks. Does the Prime Minister agree with this?
ParlaMint-NO_2000-05-10.ana.ud84e240	I agree, at least, that fiscal policy is crucial for the allocation of resources between the protected and competitive sectors – and that is the key message of that quotation – because it is fiscal policy that determines how much labour and how much resources are shielded and the public sector is to seize. I also agree that monetary policy is at least important for price increases, and I agree that income policy is crucial for wage formation. That's the Norwegian model. This does not necessarily mean that I agree with all other assessments made by the Bank of Norway in its budget letters and in the interpretations of that division of labour. Moreover, I can add that the main point is that if one believes that fiscal policy is crucial to the extent of the competitive sector and how many businesses we can have as living by selling goods in competition with the rest of the world, then again the main question is whether we can manage to show accountability in budgetary policy now in the revised national budget. I am very prepared that many of the budget measures and the proposals for reduced expenditure proposed by the Government will be met with criticism. Then my question will immediately be, what are the alternative containment proposals? Because we have to compare the same thing to the same thing. It is easy to argue against cut, it is much more difficult to argue for alternative cut. That means that I will not be impressed by those who reject the Government's proposal until they have submitted alternative containment proposals. Then we have a fairer comparison of different options.
ParlaMint-NO_2000-05-10.ana.ud84e249	I hope I get the same time for my answer – or my comment?
ParlaMint-NO_2000-05-10.ana.ud84e254	It's 1 minute, sir. Mr Foss, according to the Rules of Procedure.
ParlaMint-NO_2000-05-10.ana.ud84e257	Yes, it's long minutes, President. My comment is just linked to two things. I have not asked for a view on other aspects of the Norwegian Bank's budget letter, but on this quote. What the Prime Minister now says, underlines that employment is affected by wage formation. Wages and salaries have now developed much more strongly than the government thought was sound. This means that we are at risk of increased leave. My question is then: What is the Prime Minister's strategy in addition to the protests about work for all – which I agree with, but it doesn't hold – what is the strategy to limit the possible development of increased unemployment now that we've got a higher wage formation than our competitors and a higher wage formation than the Government itself thought was responsible?
ParlaMint-NO_2000-05-10.ana.ud84e264	The answer to that question is that the whole of our economic policy has it as its primary objective, so it's all about the elements. I can mention someone: one element is, of course, continuing income policy cooperation. An action whereby the Government follows up the reform of continuing education with legislative proposals, including draft appropriations in the revised national budget, in relation to a new chance of higher education. Another element is, of course, the provision of financial policy. We have talked a lot about that today, but it is absolutely vital to ensure work for everyone. A third element is improving the functioning of the economy – what is called structural policy in the Right. There is a wide range of measures, both in relation to a more sensible tax system, in relation to the organisation of some of the state enterprises and – I would say – a renewed and better driven public sector. All these are measures that will help to strengthen the Norwegian economy over time, thus also ensuring employment.
ParlaMint-NO_2000-05-10.ana.ud84e269	There will be follow-up questions – Carl I. Hagen.
ParlaMint-NO_2000-05-10.ana.ud84e272	The Prime Minister now spoke about and, as far as I understood, agreed that wage formation is very important for employment. It is clear that if companies get higher costs than competitors in other countries, they risk going bankrupt and jobs are lost. In this context, will the Prime Minister also consider getting an investigation or looking at the wage formation system? We have now experienced a giant thrill that was partly about the entire private sector. It might now be time for a much greater degree of decentralised wage formation to be assessed in Norway by individual associations and employers or by individual enterprises, so as to ensure that the profitability of enterprises and market opportunities are consistent with the outcome of wage settlement. Will the Prime Minister take an initiative to investigate a system of decentralised wage settlement, of course in cooperation with the parties?
ParlaMint-NO_2000-05-10.ana.ud84e281	First of all, only a brief consideration has been given to the preparation of income and the preparation of wages — and this has gone beyond the framework. But it's still true that there's been a significantly more moderate settlement than what we could have risked if we had had a completely different system of wage formation, for example. how you feel in a lot of other countries. Wage growth in Norway is on the decline. In 1998, it was almost 6 pst., now it's 4.6 pst., which is roughly estimated after settlement, and next year it'll come down to 4.2 pst. So we're going down in wage growth despite low unemployment and high temperature in the Norwegian economy. As far as investigations are concerned, we have the Holden Committee which is now to assess the status of the entire income policy, solidarity option and income policy cooperation. Although I have not read all the draft chapters of the Holden Committee’s position, I take it for granted that they will also pay great attention to assessing different systems of wage formation, more decentralised systems of wage formation, centralised and income policy cooperation and looking at experiences from Norway and other countries. So I think the representative Hagen's need for investigations is well taken care of with the investigations already under way.
ParlaMint-NO_2000-05-10.ana.ud84e290	Børge Brende – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e293	Since the budget last autumn, the temperature of the Norwegian economy has increased. We've got pay supplements that are higher than what we added. We also see that retail sales are increasing rapidly, and housing prices are rising. The reason Norway’s Bank has set up the interest rate is that things are going very well in the Norwegian economy. The possibility of keeping a stable interest rate, of course, that interest rates should not increase further, is to be delivered in terms of financial policy. When things change along the way, you should tighten to more and not just keep the frame from last autumn. What plans does the Prime Minister now have to adjust the fiscal stance in relation to developments in the Norwegian economy? And at the same time, if the Prime Minister is concerned about maintaining a strong private sector, how to do so without affecting the jobs through, for example, imposing even greater burdens on Norwegian holdings?
ParlaMint-NO_2000-05-10.ana.ud84e300	A challenge in fiscal policy, and especially if you want to use budgetary policy to balance the fluctuations in the economy, as we do in Norway, is that the cyclical picture, the forecasts, of how the economy develops, changes from month to month, at least from quarter to quarter. At the same time, the State budget is about expenditure on health, school and for many important welfare purposes. And I think everyone understands that you can't turn these expenses up and down as you get a little bit of changed business cycle reports from different institutions and institutions throughout the year. Therefore, fiscal policy is a bit of a rough instrument, and therefore we do not have ambitions about what can be called ‘fine adjustment’ of fiscal policy in relation to a changed economic outlook. But what we have ambitions about is that once we have adopted a budget that should at least not contribute to raising the temperature of the Norwegian economy – we decided last year – we will be able to continue it throughout the year despite large expenditure increases in many items.
ParlaMint-NO_2000-05-10.ana.ud84e306	Let's move on to the next main question.
ParlaMint-NO_2000-05-10.ana.ud84e309	I want to ask my question to the Minister for the Environment. Last Friday, the Ministry of the Environment issued a press release stating in the first sentence: «The government has today defined the area where the wolf will establish couples and family groups.» It is an alarming formulation based on the fact that the Government actually did the opposite, to allow wolves in new areas of the country. It concerns East Agder, Telemark, Vestfold, Østfold, Oslo, parts of Buskerud, Akershus and Hedmark. I assume that the Council of State confirms that the press release gave a wrong impression. The impression was also made that the contact area between sheep and wolf was bounded on the outside. In some areas – yes. Does the Council not fear that the Government Decision may increase rather than mitigate conflicts?
ParlaMint-NO_2000-05-10.ana.ud84e320	The press release to which the representative Dale referred, which was presented last Friday, was part of the government's follow-up to predatory policy. What we do in this round is follow up the decision of the Storting relating to predatory management, and until now it is mainly areas of Sami domestic reindeer that have been excluded from areas where there has been access to the establishment of wolves. This follow-up has been carried out as a result of the now apparent increase in stocks and the need for delimitation of areas where there is a chance to establish wolves has been present. This demarcation must be seen in the context of another proposal submitted by the Government to the Grand Duchy just before Easter, namely the proposals for changes to the wild law, which will make it easier to obtain permission to trap wolves outside these areas which are now proposed as areas where the wolf will establish itself in pairs and families, but also in those areas where the wolf is harming.
ParlaMint-NO_2000-05-10.ana.ud84e327	I want to hold on to the fact that this isn't about delimiting the area of the wolf, but about letting the wolf into new areas of the country. The government is now putting in place a probationary system for the upcoming grazing season, and the case will then be sent out to the audience, as the council was in, and people in the districts will be invited to participate in a final adjustment of the plan for the fall. But it happens in a situation where the ministry has basically put the main pattern in place. And there's every reason to rush over such a scheme, because all realistic solutions to such issues as this need to be based on cooperation and dialogue with the community. But the procedure chosen here may well lock the situation, and I would therefore ask the Council of State: will such a drastic extension of the wolf area really be realised without a comprehensive dialogue with the communities concerned?
ParlaMint-NO_2000-05-10.ana.ud84e334	A comprehensive dialogue is clearly necessary. Therefore, the Government attaches great importance to dialogue with all interested parties in this matter. Today, among other things, to Eastfold, following this questionnaire, to talk to interested parties. I've been to Hedmark, and it's obvious that we need a dialogue. However, my proposals here are based on the majority of the Storting House, who have, of course, considered the principles of predatory policy to be firm. But there will be a need for a practical follow-up to this policy, and therefore we are promoting proposals for delimitation and proposals to make it easier to tax wolves.
ParlaMint-NO_2000-05-10.ana.ud84e341	Lonely wolves are the exception! There will be follow-up questions – Per Roar Bredvold.
ParlaMint-NO_2000-05-10.ana.ud84e346	Wolf researcher Wabakken assumes that this year it is approx. 20 wolves on the Norwegian side from Østfold to Rendalen in Hedmark. Let's put in 20 million. Public funds to prevent wolf attacks on domestic animals only in Great Elvdal and Rendalen, and this does not seem to be enough. The world guru in wolf research, David Mech, says that wolf is no endangered species. The world population consists of hundreds of thousands of animals. He also warns against believing that the wolf does not attack people, and especially children. The same Mech has previously confirmed that it was the wolf that killed 92 children in India between 1989 and 1995. In Norwegian reports we can also read about how the wolf has attacked and killed children, among others. in the Kiorov district of Russia and Turku, Finland. In the opinion of the Council of State, it is appropriate to allow District Norway to become a loser in order for the wolf to be freed, in order to create a negative quality of life for those living there, for example. in Hedmark?
ParlaMint-NO_2000-05-10.ana.ud84e355	In the follow-up to Norwegian predator policy, we are constantly gaining new knowledge about predators, and especially wolves. The college in Hedmark contributes greatly to this, so that we now know where the wolf is, how it moves and very much about how it behaves. Information related to the management of wolves will be a very important part of future predatory policies. In that way, I think we should achieve a predatory policy that will not conflict with the interests of an industry and the population in the areas where predators are located. Norwegian predatory policy is also based on a follow-up to international agreements, and Norway has a clear responsibility in this way, as the majority of the population has confirmed on a number of occasions.
ParlaMint-NO_2000-05-10.ana.ud84e364	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e367	The government's proposal for an extended area has an important role to play, both on the grounds that the Storting has assumed that the conflicts will be mitigated in this area and on the basis of the procedure selected. First, a suggestion is made, and then you set up a trial plan, and then you let something go out on the phone. I'd like to draw attention to the area of Setesdal Vesthei, where there are between 10,000 and 15,000 sheep from Rogaland and Agder County that graze. Would it not be a far better starting point for the dialogue that the Minister for the Environment would like, if she had first sent out his proposal, then invited to the hearing and dialogue, and then to take the decision, instead of doing so now, in reverse order?
ParlaMint-NO_2000-05-10.ana.ud84e374	It has been very important to put this in place now because it will affect the grazing season of the year. Together with the proposals for changes to the wildlife law, we can then have a flexible predatory policy, a flexible management of the wolf population, as the Stortinget wanted. Of course, we follow up the dialogue along the way all the time. This proposal is now to be finalised at a three-month hearing, and the Stortinge will be given the necessary information on this in the light of the consultation and the final definition of the demarcation area for predators and wolves.
ParlaMint-NO_2000-05-10.ana.ud84e382	Steinar Bastesen – for follow-up questions.
ParlaMint-NO_2000-05-10.ana.ud84e385	I have a question about the wolf debate. It was found by genetic testing that we had a wolf flock of hybrids. The Ministry of the Environment decided that these should be killed – we should not have hybrids in our fauna. Now the Minister for the Environment says we should delimit the area, and we should make it easier to shoot wolves. How's it going with the killing of the four wolves? Have they been killed? And what confidence can Norwegian farmers and sheep farmers around the districts have in the Ministry of the Environment and in the administration? As far as I know, the four kids haven't been killed yet. [[Laughter]] How's that going?
ParlaMint-NO_2000-05-10.ana.ud84e392	The President hopes for an answer! [[Laughter]]
ParlaMint-NO_2000-05-10.ana.ud84e395	It is true that genetic testing showed that there were hybrids that were in the nature of Eastfold, and we wanted to grant breeding permits for them because it is not desirable that such mixed animals are in nature. Some of these are so far out. Genetic testing has otherwise shown that the problem of hybrids is not present on a large scale, it is a real wolf tribe we have in Norway. This is a question that we have to follow up, but several of the hybrids for which the killing permit was granted have been removed.
ParlaMint-NO_2000-05-10.ana.ud84e402	But not all? [[Laughter]]
ParlaMint-NO_2000-05-10.ana.ud84e407	The President inculcates that follow-up questions include one round and not attempts at further harmonisation, Mr President. Bastese. [[Laughter]] Next to follow-up questions is Grethe Fossum.
ParlaMint-NO_2000-05-10.ana.ud84e412	It is clear that the consequences of predatory policies, a wild predatory policy, are poor. What we see in the districts is that people move, people give up on sheep, for example, people don't dare to use the forest anymore as they've done before, and the game disappears. All these things have to be considered when reintroducing wolves into an area, for example. This area is quite limited, and many questions can be asked about how to limit the behaviour of the wolf. It is quite willful, after what I have experienced, so preventing it from entering the North Odal will be a problem that the Minister for the Environment has probably thought about. But my question is what the press release says, namely that there should be different measures to reduce and prevent losses and conflicts. These conflicts not only apply to sheep keepers, they also apply in relation to the use of nature and how the game is to be protected.
ParlaMint-NO_2000-05-10.ana.ud84e419	I would like to remind you once again that Norway has a national responsibility to have a viable wolf tribe. It seems that we are in the process of achieving the goal set by the Stortinget of eight to ten family groups in southern Scandinavia. That is why the policy we are now putting forward for administration will mean, in practice, the removal of wolves after the season of the year. I also put great emphasis on fear and on getting a good level of knowledge about what it means to live with wolves in different areas. So far, we have had very good cooperation with large parts of the sheep industry, we have a number of projects in schools and so on. with regard to information, and we also have good contact with other environments, such as the hunters' environment involved in hunting, among others. elk.
ParlaMint-NO_2000-05-10.ana.ud84e426	Let's move on to the next main question.
ParlaMint-NO_2000-05-10.ana.ud84e429	I do not intend to propose any killings, but I would like to ask the Prime Minister a question after the wage settlement and the vote result. There is no doubt that the responses to the development of increased differences in Norway are part of the basis for the outcome of wage settlement in the private sector. Nor is there any doubt that differences in Norway have increased throughout the 1990s. And there is no doubt that the increase in the differences is primarily due to the fact that the income from capital is very unevenly distributed, and that in addition we have a tax system that does not pay taxes on the dividends on the beneficiary's hand, the logic is that it has paid the company. So that means that a millionaire or multimillionaire on a dividend can pay less tax than a maid who now has 2 dollars plus a little bit more per hour. What will the Government do to change the unfair tax system that has led to increased disparities throughout the 1990s?
