ParlaMint-NO_2000-02-01-lower.ana.ud2432e42	The representative, Jorunn Ringstad, wants to make a private bill.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e246	The fight for increased security and crime is a central task in our society. An effective and well-functioning position of police and officers is crucial in this context. Here are resources, but also the organisation and procedures of great importance. For many years there has been work to ensure a better organised and better functioning budget in terms of its problem solutions. Demands have been made both from the establishment itself, from politicians and from opinion, which have strengthened in recent years. I would like to highlight in particular two objectives that should be taken into account. Firstly, the use of allocated resources, the follow-up to results and clearer responsibilities. The Judicial Committee described in detail the budgetary comments for this year the need for performance measurement in the establishment to identify bottlenecks and place responsibilities. Secondly, the need for better professional and administrative management of the establishment, a more efficient management apparatus. Today's organisational model and division of tasks is not good enough. I believe that there is a unanimous view that something has to be done, and in this context that the Department of Justice's police department has to be relieved and tasks delegated. Compared to other departments, the Ministry of Justice has not sufficiently participated in the development that technical and routine management tasks and the ongoing day-to-day management of large agencies have been carried out by the departments and transferred to other and generally newly established central administrative bodies. Over the years, many initiatives have been taken to achieve improvements in governance and governance and to achieve clearer responsibilities. The Department of Police has been reorganized several times, both in terms of structure and governance. Nevertheless, the current form of organisation is not sufficiently adapted to the tasks and challenges of the overall body. Delegation of powers to the police districts has also been emphasised, and in 1986 the police sub-system was established. This has not worked as expected either. I note that the Lande Hasle Committee, which has unanimously recommended the establishment of a police directorate, has also assessed but rejected a county and regional model as an alternative. The Labour Party therefore believes that the establishment of a central administration unit, a police directorate, for the delegation of tasks from the Ministry of Justice is now a major step forward. I note here that there is overwhelming support among the hearing bodies that have assessed the proposals of the Lande Hasle Committee on Directorates, including among those who have previously expressed scepticism for this option. We support the proposal on the basis of the consensus that something must be done in relation to the delegation of tasks from the ministry. The portfolio is too big, with today's control span to today's police districts and special agencies. The change will provide clearer responsibilities between professional-administrative tasks and more overall policy governance tasks. The ongoing office management and the professional police follow-up require a continuous interaction between central management and underlying bodies, which a departmental structure will not be able to perform adequately. A directorate will contribute to the accountability of the entity as a whole in relation to performance follow-up. It is more clarifying and tidy to have the views of the police from the management of a central unit than, today, partly camouflaged in the positions of the Council of State. Otherwise, we place great emphasis on the need for coordinated police action in relation to the development of organised crime and the need for enhanced international cooperation in the fight against crime. On the part of the Labour Party, we have considered in particular two main issues relating to the proposal for a Directorate. Firstly, the political and democratic control of the civil apparatus of society. Secondly, the form of the directorate, that is, a central administration unit, is the right administrative approach. The Labour Party argues that the proposal for a new central organisation of the police and officers' seat is based on the principle that Norwegian police should be a decentralised body under secure democratic and political governance and control. I would like to highlight here the following from the proposition and the position: the Police Directorate is to be a governing body directly under the Ministry of Justice, and the Department will continue to be the top police officer. The Minister of Justice retains the full constitutional and parliamentary responsibility, as at present, and will have the authority to instruct and to have access to the conversion of decisions into individual cases. We also note that the Government retains today's employment authority for the police action leaders. On several of these points, the proposal we have to deal with today differs from the Swedish model, where the central police department outside the ministry has been given further powers and powers without the direct parliamentary responsibility of the Council of State for the activities. The Labour Party believes that political-democratic control is well-managed in the present proposals. We also agree that operational functions and police authorities are primarily to be provided by police departments or special agencies and that the Police Directorate is not given prosecution authority. With regard to the administrative approach of a central administration unit, we see this as an alternative to previously less successful experience in other ways of achieving better management and clearer responsibilities. Provided the necessary need for delegation of powers and tasks, a directorate will also better ensure consistent management and practice in the exercise of police authorities. Equal treatment and legal certainty across the country are important considerations when moving from regulatory management to more emphasis on performance targets. The need for more coordination of police resources, both nationally and internationally, due to the evolution of crime, also requires the organisation of central management, which can ensure continuous professional and administrative interaction between the various stages of the establishment. Now, at a survey, a sufficient number of people will probably have different perceptions of how the directorate or a central management unit operates in other areas in practice. By that I mean to stress that this is not automatically something seductive, seductive, but depending on the follow-up, task allocation, routines and management at different levels. We will probably have the opportunity to discuss this in more detail in future briefings and budgetary procedures. The latter will also relate to future needs for posts in the Police Directorate. We are currently recording that the crew will be covered by posts from the police department, by redispatching from other parts of the station and by re-recruitment. In the other reorganisation process of the Police and National Staff Committee, the focus is on the release of administrative resources for the benefit of operational activities. We believe that this critical look at the interconnection of administrative resources must be included in determining the extent of new recruitment to the police directorate. I assume that the Council of State, which is demanding funds in many other areas, will take this critical look, even though this is only expressed by the Labour Party. I have concentrated in this article on the balances related to the main model with a directorate as part of the future central police management. With regard to the detailed organisational assumptions on which it is based, I refer you to the referral and the rapporteur's statement. However, on the part of the Labour Party, I would like to point out one point in the position where there are different opinions in the Committee. This concerns the future of the police, where the Workers' Party, the Centre Party and the Christian People's Party believe that, based on the tasks of road safety work, the UP should mainly be maintained as a police unit. Finally, a summary: there is agreement on the need for delegation of tasks from the Ministry of Justice, including: in order to be able to exercise better overall control and management. Based on past experience and investigations into other organisational models, we believe that a central administration unit, a police directorate, will be the best option for our objectives of continued political and democratic control, improved professional and administrative management and performance follow-up, and ensuring a consistent practice and police service. We have expectations for the new organisation of police central management – expectations, but also demands for better results and use of resources. But this is closely related to and depends on how the organisation of the police and officers' seats is going to be. So let me end by saying that we are very interested in attending the big message later this year about, among other things. police duties and division of districts.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e286	In April 1995, the then Justice Department gave a position on the new law on police. The Progress Party then put forward the following proposals: ‘The Government is asking the Government to investigate and promote the necessary proposals for the establishment of an independent and separate police directorate with a joint management of all the police districts of the country.’ The proposal only received the votes of the Progress Party in the main hall. Today, five years later, it is decided to set up a police directorate. The government has carried out the investigation Stortinget did not want in 1995 and is fully supported by its proposal from all parties, with a possible exception of the Socialist Left Party. The reform is overly mature, so even the Right Representative Kristin Krohn Devold to a newspaper. But this is often the case with the Right, a reform must be over-mature before it gets Right-wing support. It should be a good advice to the Right that the party in the future is trying to be in the forefront of development, as the Progress Party is, and not coming neckly after last little. It is important that such a major reform, which will help to increase the effectiveness of the fight against crime, is adopted by the greatest possible aggregate. There may, of course, be details of the Government's arrangements that could have been different, but I see no need to promote alternative proposals now. We will first see how the government's arrangement will work – it is, after all, thoroughly investigated and has been through extensive rounds throughout Police Norway. Even I might think of a different title for the top position. ‘Rail Police Chief’, as proposed by the organisations, may be somewhat more striking than ‘Police Director’, as long as the senior executive will have operational authority. But of course that is not a crucial question, and I see no reason to propose it. In addition, in its proposal, the Government should follow up the recommendation of the Police District Committee to close the U.S. Police in its current form and transfer the tasks of the UP to the individual police districts. It would provide a more rational use of resources. That's hoping it's going to be the next step. In addition, the rapporteur has given a thorough account of the whole matter, as does the Vice-President of the Committee. No further additions are necessary. Once again, therefore, I would like to welcome the Right Party, the Workers' Party and the government parties after. The Minister of Justice has shown a commendable value in this matter, which he has speeded up quickly and efficiently, and he deserves praise for it.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e306	The amendment to the police law that Odelstinget is going to adopt today is much more than just relieving the police department of the Ministry of Justice. The establishment of a police directorate is an important part of the government's conscious policy towards better overall political governance. The consequences of this will be reinforced by the possibility of parliamentary control. We in the Christian People's Party are very pleased with that. This also gives us a much clearer distinction between what is the professional judgement of the police, and what are the political assessments and conclusions. For a long time, there have been expectations that in the Ministry of Justice there would be more than just smoking and reorganizations with no pervasive effect. There are tasks and challenges that need to be given a decisive premise when designing the organisational form and structure of a body. All parties to the Judicial Committee support the Government’s choice of solution. It is a strength when the Directorate is to be set up and become operational. The broad political commitment of the United Kingdom means political will and desire for an appropriate management and organisational apparatus, a democratically governed and decentralised police force, and a well-coordinated and well-coordinated direction of crime. This requires more than the creation of a police directorate. Therefore, the Stortinget rightly looks forward to the promised announcement of the upcoming autumn session, on police tasks, on police resources and on the regional and regional organisation of the establishment. All these conditions are coming together on the road, but today we are taking the first and guiding step. Why has the Government chosen to recommend the Storting to go in for a police directorate? The foundation lies, inter alia, in: two important factors linked to the development of crime. Today’s crime scene reveals a much stronger need for cross-border police cooperation, i.e. international cooperation. On the other hand, in the national arena, the development of crime following changes in cooperation relations between the central police department, the special agencies and the police districts is called. Apart from the coordination work and the division of tasks, the time aspect is central to this. Decisions and feedback must take place quickly. Is this what I have now said, that we are nevertheless releasing the Police Directorate and giving it an independent role outside the responsibility and control of the Minister of Justice? No, on the contrary, here we suggest that the Norwegian police continue to be a decentralised body under secure democratic and political control. In concrete terms, this means that the Directorate is to be a management body directly under the Ministry of Justice. The Council of State retains the overall constitutional and parliamentary responsibility with the authority of instructions and the possibility for decisions to be converted into individual cases. In addition, the Government will retain the appointing authority of the police action leaders as at present. But let me stress: the Council of State is primarily to exercise its overall responsibility for the police directorate through framework management, and not in everyday detail. None of us believe that setting up a police directorate in itself will necessarily give the goal we're after. Although Storting facilitates matters in the best way by decision, very much will depend on the people who are to bemoan the posts of the Directorate. Much will be involved in the development of a dynamic organisational culture that quickly coordinates and launches criminal policy measures. In the Christian People's Party, we believe that a condition for the development of a good organisational culture is that management is capable of following personnel responsibility. Individual skills and interaction in safe and positive work environments will provide the best prerequisites for the establishment's achievement of its objectives. This is a major challenge for the Government, which will first employ the Director, and then, together with him, design and define the organisational structure of the new Police Directorate. In this work, it is important to have a long way to go in the consciousness of a unanimous committee that sets out as a premise or objective to set up the directorate. For the Christian People's Party, it is an important principle that the investigation activities are governed by an independent prosecution authority. That means that we fully support the assessment that the Directorate of Police should not have prosecution authority. That authority shall be with the police locally, but subject to the State attorneys and the State Attorney, who are again subject to the King of the Council of State. But in order to underline the police director's status, we believe it is right and important that he has police authority. With regard to the other tasks to be added to the directorate, the Christian People's Party supports what has been proposed by the Government and is presented in the vote.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e329	It's an important matter we're dealing with in Odelstinget today. The Government has proposed and obtained the unanimous agreement of the Judicial Committee on the establishment of a new central police administration and the necessary changes to the Police Act to provide the basis for the establishment of a police directorate. Although the proposal contains only a few changes to the current police law, important changes are essential in order to ensure better and more effective police management. We are well-known that there have been many attempts over the years to establish a new central police department. All the trials have been justified by the fact that the ministry's work form and organisation have significant weaknesses in managing a large body such as the police. There is therefore every reason to commend the Minister of Justice and the Department for the Government's proposals, which are now being approved in this Chamber. It testifies to courage and action, and the proposal will undoubtedly be a welcome tool both in the fight against crime and in the police's important prevention work. The proposal to organise a new central police management is based on the principle that the police should be a decentralised police under political direction and control. A particularly important element of this change is that the Minister of Justice will continue to retain the full constitutional and political responsibility of the police, as we have today, and will also have the authority of instruction and access to the recasting of decisions taken by the Directorate. The establishment of a police directorate will, in my view, ensure an appropriate and effective management and organisational apparatus. The Directorate of Police shall be composed of senior management, police preparedness, strategic and operational planning and methodological development as important functions. The Directorate is also intended to be an organisational tool in the fight against crime. In setting up a Directorate, better provision will be made for coordinated action within the criminal chain and strengthen multidisciplinary cooperation. The Police Directorate will undoubtedly also play an important role in the development of new working methods for combating crime, and it will be central to strategic innovation and coordination of police action in the fight against the increasingly widespread national and international organised crime. One of the main objections to the establishment of a police directorate has been the weakening of democratic control. The demands on the police are often filled with difficult dilemmas. The budget must be a guarantor of our legal security ideals – it must be effective, democratic, decentralised and public. Many of the choices that need to be made about methodological use, organisation or delegation often include political choices, where classical liberal values are weighed against each other. Then it becomes too easy and easy to claim that an important consideration, in this case democratic control, is weakened, without sacrificing the alternatives, the consequences or the implications. A key point of police reform is to increase clarity and a more functional distinction between the department's tasks and the more police-related tasks. Today, thousands of individual cases are dealt with at ministerial level. In addition, the Ministry has extensive responsibilities for senior management and control and inspection. This has largely been at the expense of the role of the professional secretariat for political leadership. The reform will therefore strengthen the political opportunities, i.e.: democratic, governance. It is my clear belief that the Government's proposal for a new central police management has all the important elements in itself to ensure the effective and appropriate management of the Norwegian police in the future. Finally, I would like to congratulate the Department of Good Political Crafts. Finally, a brief comment to the representative Jan Simonsen's post, which was welcomed after: The directorate that the Progress Party proposed at that time, without political and democratic control, and that was voted down in the Stortinget, is quite different from the structure that the Government has proposed, and to which the Stortinget has given its consent.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e357	The Swedish authorities also recognise the need for organisational changes in the police force. The work of the Department of Police has become major. The department is overburdened, and is well in the process of drowning death. Then, of course, you can discuss the reason why this has happened. This may include: a strong need to control and know what is happening in the building. The proposal presented today is poor, especially for two reasons: one is of a more principleal nature, while the other is more pragmatic. Firstly, the principle is that this weakens the democratic control of the police and the activities of the police. There can be no doubt that the directorate form, which was probably the shape of the 1950s and 1960s, should not be the form we choose today. Although one initially has ambitions and goals of having strong political governance of the directorate, experience suggests that as time goes by, such a directorate can easily become a state in the state. Experience suggests that there is always a danger of such a development, and it concerns us very much. We believe that a better form would have been to move tasks into the districts, that governance functions had been delegated to local or regional police subjects, more like the Swedish model, with local, regional, political control and governance both with resource use and with other parts of the local business. Centrally, one could have set up an inspectorate, more like the English model, an inspectorate without a direct governing authority, but with the task of ensuring that both central and local guidelines are complied with outside the police. A directorate seems centralizing. That's our second charge against this way of organizing it. We believe, as I said, that it would be better to shift the decision-making authority and get stronger political control through regionalisation, a stronger local organisation of this. That's why it's right that we're the only ones in opposition to this proposal. We have a proposal – and I will take it up here – asking for the matter to be sent back to the department, and we are putting some leads into this proposal.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e368	Rolf Rikham has taken up the proposal he referred to. Harald Hove's next speaker. The President, however, records that the word has been asked for a line, so that the President opens the door to a change of lines.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e373	In connection with the contributions of the representative, Mr Rikham, I would just like to ask a few questions relating to what is described as ‘bad’, the two main points and the proposal he has put forward to correct what might be a weakness in the proposal put forward by the Government and to which a unanimous committee agrees. The representative, Mr Rikvam, claims that the proposal for a police directorate weakens democratic control. The Committee has been aware of this and has therefore described in its opinion why it is not intended to be such a result as it points out. What does Rolf Reikvam think about Odelsting's clear statement as a guide and as a kind of watchbow in the follow-up to this? Because it's clear that when we make such a decision, it's because we want things to work out like we said. And here we're going to follow and we're going to get results. In addition, it is said that a directorate is centralising. No, it is stressed quite strongly that operational activities are going to take place around the country. What I'm asking about the proposal that SV has made is whether it's not really an attempt at a withdrawal, a delay of a long extension process. Police, which also include elected representatives, need to be consulted – at least.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e384	It is quite clear that our proposal will mean a delay in the process. We are unable to implement this as proposed by the majority, with the establishment of a police directorate as of 1 January 2001, so this means a delay. We need a new process – that's clear. So to what goes on democratic control. With regard to the directorate form, we can basically say quite clearly that we need strong democratic control here. The Minister of Justice shall direct the business, it shall be subject to his managerial function. But when we choose the way to organise it, as a separate directorate, we have experience – a lot of experience – in order to weaken the democratic governance function. So when we claim that this danger is present, we base it on experience in that form within other parts of government. We've been moving away from the directorate form in many areas and adding the tasks to the departments, also trying to move them out and down the system. So with our arrangement, with tasks delegated to our own police subjects and an inspectorate central to ensure that the guidelines are complied with, we would have had a significantly smaller central organisation. We imagine that the proportion that will remain in the Ministry of Justice will be like what is suggested by the majority with a police directorate, and then we move the other tasks to our own police subjects. So our proposal will seem less centralizing, it's quite certain.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e392	Several have not asked for the word for a line. Now the President gives the floor to Harald Hove.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e397	I am sorry to get started, but at the same time I get to say that it was good that there was one exchange of lines in this matter, which makes it an element of debate. I almost think we should pay tribute to both Rolf Rikvam and Finn Kristian Marthinsen for that. It's an old thing we have to deal with today. There is a case that has occurred in the Norwegian public at least 30-40 years, and there is a balance in this matter between several important considerations. To take two – a little simplified: one is efficiency, and the other is democratic control. But there will also be some other elements that I'm going to come back to. I also believe that we should be so direct and say that the somewhat varied experience of Sweden, with their system of a national police chief, has well been under the Norwegian debate and has been involved in perhaps delaying the introduction of a police directorate, which we are now about to adopt. The Left supports the Government's proposal for a Police Directorate and substantially agrees with the Committee's comments in the vote. And – for the sake of order – we join the Christian People's Party and the Center Party on the points where there are shades in the committee. I am also pleased to say on behalf of the Left that there is a Left-State Council that has been able to present this proposal, because – as Kristin Krohn Devold said – there are probably several Labour Party Councils that have tried in the last ten years, without success. In my opinion, this is without doubt a correct proposal. But that does not mean that there is no basis for counter-representation in relation to a police directorate, and that is in itself the basis for counter-representation based on multiple approaches. But the point becomes a little bit of a two-sided one. One is that the benefits of setting up a directorate are greater than the disadvantages, and a good part of the counter-representations you should naturally have in relation to a police directorate can – as the proposition and the position just put it – be ensured by the legislation and the arrangements you have for the police directorate. This is why – as a small note to the director, Rikham’s post: In fact, a directorate can be different from the setting you have around the directorate. What is important for the Left, and which is also clear from the proposition and the setting, is that we have to have a decentralised police and janitor's seat. There shall be a significant authority added to each of the police officers, and the main operational responsibility shall be with each of the police officers. Setting up a police directorate is not a change in this starting point. At the same time, there will be a point that better coordination and more efficient use of resources can be achieved, perhaps not least because more police-related management can be achieved that can drive method development, etc., but not operational management. It is also important to stress the point that the Police Directorate should not have prosecution powers. For the Left, it is a central point that the title of the Executive Director shall be ‘Police Director’ and not ‘Richspolizief’. And it's actually such an important point that we have to contribute to the fact that in public debate you don't slip in relation to the title you're operating with. These include: precisely a point that the operational management of the police is initially not linked to the police director. It is also central to democratic control. The police are the civil apparatus of power, and democratic control from big business, government and ministry is very important. But I agree with Kristin Krohn Devold that this is not the same as the fact that this is best carried out the more formal authority that has been added to the department. It is important to be concerned with the delegated authority and to maintain the necessary professional competence in order to be able to discharge overall management responsibilities. To sum up, it is an important reform, a proper reform to make the police more efficient and to ensure better international cooperation that Norwegian police become a major part of. But at the same time, it is unusually important how this is being done, in order to maintain and strengthen the values on which the Norwegian police are based, civilised, decentralised, close to the population and under democratic control.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e418	It's going to be line change.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e421	I guess it was no sensation that the Left supported its own government council. Howe spent some time on the directorate form, and he was busy with the setting it was inserted into. I want to start with a principle starting point, based also on experience. The experience we have with the directorate and the development of the directorate when it is established is that it is developing – at least in many contexts – to become a state in the state. These are the experiences we have. If we agree with that in principle, my question becomes: what is it that makes the Left want to go in for this directorate form, whose goal is to ensure a stronger political governance of the police, which is the authority of civil society? I think that Harald Hove should have problematicated just this something more than he did. And that it seems centralizing, I assume that Hove agrees with me, as it is added up to. When we look at the number of posts that are set up in this central directorate, and at what's left in the ministry, at least the number of posts will increase, so that it's in itself put up for some kind of centralization with greater power at the centre of a directorate. I hope that Harald Hove agrees with me, and that someone could have chosen another model. One could have followed up the Swedish model with police subjects, where one could have also put in a stronger democratic control.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e428	With regard to the initial remark that it was probably not so sensational that the Left supported a proposal from a Left State Council, I agree with the representative of Rikvam. Now I have intended to record that there is no requirement that everything that is said from this pulpit should be sensational, so I guess that would be okay enough. But, as I hope it appeared from the speech, it was also in the support given, something more than such ritual support for a proposal from a government for which the Left is part of the parliamentary basis, and from a Left-State Council. It was also an expression that it is Left's and my opinion that this is a correct proposal, but I allow myself – it must be allowed to be a little proud of his party from this pulpit – to say that I am not in doubt that this has been framed so that the proposal is good in any case because it is presented by a Left Council. I shouldn't have said that it couldn't have gotten it with another state council as well, but in any case because it's being presented by a Left State Council. It is precisely to introduce important leadership in maintaining a decentralised police force, and it is important to emphasise the need to maintain democratic control. It is clear that this emphasis on the importance of the framework should, of course, recognise that there may be elements of danger associated with a development that takes us away from the point of view. On this issue, there is no other and better answer than to say that it is important to follow the directorate's further function in the public debate and to follow up on how this works.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e437	Several have not asked for the word for a line.
ParlaMint-NO_2000-02-01-lower.ana.ud2432e440	I'm not going to hide that the creation of a police directorate has been a difficult question for us in the Workers' Party. We started with blank sheets. After careful review, consultation and batch treatment, such as: also included former justice ministers from the Labour Party, we have stated that we are in favour of setting up our own police directorate. That an overall committee to the seventh and last stand behind the committee setting, I think will facilitate implementation. There is a great deal of consensus that it is unsustainable to let the conditions continue as they are today. With today’s governance model, too many issues become ‘political’. At all, the amount of police cases that end up in the Ministry of Justice is becoming too large, and there are too many individual issues about political management. One prerequisite for what we are doing now is that we will not weaken political democratic control. The removal of tasks from the Department will, in my view, open the way for better political democratic control, with much better time for the Department's political leadership to deal with the major political issues related to the police case. Today there is no constitutional buffer between the Council of State and the police. In my view, there is today some sort of indistinctness between the department as the secretariat of political leadership and the department that operates by the day-to-day management of the police. As important as getting a directorate built up in a modern way, tasked with managing the day-to-day management of the external department, it's that the remaining police department, with the crew outlined in the proposition, is organized in an appropriate way. The Police Department will be able to give priority to its tasks as a political management secretariat, as senior management and as executive board in a different and better way than before. A greater possibility of ‘recule’ the task of the political leadership secretariat will not least mean much to the Council of State and its political staff. As several speakers have already pointed out, I would also like to stress the importance of the fact that the Directorate is not given the prosecution authority. The danger and fear that one may lose some of the political governance by moving parts of the police station management out of the department must be taken seriously. Here we must all be on guard and follow developments closely. However, I believe that with the present model – which is its own Norwegian model, where a strong emphasis is placed on the importance of democratic political control, as has also been done in the committee position and also in the European Parliament today – the danger of this happening is small. Another counter-argument is about the use of the directorate form is the right way to organise the daily management of the police. If the traditional form of the directorate is the right form of governance for the external offices you have in the Norwegian state administration, I feel a more general question there may be a lot of good reasons to ask. A total review of this system, with the assessment of resource use, governance models and government distribution, should be in the interest of any government. However, these issues should not prevent us from being separated from the management of the external police from the ministry. No one should believe that one by a new organization without further delay achieves the results and the board structure you want. There is no phase response, attempts have been made before. Success requires a broad and targeted work from all involved, from management to the various police districts. The fact that we are still going to have a decentralised police system in Norway does not mean that, as far as I am concerned, no one has spoken against. Another aspect is how many police districts we need and how they should be put together and organized. These are questions that Stortinget will have the opportunity to decide on later. I just want to suggest now that with a different organisation of districts there may be a potential for the release of resources, which in turn could result in the Norwegian people getting better police services and getting a safer society. That must be the main motive behind the organisation of all stages of the Norwegian police system, including the one we are now adopting today concerning the central management of the police.
