ParlaMint-NO_2000-10-02.ana.ud787e29	If no one has any objections to the proposal, I will comply with the request.
ParlaMint-NO_2000-10-02.ana.ud787e237	I suggest Signe Eye.
ParlaMint-NO_2000-10-02.ana.ud787e245	Signe Eye has been proposed as Secretary. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02.ana.ud787e253	The President is asking for a proposal to the Secretary of State.
ParlaMint-NO_2000-10-02.ana.ud787e258	I suggest Bjorn Hernæs.
ParlaMint-NO_2000-10-02.ana.ud787e266	Bjørn Hernæs has been proposed as Secretary of State. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02.ana.ud787e274	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals for the first Vice-President.
ParlaMint-NO_2000-10-02.ana.ud787e279	I suggest Gunnar Breimo.
ParlaMint-NO_2000-10-02.ana.ud787e286	Gunnar Breimo has been proposed as the first Vice President. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02.ana.ud787e294	The size should then choose another vice-president. The President is asking for proposals.
ParlaMint-NO_2000-10-02.ana.ud787e300	I suggest Lodve Solholm.
ParlaMint-NO_2000-10-02.ana.ud787e305	Lodve Solholm is proposed as the second vice-president. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02.ana.ud787e313	Finally, the Secretary-General shall be elected. The President is asking for proposals.
ParlaMint-NO_2000-10-02.ana.ud787e320	I suggest Leif Helge Kongshaug.
ParlaMint-NO_2000-10-02.ana.ud787e327	Mr Leif Helge Kongshaug has proposed you as Secretary of State. Other proposals are not available. It's going to be grazed in the usual way.
ParlaMint-NO_2000-10-02.ana.ud787e335	The President proposes that the appointed alternates, Gerd Johnsen and Ellen Gjerpe Hansen, be elected to Lagtinget for the time they meet for the representatives Erik Dalheim and Ole Johs respectively. Brunese. – It shall be deemed to have been adopted. The President proposes that the Storting should now suspend its negotiations in order for the Laging and Odelstinget to meet and elect presidents and secretaries. – It shall be deemed to have been adopted. The stork continues its negotiations after the Lagninget and Odelstinget have formed.
ParlaMint-NO_2000-10-02.ana.ud787e379	The President declares Norway's 145. Storting legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the Government so that he may obtain the King's decree on the time of the opening of the Storting. – It shall be deemed to have been adopted. The time will later be announced by a look-up in the Storting Building. The President requests that, after the Grand Duchy has been declared open, and after the paper and the report on the state of the kingdom have been delivered, the President should make the customary request to the King and the country of origin – and consider this authorisation to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting – and also considers this mandate to be granted. As a deputation, the representatives of Torny Pedersen, leader, Ivar Kristiansen, Inge Myrvoll, Odd Eriksen, Steinar Bastesen, Kari Økland and Tomas Norvoll are appointed. The President further requests the authorization of the Storting Presidency to carry out, in accordance with general practice, various activities of the Presidency and makes the following proposals: ‘The Presidency is authorised to record and edit the debates in Stortinget and its departments in accordance with the instructions given and to make at any time the necessary provisions for the publication of laws, decisions and documents.’;» – The proposal of the President shall be deemed to have been adopted unanimously. On the occasion of the solemn opening of the Stortinge, Oslo Biskop has invited Stortinget’s representatives to worship in Oslo Domkirke today, Monday, October 2, at 9.00 p.m. 17. The service will be held by Bishop Gunnar Stålsett and Judge Olav Dag Hauge. Before the meeting is closed, the President will point out that the time for the presentation of the budget is Wednesday 4 October at 9.30 a.m. 10th@item: inlistbox
