ParlaMint-NO_2000-12-18.ana.ud1669e60	The representative Hans J. Røssorde, who has been licensed, has once again taken the seat.
ParlaMint-NO_2000-12-18.ana.ud1669e201	Øyvind Korsberg has taken up the suggestion he referred to.
ParlaMint-NO_2000-12-18.ana.ud1669e204	There's only one area in this case that creates a little bit of a headache. That's the rate at which this is going to happen. I would then challenge the other parties to terminate their proposal. That's why all the parties, with the exception of the Progress Party, want to reduce SO2 emissions. All parties are certain to consider whether to create a fund that targets the effort on the SO2 fee. So it's just a question of how fast we can get on with the measures, which are all necessary, but there's only one proposal that says something about progress. Of course, it is quite possible to be able to present proposals for measures already in the revised national budget. It is strange that we are not able to initiate the process here today, which not only respects the intention of the Gothenburg Protocol, but also contributes to concrete environmental improvements as quickly as possible. I would like to address the proposal of the Socialist Left Party.
ParlaMint-NO_2000-12-18.ana.ud1669e211	Hallgeir H. Langeland has taken up the proposal to which he referred. Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 1485]]
ParlaMint-NO_2000-12-18.ana.ud1669e227	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 50 minutes and that speaking time be allocated to the groups as follows: the working party 15 minutes, the other groups 5 minutes each. Furthermore, the President will propose that there be a possibility of a replacement of lines of up to five lines with replies after contributions from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2000-12-18.ana.ud1669e236	An overall committee highlights the importance of the revenues generated by the petroleum activity and will continue to have for the development of the Norwegian welfare society. We still have significant oil and gas resources that can and should be used. Against this background, strengthening the competitiveness of the continental shelf is an important challenge. This is the main theme of the Communication, and this main theme is addressed in depth and concrete terms. The proposals that are being promoted have been widely accepted by the Committee. Simplification, stability, predictability, technological development and internationalisation are key keywords. It has also been suggested that a better balance be struck in the operational environments, with greater room for smaller companies. In order to make the necessary progress in this improvement effort to strengthen the competitiveness of our continental shelf, the Committee calls on the Government to submit a Communication on progress in the work on the various proposed measures already in the context of the revised summer national budget. There has been a awareness throughout the oil era that reserves will end. Technological developments have led to an increase in industry prospects beyond what was once predicted. The starting point for the consideration of the communication we are discussing today is that the prospects of the petroleum industry are longer than its history. It's a different perspective than one had when these questions were discussed just a few years ago. It is important to have this perspective clearly stated when discussing the adjustments that are now being made. The Committee stresses that Norway should have the ambition to be a leading country as an energy producer, but this should be combined with active efforts to be a leading country also on environmental issues. This is an ambition that obligates. Health, the environment and safety have been more central to the work of the Committee than to the notification under consideration. Our starting point has been a signal from the Oil Directorate that gives cause for concern. There is talk of increasing the level of risk and, in some cases, of lower company follow-up. There is a broad desire in the Committee to have a review in a wider range than the notification makes, because even if the committee does not want to blackmail the situation, you want to take it seriously. That is why a new communication on health, environmental and safety issues related to the oil sector is requested for treatment at the next Storting harvest. The rescue helicopter service is also central to all those who are engaged in the activities on our continental shelf. The central government had agreed that there would be a message about the rescue helicopter service to Stortinget before the summer. It didn't come, and now we know that the new government is sending a message to the spring. The centre parties and SV already want to make it clear that, in connection with that message, we will enter for a response time of 15 minutes, as the Fostervoll committee setting adds. The majority will wait, but hope very much that the conclusion that the centre parties and SV are now reaching, will get broad support when this case comes to treatment in Stortingen to spring. This is a very important matter for all those involved in offshore activities and for the coastal population in general. In one area it is the same in the Committee. This concerns the question of the limit on the time at which the handling of investment matters is to reach the Storting. That limit is proposed to increase from DKK 5 billion to DKK 10 billion, and that is the reason for the time-use and that companies are adapting to the current limit of DKK 5 billion, which is used as an argument for the Government's proposal. The left, the other centre parties, SV and the Progress Party do not share that view and want to keep the current limit of 5 billion kroner. We point out that the treatment period in Stortinget has been down to two to three months, even shorter than that for matters of this magnitude, and that should be an acceptable treatment period. The Centre Parties and the SV have also expressed the wish to submit to spring an overall action plan to develop CO2-free technology for gas power plants. It has not been agreed by the majority, but I hope that, together with the action plan that comes to spring, in order to achieve our Kyoto targets, it will come with a plan of action for the development of CO2-free gas power plants. What we are dealing with today would naturally belong to the organisation of Statoil and HEAD, because it also concerns the competitive situation on the continental shelf. Now we know that this matter will be dealt with in the spring. From the left, it is a starting point that we want to contribute to a broad compromise around the Statoil organisation and the DEA, and that the consensus that in many ways characterizes today's setting can also be at the root of that.
ParlaMint-NO_2000-12-18.ana.ud1669e255	As the rapporteur explained, there is a broad consensus in the Storting on most areas of oil and gas policy. It gives the industry a signal of stable framework conditions, which is important in an industry where large and long-term investments are made. Oil and gas activities have had a significant impact on the social development of our country in the last 30 years. The income from the business has enabled us to build one of the best societies in the world. But we must not forget that it has had its price. The extraction of resources poses a significant risk to health, life and the environment. Unfortunately, we have to note that many workers have lost their lives or been injured in major and minor accidents. This despite the high priority given to safety and the working environment by the authorities and oil companies. We have recently received signals that indicate that the risk is increasing, and that safety has become worse. The daily newspaper, Friday, December 15th, indicates that the OD has been reported on 464 so-called adverse events on the base until the end of November. It's serious. I will be very careful to have too strong opinions about the reasons for this. But I have a perception that a strong focus on efficiency has led to less focus on safety. We are also in the situation that many of the platforms get a longer life span than planned because they are able to extract more oil and gas than they thought when the field was being expanded. This obviously requires substantial investment in maintenance, so that the age of the installations does not increase the risk of accidents. The oil notification refers to health, environment and safety. However, I believe that it is necessary, not least for all those working in the industry, that the Storting should be given the opportunity to discuss the many aspects of security as a matter of their own. I am therefore pleased that the municipal minister will present a big message on this until next year. Many companies are licence holders on the base, with operator responsibility or as participants. The companies are different. And they individually participate in their competence. We also know that new and smaller companies want to be licensed on the base. The Committee supports the Government in opening up to smaller oil companies, the supplier industry and so-called downstream companies on the base. Of course, a prerequisite is that they possess the necessary competence. I think that in small and marginal fields and in tail production in older fields, these companies could be a useful supplement to the larger companies, and we'll get better resource use and greater value creation. While we see new companies knocking on the door, we also experience a technology development that opens up huge opportunities. Technological developments make it possible to extract oil and gas at large sea depths, and we are able to increase the extraction rate of existing and new fields. This makes the industry more profitable, and fields that were previously marginal are now being developed. The supplier industry has been through a difficult period. Many workers in this industry are still affected by word-dried drought, with subsequent lay-offs and lay-offs. Fortunately, there are things that indicate that it will turn around. New contracts have been concluded, engineers can turn on computers and many yard workers can start welding again. This is how companies will keep well-qualified workers. This is important for enterprises, but also for the many communities where enterprises are located. We have tended to think of the oil and gas industry as a national industry. Of course, that's wrong. The Norwegian oil companies are represented in many parts of the world and participate in large fields of land and sea. Through their activity on the pedestal, our companies have developed a competence in marine oil extraction as there is demand elsewhere in the world. In the internationalisation of our oil and gas industry, we must also ensure that the supplier industry is included. It also has significant competences which should make it absolutely competitive. Working with the oil message, we have confirmed that we have an oil and gas industry that believes in the future and that shows the ability to renew. I'm glad. We want oil and gas resources decades in the future on a Norwegian base, and we have an industry that is increasingly taking off in the world.
ParlaMint-NO_2000-12-18.ana.ud1669e274	It is particularly important that we constantly focus on the framework conditions for oil and gas activities, which are one of our most important industries, and which provide the country with high incomes. After a time of high oil prices and high dollar rates, we've had a fall in oil prices over the past few weeks, but at least that's not dramatic. However, it is important that we have framework conditions that make Norwegian cap more robust for the fluctuations in oil prices. We all remember what happened last time we had a sharp drop in prices. A number of expansion projects were postponed or scrapped, and this had a dramatic impact on the supplier industry with both lay-offs and redundancies. This in turn led to the fragmentation of environments of competence that had taken decades to build up. We will always have some fluctuations in the rate of expansion on the base, but it must be a goal to avoid the dramatic failure we had a short time ago. There are a number of sensible measures in the communication we are discussing today that will improve the competitiveness of Norwegian capital, but this alone is not enough. I also look forward to a review of the tax regime of the socket, in which, in our view, we have to remove the gross taxes on the base first, as well as create a tax regime that more often divides economic premises and premises. This is probably the most important measure to strengthen the competitiveness of Norwegian soil so that the industry is more resistant to the fluctuations in oil prices. The message adds to another and more diverse image of the actor on the socket, and we see this as very positive. By getting rid of companies that are more specialised in niche and tail production, one will also benefit from a much better use of our petroleum resources. The party also takes a very positive view of the simplification of the application dossier, and we are particularly pleased that group requests are being opened up, which we have raised on several occasions in the past. We would like to call for the award of concessions to be based on the principle of tendering. This will better facilitate non-discrimination and competition on the base, and may also strengthen the opportunities of Norwegian companies for international investment. It is also important to have sound rules in the field of health, environment and safety in the oil sector and to have effective control and supervision of compliance with the safety rules. Unfortunately, we have received various signals that the turns have sometimes gone a little fast. I am therefore pleased to draw up a separate communication to the Stortinget focusing on health, the environment and safety aspects of the work on the socket. I would like to take up with this the proposals No. 1 and 2, on behalf of the Party of Advancement and the Right, and Proposal No. 3, on behalf of the Progress Party.
ParlaMint-NO_2000-12-18.ana.ud1669e295	Øyvind Vaksdal has taken up the suggestions he referred to.
ParlaMint-NO_2000-12-18.ana.ud1669e298	The position on oil and gas policy, which Stortinget is dealing with today, shows that there is much agreement on the main lines of the batches. It is important that, in an area of such importance to Norway, it is possible to find compromises that can bring together as broad an upturn in the Storting as the setting indicates. The Committee attaches great importance to Norway being a significant energy nation, while at the same time being a priority country in the environment. Of course, the Christian People's Party is committed to the objective of an ambitious environmental effort in relation to oil and gas extraction. We believe that thorough environmental analyses need to be carried out in relation to new exploration and extraction areas before new activities start, not least in relation to our large fishing resources. The Christian People's Party is also committed to considering the establishment of zones for oil and gas-related activities, including: in the Skagerrak and the Barents Sea, in order to protect environmentally highly vulnerable areas. One of our biggest challenges on Norwegian continental shelf is to further develop and strengthen the competitiveness of the base, as a result of an international petroleum industry in major changes. Several large oil companies have joined together in larger units to strengthen their position and to improve their ability to meet tomorrow's challenges. Norwegian oil and gas activities must also take this into account and make changes and adaptations that maintain and strengthen Norway's position as a significant actor in the petroleum sector. These include: in this context, it is important to facilitate the necessary reorganisations and changes in the ownership structure of Statoil and to clarify the role that the company will play in the future. This will give the Stortinget the opportunity to discuss more thoroughly during the treatment of St.prp. No 36 for 2000-01, probably in the spring of 2001. However, the centre parties would have preferred this proposition to be dealt with in the context of today’s notification, as the organisation of Statoil and SEE significantly affects the work on several of the objectives outlined in the notification, as the central government in its time provided for. The Committee has expressed its opinion on health and safety concerns on the socket. There have been signs that the level of injury is increasing and that efforts in this area have not been adequately addressed. It is important to stress the need to set ambitious targets for the safety of our oil installations. The Christian People's Party is therefore pleased that the Government has announced that it will come to Stortinget with its own notice on health, the environment and safety aspects of working offshore. Themes that should be included in such a message include: maintenance, environmental considerations and safety level monitoring. The government and the majority of the population will raise the limit from DKK 5 billion to DKK 10 billion for projects approved by the King of State Council. The justification is, among other things, this will facilitate the processing procedure and prevent unnecessary delays. The centre parties and the Progress Party disagree with this. The experience we have with these kinds of issues is that new issues of expansion have become a high priority in the Committee, which includes: as a result, the development of White Bear and Grane was completed in less than three months and thus did not represent a delay problem, as the majority claims. For the Christian People's Party and Centre, it is of great importance that the main projects be anchored through treatment in the Stortinget, which should be directly involved in such large investment projects relating to central resource management and important environmental issues. There is also much to suggest that planned projects over the next five years will be closer to the 10- to 5-billion-dollar limit, based on preliminary estimates of costs. As a result of low oil prices in 1999, the supplier industry experienced a drought that hit hard. This led to major restructuring measures, such as: resulted in significant downsizing. It is important to ensure competence and labour in this industry. To this end, the Committee stresses the importance of ensuring good framework conditions that are not too cyclical. The oil price varies greatly, which confirms the price level for the last year. It has led to higher activity in the petroleum sector and underlines the importance of maintaining skills and labour even during periods of lower oil prices and activity levels. The central parties agree that Norway, as an energy nation, should be seen as a leading country on the environmental side as well. These batches therefore want the development and use of cleaning technologies for gas power plants to be intensified. In addressing the energy message, the Centre Parties proposed a package of measures to stimulate the development and construction of gas power stations without CO2 emissions. This is important in relation to our Kyoto commitments. Finally, I would like to draw attention to the setting, where the Christian People's Party, the Centre Party and the Left ask that work on an action plan for CO2-free gas power plants be given priority, and that such a plan be presented to the Storting in the spring of 2001.
ParlaMint-NO_2000-12-18.ana.ud1669e321	The revenues generated by the petroleum industry have played a major role in the development of the Norwegian welfare society. The oil and gas sector, together with maritime industries, is being promoted as the strongest and most significant business cluster in Norway. There has been a awareness throughout the oil era that the reserves would end once. However, technological developments in the industry have led to longer prospects for industry than ever had been predicted. In 1998, oil prices fell dramatically, and in many ways a more pessimistic attitude to the industry that has been stuck. It is therefore important to stress that the future prospects of the petroleum industry in Norway are significantly longer than its history. In the foreseeable future, this industry will be crucial for the further development of our welfare society, employment and value creation. This is an important perspective for the adjustment of Norwegian petroleum policy, and implies that Norway must continue to focus on development, education and research related to this significant business cluster. Therefore, the right is pleased that the Government, through this communication, adjusts the Norwegian oil policy course. We will then have more flexible, market-oriented and thus competitive conditions for the industry. The Norwegian continental shelf is in the process of transition to a more mature phase where the costs of deployment and operation can be increased, while at the same time opening up areas internationally for exploration and extraction. Despite the fact that one currently has a high oil price, a strength of the Norwegian cap must have its relative competitive position. The oil price is equal to the world, so it's the conditions of the different countries that determine where companies find it most sensible to invest their capital. On the right, it has been recorded that NOU 2000:18 on the taxation of petroleum activities has created an uncertainty which is unfortunate in relation to the need for clear foreseeable framework conditions for investments on Norwegian continental shelf. We would therefore stress the need for a quick clarification in this matter from the Government. It is not sustainable if this NOU stays in the department for a long time and thus counteracts some of the positive signals contained in this notification. It is precisely what this message is characterized by: positive signals. However, there are not so many concrete proposals. It is therefore essential that the Government immediately follow up the positive signals given in this message. However, the Right and the Progressive Party have also made two concrete proposals that would have improved this. The proposals would have an impact both on exploration activities and, in particular, on the possibility of several companies being able to carry out their research and development projects in Norway. We are also pleased that the Government is following up the previous proposals of the Advance Party on group requests. In particular, there is one area which has created serious disagreement with this Communication and there is a limit on which projects have to be approved by the Stortinge. Right supports the proposal to raise the limit from 5 to 10 billion kroner. But it surprises me that the Progress Party here is not involved in simplifying and red tape the rules for this particular industry. As far as research and development are concerned, the Right is very concerned about the development. The government has a lot of space in the message to talk about Demo 2000, while this project is being down-prioritized in the adopted budget. That is why we are very concerned about the signals contained in the majority opinion of the Labour Party and the centre on Demo 2000. These lots «demo 2000 needs to be continued in order to complete the nuclear projects under way». In the budget debate, the Minister responded to the challenge from the Right that the budget did not involve a directed liquidation of Demo 2000. With this note combined with the budgetary decision, there is a need for a new clarification as to whether the Government and the central parties want a managed liquidation of Demo 2000 in a short time. The right will combine public investment in research and tax incentives for R & D activities in business. In this case, and not least in the discussion of the issue of ownership of Statoil and future management of DöE, the Right will focus on two main objectives of Norwegian oil policy: 1st@item: inlistbox Strengthen the attractiveness of Norwegian socket to keep the level of investment and activity up.2. Reduce the dependence of the Norwegian oil and gas cluster on Norwegian pedestal through a stronger internationalisation. Thus, it is again in place to identify exactly the Government’s commitment to these two areas, both in terms of research and development and, not least, in terms of contributing to internationalisation. The safety of Norwegian pedestal has rightly been put increasingly in focus in the last year. On 27 March this year it was 20 years since the tragic ‘Alexander Kielland’ accident. At this year’s ALK conference ‘Broot link – what we learned’, it was concluded that a process had to be initiated to improve the security of society. That is why we are pleased that we are now quickly receiving our own big business message about the safety of the Norwegian base.
ParlaMint-NO_2000-12-18.ana.ud1669e359	The issue of ownership in Statoil and the future management of the EEAS is high on the political agenda. The exposure is large because the oil and gas resources are the common property of the people. The administration must therefore be managed in such a way as to benefit society. That demands a multiplicity of political parties and citizens behind it. Because the government put forward its view of things just before the weekend, it might have been tempting to start the debate now. But that would be unfortunate for the content of St.meld. No 39, which is on today's map, came completely in the shadow of Statoil and HOUSE. It's e.g. reason for attachment by the Government in the below-mentioned staging message to the Government in order to extend its powers on the socket. The matter of transferring power from accumulation to government is, in fact, all decided upon in connection with the adoption of the State budget. This means that most of the projects on the continental shelf will be able to be approved by the King in the Council of State and thus pass beyond the Storting. This is because the expansion limit will be moved from 5 to 10 billion kroner. It is alarming that in St.meld. No 39 there are no counter-figures at this point, especially because there are interesting questions about the relationship between magnification and government. On the contrary, the message says everything is fine. The size is still going to decide the really big issues of expansion, and the majority in the committee have added to a statement that the Government will inform the Government about the development of costs and profitability for the individual projects – i.e. no drama. Nevertheless, it is well known in Oil-Noreg that the time of the big fields is running out. At the beginning of 1999, the remaining part of the oil resources discovered was 15.7 billion barrels. Of these, 10.7 billion were in fields that are already in production or that are currently planned to be exploited. In this situation, the government will be on the track with proposals for seemingly taking over the control of everything that is small, while the Storting will be able to decide on really big issues, as it is called. The tick knows, as I said, that the small projects are limited to a total of $10 billion – not small at all – and that the sum of them will make up most of the remaining oil resources. So instead of connecting the Storting more strongly into the oil policy decision-making process, the opposite is happening. Of course, there must be strong arguments to suggest such a thing. But at that point, St.meld. No 39 little enlightening. The need for a shorter procedure is highlighted, but at the same time it is difficult to see that the changeover will bring particularly great benefits. So this case can become even an example that today, dominated by market economy rationality, it must be very little until democracy becomes the losing party. Last year, a seminar on constitutional issues was held in Stortinges. A theme was the management problem associated with minority governments. Many thought that the so-called magnificence increasingly appears problematic, but it was also demonstrated that power is still being transferred from magnification to government unnoticed by government constellations. I believe that the magnificence strengthens the position, particularly through foreign policy, with increasing implications for domestic policy, and through the macro-economy, where the Storting affects the image to a small extent. In this perspective, it is interesting to note that oil policy is also increasingly placed in the hands of the executive with its solid official bureaucracy. There are good constitutional arguments against such a development. In my opinion, they build up under the good note written by the representatives of the Progress Party, the Christian People's Party, the Center Party and the Left. The extraction of oil and gas will, in the future, be more suited to the northern regions, and as a result, through oil policy, we will have to be able to deal with difficult conflicts of interest. The relationship with traditional fisheries should be particularly focused. The centre batch has underlined in a note that it should not be opened for seismic activity in areas where there may be damage to fishing. In St.meld. No 39 a pilot study is published to identify the need for consistency associated with near-coastal petroleum activities. At this point it should now be sunny that it needs, and that there is a hurry to get started.
ParlaMint-NO_2000-12-18.ana.ud1669e376	In this room and in the Government, a very often busy one is how one uses the money from the North Sea business – above all – or how one cannot use it in relation to the oil fund, etc. There is little focus on the workers and on the security of those who produce this capital for us. SV is therefore very happy that a single store is behind the SV requirement for a separate security message. There is now a need for a proper review of health, environment and security issues, but – and that is important – it does not have to be such that you are now waiting to continue with the security measures you have started. On the contrary, it is good if you can announce your increased efforts to improve your security. There is therefore no good signal for all other parties in this room when they cut their budgets by 1 to 19 million. kr. So it's only SV that strengthens the Oil Directorate's ability to increase control and supervision – all the other parties are going down. Here the Government has a job to do relative to the revised budget. The environmental costs of oil and gas industries are high, and when we are also told that the Minister for Oil and Energy has to react to the advice of the own professional bodies and to a record large greenhouse gas emissions in the Balder field. So it's not just a matter of professional gas-fired bodies that have to be knuckled. On the socket, the Government chooses to ignore the advice given. The Labour Party government shows in climate policy that it is the ideology of the Progress Party that is winning. For the Minister of Oil and Energy, as for the Progress Party, climate problems are clearly something that SV and environmental movements have found. It is probably quite clear that the Labour Party does not take the climate problem seriously. It's a fact that anyone can see. And when the ESSO itself says that they have to close the production for only two days, it's completely insane that the State Council Act is to allow as much emissions as this is about. Holding back on the big oil companies is clearly more important than dealing with climate problems, climate problems that actually cost thousands of lives a year. This is unacceptable. I have sent a written question to the Council of State about this specific matter, but he can start by answering today, if he wants to. Environmental movements, fisheries organisations and SV want one to assess the creation of marine protection zones. In the same way that we have special protection areas on land, we must be able to have them at sea, not least to preserve and secure our common fishing resources, but, of course, also to preserve important areas for seabirds. And to be a little day-to-day – after the accident of «Green Ålesund», which is relatively small on this scale, 5,000 birds are threatened with oil beer. We can only imagine what would happen in relation to this problem during a fall storm in the Barents Sea if one had a blow out. President. — I call the Group of the European People's Party (Christian Democrats) and European Democrats. The government party will not be on an SV proposal to bring down a selection to evaluate this, or on a proposal from the centre to evaluate the protection zone problem. It's sad that the environmental interests seem to be losing again in the Workers' Party. For the AUF and others who pretend to be concerned with environmental issues, it has to be a very painful process as long as environmental interests lose their way. Norway and Norwegian companies have a high level of activity internationally. In this context, it is important that we have an ethical standard that tolerates daylight. It is therefore necessary to think about our own oil history and our policies in relation to foreign companies. Norway and the Norwegian company have a special responsibility to assume that the enterprise is not pure replacement, but actually contributes to a positive development for the nation state we are in, whether it is in Azerbaijan or Nigeria. I bring this up with SV's suggestions.
ParlaMint-NO_2000-12-18.ana.ud1669e397	Hallgeir H. Langeland has taken up the proposal to which he referred.
