ParlaMint-NO_2000-05-30.ana.ud944e69	The representative of Ingvald Godal, who has been licensed, has again taken the seat.
ParlaMint-NO_2000-05-30.ana.ud944e384	Time's up.
ParlaMint-NO_2000-05-30.ana.ud944e387	There are many very thought-provoking and good interventions here today that focus on and present several facets of the issue we are discussing. Forced marriage is illegal and unacceptable. At the same time, the fight against coercion is difficult because it belongs in the private sphere. Experience from work on violence against women has shown that combating private violence is a difficult and long-term work. While I believe that the recognition of the fact that there is forced marriage in Norwegian society, and that there is a serious problem, has increased, I am also afraid that the problem itself is actually getting bigger and bigger. The representative Valle mentioned the report to Anja Bredal, who interviewed 16 young people. It appears that many young people have had problems and conflicts with their parents regarding arranged marriages, including the pressure of marriage and forced marriage. The study shows different attitudes and experiences among young people, but also that several people want help from their parents to find an appropriate marriage candidate on the condition that they themselves have to make the final decision. Arranged marriage is a tradition in cultures we don't know. I agree with both Grethe G. Fossum and Odd Einar Dørum that there is a tradition in cultures the Norwegian society is not a part of, not that Norwegian society should not clearly express what we think about it. At the same time, I believe that when we get second-generation immigrants who have grown up in Norway, they will protest in a completely different way against the tradition of arranged marriages, and thus the conflict between arranged, accepted and voluntary marriages and forced marriages will be put to the fore much more. I think it is very important that we work to prevent and stimulate dialogue between generations on these issues in order to make young girls aware of their right to an independent election. It is also important because it is central to the use of many instruments by the authorities, that the girl herself comes out and says that this is not voluntary, that she does not want to enter into the marriage she is entering into. And there's the school central, and it also puts the Committee's emphasis on in its position. Forced marriage is the theme of the draft new gender equality guidebook for primary and secondary education. The county's follow-up service has also been asked to follow-up cases where students are reported to be taken out of school without cause and where there is a suspicion of planned coercion. Colleges are also asked to include this in education and as continuing training facilities. The school has the advantage of communicating with parents on individual children and on general pedagogical and social issues. There is also a possibility of dialogue and information that can give young people the necessary influence over the time of marriage and the choice of spouse. The Bondevik government was asked by the Stortinget to develop an action plan against coerciveness. It was designed in cooperation between several departments and with close contact with organisations and environments experienced in this field. A concrete approach to some measures was presented in December 1999. The majority of the Committee shall state in its opinion that these documents provide a good basis for the prevention of forced marriage. However, the Committee also stresses that the Government needs to assess on an ongoing basis whether there is a need for further action, and I fully agree with that. It is clear that the further challenge lies in, among other things: to find good measures to combat forced marriage. The government is also gaining knowledge about how other countries deal with these issues. The Ministry of Foreign Affairs is responsible for monitoring both in Europe and through relevant foreign stations that meet the question by applying for a visa. The Nordic Council of Ministers is also doing a job here, and we expect that organisations and environments that this year have received funding for increased efforts in 2000 will also come up with experiences that can help to put up the effort so that we can work as best as possible in the field. The Women's Party Board has recently presented a position in connection with a work complementing the proposals put forward in Document No. 8:12. These proposals will be considered by the Government in the near future, but the proposals of the Progress Party will also be further considered by the Government. Although there are some proposals where, relatively quickly, there may be a lack of relevance, there is every reason to consider those proposals too in order to continue to work well against forced marriage.
ParlaMint-NO_2000-05-30.ana.ud944e406	It's going to be line change.
ParlaMint-NO_2000-05-30.ana.ud944e409	The councils ended in the area I want to grab hold of. The Labour Party has a women's political movement. It was also mentioned by the representative Marit Nybakk earlier today that on the day of the Committee's vote, the Women's Movement in the Workers' Party held a press conference in which a number of proposals were presented that were well on the way to the proposals of the Progress Party. My question to the Council of State is: Where are these proposals now? And do the Council of State share the proposals promoted by the Women's Policy Selection of the Workers' Party at the press conference? They have not been promoted in the Stortingen today, and I am calling for them. I also have a challenge to the Council of State in relation to the posts of Shahbaz Tariq – which is a total record bomb throughout the debate, and which is a reason why we are not getting any momentum in getting constructive solutions to the problem of forced marriage, but the opposite – and it is moving in the direction of the proposals that some representatives have signaled that they want to be sent. I would like the Council of State to comment on the proposal No. One, two, six, seven. I understood these proposals to be sent. And then my question is, as this is about to be implemented, when can we expect the outcome of this implementation? For the Action Plan on Forced Marriage, two years have now passed. When do we get any results? And the reason why the Progress Party now refuses to submit the proposals and wants them to be rebutted is that we want to put an end to the passivity shown by the rest of the Stortinget.
ParlaMint-NO_2000-05-30.ana.ud944e418	The representative Sandberg took up a lot of things at once. On the issue of the suspension of the Workers' Party's Women's Policy Board, it is not presented in the Stortinget, but that does not mean that the Government can consider following up proposals promoted elsewhere than in the Stortinget. I think that's a matter of course the government does. When it comes to good proposals, it should be considered whether they can be followed up. Then the representative asked Sandberg to comment on the individual proposals. I now browsed intensively to get an overview of the proposals – there were so many that I did not find them on the go. My point is that regardless of whether these proposals are voted down in Stortinget or not, I perceive the position of the Stortinget so that it does not mean that the Stortinget has taken a final position on them. That is why I think it is natural that the Government should also include in the evaluation the proposals put forward by the Progress Party, in the further fight against coercion, in the same way as the proposals of the women's political regime, for all the good proposals that can contribute to the fight against coercion, we should take care of and try to implement.
ParlaMint-NO_2000-05-30.ana.ud944e427	No more words have been asked for. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2000-05-30.ana.ud944e432	For all of us who have long been concerned about ending the abuses under the label ‘compulsory marriage’, this debate is a joyful debate. First of all, I am pleased that all parties are involved, and that they are engaged with a glowing commitment and strong words and expressions, and I am glad that everyone states that no form of coercion is acceptable. I am also pleased that a unanimous committee in the setting repeats the definition of forced marriage that the Women's Movement of the Workers' Party has also taken into account. That definition is a good starting point for finding more responses to these abuses. I am also pleased that everyone acknowledges that the work against forced marriage has not been good enough so far. As clear and unanimous signals, combined with a work that is already as well-running as it is, hope that the conditions can improve in this area in the future. As many people have said, this is a complex problem for which there is no simple solution. It is not possible for one measure orlegislation to resolve this. We need a width, and we need a width. It is about prevention and providing information in such a way that it actually comes to those who need it. It's about attitudes and making an assistive device that allows the girls and boys who want it to break out of their social relationships and families. And it's about possible legislative changes, in the Foreign Affairs Act, in the Marriage Act, in the Child Protection Act and perhaps in even more laws. I am pleased that the committee leader made it clear that Stortinget wants to get back a review of possible legislative changes. However, it is equally important to review the legislation, for example: to the UDI, in the instructions for our foreign stations. Are the guidelines in the daily work of the UDI for the square? It is about giving priority to the people who are sitting and managing, what the authorities are going to do, what the authorities are going to do about it. There are many in the system who are falsifying and uncertain about what they really have the power to do, and then we have to give them the tool and make sure that they become active in this fight. Fortunately, a lot has happened in the seven months that the proposal has been before the committee, and a lot is going on. Once you've focused and lighted this, as it is now done, we see that several suggestions pop up. This has also been the case in this debate, among other things. from Erna Solberg. I am therefore pleased that the Council of State has now confirmed that all the proposals will be included in the further work.
ParlaMint-NO_2000-05-30.ana.ud944e449	It was the representative Anne Enger Lahnstein who made me ask for the floor to make a little comment at the end of this debate. She said she was pleased that there was a broad consensus on the questions raised here, she found that coercion was a growing problem, and that there had been some tragedies. And Ane Sofie Tömrås now said that it could be in place with possible changes in laws and bet a lot on information. It was a Norwegian saying that struck me when I heard these posts: While the grass grows, the cow dies. Where in the world have representatives Ane Sofie Tömrös, Anne Enger Lahnstein, Marit Nybakk and all the others been for the last 15 years? The fact that it has been so long to see that it follows problems with the blue-eyed, naive immigration policy that has been pursued, the total lack of giving immigrants to Norway duties and training in what it means to live in this country is really incredible. The Progress Party has notified this for 15 to 20 years. And you've turned the deaf ear to. After many years it has been obvious that Norwegian citizens, both young boys and girls, are being forced to marry a cousin or a cousin they have never met — from Pakistan, Morocco or other countries — one only starts to talk about the problem and presents it as one says that a lot of people are taking part in the debate and are in the discussion! And you talk about possible changes in laws! I think it's embarrassing. I think that the lack of action and the total lack of willingness to do relatively simple acts that would have significant effects on and help many of these unhappy people is a tragedy for Norwegian democracy. The Progress Party has made eight proposals, several of them based on what social democrats have done in Denmark. How long are you going to drive and evaluate and evaluate before you actually do anything? Is it so that one government after another – as it works when we read newspapers by day – only does the bureaucrats do what they want, and never has a powerful council that can make a decision for itself and stand for something? I am disappointed with this debate instead – as the others say they are – to be proud.
ParlaMint-NO_2000-05-30.ana.ud944e459	Unlike the last speaker, I am not ashamed of this debate. I believe that one in this debate has shown great insight and concern for the young people who are married against their will. That is what this matter is all about. It is not about Norwegian immigration policy, although the Progress Party is still trying to turn it into what other speakers have said earlier. Something has been done, quite a bit actually, and more will be done in the future. And when one knows that the current family minister is behind the proposal in Stortinget, and when one listens to the councillor Harlem saying that this should be followed up, I'm not afraid that this should not happen to the necessary extent and at a fast enough pace. But most of us know that these are emotionally difficult issues for many, and then one of the tools is to spend a reasonable amount of time so that a certain understanding of what we're going to find out. But at some point, we have to conclude and be tough and say, "I can't." And today, many – including the original Pakistani Shahbaz Tariq – have said that this does not accept us, coercion is totally unacceptable. I don't think I'm flattered! There's a broad term here, we're agreed on the most in the setting. In addition to my progress party, something extra. The Progress Party has some proposals which have been largely withdrawn from Document No. The 8th amendment. Of course, the rapporteurs and the Labour Party are behind the proposal that has been put forward, but when we put a matter to the Minutes, we do not normally make decisions. Now we trust that Karita Bekkelem Orheim and Hanne Harlem follow this up in the government. And if there is a need for a change of laws, which is good reason to believe, they will of course come back to the Storing with this. But to do that, we don't have to make decisions here. That is why I would like to ask the Progress Party once again to turn the proposals into proposals for transmission, because it is a little strange for them to have some proposals voted on, which are clearly a number behind. What is not supported in this room, as far as I can evaluate, is that we should create a special marriage age for immigrants. I am also in doubt about the proposal to reintroduce a ban on sibling poison. It may be that one should reconsider it, especially if there are medical reasons for it, but then there must be a ban that should apply to all, and at least not to special groups. The conclusion is that we are satisfied with that Document No. The 8th proposal is appended to the minutes. We feel very well that this is followed up by engaged people in the department offices. And if the proposals from the Progress Party are taken for consideration, we will vote against them.
ParlaMint-NO_2000-05-30.ana.ud944e481	It was the post of the representative Hagen who made me ask for the word, because I was just a little provoked by it. Lifting up to the large heights based on a belief that this problem can be solved by a simple change of laws is completely wrong. It's trying to make a political conflict or a point of something there's no point in it. I do not agree that the issue of coercion has been resolved if the Stortinget adopts the proposals of the Progress Party. The basic problem here is that the young people who are subjected to forced marriages often do not dare to say so. How, with a change in the law, will it be possible to solve the problem that young people who are under pressure from their family do not dare to say so? We can't solve this by simply changing the law. I believe that the Progress Party too should be able to understand and that, therefore, there are no simple solutions to this major problem. I also confirm that to the extent that the Government is prepared to make changes, we will of course come back to Stortinget. The government doesn't do it on its own.
ParlaMint-NO_2000-05-30.ana.ud944e490	Actually, you shouldn't be provoked by Carl I. Hagen, because his posts were a special show in this regard, but I have to say that after reading the eight proposals, I've wondered if you really thought about the consequences of them in the Progress Party. Some of them are completely curative. The whole action plan against coerciveness is really about what is in proposal No. 7th@item: inlistbox Both proposals No.1 and several of the others concern proposals for evaluation. But when you go in and look at what's in proposal No. 3, it's not a proposal that helps against coercion. It says: ‘The Grand Duchy asks the Government to propose a legal provision requiring that the spouses originally residing in Norway be a Norwegian national.’ A lot of the girls and boys that we're talking about are Norwegian citizens. It wouldn't help them at all. This, on the other hand, would have created major problems in relation to the fact that we need a greater degree of labour immigration in the coming years. And if it's the Dream of the Advance Party together with the Workers' Party to implement a large IT centre at Fornebu, there will come many IT nerds around from countries in the Third World to work there, and that would mean that none of them would be allowed to get married during the period they were in Norway. Would Norway have been an attractive place to come to with their skills if the requirement that one should be allowed to marry and take a wife from their home country after one had come to Norway was that one had become a Norwegian citizen? It actually takes a few years. There is a great need to look at the content of these proposals and to review them much better. And because you have partially gone through many of these proposals, I think the Progress Party should see that even if they try to run ahead in many of these contexts, they simply don't make any of the proposals. And some of them require legal processing and a review of the consequences also for other parts of our society. And then I think that the basic principle must be that we should introduce rules here, they must also apply to the Nordics, not only to people with a foreign ethnic background.
ParlaMint-NO_2000-05-30.ana.ud944e502	After a few years of participation in the debate on immigration, it is likely that many accounts can be made of who has used a high voice in different areas over the years. But I want to add a perspective: if we've just made it a self-search to talk about coercion, I want to say that in the case of the other side of discrimination, the one like that. has led to the fact that over-competent immigrants, due to their name and skin colour, have never received jobs for which they are well qualified, there has been no annoying commitment, although some action plans have been made. If we're going to take this into account first – and we should – I think we're going to use the tone that we have something to learn. However, I fully agree with the representative of Solberg that when we first go into action, the instruments have to stand up, no matter where we are. That's exactly what must be the very basic thing, with the way of life that we have and that is based on the liberal state of law, that our values should stand in any way. And the challenge in this debate is to have tools, and changes, in relation to the law of alienation, which makes it so precise that nothing is being done and not much else in addition. I'd like to use a picture from criminal policy activity – I've used it from the pulpit in another context: the point is not to use a jet bag, the point is to use a harpoon. And then we have to see if we can find the harpoon and not necessarily wrap around with legal jet bags. I feel that there is a lot of progress to the last of the Progress Party's proposals, and that's why I expressed myself as I did about them. But it does not deter me from looking for the solutions that will make, and I reserve the right to come back to such proposals. I think what we need in Norway in order for people to stand up and testify is that we hold on to it as the main tone of this debate, that people are so humble also from the pulpit of the Stortinge that they say they have something to learn. If we can hold on to it as a base tone, it could be that young people also want to express themselves the same way. Politicians who are so sure that they have seen the light since the morning, I am not sure of appeals to humility and wonder – and feedback. But if we come to the common point that I feel that the overwhelming majority in this debate has been at, that we are at that miracle, that we are looking for solutions and that we are inviting everyone to join in, then we have a chance to do something. Because it's only in the open debate that something is happening, and it's in the transparency of the debate maybe over the last year that we've got witnesses with a forcible background that has stood out and said something. That is what has created dynamism in the debate, because we have living people to whom we relate. We have to hope that we get more of that, and I am absolutely sure that this debate also provides the basis for that.
ParlaMint-NO_2000-05-30.ana.ud944e511	I think the last part of the debate is now a confirmation of why we do not get along with the issue of coercion. So here comes the Council of State and representatives from the Workers' Party, the Right, etc. in the Chair and turn the debate over to the immigration policy of the Progress Party. The Council of State goes so far as to say that a single bill from the Progress Party will not remove the problem of coercion. No, but we have never said that! Here, eight proposals from the Progress Party have been put forward, and what we claim is that action must be taken in order to start the process at all in relation to the problem of forced marriage. But I'm recording that the Council of State says she won't support any of the eight proposals. And it's nice to take it further. Erna Solberg from the Right says that she does not understand the proposals of the Progress Party. I understand that, especially when you go back to the debate last year, when Right-leader Petersen would like to elaborate on his argument to go against the proposals of the Progress Party at that time. He said that in the case of proposals No. 4 and 5 from the Progress Party, they are not «all the world's linguistically clearly designed», so it «believes I must report to the Right». That was the argument for going against the two proposals in 1999. So now is the argument that one does not understand proposal No. 3 and therefore cannot support any of the proposals promoted by the Progress Party. But I would like to help the representative, Mr Solberg, here: Proposal No. 3 will be a very good and effective tool in relation to family reunification. It admits the Advance Party honestly and sincerely. There's also a lot of fate here, and it's not about Norwegian citizens, just so it's said. Such a proposal is also addressed by the social democrats in Denmark and is likely to be adopted. So it should not be alarming that it is the Progress Party that is promoting this proposal. The Labour Party is further developing the situation in Norway 30-40-50 years ago and is using it as an argument that we should not be so aggressive in relation to the issue of forced marriage! Is there a way to argue? I'm afraid we have the composition that Stortinget now has, never comes any way with regard to the problem that coercion is for those of our young people who get such a destiny. I want to quote from VG April 4th, where Hege Storhaug and Shabana Rehman say: ‘An entire generation of minority youth has failed by both their own and well-meaning ‘anti-racist’ Nordics.’ And by the majority in The Norwegian Storing – is my claim.
ParlaMint-NO_2000-05-30.ana.ud944e529	When Hagen finds reason to make a little guest vision into the hall here and up on this pulpit, we are fully documented that the Progress Party has a completely different agenda than we others who have participated in this debate today. The Progress Party is concerned with immigration policy. The rest of us have been, are and are going to be concerned with preventing and preventing — or stopping — young people with a minority background who have Norwegian citizenship or residence permits in Norway getting married with more or less coercion, and preventing the tragedies such as: I'm a weekly witness, because in the last few years, I've been in crisis centers, talking to people who are employed in crisis centers, talking to a host of young girls who are terrified and desperate because they're threatened with forced marriage. This is the theme today. And those of us who are doing this on an anti-racist basis are concerned about stopping forced marriage in Norwegian democracy. When a Bosnian girl has to be followed to the limit by a representative of a crisis centre, gain a new identity – with all that it involves – it is painful and difficult. The problem cannot be solved with the light and clumsy remarks of the representatives of the Progressive Party from this pulpit. With regard to the proposals from the Progress Party, I also see that there are elements in the proposals on which it is absolutely necessary to continue working. It can be done by the state councils Karita Bekkelem Orheim and Hanne Harlem, regardless of what the Storting had to do with these proposals today. However, I would also like to call on the Progress Party to convert these proposals into transmission proposals. Finally, let me ask the Minister of Justice to look at the gender dimension of Norwegian foreign legislation, both the regulations and the practice of dealing with individual cases. In the work we have done, we have recorded that the gender dimension has been substantial. We have several examples where Norwegian-born girls of Pakistan or other origin have tried to prevent their new husbands from staying in Norway because of forced marriage. Nevertheless, the Directorate for Foreign Affairs grants a residence permit. The man hears, not the woman. When a woman comes to Norway to get married, and is abused because the man does not want her, the woman is thrown out of the country, while the man goes free. This actually means that the woman is the loser in all foreign affairs. The women aspect should now be reviewed, so that we do not feel unworthy that it is the women who lose all the way.
ParlaMint-NO_2000-05-30.ana.ud944e542	It is a commendable initiative that has been taken in this debate. What's behind this is the revelations that have emerged in connection with the TV 2 Centre – and what has actually also emerged in this debate. But I think it's a derailment of the debate when you only focus on coercion and arranged marriage. This is about something that sticks a little deeper, but nobody wants to talk about. It's about religion. It's a religious conflict. It's not enough to pass a law. It is the conflict between Muslims and Christians we are discussing in the Chamber – without discussing it. It is a fact that Muslim women cannot marry non-Muslim men. Women who marry Muslim men become the property of the man, both the woman and the children become the property of the man. A Muslim man can happily marry a non-Muslim woman, for she becomes his property, both she and the children – his property! That's the problem. If you go a little deeper into matter, there's reason to ask the question: How many Muslim women are married to non-Muslim men here in Norway? You want to find a disappearing little number. If we go the other way, and we look at how many non-Muslim women are married to Muslim men, you'll find completely different numbers. That's what's causing the basic problems we have here. This has not been addressed by the proposers. It is not easy to adopt laws designed to change a religion. That's the problem. How can a young girl who grows up in a Muslim family who is required to marry the girl of a Muslim get the freedom to marry a non-Muslim man? It's a debate we can take, but we can't legitimize it. Of course, there's a job here in modern Muslim society in Norway, but there's a big job to do, so here's a change of attitude that needs to be started. It's not just about inquisitives. The Muslims need to change their mind on the question of letting the girls get married to whoever they want, out of love. It's the Muslims who have to clean up their own camp. It's not useful with changes in the law. And it's of little use to debate this in the hall if you're not willing to discuss the basic problem. It's religion that's the problem, and it's the dechristening of Norway that's the biggest problem.
ParlaMint-NO_2000-05-30.ana.ud944e555	The representative, Mr Sandberg, expressed his dissatisfaction with the fact that the last part of the debate had turned more towards the immigration policy of the Progress Party. It's a dissatisfaction I think all of us who have participated in the debate share. We wanted to discuss measures against coercion. But who was the one who turned the debate around? Well, the debate turned against the immigration policy of the Progress Party and motivated Carl I. Hagen's contributions. When I said in my speech, I was delighted with the use of words in the debate and the degree of condemnation, it was not an invitation to Carl I. Hagen to use the same words, but to turn them against his colleagues. What's a tragedy, and what's flabby, to use Carl I. Hagen's own words, is that the representatives of the Progress Party once again seize a tragic situation, address a complex problem in our society, and use it to talk generally about narrowing immigration policy. It is a mockery of women and men who are in a desperate situation, who need help from the Norwegian authorities and from us, to respond as the Progress Party does, namely to give a signal that they really should not have been here at all. That's the real problem. The debate has shown that there is agreement and understanding on the scope of the problems and that there is agreement on the definition of compulsory marriage; at least everyone, including the Progress Party, is included in the definition in the committee position. There is agreement on the further work. It is agreed that all good proposals that have come up must be managed and taken care of in the further work. It has also been confirmed by the Government with the Minister of Justice. If, however, the Progress Party then chooses not to repeat its proposals for transmission proposals, I cannot see any other reason but that the Progress Party wants to stand and beat itself on the chest, and there are blows that give a scrupulous, ominous echo about what are the real motives behind the proposals.
ParlaMint-NO_2000-05-30.ana.ud944e564	Per Sandberg has had the word twice and gets the word for a short comment, limited to one minute.
ParlaMint-NO_2000-05-30.ana.ud944e567	I'm gonna be okay. What is a mockery is that the majority in the Norwegian Grand Prix with the Workers' Party at the head are unable to give a signal to the immigrant youth that they want to do something about the matter. It's the big mockery against these kids. I will be allowed to say to the representative Nybakk: I have registered that she has made two touching contributions about the immigrant youth that is being affected by this. And so I would say: the progress party is concerned with the same problems that Nybakk's party sisters are in Denmark. I personally traveled to Denmark and had a meeting with them, and they are behind most of these suggestions. The representative Nybakk has been in contact with the crisis centres. Yes, so do we in the committee. And what did the broadcasters who were consulting us say? Yes, they supported proposal No. 8 by the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 5 by the Group of the European People's Party (Christian Democrats) and European Democrats, and supported proposal No 5 by the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Has Nybakk not received the signals from the crisis centres she has visited? That's what the problem is, they just refuse to pick up the signals that the different organizations are dealing with, which the Progress Party is doing.
ParlaMint-NO_2000-05-30.ana.ud944e577	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 3321]]
ParlaMint-NO_2000-05-30.ana.ud944e591	No one has asked for the floor. [[See page 3321]]
ParlaMint-NO_2000-05-30.ana.ud944e605	No one has asked for the floor. [[See page 3322]]
ParlaMint-NO_2000-05-30.ana.ud944e619	This setting is based on a private proposal from several SV representatives who suggest governmental measures to preserve old crafts and industry. Today, 27 subjects are defined as small and protective. In addition, there are about 30 courses in the frontier country to be considered small and protective. In sum, this means that almost a third of all subjects are small and protective. It is a co-ordinator's committee that points to the importance of maintaining and appreciating the professional competence they represent, for both industrial and cultural reasons. When you agree with this, it is equally important that these subjects are documented by professional or youth letters. As this is about small subjects that are mainly practiced in small businesses, it would be difficult for companies to see themselves in a position to assume responsibility for an apprentice alone. This means that several companies need to merge and be organised through their own training offices. A training office is per definition of a body for enterprises cooperating in the training of apprentices. Such offices have a common responsibility for setting up municipalities and enterprises. The Committee points out that the Training Office for Small and Protective Subjects covers only a few countries. In addition, they have problems with poor finances. The reason for this is that many companies are struggling to pay for the apprentice. In this way, the training office must use most of the apprenticeship to cover the salary of the apprentice. The Committee is aware that the Ministry has raised 1 million. kr both in 1999 and in the current fiscal year through the Secretariat for Small and Protective Subjects in Lillehammer, to help in the economic situation of training offices. In order to ensure the training offices' defence work, the Department recommends an increase in the rates of subscriptions to apprenticeships in small and protective subjects. This agreement shall be concluded by the Committee. There would be unclear responsibilities if the State were to finance and organise some training offices with a separate promise. The Committee's plural calls for more offices to be set up to cover the whole country. The Committee is aware that it is the enterprises that decide where they want to set up training offices and the geographical area to which it should cover. This means that the department or the Stortinget can determine where they will be established, and it is not desirable to do so from the point of view of the division of responsibilities in further training. It is therefore important that we facilitate the establishment of several offices and that these offices can then be organised to cover the whole country. The party of progress has expressed concern about such a fragmentation of the training office as the majority would like, and I believe that they themselves will argue for this later in the debate. When it comes to defining subjects that are small and protective, where knowledge has gone from generation to generation, the Committee believes that it is important that the list of subjects does not become static, but is updated at regular intervals in order to obtain a system that is somewhat conservative. Finally, the Committee calls on the Ministry to assess the functions of the Lillehammer Small and Protective Subjects Secretariat — whether this office is functioning according to its intention — and also to ensure that the Ministry returns to the Stortinget with such an assessment in an appropriate manner.
ParlaMint-NO_2000-05-30.ana.ud944e642	It is clear with all possible clarity that there is no significant degree of disagreement between the parties in this case. The Progress Party is also fully in line with the other parties, which is very clear in the suspension both in terms of corporate responsibilities and in terms of payment, grant schemes, etc. But we have some very clear and clear concerns. We are concerned that offices for very small subjects are being set up more widely across the country and that the necessary coordination, overall vision and uniform treatment of the interested apprentices can be diluted. We're also meant to be aware of the contours of the creation of offers in schools around their own school lines. The quality of education will then be slow, but certainly confused. A deterioration in quality will cause further deterioration, which we clearly see in several subjects after the introduction of Reform 94. In addition, we must consider that geographical location is of secondary importance in terms of the conservation of the subjects and the strengthening of the quality of the small professional environments. And here we're actually talking about professional environments like per. Today we are so small that we cannot use the term ‘enterprises’ for those who operate them. It's about maybe only one or two professionals left on a national basis. We have to take that inwards. I might talk and have concerns on behalf of what is extremely small, and is about to die. In terms of areas that are slightly larger, I think I can agree a lot. We are also concerned that access to resources in the future, when large parts of the appropriations are to be used for administration, will dry up. The Progress Party will point out that there are priorities that need to be made. We recognise that priorities are not the best for politicians, either here in Oslo or on a national basis. And these will be extremely difficult economic priorities. We would point out that there is no more than that. 1–2 professionals once again on a national basis, difficulties will quickly arise in the preparation of training plans in each subject. It is then the professionals in the system who must be involved in making these professional plans – no one else. We can't set up desk people to make training plans for subjects that they don't know anything about. When the apprentices have completed their training and are to be tested for a test subject, we have a significant credibility problem. Those sitting on the subjects must in these cases necessarily be the same as those who have made the training plans. It must be the same persons who have been responsible for the apprentice during training in this sole proprietorship. And these same people also have to participate as specialists in the subjects. This is the goat and oat bag if we're not very careful, are predictable and can show extremely great degree of flexibility and consideration. This brochure that I have here, «Become a member of the Training Office for Small and Protective Subjects», covers 20 of these subjects, but there is at least one subject that is totally missing. It's probably so small that you just forgot. It's a big watchmaker. This subject concerns large clock movements – larger than large alarm clocks – for example. City Hall Clock in Oslo. It is a small subject, also in the European context. I think it has less than ten in Europe today, one of them is in Norway. In such small professional contexts, a really high level of personal involvement is required; it cannot be pushed into a training office at any place. And it takes a very large amount of public flexibility and flexibility, which the Progress Party does not feel is what we see most in public contexts. If we're going to be able to take care of these small ones too, we think that the road to geographical distribution of training offices based on enterprises shows that someone hasn't completely captured the vast breadth of what we're talking about here.
ParlaMint-NO_2000-05-30.ana.ud944e657	The Centre Party considers it essential to ensure the competence of the old crafts sector, not least in the field of cultural heritage conservation. The attitude shows that there is a broad consensus in the Committee on this; we also support the increase in the number of training offices. But then it is necessary that words be followed by action, and with that budgetary means. Several training offices are primarily intended to help students wishing to have a learning contract in small and old crafts, but they should also help workshops/businesses to facilitate apprentices. This can also be done by uniting sole proprietorships into training rings, where they individually take responsibility for part of the vocational training. The point is to get the small businesses to take the ‘congestion’ by being a learning business. As the Secretariat for the Protection of Professionals says in its information brochure: ‘Having apprentices is a challenge. They are creative, look at the activities of young people, are demanding and are a resource for the company.’ This means that the enterprise or activity in question has both the necessary capacity and competence. It is important to keep this in mind when you want to see this matter in a holistic perspective. The training system in Norway has been criticised for being too bureaucratic. It is therefore essential that the proposed training offices become slightly more than paper movers. The Agency must be a competence hub for enterprises and apprentices. It will be the Ministry’s challenge – together with the relevant training councils for crafts – to ensure that this happens. In the brochure from the secretariat for protective subjects, I have listed a total of 58 subjects that come under the category we are now referring to. That's a significant number. Training in small, protective crafts has been taken up at the level of the Nordic Council, and it is important that Nordic countries cooperate in training in this field. In addition to mentioning the secretariat for protective subjects, I would also like to remind you that the Maihau craft register should be used to help students, apprentices and apprentices as far as appropriate. Nor should one overlook the fact that the vocational training offices in the individual counties possess competence in some of the old protected subjects. The new training offices we refer to in the setting shall have the top competence that the regular vocational training offices do not have the possibility to fill. SV deserves praise for the fact that the matter is on the agenda. I would also like to point out that I myself mentioned earlier how to ensure a higher level of education in addition to a letter of formal qualifications or a letter of association in the construction trades. A working group has presented a position to the Ministry of Education and Research. I expect this to be dealt with in connection with the decision-making and follow-up of the Berg Committee, as the previous Council of State was set up. For the practical craftsmanship as well, there is a need for a professional immersion in addition to a trade or tradesmanship letter. It's about nothing less than taking care of our cultural heritage, a cultural heritage that has its origins hundreds of years ago. This hand-held knowledge cannot be replaced by modern technology, but the new technology can be a tool for necessary R & D work in the field, not least in terms of registration and documentation. An example of this was received by the Committee during its visit to the University of Bergen last year. There we saw how ICT and other media are used to study hundreds of years-old crafts and crafts down to the smallest microscopic details in the glass craft. Now I am far from creating training offices for small and protective crafts, but in an overall perspective, I think it is appropriate to bring it here.
