ParlaMint-NO_2000-05-03.ana.ud1122e27	The former alternate of the Rogaland County, Bent Höie, has a teke seat as a representative.
ParlaMint-NO_2000-05-03.ana.ud1122e373	I guess it's a little too early to fix the status. But what I can say is that the conference started in a very good way. Many foreign ministers participated, among others: The American and the Russian. It is also worth noting that the five nuclear powers issued a declaration that, among other things, not only to protect the ABM agreement, but in fact also to strengthen it, which is absolutely essential in the matter of nuclear weapons. It's too early to say if you can reach a final result or if there's at all such a result. But anyway, the atmosphere at the conference was good at first. The declaration from the five nuclear powers was important. And then we'll see what can come out of it at the end. But it is absolutely right that the conference is very important when it comes to preventing further proliferation of nuclear weapons.
ParlaMint-NO_2000-05-03.ana.ud1122e381	I would like to thank you for your answer. The non-proliferation agreement can almost be said to be the cornerstone of the international security system and disarmament. It actually sets the goal of a nuclear-free world. That's why, as the Foreign Minister says, it's very important with such conferences. You might not get that far, but you can go a little bit further. What I feel is positive about what the Minister for Foreign Affairs says is that the nuclear powers are now also interested in and have said they are willing to call about the ABM agreement. I think that's very important. Otherwise, I just want to ask how the Foreign Minister intends to follow up on the work of disarmament of nuclear weapons, and how we can move forward in a very laborious work, which must include not only the great nuclear powers, but also the new ones, such as India and Pakistan.
ParlaMint-NO_2000-05-03.ana.ud1122e388	Norway has made a number of proposals at the Conference of Supervisors for which we are working to make an impact. What I think is important now is that you also see the nuclear issue in a regional perspective, that is, that you work out agreements within the different regions that can make the nuclear weapons less attractive to the countries concerned. There is only one area included for this in the Conference of Supervisors, namely the Middle East. We have raised the question of whether South Asia, too, should be an area that comes under the Supervisory Conference, precisely because of India and Pakistan. Otherwise, it is worth noting that the Russian Duma has ratified the START II agreement and that there could be negotiations on a START III agreement. I think that's a very important milestone.
ParlaMint-NO_2000-05-03.ana.ud1122e395	Then we move on to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e398	It starts a big strike today, and it's strange if it's not to be affected in the Storting's spontaneous question hour. But since neither the Prime Minister nor the Minister of Finance is present, I have the representatives of the Government decide who will answer my question. Wages and salaries are the responsibility of the parties, so there is no doubt. But the result of the vote must also be said to be a strong political message to the Government and the majority of the population that Difference Norway has gone too far and most people do not think that anyone is going out of the community. The Storting and the Government can do something about that. My question is, what will the government do to combat increasing differences and the fact that the 10 pst. The wealthiest over the 1990s has increased its share of the country’s income, and that there is a significant reason for the increase in differences in Norway itself?
ParlaMint-NO_2000-05-03.ana.ud1122e407	First, I fully agree with the interpretation that Kristin Halvorsen has of what has happened during the first vote. I think this is a protest at the growing differences that have existed in society, especially that a small group at the top has taken on – I want to use that expression – as large income increases as we have seen. That's why it's a challenge for the Storing and the Government, and it's a challenge not least for employers, and we're going to follow up on the Government. I must remind you that the Workers' Party, which now has the government, has had a wide range of proposals for just a fairer distribution that has not been implemented in the Stortinget. In our opinion, we would have had a better situation if we had got through those proposals. We got through something last autumn, but it was after very long negotiations. I'm glad we got something, but we didn't get far enough. In the context of next year's government budget, we will follow this up and come up with concrete measures for a fairer distribution. I would also like to point out that in dealing with the difference message here in the house, we also have the opportunity to bring together a majority of proposals that can both lift at the bottom and can also take something at the top, for which, in my opinion, there is a great need.
ParlaMint-NO_2000-05-03.ana.ud1122e418	The government has recently presented a proposal for a new tax on options, which is a reward scheme used by mainly top executives in Norwegian business and in other countries' business as well. This was imposed on the Government by the majority of the population in the context of the Declaration of Accession. But the government now has the opportunity to challenge the Storting not to introduce a system of taxation that is such that the differences will take new turns – perceive the political message and challenge the majority of population to leave it behind. That is my only question: will the Government propose that the option tax proposal remain in place, so that now no arrangements are put in place to increase the differences? The second is the question of the taxation of capital. One of the major reasons for the development of Difference Norway in the 1990s is that the difference in taxation of labour and capital is large. Will the Government do anything to increase the tax on dividends?
ParlaMint-NO_2000-05-03.ana.ud1122e425	To the last question: I would like to remind you that the Workers' Party has made proposals on share taxation, among other things. to remove the rebates made by shareholders in connection with the taxation of wealth. If it had been done, in our opinion, we would have had a much fairer tax. It has not been possible to get through it – at least not completely – because of what the Workers' Party has been doing. What I can say is that, given that the situation is as it is in the Storting, we will look for new opportunities to get a fairer tax on capital and employee income. On the first question, about the options, there is a proposal from the Government, and it should not be such that it will help to increase the differences, but rather adapt taxation to the new situation, which means that knowledge means so much more in our business life. We have to take that into account.
ParlaMint-NO_2000-05-03.ana.ud1122e432	Follow-up questions - from Carl I. Hagen.
ParlaMint-NO_2000-05-03.ana.ud1122e435	I would first like to say that I think it is absolutely amazing that the government has not made sure that it is one of those responsible for the payroll, who are meeting today. The country's up in a big conflict. It is about the only topic that concerns the Norwegian people, and then it should be a matter of course that Prime Minister Jens Stoltenberg cleared the room to come to the Stortinget and answer questions, which could also be communicated to all those who come with in the spontaneous questioning session. That was the purpose of this. I have found that the government is totally passive when the country is in a big strike. That is why I allow myself to ask Grand President Kolle Grondahl to contribute to Jens Stoltenberg as Prime Minister meeting in Stortinget at the end of the meeting to answer questions. I note that the Minister for Foreign Affairs now has views on these issues. I will allow myself to ask the Minister of Foreign Affairs if he, as Minister of Foreign Affairs, and perhaps as leader of the party, will help Jens Stoltenberg meet in Stortinget to answer questions in a credible way on behalf of the Government.
ParlaMint-NO_2000-05-03.ana.ud1122e444	I'm glad that Carl I. Hagen was finally asked a question. It is entirely possible to ask me as the Government's No. 2 and also the head of the Workers' Party on these issues. I've answered something from Kristin Halvorsen's side. The government is not totally passive, but the government is dealing with this issue as it is supposed to do, namely not interfere in pay settlements. There has been too much of that, in my opinion, which may have contributed to the situation that we see. We have free negotiations in Norway. It can cause a strike from time to time. The government has said it will not interfere with compulsory pay. We now have to let the parties sort this out. However, it is clear that the Government encourages employers to understand what was going on in the final vote and also to come up with agreed proposals between the parties that can win membership of the strikers.
ParlaMint-NO_2000-05-03.ana.ud1122e453	There will be follow-up questions – Kjell Magne Bondevik.
ParlaMint-NO_2000-05-03.ana.ud1122e457	Since the Foreign Minister has already accepted to answer such questions, I would like to follow up. The strike situation and how to get out of it are, of course, the main responsibility of LO and NHO. We may have opinions as to why it has become a no at the watch vote. I think it has to do with management wages. I think it has to do with the lack of follow-up to the reform of continuing education, where the previous government and the Stortinget settled, but the two parties did not find a solution. But the danger of the situation is that a good economic situation for the country that was built up may eventually be destroyed. It is therefore also the responsibility of the Government and the Storting to pursue a fiscal policy that counteracts this. It is our responsibility to pursue a anti-balancing policy, and there we record with satisfaction that the government sitting behind the previous government proposal in the anti-balancing message, since it has not been withdrawn. But the government itself is, as a representative of the state, a direct party to the public settlement. My question is therefore: how does Jagland now assess the public sector situation and progress and framework for public settlement?
ParlaMint-NO_2000-05-03.ana.ud1122e466	As I said before, I think there have been too many politicians who have tried to get involved in, not to say guys up under, different settlements that are going to come now in ours, and that may have contributed to a difficult situation. I will therefore not give in to any assessment of that situation. Now there's going to be negotiations between the parties, and then we'll see what that leads to. Otherwise, I fully agree with Kjell Magne Bondevik that it is important now to pursue a responsible fiscal policy. We have to cover the unpaid bills that were paid in the past in connection with the revision, so that the expenditure growth is kept under control. And it's important for the anti-dithering policy. We have not withdrawn the anti-sampling message, among other things. because we think there were many good proposals and analyses there, but we will reserve the right to make new proposals in connection with the treatment here in the Stortingen, and in connection with the state budget for next year.
ParlaMint-NO_2000-05-03.ana.ud1122e473	Erna Solberg – for follow-up questions.
ParlaMint-NO_2000-05-03.ana.ud1122e476	I will be allowed to stress from the Right that it is up to the social partners to find solutions to the situation we are in. The government's responsibility is to assess the consequences, not least in terms of life and health. I therefore have a follow-up question to the Minister of Justice. Today, it is clear that the service industry has not received a derogation to continue operating all the violence and social alarms in this country, which are connected to Securitas. The strike management points out that it is then up to the police to continue and follow this up. What is the readiness to do, and what is the Minister of Justice doing in relation to violence and social alarms as the situation has now become?
ParlaMint-NO_2000-05-03.ana.ud1122e483	When the situation is as it is after no derogation has been granted, the police must follow up as best they can to take care of life and health.
ParlaMint-NO_2000-05-03.ana.ud1122e488	Morten Lund - to the last follow-up question.
ParlaMint-NO_2000-05-03.ana.ud1122e491	I have an additional question for No. 2 of the Government. The right to strike needs to be protected and also the responsibility of the parties to resolve these conflicts. But the cause of the discontent, which is a rebellion against the elite, must also be discussed by us. It was the same dissatisfaction that was in 1998, when we got a settlement that was terribly expensive and harmful to everyone. It was a rebellion against increased management wages, among other things. reward for those who had to stop because they did a bad job. Such systems don't like people. The previous government appointed a Value Commission to hold a debate on important issues in society. I believe that there is a need for debate on ethical attitudes in business. Will this government contribute to a debate about the leaders who have triggered this strike, and who do not understand it themselves, so that they have to take care of themselves?
ParlaMint-NO_2000-05-03.ana.ud1122e500	Discussions on this issue are important, but practical action is even more important. The government has said that, among other things, shall promote rules on pension contracts in public enterprises, so that a standard can be set for private individuals as well. I would like to point out that the Prime Minister publicly pushed out of the pension agreement that the Director of Statoil got, which also led to him withdrawing from that agreement. I think it is important to follow-up with concrete mitigation measures also in fiscal policy. The Labour Party has for many years had proposals that have been rejected by the majority of the population. We will come back with new proposals – not necessarily those that do not have a majority, but new ones that may seem daunting. So I fully agree, there is a need for debate. But it is even more important that we, as politicians, have the power to act.
ParlaMint-NO_2000-05-03.ana.ud1122e507	Let's move on to the next main question.
ParlaMint-NO_2000-05-03.ana.ud1122e510	I have a question for the Minister of Culture. The new government has confirmed that it is working on a VAT reform based on the extension of the VAT base. In connection with the VAT reform, there has been unrest in Culture-Norway, which fears VAT on culture, it will mean cinema tickets, theatre tickets, etc. The previous government made it clear that it did not wish to extend the VAT base by applying VAT to culture. Can the Minister of Culture clarify the position of the new government on this issue? Does the Labour Party share the view of the Left and the other centre parties that VAT should not be introduced into culture?
