ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e24	No one has asked for the floor. [[See page 489]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e206	Two proposals have been put forward during the debate. It's proposal No 1, by Sverre J. Hoddevik on behalf of the Progress Party and Right-wing Proposal No. 3, by Karin Andersen on behalf of the Progressive Party and the Socialist Left Party Proposal No. 2 in the position, from the Christian People's Party, the Central Party and the Socialist Left Party, is not recorded. Proposal No. 1, from the Party of Advancement and the Right, says: ‘The government is asking for further work to be done on the conversion of the accounting principle for local government accounts towards a profit and loss-oriented accounting and budgetary management. Further work should also be carried out in some municipalities with the conversion of accounting principles.» The proposal will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e237	The President will vote on proposal No. 3, from the Progress Party and the Socialist Left Party, to § 35. The proposal reads as follows: «In Act No. 25 September 1992 No. 107 on municipalities and counties are amended as follows:§ 35, paragraph the last 2 sentences are deleted.’ [[municipal law]]
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e720	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e728	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e755	In accordance with the fourth paragraph of Section 30 of the Rules of Procedure, II will be to send the Stortinget.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e774	During the debate, Mr Knudsen put forward a proposal on behalf of the Progress Party and the Right.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e828	Paragraphs 2 and 4 have a different proposal from the Progress Party and the Right. The proposal reads as follows:
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e861	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e869	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e929	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e937	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e983	The President has understood that the Advance Party and the Right will oppose – it is nodded.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1100	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1108	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1114	Four proposals have been put forward during the debate. It's proposal No 1, by Karin Andersen on behalf of the Right and Socialist Left Party, the proposals No. 2, 3 and 4, by Karin Andersen on behalf of the Socialist Left Party Proposal No. 3, from the Socialist Left Party, says: «The Government asks the Government to amend the Regulation of 30 September 1993 on recovery aid to cover expenditure on school books and school supplies relating to approved resettlement schemes even if they exceed the current annual rate of the State Loan Fund for Education.» Proposal No. 4, from the Socialist Left Party, says: ‘The Government asks the Government to submit proposals to amend the social security rates to cover child-care expenditure [[Price support code]] The proposals will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1279	The President will vote on proposal No. 2, from Socialist Left Party, to § 10-7 new sixth paragraph. The proposal reads as follows: ‘The law of 28 February 1997 on popular security is amended as follows:§ 10 –7 new sixth paragraph is replaced by:To members receiving rehabilitation funds, see paragraph 6. § 10-8, benefits may be provided to cover expenses for the supervision of children under 10 years of age. It is a condition that supervision of children is necessary to enable the member to carry out treatment, rehabilitation or work training.»
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1349	There are two different proposals. That is proposal No. 1, from the Right and Socialist Left Party:‘The Law of 28 February 1997 on Population Security is amended as follows:
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1467	The Socialist Left Party has announced their opposition.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1646	There is an aberrant proposal, No. 2, from the Socialist Left Party: «Sections 11-11, second paragraph, is replaced by the following:The minimum annual benefit is 2 times the basic amount.»
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1721	There is an aberrant proposal, No. 1, from the Right and Socialist Left Party: ‘§ 11-13 new fifth paragraph is replaced by the following:The member may work for up to eight hours per year. the notification period before fully degrading the performance.’;»
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1815	The Socialist Left Party has announced their opposition.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1981	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e1989	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e2591	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e2599	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3056	Before we go to voting, the President will draw attention to two corrections in the vote: in Section 4, new paragraph. 5 the introductory part is replaced by the following: instead of ‘It shall be provided...’. In the printed version of the setting, Roman Num IV is disabled. it shall be replaced by the following: ‘Lova shall take effect on 1 January 2001.’
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3068	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3076	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3419	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3427	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3502	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled?
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3507	I would like to make sure that I correct the error in case No. 1st@item: inlistbox I should have voted against proposal No. 3rd@item: inlistbox
ParlaMint-NO_2000-06-05-lower-2.ana.ud1519e3514	It will be noted.
