ParlaMint-NO_2000-03-07-lower.ana.ud338e36	The representative of Øyvind Waksdal will present a private legislative proposal.
ParlaMint-NO_2000-03-07-lower.ana.ud338e321	Ot. pp. No 21 for 1991-92 is about several distinct tax relationships, and I'll take the most important of them in the order that comes from the proposition. Within the shipping tax regime, the Government proposes to extend the loan ban to cover the provision of guarantees and guarantees with effect from 1 January 2002. The Progress Party recalls that Paragraphs 8 to 7 of the Share Act include restrictions on the freedom to grant loans to shareholders and related parties. Furthermore, loan transactions do not create specific control problems for the equality authorities, and the Progress Party cannot therefore see the need for a rule prohibiting these types of transactions. Thus, the present rule on the prohibition of granting loans in the tax law § 8-12 is not well-founded and should be lifted. As for loans, guarantees and guarantees are capital transactions at easily observable prices in the market. These transactions are thus among the types of outstanding balances that create fewer control problems for tax authorities. In addition, the specific regulation of share law comes in the same way as for loans. The Progress Party therefore proposes that Section 8-12 of the Tax Act be repealed. The party to the progress is also concerned that the lack of freedom to provide group contributions under the general rules applicable to other companies is justified by the fact that the tax liability on financial income of companies taxed by companies is limited. However, with effect from the 2000 year of revenue, full tax liability has been imposed on net financial income. Consequently, the reasons for the exemption from the general rules on group contributions have been deleted. The natural consequence of this is that the general freedom to provide group contributions with income-balancing effects is also introduced for companies taxed by companies. The Progress Party therefore supports proposals to this effect. The Progress Party is also concerned that the tonnage tax is part of the income tax system and therefore considers that it must also be treated as income tax. This means that the tonnage tax should be included in the tax capital account of the company, as stated. the third paragraph of Section 8-15 of the Tax Act. When the tonnage tax is not taken into account in the taxed capital account, this implies a double taxation by failing to compensate the company for the tonnage tax paid on dividends and withdrawal of the shipping tax scheme. In the Netherlands, Germany and England, the tonnage tax is fully defined as an ordinary income tax. We therefore propose that the estimated tonnage tax should be included in the tax revenue account. As regards the Government's proposal for access to the exchange of information between the tax authorities and the Labour Inspectorate, the Progress Party considers that it is generally and fundamentally important that there are no too many exceptions to the general rules on professional secrecy, because this is a rapid breach of privacy. The government’s proposals may – without being intended to be – threaten the legal certainty of taxpayers who, through errors of writing, misinterpretation or misinterpretation, provide incorrect information. The Progress Party sees that increased exchange of information for control purposes between the two departments could lead to more efficient use of control resources. This, however, is in itself an argument that completely fails to protect taxpayers from disclosure to the authorities of the equation. It is alarming that this aspect is not particularly problematic in the proposition and that the proposition does not impose any relevant restrictions on the proposed access to information exchange. The progress party indicates otherwise to Innst. O. No 46 for 1991-92 and will vote against the proposal to amend paragraphs 3 to 13 of the Equation Act. 2 (b). With regard to the Government's proposal that the right to have a secret telephone number in practice be abolished, I would like to show that it follows from the first paragraph of Article 8 of the European Convention on Human Rights that everyone has the right to respect for their privacy and family life, their home and their correspondence. The right to free communication provides a central guarantee of the integrity of the individual. The right to keep a secret phone number, etc. is part of the protection of the integrity of persons. The restriction of human rights must be governed by law, and in that case the law must be: «necessary in a democratic society for reasons of national security, public security or the economic well-being of the country, for the prevention of disorder or crime, for the protection of health or morality, or for the protection of the rights and freedoms of others». It is in no way demonstrated that the control authorities have access to information on secret telephone numbers, etc. is necessary in order to ensure the economic well-being of the country and the prevention of crime. The Progress Party will emphasise that Telenor, NHO and the Data Protection Authority have expressed principled scepticism for the legislative proposals. The Progress Party believes that there should be a great deal of caution in relation to the question of eroding the validity of the European Convention on Human Rights in Norway and will therefore be voting against the proposals for amendments to the Customs Act new § 6-13a and the VAT Act new § 48a. I am referring to the proposals that have been made by the Group of the European People's Party (Christian Democrats) and European Democrats, and to the proposals that we are co-sponsors.
ParlaMint-NO_2000-03-07-lower.ana.ud338e364	The representative Kenneth Svendsen has drawn up the proposals he referred to.
ParlaMint-NO_2000-03-07-lower.ana.ud338e367	The case spokesperson has done well for the content and position of this case. So I'm going to limit myself to commenting on one point. The Ministry of Finance has interpreted the tax laws of § 8-18, fourth paragraph, point (a) in such a way that group contributions between companies within the shipping tax scheme shall not have an income-absorbing effect. In the context of the Financial Committee, the management of Ot. pp. No 21 have raised the question of the changes in the shipping tax regime introduced with effect from the current year of income, should lead to a change in the above-mentioned practice. In a letter dated 10 February of this year to the Right’s Grandfather’s Group, the Minister of Finance, among others, writes: that, in the light of the changes in the shipping tax regimes adopted, there may be material grounds for assessing the limited ability of companies to make group contributions with income-absorbing effects between companies within the shipping tax system. The Minister of Finance further writes that he will return to this in connection with the 2001 tax package. Given that the changes that have led to such a conclusion are liabilities from the 2000 income year onwards, it is reasonable that in that notification it is considered whether the possibility of providing group contributions with income-absorbing effects between companies within the shipping tax system should be considered from the same date.
ParlaMint-NO_2000-03-07-lower.ana.ud338e380	No more people have asked for the floor on case No. 2nd@item: inlistbox [[See page 348]]
ParlaMint-NO_2000-03-07-lower.ana.ud338e388	The odelsting shall vote in case No. 1 and 2.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1082	The Christian People's Party, the Right Party and the Center Party have warned that they are moving towards the fourth paragraph, the second sentence.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1377	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1384	The legislative decision will be sent to the Saving Decision.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1390	During the debate, Kenneth Svendsen, on behalf of the Progress Party and the Right, has presented the proposals No. 1-3. Proposal No. 3 sounds: ‘The government asks the Government to submit legislative proposals to enable companies with income-balancing effects to make group contributions between themselves within the framework of the net financial income of the year and the income supplement for own funds.’;» This proposal will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1660	The Progress Party and the Right have warned that they are going against it.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1723	The Progress Party and the Right have warned that they are going against it.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1782	The Progress Party and the Right have warned that they are going against it.
ParlaMint-NO_2000-03-07-lower.ana.ud338e1927	Here there is an aberrant proposal, No. 1, from the Progress Party and the Right. The proposal reads as follows: ‘Law of 26 March 1999 No 14 on taxes on wealth and income are amended as follows: [[tax laws]]
ParlaMint-NO_2000-03-07-lower.ana.ud338e2022	Here there is an aberrant proposal, No. 2, from the Progress Party and the Right. The proposal reads as follows:
ParlaMint-NO_2000-03-07-lower.ana.ud338e2152	The President will vote on proposal No. 2, from the Progress Party and the Right, in the case of § 10-34, second paragraph, second sentence:
ParlaMint-NO_2000-03-07-lower.ana.ud338e2191	It's going to be over the heads of the laws and laws of the whole thing.
ParlaMint-NO_2000-03-07-lower.ana.ud338e2198	Statutory decisions will be sent to the Lamentation.
