ParlaMint-NO_2000-03-29.ana.ud585e27	The representative Fridtjof Frank Gundersen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2000-03-29.ana.ud585e173	There is strong disagreement as to the consequences of building gas power plants in Norway in relation to European CO2 emissions. The Danish Energy Agency believes that it is not possible to say that there will be a reduction in CO2 emissions due to coal power generation, even if a gas power plant is being built in Norway. But precisely because this is controversial – can the Prime Minister imagine taking the initiative for an independent review in order to identify the European impacts of Norwegian gas plant construction in a time perspective up to 2025, thus demonstrating the willingness to test own arguments against independent investigations? And here we have a good time, it'll take many years for us to build gas power plants in Norway, so we can map the decision base in a good way, if you like.
ParlaMint-NO_2000-03-29.ana.ud585e180	Firstly, there are already various analyses from independent bodies on how this will affect Nordic emissions in total. But the main message must be that we have signed a Kyoto agreement to set an absolute ceiling on how much emissions can be. We have made it clear all along that the emissions of CO2 from Norwegian gas power plants and other emissions are, of course, to be included in the Kyoto agreement. Thus, we want a locked system by purchasing allowances to increase emissions, and then the emissions are regulated by allowances. Now I saw that Norsk Hydro and Statoil have already announced that they will contribute to the World Bank's Carbon Fund. We must make every effort to ensure that we have an allowance system in place by 2008 at the latest, and then we have a contractual guarantee that increased emissions in Norway will be compensated for by reduced emissions elsewhere.
ParlaMint-NO_2000-03-29.ana.ud585e185	Let's move on to the next main question.
ParlaMint-NO_2000-03-29.ana.ud585e188	There's no doubt about what's the Big One's wish price. I will not fall for the temptation to participate in it, but I will also ask the Prime Minister about the interest increases that are now both announced by analysts and also suggested by the Bank of Norway. It is clear that this has a price, a significant price both for municipalities, to provide services to the inhabitants, and for individuals, who have to pay these rates. Now I am aware that the Prime Minister has significant problems with the revision of the budget, because it is quite significant exceedances that are now ahead of the Government and that have to be covered up. But the problem is, what does the Prime Minister intend to do with the warming in the Norwegian economy that is now coming? One of the things that is easiest to deal with is new tax increases, and I want to ask the Prime Minister if he can guarantee us that such proposals he will not come back with.
ParlaMint-NO_2000-03-29.ana.ud585e194	I don't want to speculate in future interest rate developments, it can only help create uncertainty about interest rates and distort the situation. On the other hand, I would like to say in general that Norwegian interest rates are determined by several factors. They are determined by our own budgetary/financial policies, the pressures of the domestic economy, they are determined by the interest rates in our neighbouring countries, and they are determined by factors such as: cost growth and wage growth. And there it's obvious that if we can get a responsible paycheck in place, it increases the chances of having low interest rates in Norway. So it's a key. The second is, as the representative Petersen is concerned, a question of financial policy. If we do manage to pursue a responsible fiscal policy, it strengthens the possibilities of having low interest rates. There is the main problem that there are many unpaid bills that were not taken into account when the budget was adopted last year. We're talking about billions, for example. related to the KFOR forces in Kosovo, we are talking about social security, and we are also talking about other items where there is a significant need for detection in order to maintain a continued responsible fiscal policy. The government will propose that in the revised national budget we ensure the greatest possible follow-up to the already adopted budget. We therefore need to find a way to cover these unpaid bills that were there when we took over, in order to ensure the implementation of the adopted budget and thus contribute to low interest rates in Norway.
ParlaMint-NO_2000-03-29.ana.ud585e201	I noticed that the Prime Minister did not answer my question, namely when it comes to tax increases, and I would warn against it, because it will bring the prices up further. But when this question is important, it is because today's Evening Post says that the Government will now propose tax relief to the farmers, and as far as I understand, only to the farmers. My question is then to the Prime Minister: if the Government believes that tax relief is now available, will it not be fairer if it is distributed to all the Nordics, so that both the tax and the tax levels can be reduced?
ParlaMint-NO_2000-03-29.ana.ud585e206	I do not want to comment on individual items in our budget until we have gone through it both in relation to the revised national budget and even more obviously in relation to the 2001 budget. But what I stress is that we want to pursue a responsible budgetary policy, and that is why there is a great demand for the collection of the bills that were there. How to cover it, we will explain when we present the revised national budget. With regard to agriculture, the situation is that there is a desire to lower prices to make Norwegian food cheaper and to make the Norwegian food industry more competitive. And if commodity prices for the food industry go down, farmers will get lower incomes, but consumers will get cheaper food. The previous government offered to compensate for this in terms of lower taxes. In the EU countries, it has been committed to compensating for it through increased transfers. It is true that the Workers' Party initially saw that it was just as likely to compensate for this through increased transfers, such as at lower taxes, but we believe that also lower taxes are a very good measure of compensating for the reduced income farmers will get.
ParlaMint-NO_2000-03-29.ana.ud585e213	There will be follow-up questions – Carl I. Hagen.
ParlaMint-NO_2000-03-29.ana.ud585e216	It seems that the Prime Minister considers financial policy to be responsible by just looking at the final sum, i.e. the balance of the state budget. Can the Prime Minister really not see that there is a significant difference in the real impact of pumping more money into the economy in the form of increased appropriations, or whether it comes in the form of reduced charges? Now we're in the middle of a paycheck, where exactly the price rise is a significant feature of the requirements. If inflation is high, the requirements are higher. Once again, moderate wage increases are difficult to achieve, and then there will be an increase in interest rates. Here the Prime Minister, despite what he has said before, has a unique opportunity. We can reduce some taxes, especially the petrol tax, and promise a petrol price of 6,50 to 7,00 kroner per litre fixed by a variable petrol charge. Then inflation decreases, then it's easier to get moderate pay settlements because there's a lower price increase, and then there's a greater hope of not getting interest rate rises. Why doesn't the Prime Minister go into this?
ParlaMint-NO_2000-03-29.ana.ud585e221	It is true that there is a difference between strengthening fiscal policy — or strengthening budgets — by increasing revenue, compared to reducing expenditure. I fully agree with Mr Hagen. But it's not that if you just reduce income, by, for example, to reduce taxes and do nothing else, it helps to reduce the pressure on the economy and reduce the risk of increased costs and interest rates. On the contrary, an uncovered tax reduction or reduction will increase the risk of excessive interest rates and high price increases in Norway. Among other things, underlined by the governor of his year, warning against tax increases, that's absolutely correct, but he also warned very clearly against what he called tax reductions without interference. Reducing some taxes without reducing other taxes or cutting costs increases the risk of excessive interest rates, high inflation and increasing unemployment. It is an irresponsible policy that this government does not stand for, even though the largest opposition party recommends it.
ParlaMint-NO_2000-03-29.ana.ud585e228	Admits Gabrielsen to follow-up questions.
ParlaMint-NO_2000-03-29.ana.ud585e231	The Prime Minister said that the reason he wanted to introduce tax incentives for one profession was to get cheaper food and that the food industry would get raw materials that would make it competitive. The most obvious intervention did not include the social economy: redistribution within DKK 13 billion in budget transfers to that profession. We're at the top of the world in transmission per. annual work. Of course, the most logical thing is to redistribute. If you want to reduce the tax to lower the cost of food, you should have the same approach angle to bring down the carpentry bill, the plumbing bill and the electric bill for people by reducing the tax to the same professional groups. What the Prime Minister is now saying is that the Workers' Party has turned its back on this case, and that the government is behind the tax regime that the government Bondevik put forward.
ParlaMint-NO_2000-03-29.ana.ud585e238	I think it's a little lingering comparison between agriculture and farmers and other professionals, joiners, for example. Snickers receive their income determined in a market for joinery services, while agriculture has earned its income determined by negotiated prices. It is a distinct industry which has been treated in a very specific way, providing aid in the form of grants, but also by fixing prices through the agricultural production process. When we then undertake to reduce prices through agricultural production in order to reduce food prices and strengthen the competitiveness of the food industry, there has been a broad consensus that somehow it has to be compensated. In the EU countries, where similar action is being taken, this has also been compensated, but through increased subsidies. There will be a technical question, and there will be a question of appropriateness in compensating for the reduced food prices, and the selling prices for agriculture, through increased subsidies or reduced taxes. So we've opened up to use reduced taxes, for example. to find policy solutions here in Stortinget.
ParlaMint-NO_2000-03-29.ana.ud585e245	Rolf Rekvam – for follow-up questions.
ParlaMint-NO_2000-03-29.ana.ud585e248	Neither price growth nor wage growth in the Norwegian economy are significantly different from what we see in other countries. How strong the pressure is, we can discuss it. In addition to the unpaid bills in the department, the Stortinget, supported by the Workers' Party, has taken several important decisions which will have fiscal implications. We have adopted an increase in research. We have adopted increased efforts in relation to teachers and teacher groups and in relation to the school sector. My question to the Prime Minister – although he will not say exactly what comes into the revised national budget – is: Can we count on the pressure that is now defined that we have in the Norwegian economy to have consequences for the Government's willingness to follow up on research, on school and on education – that a person uses this so-called pressure as a reason not to follow up on these important challenges that we have in the Norwegian economy?
ParlaMint-NO_2000-03-29.ana.ud585e258	First in relation to the pressure: there was a question raised about whether we had the pressure. Well, the price rise in Norway, inflation in Norway, was 3.2 p.m. in the last 12 months, while in our competitor country it is less than 2 p.m. We have a clearly higher price increase in Norway than in the countries with which we compete. Wage growth in the last two years has been around 5 pst., up to 6 pst., significantly higher than in the countries with which we compete. In the last two years, we have lost cost competitiveness because we have had a higher price and cost growth. It worries this government, because it can help to build up the businesses we're going to live on in the future in the long term. Small, medium-sized and large losses if we don't keep track of cost growth. We are for all three types of businesses, especially when they are exposed to competition. That's why we're busy keeping track of that part of the economy, and that's why we want to limit the pressure. That is why, in the revised national budget, we will ensure that the budget that was adopted is implemented as fully as possible and will count on support for it, because it was the wish of a majority in the European Parliament.
ParlaMint-NO_2000-03-29.ana.ud585e267	Kjell Magne Bondevik – for follow-up questions.
ParlaMint-NO_2000-03-29.ana.ud585e270	At first, I think there is reason to stress, after all the concerns that have been raised, that the Norwegian economy is currently good. We have high employment, we have low unemployment, and we have relatively limited inflation. But it is clear that the signals from the market are worrying. We have a tight labour market with a risk of cost pressures and the subsequent interest rate rise, and everyone sees the possible adverse consequences, including: into the statement of income, if any. In the case of unpaid bills, a major part of them is payment to the KFOR strength. There, the central government, like the previous Labour Party government, has been budgeted for the first six months. We have a different big bill – the increased expenditure on popular security – which is a concern for any government because it is rising sharply from year to year, and it also increases occasionally in the budget year, as one now sees the outlines of. That is why I ask – and I do so in complete sincerity: Is the Government prepared to invite a broad cross-political cooperation to limit the expenditure of the people's rights, among other things. based on the upcoming Sandman Selection settings?
ParlaMint-NO_2000-03-29.ana.ud585e281	Prime Minister Stoltenberg!
ParlaMint-NO_2000-03-29.ana.ud585e284	I am pleased that the representative Bondevik stresses that we have relatively limited inflation – in the sense that he also acknowledges that there is potentially a problem for us in relation to both price and cost growth. Otherwise I agree that basically the Norwegian economy is good. This has been the case for many years, and this is because there has been a consensus on some important key economic policies relating to the solidarity option and income policy cooperation, and the conduct of a responsible fiscal policy to help balance the fluctuations in the economy. We are open to look at how we can contribute to limiting the so-called automatic expenditure growth in the state budget, also linked to the expenditure of the population. What that actually means, what areas we can do about it, is it's too early to say anything about, but it's clear that for any government and for any expansion it's a problem that so much of the budget is tied up, and that so little revenue is actually free to pursue policies. In the case of KFOR strengths, there are significant exceedances beyond what is associated with the fact that we are also going to finance the second half of the year.
ParlaMint-NO_2000-03-29.ana.ud585e296	Let's get on with the main questions.
ParlaMint-NO_2000-03-29.ana.ud585e299	I would like to ask the Prime Minister a question. It has become known in the last few days that the Chief Statoil Harald Norvik has had a secret pension agreement amounting to up to SEK 29 million. kr. and that if paid as agreed, it exceeds what Norvik received as a salary while he was Director of Statoil. My question to the Prime Minister is: Does the Prime Minister think this is a decent agreement, and does he think that the numerous renegotiations until Norvik's departure are also a reasonable procedure?
ParlaMint-NO_2000-03-29.ana.ud585e308	At least I believe that this is an unwise agreement. I believe that this and a wide range of other examples of very generous management salaries, pension agreements and, above all, the strong increases in management salaries in the last year that have been documented in different contexts are unfortunate and unwise, not least because it helps to undermine the possibilities for a responsible income settlement. And getting a responsible income statement is essential for us to succeed in economic policy in terms of ensuring the competitiveness of Norwegian industry, which these leaders are always very concerned about, and it is crucial to avoid long-term unemployment. So I believe that it is unwise, both this and similar examples, and therefore believe that it would have been best if we had avoided that kind of agreement.
ParlaMint-NO_2000-03-29.ana.ud585e313	I fully agree with the Prime Minister. This is both unwise, socially very unintelligent and ‘on the whim’. And it's not because SV doesn't like part of those who are now negotiating pay, a real paylift. On the contrary, we believe that it is important, especially for the public sector, to do what is needed to recruit decent labour. But especially for those who preach moderation, it must be terriblely unmusical when the top leaders go ahead in this way. Now the Prime Minister says that this agreement is unwise and unfortunate. Statoil is a state-owned company, and when you have a government that makes unwise and unfortunate decisions, is it that the Prime Minister has confidence in the board, in the Chairman of the Board, or will he do something about it?
ParlaMint-NO_2000-03-29.ana.ud585e320	The President will ask the representative, Mr Halvorsen, to make a choice of words which is somewhat more in parliamentary terms.
ParlaMint-NO_2000-03-29.ana.ud585e323	I noticed that when the representative Halvorsen used this expression we were not going to use, she said that she fully agreed with me, so I am a little uncertain about how to relate to that very word. But I'm content to say that it's unmusical, and express consensus at that point. When it comes to the relationship with Statoil, first of all, I want to say that I have confidence in the board, and that's not what we're going to do about it. It is not the case that if a government at one point makes a decision the owner thinks is unwise, for that reason changes the board, because then you will have to change the board often, and I think that is unfortunate for the company – any company. Secondly, the distribution of responsibilities between the owner and the government would be totally undermined. In the case of Norwegian companies, like other companies in which the state is a partner or a helicopter, we have based ourselves on the fact that where the state is a heavy owner, the distribution of responsibilities is clear: it is the board that is responsible for business decisions and the establishment of pay and working conditions for managers. And we don't want to interfere with that division of responsibilities, even though at one point we think it's an unwise decision.
ParlaMint-NO_2000-03-29.ana.ud585e331	Let's move on to the next main question.
ParlaMint-NO_2000-03-29.ana.ud585e334	The Prime Minister may be allowed to sit. I'm going to ask the Minister of Defence a question about a topic that the Minister of Defence is well-known to me. This applies to St.meld. No 38 for 1998-99. I'm pleased that the Government is maintaining it. They have now given a signal about that. But that probably also means that you agree that there is – what I would call – obstruction from other “sivile” departments, which are completely unintelligible for military functions on international issues. Does the Council agree that this is not a good cause for Norway in an alliance context? And will the Council of State take new initiatives to enable other departments concerned to become supporters and not opponents in relation to the new demands that meet the defence in connection with our international operations?
ParlaMint-NO_2000-03-29.ana.ud585e341	Of course, in consultation with the College, I would like to strongly condemn all obstructions against the Ministry of Defence, but I do not fully understand what the representative is aiming for. In the case of St.meld. No 38, there is an overall government that has been through an assessment, and it consists of the notification remaining in the Stortinget and being dealt with in the Storinget. So if the representative Width could be something more concrete, I might have a basis to advise some government council.
ParlaMint-NO_2000-03-29.ana.ud585e346	I'll try to be. That is what I understand as a disagreement within the departments about the insurance scheme and the security scheme for our military forces to participate in foreign operations. During these days we have experienced the situation that we are unable to mann our vessels in such operations. The reason lies in what has to do with insurance schemes related to the safety of these teams. In my opinion, it gives a very bad impression towards NATO, and it can't be satisfactory either with the eyes of the Council of State. Will the Council of State take an initiative so that these arrangements can take effect as soon as possible?
ParlaMint-NO_2000-03-29.ana.ud585e355	I now understand that the representative aims to have the head of defence cancelled the participation of KNM “Hinny” in NATO’s mine clearance force. The background for this is a similar ‘incident’ earlier, which, above all, underlines the need to target what is now also being discussed in the follow-up to St.meld. No 38, i.e. a right of appeal for a Norwegian order in respect of international military service. I think there is a relatively broad consensus on that in the committee – I allow myself to say that, since it is not that long since I frequented the defence committee. But at the same time, it goes without saying that there is a need for an administrative follow-up of this in the border country between the Ministry of Defence, the Supreme Command of the Defence and the command organizations that will be on the team, so that we can put in place the arrangements that this is about. And I share without a doubt the assessment that there is a need to improve the order and the arrangements of the guardians on this point.
ParlaMint-NO_2000-03-29.ana.ud585e362	There will be follow-up questions – Ingvald Godal.
ParlaMint-NO_2000-03-29.ana.ud585e365	I'd like to follow up a little bit when it relates to the relationship with other departments. It was agreed a few years ago that foreign service staff should be the wage-leader for Norwegian staff abroad. This is perceived as a bit paradoxical by people who are out on operations where they risk life and limbs so to speak daily. It was one that expressed it so that these types just risk getting a champagne cork in their heads, while they're risking pomegranates themselves. Will the Council of State take action to correct this, so that the level of pay can reflect the real risk to those outside?
ParlaMint-NO_2000-03-29.ana.ud585e374	I think I would first say on behalf of the Minister for Foreign Affairs that this is not a correct and comprehensive description of the dangers to which the foreign citizens are also exposed abroad. It is beyond doubt that the border between being in service, whether one is a diplomat in a village exposed to conflict and violence, or is in the management of a force in a similar situation — and therefore under my responsibility — is not necessarily as dramatic as it was in the past. But it is also raised to doubt that those who are under a military hat out in Kosovo or other risky areas are faced with very specific challenges that also affect their physical security. This is covered up and well described in St.meld. No 38 of the previous government. And as a basis for that, we need to put in place the arrangements that provide both command and protection, and those who have worked for that type of operation, the necessary security.
ParlaMint-NO_2000-03-29.ana.ud585e381	Hallgeir H. Langeland – for follow-up questions.
ParlaMint-NO_2000-03-29.ana.ud585e384	Part of the sun data that is down in the Balkans, including: in the KFOR forces, the right-hand side of Norwegian policy has proposed to withdraw, or at least to reduce the cost in relation to the extra bill that one has received. I myself was opposed to the action down there, but I would strongly warn you that one reduces the effort as the situation is now. So my first question is related to Norwegian efforts in the KFOR force and the Minister of Defence in relation to this. The second issue is related to the investment programme that the Defence now has and that is significant. We've got fighter aircraft investments ahead of us, we've got frigate purchases, and we've got shooting-field bags. Later today, the Minister of Defence will answer a question that goes on the Eujemo. I'm not going to ask you that – but it turns out that the investment programme you have is going beyond operations in Norway. Will the Minister for Defence wait for the 2000 Defence Study and until the Defence Policy Committee has put forward its position?
ParlaMint-NO_2000-03-29.ana.ud585e393	The President would point out that in the case of follow-up questions, they should be addressed in line with the main question, even though this was initially a little difficult to define.
ParlaMint-NO_2000-03-29.ana.ud585e397	I assume that when the questions are still asked, I have to answer them.
ParlaMint-NO_2000-03-29.ana.ud585e402	It's up to the Council of State to decide.
ParlaMint-NO_2000-03-29.ana.ud585e405	Then I would say that in the case of KFOR, it is my absolute intention to have a continuation of the Norwegian contribution there. The government is now in a final examination of the question in the light of the very regrettable exceedances that are being discussed and that we have previously been informed through this part of the questionnaire. But I see it as impractical to step down our solidarity contribution to the strength that now ensures that there is at least a minimum of physical security for the people in the area, even though very much remains. With regard to the major economic issues related to the investments and operations of the Defence Agency, the representative is quite right that we are faced with very strong concerns here. We have for many years assumed that we will cover new investments by saving and slimming operations. That process is too slow. But these questions we're going back to in full width.
ParlaMint-NO_2000-03-29.ana.ud585e414	Let's move on to the next main question.
ParlaMint-NO_2000-03-29.ana.ud585e417	I would like to ask the Prime Minister a question. The changes in the European Union have shown that the no-side has been corrected. There has been more Union, more integration economically, more use of majority decisions and more power at the expense of small ones. Foreign Minister Thorbjørn Jagland has expressed the desire for a new membership debate and that there is a need for a more offensive EU policy from the Norwegian side. Can the Prime Minister clarify the government's policy vis-à-vis the EU, and what is the basis for a more offensive line vis-à-vis the EU?
ParlaMint-NO_2000-03-29.ana.ud585e426	Firstly, who has been right, and who has been wrong about the 1994 debate, we are probably about as dissenting about it as we did in 1994. And it's an interesting debate to continue. For example, I believe that the dramatic enlargement of the European Union to Eastern and Central Europe is an important dimension of the European Union becoming a pan-European and thus even more important as a peace-making element in Europe, which, yes-side, was emphasised in 1994, and which was not as concerned about the no-side. As for what is the basis of the government, it is mentioned in the government statement, and we say there that the starting point is the referendum in 1994. This is, of course, the basis for the policy we are going to pursue in terms of the approach to the EU and the management of, for example: The EEA Agreement. What we want is a more active policy, that we take even greater care of Norwegian interests, but at the same time take responsibility for European development. We believe that Europe's future is Norway's future, and we believe that we should contribute in every possible way, based on the referendum, to developing cooperation with the European Union, because it is in Norway's interest and also in Europe's interest.
ParlaMint-NO_2000-03-29.ana.ud585e435	Of course, we can continue the debate on who was right in 1994. Enlargement to the east was also well known in 1994, and there is no extension beyond what we knew in 1994, which is currently the case. I note that the Prime Minister intends to spend a little more time on a new membership debate than the Foreign Minister has mentioned. At the latest in today's VG, the Minister of Foreign Affairs is quoted, where he says that he believes that the question of a new membership can arise as early as the next summer. So I repeat the question: What is the government's policy? Is it intended to spend ten years, as the Prime Minister has indicated, or is this debate going to rise as early as the next summer, as the Minister for Foreign Affairs is calling for?
ParlaMint-NO_2000-03-29.ana.ud585e442	What the Minister for Foreign Affairs has been dealing with is the question of what the Workers' Party is going to do at its national meeting for the autumn. The question of whether the Workers' Party should change or adjust its programme formulations in order to give a little more freedom of action in relation to the EU issue over the next major period is a discussion we get to take in the Workers' Party. I believe that we should be able to provide formulations in our programme that will provide a slightly greater scope for action in the next major period. But first we're going to have a national meeting that will clarify what the Workers' Party will mean in the next period, and then we're going to have a choice where we're going to meet the voters with the new program. For the current period, up to the 2001 Grand Prix, the Labour Party programme, which has very clear wording that membership is not relevant, applies. And of course the government statement applies, where the starting point is the 1994 referendum. There's the Foreign Minister and I totally agree.
ParlaMint-NO_2000-03-29.ana.ud585e449	Let's move on to the next main question.
