ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e125	There is no record.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e553	I refer to the consideration of this matter in Odelstinget and promote, on behalf of the Christian People's Party, the Central Party and the Socialist Left Party, the following proposal: ‘The decision of the nodule is not accepted. Note:§ 14-10, first to third paragraphs, it is assumed that it should be replaced by the following: ‘If both the mother and the risk fulfil the conditions for entitlement to the birth grant, 20 social benefits days of the benefit period are reserved to father [[4 weeks]] [[Federal quota]] The fifth and sixth paragraphs should be assumed to be replaced by the following: ‘In order to obtain a derogation under the fourth subparagraph, it must be demonstrated that withdrawals from the spring quota will result in an unreasonable outcome.Even if none of the conditions set out in points (a) to (e) of the fourth subparagraph is met, derogations from the provisions of the first subparagraph may be granted in exceptional cases where unforeseen events make it unreasonable to require withdrawal of the spring quota.’; The current sections 14-18 become sections 14-19.§ 14-19, second and third paragraphs are assumed to be replaced by the following: ‘The adoption risk may take out the spring quota irrespective of whether the conditions set out in points (a) to (e) of the third paragraph of Section 14-18 are met. When the adoption risk takes out the parental quota, he is granted adoption benefits calculated in proportion to his own position, notwithstanding the provision in the first sentence of the first paragraph of Section 14-18. The parent allowance may be used in full at the same time as the other adoptive parent receives classified adoption money of up to 50 pst. in Section 14-14, eighth paragraph, or in accordance with the provisions on time account in Sections 14-21 to 14-28.The current seventh paragraph is deleted. ‘’»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e592	The representative Anne Brit Stråtveit has put forward the proposal she herself referred to. Several have not asked for the word.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e602	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e614	I refer to the debate in Odelstingen on this matter and will, on behalf of the Progress Party, make the following proposals: ‘The decision of the Nodelsting is not accepted.Note: It is recommended to the Odelstinget to refer to the legislative proposal.’
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e626	The representative Monsen has put forward the proposal he himself referred to. Several have not asked for the word.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e636	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e648	On behalf of the Workers' Party, I will present the following proposals: ‘The decision of the nodule is not accepted. Note: the second paragraph of Section 192, introductory part, is assumed to be replaced by the following: ‘The sentence is imprisonment for at least 1 year if’;» Paragraph 195, first paragraph, second sentence, is assumed to be replaced by the following: ‘If sexual intercourse was intercourse, the sentence is imprisonment for at least 1 year.’»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e669	The representative Dalheim has put forward the proposal he himself referred to.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e672	I refer to Mr Odelsting's discussion and debate on this matter and will make two proposals. One is on behalf of the Progress Party and the Right, and it says: ‘The decision of the nodule is not accepted. Paragraph 192, fourth paragraph, is assumed to be deleted.» The second proposal I would like to make is on behalf of the Progress Party, which reads: ‘The decision of the nodule is not accepted. Note: the first paragraph of Section 192 is assumed to be replaced by the following:’. (a) engage in sexual intercourse in the event of violence or threatening behaviour, or (b) engage in sexual intercourse with someone who is unconscious or otherwise unable to oppose the act, or (c) in the event of violence or in the event of threatening behaviour, or engage in sexual relations with another person, or to engage in similar acts with himself, for a period of up to 12 years, but for at least 1 year. When assessing whether there is violence or threatening behaviour, or whether insulted persons were unable to oppose the act, attention shall be paid to whether insulted persons were under 14 years of age.» Paragraph 192, second paragraph, introductory wording, is assumed to be replaced by the following: ‘The sentence is imprisonment up to 18 years but at least 3 years if’ Paragraph 195, first paragraph, is assumed to be replaced by the following: ‘The person having sexual intercourse with children under 14 years of age is penalised by imprisonment up to 21 years of age. If sexual intercourse was sexual intercourse, the sentence is imprisonment for at least 5 years.’ § 195, second paragraph, introductory wording, is assumed to be replaced by the following: ‘In criminal investigations, the focus is on whether:’ Paragraph 204, second paragraph, first sentence, is assumed to be replaced by the following: ‘ Pornography means, for the purposes of this paragraph, sexual portrayals of the use of children, corpses, animals, violence or coercion and similar gross sexual portrayals.’; § 206 is assumed to be replaced by the following: ‘When the provisions of this Chapter use the term ‘cohabitation’, vaginal and anal intercourse. The introduction of the penis into and between the large and small sexes and the introduction of the article into the edifice or endothelial canal shall be treated in the same way as the introduction of the penis into and between the large and small sexes.» The second paragraph of Section 202 is assumed to be deleted. § 208 is assumed to be deleted.»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e743	The representative Monsen has put forward the suggestions he himself referred to. Several have not asked for the word. The President will first vote on the proposal from the Progress Party, then on the proposal from the Progress Party and the Right, and finally on the proposal from the Labour Party.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e763	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e775	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e790	I refer you to Odelsting's treatment of this matter and I will make two suggestions. One is on behalf of the Progress Party and the Right and says: ‘The decision of the nodule is not accepted. § 2-5 seventh paragraph is assumed to be deleted.» Then I will make a proposal on behalf of the Progress Party: ‘The decision of the nodule is not accepted. Lactation Note: I.§ 3-1, fifth paragraph, second sentence should be assumed to be replaced by the following: ‘The county may require expert judgement if such assessment has not been made in previous and specific circumstances.’;» § 3-3 first paragraph is assumed to be deleted.§ 4A-3 is assumed to be deleted. II.§ 3 is assumed to be replaced by the following: ‘In order to be recognised as eligible under this Act, the school must provide an education meeting the requirements of elementary school training and continuing training in the Training Act in a manner equivalent to those given in public schools.’ Paragraph 25 is assumed to be replaced by the following: ‘The Department shall grant approval in cases where the school meets the requirements of this Act.The Ministry may withdraw the approval if the conditions of this Act are not fulfilled within a time limit set by the Ministry.The Ministry shall notify the Stortinget every year of the approval of schools.’;»
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e839	The representative Monsen has put forward the suggestions he himself referred to. Several have not asked for the word. The President will first vote on the proposal from the Progress Party and then on the proposal from the Progress Party and the Right.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e856	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e868	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e882	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e896	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e910	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e924	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_2000-06-16-upper-2.ana.ud1787e938	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King. The President wants the Members of the Lamentations a really good summer.
