Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	-	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e226	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e236	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e264	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e333	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e341	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e347	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e393	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e435	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e471	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e493	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e522	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2000-05-25-lower	ParlaMint-NO_2000-05-25-lower.ana.ud603e534	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 2000-05-25	2000-05-25	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 2000-05-25	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
