ParlaMint-NO_2000-02-23.ana.ud1940e31	The called alternate of the Telemark County, Gunn Marit Helgesen, has taken the seat.
ParlaMint-NO_2000-02-23.ana.ud1940e133	The representative and I agree that it is against Stortinget that you have to lighten the carpet. It is right that Secretary of State Hamar has signaled in various contexts that it is an influx to Norway, supposedly from Northern Iraq, but where, in order to use my words, we can see that very many of them speak fluently German, Swedish and Danish. Then we must assume that they have hardly come directly here from Saddam Hussein. That's why we've been looking at these issues for a long time, first of all, by combating the police in terms of smuggling. It was heavily cleaned up last year. But very quickly we will come up with measures that tighten up this situation. We cannot have such a situation that in practice, someone is applying to Norway for welfare reasons and does not have a need for protection.
ParlaMint-NO_2000-02-23.ana.ud1940e141	In several contexts, we have registered from the Justice Committee and the Labour Party that the Government has had a review of practices in relation to humanitarian stay and family reunification in Norway. I would like to know from the Council of State when he might involve Stortinget in his thoughts on how that practice is, and how that practice of discretion is by the authorities.
ParlaMint-NO_2000-02-23.ana.ud1940e148	I am looking for a natural opportunity to summarize the decoration that has been made – which otherwise started under the previous government of the Workers' Party – and where we have believed that it is the beauty room we have entered, but not the rule room. It is my opinion that, if rules are to be amended, the rules of the Storting must first and not be foreshadowed by the exercise of discretion. This was also a theme under the so-called babysitting issue last year. Then I also fixed this position. I have been criticized because I have not used the beauty room any more, most recently in the so-called Grace case in South Africa. I've then said that when we practice a judgment, and especially when you do an embellishment, there are more and more heartbreaking borderline cases that you get away with. But then it's my duty as the Council of State to stand upright in that situation, even if someone afterwards can disapprove me strongly for what I'm doing.
ParlaMint-NO_2000-02-23.ana.ud1940e155	There will be follow-up questions – Jan Petter Rasmussen.
ParlaMint-NO_2000-02-23.ana.ud1940e158	90 pst. by all Kurds coming to the North, smuggled in by international smuggling organizations, according to the Danish police. Last year, Kripos revealed several major human smuggling operations, and there was a dramatic increase in the number of registered human smuggling cases. In 1995, there were 22, in 1997, there were 72, in 1998, there were 150, and in the first half of 1999 there were 81, so last year is likely to be a new record year. A large amount was paid to those who organized this. The starting point is several places in Europe, and it is assumed that Germany is the main starting point. My question is, what does a Norwegian person do to combat this? And how does an international work to stop or reduce this type of business?
ParlaMint-NO_2000-02-23.ana.ud1940e165	What we can do is multiple. What I signaled in the reply to the representative, Bjørnstad, who is on the Foreign Affairs Act and the practice of it, we come back very quickly. I say very quickly! As far as international matters are concerned, we have active cooperation with the police to combat human smuggling. We ourselves are part of the Budapest process in this respect. I can confirm that the cooperation with the German police stopped part of this welfare move towards Norway last year. We are following this closely, both through the international police cooperation we have, and through the experience that our police are doing. I also gather personal experiences from people who receive asylum recipients. And when I hear that a very large proportion of those who come here from Northern Iraq speak a language that does not indicate that they have learned it in language courses at home, I have a duty to act. As I have already said, the representative can expect this to happen very quickly.
ParlaMint-NO_2000-02-23.ana.ud1940e174	Kristin Krohn Devold – for follow-up questions.
ParlaMint-NO_2000-02-23.ana.ud1940e177	Some of the right has been most satisfied with the signals sent out by the Dørum State Council regarding our foreign policy, is just saying that a citizen is a citizen and a villain is a villain. Our foreign policy is quadrupled. Those who meet real refugee and asylum criteria should be brought here, as all countries practice it, but the Stortinget has not authorised a course conversion in terms of the criteria for humanitarian stay. I am therefore pleased that the Council of State says that he will come back to Stortinget with it. Furthermore, when it comes to labour migration, we have said that those who want to come here and work and support themselves should have a real opportunity without sneaking into a refugee queue. With regard to the fourth group, those who are active criminals, who do not have the right to stay in Norway and who are going to be sent home, we have said that it should happen with a relatively hard hand. We have read in the newspapers that heavy criminal cosovo Albanians who have been attempted repatriation have been denied entry into their own country. And my question to Dørum is, what does he actively do to ensure that such a return occurs?
ParlaMint-NO_2000-02-23.ana.ud1940e182	Let me first start with the initial question that goes on strong human considerations and stay on a humanitarian basis. I feel essentially that the policy we have pursued has been supported by a large majority, but I also feel it is reasonable, as the representative Bjørnstad asked, that we come back and tell what this is like. With regard to the second issue of criminals, it is right that there are seventy people who have their case for final proceedings either in the Ministry of Justice or in the UDI. We want to send them back where they come from, namely Kosovo. We've had practical problems getting to it in the normal way. That is why I have now started working with the U.D. – it has been prepared for a long time – so that we can get a direct transport back to Kosovo. Then we're dependent on multiple relationships. We are among others Depending on a cooperation with UNMIK, that is to say the UN organisations, who are actually doing their job in Kosovo, and we may also be dependent on transit when, for example, we are doing so. must have a direct air transport operation. I am very concerned about this question, because it will be an infinite wrong norm signal if we can't get something done that everyone responds to, and that I think is wrong.
ParlaMint-NO_2000-02-23.ana.ud1940e189	Then we move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e192	I have a question for the Minister of Industry. During the travels of the Liaison Committee in the various counties, there has been a very clear message about what is important to change in the framework conditions for business. One of the things we meet from landing to landing and from big businesses and small businesses is what goes on transport costs, traffic and road investment. Transport costs are an important competitive factor for both small and large enterprises, and we meet this from land to land, not least in the Norwegian export industry – an industry that we are very dependent on. Not least in fish exports, we meet this. What is the reason why the Bondevik government, in its lifetime, has not been willing to focus on industry’s argument to increase efforts at road investment? This has been put on a minimum level all the way. What's the reason for that?
ParlaMint-NO_2000-02-23.ana.ud1940e201	I think I can express that there is no less involvement either in the central government or among the members of the government parties around the country than there is in the Right in terms of the need to invest in commercial projects. I remember from my time as rapporteur that it is largely about the gathering and involvement of rapporteurs in local road projects. It is important for businesses, and it is important for safety, etc. The reason why it has not been possible for the Government to go further in the period we have been in government since 1997 has been that we have been in a difficult situation in the Norwegian economy, where it has been necessary to make significant restrictions. It has pained most areas, but it has been necessary, among other things. to bring down interest rates, as we have experienced, and to get the fiscal governance of the country that it needs. It's been the company's basic service, and it's been job number one. I think the companies will also agree with that, if you put the desire for higher road appropriations into such a context. The government is now working on the National Transport Plan, which is, of course, an important task for the Minister of Transport of the Government, but also engages in, among others. the Minister of Economic Affairs to a large extent. In this context, I personally believe that we need to be able to emphasise the importance of road investment where we have great potential for value creation. It requires a very high framework, because we also want to take significant care of the safety aspects of road investment. We know that we can be in conflict with each other. To the extent that we prioritise non-scheduled transitions and school paths for our children and things that are so important, a rather high framework is required to also focus on value creation. But it could mean that maybe it's not primarily about getting good roads into Oslo anymore, but it's about strengthening the regions, about how they're going to work in interaction, and about how they're going to get into the markets. There is a road view that I think may be important to take into account in the treatment of the national transport plan.
ParlaMint-NO_2000-02-23.ana.ud1940e209	Yesterday we had a demonstration here in Oslo of 150 minded politicians and businessmen from the South, who for once went on trains. As far as I can see in the newspapers today, they were received by the State Council Sponheim. And he – as it says in Today’s Business – ‘recognized them for their strong social exposure’. Can industry in the South – and for that matter any region – expect the involvement of the Council of State to go far beyond the tribute of the others who have an involvement in the context of the very national transport plan? And will it be that if the Government continues the low level of ambition it has had, is it not at least because of a low level of ambition in the Council of State?
ParlaMint-NO_2000-02-23.ana.ud1940e216	Firstly, I have to say that the representative Gabrielsen knows just as well as I do that it is not possible for a government council to meet a delegation or a demonstration with a checkbook and print out cheques. It is the Storting that makes appropriations, and it is within the framework of the State budget that it is possible for a Council of State to act on economic issues. This will be a question that the Government will first have an opinion on, and that the Storting will later plan how to prioritize within the framework it will receive. But let me say that it was a strong experience for me to meet not traditional demonstrators, but a broad group of Norwegian citizens who stood up and were indignant about a situation in which many of their fellow citizens have died in traffic, and who had an involvement with the business community of their region. And because they were particularly criticized because there was poor lobbyism by professional lobbyists, as I understand it, I also expressed that I think it is honorable and real in a democracy that you dare stand up this way and go out into the open room and in daylight and tell about your commitment.
ParlaMint-NO_2000-02-23.ana.ud1940e223	There will be follow-up questions – Svein Ludvigsen.
ParlaMint-NO_2000-02-23.ana.ud1940e226	One of the key prerequisites for success in the district industry is all that has to do with trade, and the Minister of Industry has recently given the district industry is the increase in diesel taxes, the introduction of road pricing, and the fact that government parties have run from the promises of increased investment in the road sector and on race protection. I see, like the previous speaker, that the Minister of Economic Affairs was the one who accepted this important delegation from South Africa, and the Council of State says, according to today's Business: ‘I thank you for being a real citizen of society and taking responsibility.’ And he says that this is an important form of lobbyism. On behalf of part of the voters in Troms, in Lyngen, where the road has been blocked much of the winter because it is too bad racial security, I would like to hear what the Council of State says to all those around the country who have received such a poor transport offer from this government that they are unable to meet with the Council of State and get praise for social inclusion and lobbyism?
ParlaMint-NO_2000-02-23.ana.ud1940e240	Now the situation is that I occasionally receive people who have an involvement in important areas also from Troms, and they are equally well received. But the representative Ludvigsen knows very well that there are tough priorities in transport, which are necessary in our country, which has the geography against it. And you don't have to go to Troms to find racial areas, I myself have the family living in a very rugged area, and who live with the uncertainty about which roads you dare to drive today – every day. So this I know very well about the body, and I know about the seriousness and the anxiety and what it does to people when you live with that fear. But in fact, we're going to continue building this country for decades to come, and we have to do that through real priorities in our democracy, where this hall has the crucial word. And that's how it'll still be in the future. No one is earned that we grant money beyond what the country's economy is able to bear, at least it will punish residents both in Troms and elsewhere.
ParlaMint-NO_2000-02-23.ana.ud1940e245	It will be a follow-up question to – Thore Aksel Nistad.
ParlaMint-NO_2000-02-23.ana.ud1940e248	It is good that the Council of State should come back to its promises in its national transport plan. It's like in the first question today, about the form field, where the Council of State also promised very much earlier. And now he also promises more money in the national transport plan. But we have heard such promises in the past, including: there should be a high level of investment in the road sector just before the previous elections. Now all of a sudden, the Council of State says that it has become an economy that makes it impossible to give so many road appropriations, which are good business policies. What's the difference between the economic situation that was before the election and the one that's now? Has it become so much worse with the new government?
ParlaMint-NO_2000-02-23.ana.ud1940e255	I get a little indignant when I am added to opinions that I have not expressed. I have not stood here and promised increased appropriations in the national transport plan. I have said that this is working with the Government, and I have a personal view that we need to focus both safety and promotion on business within the priorities that are found to be sound. I am sure that no house has passed by that we have undergone a significant transformation into the Norwegian economy in the last two years, for which this government has had to sit in the driver’s seat – with the inconveniences it represents – where the Norwegian economy has a full capacity utilisation and where it is necessary to have a tight fiscal policy. There are a lot of areas going on, and it's also made it necessary for less appropriations for the transport sector to be isolated than what each of us wants, but it's been a necessity. So some of us are going to take the burden of taking a responsibility, and then we're going to accept that one can be attributed to views, and that others have an engagement.
ParlaMint-NO_2000-02-23.ana.ud1940e260	Then we move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e263	My question goes to Minister of Justice Dørum. In connection with the management of lotterilova in Stortinget, a committee expressed its opinion on today's regulation for the replacement of machines. The Committee pointed out that when the limits for playing on the machines were set to 18 years, it was not the same way to replace today's automatons with what is called smarter machines, such as: has less light and longer rotations. The background was that everyone who gets the income from these machines said that the income reductions would be large with new machines, and that they would not be able to sustain their work on the voluntary humanitarian level. But what the committee is now receiving is that the department practises the old regulation as if the Stortinget had not spoken about it. And then my question is: why does the department do this, and will the Council of State clean this up in line with the Stortinge's decision?
ParlaMint-NO_2000-02-23.ana.ud1940e272	Of course, the Council of State will follow what Stortinget has done, but a legal state cannot be replaced by a lack of legal status when creating something new. On the other hand, there is an obligation to create something new as quickly as possible. Therefore, some of what happened a while out in January was that I received representatives of the industry. I had asked them to contact me because I wanted a dialogue and cooperation with them. And I can tell the representative that very soon, in the next few days, it goes out a letter of consultation about a lottery surveillance. There we will also mention that we will look at the automatic regulation as soon as possible in dialogue with the groups concerned, i.e. the industry and the organisations, so that we can work it through with the background of the remarks made by the Storting, and without any unnecessary waste of time. It is my intention that, when that work is done, the Storting should get it as quickly as possible. We do not deserve to have had a legal situation that has been criticised and that we must wait too long for a new legal state, for which a majority of the committee has expressed a wish. I understood that a minority in the committee would immediately repeal the old regulation, while the majority wanted to put me on a tight line of working quickly to get a new regulation in place with the background of what is at stake, as the representative Nistad also described it, namely, that an 18-year-old age must be taken as a starting point and try to secure the income as best as possible.
ParlaMint-NO_2000-02-23.ana.ud1940e280	I thank the Council of State for your answer. That setting was clear, because there was a large majority asking that these automatic regulations no longer be used – the Council of State pointed out that there was a comment from the Progress Party and the Right with criticism, and that the regulation should be lifted immediately. The background to the fact that the Workers' Party wasn't in that comment was that there was a statement in the comment that we wouldn't follow up. From the Workers' Party's side, it was quite clear that we do not want these regulations to be used, and that the signal was sent out to those working in these teams and organisations, being clear in relation to the machines they could still have.
ParlaMint-NO_2000-02-23.ana.ud1940e287	Yes, a government council that is facing a big deal that does not have proposals has to deal with the comments, and I perceived the Workers' Party's comments so that they did not want to create a legal vacuum while going from something they were strongly critical to, to something new. I understood that we were going to keep a very tight and fast schedule to get something new in place, and I am working that way. I felt that the representative Astrid Marie Nistad would be sure about it, and I want to repeat that I am busy getting this in place. I invited the industry to dialogue in January, because we're supposed to have a direct dialogue with them in the same way that we're supposed to have a direct dialogue with the organizations, so that we don't have to go too long from Storting's treatment until we get a change in the old regulation.
ParlaMint-NO_2000-02-23.ana.ud1940e292	Let's move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e295	I have a question for Minister of Industry Sponheim. A few weeks ago, the Ministry of Economic Affairs granted the Smoke concession for the acquisition of RGI. In plain text, this means that the Ministry of Economic Affairs has given Smoke permission to handle Aker RGI as he pleases. He can take out extraordinary dividends, he can sell away from parts of the business. In short, he can strip the company if he wants to. The thing is that there has been a significant conflict also internally in the government, I understand, whether a person should grant a concession under the acquisition law. But despite the fact that the government attorney has made a recommendation that the liability could become too large, and despite the fact that a government also wanted to be restrictive in the first place, the ministry has granted a concession. We have a acquisition law that so far has not been used to refuse purchase, nor in this case, which is perhaps the most serious case we have seen of a purely speculative raid against an industrial company. My question to the Minister of Industry is therefore: What does the Minister of Industry think to do when we have a law that is completely useless in practice and does not have sanctions against that kind of speculative raid?
ParlaMint-NO_2000-02-23.ana.ud1940e306	Firstly, the representative Djupedal comes here with some statements that I do not know about. There is a collective government, of course, which is behind the decision made by the Government in this matter. The government has chosen, after having completed a round of detailed tests under the acquisition law of TRG’s application for purchase in Aker RGI, to approve the acquisition on terms – at my discretion, quite strict terms. I would also like to distance myself from the claim that the acquisition law has not been used. The Acquisition Act is in continuous use. This means establishing a dialogue between the companies that buy or have an ambition in relation to companies in Norway, which means that we have good arrangements in place. Very often this is done at an early stage of the acquisition process, which means that no further testing is necessary. The companies get plans in place and in other ways satisfy the ministry, so that we do not need to use the acquisition law. In some cases we go into a more detailed test that allows us to set formal conditions. It was done in this case. This is not so often done either – we have been in such a closer test 10-15 times – and I am not familiar with other conditions as we have done here: that TRG must establish a Norwegian parent company for these shares, so that they are subject to Norwegian accounting law and share law and the transparency it gives, requirements for activity in Norway, etc. I would also like to express – I think this is an opportunity to do so – that everyone is entitled to equal treatment under Norwegian law, no matter how myths and rumors might be. Smoking has been subject to approximately continuous acquisition treatment in the Ministry of Industry as long as I have been sitting there, and he has in fact kept to the plans he has submitted. Between 1996 and 1996, he has doubled the activity in Aker RGI and doubled the number of jobs. So these myths that are about this being different treatment, that there are only slaughter motives and such, are not recognized in the significant information base that the Ministry of Industry has in it.
ParlaMint-NO_2000-02-23.ana.ud1940e315	I noticed that the Minister of Economic Affairs did not at all affect any of the things I said. So there's still to be seen what Smoke wants to do with Aker RGI. The claim is opposed, and I hope, of course, for the employees of Aker RGI that Smoke has long-term industrial plans for the company, but everything that has so far come up suggests that the motives are slightly divided. My point is this: The Acquisition Act has never been used to refuse purchase. It is true that the acquisition law imposes conditions, but the acquisition law has no sanctioning option. If a trader who is acquired under the acquisition law does not comply with it, the Ministry of Economic Affairs does not have the opportunity to enter, other than to reopen the case and take a new acquisition. And I ask about what many people have now been concerned about after the last permission from the Ministry of Industry: Is the acquisition law good enough? Does the acquisition law have the means of power to do so? Not least representatives here in the Chamber of Government parties have been concerned that the acquisition law must be amended at this point. And my challenge to the Minister of Industry is: When we see this speculative acquisition that we have witnessed here, shouldn't the acquisition law be amended to give the ministry the means to ensure that the acquisition is observed?
ParlaMint-NO_2000-02-23.ana.ud1940e322	Time's up.
ParlaMint-NO_2000-02-23.ana.ud1940e325	Firstly, I would like to say that I answered the question directly, namely, how the acquisition law works, and I disagree with the claim of Djupedal that the law does not work. It does, I experience it almost every day. We have a huge number of things to deal with under the acquisition law, and I see companies changing their plans. I've also been sitting in this chair long enough to see that they actually live up to plans, and I have many examples of that. A society needs to strike a reasonable balance between regulating and limiting how to change ownership of businesses and ensuring that ownership becomes attractive also to foreign investors. It may be a foreign idea for the representative, Djupedal, but I think it is at least important that we get a lot of investors into Norway, including large foreign investors. It's important to build Norwegian industry and add skills, and then we don't have to have a national regulation that makes us scare people out. This combination I feel that the acquisition law represents in a good way.
ParlaMint-NO_2000-02-23.ana.ud1940e332	Then we move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e335	I have a question for the Council of State for Development and Human Rights. UNCTAD X, the tenth United Nations Conference on Trade and Development, has just been concluded in Bangkok, and much of the debate was about a so-called overall development strategy for each country, based, inter alia, on the health, education, social least goods, a good governance and investment in agriculture and business; this, of course, in addition to the fact that developing countries are fully aware of their demands for debt relief and market access in our part of the world. In parallel with the UNCTAD Conference, the Prime Minister and the Minister of Assistance visited three African countries, followed by representatives of Norwegian business and private organisations. My question to the Council of State in the first place is this: How does the Council of State think that Norwegian business life within a comprehensive development strategy can contribute to investment in the south, and how was this done during the African journey?
ParlaMint-NO_2000-02-23.ana.ud1940e344	I am very pleased that the representative Nybakk is also drawing up UNCTAD, because it has passed silence in Norway, but has received very good coverage in the international press and has led to the problems of contrast between north and south after Seattle being reduced. So to the question from the representative Nybakk. What I'm busy communicating from the trip that the Prime Minister had, and in which I participated, was that it was very successful business seminars that were held. It was not only about exports from the Norwegian business community to the countries, which some comments from the solidarity organisations could give the impression, but it was also of considerable interest to invest and to enter into partnerships with counterparts in the countries themselves. Let me mention that it was particularly interesting that there was also the type of discussion in Mozambique, which is one of the poorest countries, and where there was a significant interest – it was a business delegation of 48 companies, which is very strong compared to what has been the case before. There was considerable interest there, but the same thing naturally applied in South Africa, and not least in Nigeria, where we also see that we can go into the petroleum management side if there is positive feedback on it on the Nigerian side, and where a Memorandum of Understanding was also signed between the Norwegian and Nigerian authorities. Thus, both in the oil and gas sectors, as well as on the investment side, a basis has now been laid in all three countries, Mozambique, South Africa and Nigeria, for cooperation with developing countries' partners and for increased investment.
ParlaMint-NO_2000-02-23.ana.ud1940e354	I thank you for the answer, which I think is quite positive. One of the reasons I raised this question was that we were in the Inner East. S. No 28, as the Council of State will remember, has just asked for an investigation into business as an actor in a comprehensive aid and development strategy. In today's New Year's Eve, February 11, Gro Bräcken, former director of the Society's Main Organization, but now in Redd Barna, came with a frontal attack on and a very strong criticism of just the industry's involvement in the South, based on her experience in these three African countries. She says, among other things:\t\t You can ‘And I believe that the vast majority of Norwegian companies operating abroad are far too little interested in what is outside their business world, and they often know too little about it.’ This was a claim that was very strongly attended by a representative of the Export Council, and I would like to ask the Council of State to elaborate on this.
ParlaMint-NO_2000-02-23.ana.ud1940e366	Yes, I have recorded this debate. It was also registered on the trip, I can assure you that. But what I'm concerned about is that reality is as diverse among business actors as it is among all the other actors in the south. You will find business actors who have very long experience and good competence, good country insight, and do an honest and very good job in the countries and have done it for a long time. And of course you'll find others with less experience, and who may not have the corresponding insight. In my opinion, it may be a little suspicious to cut everyone over a comb, as I experience that Gro Broken here does. Rather, the challenge must be to use the skills that some companies have established and to strengthen it in others. Then we must appeal to the social responsibility of business, as we have also done in a compact context, in the pilot project proposed in the Human Rights Action Plan, to take a greater and more holistic co-responsibility when you are out, and to operate with the same standards, values and standards that you do at home, be it workers' rights, child labour or other matters. There I now experience that business is taking the challenges seriously.
ParlaMint-NO_2000-02-23.ana.ud1940e371	There will be follow-up questions – Øystein Hedstrøm.
ParlaMint-NO_2000-02-23.ana.ud1940e374	A non-protectionist industrial policy is very important to enable aid countries to develop market economies and market contacts with Western countries, for example. Last year, Norway dumped agricultural products on the world market – 19 000 tonnes of prima bovine and porcine meat as low as three kronor per year. kilos. What happens in practice? Indeed, Norwegian subsidised products compete with what developing countries can contribute to building on. It is often agricultural products that are the only ones they can sell and bring in foreign currency and build on. There, Norway is very protective. We have some MUL and GSP schemes that are very limited. We give generous gifts in the $10 billion class to the third world, but we're not willing to buy the products in the areas where they have the ability to build up. What is the Government’s strategy for opening up and liberalising industrial policy in this area?
ParlaMint-NO_2000-02-23.ana.ud1940e381	The government has presented what we call the strategy for industrial development in the south, which has also been welcomed, not least among the countries of the south, among heavy development actors and in the United Kingdom. There we are just trying to put in place an overall strategy for both trade and industrial development through investment from the Norwegian side, where we also look at the whole instrument. In this context, we have addressed the question raised by the representative Hedstrom, namely to contribute to increased imports into Norway from developing countries. Now I will not exaggerate the importance of the little overproduction available in the Norwegian context on the world market. I think that an actor like the EU through its export subsidies has a lot more impact on the markets of developing countries, and I hope that the next round of WTO negotiations will finally come to an end. However, it is clear that in this context the EU is helping to compete with products from developing countries. So I want to draw attention to one thing, and that is that in very many of these countries it is actually necessary to contribute aid to bring about economic development, which in turn can lead to export.
ParlaMint-NO_2000-02-23.ana.ud1940e390	Let's move on to the next main question.
ParlaMint-NO_2000-02-23.ana.ud1940e393	I have a question to the Dørum State Council. It's true that some and everyone are both frightened and shocked by the wave of ransack in the country, and especially in the Oslo area. Violence and all kinds of use of weapons are increasing, especially at the edge of the street, which is increasing most, where young criminals are generating fear among younger and older people, who are most vulnerable to street violence. Teenagers can commit about 100 raids before they are targeted after having committed violence and threats. Most people who are apprehended are of foreign origin, which is particularly alarming. A central key must be the demarcation of criminal acts against innocent people who travel on the streets. My question is: is there any special initiative the Minister of Justice can take on the table – for example, I am thinking of lowering the criminal lavalry, or, for the sake of the case of whose criminal acts are committed by non-Norwegian foreigners, of sending them out of the country?
ParlaMint-NO_2000-02-23.ana.ud1940e400	Now, I suppose a Minister of Justice should not beat the table, but make sure that it is respect for law and order. The wave mentioned by the representative is two-fold. There is a wave that is going on among adults, which is very serious, and which the police are making great efforts to solve, and which I also have deep concerns about being able to relate to organized forms of crime. The main issue of the representative was violence by the younger ones, which appeared in police statistics at the turn of the year. There has been very broad cooperation between the Oslo Police District, the Oslo Municipality and the Ministry of Justice to look at the issue, both in the case of young people above and below the criminal lavalry, which we do not intend to change. With regard to youth over the criminal detainee, we are prepared to go in and use criminal custody in freedom in a far more active way than we have now, to set limits. I am very pleased with what the Minister of Church, Education and Research has done about the possibility of removing bullying from the community to a school. When it comes to violence done by the youngest, and which is very serious, because we can fear that older groups of immigrant gangs are recruiting the youngest as a kind of criminal mercenary, I will, among other things, in the near future. Have a meeting with the Municipality of Oslo to look at this. And without going into the children's and family minister's area, I'm pretty sure we have to be willing to think again about how to set limits for children who have simply lost any respect for adults.
