ParlaMint-NO_2010-05-11.ana.ud2574e104	The representative, Frank Bakke Jensen, will put forward two proposals for representatives.
ParlaMint-NO_2010-05-11.ana.ud2574e232	The majority today has a proposal to deal with which several fathers are entitled to a father's quota. The requirement that mother must have worked for at least 50 pst. the position during the performance period falls away and there will be a spring quota in all cases where both mother and father have earned the right to parental leave. I'm, and there's no secret, a hot follower of the father's quota, and I'm very happy that about 1,500 more fathers now get the opportunity to be home and take care of their children when they're very young. The debate that we have seen in the last few days shows that there are major political disagreements about what is good for children and parents. It has become clearer, following the Right’s decision to remove the spring quota, that the fronts of the equality policy have been strengthened and that they are moving on essential points between the left and the centre parties on the one hand, who want to continue to expand the Norwegian gender equality project, and the Right and the Progress Party, which seem to have gone too far. This government is concerned that several fathers are taking leave. We are sure that the spring quota will contribute to that. The scheme meant a small revolution when it was introduced in 1993. Without the spring quota, we would not have had the positive development we've had in terms of fathers' leave withdrawals. The Progress Party believes that the spring quota should be removed, and now the National Right-wing Assembly has adopted the same. When we are discussing the issue of a father's quota here today, it is very closely related to what is the theme of this debate, namely how to guarantee the right of withdrawal for more fathers. The work to ensure the right of withdrawal makes little sense to those fathers who will lose the possibility of taking leave if the spring quota is removed. Unfortunately, this is still the case with our working life. Too many men meet employers — and sometimes partners and women — who are not positive that men should take out as much leave as we put up today. Therefore, the removal of the parental quota will be a dramatic step backwards for an equal parenthood and for equal opportunities in working life. This is not because Norwegian fathers do not want to take care of them, but because experience from both Norway and other countries — such as Norway. Denmark, where there is no parental quota and where there are far lower numbers for fathers’ withdrawals from parental leave than Norway, shows that father’s withdrawals largely follow the length of the parental quota. Our working life has simply not come so far that it is possible to achieve this without the quota. There I also agree with Right Jan Tore Sanner, who said at the national meeting this weekend that it was too early to remove the father's quota. I believe that the quota is not an objective in itself, it is the results that are an objective, but as long as the quota is necessary to secure rights to father, we need it. Father taking parental leave means early contact with the child and taking part in baby care. What we also see more and more evidence of is the close relationship between this and the work for equal pay. A new Swedish survey shows that mom makes more money when dad takes long leave. The context is spectacularly strong. The share of the father and the right of withdrawal for several men both helps to lay the foundations for equal parenthood and to increase equality in the labour market. Although we now close a gap in the legislation and give 1500 new fathers the right to a spring quota, there are still an estimated 6,500 self-earning fathers who cannot take out parental pennies. Thus, fathers have an independent right to profit, but due to the activity requirement, pre- and post-natal adjustments by their mother may block father’s right of withdrawal. It's obvious that we're not in the process of securing fathers' rights of exit. It's e.g. so that many men contact me and feel it is unfair that they are not given the opportunity to take leave because their mother is illegitimate. I agree, and it's an important goal to do something about it. But this government has systematically extended the rights of fathers in recent years, both in the form of weeks and in the form of rights of withdrawal for new groups. I am very determined to continue that work. That is why the government has also said that we should carry out a review and come to Stortinget with proposals for a more equal and simpler parental pension scheme. I'm going to do that. The red-green government will continue to work to give more fathers the opportunity to take care of them.
ParlaMint-NO_2010-05-11.ana.ud2574e251	It's being opened for line change.
ParlaMint-NO_2010-05-11.ana.ud2574e255	I'm not going to ask the Council of State what he thinks about the father's quota, because I think I know that, and we'll probably get that debated several times. I want to address a topic that concerns changes to the Cash Support Act. The government has submitted a proposal to the Stortinget that if there is a divided residence between two parents, they can also share the cash support. It has not been supported by the Council of State from its own government parties here in this Chamber. It is the Progress Party which is promoting a proposal on what the government is proposing. My question to the Council of State is what he thinks about this, and what he will do to ensure that parents who have been shared care can also share the cash support.
ParlaMint-NO_2010-05-11.ana.ud2574e264	I take note that the majority of the committee does not want to change the Cash Support Act, and that is quite out of date. My agenda for this is exactly the same as the majority in this Chamber, that we have given a very narrow access to judge divided residence. The Ministry said in the bill that the conviction of a divided residence is not assumed to be valid for children under seven years of age. That's the intention we've had with this. We know that the Progress Party has a different policy in terms of dedicating divided residence, a starting point which, in my opinion, is based more on a parent than on a child's perspective. My view of it is different. The Ministry’s promotion of this was, among other things: because we know that for some adoptive children there can be cash support until the child reaches school age. But our intention behind this is the same as what has previously been approved in the Chamber, and I have no problem with the position that exists from the Committee.
ParlaMint-NO_2010-05-11.ana.ud2574e273	I understand that there are slightly divided opinions about what the government itself puts in what is in Soria Moria about self-employment. I understand that some government councils may believe that all fathers should have the right to profit, that all fathers should have the right to a father's allowance, based on their income and their professional activity, and that that is why the government parties today are voting against the proposal of the Progress Party, the Right and the Christian People's Party on the approximately 6,500 fathers who still do not have the right to take out custody. Can the State Council clarify to the Storting what is really in Soria Moria? Is it the case – as some government councillors may have been – that the lack of activity of a mother should lead to a father not having the right to take out a family allowance, or should all fathers have the right to self-employment?
ParlaMint-NO_2010-05-11.ana.ud2574e280	There has been a broad consensus in the past, including: When this was discussed in several rounds in the 1990s, it was a goal to avoid so-called double care, i.e. situations where both mother and father were at home on the public account of the children. Today, I believe that debate is slow, but certainly changing. There are more and more people who want us to pay more attention to the possibility of several fathers being at home. That is also the government's policy. How far we're going to go with that is the Stortinge answer when we present the conclusions we draw, after the review of the system that we've promised to do, but where the goal is both a more equal and a simpler system. I have a very good conscience for what the government has done in this area, because unlike in the period of bourgeois rule, fathers' rights in this group have also been systematically extended – at the latest today, with the 1,500 new fathers being granted the right of withdrawal.
ParlaMint-NO_2010-05-11.ana.ud2574e287	I believe that the Council of State will have to go through the 2001-2005 downturn and the Bondevik II Board of Governors' scrolls once more on strengthening fathers' rights and father's quota. But that was not what I was asking. In that case he will come to another conclusion when he does. He mentions that there has been a goal of avoiding double care. Therefore, we have an activity requirement for mother, which must be met in order for father to have parental leave. As a result, some fathers remain after the decision taken today. Since the Council of State would not respond to the previous replicant, I would turn it around and ask in another way: is it reasonable that the activity requirement only applies to one way – that it is not applied to father, if it is father who is initially at home, and mother wants to take out parental leave?
ParlaMint-NO_2010-05-11.ana.ud2574e296	There might be a lot of ways to make a more equal arrangement. It is obvious that the activity requirement needs to be debated. But there is a debate about whether it is right to have an activity requirement both ways, whether it is right to have an activity requirement at all, or whether it would be right to say that some groups that do not currently have rights should get it. There might be different models, and I think there'll be different views of this, also in the different parts here on the Stortinget. The government is now making such a review, precisely to balance the different considerations against each other and will come to the Storing with proposals related to it. My clear goal is for more fathers to have rights. The situation we have in the case of fathers who don't get the opportunity to take parental leave because mom's unhappy, is a very good example of something we should improve.
ParlaMint-NO_2010-05-11.ana.ud2574e303	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-05-11.ana.ud2574e308	Today's legislation on the payment of parental leave makes the family dependent on mother's earnings, and is thus a discriminatory law. All people shall initially be able to process their own rights through their own tasks. Where both parents wish to withdraw parental leave, it is desirable that the professional activity of both parents be taken into account. I want to focus on another small group. They are not many, and they do not have significant budgetary implications. I have a case from the newspaper where a family stands up, where mother is dissatisfied because of a traffic accident, and then it's not cardboard for everyone in such cases. On the contrary, it is not possible for father to take paper because mother does not have the ability to process her own rights. Because his mother has not worked up this right, his father is therefore discriminated against because his wife is illegitimate. The Council of State stated that something had to be done here. As this is a narrow, small group, I believe that one should have caught up with this matter, without having had such great economic consequences. What must the family do in order not to be discriminated against? Discrimination against the family means refusing to give children the full attention of their father for a period of time. Punishing a family because of the circumstances makes it even more tragic, especially when mother is as unfit as she is. This can't possibly be the intention of the law. It is a value in itself to ensure that both father and mother get their share of the time with the child, and that all in this room agree. Why can't you do anything for this group, for example. by withdrawal of parental pastures. An increasingly even distribution of parental exit between mother and father is a joyous development supported by all. Mother and father's right to parental leave, as well as the introduction of self-employment rights, are important. There are many fathers who want to get together with their children but are prevented because their mother is not active or has a place for public education. I hope the Council of State will come back quickly with this challenge. For me, and for an optimal family life – as I see it – it is important that a family can plan to make their own choices, according to their own needs. It has at least worked for me, and I think it can work for many others – without state intervention and detailed governance.
ParlaMint-NO_2010-05-11.ana.ud2574e321	I take the floor, first of all, to clarify that there is an error in the committee's recommendation in the vote. The law, which provides for a framework for the laws proposed by the Committee, states ‘the law on public security, the Cash Support Act and the Child Protection Act’. But there should not be a "cash support law" in the setting. That word should be deleted. Then I also take the word to comment on what has been said regarding freedom of choice and father's quota. In fact, freedom of choice requires that the framework conditions for the choice to be made are such that you have the option to choose what you want. The framework conditions can simply be illustrated by the situation picture we see every day in various Norwegian jobs: A female worker comes to his boss and informs him that she is pregnant, whereupon the manager smiles and says: so nice and congratulations. Then you immediately see that the eyes begin to wander around in his head, and then he begins to think through how to do this now, we probably need a year of vicariate next year. Then there's a male worker who comes to the same boss and tells us the same thing, that we're expecting children. Congratulations, then pleasantly, the manager likes to say, and thinks that now we continue as before. Maybe there'll be a few weeks' paper in a year, and hopefully he'll take it in connection with the summer vacation when there's a little quiet in the company, and there's no big consequences. This is the everyday life in Norwegian workplaces. There are attitudes of female and male workers, respectively. Therefore, the framework conditions for a completely free choice of the distribution of leave are not laid down at the outset. That's why the spring ratio is a positive stimulus, which makes it easier for a lot of men to choose exactly what you want: to take out a part of the leave. Some will take a long part, and some will take a smaller part based on the family situation, but it facilitates that more men can take out a part of the leave that you actually want. It is a good and important card to keep in mind when meeting the employer with a claim for that leave. This means that defending the feather quota is an instrument of increased freedom of choice. It is an instrument for increasing equality, and it is an instrument for improving family policies.
ParlaMint-NO_2010-05-11.ana.ud2574e336	We have then noted that the rapporteur has made it clear that no one wants the 'cash aid law' as part of the vote, and that word will therefore be removed in the vote.
ParlaMint-NO_2010-05-11.ana.ud2574e339	There's been a great change in the last few years since the father's quota came, and we've got a new generation of men who want to take more responsibility for their children. I want to give honey to the Right who, a little dazzled by good measurements a day, dares to be so honest that you go in to remove the feather quota. It is positive because it strengthens the fronts of family policy, and people get a good and clear choice. It's a goal of the red-green government to strengthen father's rights. We need to further develop the maternity leave to get a more even distribution than what we have today. Today, women are losing on equal pay, intriguing jobs, pensions, and they are also being discriminated against in employment. Neither are men in today's society as caregivers. The more dramatic consequences of this can be seen in the breakup of life when you're distributing children, how close to 90 pst. is distributed for the benefit of mother. The community and we as big people have a great responsibility to facilitate a more even distribution of maternity leave, precisely to ensure better rights for women in the labour market. Men should have their important place at home, but above all, the children should have equal rights to mother and father. Then it's our responsibility to ensure an equal distribution of maternity leave. I believe that the Right and Advance Party's proposal to remove the feather quota will contribute to the mobilization of Norwegian men to the rightful place they are going to have in the home, and that women will have their rightful place in the labour market.
ParlaMint-NO_2010-05-11.ana.ud2574e351	There is a much more important gender equality fight that has gone on in this area. I mean as a liberal, there's still a lot of work to be done in the equality field. I also believe that especially in the field we are talking about today, there is a lot of uncertainty about fathers' rights. Much of the legislation we have, the child law we have, clearly favors mother. We have a basic attitude in our law that favors mother. We have a basic attitude in the social welfare system that favors mother. This is a system created for a different time with different attitudes. In one of the most important equality struggles today, we talk about giving father the rights he really has right to. It's really about turning the law's thinking into a much more equivalent approach to parenthood. This is really about equality for men, men's right to be fathers. The struggle for the papacy issue is not the discussion about ruling in families, but it's actually the discussion about giving a minimum of rights to fathers in a couple relationship as well. All of us who are involved in many such discussions with friends and in company know that it's not that mothers give away easily what they perceive as their share. This is actually a handshake from us to give fathers an extra argument when this is to be distributed. Then it's like we in the Left every single year have put Dad's right to profit in our budgets in the last five years. We're very happy that we're moving on today. We will also vote in favour of the Right Party and the Christian People's Party's proposal that we should take this all the way out. It's about a basic approach that these are rights that you've built up. It's about a thought that fathers are just as important caregivers for children as mothers are. We should actually have had a complete review of our entire legislation and tried to sex wash our parental legislation, so that men and women had actually been treated equally. As far as this field is concerned, it's men's equality struggle that's really important to do, because it's those who've been bored for a very long time. Now we've raised generations of men who care about their father's role, but we haven't changed our law to allow them to care about their role.
ParlaMint-NO_2010-05-11.ana.ud2574e366	It was a pity that the previous speeches went out of the hall, for I had intended to give praise to the post that was just given. It is very good to hear such a message from the Left Party, and I join most of what was said. For obvious reasons, it is very rare that you get lumps in your throat when you hear a debate in the main hall. But today, I've almost known the tears to push – when I hear the Right and the Advance Party hail the father quota and how important it has actually been to develop the father role, develop society's view of how important it is that fathers are at home, when I hear Hofstad Helleland say something about how important that quota has been, when at the same time you know that the same party was skeptical of the introduction in its time and would postpone the whole introduction. It was to be investigated and investigated, and we can ask ourselves where we would have been today if they had been sitting in the driver's seat. There's also something strange in the rhetoric of the same batches that want to remove the quota, when on the one hand you celebrate how important both the introduction of it and the continuous expansion have been, and at the same time you want to remove it. I also got lumps in my throat when I heard Solveig Horne talking about the modern man who himself wants to be home. Yes, of course. Many men now want to be at home, including thanks to several years of parental quota that has changed both society and individual people's attitude to being at home and caring for their children. But it is not real freedom of choice today, nor would it be real freedom of choice for the family if you just removed the family quota – not at all. We know that many men lack independent rights. We know that many men will face challenges with employers. But we also know that most men earn more than women. It's a simple calculation for each family when you're going to sit at the kitchen table and figure it out: what can we do in terms of dividing the leave between us if the husband makes 200,000 more than the woman? It's also very beautiful to hear when it's talking about independent rights for men. But why not do something about it when you can? There's nothing in the history books about the Right's efforts when they've been in government, about providing independent income rights for men. Nor is there anything in the last state budget about proposals from either the Right Party or the Advance Party to guarantee independent income rights for fathers. This is just going to be empty rhetoric. It is enough to see what has happened in Denmark after they have conducted that policy. Developments have stagnated completely. There is also evidence of rigidity and bureaucratic perception. Well, I refer to today's headline in the newspaper, where a survey shows that an overwhelming majority of parents want to keep today's leave arrangement.
