ParlaMint-NO_2010-06-03.ana.ud2616e53	Mr Solvik-Olsen will make a proposal for a representative.
ParlaMint-NO_2010-06-03.ana.ud2616e142	It was obvious that the interpellant had put its glasses back, it has also been my impression sometimes – it was a joke! We have an important item on the agenda that affects many aspects of state ownership. In my view, the concrete question of whether Statkraft will receive a capital injection is one that should be dealt with differently from through an interpellation in the Stortinget. Dividend policy is dealt with annually by the Storting through the State budget, but it is a fine opportunity to discuss state ownership and view it a little more widely. As the interpellant points out, this is also in strong contact with energy policy. This is a company that plays a major role in Norway’s energy supply, in power generation and security of supply, in new renewable energy and in infrastructure upgrading. I would like to make it clear that energy policy in general falls within the responsibility of the oil and energy minister, and that this also applies to the administration of state ownership in Statnet in particular, to which the interpellant also refers. Let me first point out that the organisation of the administration of state ownership is well described in the 2006 ownership notification, in which the Stortinget joined the main points in spring 2007. This implies that the Minister of Economic Affairs and Trade is primarily responsible for the management of the State’s ownership of commercial companies to be operated on a commercial basis. State power is included as one of these companies. The management of the country's ownership of companies with clear sectoral policy objectives, such as Statnett and Norsk Tipping, falls within the respective departments which also have sectoral responsibilities in this area. As explained in the latest ownership announcement, the fundamental objective of State ownership is to contribute to a good long-term return through an industrial development of the companies. In addition, several of these companies have been informed that state ownership ensures that key head office functions and competences environments remain located in Norway. In the case of Statkraft, which is one of the companies to which the interpellant points and where the responsibility for the management of State ownership falls within the responsibility of the Minister of Economic Affairs and Trade, this is a company in which the government and the Storkting have set specific objectives with the State ownership of the company, in addition to providing a good financial return. These are objectives to be applied for within the commercial framework applicable to the company. It is expected that the development and upgrading of environmentally friendly power generation will be at the forefront and that one will be among the first to use new environmentally friendly energy sources. In addition, the EEA legislation shall work to meet industry’s needs for stable and long-term power supplies. Whatever the purpose of ownership in the various commercial companies, the government is a professional owner, who has a conscious relationship with the challenges and issues facing the companies. This means, among other things: that we constantly look at the equity situation of the companies to assess this against the objectives of government ownership, and that the government and the departments responsible assess and communicate their dividend expectations to the boards of companies annually. Through its support for capital expansion in SAS and DnB NOR and for the purchase of Norsk Hydro in Brazil, the government has demonstrated such a capacity and willingness to actively contribute to the implementation of strategic and economical approaches to facilitate the industrial development of companies over time. Also, when the state entered Aker, there was such a thinking that lay behind it. I don't remember any cheers from the interpellant or his party when the state there showed the power to act to secure Norwegian ownership. As the interpellant points out, Statkraft and Statnett have approached the government with a desire to strengthen the equity of the companies. The Government of Statkraft presented its strategy for 2015 to the Ministry of Economic Affairs and Trade in February 2009. The strategy is a framework plan that sets out a strategic direction for the further development of the company. The Government has not completed the preparation of the Government's strategy and related capital needs. This is related to the substantial issue of State power’s capital increase, both in Norway and abroad, of the role of State power. In addition, the matter has significant economic and budgetary implications for the State as its owner. This does not mean that Statkraft has not received a response in the sense that 16 months have passed since we spoke to Statkraft – we are constantly talking to Statkraft, both with the leader and with the board. As far as dividend policy is concerned, since this enquiry, it has also been decided in the Grand Duchy on the yield we are going to take from State power, so that this has also been answered through political processes. I think it makes sense that we are spending the time we need to make a decision with as far-reaching consequences as in the case of State Power. These are huge billions of values, and it's not like the state, or the community, takes money from State power when we take dividends and use it for schools, care for the elderly, roads, police, railways, health care and all the good things that the surplus of State power, which goes into the state treasury, is spent on. This is the community's money. This is our money that we're going to spend, not the company's money. Then we're going to assess whether this money we're going to save – we're going to save a lot of money, often more than the Advance Party wants us to save – is better located in Statkraft or better located elsewhere. At least we have to be on a solid, safe basis if we're going to place up to 90 billion. kr – at least tens of billion more – in the company. Finally, let me be clear that the government has a conscious relationship with the strategic development of the companies in which it owns and how the companies are capitalised. I really think the interpellant glittered described how important it is that we have retained the state ownership of State power – not just as a strategic position in an eternal resource, but in fact that many billions of dollars have gone into the best of the community. We're going to be happy that there hasn't been a majority earlier in this process of privatization of State power, as someone's suggested.
ParlaMint-NO_2010-06-03.ana.ud2616e178	First of all, I would like to thank the Council of State for the answer, but unfortunately, the Council of State does not respond to the challenges I present in my interpellation. First, when will State power be able to get an answer to its request? I did not say in my post – the Council of State itself can go back and check in the record from my introduction here – that you are not talking to Statkraft, and I have not said that Statkraft has not heard from the state. I said the following: You have not received an answer to your request. It's something completely different. That request was sent on 4 February 2009 to Minister for Economic Affairs and Trade Sylvia Brustad. It has not been answered. Then I will correct a mistake in my post; it might have been good to use the glasses when I said it. That's 28 billion. kr you have taken from the company, and not 29 bn. kr. This way, it might look a little bit better for some people. I would like to refer to an article, among others. in Today's Business Saturday 22 May 2010. In this case, the Group Manager of State Power states the following: “It is in the nature of the matter that we have to put things aside, and that we miss opportunities, pending clarification.” This comes from the group manager. We've seen a number of different examples where you're just saying that you're going to have to get a clarification soon. It's unsustainable that you don't know what you're dealing with. I have to say that I put a question mark on why the procedure here is so slow in the department. Now, when Hydro, where the state is a partner, comes and asks for a capital injection because they're going to make a purchase in Brazil – that's on the nation's side 4.4 billion. kr – it comes very quickly to the Storting about that capital injection. When SAS was bad out here a while ago – not that it has gone over, it has happened twice in a row, at two years intervals – there was no problem for the state as a minority victory with 14 pst. to come to the Stortinget and ask for a total of billions to add equity to that company. But when a profitable company like Statkraft wants to ask for a capital injection in order to continue making profitable investments – which will enable the Minister of Industry and others in this country to also reap future income from dividends from these companies – yes, then more than 16 months will be spent on responding. I hope the Council of State can be a little more concrete in its answer, linked to when Statkraft will receive an answer to his request. I understand that the Council of State has regular contact, but it does not help, if you do not get an answer to the question you have actually asked.
ParlaMint-NO_2010-06-03.ana.ud2616e194	The last time I checked, there was no cheer when we came to Stortinget with the SAS issue. So if we do one or the other, it's the same criticism -- either we're too powerful to act and come too fast with issue proposals and capital injections, or it's too late. It is not the case that this money, if any, is to be put into Statkraft, does not give a return today. If the state is to invest billions in State power, it has to be taken from the state's capital stock, and I can assure you that it is managed in the best possible way for it to continuously yield returns. The question then is whether it provides better returns or more strategically important positions by being placed in Statkraft than elsewhere. That's the assessment we're doing. The proposal from the Governing Board to the Government on a long-term strategy for the development of the company is quite different from, for example: Hydro's acquisition in Brazil, which is a concrete merger and a purchase of a mining company and mining resources in Brazil. It is also very different from SAS, which was in an acute situation when it came to operating its loans and having an equity situation that was sustainable for the operation of the company. We're going to give answers to Statkraft when we've finished the case, and when we feel ready to say if the strategy that the government in Statkraft has chosen is a strategy that we, the owner of, think is right to shoot capital into.
ParlaMint-NO_2010-06-03.ana.ud2616e201	As the Minister of Trade and Industry also pointed out, the government is conscious of the strategic developments in the companies in which it owns and of how the companies are capitalised. I would also like to show that the government has shown that it has both the will and the ability to actively contribute to the development of the company when it finds this purposeful. The government will continue to be a professional owner and to pursue an active ownership policy, as well as both corporate law and the generally accepted ownership management principle provide room for this today. A main reason why the state will still be a major owner is the important role of many state-owned companies in Norway. The State will therefore have a long-term perspective on its ownership and as shareholders will contribute to its long-term growth and industrial development. Only if the company is competitive over time can it continue and further develop its role in the Norwegian economy and society. The State must therefore promote long-term value creation in the company in which it owns. The companies that are to be competitive over time must take care of considerations that go beyond short-term profit maximisation. But also in an active ownership policy, the State will normally impose market yield and yield requirements, so that a builds up among its long-term value maximisation and industrial development. We have many examples that state ownership is particularly successful, for example. Hydro and Telenor. These companies are in the front line of their territory, and have given skilled jobs to Norway as a whole. At the same time, they are important international actors. Where the State is a co-owner, I would like to point out that it is important that companies invest adequately in research and development as well as in the development of labour skills. An active ownership policy means that the state formulates clear expectations in these areas as well, and that this is communicated to the company. High ethical standards are also important in all respects to maintain the values and legitimacy of companies. This provides a significant additional dimension in addition to the general business economy requirements for returns and dividends, and supports the objective of long-term value creation and good industrial development. I mean, the state meets these conditions that I mentioned here. Governments manage important Community resources which are desirable for the benefit of the entire Norwegian community. Among other things, they manage all the power that falls back. This force had not benefited Statkraft and the Norwegian people had won the Advance Party and the Right and had had the order of return abolished. As the Minister pointed out, the strategy and capital needs of State Power are not finished. I agree with the Minister that it makes sense to use the time needed to make a decision, based on thorough assessments of the issues involved. This is the community's money, which we must be sure is being used properly.
ParlaMint-NO_2010-06-03.ana.ud2616e216	The Governor of Statkraft gave a great presentation of a company that is the largest in Europe in the field of renewable energy at First's Energy Seminar earlier this year. State power is the producer, and developer of water power, wind power, gas power, solar power, biopower and district heating. In other words, this company delivers environmental energy that is requested by almost all these days. The question that naturally arises then is why the government, which has set itself the goal of having the most ambitious environmental and climate goals in the world, is not supporting its own company and enabling them to realise large energy and environmental projects that are now awaited. Statkraft has great ambitions and plans an investment programme of about 90 billion. until 2015. That is why, in February 2009, Statkraft sought its owner's increased equity in order to realise the planned projects. So far, the company has not received such an answer, and it is suggested that it can be 18 months from the request until the answer is given. This is not the good management of a very valuable company for the country. No, instead, the government behaves like the rawtest capitalist and the profiter, draining the company for capital through a dividend policy that has hardly seen its like. And Statkraft has really delivered. With an annual return of 14 pst. from 1992 to 2010, this company competes in total both Norwegian stock exchange and international stock exchanges. But when the company has to give its owner – i.e. the state – a dividend of the result of from 76 pst. as the lowest, in 2004, to 133 pst. In 2008, it goes without saying that self-financing is depriving the company of greedy owners, i.e. 35 billion. kr from 2004 until 2009. This is very impressive and contrasts strongly with a owner who cannot even be able to give an answer as to whether it is possible to strengthen his own capital. It is directly embarrassing, especially in view of the fact that the Labour Party voted in favour of a dividend policy in connection with a Document No. Eight proposals in the period 2003–2004 aimed at dealing with state-owned companies in line with business or in the case of dividend policy. Has the Labour Party also changed its policy in this matter? Perhaps the Labour Party should aim to establish an action rule for dividends from State eight companies in accordance with the argument that the same party has in relation to the oil fund. 3,400 employees in State power, with activities in over 20 countries, consume a more prominent owner than they have experienced so far. This does not result in good industrial development for the company, as the ownership message suggests.
ParlaMint-NO_2010-06-03.ana.ud2616e229	Let me first commend the interpellant for addressing a particularly important matter, and it is in particular the Statkraft discussion that has been updated here. I hear the council say that interpellation debates may not be the most appropriate forum to discuss what is going on in Statkraft, how to manage the company and how to think about the equity situation. I agree with the Council of State, but I hope that he will then agree with me that random brokering seminars down here are not a particularly suitable place for example. directors and representatives of the owners to discuss what will happen to the company. I'm not really so worried about the ability of Statkraft to carry investments with a high need for capital, because the company has a significant equity, up to 50 pst. – much bigger than what is common in Norwegian business. Many would have been happy – cheered – to have had that equity. That's not the point. What is the discussion right now is more the company's ability, and the ability of the company's bodies, to make decisions. It's worrying. I hear the Council of State says that you talk to Statkraft continuously, and I think so. I understood from his post that one of course evaluates when to spend 8 billion. kr, but I also perceived that there were still assessments of the correctness of the strategy platform – and it leads to tens of billions of investments. I see in the 2009 Statkraft Annual Report that it is written about this investment platform, and about the three parts of the platform, that one should be an industrial developer in Norway, that one should be a European turn producer, and that one should be a green global developer, as it is called. I assume that the General Assembly will decide on the annual report on 30 June. I then see that this strategy platform is actually also approved. In fact, there is nothing about the size of investments there, but nevertheless there will be a strong signal that it is approved. I also note that in the same report, or at least in the draft report, there is something about the Board's impatience in making a decision and that it is urgent for the company. So it's not like the state power's only chance to go on with this is that you get 8 billion. NOK in new equity of the country. There are several possibilities. We've pointed out these possibilities several times, and the interpellant was also involved. The company may be sub-privatised, e.g. a Statoil model, where you put something like the whole of the state, and something else that is perhaps more operationally marketable, that can be put out to stock exchange listings and to other types of ownership. Then State power has significant values in its own balance sheet. If you go back a little bit in the accounts, you'll see that there's almost no change in the balance sheet. You never sell anything in Statkraft. So you could say, no, they're going to sell some things? Yes, sometimes it may make sense to regroup their assets. It's a cross of thought that it's not being done. There are significant values in listed companies in Germany. Could they have been used in another way in the context of the new strategy? What about the significant cross-ownerships located in the Norwegian hydropower ownership? Could it be something you could regroup? What I miss is actually signals between the owners and the board that the board could also be thinking in a different direction than sitting in a year and a half and waiting for an answer to just one part of this instead of getting a «go»: think freer, be more creative, and come back with other ideas.
ParlaMint-NO_2010-06-03.ana.ud2616e248	State power is an important company, and it is an important hub for the Norwegian state. The company guarantees the country and the community control over natural resources and large natural values in the form of a natural environment. The company also has an important function in industrial terms. The company is one of the companies with heavy industrial competence. They do things that create sub-contractors, and thus they are involved in sustaining an industrial competence in the industrial sector that Norway is totally dependent on if we are to further develop the industrial tradition we have. What is also important about Statkraft is that the energy-industrial skills they possess have in time shifted to the use of new renewable energy, environmentally friendly energy forms, and it is a development that is very important for Norway. We need an industrial development where large, heavy companies can help the forest of subcontractors gradually move into a green technology to replace the black technology on which we are building too much today. Therefore, it is very important that Statkraft has good, proper framework conditions. But it is also the case that the Ownership Notice states that Statkraft should contribute to ensuring that the return of the natural resources in our society benefits the community. The return on natural resources is not just a result of the competence company. The return on natural resources is the property of the community; it is the rent that the company has been allowed to dispose of. They have had it well, but in any case it is the result of the community's values, which must be used in the community. It is perfectly legitimate for the state to take the values of Norwegian natural resources and use them to build society, build skills, build education systems that allow Statkraft to have highly competent engineers, economists and environmental experts in the next generation. Therefore, it is very important that we have a wide debate on the balance between industrial development and social development when we are to dispose of the values for which the natural resources in Norway have laid the foundation. For the Socialist Left, it is important to strengthen state ownership, so that we have the opportunity to discuss the balance between industrial development and social development. If the Progress Party had power, we wouldn't have had a state ownership that we could have had this kind of discussion about here in this room. Interestingly, the kind of social development that the Progress Party is opposed to is the most concerned with criticising when others take responsibility for it. Otherwise it's a little interesting, I think, that Right has a different approach than the Progress Party, where they pose some challenges to the company, for example. the reasoning on whether gas in Germany is necessarily the optimal of all the arrangements into which Statekraft has entered. It's an exciting discussion.
ParlaMint-NO_2010-06-03.ana.ud2616e263	Initially, I would like to show that the red-green government has solid ambitions in energy policy. This is linked to increased power generation, security of supply, new renewable energy and infrastructure upgrading. I also refer to the supplementary answer that the Council of State gave to the interpellant. The interpellant points out that Statkraft and Statnett have approached the government with a desire to strengthen the company's equity. In the reply, the Council of State indicated that the Government has not completed the State Power Strategy and related capital requirements. This is related to the substantial issue of State power’s capital increase, both in Norway and abroad, of the role of State power. In addition, the case has significant economic consequences for the State as its owner. Governments manage significant Community resources which are desirable for the benefit of the entire Norwegian community. I would also like to point out that Statkraft is Europe's leading renewable company and a door opener in international markets with high expected growth in renewable energy, providing great opportunities for the Norwegian power cluster. Government finances and contributes to research on environmentally friendly energy in hydropower, bioenergy, marine energy and gas power. State power is also a driving force in Norway's growing clusters of energy and the environment. Renewable energy will be a major growth area in the years to come and will be crucial to meeting the climate challenges. Renewable energy also represents major industrial opportunities for Norwegian business. The Council of State indicated in its reply that the government has a conscious relationship with the strategic development of the companies in which it owns. The government, by taking part in concrete ownership arrangements, has shown its willingness and ability to actively contribute to the further development of companies, when the prerequisites for doing so are present. However, there is no contradiction between being an active and constructive owner and making thorough and time-consuming assessments of the issues involved, as in the case of State power.
ParlaMint-NO_2010-06-03.ana.ud2616e275	First of all, I think it is important to have a debate that underlines the importance of the state as owner in large parts of Norwegian business. The state is the owner, and has many very important ownership positions, in many important companies. State power is one of these companies. When the debate is being briefed, in a situation where the company has asked for capital expansion, and where one has presented a strategy that has not yet been addressed, it is a little important to take into account that State power has had a formidable development in recent years. State power has gone from being a traditional manager of Norwegian natural resources for 10 to 15 years to becoming a significant player in renewable energy. It's not despite, but because of ownership. That story is completely gone for those who want to piss themselves off in this debate. It's actually like the representative from the Right, Fleet, said: This is a company with very good equity, over 50 pst. This makes the company of course have a certain room for action. The space for action has been used in recent years to take a formidable position in the field of energy production, within the renewable concept of Europe. This is both ownership and corporate development, although one could get the impression of something quite different from the approach of the Progress Party to this debate. It amazes me. I am reasonably confident – for good reason, in the light of the history of State power, as I mentioned – that the time now spent by the government and the Council of State to assess the strategy and possible future needs for capital adjustments or contributions to the company is being used precisely on the basis of the fact that the company will continue to have a significant position in European power supply, within the renewable concept. What would have made me extremely insecure, on the other hand, was if the Progress Party's approach to ownership policy were to apply. If there's something that's completely incomprehensible, it's how that party approaches the state's ownership role. It is not easy to ‘stand up in the morning’ and know what the Progress Party had to think about the exercise of ownership by the Norwegian State. In the case of a company such as Statkraft, with significant equity, with a significant development over the last ten years, a company which has taken a dominant position, the Progress Party according to action screams, while a company such as SAS, which was in a very difficult situation and which sorely needed a capital injection in order to save the values of the company, must be sold and not be given capital. This shows, in my opinion, the prominent party's clear attitude towards ownership. It's more policy-based than ownership.
ParlaMint-NO_2010-06-03.ana.ud2616e288	State power is a very important company in an industry that I thought was very important to all parties on the Stortinget – at least it sounds like this in all energy and environmental debates. The government parties make this a debate about who should own State power and how to manage natural resources. It is true that the Progress Party would like to see that there may be private owners in Statkraft, not because one should sell out, as some claim, but because one can sell down. Why do we want this? Well, we think that by getting in private, external, owners – or rather other government, public, corporations – a few more professional owners, so that all decisions cannot be hidden from a government council as long as he finds it too good, but that he actually has to deal with a request that comes, and discuss with other owners what he really wants with the company. I find it completely pointless to hear the representative of Aasland say about today's status quo situation for equity that everything is good. With that approach, the government shouldn't have cared that Hydro came and said, we want something more with Hydro, we want to buy a mining company in order to evolve in the future. It couldn't have been done with the equity that Hydro had. Although satisfactory in the case of existing operations, it would not have been satisfactory for the company it wanted for the future. And that's the point of what State Power wants. State power is today a formidable company, probably a bit too dominant in the Norwegian market, but not large in the European market, although renewable energy is also dominant in the European context. But Statkraft wants something more. So they've said that even with good equity, we need to add more equity, and we need a different dividend policy, if we're going to be able to realize these projects. The government itself is very good at boasting that Statekraft – not the government, but Statekraft – has been awarded contracts at Doggerbank, that Statkraft buys Swedish hydropower companies, that Statekraft buys up elsewhere and among others. are part of SN Power and invests worldwide in renewable energy. But when Statkraft comes to the government, the owner, and asks if they can get more equity, because they want even more, they don't get answers. That's the problem in this context. It is strange that this government, which rhetorically claims to be the world champion in terms of climate, does something quite different in practice. So when SAS, which is a fossil-energy company, comes, when Hydro, which is primarily a fossil-energy company, comes, and when Aker, who is engaged in fossil-energy activities, they get the equity subsidies they need to stay alive and to develop their industry, but when Statkraft, which is primarily a 100pst. renewable energy company, they don't get the money. When the government claims that there is renewable energy that is the future, this is not related to the ownership policy and equity policy it pursues. We know today that Statkraft has had to withdraw from renewable energy projects around the world, precisely because equity is not strong enough for us to make the big promises it's about. With regard to the investment at Doggerbank, we're talking about hundreds of billions of dollars. Then you can't sit and say that the current equity situation is satisfactory. It is based on today's activity, but not on the activity of the future. If we want something about Statkraft, we need a much more offensive approach. The offensive approach has the Progress Party. The question is whether the government has it. Then it is not useful to talk about that if the Progress Party had been given control, we would have sold ourselves down – as if it were the end of the Norwegian hydropower situation. The hydropower resources exist independently of who is extracting them. I think it's strange that the government thinks it's okay that Italian state-owned companies and American private-owned companies should be allowed to be involved in extracting oil and gas on a Norwegian base without there being an ideological problem, while it's suddenly a huge problem if a foreign company had done the same with regard to Norwegian hydropower. Why? It is through tax policy that these resources are managed economically, and it is through concession policy that they are exploited. This is how it works on a Norwegian base, and everyone is very satisfied. In fact, the Labour Party has agreed to have more private involvement on this base, but this is not the case in the hydropower policy. It's about politics, and it's not about what's pragmatically sensible. So for us, this isn't a debate about wanting to sell out. It's a debate about getting a professionalization of ownership. This is not about how to manage Norwegian resources. This is about how State power is going to compete more internationally for becoming a large energy company, where, of course, the profits will also benefit the Norwegian population. But if you are to be able to push Statkraft further, you should listen to those who direct the company to daily, who define the needs and who come with the projects. If the government doesn't want anything more with State power than to have it as a dairy cow, as it has been so far, it's okay, but then the government should say it, rather than give the impression that State power is going to go out and find projects, but that they don't get capital to realize.
ParlaMint-NO_2010-06-03.ana.ud2616e309	First of all, thank you for a good debate. But I have to be allowed to say that it has approached a Norway championship in subservient arguments. When you hear the representative from the Socialist Left, explain why this must take time, and that State power may have to look at its portfolio, or when the representative Heggø from the Workers' Party is trying to create the impression that the Progress Party wants to transport Footfalls from Norway to abroad, it is starting to become relatively strange. As far as I know, Norway has sold itself into, among other things, Telenor – about getting private people in. As far as I know, it is still possible to call in Norway, even though Telenor is a partially privatized company. As far as I know, Statoil continues to operate according to what the state wants, despite the fact that it has sold itself into the company. You have to not just use substituting arguments here, but try to look at the actual interpellation text and what I'm asking questions about. I ask questions about the following: When can Statkraft get an answer to his request? I have not said anything about how much equity injection should come to the company, but I have said that the country that owns must at least be able to provide a response to one of Norway's largest and most important renewable energy companies. That's what professional ownership is all about. When the representative of Terje Aasland refers to the SAS case, it is not a case of glistening ownership by the state. No, SAS is a company that has gone well ahead, where we have been asked several times to raise new capital because the company has not succeeded in the conversion processes. Otherwise, I'm fully behind it, among other things. The representative of the Svein Fleet referred to. Yes, we need to be able to look at the capital situation of Statkraft in other ways. That's why I made a number of different ways to do it in my post, if that's what you want. But the problem is that even if the Council of State says they're talking to Statkraft, there may seem to be different signals coming — not least when the message sent by the Council of State might not be received in the way the Council of State wants. For the company itself, it is said that they are most likely not involved in some projects as a result of a lack of clarification. That's the explanation that has to come. There is no significant difference between the situation related to Hydro’s purchase of Vale S.A. and the situation in which Statkraft actually lives. Both want and need a clarification, and the smallest state can do, is spend shorter time and give the board its answer to the request.
