ParlaMint-NO_2010-05-12.ana.ud47e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-05-12.ana.ud47e242	It's incredibly important to be able to keep a line in the bet on real science over time, and that's exactly what we've done. We can't expect that a little stunt one harvest is what saves us when we're recruiting skilled people to become real-time teachers. Now we have many possibilities in addition to those I had in my first answer, for example. we have the Lecturer II system, which allows those who have university education but do not have supplementary education to enter secondary school and participate in education there. We have other possibilities to do this, for example. people who have been trained in engineering can host hospitals. But it's a systematic work over time on stressing how important real science is, how important mathematics and arithmetic is, all the way up, which is what can help us sustainably and solidly – not little ideas now and then.
ParlaMint-NO_2010-05-12.ana.ud47e250	Four follow-up questions are raised – first Henning Warloe.
ParlaMint-NO_2010-05-12.ana.ud47e253	We have many challenges and problems in Norwegian school. From the right-hand side, we keep pointing that out, because we're concerned about it. The Minister of Knowledge says that the Right Black paints the school. Of course, we can just start talking about what's good. Of course, we can point out that 70 pst. by the students, they complete secondary education. Of course, we could say that 80 pst. by students after 10 years at school can read and write properly. But I don't know if it gets so much better. I think people understand that we have some big problems in school, and they have to deal with it. The question to the Minister of Knowledge is, When will she recognise the major problems and challenges we have in school?
ParlaMint-NO_2010-05-12.ana.ud47e260	This, I think, is a completely unaccountable post, because that's what we're doing every day in Norwegian school. We have to be able to go through the balance where we encourage all those who do a very good job – for them there are many of them in Norwegian school – while not undermining what we have of challenges. We have systematically invested in early efforts, improved reading and writing training, because we have seen that there are too many people who do not have basic skills in this. We know that this isn't just the key to Norwegian or English, it's also the key to science, to social sciences and to all the other subjects. In the case of non-response, I have invited the counties to a systematic cooperation, according to the model of how we got into port when it came to full child care coverage, namely that we have to find a common way of counting. We have to set some common goals for how to reduce the drop-out and increase the implementation. We have to make sure that more practical work is done in high school, so that more people have the opportunity to complete. So I have full pressure on this all the way!
ParlaMint-NO_2010-05-12.ana.ud47e267	Let me say that I think the «real science for the future» is a very good look-up on the scale of the crisis. There it comes, among others. to the extent that there are major challenges to real-time competence, especially in mathematics. One in three math teachers might go off in the next five years. New recruitment is good on that occasion, but continuing training is probably the most likely main response. With the solution used by the government for continuing education, it will not take five years for these teachers to be in place – it will take 30 years for these teachers to be in place. So we're 25 years behind schedule. So the council says the places aren't being filled up. But that's because the government has chosen a heavy-duty, rigid and expensive system for the municipalities, instead of saying that we support the municipalities that solve this in the most appropriate way in each municipality. Will the Council of State now take the initiative to make that change?
ParlaMint-NO_2010-05-12.ana.ud47e274	The offer of continuing training is part of this GNIST cooperation that we have with several parties, for example: KS, Training Association, etc. This has been very successful in recruiting students to choose teacher training. We have very happy numbers so far for it. We had a meeting yesterday, and there was the topic: how do we get further education to work? Point 1: How can we now, in the last turn, make sure to occupy the places that are not yet occupied? Point 2: What do we do to make it a system that is being filled and that can be further developed? I am disappointed that we have not received any more applicants for further training places, and I will follow up in such a way that we ensure that this will be a successful scheme.
ParlaMint-NO_2010-05-12.ana.ud47e283	We've had ministers of knowledge who, as pearls on a sphere, have progressed and said that now we're going to get a new real-time job here in the country. It's because everyone's seen that there's a need and that you have to do something. But I think some of the problem around this is that we talk into many teachers and parents' bad conscience for lack of knowledge and own knowledge about this. An example of turning the whole trend around is Stiklestad elementary school. There were two inspired teachers who went on a course and brought with them all the other teachers in a math project. This resulted in sitting and working with the math cat, and parents, students and teachers eventually built a bridge, as a system to get this done, and it became a glowing inspiration. How can we get this into system, so you don't depend on the two fires that were happy in math? Can we do that?
ParlaMint-NO_2010-05-12.ana.ud47e292	Yeah, I definitely think so. I think there are a lot of people who are looking for the good tools, not to make the math far away, which you don't need in everyday life, but to find the math and the bill in everyday life, as appropriate. I think that's where a lot of the distance to that subject arises. We work systematically to get better tools, to get more guidance for teachers, to spread the good practical examples, to put better emphasis on it in teacher training, etc. But what is an important recognition when you run with knowledge and education – the representative Dagrun Eriksen knows very well – is that it takes time. It takes time to awaken the interest in arithmetic, math and natural sciences among young people, and recruited for real science further in universities – and again can recruit to schools. There is no quick fix in this area. It's systematic work that we're doing. But there's an incredible amount of exciting happening in this area.
ParlaMint-NO_2010-05-12.ana.ud47e299	All the parties have now chosen a rhetoric that the Left is very pleased with, which says it's the teacher that's most important. We have heard previous parties here today who take credit for the proposals we have made, and I think that is fantastic. That means there's a drive here to get something done with the teacher's piece. Governments also have the right words about how important the teacher is. But in reality, it is not a priority. The big promise that the government is making in school now is several hours – several hours with teachers we don't have, several hours with teachers that we just have to put in, either unskilled or – I don't know what kind of plan the government really has. So my question is: Behind all the rhetoric about how important teachers are, behind the rhetoric that teachers are the most important investment to get to a good school – why does the government give more hours of teachers we don't have?
ParlaMint-NO_2010-05-12.ana.ud47e306	The representative Skei Grande will follow closely, and she will have noticed that the ambitions we've had to get more hours, we've subdued something because we've been busy making sure that it's quality in the hours we have. In the case of homework, which is the new grip coming from the autumn of 1st to 4th grade, it is suggested that there are assistants to carry out the homework but under pedagogical guidance. We believe that this can work for 1 to 4 steps. It is quite right that there is one success criterion in Norwegian school that stands above all else, and it is a good, clear teacher who is a natural authority in the class, who has good leadership qualities and who has good professional competence and good pedagogical competence. It's a superhuman I'm describing now, but there's actually a lot of those superhumans. Making sure that we have that teacher training and get guidance and further education in place is the key.
ParlaMint-NO_2010-05-12.ana.ud47e315	Let's move on to the next main question.
ParlaMint-NO_2010-05-12.ana.ud47e318	I have a question for the Minister of Health and Care. It is almost three years since the government signed an agreement with the Christian People's Party and the Left to introduce a dignity guarantee in the care of the elderly. The guarantee of dignity shall ensure greater rights and better treatment and care for the elderly. It shall include, inter alia: ensure that the elderly are entitled to sick leave when they need it. It shall also ensure that sick elderly people receive relief treatment and a worthy death, professionally sound follow-up of doctors and other relevant health professionals, some to talk to about life, etc. Nearly one year ago, a legislative amendment proposal was put to the hearing, but it is now more than six months since the consultation deadline expired. The communication of unsustainable conditions in the care of the elderly continues. The parents are sent home to themselves from the hospital without being able to handle themselves, the elderly are waiting for a sick home, but do not know how long they have to wait. In the election campaign, the Prime Minister was outside and promised that the guarantee of dignity with, among other things, right to the hospital place now coming. This was also the agreement we reached when the consultation note on the guarantee of dignity was run out separately from the work on new laws in force in the department. This happened in front of the election campaign. After the election campaign it has become very quiet. My simple question is, When does the guarantee of dignity come?
ParlaMint-NO_2010-05-12.ana.ud47e332	It is true that the guarantee of dignity was an agreement in which the Christian People's Party and the Left were with the government parties. We are working on it and have worked on it, so there are many measures in the area of the guarantee of dignity that have already been implemented. Among other things, the construction of nursing homes is part of this. When it comes to legal work, and that's what's most interesting here, it was originally a plan that the right to a decent service should be included in the new health and care law. It was scheduled to be dealt with in 2010. Now it comes in the spring of 2011, and that's why we're going to link the regulation on a decent care for the elderly to the municipal health service law, where it's made a change and is the basis for it. The regulation that details the entire guarantee of dignity, we will come along in 2010, as the plan was. It will then describe the commitment to competence, all that is involved in the ethical effort in the municipalities, investment grants, financing of technical school offerings and the entire training plan relating to competence, the dementia plan, etc. – the other areas covered by the guarantee of dignity.
ParlaMint-NO_2010-05-12.ana.ud47e339	If I understand the Council of State correctly, the guarantee of dignity does not come as such before the Municipal Health Act. Now the Council of State shakes its head, so she might think that all the guarantees of dignity, that is, the dignity of the elderly, the right to hospitalization, etc., come this year.
ParlaMint-NO_2010-05-12.ana.ud47e344	Then we're going to allow the council to answer orally as well.
ParlaMint-NO_2010-05-12.ana.ud47e347	This she must answer a little more clearly.
ParlaMint-NO_2010-05-12.ana.ud47e352	The Local Health Service Act is to be followed by a new Health and Care Act. This was scheduled to arrive this year, but it will arrive in the spring of 2011. There is something to do with the handling of the interaction message in Stortinget, which was scheduled to be in the autumn, but which came now. As a result, the law work is somewhat delayed. Because it is delayed, and in order not to delay the guarantee of dignity and the regulation that describes all the measures in the guarantee of dignity, we will link the regulation to the municipal health service law. This is the basis of the Local Health Act. The regulation shall be ready in 2010, as planned. I can assure the representative Davøy that we have full pressure on this and will join us this year.
ParlaMint-NO_2010-05-12.ana.ud47e357	It is given a diversion to three follow-up questions – first Geir Jørgen Bekkewold.
ParlaMint-NO_2010-05-12.ana.ud47e360	On the TV 2 news yesterday we got a very good example of how important it is to get the dignity guarantee in place. We met an elderly woman from Hamar, 85 years old, seriously ill and with a great need for a sick home. When the head of care and care in Hamar asked why this woman did not have a place to stay in hospital, the answer came briefly and concisely: because in Hamar we do not have enough places to stay in hospital. This is just the last case in a number of many. Since 2008, municipalities have been able to apply for a State grant to build several hospitals. In the municipal bill that was presented yesterday, it appears that the money for the construction of nursing homes has not been used up. The situation, inter alia: Hamar shows that it is essential to have a rapid expansion of health care facilities. We know that the threshold for space is very high for the sickest of the elderly. My question to the Council of State is: Do the Council of State assess measures to increase the number of municipalities to build hospitals?
ParlaMint-NO_2010-05-12.ana.ud47e369	The reduction referred to in the TV 2 news yesterday was simply a technical adjustment compared to grants that were not used up in 2009. That was the whole point of that matter. The matter is, of course, serious, because it is serious when serious sick elderly people do not get hospitalized. Here I must also say that when the municipality is unable to provide a nursing home, the municipality must provide adequate care and care for those who need it. In 2009, there were originally planned grants to 1000 new nursing homes and homes. In the context of the financial crisis and the package of measures to the government, a grant of 1500 additional was adopted. All of these weren't realized last year. 1000 of them were realized, so it was built 2,000, but 500 were not used. Evenly, there are 2,500 new places to come this year. Then we're halfway to the goal.
ParlaMint-NO_2010-05-12.ana.ud47e376	Jon Jäger Gåsvatn – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e379	I feel that there is a need for some clarifications here. In the election campaign, the Workers' Party traveled the country and the beach around and promised, yes guaranteed, sick place for everyone who needed it, by 2015. On the news yesterday we heard the council say we were halfway to the goal. My first question is whether the Council of State from Stortinget's pulpit can confirm that we have got 6,000 new sick homes. The party of progress has also said several times that the government's ambitions in this area are far too low to meet the needs we face. We see that a number of municipalities are relocating their nursing homes. We see that they don't have financial muscles to use the state grants and current arrangements. You're afraid you can't use the loans, and you're afraid you can't use the necessary manning. When we see that you cut 180 million. kr i revised, there is a confirmation of exactly that. Will the Council of State ensure that the State takes the necessary action to enable the facilities needed to be built and put into service? Or is the Workers' Party election guarantee worth zero?
ParlaMint-NO_2010-05-12.ana.ud47e388	Hospitals and nursing homes are being built throughout the country. It's good access from the municipalities. We did not use up all the grants for 2009, but for the current year, 2500 places have been promised. That's what we're going to build in the current year. That means we're about halfway to reaching the goal of 12,000 places by 2015. Then we also say that we have to make an assessment of whether there is a need for more places, but we'll see about that. For the time being, there is full pressure, and there is a good application for the municipalities. But there are also projects to be completed before money is allocated, and priority should be given to the least developed ones first. This is a job that we have a lot of pressure on, because it's important to get more hospitals. It showed the TV 2 feature very clearly.
ParlaMint-NO_2010-05-12.ana.ud47e398	Sonja Irene Sjøli – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e401	Good medical coverage in nursing homes is essential for the sickest elderly to receive good treatment. The government has talked a lot about how it should shine out of the care of the elderly, but according to the National Audit Office, more than 4,000 doctors are missing per day. weeks to meet the need. Right-wing wants dedicated hospital doctors and will provide them with better pay and professional challenges. In Stavanger, this strategy has been successful and has significantly improved the medical coverage of hospitals. The government's answer so far is to force the decision-makers to work two days a week in hospital and leave the sickest elderly to the tour applicants. Does the Council of State consider that this provides more dignified and prudent treatment and care for the sickest of the elderly, or does it have any other proposal for action than the use of coercion to increase medical coverage in hospitals?
ParlaMint-NO_2010-05-12.ana.ud47e408	I fully agree that it is important to have a good medical coverage in the nursing homes. It's important both to ensure the care of those who live there, and when it comes to medication, which is a theme we've been in on many times in Stortinget. It is especially important that there is good medical coverage, with doctors who may be responsible for it. It is also a good arrangement for the decision-makers to spend one day a week, seven and a half hours in some contexts, as they will be at the disposal of the primary health care services in hospitals. The medical coverage in hospitals has increased by 30 pst from 2006 to 2009. So we're on the right track to get a much better medical coverage in the nursing homes. It's a happy development, and it's a development we're going to continue. Because it is important that we have good medical coverage and good doctors for the sickest of the elderly.
ParlaMint-NO_2010-05-12.ana.ud47e413	Let's go to the next main question.
ParlaMint-NO_2010-05-12.ana.ud47e416	I have a question for the Minister of Knowledge. In Norwegian school, we use 40 pst. more in school than the OECD average. The result is 20 pst. lower than the OECD average. Yesterday’s focus was on the 1994 and 1997 reforms, which have resulted in a total of one in five students reading so poorly that they cannot acquire knowledge from schoolbooks. These students have spent ten years in the SV unit school and the Workers' Party has built up. It is the most expensive school in the OECD area, but one out of five does not have satisfactory reading skills. Following Reform 94 and Reform 97, which are run by the parties currently in government, absences have increased, and the nature and level of knowledge have declined. I want to make a statement, and that's that Gudmund Hernes with Reform 94 gave us what I call a Soviet-renowned play school. Many teachers today take more time to keep quiet and order and to get students to come to school than to do their job, which is to impart knowledge. The result of this is unmotivated students both among the theoretical strengths and the intellectually weak, grades that do not match the real level of knowledge, and that students receive grades without being present at school. When students come to high school without the necessary skills and without the necessary work routines, there are some demands on these students, and then they are faced with challenges, which lead to major non-responses. Isn't it time for the Council of State to take a settlement with Gudmund Hernes's playground and say that now we're going to start demanding both teachers, school owners and also students that the results must begin to come, and to remove a little bit of the social approach to Gudmund Hernes?
ParlaMint-NO_2010-05-12.ana.ud47e427	I think Gudmund Hernes would be quite offended if he had heard this characteristic. But we're very clear and concerned that we have to be clearer about the goals you want to achieve in school. We work with assessment and feedback, we work with basic skills, we work with early work, and we work to reduce the drop-out from high school. But I just have to warn against one thing, and that is to romanticize what was the situation before Reform 94. Reform 94 gave all students the right to begin high school. There is no alternative for a 16-year-old today not to try to pursue further education, because the place of work is very demanding. It was also before Reform 94 that many students went on a basic course after a basic course, and did not get through. So it was absolutely necessary to do something to get to a good vocational training. The focus programme yesterday was ten years old. Fortunately, you have worked systematically in these years to ensure that there are clearer and clearer goals to achieve in school. We work intensively with assessment and how to give students feedback, because we have very clear research results that show that it has been too unclear for many people: what do you do, for example? to improve your skills and knowledge in a profession? Many teachers are systematically working on it, and we are working systematically to get guidance on how to do it. It also works very systematically to get the reading and writing training up. One in five students reads and writes too poorly, i.e. most people know the letters, but there's something about understanding the context and the texts and getting them involved, which makes us have a significant job to do. Fortunately, it works systematically.
ParlaMint-NO_2010-05-12.ana.ud47e438	Now both the Council of State and the questioner are so lucky that we got through the Norwegian education system before 1994. At least I'm happy. It is not the objectives of the Council of State that I am concerned about; it is, to a greater extent, the means of action. As far as the weakest students are concerned, we know that there is a urge in the red-green system to address in detail how to solve things: to reduce the diversity of Norwegian schools, both in-house and in private. We know that some weak students can benefit from alternative pedagogics, which become less of a red-green policy. But I think the Council of State is interested in something important when it comes to facilitating and trying to be dynamic. This is the case where a practical letter system has been introduced in many countries in Norway, which is most likely to be better adapted to many of those who are currently taking the professional and these out of the profession. What will the Council of State do to ensure that all Norwegian students can apply for the practical letter scheme in the future?
ParlaMint-NO_2010-05-12.ana.ud47e447	The practical lettering system we've been trying with, which is now open to all the states to participate in, has proved to be very successful. Policy letter is an offer to students who leave high school with very poor basic skills in Norwegian and math and a lot of absence. There is then the possibility of being four days in a workplace, with a mentor or a father, and one day at school. What are the very positive results, is that the absence went down, the interest in setting up and completing went up considerably, and after completing two years, there were two thirds of these students who wanted to go on and take a letter. So this is a very successful attempt. It's expanding now, so that all the states can be involved, and we have to make sure that there is also actually an offer in all the counties.
ParlaMint-NO_2010-05-12.ana.ud47e454	Four follow-up questions are raised – first Mette Hanekamhaug.
ParlaMint-NO_2010-05-12.ana.ud47e457	We have come to realize that a united political Norway is committed to preventing high school drop-outs. And the Council of State has repeatedly called for early efforts and said that the basis for the completion of secondary education is formed in primary school. The focus yesterday pointed out that one in five students cannot read and write properly, but that the right to secondary education allows students to continue, despite the high level of absence and deletion in several subjects. Often they end up as "dropping out". My question to the Council of State is therefore: How does the Council of State approach a possible solution that means that students are retained in primary school for basic knowledge and competence in reading, writing and billing have actually been achieved?
ParlaMint-NO_2010-05-12.ana.ud47e464	Reintroducing dumping is a very bad idea. We have international research results that show that, and there is no reason why we should repeat old mistakes or introduce mistakes that other countries do. What is very important is that the basic skills of the students are strengthened. Yesterday's focus was 10-20 years old. There are no parties, as far as I know, that call for not all students to be entitled to secondary education. Nor is there anyone who calls for compulsory primary education in Norway. We have one common problem, and that is: when students do not have enough basic skills and knowledge to complete higher education, we need to get these facts on the table quickly. That's why we now have screening tests from the first high school, just to figure out which students need extra effort. Then you have to throw yourself over them immediately to ensure that they are able to read and calculate, so that they have the opportunity to attend high school. So, of course, it doesn't start the fight against high school drop-outs, it starts a lot before.
ParlaMint-NO_2010-05-12.ana.ud47e476	Elisabeth Aspaker – for follow-up questions.
ParlaMint-NO_2010-05-12.ana.ud47e479	The focus programme so much backwards, but the right is looking forward to finding good solutions that allow more students to complete high-level education with good results. The right-wing vocational lift contains a number of proposals to reduce the drop-out, but the government parties voted against all, despite the fact that these were proposals that had received broad support from many of them. In the light of the serious issue of non-response, will the Minister of Knowledge and the Government reconsider and reconsider its opposition to the proposals of the Right on their own curricula for the professions, on a new recruitment programme to bring experienced professionals to school, as a complement to the Teacher II scheme, on alternative training courses without the need for students to have a diagnosis in order to obtain them, and to increase government efforts for more apprenticeship places?
