ParlaMint-NO_2010-04-20.ana.ud1350e36	The representative, Peter N. Myhre, will put forward two proposals for representatives.
ParlaMint-NO_2010-04-20.ana.ud1350e192	The size now decides that a right to contact between children and biological parents should be granted after the child has been adopted, a so-called visitor-right adoption. It represents something completely new in the relationship between the child, biological parents and adoptive parents. An adoption of contact will result in a different nature to that of today’s adoption. Adoption with a visitation contact means that adoption does not constitute an absolute breach between the child and the biological family. The Christian People's Party supports the introduction of this access and at the same time promotes a proposal that we review the scheme and evaluate the consequences when some years have passed and we have a certain basis of experience to look at. It's important, because this is a demanding landscape. Extensive assessments shall be made on a case-by-case basis. Therefore, it is also important to review the experience gained and, where appropriate, to adjust practice after a few years. With regard to the rapporteur's request to turn the proposal into a transmission proposal, I am in favour of it if the Council of State now confirms that he wishes to carry out such a review. We are talking here about children who have parents who have not been able to give the children the care they need. They have been deprived of parental responsibility and the council has decided that the children should be adopted. I am pleased that the entire committee also states that this is to be seen as a very intrusive coercive measure. It's important to have that seriousness and the humility when we're discussing just adoption, because there can hardly be any more drastic interference in a person's life that the authorities can do than just making a decision that you're no longer related to your own family. Therefore, on the basis of the discussions we have had on the adoption law in recent years, it is important to stress that adoption is not a right for adults but is for the child’s benefit. The UN Convention on the Rights of the Child Article 7 gives the child, as far as possible, the right to know and care from their parents. Article 9 provides protection against the child being separated from his or her parents without being subject to procedural rules and with regard to the best interests of the child. The point here is that assessments have been made on a case-by-case basis with regard to the child's best interests. However, even if the child is adopted away, there may be cases where the child may continue to have contact with his biological family. This is why the majority in the European Parliament today concludes that, where, after a concrete assessment, the best solution for the child is to be found, a right of contact can be established between the child and the biological parents after a completed adoption. With regard to the arrangement, the Christian People's Party has some dissenting views. Firstly, we believe that any visitation contact should not only be limited to biological parents. In different contexts, association with siblings, grandparents or other relatives may be equally important as association with biological parents, and it is therefore reasonable that the law now opens up access to it to assess it. Furthermore, Christian People's Party believes that foster parents, i.e. the potential adoptive parents shall not be able to prevent the child from having a visit to the biological family following an adoption, if this contact is considered to be at the best of the child. There should be an assessment based on the best interests of the child, but a skepticism from the adoptive parents should, of course, be given great importance in such an assessment, even if they should not be granted an absolute right of veto, to which the proposition has been made. I address the proposals that the Christian People's Party is behind in the matter, either alone or with others. It concerns changes concerning biological parents, the assessment of contact with the biological family and changes concerning the consent of the adoption applicants. The Christian People's Party shall vote primarily for its own proposals and secondary for the Government's proposals.
ParlaMint-NO_2010-04-20.ana.ud1350e209	The representative of Øyvind Hope has taken up the suggestions he referred to. With regard to proposals Nos. 3 and 4 – since the representative mentioned proposal No. 3 – the President will draw attention to the fact that they will be taken up in a later big meeting, as they do not have legal texts, and will also refer to the tradition of past relations between nodules and magnification.
ParlaMint-NO_2010-04-20.ana.ud1350e215	I have to say that I think adoption is among the greatest actions that people can do to children. Taking full responsibility and commitment over a long life is actually a great gesture not only for the child, but I think it's a great gesture for the community. What I want to raise today is that there's a debate going on in which it sounds as if most of the kids are being taken by force when they're taken by child protection. My knowledge of child protection is that there are very, very few who are actually being taken by force. The vast majority of child protection decisions are taken even when parents realize that this is not possible. I have to say that based on my knowledge of child protection, I do not see that adoption will be an instrument when coercion is used. I imagine that adoption is something that will be a good solution for children where parents have realized that being able to take responsibility for the child again might be something they cannot reach. But that doesn't mean that this is a scheme that I think will be used very much. I think it's very rare that we give up parents in the way that this is talking about. As one foster mother told me – when she offered her adult 18-year-old, who had lived there absolutely all her life, to be adopted, the adoption child replied: I know you're happy with me, but I won't choose between my two mothers. There's actually also one thing here, that kids shouldn't be forced to choose between the two that you're happy with in different ways in your life. We in the Left will vote in favour of the proposal of the Right and Christian People's Party No. 2 I, which is in the setting, because realizing that parents are never going to make it doesn't mean that it's not. the sibling with whom the child wants to have contact. I don't imagine sharing sibling flocks in adoption cases, but it can happen, and many grandparents who can't take full responsibility for the child can help to give the child a larger network and greater contact. So I would like to say that we do not vote in favour of the proposal of the Right and Christian People's Party. 2 II, but I have a great sense that the child's wishes must be given weight, for example. that the child’s desire to have contact with grandmother or other caregivers who have made a difference in the child’s life should be given weight, seafarer if I do not believe that there should be any professional assessment every time. But I think good adoption parents understand how much it means for children to have contact with someone who has made a difference in their lives. Finally, on the proposal that we are making as proposal No. 4 here in the hall. It is based on great impatience from the Left, and the Council of State is free to take it out of the pulpit. We have made a number of proposals in this Chamber, based on amendments to the adoption law, to make it easier, more flexible, less bureaucratic, simpler, cheaper and more acceptable from the Norwegian authorities for all those who have taken the great responsibility it is to adopt. All the initiatives taken by the Left here in the United Kingdom led to the setting up of a public inquiry by the former Minister for Children, with a full review of adoption and leading to NOO 2009:21. There's a lot of good suggestions. We are impatient and want to have the law revised in relation to the proposals contained in the NOU, and we hope that the Government will be able to come back as soon as possible with a proper revision of the adoption law on the major issues that could mean something to many children and many families.
ParlaMint-NO_2010-04-20.ana.ud1350e232	The President interprets the representative Skei Grande to the point that she has taken up the proposal she referred to. The President will add that proposal No. 4, which is the proposal from the Left, will be addressed in a later Grand Summit.
ParlaMint-NO_2010-04-20.ana.ud1350e235	Today, the size of the population deals with important changes in the Child Protection Act and the Adoption Act. I am pleased that the Government's proposal is supported by the majority here today. The government has therefore put forward proposals to open a right of contact between the child and the biological parents after adoption without the consent of the parents under the Children's Protection Act § 4-20. After a careful assessment – because these questions are always difficult – we have come to the conclusion that there should be a right to have a limited contact where it will be in the best interests of the child. The intention of the proposal to open a restricted right to visitor contact is not to erode or in any way to make changes in the relationship with the adoptive parents given to the child by the adoption institute. Nor is it meant to deprive adoptive parents of full responsibility for adoptive children. The purpose is to provide the children, in cases where it is assessed as best for the child, with an opportunity to have contact with their biological parents after adoption, without compromising the stability and safety of the care situation to be provided and provided by the adoption. The legislative proposal presupposes that foster parents consent to contact between the children and biological parents. Adoption with visiting contacts can only be addressed where there is a high degree of certainty that cooperation problems will not arise between the adoptive parents and the biological parents. The crucial thing here is that we do not expose our children to new situations of conflict, but that this is carried out in situations where we are convinced that it will be for the best for the children. I assume that what we are in favour of here today will only be relevant in a small number of cases, and it is not intended that contact after adoption should become normal in the event of an adoption under § 4-20. The child protection service shall have a central role in the implementation of the contact. The protection of children shall facilitate practical contact with visitors and, if necessary, motivate the parties for cooperation. Then I want to say that what the representative of Hope has presented on behalf of the Christian People's Party about a review, I think is a quite natural signal to give, and I take that signal. It's clear that now that we're making changes like this, it's important to keep evaluating whether we're doing it and the experience we're getting. The scope of these kinds of adoptions is likely to be so small that it takes some time before we have an experience base that makes it meaningful to carry out such a review, but I fully agree with the intention behind the proposal presented by the representative. The Government has also proposed a tightening of the rules on the recognition of adoptions which should be mentioned briefly. Adoptions carried out in the country of nationality of the adopter shall no longer be automatically valid in Norway if the adopter was resident here in the country at which the adoption was carried out, as it has been until now. Foreign nationals residing in Norway, as all Norwegian nationals residing in Norway, will then have to seek prior consent from the Norwegian adoption authorities and be assessed as fit for adoption. I perceive that there is an assessment that is supported here in the hall, and that makes us even more confident that all adoptive children get good care in the families where they are adopted. Finally, I just want to talk about what the representative Skei Grande said at the end. Let me also take the opportunity to congratulate you on a new job and wish you luck with it. We're now working on the follow-up of the NOU. It's an important NOW, a very exciting debate. I am pleased to come back to Stortinget with the thoughts and suggestions that the Government will make as a result. That's something we're working on in the department right now. I don't want to estimate exactly when it comes, but we're working on the goal of following up the important debates that the sample has initiated.
ParlaMint-NO_2010-04-20.ana.ud1350e256	It's going to be line change.
ParlaMint-NO_2010-04-20.ana.ud1350e259	In one of the comments of the majority: ‘Consequent adoption means that adoption will not lead to an absolute breach between the child and the biological family.’ We talk a lot about the child's best, but the government in this setting has only talked about the child's contact with biological parents. A majority of the hearing bodies took this up considering that it was too subtle just to talk about biological parents, that we should talk about biological family, because we know that very many of these children need contact with siblings and grandparents, not just biological parents. My question is, does the Council of State see this issue? What is the government's reason for not opening up biological family – so don't be so clever that it's just going to mean biological parents?
ParlaMint-NO_2010-04-20.ana.ud1350e271	It is quite correct that several hearing bodies disagreed with the restriction imposed by the Ministry. I still believe that it is right to be careful. That's a new opening that we're giving. There are very special situations that lead to adoption according to § 4-20. There are situations where it is extremely important to create peace and stability around the child's situation. In that situation, I am concerned that we should limit how many possibilities there are for testing cases in the county, and how many possibilities there are to create instability around the child's situation. I think we're taking an important and new step in relation to biological parents, which I'll think in most cases is what will be most nearby here. We want to try out the experiences we get with it, without, at least, going further.
ParlaMint-NO_2010-04-20.ana.ud1350e278	I thank the Council of State for an article with many important reflections and good points. My question, however, is about the challenges of child protection in the light of the changes that are now taking place, because at least my information has come to my attention that some municipalities now want to go through their affairs to see what child protection issues where adoption may be relevant, precisely because at the moment that foster children are adopted away to the foster family, the financial obligations for the municipalities disappear. I don't know the scope of this, but I would like to challenge the Council of State and ask him to make sure that no child protection cases are subject to adoption treatment of economic motives from municipal child protection.
ParlaMint-NO_2010-04-20.ana.ud1350e285	Yes, of course! If there is a current issue that the representative now addresses, we must send a very clear signal to the municipalities that it is not acceptable. Once we've opened up more use of adoption, it's like a child protection measure and a clarification that we've given to the municipalities in terms of what can be done for the best of the child. But there is no doubt that there is one relationship, only one relationship that should underlie those assessments, and that is what is best for the child! Other leaders, of course, have nothing to do with that assessment. So if it turns out that that kind of assessment is being made, we're clearly going to send out a signal that you're not going to do it.
ParlaMint-NO_2010-04-20.ana.ud1350e292	Then the next representative is Trine Skei Grande. The President will also allow himself to congratulate him on his new job.
ParlaMint-NO_2010-04-20.ana.ud1350e297	Thank you for that, both President and Council. I want to follow up on what the council said about the NOU, which I think was very positive. We are willing to turn our proposal into a transmission proposal. I understand that the Council of State will not say exactly when the matter comes to Stortinget. But the Council of State might say something about when it's possible to send suggestions out at the hearing, based on the NOU, so that we know that it's a progress, so we can breathe out a little bit lightly.
ParlaMint-NO_2010-04-20.ana.ud1350e306	I want to be careful about giving dates, but the representative can be sure that I think the debates to which the committee has put up are exciting. I think they're important to take, and that's why we'll both follow up on this in the normal way, open up input to it, and consider all the suggestions that come to the department.
ParlaMint-NO_2010-04-20.ana.ud1350e312	So the chord change is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-04-20.ana.ud1350e317	I took the floor to supplement my post with a couple of important matters that this matter is about. An important background to the issue we are dealing with today is just to be able to make it possible to respond to the feedback we receive that adoption is an underused tool in the field of child protection. The Christian People's Party will stress that we have taken the feedback, and we want to facilitate it in cases where it is best for the child. It is essential to ensure the necessary stability, predictability and safety of the individual child. I am pleased that the Council of State clarifies the seriousness of the treatment of these kinds of cases, in that adoption should not be a simple instrument to resort to. We have, as mentioned in the proposition, other countries around us that have a much more liberal practice of using adoption in child protection matters. The Committee has recently been on its way to London. It is worth noting that the experience there suggests that if adoption is too far off as a child protection measure, there will also be cases where adoption has been carried out prematurely, or cases where adoption should not have been carried out, and where child protection should be taken back after adoption. It goes without saying that it will be very traumatic and very serious to go to such an action once an adoption has been implemented. Therefore, it is important to balance this discussion on the basis that there is also a need to weigh at the opposite end. In this context, in the Norwegian picture, it would be right to soften the practice with regard to the possibility for a few more children to be adopted. I am pleased that, in the debate we have now, in connection with the adoption law, we focus more than in other debates before, not only on adopting – adopting into a new and safe family situation – but on actually implementing an adoption also means adopting away from a family relationship, which is a very serious intervention by the authorities and to which we must show humility and respect. Finally, I would like to say that proposal No. 3, from the Christian People's Party, which is distributed in the Chamber, is transformed into a transmission proposal, based on the signals provided by the Council of State and the Advocate General.
ParlaMint-NO_2010-04-20.ana.ud1350e332	The President will again draw attention to the fact that it will be done in a later big meeting. Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2864]]
ParlaMint-NO_2010-04-20.ana.ud1350e350	No one has asked for the floor. [[Fotation, see page 2866]]
ParlaMint-NO_2010-04-20.ana.ud1350e366	At the request of the Committee on Transport and Communications, the President will propose that the debate be limited to 75 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes, Left 5 minutes and Council of State 5 minutes. The President will also propose that there be a change of lines of up to five lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-04-20.ana.ud1350e377	The debate on the vote on the draft resolution by the Minister for Transport on 9 March and the representative proposal for 54 S for 2009–2010 was originally held in Stortinget on 25 March. In view of the tragic fatality on the island of Sjur the day before, a group of transport committees wanted to postpone. This wish was met by the Presidency for respect for the relatives. State councillor Meltveit Kleppa did well for the train situation in Stortinget on 9 March. I would like to thank the Council of State for the distribution, and for choosing to come to Stortinget as it pleases. As the vote will be taken, a joint committee proposes that the minutes be drawn up by the Minister for Transport on 9 March. The Committee has also addressed Document 8:54 S for 2009-2010. A minority consisting of the Government Party suggests that the proposal for a representative be annexed to the minutes. Several proposals are made by the Committee’s plurality, including: link to anomalies management, proposals for a railway vulnerability analysis and new track capacity through Oslo. The Progress Party and the Right propose to ensure a more coordinated deployment of rail-based collective actions. The Progress Party also suggests that lifetimes of up to 50 years be used in the calculation of socio-economic benefits, while the Right and Christian People's Party suggests a faster deployment of double tracks in the intercity triangle. I'm assuming that each party will do its own thing. To this end, I will refer to the Committee's recommendation for a Decision, I-IV. I include proposal No. 4, from Right and Christian People's Party. These days we are experiencing challenges for aviation that we have never seen before. Norwegian and European aviation are caused by volcanic eruptions in Iceland, and wisha has depleted air traffic for many days. It has shown clearly how important the train is and how important it is with a good train network, not just in the central area, but for the whole country. It is worth listening to the head of the Railway Agency, Elisabeth Enger, who has recognised the following about Norwegian rail passages recently: ‘The maturity is faster than we have anticipated. It may be that the railway infrastructure is at a loss of service life.» The railway system is now starting a new overall review of the whole network. Almost four years after the German consulting company BSL submitted a corresponding report. Nobody believes that the report, such as NTP is based on, tell the truth about the quality of the network. The last four months have been the worst in Norwegian railway history. Never before have we experienced worse conditions, and the Council of State itself has determined that we have a railway crisis in Norway. At first, it was said that this crisis was due to the extraordinary winter weather, but also after the weather became normal, the problems continued – especially in the Easter week. In winter, therefore, the Christian People’s Party took the initiative in a broad railway settlement. All the political parties have for too long neglected the railway. At the same time, it has never been as bad as it is now. Therefore, there is a need for a common lift across the lot boundaries. We need to look forward. The Christian People's Party believes that such a settlement must mean a lift for the railway beyond what is in the NTP, and in this way welcomes the SV's performance today. But it's not just about more money. It is also about renewing the railway sector and taking organisational action. The Christian People's Party wants to transform the Railway Agency into a state-owned company. In this way, the Railway Agency will be able to ensure optimal and effective development – as Avinor, Statkraft and Statnet can do today. The Christian People's Party is also concerned about ensuring opportunities for greater competition within the sector, and it is particularly important that we have a good incentive system between the Railway Agency and the train crew. It is particularly one group that suffers this winter. It's the commuters who depend on the train in their everyday lives. There's been a lot of cold hours on the platform. A small but important measure is a good compensation scheme. The Christian People's Party agrees with the Consumer Council, which believes that this system must come into force at 15 minutes of delay. This morning both the Council of State and the SV have given a whole new political signal. While one in winter has defended an out-of-date NTP, there is now a need for action. It gives me a positive hope before this debate.
ParlaMint-NO_2010-04-20.ana.ud1350e416	The representative Knut Arild Hareide has taken up the suggestion he referred to.
