ParlaMint-NO_2010-06-08.ana.ud2232e113	The representative Wenche Olsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-06-08.ana.ud2232e252	There are some things that are of the happy kind, and that, on the other hand, have a cross-political uproar. This is the case – a collective family and culture committee agrees to comply with Tromsø’s application for State aid to organise the chess-OL in 2014. When I take the floor here today, it is because I have followed this case from the idea was born, through the first conversations between the management of the municipality of Tromsø and the Norwegian Chess Federation, to connected from a thorough assessment, Tromsø chose as the candidate city that you consider best suited to take such a vow as a chess-OL is. Chess-OL is a big event. 150 countries will participate, and there will be broadcasts from the event over the Internet and TV. There are over 600 chess players around the world, and many of them are children and young people. Chess is not only a game and a sport that is exciting and entertaining, it is also a challenging activity purely intellectual. Chess helps to strengthen players' logical and strategic abilities, and there's reason to be proud that here in Norway we have one of the world's best chess players in Magnus Carlsen. I'm glad he's now on the team that's going to promote Tromsø's application internationally and hopefully convince the International Chess Federation FIDE that'most of it is north', as the poet Rolf Jacobsen says in his famous poem. I was given the opportunity to meet FIDE's Vice President, Israel Gelfer, when he visited Tromsø earlier this year. He expressed great enthusiasm for both the city of Tromsø, the environment and not least for the content and substance of Tromsø's application. Gelfer also stated that he believes it is a great advantage for Tromsø and Norway that at the time of his visit there was already a clearly positive signal from the Ministry of Culture to support a chess-OL in Norway with the requested amount of 70 million. kr. No other potential applicants could agree at that time, according to Gelfer, sail if he also reminded us that there are both formal and – let's say – informal elements that count when FIDE's management is going to make its choice. I am pleased that the government has said a clear yes to Tromsø's application for a grant of 70 million. NOK if we were now to have the permission to arrange the chess-OL. I heard what the council said about the test-OL that came after. Despite her clear answer, I hope you can at least have a dialogue about that. Then I am pleased that North Norway and Tromsø can have a unique chance to show that it is fully possible to organise a major international championship in our northern part of the country. And Tromsø is ready – whether it's chess-OL, which now, or winter-OL, when that time had to come.
ParlaMint-NO_2010-06-08.ana.ud2232e267	This is a matter for which there is a broad consensus – such as a really good and pleasant case – and I guess we're just going to sign out here and wish you luck. There are, however, a few small comments I would like to add to what has already been said, even though the Right therefore joins the fine introduction of the rapporteur, as I think this was well described. One is that $70 million. kr is touching little money in relation to the volume of the event we are talking about. It's a huge event. In that sense, the state contribution is not very, very high. I think that's also agreed. So I noticed the Council's response in the line change with the representative Korsberg, that 12 million. kr, or 10 pst. of the budget, intended for unforeseen expenditure. To be honest, I don't think that's very much. In relation to the size of the event, I think that should be the case. I expect the Council of State has noticed that in this case she has a goodwill to deal with. Although the Council of State did not respond to – as I could at least hear – the question asked by the representative of Korsberg, whether she would keep in touch with the organizers in the future, I think she will. I would like to stress that it is very important. I hope that the government – the Council of State – will communicate well with the Stortinget. If there are cuttings in the sea, things that have to be handled, and that have to be within the Storting, I think she'll take today's debate as an invitation to that here the Storing will be positive and set up if necessary, because we know the evolution of this type of big events, there's things happening along the way. I have an understanding of the government's need to emphasize that $70 million. $70 million. kr – there is no door on the slippery side. Nevertheless, there may be crossroads where it may be good to talk to each other, and where, perhaps with relatively small grips, a large event can be loosed ashore. In doing so, we support the government's excellent proposals, but also invite further cooperation, so that we can work together to do our best to keep this ashore.
ParlaMint-NO_2010-06-08.ana.ud2232e282	The councils are nodding. Several have not asked for the floor on case No. 1st@item: inlistbox [[Fooding, see page 3820]]
ParlaMint-NO_2010-06-08.ana.ud2232e300	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after the post of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-06-08.ana.ud2232e309	It is a unanimous attitude of the Committee, and it may in principle seem unnecessary to take a major debate on it. I'm not going to add up to that either. Nevertheless, the matter is invited to some important reflections on cultural policy and social development that I think deserve to come up with in this context. There are both cultural and control needs that have led us to have a concession scheme for the marketing of video. Among other things, an important relationship has controlled the video industry for the protection of children and young people. However, the Christian People's Party shares the Ministry's assessment that there is reason to believe that the scheme is not being used to a large extent as a control instrument. It also doesn't work after the intention. We see that the way it is today, and the way that development has been, not least in the field of technology, is good reason to do something about the system. It has played its part in many ways. With regard to the age limit for sale over disk, the Christian People's Party is satisfied that the limit remains 18 years, which has been reached by the Ministry after consultation. However, although the abolition of the present concession regime is a rational adjustment, the only supervisory body in this area is now the police. Societal development, where regulatory instruments disappear, makes us increasingly dependent on society's attitudes and values. Unwanted content in the media, film and video is e.g. violence and pornography. In the new reality, we lose some of the traditional tools. As a result, the importance of good attitudes in school and education is becoming increasingly important. The fight against violence and the fight against pornography, and thus also the fight for equality, must be strengthened through awareness-raising work both at school and elsewhere. Freedom is a prerequisite for a worthy life. Freedom shall be subject to security and freedom of expression. The sex and violence industries lead to impunity, not least for women. The fight against violence and porn is a struggle for equality. In a society where we are losing more and more regulatory opportunities, the current attitudes of society, what is defined as good and right, and the individual awareness of it, are very important in order to have an equal society and a good society. The whole human view of Christian democracy strongly emphasizes personal freedom, but also personal responsibility. Your own freedom must never be at the expense of our neighbor's freedom. We are all related to our fellow human beings and dependent on sharing with others. Media content that is grossly offensive to other people does not create freedom, and relaxed attitudes to films where women are exploited are a sign of weakness in a society. That's why mind-creating work and the awareness of our basic values are so important in meeting the new reality. In the fight for gender equality, there is also no room for offending films or other media content with pornography. The issue we are dealing with is as far as technology and the necessary adaptation to a modern society are concerned. Yet it challenges us to reflect on how we build safe societies, equal societies and good societies in the face of the new reality. And right there, building good attitudes and value awareness is increasingly important in meeting technological reality.
ParlaMint-NO_2010-06-08.ana.ud2232e330	I am pleased that a joint committee has supported the government's proposal for amendments to the film and videogram law. These amendments invalidate the municipal video concession scheme. When I was a kid and turned into a lexicon when I was wondering about something, a law was introduced that would regulate the marketing of video. At the time, the debate was quite different from today. Then the general tone of the debate was that the video was initially negative. It was then thought that if you had control of the municipality's control of those who would rent out videos, you would get a good control. It may have been an instrument that was appropriate at the time, but today you download movies in completely different ways than in the video clips that are found in the Storgata on Jessheim. Therefore, in my view, it is a system from which time has passed. As a control system for video concessions, this means less and less, not least because film and video are being broadcast today in so many channels other than the sale and rental of DVD. The law no longer allows the concession scheme to be used as an active cultural policy instrument. This means that the municipalities have very few opportunities to say no to the establishment of video rental shops. A concession scheme is a very radical form of regulation because it prohibits a certain type of commercial activity, unless the government expressly authorises it. In the media field, particular caution should be exercised with regard to the use of such an instrument, as the media have clear tasks in order to facilitate freedom of expression and to monitor private and public use of power in society. I see this as a first step on the way to a more modern regulation in the field. But I think the representative, Håbrek, is inviting an important debate on how we can change legislation in line with the new era. It's both about ensuring that parents and others have responsibility and develop critical senses, and it's about starting a general revision of the film and videogram law. Media surveillance will continue to ensure that distributors sell films that are in line with the law, but we will nevertheless look at general changes in the film and videogram law. In this work, I will focus on developing a coherent and consistent regulatory framework that can meet the objective of protecting children and young people on all media platforms.
ParlaMint-NO_2010-06-08.ana.ud2232e343	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fooding, see page 3820]]
ParlaMint-NO_2010-06-08.ana.ud2232e359	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. In addition, the President will propose that there be no change of line, and that those who have to sign on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. The President then takes the view that the rapporteur, Mr Gunn Olsen, does not want to speak. Councillor Audun Lightbakken is not present. If possible, it would have been nice if the government councilman Anniken Huitfeldt could be present in the hall until the state councillor Lightbaken arrives, so that the Storting does not interrupt their negotiations. Then I do not ignore the fact that the Council of State Huitfeldt does not wish to speak in the matter to the Council of State Lysbakken. We are thus in the situation that no one has asked for the floor in case No. 3rd@item: inlistbox Is that correct? No one has asked for the floor on case No. 3rd@item: inlistbox [[See page 3821]]
ParlaMint-NO_2010-06-08.ana.ud2232e387	At the request of the Committee on Family Affairs and Culture, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted. Nor does the rapporteur of the matter, Mr Simensen, wish to speak here, but the representative, Mr Thommess, does. The representative Thommessen has a speaking time of up to 5 minutes.
ParlaMint-NO_2010-06-08.ana.ud2232e398	I'm not going to use that speaking time, because I'm not going to invite you to any debate or take the time off with a long post. I just want to comment briefly on the changes made to the Discrimination and Availability Act § 2. I just want to stress that the way the Right perceives this change, this is more about cleaning up the basis of the law than about any change in the legal status of the law – as far as these provisions have already been laid down in the Working Environment Act. We therefore see that the changes proposed and to which we subscribe do not extend the basis of the law in relation to the requirements and obligations that employers already have.
ParlaMint-NO_2010-06-08.ana.ud2232e403	I had some input to the Council of State, but he gets to read the record from today's negotiations later. I am sceptical about intervening in private property rights by requiring suppliers, dealers or importers to dispense with samples of goods free of charge. However, I would like to stress the importance of complying with the laws and regulations in this area. But it may be a better solution – as I see it, and as the Party of Advancement sees it – to oblige suppliers, dealers or importers to dispense with samples of goods free of charge only in cases where fault marking is detected. I would like to stress that we are in order for the laws and regulations to be respected here as well.
ParlaMint-NO_2010-06-08.ana.ud2232e412	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fooding, see page 3822]]
ParlaMint-NO_2010-06-08.ana.ud2232e428	At the request of the Committee on Family Affairs and Culture, the President will propose that the debate be limited to 70 minutes and that the speaking time be allocated as follows: Working Party 25 minutes, Progress Party 15 minutes, Right 10 minutes, Socialist Left Party 5 minutes, Center Party 5 minutes, Christian People's Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after the intervention of the Council of State and the main speakers of the parties within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-06-08.ana.ud2232e439	The proposal by the Progress Party has created a great deal of debate. As rapporteur of the case, it has been very interesting to work on this issue of the free sharing of parental leave, also because it has become a very fresh public debate, in which very many people believe a lot and believe it very strongly. I am very pleased that the Progress Party has promoted this proposal, because after the High Women's Forum in January this year presented its new proposal for the sharing of parental leave, it turns out that there are many who want more freedom of choice, more flexibility and equal rights between mother and father, no more state-level detailed management of people's family lives. There is no doubt to the right that today's fathers have a strong desire to share much time with the child in its first year of life. Dad knows it's good for the child, and Dad knows it's good for himself. It's good for the relationship between father and child, and that's good for the whole family. It is said that fathers who are more at home are better at helping with housework, and they also become better partners. Therefore, women should also have a great deal of self-interest in the father taking out a greater part of the parental leave. Just to repeat it, and make it quite clear also to the representatives in the Chamber here: the right does not want to deprive father of rights, rather on the contrary. Right is for fathers, right is for fathers to be at home, and right is for children to be much with their fathers. For the Right, it's also important that people make choices that are best for themselves and their families, even though as politicians we don't like the choices that people make. Right is for freedom of choice. Because freedom of choice is so important to us as a value in itself, and because it is absolutely central to us that society should set itself in such a way as to safeguard the fundamental freedom of man, we also believe that the time has come to make the parental leave optional. Today's fathers need not be forced home to their newborn children. However, the government parties seem to believe that fathers won't be at home if you don't have a father's quota. This is a distrust of father as a caregiver. In the right we think that many fathers will take out more than the ten weeks that today's legislation gives them occasion. It's very good if many people do it, but it's also quite possible that someone chooses differently. Then they must also be respected for that. The current parental leave scheme is rigid and bureaucratic. Right wants to simplify the scheme and make it more flexible. The current permit scheme is for the ideal family. It does not take into account that every family is unique, with different desires and different needs for how they will live their lives. Families must be given more freedom and arms, not increased control and coercion, as government parties seem to force them. For what about those families where father is a supporter, and where mother is not at work? What about those families where Dad works so that it's not possible to take out the father's quota? Yeah, that's when you punish these families. They are punished by removing the family quota and by excluding the families from the weeks that father does not have the opportunity to take out. Who's losing on this? Is it Dad or is it Mom? No, it is primarily the child who loses valuable time with his parents during his first year of life. To impose conditions on the withdrawal of parental leave is perceived by many families as a punishment. Because if it's impossible for the family to live up to the requirements of the state, and if it's impossible for the parents to take out each of their allowances, as the state imposes, the child and the family lose many, many weeks, and the child has to be sent to kindergarten much earlier. If the parents do not have the option to choose the allowance scheme, where mother may have to be forced into work much earlier because she cannot be at home with the child and does not get the weeks of father transfer, many parents experience it as a punishment. If you do not select what the government expects, you will be fined. What concerns the Right is precisely the signals that come from central politicians here on the Stortinget, that you want a two-thirds of the parental leave, that you want a third. Yes, what happens to the four months that a third is involved, whose father is unable to take them out? What happens then? Is it so that this government should deprive children of four months of age with their families because it is more important to equalise – that mother and father take equal parts of the leave. That is the overall goal, and then you completely ignore the child's needs for care. Each family is special and unique. Each family has different needs and desires. That's why it's impossible for the state to tailor solutions that will satisfy everyone. That's why it's important to find a system that gives families much more flexibility, a much greater degree of freedom of choice, and less government. Today's parents want more armsstrokes and more room to live a good family life. What is of the Right's concern is that the debate on parental leave is now being used to become the number one in the gender equality class. The fact that mother and father take exactly equal parts of the parental leave, overshadows everything. It overshadows the fact that the parental leave is actually a scheme we have to take care of the very least. The right is concerned about one thing related to that matter, and it is precisely that we still have some – then we stress some – employers who do not make it as easy for father to take out his part of the leave. However, it is not certain that the law will change the position of these employers. A change of attitude is equally important. Therefore, we also call on the government to hear what initiatives the government is taking to influence these employers and to make it as natural for father to take parental leave as it is for mother. If the government had stood by its promises from Soria Moria I from five years ago, the government would have introduced autonomously 100 pst. father benefit entitlement — father’s right of withdrawal. These have been talking about the red-greens for five years. The red-greens have said that they're going to be like Mom and Dad as caregivers, but have they done anything about it? No, no, no. There were hundreds of fathers who a few weeks ago got a better chance of that. But it doesn’t keep going around and telling all Norwegian fathers that you’re busy as a caregiver — giving equal rights to father and equal opportunities to father — if you don’t do anything about it. It's getting a little awkward. I see that the red-greens refuse to talk about self-employment, and I understand that. It must be embarrassing not to fulfill these promises for Norwegian fathers. For the right, the parental leave concerns the child’s claim to care by his or her parents in his or her first year of life. Parental leave in our time should be an instrument, not primarily in the gender equality struggle, but a well-being that benefits the families of children. Right wants a society with less state governance and more freedom for the individual. At that time, families themselves must be given the opportunity to provide a good framework for their children and to live a good family life.
ParlaMint-NO_2010-06-08.ana.ud2232e473	It's going to be line change.
ParlaMint-NO_2010-06-08.ana.ud2232e476	The main measure taken by the government to change attitudes among employers, including the demand of Hofstad Helleland, is, of course, the ratio of fathers. Through its introduction – with which the Right would wait in its time – we have radically changed attitudes in society, both among employers and among men in relation to men as carers, and the fact that more men are now taking responsibility for tasks at home and for their own children. As a father himself and on behalf of fathers, I would like to say that I am very pleased that the Right did not get an impact on his view as they argued against the introduction of a father's quota in its time. I think the Right has also admitted that they were wrong in their time, when they now write in the comment on this matter that a father's quota has been very important to change attitudes and to get more men to take responsibility in the family. My question is simple and straightforward, and I hope that Hofstad Helleland will be able to answer briefly and honestly to the people: Will there be more fathers taking out the paper mission, or will there be fewer fathers taking out the paper mission if the Right Policy gets through?
ParlaMint-NO_2010-06-08.ana.ud2232e485	The right does not conceal that for many years we have been voting for the feather quota and for the extension of the feather quota. We think it's been right, because then society wasn't ready for fathers to take out parental leave. But there's been a lot of happening in these years, and today it's almost an expectation that all fathers are taking parental leave. It's almost like you might be a little bit curious about being a father if you don't take parental leave. It says a little bit about how far we've come into society. It says a little about how much has happened, and it says a little about Norwegian fathers who want to be at home, and who believe it is right for themselves, the child and his family that father and children have the opportunity to make strong ties. Therefore, my simple answer is that yes, I think several fathers will gradually take out more parental leave.
ParlaMint-NO_2010-06-08.ana.ud2232e490	I don't quite understand how the removal of the feather quota is going to make more fathers take out more leave, all the time you actually have to do it today beyond the feather quota. But my question relates to freedom of choice, and Hofstad Helleland's comments on freedom of choice, because she actually admits to my surprise in the post that the attitudes of employers are very different as to whether there are men who are going to take leave, or whether there are women who do the same. She admits that men meet much higher thresholds among employers and other attitudes towards taking leave. The question is: do they help employers to influence Norwegian men's freedom of choice, or do they not?
ParlaMint-NO_2010-06-08.ana.ud2232e497	It surprises me that the Christian People's Party does not trust fathers either, so that the Christian People's Party believes that if fathers do not have a quota – if fathers are not traded at home – they will not choose to be at home. It surprises me that the Christian People's Party does not support the declared electoral parties on the Stortinget. I think that's very bad. I am very sorry that the Christian People's Party is not with the Right and fights for the family's freedom and the ability to be with their children, and takes into account that there are different situations in each and every family. So that's how the labour market also changes. We now see in education how many more girls take higher education. Why should it be so much more difficult for an employer to give a female director leave than a male director? It is therefore a matter of having confidence that things are changing, but most of all, you have to do a job with attitude changes in relation to employers.
ParlaMint-NO_2010-06-08.ana.ud2232e504	The representative was in his post that too many fathers might find it difficult to take out the feather quota. I have to say that it is a bit fascinating that you always experience that there are some fathers who have such difficult jobs, but that we do not feel that there are some mothers who have such difficult jobs that they are not allowed to take leave. A survey from Nav shows that half of the mothers are home in full or in part under father’s leave, and more mothers than fathers take out unpaid leave as well. When we know that, which are the facts, what kind of consequences does the representative think a removal of the feather quota will have? If the representative then has the same answer as the representative of Arild Stokkan-Grande, I wonder if the representative of Hofstad Helleland can explain the logic here. When today's spring quota does not prevent increased withdrawals, can the representative explain the logic that even more fathers will take longer leave when removing the spring quota?
ParlaMint-NO_2010-06-08.ana.ud2232e511	Yes, logic and logic – here’s probably more about what trust you have in and what you think about Norwegian men and Norwegian fathers today. There has been a very big change in recent years, where you expect fathers to choose to be at home and take responsibility for their child, but also that the fathers themselves want it. Although the father quota disappears, I don't think it's the way Norwegian fathers stop using paper commission. I don't think it's like that when you don't put your fathers home, Norwegian fathers say that now we don't have to be home, and we don't want to be home, and we want to see a dramatic increase in this. I trust Norwegian fathers, and I think we're all going to see that.
ParlaMint-NO_2010-06-08.ana.ud2232e516	This means that the cord shift is over.
