ParlaMint-NO_2010-02-11.ana.ud2474e61	The representative, Solvency Horne, will present a proposal for a representative.
ParlaMint-NO_2010-02-11.ana.ud2474e665	NATO's core task must and must be the collective defence of the alliance's member country. Article 5 operations are the backbone of NATO and shall be governed by Article 51 of the United Nations Charter and the right to individual or collective self-defence. For the Central Party, this means that the main objective of NATO is to maintain the freedom and security of the population in NATO's own territory. Norway’s main safety policy challenges over time lie not in Afghanistan but in the north. The rumors that the territorial defence is no longer relevant are, in my view, considerably exaggerated. The issue of sovereignty still involves the presence and, once again, requires a volume. A modern defence consists of relevant technology at sea, air and land, but also heads. As expressed by the Army General Inspector-General a few days ago: ‘Platforms cannot provide people with security. When the war, the crisis, or the uncertainty comes, the need for the soldier comes. A battle can be fought between platforms at sea or in the air, but peace is won almost without exception between people on the land.» Opedal's posts are, of course, also part of a resource struggle about and in the Norwegian defence. I am aware of that, and I therefore stress that of course I am fully behind the long-term plan and the government's budgetary policy. But in a strategic and long-term perspective, Norway and NATO should listen to the Inspector-General. Both nationally and within the alliance, ambitions and resources must be related. For Norway, it is realistic to find the right balance between what we have and how many places we can be. To put it another way, the ambition for greater presence in the neighbourhoods may have the consequence that something needs to be prioritised within always tight budgets. In peacetime, in democracies, defence appropriations will never be much greater than the legitimacy of defence in the population. In the analysis in our strategic concept ‘Performance’, it is written: ‘Geopolitical developments indicate that intergovernmental conflicts and classical real policies may once again become more effective. This calls for a more balanced approach in the focus on international terrorism versus intra-State conflicts or intergovernmental conflicts than has recently been the case.’ There is a risk of increased major activisations in relation to regional conflicts. Power is in the process of moving. The United States is no longer so undisputed on its own on the powerhouse. China is now engaged in large parts of the world. Russia knows we have gained new confidence. India also shows new muscles. During the Copenhagen climate summit, we saw that the EU was set up in the process, while real major acts were trying to solve the herds. In a world where the power of the West may appear to be weakening, it is in Norway's interest that NATO's strategic concept and its interpretation emphasise that the only legitimate entity for engagement outside NATO's own territory is the United Nations. In the long term, the UN must be preferred to be a natural haven in such situations, for in a new world of multiple major powers it becomes more important than ever to have common driving rules. If NATO is perceived to have exclusive driving rules — which other countries, alliances, should the same rights be allowed in the long term? The "in area, out of business" metaphor may not appear as accurate in the future. Because Russia also has an interest in a low voltage level in the northern regions, there is initially the activity related to potential new trajectories, the exploitation of natural resources and climate change that leads to a renewed focus on security policy. It is important that we in Norway, working on a new strategic concept, have been so clear on the importance of the neighbourhoods of the alliance. It can also create acceptance and understanding in the future that small nations in the general population need to make defence policy priorities that target national tasks. It is therefore a great advantage for Norway that several nations have competences related to activities in the northern regions on the day that part of the world may appear to be even more important than today. Norway must act in such a way that we are relevant, knowledge-rich and strong partners for allies in the north. This requires considerable effort on land, as the government has started and signaled that one will follow up further, and it requires us to reach our goals of deepening Norwegian presence both militarily and civilly.
ParlaMint-NO_2010-02-11.ana.ud2474e689	I guess you could say for sure that the government constellation we have now helps to make it a little less temperature around this type of debate than we might have had if the government constellation had been a little bit different. Let me give tribute to Laila Gustavsen for addressing an important theme, a theme that, in my opinion, is being debated too little in public space, but which this interpellation contributes to lifting. There has also been some criticism of the work now being done in the various countries and NATO combined, in relation to a new strategic concept, that there will be too many expert committees and too little popular involvement around it. As Battle Force Vedum said, at last we are totally dependent on NATO having the legitimacy it has now had in the population, if we are to continue to succeed to the extent that NATO has so far done. Now measurements show that support for Norwegian NATO membership is very strong, and I have no reason to believe that, for example. SV's vision is ahead of some rapid breakthrough. It's been a long time since NATO's strategic concept could be summed up in that it was to keep the United States inside, Germany down and the Soviet out, which NATO's first secretary-general had as his thesis once. There are far more complex issues to be debated in relation to a new strategic concept, and as a member of the NATO Parliamentary Assembly, there is also something that is being debated between parliamentarians. I think I have the right to say that with the scope of the new Member States, there is no doubt that what a new strategic concept should be about is much more debated, and there are far more divisive views about this now than when NATO was a more Western European club with the United States and Canada as well. Let me, on behalf of the Christian People's Party, nevertheless point out that the security guarantee provided by NATO through Article 5 is fundamental, and we must hold on to it. Norwegian policy must be oriented towards this in the future as well, and I expect that it is of course part of the work related to the new strategic concept. So the question is how Article 5 is managed in relation to different interests between Member States, and then I want to challenge the Council of States. She had a speech in Oslo Military Society a short time ago, where at least there may seem to be a desire for a return to a more regional territorial NATO. It can be seen that operations as far away as Afghanistan should play a smaller role in the future and that more attention should be paid to the neighbourhoods. In this way, it can be said that there is a little conservative approach to it that must be called the new threats of globalisation. The question, however, is how others will react if we downplay what other countries think is important. It can come back to us in second round, that what we think is right and important, does not get the same attention from our partners. Now I also heard that the Council of State said that this was not a contradiction of interest, but then there is a question that still remains for me: what concrete new approach does the Minister of Defence propose in Oslo Military Society? In the Storting's spontaneous question hour, the Foreign Minister would not, for his part, say that our commitment, for example. in Afghanistan would be somewhat different even with such a new approach as the Minister of Defence suggested in his speech. It would have been exciting to hear something about the setting we're in right now.
ParlaMint-NO_2010-02-11.ana.ud2474e704	Let me first commend the interpellant, for this is a very important topic, and I will join the Syversen's emphasis on the need for debate on NATO's strategic concept, also in public space. I am also in the NATO Parliamentary Assembly, and we have actually been doing this since the Bucuresti meeting. The Parliamentary Assembly also joins the Madeleine Albright Group, so that there is very close contact between the parliamentarians and the main organisation on this matter. It is important to develop a new strategic concept. As some have stressed, the previous concept, adopted in Washington in 1999, has also expired because the security policy framework conditions can be described as out of date in the last decade. Since 1999, we have had the terrorist attack in 2001, with its consequences, and NATO has expanded with most of the former Eastern European countries. The most striking and perhaps impressive thing about NATO after the fall of the Cold War and the collapse of the Soviet Union and the Warsaw Pact is NATO's unique ability to adapt to the new security environment. In addition to the EU, NATO has played a key role in stabilising and democratising the new countries of Europe and the Balkans. It says a lot about the alliance that both Serbia and Bosnia today have Partnership for Peace Status, and that Albania is a NATO member. It's only been eleven years since NATO bombed Serbia. Today, the democratic future of the Balkans lies within Euro-Atlantic cooperation, not least thanks to NATO. Norway's embassy in Belgrade also had a few years as a NATO embassy and contributed greatly to the stabilisation and reorganization of the armed forces in Serbia. Since the previous strategic concept, NATO is among other things. have been involved in stabilisation in Afghanistan, following the acquisition of ISAF by the United Nations in August 2003. ISAF had been operating side by side with the American-led Operation Enduring Freedom since December 2001. But as important as the back cover of a new strategic concept is the new broad approach to security. Defence policy must now go hand in hand with dialogue, with conflict prevention, with democratisation, with development and climate action — the new concept of security policy, or to say it in English, ‘comprehensive approach’ to security. Perhaps even more important is the role of nuclear weapons in NATO. In May of this year there is a new supervisory conference for the Non-Proliferation Agreement. Five years ago, the Conference of Supervisors ended in failure. It is now absolutely essential to move on with both nuclear disarmament and non-proliferation. Let me add: NATO must not stand up in the situation that the alliance's nuclear policy becomes an obstacle to President Obama's attempts to negotiate with his Russian counterpart. For Norway, it must also be important that NATO remains a forum for the security policy dialogue between Europe and the United States. As a non-EU country, we are dependent on the transatlantic debate on the security challenges of allies taking place within the framework of NATO and not bilaterally between Brussels and Washington. At the same time, as the Minister for Defence also stressed, a new strategic concept must state that NATO is a defence policy alliance. The contrasts which today are quite prominent, between new and old countries, must be taken into account. It is not easy, but it is also important to focus on the defence policy challenges facing the alliance. This applies, inter alia, to: the need for a fundamental reform of the integrated structures, inter alia: The command structure of NATO. The decisions of the 2002 Prague Summit, namely the Prague Capabilites Commitments, and the burden-sharing between countries also need to be reviewed. The same is true of NATO Response Force and its use. Further work on NATO's strategic concept will also need to reflect NATO's relationship and cooperation with other international organisations. It includes the UN, but also various regional organisations such as the African Union.
ParlaMint-NO_2010-02-11.ana.ud2474e725	It is not every day that we manage to launch a defence policy debate in this Chamber, nor among the press in Norway and, to a large extent, not specifically for Norway either – the defence debate has not been very high on the agenda lately. That is why I would like to thank the representative Gustavsen for bringing it up today, and with a lot of good points during the post. State intervention also gave very positive signals as to what Norway's view of NATO's new strategic concept will be. I think we're facing quite major challenges when we're trying to get the concept to reflect on some of what we have on the agenda, and I'm thinking especially in the north. I've had the pleasure of being in this department for many years, and we've tried many times to point out the significance of the northern regions. I remember that when I arrived at the headquarters in Ramstein in 1999, the map of NATO did not cover even all of Norway. It ended at Trondheim. It took only two weeks to get it in place, but still – there is some kind of reluctance to believe that we have special conflict areas in the north. Many believe that the southern Mediterranean is very conflicty. When the representative of Kristiansen, and also the Council of State, points out the importance of this, I support it, and I think we must be quite imaginative in stressing the importance of focusing on the north. NATO has gradually become 60 years, and there is no doubt that the alliance is a success story. There shouldn't be much imagination to think that the period we've been through could have been completely different if we hadn't had the relatively strong NATO alliance during the Cold War. When the wall fell, there were many who thought that now NATO must cease, now NATO has no room anymore. I remember being on my way to a NATO meeting in Amsterdam just after the Wall had fallen, and then I remember the taxi driver saying, "I'm so glad my son is going to grow up in a peaceful world." Yes, I thought, it's good to be optimistic, but I don't have any particular faith in it. Well, we have managed to maintain peace in Europe, thanks to NATO, but not least thanks to the European Union, on which the representative Gustavsen was involved – I very much appreciate that it was also said in this Chamber. I had the pleasure of being in a NATO position when the new concept was created in 1999 and we were going to translate it from a strategic concept to a concept for the military forces. It was a pretty big challenge, because the threat was not what it had been before, and for what were the forces to be used? Then it was just focused on what's still a topic today: operations outside the core areas of NATO, where you're going to help resolve a conflict, where you're going to create peace. That was especially the point of creating peace that was the main point for us, and that we also included in the military exercises that were to be conducted. Because, with NATO's military capacity, it was not at that time – and it is not today – a great danger of losing a military conflict. Creating peace is much more difficult. I must be allowed to say that it is not everyone who has been on the world stage trying to create peace, who has thought through the problem from winning a military conflict situation until peace has been created. Because it's much harder. Gustavsen mentioned Article 5 and that it must be of greater importance. I think it's very difficult to gain greater importance, but that it has to be the core of NATO, there's no doubt about it either. Gustavsen was also concerned that we should look at the extensions. I'm very sceptical that we're going to go a little bit further in the expansion of NATO at the moment. It will quickly create conflicts. Imagine if Georgia had been a member of NATO when the conflict appeared there. We're going to be weirdly restrained. Fogh Rasmussen said the alliance is going to have to be a forum for constellations in global security issues. He emphasized that in his lectures in Munich this winter. Much indicates that the alliance is likely to deal with more conflicts outside the NATO alliance than within.
ParlaMint-NO_2010-02-11.ana.ud2474e751	To the previous speaker, Lars Myraune, I just want to say one thing. He called for defence debates and said that there are not so many of them. Well, we're constantly discussing the conflict in Afghanistan, which can be said in many ways to be a conflict where NATO's commitment would not have been if it wasn't just for the changes in NATO's strategic concept 11 years ago, which opened up to a greater degree of out of area operations, and which also created one of the things that SV has been very critical of in terms of NATO cooperation, namely the possibility of entering into without a UN mandate. One of the other things we've been busy about is NATO's first strategy and the resistance to the first beat strategy, which in many ways was one of the reasons why SV was founded in its time. Now we have a government – and we are several representatives – who are just talking about the need to change NATO's first battle strategy. We're discussing how NATO can go back to the core tasks to a greater degree than before. I think this is a very positive development. We have a government statement that states that we should not intervene internationally without UN operations. To Hans Olav Syversen, who was so critical here of the fact that this is going to be a less heated debate, I would say that I am very pleased that we have a development that goes in such a direction. But what's the main point of my post is that I sat and looked at the direct Obamas – the time Presidential candidate – talking where he was standing in Berlin in front of tens of thousands, if not hundreds of thousands, of people and saying he wanted to work for a nuclear-free world. I thought, "Help me, if this man gets power, there's hope for the future." I believe that the space that exists now, the space that is created on the basis of the fact that you have a president who has a completely different attitude to the nuclear question than George Bush had -- who, in my opinion, undermined part of the Non-Proliferation Agreement through part of the arrangements they made, who started an upgrade of a nuclear weapon shield that only created provocations and in addition helped support the nuclear industry in the United States, including. focus on making smaller nuclear weapons that could be used for, inter alia: Explosion of bunkers - gives us a completely different opportunity to take a step towards a nuclear-free world. I believe that there we have as biging, as backing and team players for the Government on these issues, a central role to play. Why is the strategic concept of NATO linked to the objective of a nuclear-free world and the Non-Proliferation Agreement, which should be the supervisory conference in May? That's because the role that NATO can play in taking steps in the right direction will be crucial. After all, when the Non-Proliferation Agreement was signed, it was an agreement in which all countries committed themselves to ensuring that those countries that did not have nuclear weapons would not have it in the future either. The counter-deal from the nuclear powers was just that they were going to work towards a nuclear-free world, for disarmament and for a nuclear-free world. Then it's extremely important that NATO, as a nuclear power, NATO, as an alliance that has nuclear weapons as part of its strategy, takes concrete action, takes concrete steps, and makes concrete changes to make sure to move in the right direction. We have three things that we think are concrete and important. One is that you have to remove the possibility of NATO using nuclear weapons first. For me it is, profoundly speaking, a moral question. If it is that a country, a nation or an alliance is willing to use nuclear weapons first, they really take responsibility for the eradication of human civilization as it is. That's why I think it's wrong. In addition, it will be important to remove the possibility of self-imposed restrictions to ensure that other countries in the world that are now striving to acquire nuclear weapons understand that nuclear weapons are not a real weapon that can be used in war, but a weapon that is purely political. The second is that we have to eliminate the deployment of American weapons in Europe. I'll just briefly say why it's important. It's important because in the United States, where the debate is going, they keep thinking about saying that the European allies want these weapons. We must therefore, as European countries, say that we do not want that. Third, here I'm just going to end by saying that we have to reinforce the goal that we have.
ParlaMint-NO_2010-02-11.ana.ud2474e770	The debate is coming to an end. There have been many good posts. I just want to have a perspective within my measured speaking time, when we discuss NATO, which in my opinion is very important that we do not forget, namely the historical perspective. What was the background to the establishment of NATO and North Atlantic cooperation? I allow myself to quote two sentences from the so-called joint program of the parties in 1945: ‘The country’s defence is built up according to the experience of the war years, so it can be a protection for the country and fulfil our international military obligations. A positive effort is being made to establish an international security system on a legal basis.» It is important that we sometimes go back a little bit in history, and think through what was the background for – today – NATO, since that's what's on the agenda. There was a big debate in Norway after World War II. The goal was: never more than 9 April 1940. What was it right for Norway to do in such a situation? For a long time – or at least for a good period – a Nordic defence cooperation was worked on. You didn't do that. One thought it was right to associate with North European and North American friends after the war. We got the debate on the so-called Atlantic Pact, to which the Stortinget joined in 1949. I think it is important that we in a debate, when we now talk about the new strategic concept of NATO, also think about what was the situation 60 years ago. So the world has changed a lot in 60 years, and so has NATO. That is why we are discussing the new strategic concept. The world will continue to change. So NATO also has to change. It's important to shut down -- let's say -- some arrows for what kind of NATO we see for ourselves. Anyway, NATO is and must be a defence alliance. It is important to identify what is going to be NATO's core tasks. I don't know if it's right to use the concept of "put more" on the core tasks, which I hear people now using in the debate. I don't know if it's going to be right to say that you're going to bet more, if that means that you're going to bet less on something else. For the world is now quite complicated, so we have to bet on what was the traditional core tasks, and on other things, because the world and NATO cooperation are facing new challenges. We also have some challenges with the Norwegian defence linked to the new strategic concept. NATO's new Secretary-General, Anders Fogh Rasmussen, was not long after his appointment, at a meeting in Stortinget, where he met the Foreign and Defence Committee. At that meeting, he said – I think he used that term – that he was concerned about how NATO defence was organised. The defence of NATO countries has major structural and organisational challenges. The defence of the NATO countries is made at a time when it was the cold war that applied and the threat picture so completely different. Today the world looks different. That is why NATO must change, and that is why the defence and defence structures of NATO countries must also change. That was Fogh Rasmussen's message to the Foreign and Defence Committee. Finally, a few points that are important to Norway in the debate on the new strategic concept and that become more important and important as the world appears. It concerns NATO's relations with other international organisations. One is NATO's relationship with the United Nations, which is important to Norway because Norway is a major contributor to the United Nations, and we all, at least most, have a positive and good relationship with the United Nations. The second is NATO's relationship with the European Union. For Norway as a non-EU member, it is important that we focus on how NATO will cooperate with the EU in the coming years. Finally, Russia is also an important point for Norway in the further work on the strategic concept. I meet colleagues in the NATO Parliamentary Assembly of the Baltic States, from the United Kingdom and other NATO countries, where the scepticism of Russia, I think almost to say the hatred of Russia, is very great. We have to make sure to balance that we are both NATO members and have our friends in the NATO alliance, and that we also have a good relationship with Russia. It is important for Norway that we bring it into the work in months before which we now stand.
ParlaMint-NO_2010-02-11.ana.ud2474e796	Let me first of all thank you for a good debate, which shows that there is a broad welcome in this Chamber on our membership of NATO. I want to link a few comments to some of the things that have been presented. Let me then go back to what is the current strategic concept, which was decided in 1999. There you didn't really talk much about out of area. Then came the Nine-Eleven terrorist attack and Afghanistan, and suddenly operations outside their own territory became what almost took all the focus of the alliance. I think that is a very important point when we are now discussing what is NATO's strategy for the future. We can never be obtrusive about global development, and it also always affects what's happening in NATO. I want to stress that I do not see the big conflict between being involved in the neighbourhood initiative, as the Government has taken, and what is the Norwegian interest in participating in international operations. It is – as I said in my main post – two sides of the same case and lies in reciprocity, on which also the representative Syversen was in, in the NATO Alliance and Article 5. So, yes, please, both. I want to make some comments about what's going on in the economy, because we're in a financial crisis. It also challenges the defence economy in many Member States. It also does so in many EU countries. I spent some time in my main post on what's going on in the EU, and what's been going on in the EU in recent years. I believe that some of what we need to be concerned about is cooperation – the partnership – also in terms of the most efficient use of resources. There I think there are opportunities to do more in the future. And then there's nuances in how open we're going to be to membership. I think that in line with the fact that, which everyone has really talked about here, the world is changing day by day and becoming more closely integrated, it is very strange that you should say no at the same time, you should just never be open to new member countries. I think it's very important that you have some clear demands, which I was in the middle of my post, about what's going on to become a member of NATO cooperation. So just a slight comment about ISAF. I think it must be clarified here from this speaker that the ISAF operation has a clear UN mandate, so that has been said. And thank you all for a good debate!
ParlaMint-NO_2010-02-11.ana.ud2474e811	I would also like to thank the inter-pellant for the initiative to have a debate on this important issue. I will try to give short answers to the questions that have come up. Let me first say to the representative of Kristiansen from the Right, who asks whether there are consequences for the Norwegian defence when NATO is now discussing its strategic concept and also reform, that it is clear that the capacity of our Norwegian defence will be served by an effective alliance, and that therefore the reform work, as well as the revision of the strategic concept, is important. Of course, reform work, in addition to the political dimensions I have gone through in connection with the concept, will focus on how we can develop better common planning systems, better command control systems and more integrated exercise activities. The representative of the Seven of the Christian People's Party asks if I am in charge of either or. I'm not doing that. Our neighbourhood initiative, which was presented in 2008, is an expression of the fact that when we are entering the process of revising the strategic concept, we must be able to balance ambition and resources and think about long-term as well as short-term needs, which are not least linked to our participation in international operations. As for the heart attack from Myraune about him not finding Trondheim on the map, I have to say for my part that it has been interesting to see the interest I have met in these short weeks I have been Minister of Defence when I have taken up the neighbourhood initiative with my colleagues in both the United States and Canada, Nordic countries and others. It gives a renewed interest to discuss both climate challenges, energy resource management and new transport years. Of course, we will continue our work of raising awareness of the alliance around these questions. Finally, the question of the future deterrence of the alliance, including the importance of nuclear weapons, will also be central to the new strategic concept. The government's overall objective is known, and we want to work on the fact that this issue is also relevant to the further work on the concept.
ParlaMint-NO_2010-02-11.ana.ud2474e826	The debate on substance is closed. 2 is over.
ParlaMint-NO_2010-02-11.ana.ud2474e840	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each lot and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-02-11.ana.ud2474e849	Today, the Storting treats a Document No. Eight proposals from the Progress Party on an action plan for enhanced oil protection. The proposal is to be confused quite like a proposal and a matter which we discussed here in the Grand Duchy two years ago, including a document No. 8 proposals from the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities. The Committee has therefore also referred to this in its observations. Then you can ask yourself whether it is appropriate that the Storting should use time and capacity to deal with a similar proposal as soon as possible. In this case, I believe it is useful that the Storting takes a new discussion, because there have been several events since the last time, and because the fact that the theme is put on the agenda gives us the opportunity to comment on current issues within the area. The Committee is very concerned that the major activity taking place in Norwegian waters requires good maritime safety and oil protection. The Committee points out that clean seas are essential for Norway and Norway’s reputation, because large parts of Norway’s population ‘live and work in relation to what is produced in the sea and along the coast’ — hence the Committee majority’s impatience in obtaining an action plan and an environmental risk analysis, some of which are more impatient than others. From the Right, we have not found it right in this round to go into and define and define individual elements of such a plan before it is available as promised by the Ministry. We think that is unyielding, but I must nevertheless add that the impatience in the Right is also great. I hope that the Council of State will note this, and that the matter will soon be discussed, as promised in the letter of the Council of State to the Committee. The Full City Sea at Langesund once again showed that emergency procedures and handling are still far from optimal in Norway. The majority of the Committee therefore requests the Government to carry out an in-depth external evaluation of the oil protection operations and oil protection preparations in connection with this accident. I hope the majority of the Storing will join in this during the voting. In the Right's alternative budget proposal for the current year, we strengthened oil protection by 20 million. kr for increased towing boat capacity. In the right, we also thought that this money should be earmarked for the Rescue Company, which performs an outstanding preparedness and – we say – first line service in this important rescue work. They are often first in place, early in place, and have averted many major disasters that could have disastrous consequences. In the case of the German submarine U-864, located outside of Fedje, the raise has taken a new turn. A new report states that the Coastal Administration's handling of this matter is very incomplete. On the right, a quick case of this is expected for the Storting, because it is now important to move on to removing this source of pollution, so that the reputation of Norwegian seafood can still be maintained at a high level, and that the local population can feel safe. In the Right, we do not want any uncertainty about this and therefore ask the Council of State to follow up its response to the undersigned in a Question Time the other day, as soon as possible.
ParlaMint-NO_2010-02-11.ana.ud2474e868	The Committee did not endorse the proposal of the representative of the Progress Party on an action plan for enhanced oil protection, as the rapporteur explained. But it ended up with the majority in the Committee, the Progress Party, the Right and the Christian People's Party, supporting the proposal for an external investigation of the Full City Sea outside Langesund in Telemark. For the Workers' Party, transport safety and preparedness are important areas of activity. The great activity in our waters means that maritime safety and oil protection must have a high focus, precisely in order to avoid such tragic accidents as we have had. And it is important to learn from these accidents in order to improve safety and preparedness. That the Workers' Party and the Government take this seriously, we have shown and show through what has been done in the last four years, and what is in the budget for the current year: A significant increase has been made in the appropriations for State oil protection equipment. Appropriations increase of 88 million. In 2009 we will continue in 2010. In addition, the main depot of Fedje is reestablished. So we've done a significant upgrade of oil protection equipment. Many measures have been taken in recent years to improve maritime transport safety. It has been set up in Vardø, and the towing gear has been strengthened both in North Norway and in the South. The development of towing gear in the West is now under consideration. Although all of this has been implemented, there is no disagreement in the Committee that an action plan for enhanced oil protection should be put in place. And as the ministry has explained in a letter to the committee, the ministry is in the process of doing a job that could result. The difference between the representatives of the Progress Party and the rest of us in the Committee is that the rest of us think it makes sense to await the updated Environmental Risk and Preparedness Analysis and their recommendation to the Action Plan. This is, of course, important information that must be the basis of an action plan — and not populist proposals that will not produce good enough results. Of course, with regard to the proposal for the external investigation of the Full City Sea, we in the Labour Party agree with what is outlined, that we must wait for the Coastal Authority's own evaluation before concluding on how to proceed. In addition, I would like to remind you that we have the State Disaster Commission for Transport. The Maritime Department of the State Maritime Commission for Transport became operational from 1 July 2008. As in the case of accidents in the other modes of transport, maritime accident investigations are aimed at identifying matters of importance for the prevention of new accidents and serious incidents and at improving maritime safety in general. I am aware of the fact that the State Emergency Commission is working with both the flag State and the shipping state to identify the cause of the Full City Sea.
ParlaMint-NO_2010-02-11.ana.ud2474e895	Traffic along the Norwegian coast will increase sharply in the years to come, including: due to increased international trade and increased Russian oil and gas activities. In contrast to motorways and railways, the lake is a free, almost unlimited-capacity transport year, but the State must provide oil protection and other safety measures. Strong and reliable oil conservation along the coast of Norway is also important in view of Norway’s international reputation in relation to exports of fish, Norway as an international tourist destination and Norway’s reputation as an environmental nation. North of Norway is part of the fishing fleet included in the preparedness, which I was informed at the coastal works conference in December last year. This was done because many fishing boats have a significant towing capacity, such as: used for radiation. This available capacity is then common in the sea and therefore makes sense to include it in the emergency response. Where this has been done, it has been successful, and many incidents that could have led to serious accidents have therefore been reduced to near-accidents. Therefore, the fishing fleet is an important resource to put into use and should therefore be included as a natural part of Norwegian oil protection. The base support of the ‘Full City’ ship showed that oil preparedness along the Norwegian coast is too poor and that long-term changing governments have not prioritised oil protection preparedness. This is disappointing. The Progress Party - yes, the opposition - has this year after year, among others. in budgetary positions of the Transport Committee, warning of the poor oil protection response, but little or nothing is being done. Only when the accident is out does it look like it's going to be a little bit of a reaction, but we want a precautionary principle. When preparedness is in place, there is greater certainty that what could have been a major accident is almost an accident. Unfortunately, the 'Full City' has not been the only oil accident we have had in Norway in recent years. The cargo ship «Server» is listed on 12 January 2007 outside Fedje in North Hordland and 600 tonnes of oil leaked from the boat. Following the ‘Server’ loss, an external evaluation was presented by Norconsult on the management of acute oil pollution by the Swedish Coastal Agency, but only after pressure from, among others. The party of progress. I am therefore very disappointed that the government now seems to be in favour of an internal evaluation of the Full City Sea, instead of doing the job as well as last time, by leaving this job to external personnel. In 2005, the Stortinget addressed its own forecast of maritime safety and oil protection preparedness. The Progress Party, the Socialist Left Party and the Center Party then promoted a joint proposal to ensure a towing boat capacity along the entire Norwegian coast with a normal response time of 6 hours, and a maximum of 12 hours based on the coastal route. Today, ten years later, SV and the Center Party have changed their mind. This I think says a good deal about red-green credibility. In addition to the Committee's recommendation to which the rapporteur has referred, the Progress Party will present the proposals which the Progress Party has in this matter, either alone or in conjunction with the Christian People's Party, i.e. the proposals No. Two, three, four.
ParlaMint-NO_2010-02-11.ana.ud2474e910	The representative Inbjørg Vosskensen has addressed the suggestions she referred to.
ParlaMint-NO_2010-02-11.ana.ud2474e913	There is a high level of activity in Norwegian waters, which requires good maritime safety and oil protection. Clean seas are essential for Norway. Therefore, safety against pollution is a high priority. A large part of Norway's population has their livelihood based on the sea, what is produced there or along our long-range coast. The Government has substantially increased the annual budget for investment in its oil protection preparedness. There is also an increased focus on upgrading depots and equipment in general. The centre party is positive that it is working for sailing managers along the whole coast. We think it will be of great importance for future preparedness. Towing gear has increased and further plans are being made to strengthen it further. The Government and the Central Party support the continued commitment to oil protection continued to be based on the carrying out of environmental risk and preparedness analyses. The analysis being carried out by the Swedish Coastal Agency will provide input on how, among other things: shall ensure good material investment, changes in deposits and the recommended framework for courses and exercises. As mentioned above, the Coast Guard Agency will carry out an internal evaluation of the Full City action. This evaluation will cover the Coastal Authority’s action management and all parties involved externally and internally. We think it's important to wait for that. The evaluation will provide an overall assessment of the entire action and could provide a basis for justified improvements and recommend methods and new measures. I therefore believe that oil protection is a high focus today, the priority is clear, and there are a number of measures coming from the Ministry of Fisheries and Coastal Affairs. On this basis, I would like to refer to proposal No. 1, concerning document No. The 8th proposal shall be annexed to the minutes.
ParlaMint-NO_2010-02-11.ana.ud2474e932	The representative, Janne Sjelmo Nordås, has taken up the proposal she referred to.
ParlaMint-NO_2010-02-11.ana.ud2474e935	It is five years since the Stortinget dealt with the last message of maritime safety, St.meld. No 14 for 2004-2005. So it's been five years. We've had months of experience since then, and I'm glad that we can now raise this to a higher level on the political agenda. I therefore agree with the case spokesperson, who says that there have been several things, and that it is therefore useful to have your own review. I would like to refer to the Swedish Coast Guard Agency’s 2005 report on oil protection, which shows that oil protection in Norway is too poor. This report confirmed that preparedness should be strengthened. I don't feel that report has been followed up in a good enough way. I am also pleased with the representative Bratli saying that a person is working on an action plan. On the part of the Christian People's Party, it has been important to address the proposals that we think might be useful to address in this action plan. It shall apply, inter alia, to: ensuring adequate security coverage, the equipment and condition of the equipment, which we want to ensure a good level of preparedness. It also applies to the proposal to ensure as soon as possible a tug-boat capacity along the entire Norwegian coast with a normal response time of six hours, and a maximum of 12 hours based on the shoreline. These proposals may be useful and good for the department to include in its work on the action plan. But the Christian People's Party has not chosen to go into the last proposal, proposal No. 4, from the Progress Party. It is not because we disagree with some of the substance in it – we are impatient – but we want to give the department sufficient time to arrive at a thorough and good result. The rescue company is making a very important effort at sea to save people from accidents at sea. The rescue company is in a range of downriver along the coast. The rescue company is also part of the backbone of oil protection along the coast. What I would like to challenge the Council of State is whether it should be appropriate to conclude agreements with the Rescue Company, which involves the purchase of services in the field of oil protection in general and towing equipment in particular.
