ParlaMint-NO_2010-04-28.ana.ud1511e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-04-28.ana.ud1511e166	The President must be allowed to point out that follow-up questions should relate to the main question. Although the question is addressed to the same expert council, it is far from the main question that was originally asked. However, the President gives the Council of State the opportunity to answer the question, if she wishes.
ParlaMint-NO_2010-04-28.ana.ud1511e171	I would first say that if all drivers had held the speed limits, had belted and ran sober, then the number of serious traffic accidents – the number of fatalities and serious injuries – could be halved. It says something about how important this is. Seeing what we can do when it comes to avoiding running in a drug-induced state is the main priority of the Government. What is most relevant is a test scheme with an alcolock for drivers who are in a russian program. But I'm going to promise Hareide that we're going to evaluate the entire report very carefully. I'm set to see what we can follow up on.
ParlaMint-NO_2010-04-28.ana.ud1511e176	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e179	The questions of the left concern road safety. I hope it's relevant to the President. In January 2007, the Right and Left promoted a proposal for a representative to establish independent roadside supervision. It received support in the hall from the Progress Party and the Christian People's Party. The government set up a selection which presented its report in February 2009, the majority of which was to establish independent roadside supervision. The report has now been out for consultation and the deadline for consultation was in August 2009. In February of this year I asked the Council of State about the progress of the decision, and the Council of State then said that she would return as soon as possible. «As quickly as possible» is a relative concept, but I would assume that «as quickly as possible» is before we split up in June in spring, is that correct?
ParlaMint-NO_2010-04-28.ana.ud1511e188	It is true that the NOU dealing with traffic control has been listening. It is also such that there are shared views among hearing authorities. This is a matter for the government to consider carefully how we should follow up, because the supervision proposed there was not comparable to supervision in the corresponding country. It's also so that there's a huge cost of getting supervision in place. The question is, should we possibly spend between 50 and 100 million dollars? for supervision, or whether we should use even more resources, for example: on road safety. What I can tell you about the progress is that the matter comes when it comes. She does not come in time for the Storting to be treated in ours.
ParlaMint-NO_2010-04-28.ana.ud1511e195	Let's move on to the next main question.
ParlaMint-NO_2010-04-28.ana.ud1511e198	Our roads are in bad condition. This affects road users and leads to higher transport costs and reduced accessibility, especially in districts. It should be of interest to the Center Party. For a long time, we have now seen the need to take back this great delay, which has become very clear and noticeable to road users. All parties and several governments have recognised this, but we still have a maintenance run of NOK 20 billion. To re-establish this, the Right has proposed a maintenance fund of DKK 50 billion and some other instruments such as OPS, such as the modernisation of the sector. However, the government will not listen to this, but will instead use every opportunity to boast that they are now spending more money on the road than previous governments. Yes, that's right, but then the action space has also increased significantly. Never in modern times have construction costs increased so much in so few years, either. If you really get more for the money, you're left to see. In the NTP, the government says the following: ‘The objective of creating a significantly better standard of operation and maintenance on national roads is a priority.’ Former Minister of Transport Navarsete said it would smell asphalt all over Norway. But then it says in a statement: reserves that the oil price does not increase. I would ask for a concrete response from the Council of State: does she believe that the plans currently in place are sufficient to prevent further deterioration of road standards?
ParlaMint-NO_2010-04-28.ana.ud1511e219	100 billion kr more to road, rail, ports and ferries the coming ten years: we can't have so much cost development in this country, even with the most pessimistic views from the Right, that we don't see anything back to the road and the path for those funds. We're busy taking back what we're seeing now, but we're actually talking about years of neglect when it comes to roads. That is why we have now had a review of both road maintenance and how it can be organised – what is the impact of the changes that took place in 2003. That's why we're now looking at whether we can make improvements in the different contracts. In the construction of a new E6 on Helgeland, a combination of development, operation and maintenance is being tested by the State Road Service. They're trying out smaller contracts in the West, so they can exploit local entrepreneurs even more. I have to remind you that we have actually increased the permits for maintenance from NOK 6 billion to NOK 9 billion, that we have announced a further increase, and that it smelled asphalt all over the country last year, and the representative Halleraker can actually enjoy it even in the year that we are now in.
ParlaMint-NO_2010-04-28.ana.ud1511e228	It's probably not just the Right that's a little pessimistic. I stand here with the Public Road Service Action Programme for the next three and ten years. Here it's called 23 pst. the national road network is now categorised as poor and 8 pst. That's very bad. So the report goes on to say: ‘The frameworks for the operation and maintenance of the road network will not be sufficient to stop further growth in the maturity’.» This is scary reading, because it says that from 8 pst. highways with ‘very poor tyre condition’ will increase to 20 pst. in the course of four years. How does what the State Road Service points out here correspond to the answer just given by the Minister of Transport?
ParlaMint-NO_2010-04-28.ana.ud1511e238	First of all, we are some at one point both the State Road Administration, the Halleraker and I, I believe, and it is that there have been many years of neglect even when it concerns maintenance on the road. It is the railway that it has focused our most on this winter. But we start the year with a national audit report that tells us exactly the same thing. This means that we need to step up efforts to see if we can get even more road maintenance for the money. That's why we're going through the contract forms, and that's why we're now looking at the scope of the contracts and the experience so far. That's also because we have equipped the county councils with extra funds. We have even been told back that the county councils are now prioritizing road maintenance beyond what one could actually expect from the state budget for 2010.
ParlaMint-NO_2010-04-28.ana.ud1511e245	Three follow-up questions are raised – first Ingerd Schou.
ParlaMint-NO_2010-04-28.ana.ud1511e248	I think I'm going back to Halleraker's question, which I perceive the Council of State did not answer. It's about the plans that now exist, that they don't actually worsen, but improve the standard on the way, and that the lag is documented at NOK 20 billion. On the right, as you know, we will have both maintenance funds, we will have project funding, Public Private Cooperation on financing, overall planning and modern organisations. It seems that party leader Halvorsen is right when she says that the government lacks booze and will not use any new tools at all. Why does the Minister for Transport argue so strongly against new instruments and perhaps not consider using them in three to four years' time? But back to the question: Will the plans that are now in place be able to recover and improve conditions?
ParlaMint-NO_2010-04-28.ana.ud1511e257	What's our ambition is to take it back, and that's to strengthen the maintenance. We know that we – literally – have a way to do it. But this has been the case for a long time, both on the road and on the railways and, to the extent that it is also on public buildings, that the maintenance has been neglected – because of this commitment and the measures I have already mentioned for Halleraker. And then I have to be allowed to say that when it comes to new tools, you can ask, what's the most important thing here? Is that a new tool? Is it more expensive? It is such that the OPS solutions that we have tried so far were not more reasonable. They weren't more expensive either. Progress was faster - that was the point. Therefore, we are now looking at how we can follow up with faster progress, because we have more money in the national transport plan than the Right had.
ParlaMint-NO_2010-04-28.ana.ud1511e264	Arne Sortevik - for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e267	It is good that the Right is also concerned that we need to build modern, safe and environmentally friendly roads and with new financing tools. It's necessary. The road standard in Norway is going to get worse in 2010, despite all these promises that we have heard so much about. Now that the Council of State even in the previous response refers to good and bad and expensive and less expensive financial tools, there is reason to recall that the most expensive thing is to buy the way to pay. In the last period, through 30 toll cases, the drivers in Norway purchased their way to hire – a total investment of DKK 90 billion. The drivers were forced to contribute NOK 68 billion, so thanks for the help they got an extra bill of NOK 13 billion through collection costs and building loan interest. What will the Council of State do to replace the drivers’ deliberations on the purchase of payments by government funding?
ParlaMint-NO_2010-04-28.ana.ud1511e274	What is the main financing of the Government's arrangement over the next ten years is government funds. Then there is a local pressure to put in place more toll projects, thus putting in place additional projects – either before or getting them funded at all. That I think is a good combination. I intend to recommend the two main forms of funding in the future. Then it may be that in some places and in some areas there are extra layers of measures that should be considered. The toll companies themselves have continued to search for the best possible use of the money on the road. There is the clear figure that tells of improvement.
ParlaMint-NO_2010-04-28.ana.ud1511e281	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e284	I share Halleraker's concern for our roads. We have a huge maintenance run. The Road Directorate says 23 pst. Of our national roads, we have too bad a standard, and we're experiencing a decay. Is it not then natural to consider the establishment of independent roadside supervision to assess precisely these problems? This winter we have had a very great need for an independent aviation oversight. We also need an independent railway supervision. But some of the biggest challenges we have when it comes to our roads. In the NTP, the government said that this is something you want to assess, and that you want to bring a case to the Stortinget in 2010. Can the Council of State confirm this? What are her thoughts about a private, independent roadside supervision?
ParlaMint-NO_2010-04-28.ana.ud1511e292	We must not pretend that there is currently no supervision in the road sector. On the contrary, the state road system operates at both regional and district level and follows the constitution of the various roads. There is no lack of supervision that causes maintenance to lapse. I assume that Hareide, who shares the concerns of the Storting, also assumes that when it comes to road maintenance, there are many years of neglect — including under the government he himself was part of too short a time back. What we need to clarify when it comes to independent supervision is whether we're going to use new funds here for a supervision that we don't have a complete overview of – it's not that concretely outlined – or whether we're going to spend more money directly on the road.
ParlaMint-NO_2010-04-28.ana.ud1511e299	Let's go to the next main question.
ParlaMint-NO_2010-04-28.ana.ud1511e302	My question goes to the Minister for Fisheries. The majority of Norwegian farming takes place in sea memoirs where feed games and excrements are directly released. Calculations based on figures from the Climate and Pollution Directorate show that Norwegian farms emit nutrient salts equivalent to sewage from 8.8 million people. Sewage emissions from Norwegian farming plants are depleted in the sea — and now correspond to emissions from nearly twice the population of Norway. In 2009 each Norwegian household paid an average of NOK 2 920 per year in the sewerage fee. The breeding industry pays nothing. Only in 2009 emissions increased by 9 pst, in line with the growth of the farming industry. Calculations show that the farming industry contributes close to 80 pst. of the man-made phosphorus inputs and more than 60 pst. of the man-made nitrogen inputs on the coastal stretch from Lindesnes to the Russian border. Excessive nutrient discharges may lead to over-fertilisation, which in turn may lead to poor water quality and reduced biodiversity. When we look at the serious conditions we have had with salmonnus, where trade unions and environmental organisations agree with the Christian People's Party that we have major challenges, we also have challenges in relation to this with sewage emissions. In view of this, my question becomes to the Council of State: How does the Council of State assess the implementation of the adopted increases in the number of farmed fish for the current year, so-called maximum authorised biomass?
ParlaMint-NO_2010-04-28.ana.ud1511e313	In order to establish aquaculture production, of course, an application for an emission permit must also be made. All farms must have an emission permit from the environmental protection authorities, and I take the view that environmental protection authorities do not grant emission permits for more nutrient salts than the environment around the site can tolerate. Of course, I also assume that the breeder is related to these permits. Then it is that for the current activity, surveys are required before a locality is put into operation and start breeding activity, but investigations may also be required in the course of production. It's done in a lot of cases. As regards future growth, it is also based on an environmentally sustainable strategy that underpins all work and developments in the aquaculture industry. I also assume that the various agencies responsible for authorising growth follow up in that area. It is the environmental protection authorities that are to grant a permit, and emissions permit, in the normal way. So there won't be any new growth without it being environmentally sustainable.
ParlaMint-NO_2010-04-28.ana.ud1511e322	Here I feel that the Council of State does not answer my question. For one, obviously, there is no control when emissions corresponding to sewage emissions from 8.8 million people go straight into the sea. We know the conditions in Chile, with an industry that now has its back broken. Of course, we are concerned about Norwegian farming. Then I ask the Council of State if she doesn't now have enough knowledge, both in terms of the challenges we've had with the salmon problem, and the challenges we now have with sewage discharges, to say a clear refusal to increase the number of fish in cages along the coast.
ParlaMint-NO_2010-04-28.ana.ud1511e329	It's so that things are connected here. Although a breeder may be granted a new concession, a new permit for growth, the breeder and the company may not use that crop if they do not have an emission permit. One is totally dependent on having both an approved site and an emission permit to use that crop. If you don't have it, it doesn't help with new concession or new growth. Fortunately, there are also some other contexts that work for the environment. If one succeeds in producing farmed fish, one depends entirely on having a good environment. A site that may be overconsumption — to use such a word — will not be optimal in relation to the growth of the fish. So here the breeder has a genuine interest in making the best use of the premises. It also gives the best economy for the breeder.
ParlaMint-NO_2010-04-28.ana.ud1511e336	Three follow-up questions are raised – first Knut Arild Hareide.
ParlaMint-NO_2010-04-28.ana.ud1511e339	I have to take advantage of the opportunity to congratulate the Council of State, as a specialist council, on yesterday's negotiated solution with regard to the divider line. It must give inspiration to take greater action — and I am thinking that we are experiencing a breeding industry that is releasing food-related sewage discharges for 8.8 million people. We know that we have major challenges related to the salmonid problem, and we know that telling all salmonids will be cut off for fishing because of this problem. Nevertheless, the government is considering expanding the amount of fish in surplus, which we know is one of the main challenges attached to this issue. My question is, in view of the gravity of the situation we are currently in, can the Council of State say that this extension will not take place?
ParlaMint-NO_2010-04-28.ana.ud1511e346	Let me first thank you for the congratulations. I do not hide that it was also a great day for the Minister of Fisheries and Coast yesterday. For the theme: there is no link between the emissions that occur and the situation of the wild species. There is reference to the closure of salmon rivers, but there is nothing to do with the release of nutrients. That's another problem. As far as future growth is concerned, as I said in my previous answer, it depends on the fact that one has a sustainable location and is approved by the environmental authorities for a release. The sites that we are now seeing are located on the coast, with good ocean currents, and where there is a great deal of emphasis on not getting sediment collection under the facilities. So the emissions you have today are not considered to be problematic – at least not for the sake of the wild species.
ParlaMint-NO_2010-04-28.ana.ud1511e355	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e358	Norway exports 35 million meals of food each day to an annual value of DKK 44 billion. The world needs food. Norway can produce, and the world is willing to pay. Nevertheless, I seem to know in this room an increasing number of negative inputs to the farming industry, an industry that we have actually said we should bet on in the future, an industry that we have said will supply the nation of Norway with much of the revenue that falls away when the oil age decreases. Nevertheless, we know that we have challenges both in relation to emissions from installations, in particular that collected under installations, and in relation to salmonnus and a number of other things. And the reputation is important. But I believe that it is soon time to set up for the farming industry and say that enough is enough. Now we also have to try to reverse this negative trend and get a positive reputation. Will the Council of State at least take the initiative to draw up reports on the positive nature of the farming industry?
ParlaMint-NO_2010-04-28.ana.ud1511e368	I fully agree with the questioner that it is an important industry, which is crucial for many small and slightly larger coastal communities. We have an amazing product that very many people around the world really appreciate. On the issue of obtaining and obtaining reports: there are a lot of facts that have already been developed. The challenge is probably to ‘get on’, as we say. Good stories are not as simple as demanding stories. Having said that, I place great and decisive emphasis on the sustainability of Norwegian aquaculture. It is the only dangerous way for this industry to continue to play an important role — and perhaps have an even more important role in the future. I use every opportunity to both talk about what is very positive, and at the same time point out that there are some challenges that the industry needs to address.
ParlaMint-NO_2010-04-28.ana.ud1511e375	Svein Fleet – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e378	The Council of State put the brakes on future growth due to the environmental problem. We have been on a waiting break while the market for farmed fish around the world is at its very best, and the opportunities for Norwegian farming are very great. There are a lot of forces that work something with each other, but also something against each other, in this industry. I think what is now called for is that someone makes decisions – whether it's future growth or not growth. Now the Council of State refers in its response to the fact that it is the different levels that are going to decide this. But the political responsibility for this lies with the Council of State. My question is: When does the Council of State aim to cut through and make a decision on this? Because that's what the industry needs and demand.
ParlaMint-NO_2010-04-28.ana.ud1511e387	In October – just after joining as a fisheries and coastal minister – I got alarming figures related to the situation in the aquaculture industry when it came to salmonmus. There were number sizes and, not least, new knowledge of resistance build-up that was of such a nature that I found it reasonable to postpone the 5 pst. growth that was already announced. I said at the same time that before we were going to discuss that question again, I would have certainty that the situation would be controlled. Now I know that a huge amount of work has been done on the coast – at all the farming companies, in close and close cooperation with the Food Authority. Right in these days, the ‘weed release’ is during completion. I want at least the numbers, the results of it, before I decide what we do with future growth. I have also not experienced any great cry from the industry about getting that growth right now. They do have other things that they're more concerned with.
ParlaMint-NO_2010-04-28.ana.ud1511e396	Let's go to the next main question.
ParlaMint-NO_2010-04-28.ana.ud1511e399	The Minister for Fisheries and Coastal Affairs can only stand still, because I also have questions for her. Some of the things that perhaps most plague and annoy people most, are when we come to bureaucratic orders and permits, which in at least many ways you don't feel really messed up, and not least, are unnecessary. I would like to use an example to illustrate this in the introduction: if a fishing vessel wants to take another man's fish from e.g. Nord-Norway to Egersund – let’s take Norwegian springing herring – i.e. between two places, a management permit from the Maritime Directorate is required. If the same boat had fished this fish itself, there is no need for this permit. This must cause some frustration, irritability, but not least it makes no sense for you to have special permits to carry fish you have not fished yourself, while you have fished it yourself. This is just one example. We have examples related to the Tag Register. We have had a certain debate about what are fishing boats, and what are recreational boats. There are also a number of other examples. If a fishing boat carries fish, it shall keep a fishing logbook, even if it is not his own fish, and even if he is not on fishing. My question to the Council of State is: will the Council of State ensure that the legislation of the Directorate of Maritime Affairs and the Directorate of Fisheries is reviewed, at least to ensure that the most meaningless paragraphs are removed?
ParlaMint-NO_2010-04-28.ana.ud1511e410	The representative refers to two regulations. Of course, I do not have detailed knowledge of the one that is under the Directorate for Maritime Affairs. But I perceive that the main question is more about the overall regulatory and regulatory system to which the fishing industry and to some extent the aquaculture industry are exposed, in order to use such a concept. I have lived through a long life on the coast, both as a politician and as a nutritionist, in this world. After I became a fisheries and coastal minister, I discovered that there were some regulations that I should probably have known as fish breeders, but I was not aware of. This tells me that it makes sense with a review. So I've told the Norwegian Fisheries Team and the Norwegian Fisheries and Aquaculture Association that I want to understand the rules and regulations that they find hard to understand what is really about. I have also said the same to my offices and to my directorate to get a review, to see if there are regulations and rules that cannot be justified by the need for control – which is an important aspect in terms of resources in the traditional fishing industry – or in terms of the environment, or in other things. All the rules and regulations that do not have a good reason, I am prepared to remove.
ParlaMint-NO_2010-04-28.ana.ud1511e417	For that work I will give the Council of State honor. I hope that the work will intensify, and that the recordings that will then be made will also be followed up quickly, so that you can reduce some of the frustration levels that exist out there. But I also want the Council of State to say little about what time perspective it is, because I have also heard from other states that we need a review to reduce the form field, to reduce bureaucracy, etc. – and it goes year and day without anyone noticeing any difference at all. So I hope the Council of State can say a little bit about the time perspective. I would like at least the Council of State to answer one specific question: Does the Council of State think it makes sense that if a fishing boat approved by all authorities is to carry herring, e.g., from North Norway to Egersund, it needs its own certification as a cargo ship – i.e. a management permit – – while if it transports its own fish, does it not need it? Is it sound like a sensible arrangement to the Council of State?
ParlaMint-NO_2010-04-28.ana.ud1511e426	With the risk that I do not know exactly the detailed instructions well enough, I will be a little careful. But I guess it also has to do with a resource control situation. I'm a little in doubt because it's the Maritime Directorate it's being referred to. I will check that when I get back to the department, but as I said, I assume that the fish will be delivered on land by the vessel that caught it. It's about resource control and security that it won't be possible to cheat. I will check the exact explicit case. As far as time is concerned, as I said, I have challenged both the Fiskerlage – I did so at their national meeting not very long after joining – and the aquaculture industry through the meetings I have had with them. In addition, I have asked that we intensify this work in our own house, simply because I think it is important to get cleaned up for control purposes, for legitimacy and, not least, for respect for those who are going to live a life in this industry.
ParlaMint-NO_2010-04-28.ana.ud1511e433	Two follow-up questions will be raised – first Torgeir Treldal.
ParlaMint-NO_2010-04-28.ana.ud1511e436	I really want to continue the question of the representative Nesvik, and it's about the time perspective. The council says that you should work to get a review as early as possible. But this is a bureaucracy that is a major regret for the industry, and the industry is struggling with it. I would like to hear more specifically from the Minister: can we get this for this spring, or can we get it for the autumn? Unfortunately, what we see too often is that you say you come back, and then it goes years before you come back. This is on behalf of the industry: when can the industry expect us to have it in place?
ParlaMint-NO_2010-04-28.ana.ud1511e442	As I said in my previous answer, I have challenged the industry. I then assume that if they have very specific rules and regulations that they are struggling with, they can come to me with them, quickly. Then I will follow up quickly. I would also like to examine on my own initiative whether we have such rules and regulations. Then I'm dependent on getting a recording, because I'm very concerned about simplifying and streamlining regulations and regulations. It's important for the authorities to have cleanliness in it, but of course it's even more important for the industries, which have to deal with a maybe a little swirly legislation. The most important thing is that reporting and that kind of thing should be simple, it should be predictable and at all comprehensible. It is important to develop the fisheries and aquaculture industry for the future.
ParlaMint-NO_2010-04-28.ana.ud1511e447	Frank Bakke Jensen – for follow-up questions.
ParlaMint-NO_2010-04-28.ana.ud1511e450	It may be tempting to say that the maximum permitted biomass can also be a tool that can be used in relation to bureaucracy, but with strong limits on how much biomass you can have in each office. Maybe we'll get limited regulations? We are constantly recording examples of new rules – rules with retroactive effect, and rules that are quite unpredictable – both within farming and within fisheries. Is the long-term and predictability of nutritionists important for the Council of State? And what will the Council of State do to ensure that long-term and predictability become a value also within the administration and bureaucracy?
ParlaMint-NO_2010-04-28.ana.ud1511e459	As a former nutritionist, I am very aware that having a predictable framework is important in planning the operation of the activity you are doing. And then there are new needs. There may be new knowledge, and not least within regulations it is a challenge. I still think we'll have a situation where you'll say there's a huge change from one year to the next, but what we're talking about here is the more of the long-term type. It has to be understandable, it has to be predictable, and it has to be that you understand why you have the rules. It is essential for the authorities and it is also important for the economic operators. And as I said, I put this on the agenda early when I came in as the Council of State, and will follow it up.
ParlaMint-NO_2010-04-28.ana.ud1511e464	Let's move on to the next main question.
ParlaMint-NO_2010-04-28.ana.ud1511e467	I will ask the following questions to the Minister for Research and Higher Education: The evening post has focused on problems that the Right has also addressed on several occasions here in Stortinget. These include increased policy governance of the field of research, new designations of research resources and reduced freedom and space of action for universities and higher education institutions and other research institutions. There is too little free resources available for research. Free resources now account for only 7 pst. by the funds distributed through the Research Council. The result is that almost 100 annual works only at the largest universities agree to write applications that are rejected. On average, eight out of ten applications are rejected. Today's application system and scarce resources create unnecessary bureaucracy and wasted time. Universities could receive more research funding directly, for example: through increased basic appropriations, as proposed by the Right. Instead, the Action Space Committee has shown that the share of free money in budgetary growth has fallen from 30 p.m. For only 5 pst. in recent years. The enormous belief of the government in political governance of society is a general problem, but in the field of research it is in a way even worse. Research is going to explore unknown terrain and give us new knowledge, and then it's not always so easy to define objectives and results and earmark money precisely for one or the other, as the government is doing more and more in government budgets. The government boasts that more money is invested in research than ever. But that's for the government's own political priorities the money goes. Almost all new funds for the higher education sector and for the research field are earmarked. Search differently, the answer the Council of State gives to the eight out of ten researchers who are being rejected today. Instead, could the Council of State consider whether it is not the Government that should give different priorities and greater freedom to researchers?
ParlaMint-NO_2010-04-28.ana.ud1511e478	It shall be difficult to obtain funding for research applications and the most attractive research funds. But I would like to stress what I have also said to the newspapers, that Norwegian researchers might need to become more strategic and exploit more funding opportunities than they do today. And it is not that there is necessarily a contradiction between the good, curiosity-driven, fundamental research and what is at all times one of the instruments for such research, namely free research project support from the Research Council. All the research is basically free, and Warloe's party, all the parties, has been here in Stortinget to accept and approve the important research programmes that lie, among other things. in the Research Communication, which is a continuation of the research programme of previous governments. Of course, research in large areas such as global challenges, such as the development of industrial activities, such as health – just to address some issues – can also have basic research in itself. It's not like all basic research, or basic research, just comes out of what's called the free resources. So here I think we've arranged for research to take place in order to get exactly the answers to some of the questions we haven't asked, while we all know that we need more knowledge in important areas. There is an artificial contrast between this, and therefore there is also an artificial contradiction, the discussion of designation or not designation, of research management or not management.
