ParlaMint-NO_2010-03-03.ana.ud1924e26	The representative, Per-Willy Amundsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-03.ana.ud1924e263	Yes, it's a strained power situation, and we've recently had a galloping power price. We know something about the short-term reasons for this: a long cold period, the decommissioning of water storage plants and also the Swedish nuclear power going for half the machine. But we also know the long-term causes of this power market. It's that we have an energy market that is completely market-driven. The market feels too good to do is what is happening — whether it is power supply or network reinforcement. Councillor Terje Riis-Johansen told the nation yesterday that he can't magic. But none of us are asking the Council of State to magic. We ask him to be the Minister of Oil and Energy. My question to the Prime Minister is what thoughts the Prime Minister has made about having a little stronger political governance of energy policy and thus giving the Minister of Energy a greater space for action in terms of security of supply.
ParlaMint-NO_2010-03-03.ana.ud1924e272	There is hardly any part of the Norwegian economy that is more politically controlled than the power sector. Everything you do, requires permissions, permits, concessions. The challenge, for example: management, is not that the network companies do not want to provide wires, but that the politicians – what to say – hesitate to say yes to the new lines. In the case of investments, it's the exact same thing. Almost all investments in the power sector are politically driven, and almost all heavy players in the power sector are politically owned. So I think that as politicians, we have to take responsibility for development – whether we are in this government or we are in the previous – and not owe it to a slightly diffuse market. This is a well-regulated system in which politicians sit and are responsible for the most. Then there are serious and difficult balances, for example: between nature considerations and security of supply. What we've seen now is that there's not a basic lack of power in the Nordic region, but that there's so many variations. A few months ago, there was too much force, and the price was extremely low – down to 0 cents. Now it is too little power and difficult to bring it forward, and it is the responsibility of politicians to do something about it.
ParlaMint-NO_2010-03-03.ana.ud1924e281	Let's go to the next main question.
ParlaMint-NO_2010-03-03.ana.ud1924e284	DnB NOR, where the State is the largest owner, recently adopted a historic fine of 12 million. kr for insider dealing. In addition, 14 million have been withdrawn from the Bank. kr. The reason for this, we know that DnB NOR, on the basis of information provided by the central bank, sold government bonds in the bank package and earned a lot of money on it, while other banks lost. Ecocrime submissions include many breaches of the Securities Trading Act rules on the management of inside information. There is a breach of the prohibition on insider dealing. There is a breach of due diligence and of the obligation to list. In addition, the proposal includes a breach of the obligation to have procedures for the safe processing of inside information. As you know, the state is the storehouses of this bank. The bank itself believes that they have not done anything wrong. It didn't fit the bank's management to comment on this, because there was a little uncomfortable time difference between Oslo and Vancouver. But you've let the information department answer the press. There it is said that the performances of Ecocrim do not matter to them, and they do not admit that they have done anything wrong. And on the other hand, ‘There will also be no changes to the bank’s procedures for the treatment of inside information afterwards.’ This is based on the fact that the First State Attorney has characterised the fractures as very serious. So my question is, what does the Government, as the representative of the largest owner, think about active ownership in this context?
ParlaMint-NO_2010-03-03.ana.ud1924e298	I think it is very important that we are tidy and are conscious of the division of responsibilities and work between different actors in this industry. It's true that the state is the owner, but we're also the regulator. Therefore, the State Financial Supervisory Authority found reason to report the case to Ecokrim, and it is Ecokrim that has come to the conclusion that there is a basis for imposing a fine, as a result of a breach of the Securities Trading Act. I record that Ecokrim has not found any reason to criticise the public authorities in this matter. It is the bank’s governing bodies that are responsible for the Bank’s actions, decisions and e.g.: the handling of the fine from Ecocrim. When I say that, it's because the state is a big owner in many companies. At regular intervals, these come into some legal conflict with the authorities, with the police. There have also been legal proceedings. Then it is important that we are very clear that it is the elected bodies of the companies – here it is a listed company – that are responsible, and that the state as owner, large or small, does not begin to mix roles and go into and believe something beyond the responsibility of choosing the board and the governing bodies of the company. So that's how this is going to be handled. The competent bodies of the Bank take the decisions they make, and the State, as a regulator, is responsible for our financial supervision, the Ecocrime and other supervisory authorities that are responsible for ensuring compliance with laws and regulations.
ParlaMint-NO_2010-03-03.ana.ud1924e310	If I had been the largest owner of a company that has received the greatest fine for inside information, which in this case has gone out on other banks, I would say it would have been alarming if you hadn't had a certain interest in the reasons that Ecokrim has stated that they consider the crimes to be very serious. And the bank accepts the fine, but acquits itself. I have to say that if you, as owner, think this is completely uninteresting, you have to ask yourself what active ownership really means. You can't hide behind formalities. I expect that the government has a meaning in being a big owner of this bank, you now have a new capital. I find that for the Prime Minister it is only to mix roles, and that there is no point in the matter.
ParlaMint-NO_2010-03-03.ana.ud1924e317	The government is very concerned that laws and regulations are followed — in the financial industry as in other industries. We are very concerned that there are neat conditions, and that rules are being observed. But that's a responsibility we assume through the state agencies that are set to handle this responsibility. It was the State Financial Supervisory Authority that notified DnB NOR, and it is Økokrim that has carried out the investigation and imposed a fine. It's through these organs that we make sure that rules are followed, and that things are enforced as they should. It's not through ownership. My point is not that this is irrelevant. My point is that this is very important. That's why it's important that we act neatly. And it's through financial supervision, police and prosecution that the state is careful that rules are followed.
ParlaMint-NO_2010-03-03.ana.ud1924e326	Three follow-up questions will be raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2010-03-03.ana.ud1924e329	There is one thing that amazes me greatly in this matter. The breaches of the Securities Trading Act that DnB NOR has committed are characterised by Økokrim as very serious. When DnB NOR has adopted this fine, they have also assumed responsibility for the matters covered by the present fine. Nevertheless, the bank will not admit that they have done anything wrong, nor will they change the bank's procedures for inside information after that. Økokrim thought it was quite fine and natural that the DnB NOR Chief and Prime Minister texted about the crisis package to the banks. The Prime Minister has not been met with any criticism in that area, and I do not think he will be met with criticism if he continues to text with the bank manager and perhaps cautiously suggests that in the light of this case it is natural that the bank changes its procedures, so that one does not experience such things again. Will the Prime Minister take the initiative?
ParlaMint-NO_2010-03-03.ana.ud1924e336	As I have underlined: precisely because these are important and complicated questions, and because we have large, competent bodies to ensure that procedures are good, that investigations take place as they happen, and that laws and regulations are followed, it is important that we use these bodies. I believe that it is the State Financial Supervisory Authority that is to supervise the Norwegian financial industry, whether the State is a large or a small owner of the various institutions, and that it is Ecokrim that is to investigate and also assess whether there is a basis for imposing a fine or not. The day we start politicizing that kind of regulator, I think we're going to go very wrong. Therefore, I am not going to make this a political issue, but be very sure that the Financial Supervisory Authority and Ecokrim do their job with DnB NOR and with all other banks and companies in the financial industry.
ParlaMint-NO_2010-03-03.ana.ud1924e343	Jørund Rytman – for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e346	Like fraud involving public subsidies and support schemes, economic crime is distorting competition and creates distrust between traders and between public and citizens. Securities crime destroys confidence in the securities market and weakens access to capital to business. In this case, there has been a state-owned joint company that has broken the driving rules. DnB NOR has been fined for this, for which they accept. However, Section 3-4 of the Securities Trading Act opens up so that not only the person acting on inside information, but also the person disseminating such information, can be prosecuted. It is therefore interesting to see the extent to which the role of the State has at any time been seen in the light of §3-4, as it was in view of the contact between the Prime Minister's office and DnB NOR prior to the publication of the Government's package of measures. Can the Prime Minister confirm or deny that Økokrim has been in contact with the Prime Minister's office in connection with the investigation?
ParlaMint-NO_2010-03-03.ana.ud1924e355	So, first of all, ecocrime does not address any criticisms against the public authorities in this case. As far as I have an overview of this, the information that it has been aware of and that is the subject of this fine is the information that was provided by the Bank of Norway in a normal way – but there is no criticism of the Bank of Norway. There has been contact – that contact has been widely mentioned in the press – and it has certainly been useful for everyone involved.
ParlaMint-NO_2010-03-03.ana.ud1924e360	Inherit Kambe - for follow-up questions.
ParlaMint-NO_2010-03-03.ana.ud1924e363	In the right we are very pleased that the Prime Minister is concerned that the state should abide by the laws and regulations. In the context of active industrial policy, not all industries have the opportunity to send a text message directly to the Prime Minister. That's why there's a point for us in terms of laws and regulations, that the state has lost two major cases in the Supreme Court in the last two weeks. Last week, a similar adjustment was made by the Government when ESA said that the Norwegian gas charge would be a problem. How does the Prime Minister assess this? Is the government so eager to know the smell of increased tax revenue that one simply forgets to consider whether it is permissible to introduce it, whether it is a good idea to introduce it, and what is the result of introducing it? Experiences include: from the case about the fuel tax also shows that the government did not have that competence. It may seem that the government’s charging policy is like the limb: it is revealed and cracks when it comes into daylight.
ParlaMint-NO_2010-03-03.ana.ud1924e370	The President must be reminded that all additional questions should be related to the main question. It was quite obvious that this supplementary question was not close to it. It must be up to the Prime Minister to assess to what extent he will answer something that might be perceived as a new main question.
ParlaMint-NO_2010-03-03.ana.ud1924e374	I'd like to answer, I do. We haven't forgotten Norwegian laws. For example: the company tax, spent a great deal of time on it both by government and by size and carried out thorough assessments, and considered that it was within the provisions of the Basic Law on retroactive effect. We have a system here in Norway where this kind of decision can be tested for the Supreme Court. It has happened before, and it happened in this case. The Supreme Court had a different assessment with a narrow majority, but that's the way it is, and we've also seen that on previous occasions. What I notice is that the right used all of this money we got from the shipping tax in their budgets. So it's like one day you criticize us for this tax, and then the other day you spend this money with great joy, so there's more people who might have forgotten something about the budgets.
ParlaMint-NO_2010-03-03.ana.ud1924e383	Let's move on to the next main question.
ParlaMint-NO_2010-03-03.ana.ud1924e386	Climate 2020 has been submitted. It is said that it is important to also take national action, both in order to increase the international impact of Norway and also in order to transform Norwegian business into a green future. The climate partners have repeatedly asked for a meeting with the Prime Minister, especially after the implementation of the biodiesel levy that we perceived as a breach of the climate agreement. As for the follow-up to the pension agreement, we think it's going really well with the Government. We've often had meetings, and we feel like we're in a good process of implementing the deal. My question to the Prime Minister is: Does the Prime Minister feel committed to the climate agreement with the settlement partners here in Stortinget, which also says that national cuts must be implemented if we are to be able to achieve goals? My second question is: Is the Prime Minister interested in strengthening the climate agreement and looking at the recordings that have been made in the Climate Action 2020?
ParlaMint-NO_2010-03-03.ana.ud1924e397	Climate problems are so serious and so extensive that both cuts are necessary in Norway, reductions in emissions in Norway, and Norway also contributes to significant reductions in other countries. There's no contradiction between these, both are important. We have presented a wide range of measures to help limit emissions in Norway: doubling rail investment, significant investment in public transport, substantial increase in the contribution to new renewable energy and energy saving, new building regulations to reduce energy use in buildings, significant increase in research into environmentally friendly technologies, climate-friendly technologies, etc. There is a lot to do in Norway, and we will do even more, and that is why we ordered a climate cure, just to get a menu of different possible new measures. In addition, we're making a significant effort out there, and that's what results in the greatest reductions. What we do on rainforests may have led to many times as many reductions as we have achieved in Norway, and what we do through the European quota market is also significant. Only the introduction of the European quota system in Norway contributes to reductions of 7 million tonnes — seven times the emissions from, for example. The power plant in Mongstad – so I am a strong supporter of both measures at home and outside. Firstly, the advantage of out-of-office measures is that we get greater reductions per year. Secondly, we contribute to building confidence in developing countries, so that they will participate in an agreement – and then we can get really big emission reductions, we get development in developing countries, we get developing countries with, and we get big cuts – so I think there is no contradiction between these two things. We're going to present a big message based on Climate Change, and then we're going to see if there's any basis for reconciling climate policy among the parties on the Stortinget.
ParlaMint-NO_2010-03-03.ana.ud1924e410	I fully share the Prime Minister's view that doing things internationally is also important. There, the prime minister will be happy about the climate agreement to allow him to do so much internationally. The rain forest funds and many of the other measures taken abroad were not included in the Government's climate communication proposal, they came from the contract partners here at Stortinget. So that you can travel around and be a stork and buy rainforest, comes on the basis that we pushed it through the climate agreement. So to the question. We are now exposed to the climate communication, which I also believe is a breach of the climate agreement. The Prime Minister actively stopped the Minister for the Environment in the election campaign when he wanted to expand and strengthen the climate agreement before the Copenhagen meeting. Is it the Prime Minister who has made sure that this message has been postponed as well?
ParlaMint-NO_2010-03-03.ana.ud1924e417	Firstly, I do not think it was easy to understand what the opposition really meant if it thought that a new climate settlement would be made before the Copenhagen meeting. Firstly, because we have a climate settlement, which also extended beyond the Copenhagen meeting, and secondly, I believe that in order to make a proper deal with a new, large and broad package of measures, there had to be a completely different decision-making basis – we had ordered a climate cure just to make it. Then it would be backwards if we before we had a climate cure, made a deal about what we were going to do with a climate cure. I believe that the order there was such that it was quite obvious that we could not make anything wide, new deal until we had completed the investigation we agreed on, namely to get a climate cure and that menu on the table. When it comes to pressing forward: Well, I have been a follower of and the Government has been a supporter of significant measures out there for many years. It is very good that there is a broad connection to it in Stortinget. The point of action is that the main problem now is that the large emissions countries of developing countries will not be included. Outdoor activities can make it more likely that they will be included.
ParlaMint-NO_2010-03-03.ana.ud1924e424	Four follow-up questions are raised – first Borghild Tenden.
ParlaMint-NO_2010-03-03.ana.ud1924e427	In the Climate Action Survey, biofuels are being promoted as an important measure to achieve the emissions targets in the climate agreement. When Stortinget dealt with the state budget for 2010, the Prime Minister was the hot defender of the biodiesel tax. The Prime Minister argued that biodiesel should be subject to a tax because biodiesel in many cases also contributes to CO2 emissions. It also does natural gas. The 2003 budget introduced a CO2 tax on natural gas. Now the government has chosen not to introduce this fee with a reason that I think many houses have. So the government taxes important climate measures and at the same time ensures that it is free of charge for others to pollute. Does the Prime Minister understand that many can be confused by this illogical approach to climate policy?
ParlaMint-NO_2010-03-03.ana.ud1924e440	Firstly, it is quite right that the questioner says, namely that biofuels also lead to climate emissions. What we hope for is that it leads to a little less climate emissions than for example. oil. Biofuels have zero CO2 tax, so it is zero CO2 tax even if it is not zero emissions from biofuels. So it is right that we wanted to introduce a CO2 tax on gas, even if gas emits less than oil and coal. The model we presented is that ESA doesn't approve, and now we're looking at whether it's possible to introduce other models. The point is that on biofuels there shall be zero charge, on gas there shall be no zero charge. We're just looking for the right way to do it. The discussion about the bio tax was not about CO2 but it was about the general fuel tax. I still believe that it is not environmentally friendly to make it NOK 3.50 cheaper to drive heavy transport. It contributes to increased transport, increased emissions and more pollution.
