ParlaMint-NO_2010-10-21.ana.ud2350e66	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-10-21.ana.ud2350e495	I would like to thank the Council of State for the answer. I think we understand the seriousness, but we have a big job ahead of us before we can find a solution. I have to admit that apart from my cats, this is the animal species that gives me the most joy in life, so I'm willing to fight hard to keep it. I have three concrete questions – first of all, about bringing knowledge to the ground, having a strategy to figure out which things actually affect this species. We know about some threats, but we have no concrete evidence of which poses the greatest threat. The second, which is one of the recordings I've got from many around the country, is the need for a more global strategy. We share this resource with several others, and this applies not only to those countries that currently manage wild-ax resources, but also to those who manage farming in the same geographical area, such as the United States. Canada, which is also a challenge. When the education committee was visiting Chile a and a half period ago, we were met by desperate marine biologists who saw Norwegian breeders using Norwegian-Atlantic salmon for farming in the Pacific. It means that regulation is very different around the world, and maybe we could have an international, joint initiative to look at what factors affect the wild species today. And the third is this with a gene bank, which I think is urgent, and which it has been very important to get in place. Can the Council of State answer the questions of knowledge-building, global regulation and re-banking, which I believe is one of the three factors that are not so high in today's debate?
ParlaMint-NO_2010-10-21.ana.ud2350e510	To address the three specific questions asked by Trine Skei Grande: what I have tried to present in this interview response is, of course, what we are assuming today is the right knowledge. I totally share the idea that nature is incredibly complex. How the different factors in an ecosystem affect each other, we know a lot about, but we will get a lot more knowledge in the years to come – how the many different threats to the wild axis that I have listed will work together, if some of them are significantly more important than others, for example. the significance of any temperature change, living conditions in the Atlantic Ocean, acidification. How much of a role this all plays, we don't know much about, so getting a lot more and better knowledge is important. We should also do so in cooperation with other countries. Then a more global strategy was demanded. I would like to take that back to be evaluated by our professionals how much it is to pick it up. But it's absolutely certain that this is a species that is moving over difficult distances. Having a global strategy – and I do not think so from the interpellant either – cannot prevent us from doing our utmost here in Norway. We have a responsibility to keep order in our own house, and of course, both the Ministry of the Environment, the Ministry of Foreign Affairs and others should look at it and to what extent we can have something to gain from better cooperation with others. It is a theme of considerable international interest. There aren't so many areas where I get as many letters from other skyscrapers as in the case of salmon, whether it's from Canada, the United States, Iceland or anywhere else. So what we do is interested in others. It's not just because people come from there and fish in our watercourses, but because it can also matter to them. When it comes to gene banks, I also want to confer a little bit with others, but of course taking care of the genetic resources is a very important thing. I will get back to it in a later answer, if necessary. So I want to say that as we see it today, the key to solving this area is at the intersection and the compromise between the farming industry and the wild game. I understand that all 169 large-scale representatives and all the members of the government believe that we should both have a farming industry in Norway and take care of the wild. So that's how we're going to find compromises between this, which is the real question. As I said, farming is a difficult, growing and important industry for Norway, but it must also be under constant improvement. I think the farming industry still has a lot to learn from the industry. Industry came to a point where it stopped finding some sort of excuse for not doing anything about the environmental problems. It started using all its best minds, best scientists, and made it a management problem every day and hour to look for opportunities for environmental improvements in industry. At that time, environmental problems in the industry in the western countries were more or less solved. The same should be done by the farming industry.
ParlaMint-NO_2010-10-21.ana.ud2350e523	Villaks is a repeater in this hall, fortunately. I share the fascination of Skei Grande for this very special species, which starts its life in a river, walks out into saltwater and returns to exactly the same river and the same spawning grounds without us understanding how it can happen. I've spent countless hours at the Norwegian Villakssenter in Lærdal, where my in-laws have contributed to the central part of the exhibition, so I share the fascination with this. So the interpellant is absolutely right in that the situation is worrying. Many of our populations have already been eradicated, and the phase of the situation in our rivers is now that 120 of the rivers are closed, and 180 rivers receive two to four weeks of extra peace. In the last three years, the perceived presence of small salmon has been the lowest ever. So the Council of State gave a thorough account of all the different threats to which the wild species is exposed, whether it is acid rain, watercourse regulation or gyro. They're all significant, but they're going to be counted as stabilized factors, things that we have some control over. The threat considered to be unstabilised is salmontus and escaped farmed salmon. I think it is worrying when, at yesterday's hearing on the energy and environmental committee, we were presented with figures showing that the lice situation in the mermaids is as bad as last year, as we all remember as a very difficult year, and that despite the fact that it started a large-scale leaching process. Much of the threat lies in the fact that the farmed salmon is many in number, while the wild salmon is few. In a single mermaid, it could be up to half a million fish. The total insight into quarries of wild breeds to Norway is between half a million and a million. Annually, there is more farmed salmon than the annual wild salmon survey conducted in Norway. DN's figures say that the entry of escaped farmed salmon into the spawning stock on average is 17 pst. Of course, in some places it's much lower, and there it goes very well, but in some populations it's up to 60 pst. Then I agree that it is very worrying that there have been detected resistant salmonnus in several places in the country. You don't need much imagination to imagine how critical the situation can be if resistant lice spread to many installations along the coast. So there were several actions that were launched last year. The Food Safety Authority was given permission to impose a leaching, depopulation of fish and, in the worst case, fallowing. That was good and absolutely necessary. The 5 pst. the increase in the maximum authorised biomass, to which it was due last year, was halted and it has still not been taken into account because of the serious situation in which it is situated. So it's very good that the escape has gone down considerably, and the industry is going to have a reward for it. At the same time, lice in the mermaids are a problem in any case, because the melt has to pass these plants on their way up into the river and thus pass a belt of lice, and we know that the melt is very vulnerable. In addition, it is not necessarily the number of escaped fish that is crucial, but the amount of escaped fish you have in the spawning grounds. The Director of Fisheries has his vision fled zero. It's important. I want to highlight as particularly important that you have intensified the response to a breach of the rules. However, at the same time, the Scientific Council for Salmon Management says that the measures taken are hardly sufficient to bring the amount of salmonnus down to a sustainable level compared to wild fish. We have to take that seriously. As over a long period of time, land-based industry has been subject to progressively more stringent environmental requirements and regulations and has moved in a sustainable direction, it is quite natural that the same should be done for the aquaculture industry. And I see that the industry itself is interested in and sees the necessity of. The labelling of salmon is something that is still being discussed, and I think we need to consider seriously whether it should be used. Knowing where the escaped salmon comes from allows you to place the responsibility where it belongs – and it will be preventive. But the important thing is, of course, to prevent escape. I hope and believe that the development of new technologies can help solve many of the environmental challenges facing the breeding industry today. Closed installations are obviously interesting. What's happening in Hardangerfjord is probably worth following. It would be good if several pilot plants were put in place in Norway and tried out the technology properly. Canada has already introduced requirements for the use of closed-end installations when the concessions are extended. So, finally, this is often produced as a conflict against business interests, and I think it's worth mentioning that salmon fishing also contributes to 2,500 annual works and is an important source of income in many communities. It also belongs in the big picture.
ParlaMint-NO_2010-10-21.ana.ud2350e553	First, thank you to the interpellant who took up an important matter. Our Villaksstammer has gained increasing focus at a time when we also see that farmed salmon is strongly sought, with record salsify and good prices. Many people think that there is a close link between the volume of farming and the problem of, among other things. lakterus. Just the lace has become an increasing problem in many places. A coordinated leaching project, called here before, has been carried out by the farming industry, which has significantly reduced the problem. But still there's a bit left before you can say that one has the situation under full control. The situation is good in the north, while the challenges in the south are greater. Furthermore, Gyrodactylus salaris is a pressure against the wildax strain, and the Progress Party is ready to increase significantly to remove this parasite. This disease became known to be introduced into the river by public actors, and here literally polluters have to pay, and it has to be done quickly. Because then the biological specialities and the adaptation of the salmon have to the individual rivers, it is important that the gene bank has the ability and resources to preserve the very important resource of the wild species. So a few words about the smoking of the individual elves. Today, there is an immeasurably important and good work being done by individuals and river owners. This work should be reinforced, and there is a responsibility for the regional level of administration. As we know, today a significant amount is paid to the county councils in the concession fee, and here we have, among other things. states a significant possibility of taking a responsibility. More and Romsdal is a good example in that context. They've got a warrant on the lower edge of 20 million. the concession fee, which was intended for these funds to be used for the prevention of the wilderness axis of the county. So a few words about the escape of farmed salmon: large quantities of fish are sometimes lost. I recently read about it in the newspaper Driva, which tells of a lot of kilos of salmon in the Sunndalsfjord, which is being fished off from beaches and bays. Of course, they represent a danger to local wild breeds, especially if they are subsequently allowed to enter local watercourses where they may be involved in the contamination of biologically. But when it's suggested to grant permission to shrimp fishing, in this way to take up the most possible of the escaped fish, a strangely enough no to it. Here is an example of incomprehensible so-called professional assessment and what is appropriate for solving an acute local problem. The problem has still not been solved. Let me stress that when it comes to escape from farming facilities, it is totally unacceptable, and we are fortunately seeing that this problem is becoming less topical. Let me conclude by adding a solution that allows both the aquaculture industry and the wild species to live on, almost side by side. For the one industry is important for, as is said here, up to 100,000 outdoors connections, and aquaculture provides us with large export revenues that our welfare community needs.
ParlaMint-NO_2010-10-21.ana.ud2350e574	Since 1970 the total catches of Atlantic salmon have been reduced by 75 pst. About one third of the world’s Atlantic salmon resources belong in Norway, with about 400 remaining populations. Norway therefore has a specific international responsibility to take care of the Atlantic wild species. There is a great cause for concern about the continuing decline of the wild stocks. There are three main challenges threatening the wild species: genetic impact of escaped farmed salmon, disease and parasite problems caused by breeding activities and salmon parasite Gyrodactylus salaris. These threats, in addition to climate change, are likely to eliminate the wild species individually. The first two of these, escape and parasites – and then it's especially salmonnus I'm thinking of – are related to the farming industry. The very serious situation of escapes and high levels of salmonitus gives particular cause for concern. The industry has a clear responsibility to operate sustainably. We will continue to facilitate high value creation and jobs in the breeding industry, but this must be done in a way that does not threaten the wild species. Sustainable farming is not least important for the industry’s own future. The villa is the genetic bank of the farmed salmon, and if the wild species is eradicated, the future of the farming industry is also threatened. The reputation of the breeding industry in terms of sustainability is also important in significant export markets, both here in Europe, in North America and other parts of the world. In the Right, we share the interpellant's concern for the negative development of the wild-tail population, and we will commend her for addressing this issue today. Interpellant is quite right when she points out that the farming industry has created many jobs in the districts. However, it has gradually developed a reputational challenge as a result of environmental problems in the wake of industrial activity. Monitoring shows a significant element of escaped farmed salmon in the spawning stock for the wild species, about 17 pst., while the scientific advice of the wild species management suggests a level of more than 5 pst. the incorporation of farmed fish threatens the long-term survival of wild-tailed populations. In some cases, the element of escaped farmed fish should be well below this level. The industry must address this and end the excessive degree of escape from the facilities. The amount of the parasite salmonitus is assumed to be six to ten times more than the sustainable level. Unfortunately, farms have given good living conditions for this parasite. The industry has implemented several measures to try to deload the plants, but has not been able to bring the lice down to an acceptable level. So the breeding industry has a lot to do. At the same time, this is a professional industry that has shown many times that it is able to deal with problems. Most breeders are serious businessmen who take the challenges seriously. At the same time, restrictive measures by the authorities will be necessary in some areas. We should therefore have a differentiated policy on the award of salmon farming concessions. We should be able to allow for growth in the industry in areas where there is no problem in terms of escape or salmonidosis, while we need to take a more restrictive line in areas where there has been a lot of escape, a lot of disease in the mermaids or high salmonid concentrations. In such areas, the farming industry must show that they can solve their problems before further growth becomes relevant. It should also be possible to apply restrictions in relation to current operations. The best motivation for the owners of these facilities must be to allow them to grow when problems are solved. State Council Solheim pointed out quite correctly that the number of escapes goes down. That's right. I would like to commend the work done by the Fisheries Directorate in connection with Vision Zero Flight, along with the police, with Ecocrim and with the industry itself, to bring down the figures. There has been a hard work and a cooperation that has given results. That's very good. But in addition, I think it is important to listen to the industry and the solutions the industry itself suggests, that one can be a little bit more modest in terms of structuring and framework conditions for the industry, so that they also have the opportunity to align themselves in a way that will be more optimal in relation to disease and escape problems. As for the lack of an overview of gray numbers, I may not be as concerned as the Council of State. I think we're getting a lot of reports on escaped fish. Having the possibility of DNA tracking, which you have today, makes breeders know that the probability of being discovered is quite great. It is also important in the prevention work.
ParlaMint-NO_2010-10-21.ana.ud2350e597	The situation of Norwegian villas is very serious. There is more breeding salmon each year than the annual wild salmon. Measured in volume, there is quite an incredible amount of farmed salmon in Norway now than there are wild salmon. This represents a major challenge in itself, in terms of both infectious and disease hazards and the peculiar genetics of the wild species. Salmon stocks do not support more than 5 pst. incorporation of farmed fish over time. That's why we have a challenge ahead of us. Although the attention to the lice problem was high last year, the problem is not smaller this year. That is why I too would like to commend the inter-pellant, Trine Skei Grande, for a very good initiative. This debate is important. The measures now being implemented have been well described by the Council of State. The Food Authority has established a new zone regulation for Sunnhordland and Hardanger. The same will be done in Trondelag and Rogaland. Permission has been granted to impose set-aside and depopulation of fish. There is a requirement to double-protect waste from smelting plants and seine fish plants. The Directorate of Fisheries has increased by 10 million. kr to increase the supervisory capacity of the industry. That's what's needed. And the budgets of the Ministry of Fisheries and the Ministry of the Environment have been strengthened by a total of 15 million. kr, e.g. for surveillance, data collection and issues related to escape. But this debate should be about something more than the government's repair of the problems arising from an unsustainable industry. For there is no repair that can ensure wild-tail populations in Norway against disease and eradication. There are targeted interventions to change the operation of the farming industry. The breeding industry bears a great responsibility for the situation of the wild species. Politicians have been too yielding to industry demands. Therefore, last year’s postponement of the planned increase in the maximum authorised biomass was a very important signal. It is not always that a nutrition wants to be for the industry’s own good. When I say this, I'm sure there won't be any lack of objections from the right-hand side that I don't respect and see the value creation, the technology development and the jobs that the breeding industry represents. That's obviously wrong. I myself have had several times great pleasure in visiting the breeding industry of Hitra and Frøya in my home country and seeing the values created and all the work done to nourish well. In many ways, however, this issue has much in common with Norwegian petroleum policy: excessive overpressure will cause serious repercussions that are neither good for value creation nor for the environment. I hope that there will be no need for the example of Chile to show what can happen if we don't take action together on a situation that in its being is unsustainable. It does not keep referring and referring to some unprofessional actors. The problem is material. The industry will not be sustainable as long as too many anxiety messages meet with answers that everything is going better than we thought before, that the number of escapes is going down by percentage, when it is the total volume that is interesting in relation to the wild axis, and that the lice situation will soon be under control. What we need, on the contrary, is an industry that does not reject, but embraces the development of closed farms. In other parts of the world, this is driven by profitability. We cannot accept a rejection of the transition to closed installations just because it gives a little less profit. On the contrary, it is a responsibility that must be taken when the business is at risk of eradicating an entire species. In many cases, closed installations will also provide opportunities for the use of waste materials, for example. biogas plant. There have been discussions about this in the municipality of Ørland in Sør-Trøndelag, which I follow with great interest. We need an industry that so far has become more sophisticated in the labelling of fish, so that we can put the people responsible in the event of major evacuations. As the Committee on Energy and the Environment heard in yesterday's hearing, it is not necessarily the case that the tracking mechanisms we have today are sufficient to identify those responsible. It has to be done. We need to take a critical look at our own role and our own responsibilities. For too many years, regardless of colour and majority, the country’s growth has failed to respond to the danger signals that the violent growth in the amount of farmed salmon has brought. We need to be ready to recognise the lack of sustainability in the policy that has been pursued for many years, and ask ourselves the question: Are we served by some of our most valuable species being threatened by extinction because of short-term profit vision? For my part, the answer is clearly no. If the farming industry is to be part of our livelihood also in ten, twenty and thirty years, the course needs to be changed. It is in the long run also for the industry’s own good.
ParlaMint-NO_2010-10-21.ana.ud2350e616	The villa is an important part of the biological deficiency and is a fascinating creature that many people have been in. That's why the wild beast's survival is not only important for Norway to be able to take care of its international obligations, but also for the generations that come after us to experience this creature. We know that securing viable wild breeds means something about activity and employment around our country. It is an important industry in many rural communities. So a targeted work in line with what the Council of State has done is crucial. It is good that the government takes action through both legislation and regulation in this area to meet the challenges this species faces. Governments have pointed out that there are several threats to wild salmon strains, and that one must therefore work on a broad level to meet them. However, it is also important that the measures we have taken are accurate, and – as the interpellant has done several times – that they are knowledge-based. Setting industries up against each other just to build up under rhetoric and without looking for practical and decent solutions to the challenges, the view of the Center Party is less than reasonable. In April 2009, the government presented a strategy for an environmentally sustainable aquaculture industry. In cooperation with the Ministry of the Environment, the Ministry of Fisheries and the Coast has provided an overview of the status, measures and objectives and the need for new measures in five main areas where aquaculture affects the surrounding environment. From the state standpoint, one through the winter we were through, has shown that one follows the situation closely, and that one might put in place the necessary measures when required, but still we have a major gap problem – despite the efforts made by the government, and with great effort from the aquaculture industry, to meet this challenge. It requires a stronger tilt in the future. I think it is good that the Council of State runs under a zone approach, because we know that this is a big problem in some areas, and then we should remember that in other areas the lice problem is not a big problem at present. Therefore, it is quite right to have the zone approximation to which the Council of State refers. I would also like to underline the representative Grimstad's reference to the great work done locally by both volunteers and public authorities when it comes to wild-axis issues in general. For the Centre Party, it is important to further develop both the seafood industry and the wild species industry. There are two important industries. Dialogue is entirely decisive. One should listen to suggestions from the nutritionists. Then listen to the suggestions that come in. It is probably right, as the representative Serigstad Valen says, that it is not always the case that the proposed measures are the most accurate, but I believe it is always important to assess them. Then what the interpellant said quite correctly, and as the Skei Grande is nice to stretch under in this hall, is that the experience-based knowledge has to lie on the ground when a decision is taken. It provides the most accurate decisions. That way, we can secure the fallacy, and we can get a forward-looking aquaculture industry where the actors are in charge of the government to find the right grip. There have been a number of moments and measures here. I'm not going to repeat what has been said, just stress the conclusion: here is an increase in effort, a listening focus on the wild species' survival even in the time to come, and then listen to a dialogue and make sure that the solutions are a good one, focus both on preserving the wild species and on securing the marine industry, which is an important industry, into the future.
ParlaMint-NO_2010-10-21.ana.ud2350e634	The Villax is a living environmental barometer that shows whether we manage the watercourses, the coasts and the sea areas in a sustainable way. As the interpellant points out, 120 out of 450 rivers have been closed for fishing this year. It's a serious situation. The representative Marthinsen said there are an incredible number of salmon in the mermaids. Yes, and therefore the Christian People's Party's position is that we must freeze all further growth in the number of farmed fish until we have been controlled on salmon and escape. In addition, we need to take action to ensure an environmentally sustainable farming industry. Seven out of ten Norwegian wild breeds are dying out, according to a report from the Scientific Council for Salmon Management. Both trade unions and environmental organisations agree that we have major challenges in the way today’s farming industry operates. It's not sustainable. Despite major challenges of lice and escape, the government will not cancel the capacity increase in the aquaculture industry in proposals for government budgets for next year. It is announced that the government will present a separate case of an increase in the maximum authorised biomass. Increasing the number of farmed fish now believes the Christian People's Party is very short-sighted and testifies to the lack of ability to take the situation in the farming industry seriously. The Christian People's Party will look at various measures to ensure a sustainable nutrition. Closed installations at sea are a possible solution that can address both the development of industry and the need for an environmentally sustainable industry. Closed installations are already in operation in both China and Canada, and any future capacity increase may therefore be reserved for those operating with closed installations. The government should also present a plan for long-term structural changes in the regulation of the farming industry. The breeding industry must be controlled and strictly required, as is the case with the former SFT, now Clif, in relation to land-based industry. The representative Serigstad Valen mentioned that the Ministry of Fisheries has increased its resources for control. Then it is strange that the Food Safety Authority, which is to carry out this check, actually reduces its operating budget by more than 2 pst. Next year. We believe that this creates challenges for safe food and also for the control of farms. In addition to salmoneus, escaped farmed salmon is the second main threat to the wild species. Salmon discharge must be prevented much more strongly than today. It is important both to ensure the reputation of the farming industry and the possibility of sustainable and profitable production in the long term, and to preserve the wild and sea trout in Norway. We have 15 pst. Spaced salmon in the rivers. The entry is chronically too high. When there are 1,000 farmed salmon for each wild species, it illustrates the real threat. Rumid farmed salmon has mixed with wild salmon and caused genetic impairment of salmon. Closed salmon rivers also have a negative economic impact on the agricultural industry. The farm is expecting closed salmon rivers to produce 500 million. kr in annual losses. Norwegian Lakselver calculates local economic losses as a result of the restrictions at 280 million. kr. This also means the loss of important and environmentally friendly jobs. Many Norwegian populations of wild salmon and sea trout will not survive unless the threats of salmon and escaped farmed fish cease to exist. Norway has an international responsibility for maintaining the Atlantic wild species. The Christian People's Party therefore asks the government to take action to halt the negative development, otherwise neither the wild or the farmed industry will survive.
ParlaMint-NO_2010-10-21.ana.ud2350e655	Taking care of the wild is of course very important. Everyone agrees. Several before me in the debate have pointed out the main challenges, and what measures are most relevant and relevant. I am very pleased that there is cross-political agreement and understanding of the situation. I want to talk mainly about the fight against Gyrodactylus salaris, or Gyro, as we say on the edges of the country from which I come. In my home municipality, Sunndal, we have received funds from the government to fight the gyro in the river Driva with fishing barrier and chemical treatment of the river. We are very grateful for that, and I would like to take the opportunity to thank the Council of State for the funds. Driva is a large watercourse that starts at Dovre, and runs out into the Sunndalsfjord in More and Romesdal. The watercourse has many large and small tributaries that make it impossible to treat the watercourse only chemically. Therefore, a fishing barrier, a so-called long-term barrier, shall be built below the main side rivers. The barrier shall remain for a certain number of years until one is sure that the fish above the barrier is dead, and thus also the gyro. Thereafter, the river shall be treated and the lateral watercourses below the barrier shall also be treated chemically, while the barrier remains. That's the goal for Driva to be gyro-free. So it's going to put out new, real drive-lax. This project is not unproblematic. Faith and doubt replace each other, with different reasons. Among other things, there are engineering challenges with the fish barrier itself, as well as difficulties in finding a suitable place for appropriate reasons. The barrier must stand for many years and withstand large floods in a flood and wild river. In addition, landowners and river owners and local tourism and business will lose large revenues from the lack of fishing and hence the failure of tourism while barring and treatment is in progress. These naturally want compensation for their loss of income. That's why good local processes are very important for success. But hopefully our attempt will prove to be a good method of combating Gyro in these major watercourses. I'm going to guarantee that if we succeed, it's not just the Driva salmon that will be a happy salmon! We also know that power travel and the lack of minimum water flow associated with the power plants in the salmon watercourses have significantly reduced the wild-axis strain. Very well-known has a well-known 50 watercourse status as a national salmon watercourse. Around half of these are regulated under older concessions that are currently, or are soon, subject to review. Here, the power companies must show social responsibility and willingness to ‘fix up the bad mistakes from yesterday’ and thus contribute to securing the future of the wild. It has to be concluded that power producers contribute to melting death by driving too little water in salmon rivers, such as one. has experienced in the River Surna in More and Romesdal. So in the end, more have been involved in the current measures to prevent the escape of farmed fish and to combat salmon turf. Much of this is good. Research and development have also been discussed. I think, like a couple of others who have said this from the pulpit, that driving pilots at closed farms is necessary. Perhaps this could be the future solution to the conflicts between the breeding industry and the wild species. Hopefully, closed facilities may facilitate the escape of farmed fish and infection between farmed fish and wild fish. At least it's worth a try.
ParlaMint-NO_2010-10-21.ana.ud2350e672	Firstly, I would like to thank all the parties – from several parties to more. It's said a lot wise here today. I don't think anyone's going to be ashamed of any of the posts that are held here, sail 100 years later, sail if we don't know if we're right at all points. I want to raise some challenges in the future. I'm going to repeat my question when it comes to gene banking. We have a gene bank, but do they have the resources to take all the Norwegian salmon rivers? It doesn't work that way today. If the Council of State can give me a good answer to that, the Left saves a deposit on its budget. We were going to put on the gene bank in our alternative -- it was a little leak. I believe there are two challenges in the farming industry in which I believe that dialogue should have taken place and an agreement on deadlines in relation to the objective. This applies to both escape and lice. That the problem of escape has been reduced, it's both about having an industry that's about to go away from being a cowboy industry to be a very professional industry, and that we have insurance schemes that don't make it pay to lose sick salmon, to say it like that. I believe that we have to look at closed sites here – which have been mentioned by many, and which have been intended by hunters' and fishermen's associations. At least I think you have to try it out in some areas and see if it can be made economically profitable. But I believe that in a desperate situation, both in terms of escape and most of all in terms of lice, an agreement should have been reached with industry on some objectives to be achieved within some time limits. It has been shown to be wise many times, and this is an industry with which to make agreements. Clearly, there are two business interests that stand up to each other, and we need to find a balance that makes it possible to develop district industries in a normal and sensible way, while at the same time respecting our international responsibility. So my challenge to the Council of State at the end of the debate is to make an agreement with the industry and make sure that we have a gene bank that can take care of our legacy.
ParlaMint-NO_2010-10-21.ana.ud2350e683	First, I would like to agree with Trine Skei Grande that there has been a very good debate, and a debate in which there is certainly not something that someone needs to be ashamed of in 100 years' time. One question I want to ask anyway, and which I think will be the test in 100 years' time, is not what we said in this debate, but that is: were we enough – are the measures we are taking in 2010 effective enough to reduce the problems of the wild species? It's the test in 100 years, and I agree with the many who have made different suggestions on what more can be done. Both Marianne Marthinsen, Snorre Serigstad Valen and Tove-Lise Torve pulled out closed installations – Skei Grande too. It is not a simsalabim that can happen overnight, but through state action, and that the industry itself conducts experiments in such a direction, should be an important way to go. Meling, Sande and others were concerned that there had to be interaction between the growth the industry gets, and problem solving. So first you solve the problems, and then growth comes. I think that's the right approach. But we don't have to push it over there because the problems are much bigger in Rogaland and Hordaland, especially, than in other parts of the country, we're going to export the problems to the other parts of the country. There are significantly smaller problems further north, but we must not build up an industry in these areas that gets the same growing pains as in Rogaland and Hordaland. I am also very pleased with what Grimstad said, that the Progress Party believes that the polluter should pay. It is a fundamental principle of all environmental policies, and it is good that it is repeated here. Finally, although it may occasionally be unfair for the farming industry, it has been mainly a debate on the farming industry – I think we need to be able to say clearly to the farming industry: Learn from the industry. In the 1970s, if you took up environmental problems in the industry, you'd hear that yes, but the problem is exaggerated, or it'll go over, or it's too expensive to solve, or we don't have the technology to solve it or some PR employees who can explain to us how we can say this in all right ways, so it sounds nice. Then came the point where the industry, individually and collectively, decided: let's solve the problems. Let's put our good people to do that. We lose financially not to solve it. We are losing reputation – as I have said here – not to solve it, and we can develop nourishment to solve it by making export products. I think that's a way of thinking that the farming industry should also learn from -- now look at how to take industry as an example, tackle all the challenges you face, and even feed on solving the problems. Because if we can develop an industry that is globally leading in this area also environmentally, we will also create export products that other countries will be interested in.
ParlaMint-NO_2010-10-21.ana.ud2350e698	The debate on substance is closed. So 2 is over.
ParlaMint-NO_2010-10-21.ana.ud2350e714	It's been one year since the Right raised this issue, and it's been three years since we first addressed it to the Minister of Justice. It's a fact that Outlaws is now challenging the hegemony that Hell's Angels believe to possess, and it can, as Kripos points out, lead to a confrontation between the clubs. The Monday, October 18th, issue describes a situation where MC clubs in Norway recruit boys in violent youth environments. In a situation where we have a child protection system that doesn't make sense to catch up with a large number of boys with or without a minority background, it's worrying, because that means that the recruitment rate of these clubs is increasing. According to sources, this is the dominant trend in the ongoing rivalry we see between the few MC clubs we now have that can be linked to crime. According to the Department of Organized Crime in the Oslo Police Department, these are followed carefully, and they are partially scanned 24 hours a day. At the same time, it is emphasised that they are only taken when they do something criminal, but do not do zero tolerance work against these environments. What it does not mean to do zero-tolerance work against these environments, I would ask the Council of State to say something about, all the time experience from other countries, including Norway, suggests that zero-tolerance work is absolutely necessary against these types of environments and the recruitment methods they use. I therefore ask the Council of State to say something about what possible assessments might be behind the fact that the police at least seem to have a semi-offensive attitude to this, and also say something about how he assesses the likelihood of underestimating that this can happen in relation to these young people, for example. a self-radicalisation that PST fears in the case of Muslim youth sitting in front of the PC. Similar mechanics and methods of giving up can also be applied to other types of young people who do not have a Muslim background but who listen to other environments and so become self-radicalised. I think it's important to agree to learn from what we're doing in Norway that's right, look at what makes us not yet have had many episodes related to these environments compared to some other countries. At the same time, we have freedom of movement. We have open borders. We're a little rich country. As for the second type of crime, we've been taken to bed and surprised by the flood of profit crime we've seen. That's the question: is this a situation related to the MC environments that we might think might be, that we are kind of a small, isolated, happy country where the crime of the MC clubs is almost non-existent, as the police put it. The recent report of the National Audit Office on organised crime, which was at the hearing of the Control Committee, said a lot about how the authorities have been and are still ‘on the verge’ of how to organise the work on organised crime in which the MC environment, at least abroad, is very involved. Relatively recently, in a NRK document, prisoners in Norwegian prisons were almost looted by Norwegian efforts to combat organised crime by never taking those who are the real backers, but taking the small and medium-sized fish, not the thirty people, thought they were behind. The national audit report calls for stronger intelligence and analysis work at national and, in particular, at regional level, including several strategic analyses, in order to make efforts against organised crime more targeted and coordinated. The study has shown, as is known, that there are considerable differences in the extent to which cooperation and information flows are established between the criminal services and the police. Then came a well-known case, namely that the police's ICT systems do little to facilitate effective crime prevention. There we are, but we're going to use several years before we have new ICT systems in place. In addition, this survey showed that the use of international police and prosecution cooperation was not optimal. Much of it underpins the proposal of the Right now under consideration in the Justice Committee on a better strategy and action to combat organised crime. The fact that the MC environments are pushed out of Oslo and that these crowds may be more likely to build up in other police districts because of lack of interaction is a worrying opportunity. I therefore ask the Council of State to re-examine the situation in the various police districts of the country, the way in which they interact, and, not least, the way in which government authorities provide concrete assistance, for example. municipalities in their efforts to prevent these clubs from getting footholds also in police districts and municipalities outside Oslo. We know that this kind of cooperation is absolutely necessary to prevent it. We now know that after nearly two years of probation, Outlaw's MC Trondheim has become a full-fledged member of the global club. Harald Moholt, police inspector at Trondheim, said the following to the VG-net on 12 October: "We are not celebrating, to say the same." I don't think we will do that when we have now established a new department in Trondheim. At the same time as the police keep up-to-date on developments, they also tell VG networks on 12 October that they will leave the clubs alone as long as they do not show up in the criminal image. The police further state: 'We don't spend much resources on this as long as it's not necessary, we'll see where it goes.' It is possible that this is an expression of a healthy, professional and waiting attitude, but it is far from safe. This, of course, has a clear link to the fact that police districts are still in a difficult situation. I'm not going to run the entire budget debate here, but 100 unaccompanied graduates, eight job vacancies, investment in ICT, a partial reduction in population growth in the country's police districts, the phase is a few years after the 2020 report on police personnel was presented. In this picture, the police should therefore give priority to working against environments that may be in the process of getting bigger footholds in Norway. So the question to the Council of State is: after we discussed this last year and in 2007 – and I know, and the Right knows, that there have been several things since then – how does the Council of State assess the situation since the last time? This challenge was addressed in Stortinget. What new steps will the Council of State take to meet the development itself and not be lost in the run-up to a development where I think that some of the statements of the police in Oslo and Trondheim, respectively, could indicate that the police are unable to carry out a zero-tolerance work that they should absolutely do in view of the possible emergence of several of these environments?
