ParlaMint-NO_2010-02-10.ana.ud2182e26	The representative, Mr Sortevik, will make a proposal for a representative.
ParlaMint-NO_2010-02-10.ana.ud2182e122	I would like to ask the follow-up question to Minister for the Environment, Solheim. The Minister of Industry says that you have to be able to count on someone making false claims, and that may be so. But I do not entirely agree with that. If you run a company and you sponsor a sport, and that sport goes against the company, it is not quite natural that that company will continue to be positive about sponsoring. So to my question: Norway's Environmental Protection Association and Kurt Odd Kalv are receiving State aid from the Ministry of the Environment for 250,000 kroner. Does the Council of State consider it right for an organisation trying to hit Norwegian jobs and Norwegian industry with undocumented claims to be rewarded with state support? My second question is: Will the Council of State take initiatives to remove State aid to the Environmental Protection Agency?
ParlaMint-NO_2010-02-10.ana.ud2182e129	The answer to the first question, which is also answered by Trond Giske, is a roaring yes! At the moment the state starts to disapprove of support for the organizations because we don't like or because we disagree with what they say, we're in a slide that I don't think anyone in the Storting wants. We have a variety of organisations that come up with positions that are contrary to the interests of the state, which are opposed to different industries in Norway, which we find unpleasant. We still give them state aid, and if Trond Giske and I were to be the top judges over who deserves support, and who does not deserve support, I think we are on a track that the Progress Party will be the first to call out warning against in many other areas. I think the Progress Party here should adhere to some principles, namely that we do not distribute support because we agree with organisations, but we distribute support on a much wider basis. I must also say that the best answer to some of the challenges Oddekalv brings, and also when he makes false claims, is that the aquaculture industry sees itself in the same way as industry saw itself in the 1970s and 1980s, as an industry with a major challenge, a very important industry for Norway, but that must address its own environmental problems and solve them.
ParlaMint-NO_2010-02-10.ana.ud2182e138	Svein Fleet – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e142	We can continue with the Minister for the Environment since he's already up here. Last week I had the pleasure of discussing these problems in the Minister of Industry's own constituency, in the South-Tronde Team, with Kurt Oddekalv and not least with all those associated with the salmon industry, who run tourism there, river owners, landowners and not least state politicians and municipal politicians. What comes out there, both in terms of the farming industry and taking care of the wild, and not least in terms of business, tells me that we need a slightly more comprehensive debate on this. That is why I can welcome both the Minister for the Environment and the Minister for the Economy that, on Monday, an interpellation was sent to the Prime Minister with the wish that the department concerned would come to the Stortinget to discuss this. I hope that the Minister for the Environment believes that this is a good initiative, and now he will support this, that we have a broad debate on it.
ParlaMint-NO_2010-02-10.ana.ud2182e151	I think it is absolutely crucial to have a broad debate on the challenges facing the farming industry. On the one hand, the breeding industry is an incredibly important industry for Norway, one of the most important coastal industries, one of the largest export income servers in Norway. So it's an incredibly important industry for Norwegian society and for Norwegian settlement. But it is also an industry that may have one of the biggest environmental problems some Norwegian industry has. We've seen the salmon situation lately, and we see the large number of escaped farmed fish. We have had a decline in the wild salmon population in Norway, which is now just about a quarter of what it was in the 1980s, which is dramatic, not because of the farming industry alone, but also because of the farming industry. My call for the farming industry is to look at itself in the same situation as industry was in the 1970s and 1980s: an important industry, but with a major environmental problem. The industry has taken hold of it. Today, industrial pollution is an almost non-existent problem in Norwegian society, and if the farming industry can act in the same way as industry, it will go from being a positive industry with major problems to just being a positive industry.
ParlaMint-NO_2010-02-10.ana.ud2182e163	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e166	The question of follow-up is also addressed to the Minister for the Environment. The Christian People's Party will not give any unreserved support to Kurt Oddekalv – on the contrary. We are very happy and relieved to hear the Government be so clear in this round that one distinguishes between state aid and assessment of the opinions of the various organisations. The Minister for the Environment has now made it clear that he sees that the farming industry has major environmental challenges. He has actually written to the Swedish Committee on Control and Constitutional Affairs and said that the main reason for today's situation in the wild is that we do not control the environmental impact of the farming industry. The questions raised by the Minister for the Environment will then be: Does the Minister for the Environment agree with the Minister for Industry, who has just said that the breeding industry is a success story? Does the Minister for the Environment agree that there may be a need to assess countermeasures against campaigns abroad, which say that the farming industry is not sustainable?
ParlaMint-NO_2010-02-10.ana.ud2182e177	Let me first say that Kurt Oddekalv must be very satisfied with the attention he gets here. I think that's exactly what he wants. Of course, if Kurt Oddekalv makes mad claims, Norwegian foreign stations will help put the truth in the right way, so make sure that the claims are met. We have to distinguish between responding to Kurt Oddekalv's claims and withdrawing money because we disagree with what the Swedish Environment Agency does. I honestly believe that the Storting understands what kind of gale we're going on in whose government and greatness would start to distribute money depending on whether we agree or disagree with what different organizations do. So until the farming industry is a success story. Yes, it is a dwindling success story economically, as a housing factor and in terms of earning export income to Norway, but it may also be that industry in Norway with the biggest environmental problem. That environmental problem has to be solved. No one else can solve it for them. We can contribute, but the industry now has to deal with it with a different power than it has now.
ParlaMint-NO_2010-02-10.ana.ud2182e186	Let's move on to the next main question.
ParlaMint-NO_2010-02-10.ana.ud2182e189	The question is for the Minister of Industry. I would first like to commend the Minister of Industry for his new and strong interest in both business and small and large capitalists, to put it this way. At the NHO conference, a few comments came to the fore, where the Minister of Industry said: "Let's stand up in business-friendly Norway for those who have the courage and the will to bet. Right couldn't say better. Furthermore, a site in Norway is an older business owner who is preparing to transfer the enterprise to the next generation. We have to be there for him, too. But last week in Troms Folkeblad, they write about the Nergård group. It is not perceived that the Minister of Economic Affairs is there for them. There, the young people, who were to enter the company in a few years' time, have to sell their shares because they have to have money to pay property taxes. Then the government isn't there for them. I have to say that the government's intention is to bring the property tax, you can now see the results. My question today is: After this extensive contact that the Minister for Industry has had, has he got the impression that property taxes and inheritance taxes are a significant disadvantage for Norwegian-owned enterprises, as they are produced from companies and from 10 business organisations? Setting up for those who have the courage and the will to bet, does it also include a change in these taxation rules? This is something that the Minister of Industry can influence, as opposed to contracts that go out of the country and that he can't do anything about.
ParlaMint-NO_2010-02-10.ana.ud2182e200	Let me first recommend the Fleet to continue quoting from my speeches. It dresses him well, and it gives his posts high quality. This does not mean that although we agree with some objectives, we necessarily agree on all the instruments. That's why we're different parties and we have different opinions. I am aware of what part of business says about the property tax and also about the inheritance tax. I am also aware that very many people in the business community believe that we in Norway have a very good corporate tax, and that it is a good country to run business in. I would like to say that the way Norway has coped with the financial crisis clearly shows that the Norwegian model of public-private cooperation, with instruments that are available when financial markets or the real economy are poor, is very good. We still have unemployment in Norway down to 3pst. In the EU and the United States, it is now 10 pst. In some countries it is beginning to approach 20 pst. In Spain, youth unemployment is up to 50 pst. We're a miracle story. So it can't be that Norway is a very difficult country to run business in. Then I've said, and it's absolutely right that we have to be there for those who are preparing the generation shifts in the companies. It's about framework conditions, certainly, but it's also about such things as skills support systems, where the one who's going to give up his life's work, which he's built up for many years, let go of the business and give new generations the opportunity, get advice, support and guidance, but perhaps also that the generation that's going to take over, who might see things in a slightly different way, and who needs a different source of help and support than the one who's run the business before, also gets it. I think that kind of system we can do a lot to contribute to good generation change. There are many family-run businesses ready to be taken over by new generations, and there we also have to set up the systems that are needed to help them.
ParlaMint-NO_2010-02-10.ana.ud2182e213	I'm disappointed, and I think all the business people who filled the Opera in January would have been if they had heard the Minister of Industry now fall back to general rhetoric about the Norwegian model and how to solve the financial crisis. That's actually not what this is about. What's my credit here is whether it doesn't make any sense to the Minister of Industry when we read these kinds of stories that generational transitions are being made difficult, almost impossible, because we have rules that push the youth out of selling, instead of having rules that bring them in. That is the answer the Minister of Industry must give here, not in general about how to solve past problems and that unemployment is low. I know, many know, but the Nergård group wants to hear something else.
ParlaMint-NO_2010-02-10.ana.ud2182e220	I accept that there are certainly companies, individuals and business organisations that believe things that are different from what the Government believes, and we shall listen to them. We must listen to the arguments, the views and the experience. But I just have to note that neither the Right when they were in government for four years and gave tax credits of 20 billion kroner, found room to remove the property tax – the then finance minister sitting in the hall here – was given a different priority than that. So even the Right did not believe that this was the most precarious problem for Norwegian business. They may even have seen that this had some distribution effects that were not only unfair but that may also have broken the basis of the entire tax system, in that they prefer to avoid these zeros downwards in the table of those people who have the most money in Norway. I'm open to discussing all the rules and systems. But we need a system that is fair, and that works, that ensures the community's income, and that facilitates good business development. I note that the Right did not give priority to this either when they were in government for four years.
ParlaMint-NO_2010-02-10.ana.ud2182e227	There will be four follow-up questions – first Gunnar Gundersen.
ParlaMint-NO_2010-02-10.ana.ud2182e231	I would recommend the Minister of Industry to get down from his high pedestal if he were to succeed as Minister of Industry, for there is no doubt that the government we now have has tightened up to the wealth tax and increased it considerably since 2005. The ownership that Nergård represents is incredibly important for the whole of District Norway, and now it's getting serious in many places. The Minister of Industry says to provide advice, support and guidance. There are questions about whether you can afford to sit as an owner. It must be possible to make an impression on the Minister of Industry when unauthorized heirs may be pressured to sell their father’s life’s work because they have taxes and taxes that kill them. The tax on wealth is very negative in terms of jobs, the possibility of creating new jobs, and it is particularly severe in District Norway. Nergård has shown social responsibility. I want to ask the Minister of Industry, if he understands something about social responsibility: will the Minister of Industry also show the social responsibility that he goes to his boss and says that I should avoid becoming a flop as Minister of Industry, must the wealth tax be removed?
ParlaMint-NO_2010-02-10.ana.ud2182e240	I don't think I'm going to make my business career depend on a yes or no to the property tax. I think business policy is about a lot more. I also believe that industrial policy is about a lot more than tax policy. Although the framework conditions for taxes and taxes are important, there is a strong interaction between public utilities — whether it is helping entrepreneurs with capital or guidance, or whether it is making an extraordinary effort in a financial crisis, or whether it is the education system that makes us have a skilled workforce, providing skills for businesses — which makes Norway so incredibly good. It was said here that business would not hear about the financial crisis. Well, at least that's how I think a lot of companies are happy that they're in Norway and not in other countries. I again find that with the property tax, the Right did little when they were in government. In terms of inheritance tax, which was the second theme here, we have done a lot more in the last five years, among other things. by increasing the amounts of allowances, other than those ever done by the Right of Government. That's when you're in power doing the right things.
ParlaMint-NO_2010-02-10.ana.ud2182e247	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e250	It's probably soon time for the government to talk about its own policy and not about the government that went off relatively many years ago, eventually. I noticed that the Council of State in its response to the representative Fleet said that what they wanted to invest in was competence and support systems for those who were going to take over the companies. But the problem is that part of the family-run businesses can't afford to take over the next generation. That's what's the question here. It serves the government to the credit that he has traveled a lot around and gained expertise from both large and, hopefully, small and medium-sized enterprises and family-run enterprises. The big question to the Council of State is this: Will the Council of State, with an open mind, now consider removing and lowering the property tax and inheritance tax, because in the districts it is precisely the local ownership and the family-owned enterprises that Norwegian industry is often under the guise of?
ParlaMint-NO_2010-02-10.ana.ud2182e259	I'm not going to stand here and open to remove the property tax. In part, there is another department dealing with the kind of rules, and in part, this is the issue that we deal with in each budget. But to have an open mind I'm very positive to. Listening to the companies, being out and talking to them and experiencing how they look at their opportunities for growth, to employ more, to export more and to create viable businesses, is the way we're going to work – talking to them every day trying to get productivity, trying to get new market shares and trying to win the competition with not just other Norwegian companies, but in tough global markets where Norwegian technology and Norwegian companies are doing great work every day. This is in my view something that is about a lot more than the taxes on wealth. In general, I believe that we in Norway have a good corporate tax – positive for the companies – which makes Norwegian companies competitive, even with the high cost level and the standard of living we have in Norway. We will take care of that and develop it further.
ParlaMint-NO_2010-02-10.ana.ud2182e266	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e269	I understand that the mindset has been given a boost in the Government. That's a good promise. I intend to develop one of the parties that has a clear view of the wealth tax and working capital, that is, the Center Party. Here the Christian People's Party and the Center Party stand together quite well – it may be worth remembering in these days as well. Lundteigen, who had a tough campaign on this, said to the Newspaper bureau: ‘We are engaged in removing the tax on operating resources such as tractors, trucks and buildings. In the Central Party, we have now concluded that shares are not to be regarded as working capital." And he continued: ‘I have thought of this proposal in the poultry. It is not useful to have such thoughts on the Stortinget». To me, it doesn't matter where the good thoughts come from, and where they're thinking, but there's actually something in Soria-Moria about this. My question is not where the council thinks about this, but what he thinks about this, and what thoughts he thinks a Norwegian business can benefit from in this way.
ParlaMint-NO_2010-02-10.ana.ud2182e288	As a descendant of small families on both the mother and father sides, I have great respect for what is thought of in the poultry, and for people who work practically every day to get the wheels to walk around in the agricultural industry as well. I think I should leave to my colleague Brerk to take the framework conditions for the agricultural industry. But again: there are also many who spend their own savings and invest in equipment, make sure to hire people, run their businesses, which is hugely important in district employment. Now I also hear the Christian People's Party join the Right and the Advance Party's criticism of the tax on wealth. If the left, which is the next question, also joins it, it becomes the big mystery: why didn't you do any of the world's things with this when the four parties had a majority? It must be that even if the years go by, you have to be prepared for what you actually do when you adopt the state budget four years in a row, and not what you say in fine words when you finally get back into opposition.
ParlaMint-NO_2010-02-10.ana.ud2182e295	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e298	It's probably a reality that's going to come through the government, that income and expenditure have to be connected, and that you've had a very large space of action in the last few years that you may not have had before. But I'm actually going to ask about just a little bit of the wealth tax, the stock discount, which this government has been strangling over and over again, which makes it harder and harder to use its savings to create jobs. Now it is the case that this Council of State has shown great boldness to clean up after former ministers of industry in many areas in relation to the relationship with the big boys. Is the Council also willing to clean up in relation to the small ones – those who are willing to use their money to create jobs instead of placing them in houses? What the government has put up to now is to save money in the house if you're going to do something, not save money to create jobs.
ParlaMint-NO_2010-02-10.ana.ud2182e305	There is a part of business that says that they are concerned that some capital objects, for example: investment in commercial real estate, but also other types of housing stock, is taxed differently from production capital. But I don't have the impression that the opposition is thinking about changing the property and housing tax. On the contrary, in this city, where the bourgeois rulers, you have removed the property tax. Thus, the community is being deprived of income and these investment objects become more favourable than shares and means of production. That's the reality of the government that the Left is holding on to right in Oslo. Once again, there's something about life and learning here. One cannot both say that this is completely wrong, and at the same time implement the policy to an even greater extent where one is actually in power. We don't have any tax systems that are hogd in stone. On the contrary, we have faced reforms that have been in favour of business, and we will listen to them in the future as well.
ParlaMint-NO_2010-02-10.ana.ud2182e313	Then we go to the next main question.
ParlaMint-NO_2010-02-10.ana.ud2182e316	My question goes to the Minister of Industry. 2010 is a demanding year for industry in Norway. Many enterprises report a decline in investment, and turnover growth is slowing despite significant adaptability in many industries and individual enterprises. Some industries and businesses have so far been shielded from the crisis due to well-filled order books before the crisis occurred, but now these difficult times face. This applies to enterprises all over the coast, and this is about jobs. Therefore, there was considerable tension as to whether the contract for the supply of a liquid oil production unit to the Goliath field would fall to the Norwegian supplier industry. On Monday, the reply was that Korean Hyundai was selected in front of Norwegian Aker Solutions – a contract that would have given well over 7 000 annual works in Norway. The Petroleum Act states that resource management will contribute to ‘strengthening Norwegian industry and industrial development’. I would like to ask the government to look at what means we have to enforce the law at this point. This may include, inter alia: be stricter requirements for the granting of licences and stronger requirements for national content when the development plans are approved. This concerns the matter of Goliath, but also future projects, such as the development of Gudrun and new housing platform in Ekofisk, for which expectations are now being created. It is speculated whether Korea is subsidising its own firms in crisis. In that case, this will be a matter for the WTO. Employee representative Atle Teigland in Aker Solutions believes that the allocation of Goliath development remains as a monument to Norwegian political naivety and inescapability. What's the Council's comment on that?
ParlaMint-NO_2010-02-10.ana.ud2182e331	There is no doubt that it was disappointing that Aker Solutions did not win the big Goliath contract. But that's the way it is in the business world: you win some contracts, and you lose some. In the same way that Norway wins international contracts and Norwegian companies become competitive in expanding both oil and gas fields in Brazil, Russia or other countries, we also need to accept that sometimes Norwegian contracts go to foreign companies. This does not mean, however, that we should not be active and ensure that Norwegian companies get contracts. Even the Petroleum Act states that expanding in Norway will contribute to ring-effects. We need to be as active as other countries in facilitating national content. I'm not a follower of an evil circle where countries close up more and more and make sure that contracts are earmarked only for their own companies, not just because I think it's bad shops to destroy the competitiveness and development of every country's economy, but I think it will also harm Norwegian companies, because I think Norwegian companies have technology, opportunities, competence and competitiveness far beyond their own borders. The balance between ensuring that Norwegian companies have technologies and competences and competitive conditions that make them powerful, and taking them up internationally when we see that countries with different instruments enter a grey zone or cross the border with international legislation, and ensure that these mechanisms are removed, will be my approach. That's why I'm taking this up wherever I travel. If I'm in China, if I'm in Brussels and I'm talking to the European Commissioner responsible for competition, or if I'm in other countries, we're dealing with this with the conditions of competition – that we have to have a level playing field for everyone, and that we have to avoid subsidising our own businesses.
ParlaMint-NO_2010-02-10.ana.ud2182e340	I expect that the Council of State believes – and that we agree – that there is a crisis in the industry, and that it is a difficult period we go into along the coast. After all, the state councils themselves have created enormous expectations. I myself was at the yard conference in Ålesund in the fall, and what the Council of State said then was that we should follow the development of the industry closely. But since then it has been quite silent. And the Christian People's Party has, through several questions in the Questionnaire, challenged the Council of State on various proposals for action that we believe are important to the industry. Then I wonder, what will the Council of State do to strengthen the competitiveness of the Norwegian shipbuilding industry, so that we can get rid of the financial crisis that is now hitting this industry so hard?
ParlaMint-NO_2010-02-10.ana.ud2182e345	Let me first say that I have every sympathy and compassion for those who are affected, who lose their jobs, who have taken the chance of a career in a competitive industry, and who experience the job disappearing. That's tough. First of all, we need to set up for all of them and for their families, to ensure that new work is possible, to ensure that new contracts come in, and also to facilitate any transition to other industries where necessary. What's extra tough in this industry is that these are big companies in small communities – the representative knows well from his own country. That's why it's getting even tougher. What we need to see in our eyes is that the global market has collapsed. The number of ship contractions was 95 pst. lower than expected in 2009. It also affects Norwegian shipyards. We cannot build boats that are not needed. Then we have to convert, then we have to facilitate innovation and new technology. There, the state can use its instruments actively. Then we have to use the funding mechanisms we have – whether it is GIEK or Export Finance – to ensure that Norwegian companies are able to win the contracts that are actually announced. There I think we can also improve the arrangements and make even better arrangements.
ParlaMint-NO_2010-02-10.ana.ud2182e352	Three follow-up questions will be raised – first Øyvind Hope.
ParlaMint-NO_2010-02-10.ana.ud2182e355	There are important issues that Andersen Eide has raised in the question. The councils have challenged the Storting up to several times in the short time he has spoken, that we should all take responsibility for our past. Then I have to say that for those of us who remember, it is fascinating to hear red-green government councils now comment on the award of the contract to Goliath in relation to the then energy policy spokeswoman Sylvia Brustad, two major periods ago, commented, both here in the hall and elsewhere, when the Snow White contract was awarded. Then there was a completely different approach. The offshore industry has challenges. We know that the shipbuilding industry has major challenges. Commonly, they need research and innovation to get out of the demanding situation, not least in renewable energy, and to exploit their core markets. The question is: will the Council take the initiative of a research and innovation programme for the maritime and offshore industries in order to exploit the potential of future contracts and renewable energy?
ParlaMint-NO_2010-02-10.ana.ud2182e366	President and former Minister of Industry! This is an area that we've been working on for many years. Among other things, the red-green government made sure to grant 7 million. kr for a preliminary study on a new marine technology centre in a city that the representative should know well, just to be in the forefront of technology. We're never going to be able to compete with Chinese shipyards or South Korean shipyards on compensation of employees, nor are we going to compete on it. But we can compete by being in front of technology. We can develop new hulls that are more environmentally friendly, that save resources. We can use other energy sources and reduce emissions. We can be in the forefront in terms of navigation technology or other technologies. And we can participate in the adventure called offshore wind, wind power at sea. Statoil and Statkraft just won the license for the world's largest offshore wind power field, and the fact that we're going to participate with our companies and develop technology is absolutely something we're working on, together with the oil and energy minister and with Enova, SIVA and all the instruments we have to facilitate it. So there we're going to make a lot of effort.
ParlaMint-NO_2010-02-10.ana.ud2182e373	Harald T. Nesvik – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e376	I'm glad that the Council of States is so wise to point out that one of the most difficult and dangerous things that can come out of the financial crisis is protectionism. Unfortunately, we see some signs – and there are still new claims – that this happens. In the development of Goliath, it was suggested that it could be thought that Korea could also operate by subsidising its shipyards or its operations. Leave it. On a more general basis, I would like to ask the Council of States whether there is now an international effort to review these claims that are coming. Norway also assesses the opening of WTO cases relating to some of the suspicions of State subsidies to shipyards, such as the United Kingdom.? Furthermore, I have another question to the Council of State. The Council of State has repeatedly said that it will come back to the situation in the yard industry. When can we see the result of the work the Council of State has done there?
ParlaMint-NO_2010-02-10.ana.ud2182e385	First, yes, we address the international organisations and also the bilateral question of subsidising the shipbuilding industry. Different schemes may be involved. For example, we were. Concerned about the Spanish tax-lease scheme, which we addressed both with Spain and with the European Commission, but did not provide a basis for raising a case on it. We are concerned about how Chinese shipyards get state capital to finance expansion projects that are cheaper than the yard in, for example. Europe can acquire itself. We must always be aware of that kind of subsidisation. The answer is not that we should participate in the same spiral, which I think we agree completely. The answer is to ensure a level playing field by following the same rules of the game. Now it's not like every time we lose a contract, there's someone who's subsidized. It reminds me a little bit about skiriding, where you have a tendency to think that every time a Norwegian skitter loses, the opponents are baptized. It's not like that. There are good skiers in other countries that we sometimes lose contracts. [[The President Clubs Again]]
ParlaMint-NO_2010-02-10.ana.ud2182e395	In the case of skiing, time is important. This is also true of the Stortinget – in terms of speaking time. We're supposed to stay inside of it. Elisabeth Røbekk Nørve – for follow-up questions.
ParlaMint-NO_2010-02-10.ana.ud2182e400	The working party likes to present itself as the ‘part for boys on the gill’. But the criticism now also increases from this team, as their jobs depend on good framework conditions and not least equity. The consequences of the fact that Norwegian companies are not competitive, can be seen, among other things. when large contracts are lost to the rest of the world. The government has a responsibility for this as it refuses to look at, for example: the possibility of changes in the petroleum law, the elimination of the property tax on working capital and the inheritance tax and the raising of depreciation rates. Does the Council of State see that the Government is now almost alone in believing that it is pursuing a good enough policy for the shipbuilding and supply industries?
ParlaMint-NO_2010-02-10.ana.ud2182e407	Thus, with all possible respect for our differing views on tax policy, it is not depreciation rules, property taxation or inheritance tax that are now affecting the yard industry. It is a financial crisis that has led to the conclusion that, instead of 6 000 ships scheduled to be contracted in 2009, it was about 300. It is not Norwegian inheritance tax that has led to this. On the contrary, it is a market liberalist system, where a crisis in a small market in the United States spread to a global financial crisis, which has taken a heavy toll, first in financial markets, then in the real economy, in particular by the fall in international trade. Now the government is working around the world to get us out of the financial crisis, and is also spending a lot of money in Norway to get to it. Once again, it shows that having a country with economic muscles like Norway, having a mixed economy, being able to use these instruments, has been crucial. And we're going to keep doing that. It is this that, at the end of the year, will also form the foundation of good offices in Norway, namely the repatriation of markets and the arrival of projects and contracts. Then we're going to be competitive and technologically leading.
ParlaMint-NO_2010-02-10.ana.ud2182e414	Let's move on to the next main question.
ParlaMint-NO_2010-02-10.ana.ud2182e417	My main question is to the Minister of State. A few years ago, Norway remained one of the few countries in Western Europe without a national quality assessment system. Now we have. We've gained knowledge, and knowledge makes a difference. Municipalities that systematically monitor and follow up the learning outcomes of students also succeed in raising the results and improving the learning outcomes of students. The director of the Education Directorate, Petter Skarheim, called out a warning message yesterday. He warns against what he describes as the emergence of an A- and B- team in Norwegian school, and calls for rebellion against bad schools. The A team are schools managed by active and ambitious school owners who measure results, set concrete targets for improvement, follow up on each school and make demands on the principals. The B team are those municipalities which do not have a follow-up system and which allow bad practice to continue without intervention from the school owner. A recent report from the Education Directorate shows that small municipalities are slowing down on national samples, and the results of the students are getting worse as the municipalities are smaller. Furthermore, the Education Directorate states that, unlike many small municipalities, large municipalities have systems to follow up the results of national tests and student surveys. Education director Skarheim also calls for greater parental involvement. I quote: ‘Bad results on national samples should lead to a population uprising in line with the detection of poor water quality in the municipality.’ But those who want information about the students' professional benefits at the local school usually meet closed doors. Why is the Government paralyzed and unable to prevent the emergence of a public discordant school in Norway, and does the Minister of Municipalities consider that larger municipalities are important in order to ensure quality?
