ParlaMint-NO_2010-03-05.ana.ud1660e67	The representative, Jan Tore Sanner, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-05.ana.ud1660e263	The situation in the power market in Norway is not satisfactory. The Oslo area, the Hammerfest area and, in particular, the Bergen area and the Middle Norway have a too weak central network. This year it has given dramatic results. The price of electricity has been and is different in Norway. In addition, the state network now assesses the central Norway warehouse filling as tight and the operating situation as challenging in the event of an outcome. This is a situation I as an oil and energy minister are very little comfortable with. The close explanation is a very cold winter and, above all, that as much as 5,000 MW of Swedish nuclear power has been out of the market – the last as a result of maintenance at the Swedish works. 5000 MW is above 5 pst. of the installed effect on the common Nordic market. It is not possible to replace it with short-term measures. Today, about 3100 MW are out of the Nordic market due to the same problem situation. However, the longer-term explanation that we have different prices of electricity in Norway is different. This is due to 20 years of neglect in Norway. Since 1990, investment in the central network has been low in Norway – they have been too low. That's regrettable, and we have to do something about it, and we're doing something about it now. But as everyone knows, central networks take time to build. I do not want major regional price differences in Norway. My goal is that everyone in Norway should have equal price of electricity. It requires new power generation. It requires energy efficiency improvement. It requires increased use of direct heat and requires a good internal transmission system in Norway and in other countries. Statnet’s two mobile gas power plants in Central Norway constitute energy reserves for use in very demanding power situations, situations where the risk of rationalisation is assessed to be high. The purpose of the use is to avoid severe energy shortages and hence rationalisation. This is mentioned in Ot.prp. No 62 for 2008-2009, and the Committee had no comments on this point when it was discussed at Stortinget last spring. Under current concessions, high power prices are not a criterion for starting back-up power plants. In addition, the starting point for the entry into service of the works shall be that Statnet uses all other means to deal with any strained power situation before the start of the operation of the mobile power plants. In particular, pursuant to the Energy Code § 7-4, exemptions may be granted from the conditions granted under the Energy Act. The NVE has now received such an application from Statnett and has already submitted its recommendation to the Ministry of Oil and Energy. Statnet must also apply to the Ministry of the Environment for the conversion of the emissions permit. According to Statnett, it will be done as soon as possible. In the application, Statnett points out that there are no very strenuous power situations, SAKS, in central Norway today, but that the power situation is tight. Low levels of storage lead to difficulties for several power plants in providing adequate power reserves in an efficient operating situation. According to the NVE’s submission to the application, one or more individual events may result in a rapid change in the situation. Examples include reduced import capacity from Sweden, individual outcomes of important components and higher consumption due to low temperature. Such events may lead to challenging situations for the short-term balance of effects and the longer-term energy balance. The application for a derogation is limited to 31 May of this year. The application is now under examination in the department, and therefore I cannot comment further on the content or evaluation of it now. At the initiative of Norway, meetings have been held at political level between Norway, Sweden, Finland and Denmark on these issues. Countries agreed on the long-term work for more networks and more production. It includes, inter alia: multiple cross-border connections and the Norwegian-Swedish certificate market. On Thursday 25 February, I had a telephone meeting with my Swedish colleague Maud Olofsson, where I, among other things, was given an up-to-date status on the situation with the absence of Swedish nuclear power generation. I understand that many ask questions about the robustness of the Nordic power system when we see the extreme price results we have had in the Nordic region this winter. I believe the situation of winter has been unfortunate. I would therefore like to take the initiative of my Swedish colleague to start a review of how our common power market works, and how we have experienced this winter, can be avoided. I have also asked the NVE to draw up a report on the winter power situation in the Nordic region. In particular, I have asked them to assess the use of the reserve power plants. I do this because the situation of winter has been unacceptable.
ParlaMint-NO_2010-03-05.ana.ud1660e294	It's going to be line change.
ParlaMint-NO_2010-03-05.ana.ud1660e297	The debate today has been very exciting. Those who try to ignore the proposal argue only on the basis of the price question. The proposal is probably so much a question of energy balance and energy reserves this spring. It's going to take over. What is missing today is not effective. What Statnet has the ability to start up its gas power plants is power problems. What we're talking about here is that there's probably so much energy problem with low magazine fillings, very low snow reserves. Therefore, I would like to ask the State Council to confirm whether the authorities can rule out a situation in which there is actually a lack of energy in this area, and where the mobile gas power stations are not enough to address the deficiency, both in relation to the risk that lines to the rest of the world will fall, be put out due to maintenance, or that a mere use of too much electricity and have not used the mobile gas power plants before. Can the Council of State guarantee that there will not be an energy shortage in central Norway this spring?
ParlaMint-NO_2010-03-05.ana.ud1660e306	I think my post was marked by being an intervention by a concerned minister in relation to the situation we have in parts of Norway now. With regard to the specific issues raised by the representative, about the effect versus energy and the somewhat longer term here, I also mentioned that in my post. I believe we have a challenging situation in terms of energy supply in parts of Norway by 2011. As of today, I believe the challenges are greater in relation to winter 2011 than in spring 2010. But we have little snow in the mountains, and that's a challenging situation right now. In the case of gas power stations and their start-up, the reality is that, within the ordinary regime of the gas power plants in Central Norway, the opening of State grids is to promote applications based on their assessment of energy in the region. So what the representative is now taking up is covered up within the regime that applies.
ParlaMint-NO_2010-03-05.ana.ud1660e315	It is good that the Council of State has taken the initiative towards its Swedish colleague and other Nordic colleagues in the situation in the Nordic region. But it would have been even better if the Council of State could show action in relation to the situation at home. Here we are talking about a notified crisis. It's happened before. The government has had a majority, they can do whatever they want, and there is no action. Where should the pain limit go as to what people and businesses in Central Norway are going to pay, because this government is not able to act? That's the one question. The second is: how does the Council of State come forward with the two proposals presented from the Right today to include prices as part of the criteria for start-up, and that we ask the Stortinget to give the Government the power to start up these mobile gas power stations prior to the new criteria and guidelines being in place?
ParlaMint-NO_2010-03-05.ana.ud1660e322	The last question I will almost refer to is the comment and the job that the representative Meling was also involved in when this question was considered in the Committee in connection with Ot.prp. No 62 for 2008-2009 before the summer holiday last year, where there was agreement on the criteria for starting up power plants. This issue was discussed by the Government in this connection. As far as I have been able to read the setting, there was no deviation from that view then. It has also been achieved in the debate so far today that what was going on at the time is also the position of the government parties on it now. When it comes to nothing being done, I just completely disagree with the representative. I believe that the fact that we have spent SEK 5 billion in the region, that we have put in place cross-links with Sweden, Nea–Järpströmmen, is quite concrete examples of central Norway being focused on network reinforcements. Furthermore, there are plans for DKK 2.5 billion to be used in the region. So it's completely wrong what the representative Meling says, that nothing is being done in the region. There's a lot of focus, billions of dollars are spent to improve the power situation in Middle Norway.
ParlaMint-NO_2010-03-05.ana.ud1660e329	The Council of State concluded its observations by saying that the situation of winter has been ‘unacceptable’. He began his post by saying that it was not satisfactory not to have equal power prices across the country. The Christian People's Party agrees that it is not satisfactory not to have equal electricity prices across the country. This can be solved. It can be solved in the short term. The Council of State also stated that it took a long time, to develop central networks, to increase power generation and also to improve energy efficiency. But price ranges can do something about this in the short term by cancelling the different price ranges, four or five price ranges that we have a little bit to different days. Will the Council of State assess this precisely in order to achieve the objective of equal electricity prices across the country — and thus to be effective in the short term as well?
ParlaMint-NO_2010-03-05.ana.ud1660e334	It's a very scary form of action. My main concern, my main concern about the power situation throughout Norway, is ready to make sure that people in Norway have enough power. We obviously have a tough situation today because prices have been very high in parts of the country. But in relation to a situation where people would experience a lack of power, we still have a long way to go about what kind of crisis we're talking about. Indeed, the introduction of price ranges is an instrument to avoid that type of crisis. So I must warn against the idea that Mr Hemdal's representative is coming here. It is simply not sound in terms of ensuring sufficient supply of electricity for the whole of Norway.
ParlaMint-NO_2010-03-05.ana.ud1660e339	I want to follow up on something the Council of State said in its first response to me, namely that in the winter of 2011, he saw 2011 as a bigger challenge than in the spring of 2010. A few weeks ago, the Committee on Energy and the Environment had become a well-known member of the NVE. Then the danger of streamration in Central Norway was estimated to be approx. 10 pst. Today, a few weeks later, the father is estimated to be about 30-35 pst. In a short time, this has taken such a significant step. Then I become seriously concerned when the Council of State says that he sees that 2011 is getting worse than spring 2010, and then we talk in the winter of 2011. But what should the spring of 2011 look like when we know that we've used even more of the water reservoirs during the winter, and the snow smelting hasn't started? Could the Council of States, in order to be very clear, exclude that there will be errors that will allow us to come to lack energy in More and Romesdal, which we could have avoided if one had started up the mobile gas power plants earlier? So, can the State Council guarantee that there will not be a security of power supply situation this winter in Middle Norway, which one could have avoided if one had started the mobile gas power plants now? We want a more offensive approach to when Statnett can start these. It is not Statnet that has made the legislation. It's a political set of rules, which we have every opportunity to change to give Statnet further powers, more offensive powers, which I also think Statnett would have been very comfortable with if they had been given. But we know that the underlying problem here is that mobile gas power plants emit CO2, and then this government gets paralysed – unfortunately.
ParlaMint-NO_2010-03-05.ana.ud1660e353	Now I think we're starting to speak the same language. When the representative Solvik-Olsen focuses on the power supply situation in central Norway up against the mobile gas power plants, we are on track and inside what this is actually about. That is why Statnett has, according to his own argument, submitted an exemption request now. They believe that the network now has such a high load, and that based on an impact situation, one considers the situation as potentially serious and wants to have a short start-up time on these power plants. That's the one part. The second is about the energy situation and something more long-term, which is also part of the assessments that Statenet is going to do. So what the representative here is taking up has my full focus. It is within the assessment to be made by Statenett. It is not possible to provide any guarantees in relation to what the representative, Mr Solvik-Olsen, asks about. That's also why I was so clear about my concerns on the pulpit right now. Avoiding that situation arises is precisely what is important in this discussion that is around it.
ParlaMint-NO_2010-03-05.ana.ud1660e360	First, I would like to draw the attention of the Council of State to the fact that this representative was not at Stortinget in spring 2009. So I did not agree to that treatment, but my part of the right was also behind the criteria for granting the concession. Let's put that behind us. When the situation is that we are now facing a price crisis, where the electricity price is very high for the population, industry and business in Central Norway, a relevant question must be: Where is the pain limit for what they are going to pay because the government has not repaired the network capacity in the area? Because there are people in Middle Norway, there are businesses, and there are jobs we're talking about. There is no reasonableness that I, who live in the South West, should have a far less bill than my colleague who lives in Central Norway, as long as it is the State and Statnett, who is 100 pst. state-owned, which is responsible for the expansion and operation of the network capacity that is now the bottleneck.
ParlaMint-NO_2010-03-05.ana.ud1660e368	I fully agree that there are obvious pain limits for this. The price peaks we've seen have been unacceptable price levels. They've been short-lived, but they just represent a level that one is not close to being able to defend as a general price of energy. So here's the situation that we've seen situations that I see as unacceptable. That's exactly why I said what I said on the platform, that I now want to go through this and get the NVE's assessments of what has happened in the last few months. I also want to go through it with the Swedish authorities to just look at the same thing, with one goal in mind, namely to avoid this happening again.
ParlaMint-NO_2010-03-05.ana.ud1660e373	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
