ParlaMint-NO_2010-02-03.ana.ud2135e26	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-02-03.ana.ud2135e124	Ivar Kristiansen – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e128	We are all very happy that the Shah children are safely located in Norway. Let me just say that the party's warm embrace of the government's handling of this matter has the side that I would have liked to see Sandberg's reaction if Moroccan special forces had done something similar in Norway – but now let it be in this context. It is obvious that three departments have hoped that nothing in particular would be revealed, that this would remain relatively unknown. After the media have every day revealed new features in the matter, it is obvious that now one is looking for scapegoats. Will the Government make sure that the Storting becomes familiar with all aspects of this matter, so that the Storing may also have an idea of who are the real scapegoats, before you now pick in the rows of Defense to create some examples?
ParlaMint-NO_2010-02-03.ana.ud2135e133	Several departments are involved in this type of case complex. Without going into this particular matter, I have to say that both what the Minister of Defence has explained in the light of the issues that have arisen with regard to the defence staff, what the Minister of Foreign Affairs has explained, and what the Ministry of Justice has also stated in the last few days, clearly shows that you want to be as open as you can about these matters. There are, as the Minister for Defence has also pointed out, challenges in relation to more fundamental issues such as: Defendants' employees. For our own part, a new initiative was taken by the Ministry of Justice on Monday to the Directorate of Police — it is known in public — to assure us that policemen do not participate in these kinds of actions. But we have also asked the police director to come back to the department on the issue of former police officers and their role and behaviour in these kinds of cases. I have no counter-representation against bringing that information into Stortinget.
ParlaMint-NO_2010-02-03.ana.ud2135e138	Øyvind Hope - for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e141	The follow-up question to the Minister of Justice also concerns the legal security of children. It is important to bear in mind the legal certainty of children that if you look at it from a historical perspective, over many decades we have changed our view of the position of children in the law and children's demands for legal certainty. The last observations show that we are far from in terms of targets in this area, among other things. This week’s notice of lower penalties for violence committed against children than for violence committed against adults, of poor competence — not least in the police — in relation to the treatment of such cases, and of high level of detention. The government seems very satisfied with its own actions in the responses to these challenges. The question to the Minister of Justice is: What further measures does the Government plan to strengthen the legal certainty of children in this type of case, and what does the Council of State do to ensure that our generation is not later judged not to have understood the legal certainty requirements of children in the judicial and police services?
ParlaMint-NO_2010-02-03.ana.ud2135e146	The government is pleased with the measures taken to strengthen the legal certainty of children, in particular children who are subject to criminal offences. There's no doubt about it. The opposition has also indicated that these are good measures. The measures in this area have been supported. But if you thought, when we started four years ago by lifting this field – because I think it was absolutely necessary – that we should be done within four years, I think you were wrong. That's why it's important, as the questioner also says here, that we're dependent on having a lot of pressure on this still. Some concrete measures should be allowed to mention, as there are many measures in progress. We aim to increase the number of children's homes in Norway. We've established six. There are hundreds of children who are now afraid to say so. It is one of the most important measures. In the near future, we aim to mobilise the municipalities to make their own plans to better capture these children. And we're aiming during this six-month period, which I've already announced, to make a proposition for the Storting, where we're raising the penalty level for these abuses.
ParlaMint-NO_2010-02-03.ana.ud2135e153	Let's go to the next main question.
ParlaMint-NO_2010-02-03.ana.ud2135e156	The Prime Minister made an offensive commitment to knowledge a major feature of this year's New Year's. ‘Knowledge trumps everything,’ was a mantra repeated several times. Now, after four and a half years of red-green government, experience shows that there is a way from celebrations – and for that matter new years – to action and lifting through state budgets. After all, the knowledge sector itself has not been very enthusiastic about the lack of knowledge and education support for several years. In the right, we are concerned about the concerns we are still receiving from the sector. At a meeting with key actors, I have understood, the Council of State itself went a long way in recognising the failure of the Government. At this meeting, just before the budget was adopted – I have the call here – the university and higher education sectors were almost begged to be kind to the Council of State and to stop criticising the public space. Former Minister of Finance Kristin Halvorsen attended the meeting and told me how difficult it was to get through to the Ministry of Finance. A former adviser to Trond Giske told us about how cultural life by boasting of the Minister of Culture had received more money. And the lobby company Burson-Marsteller explained to them how they would operate so-called intelligent lobbying. The message must have been: you have to help and do good to the Council of State. This meeting can only be seen as an attempt to crush a sector and lure it into silence in the hope of getting bigger budgets. Is it really so that it is how kind people are with the Government, and not how important their case is, that is crucial to becoming budget wins? And is this really a strategy the Council of State has faith in will work?
ParlaMint-NO_2010-02-03.ana.ud2135e167	The President assumes that this question was to the Aasland Council.
ParlaMint-NO_2010-02-03.ana.ud2135e170	That's right, President.
ParlaMint-NO_2010-02-03.ana.ud2135e175	After well and well two years as State Council for Higher Education and Research, there's one thing I'm absolutely convinced of, and it's that this is a sector that can't in any way be tamed or tamed. They say from just the way it is, and so it should be. It is our higher education institutions that have an independent role in providing higher education to students. It is researchers and professors who are involved in the top and top line in our research effort, both nationally and internationally. They can argue and sing in public and in any other context in which they are involved, and that is also their important task. The meeting to which the representative refers was a meeting to discuss strategy. After all, it is necessary to discuss strategy in many contexts, also in view of the relationship between the framework for which to fight and which to give, and the content to be in the framework. There must be a link between the important policy objectives of both research and education and the economic basis for them. I thought that those who were present at the very meeting that was mentioned appreciated that we had a fairly good and open discussion about just strategy, and it was of course in no way a meeting that should have the purpose that is here suggested. This sector is absolutely capable of discussing both with its Council of State and to argue for important issues. For my part, I believe that I have been well-informed in the government, not least in what is called a historically high research effort. We are now, in the year's budget, actually up to $23.6 billion for research. It's historically loud, and I'm very proud to have got it done.
ParlaMint-NO_2010-02-03.ana.ud2135e184	I thank you for your answer. As far as I can see, the call for this meeting was sent out on 28 October, i.e. two weeks after the state budget was presented, and two weeks after meeting a sector that was obviously dissatisfied with the budget that had been submitted. I wonder, then, whether the Council of State does not see that this must be seen as an attempt to call a critical sector after two weeks of noise to explain to them the way in which they are going to get greater budgets next time. Several of the actors who were present – and I don't hesitate to call principals at universities and colleges very up-and-coming people – say they've been headquartered for the meeting. One said that this was a very perceptive meeting, not least in view of the agenda presented. So here, obviously, the Council of State and the others present at the meeting have a totally different view of this meeting's agenda.
ParlaMint-NO_2010-02-03.ana.ud2135e194	It is reassuring that, if not so long, a report from a working group that I have set up — a working group to investigate the scope of action in higher education institutions. It arose because there was – and it may still be – a different understanding among those responsible for higher education institutions, and with us in the Government of what is the reality picture. I have great faith that this working group – which is composed of people with a very different background, but where the sector itself is well represented – will come up with some recommendations that can help us to get a common understanding of what our reality looks like. But what is absolutely certain is that no one has hurt to be present at a meeting where one discusses strategy, policy and economics in this area. I saw no principals present at this meeting. So there must have been some thoughts that have come after, and that have absolutely nothing to do with either the purpose or the implementation of that meeting.
ParlaMint-NO_2010-02-03.ana.ud2135e199	Follow-up questions are given – first Svein Harberg.
ParlaMint-NO_2010-02-03.ana.ud2135e202	Reality perception is obviously a challenge in the sector we are now discussing. There is no doubt that very many of those who were at the meeting reacted with headshaking and had a bad feeling in view of the strategy confirmed by the Council of State to be discussed. A little over a year ago, the Council of State called for a strong sector that supported the demand for a few large outflows in the budget. Now it is perceived that the Council of State has almost given a sector a mouth basket and asked them to be kind and quiet to get through. The Council of State says it was to put a strategy, and then I am interested in the following: After this meeting, the sector has notified two-three clear requirements for basic appropriations, capital to obtain quality in new study places and funding – what is the priority of this strategy in these areas? And if the oral curve is not observed, what strategy does the Council of State have?
ParlaMint-NO_2010-02-03.ana.ud2135e209	I will, of course, reject some clues to the oral course. As I said in my first post, these are the people and leaders of our society that you definitely can't put the oral basket on. It's not my wish to do that. On the contrary, I want up-and-coming, good principals and leaders of our research and education institutions who are involved in the social debate. Discussing strategies to improve the performance of higher education and research has nothing to do with bringing together one strategy. I am responsible for promoting matters for the Government in this sector, but I don't think any Council of State will allow to have meetings and listen to the leaders within its sector to discuss what are the most important challenges there. I do that all the time, I keep having dialogue meetings with both organisations and institutions. This was a collection of quite a few of them – with a motif that in no way was as this is suggested. So here's a complete misunderstanding.
ParlaMint-NO_2010-02-03.ana.ud2135e214	Tord Lien – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e217	I note that the Council of State is more concerned about talking about appropriations for research than about higher education. But I'm glad we have a prime minister who says that «knowledge trumps everything». He does so in a situation where we do not have any Norwegian universities among the 100 best in OECD countries, in a situation where we are facing record-breaking growth in the student population, which is actually a gift package for a government that takes knowledge seriously. But then we have a finance minister named Sigbjørn Johnsen, who has said that it should be tightened up, including in this sector. This could lead to a shortage of resources allowing the increased quantity of students to lead to a reduction in quality. The answer is very often: the Action Room Committee. It would be interesting to know if the Council of State itself has made any thoughts – if these strategies cannot provide more money – about what other steps can we take to strengthen the quality of research and education in the higher education and university sectors?
ParlaMint-NO_2010-02-03.ana.ud2135e224	I'm not quite sure if I understood the whole question, but I'm going to try to answer from what I understood. Of course, you want a lot of tools to meet what we call the educational wave, which the representative Lien was in. We know that there's going to be an increase in the number of students in our universities and colleges, and that's exactly why we've put forward a case that Stortinget now has to deal with. It's called the Education Line. In that case, there is a basis for the strategy that I hope the Government will be able to carry out with the Storting in order to maintain the good quality of the study offerings that are available, while at the same time being able to take in more students. We have already started that job through the revised national budget this year, and we will follow it up. The size is now going to discuss the whole basis for the measures and plans that need to be put in place to meet this educational wave, which I fully agree we need to take a positive look at. I think it is good that Stortinget now has this matter for consideration. It will help very well to bring about a good debate in the future.
ParlaMint-NO_2010-02-03.ana.ud2135e231	Let's move on to the next main question.
ParlaMint-NO_2010-02-03.ana.ud2135e234	My question goes to the Minister of Oil and Energy. It's been 40 years since we started oil production here in the country, and it's the interaction between government requirements and professional input that makes Norwegian oil and gas policy and production where it is today. The red-green government has put some Norway records – first, in the number of search licenses. It is well that the red-green government has distributed twice as many light licences as Gro Harlem Brundtland's government in its time did, and as the Bondevik II government did. It must probably also be a small record that we can read about in the Evening Post online, that environmental authorities in 45 p.m. cases are being overrun. These are, then, the environmental recommendations of the SFTs – or now of the Directorate of Climate and Pollution – that are not listened to in relation to the allocations chosen by the Government. I'm aware that there are different disciplines that make sense. You evaluate, and you weigh, and then it's the government that finally takes an overall assessment. But if we look at the Soria Moria Declaration – which is in a way the Government's basic document – it says that it should be a «long-term management of petroleum resources». I guess there's a little conflict with this search chord assignment. It also states that there should be ‘knowledge-based’ management of our oil and gas resources. My question to the Council of State will then be: how does this relate to the fact that on the one hand we distribute many search blocks, while on the other hand we do not listen to SFT, at least in 45 pst. of the cases, from 2005 until the end of the year?
ParlaMint-NO_2010-02-03.ana.ud2135e247	There are two main answers to the question from the representative Hemdal. First of all, there is an extreme difference between the findings that were made back in Gro Harlem Brundtland's time, as the representative mentioned, when we found Gullfaks, Statfjord, i.e. great findings in the North Sea – gradually in the Norwegian Sea – and the findings we are doing today. That means that if we had the same level of exploration and number of allocations today that we had in the 1980s and 1990s, we would have done a lot less finding, we would have done less finding, and we would have had an even stronger reduction in oil production than we see now. So if we're going to have an approximately equal production of oil and gas in the sum in the future as what we have now -- we see that the curve in any case is slightly decreasing for the two in sum -- we have to do more findings than what we did in the past, just because the findings are smaller. To the question of environmental authorities: This is a new, eye-catching question from a representative of the size of the population, for the basis of the allocations we are making, because the management plans adopted by the Stortinge Sea have been adopted. The size of the sea is invited to make decisions, where the overall assessment is to be made, based on input from the various professional authorities. As the representative then says, in that process, it is quite natural that there are different issues, different assessments, related to the boundaries one sets up against the coast, the restrictions one imposes on specific areas where there are large fish resources, etc. There is a big and important discussion where the Storting has been invited to make decisions based on the processes associated with the management plans. Once we've done that, the process is then to make concrete allocations based on the framework the Storting has decided.
ParlaMint-NO_2010-02-03.ana.ud2135e254	I do not think the Council of State should be so surprised that a representative of the big business is asking this question, because it also has what policy this representative of the big business and the party stands for. The councils were talking about big findings. In 2010, the Government will decide whether to open up the Lofoten and the Vestreål to oil and gas activities. I guess many people think that there might be a lot of fun here. Now we're in the final phase of acquiring knowledge about this. There's coming new knowledge after Easter, and I think there's a lot of us looking forward to it. But if it were to be the case that the Climate and Pollution Directorate, the Directorate for Nature Management, the Marine Research Institute and the Polar Institute would end up dissuading the opening of the Lofoten and the Western Sea from environmental reasons, can the Council guarantee that the environmental grounds are taken into account and that it will have an impact on the conclusion that the Government will present in the management plan that he spoke so nicely about in previous speeches?
ParlaMint-NO_2010-02-03.ana.ud2135e262	As the representative is familiar with, a comprehensive run towards a management plan and a revision of it related to the areas mentioned has now been made. I'm not going to go in there and shoot that process. It would be wrong for me to do here now.
ParlaMint-NO_2010-02-03.ana.ud2135e267	Four follow-up questions are raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2010-02-03.ana.ud2135e270	I interpret the Council of State's response there – he was quite clear about it – that he is not willing to advance nor is he willing to advance support or give priority to any environmental advice on the issue of opening up the Lofoten and the West Oil Bar. In recent times, central politicians from the Workers' Party have expressed their confidence in a compromise on the Lofoten and the Vesterål in the management plan. The centre party was clearly opposed to opening up in the election campaign. What are the main factors when the Council of State is about to start negotiating with the Workers' Party on the Lofoten and the Vestral?
ParlaMint-NO_2010-02-03.ana.ud2135e279	I perceive that the view of the Centre Party in this matter is, as the representative says, well known. There has been a lot of discussion about these questions in general. My answer to this question is nothing different than what was my answer to the previous question, that we have now set a course for a comprehensive and – I am absolutely sure – a good process. We need to acquire knowledge, we need to make different balances, and then a proposal will be made for a revised management plan, or a rollover of the management plan, probably at the end of this year or at the beginning of next year. Then we get back to these questions.
ParlaMint-NO_2010-02-03.ana.ud2135e284	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e287	It is easy to see in the media debate that the Ministry of the Environment has a very free-handed way of allowing its bureaucrats to participate in the debate on society, especially in the oil and gas debate, while the Ministry of Oil and Energy does not take part in the bureaucrats. Then you get a very one-sided thing, where you also see that the same bureaucrats from the bodies of the Ministry of the Environment are often out and sorry when they don't get access to all their views. I'm not worried that they don't win all of their things, rather on the contrary, even if they make important recordings. More worrying, on the other hand, for the value creation in Norway and North Norway, is the work done by the Ministry of the Environment in relation to UNESCO and World Heritage, where the signals indicate that if the World Heritage Request is implemented, it will stop all practical oil activities, wind power and new industrial activities. This is therefore the same department responsible for drawing up the management plan. When they have completed an application for this before the management plan has been examined, is there not a danger that one may interpret it so that the Government in that area has already concluded and that there will not be opening up to oil activities in the northern regions?
ParlaMint-NO_2010-02-03.ana.ud2135e294	I can assure the representative of Solvik-Olsen that the process that I have also commented on earlier is real. It's going to be real, and we're going to have a thorough review of the different questions. Nor is it the case that the Ministry of the Environment is properly responsible for running the process related to the management plan, which is a process that does not involve other departments. This is a matter that is going to have a broad focus in the government, in which the Ministry of Oil and Energy and other departments are going to be heavily involved, and where the different points of view are guaranteed to be conveyed along the way. The process must therefore be both wide and good.
ParlaMint-NO_2010-02-03.ana.ud2135e299	Siri A. Meling – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e302	It's going to be possible to pick different angles of incidence to this percentage, i.e. 45 pst. environmental authorities are not taken into account in these cases. But you can also view it that way that in 55 pst. – over half of the cases – follow the input from environmental authorities. That's a lot. We are proud that we have an industry that produces oil and gas in the most environmentally friendly way by everyone around the world. This is not least because strict environmental requirements have been imposed. Now we see that in 55 pst. Of these cases, environmental authorities are given some support, so my question is a little different: does the Council of State think that environmental authorities might be given too much to say when it comes to the allocation of blocks?
ParlaMint-NO_2010-02-03.ana.ud2135e307	I believe that in policy in general and in oil and gas policy in particular, the balanced solutions are the best solutions. I believe that what has characterized the development of Norwegian oil and gas policy is precisely that. We've been at the top of the world when it comes to setting demands. The industry has probably often felt that Norwegian authorities have been tough to deal with, because there have been demands, whether there were bans on torching, zero emissions in the Barents Sea, etc., which there and then meant that the industry had to deal with technological challenges that they might not be ready for when it came to the activity on other sockets, and in the short term there was an increase in costs. What we now see is that, as a result, we have both managed to get the world's purest oil and gas production in Norway, and that it has also contributed to a technological development that the supply industry in Norway now benefits from because it can go out in the world with it. So I'm quite sure that balancing environmental considerations against fisheries and oil and gas is a wise way to pursue oil and gas policy. I'm going to keep going.
ParlaMint-NO_2010-02-03.ana.ud2135e314	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2010-02-03.ana.ud2135e318	When the Stortinge dealt with the management plan for the Lofoten and the Barents Sea, the overall emphasis was placed on the precautionary principle. Does the Council of State think that he has been following orders from Stortinget satisfactorily when the environmental recommendations are still being abandoned, as we heard in the opening question from Hemdal?
ParlaMint-NO_2010-02-03.ana.ud2135e323	I do not agree with the premise for the question. I do not agree that Norwegian oil and gas policy is a policy that is pursued across environmental interests and across input from environmental authorities. I believe that it is just the balanced solutions we have found, and I believe that the answer that I just gave to the representative Meling is a good answer in that way. We have been the country in the world that has made the strictest demands on industry, which has also made us clear, for example. to impose zero emissions at sea in the Barents Sea. I believe that we take account of the input that comes from environmental authorities, and so, as I have also mentioned before today, it will always be a balance in relation to where to have concrete activity, the requirements to be set for close coastal areas, the requirements to be set in areas where there is a great deal of fishing interest, etc.
ParlaMint-NO_2010-02-03.ana.ud2135e328	Let's go to the next main question.
ParlaMint-NO_2010-02-03.ana.ud2135e331	There were questions to the Minister of Oil and Energy. The electricity price in Central Norway has been cloud-high for several periods. A few weeks ago, the 8 kroner peaked, and at the end of last year, the 11 kroner peaked. This occurs at the same time that the country owns power production in the area they refuse to use and hides behind concession rules. Now there are many local actors who have recently called for the existing power generation to be used when power prices become sky high. The county rapporteur in Nord-Trøndelag, local rapporteurs in several of the municipalities in central Norway, the business community and most people in the street, who actually have to pay the cost of a faulty energy policy, require all production capacity to be put into use. Then we could still hear at the Political Quarter this morning that the Erling Sande of the Centre Party, head of the Energy and Environment Committee, believes that the situation in Central Norway has not been such as to suggest that the gas power plants should be put into operation. You just have to think about how much power is going to have to rise before the situation gets used. The Socialist Left, on the other hand, says no because of CO2 emissions, and then you can reflect on the level of tolerance you have in an offensive climate policy. While the County rapporteur of the Workers' Party in the South-Trøndelag more has resigned when he said in Technical Weekly yesterday: ‘I don’t understand what Statnet is going to do with the mobile gas plants. We have had prices of 11 kroner/kWh. This is to keep us fooled." He notes that Statnett will never use the gas power plants with the legislation that is now at the bottom. So this is a regulation that can be changed politically. To prevent consumers from getting electricity prices in the middle of Norway once again, or over and over again, which are many kroner and would also like to receive two-digit amounts, you should use all the capacity you have. Will the Council of State now take an initiative to amend the legislation so that price levels can also be a criterion to which Statnets can apply when assessing whether gas power stations are going to be put into service?
ParlaMint-NO_2010-02-03.ana.ud2135e348	Firstly, I believe that the electricity price in Norway should be equal, wherever in Norway. That is why we have a great job ahead of us in doing the job that has been done too little – that is, building a network. We need more networks, we need better transport channels for the flow through our country. It has shown this winter in a I may not say well, but it has shown us clearly that this does not work well enough. At the same time, it is important to be aware that we have more of a South Norway situation than a Middle Norway situation. The price in Central Norway today is 52.4 cents. It's 52.4 cents in Sweden, and it's the same in Copenhagen. The biggest deviation in the price we've had between Middle Norway and the North during this period has been 1.7 centimeters. What we see is that as a result, among other things, by the correction of the Nea-Järp current is the flow of energy out and into Middle Norway a little better than before. That means that Mid Norway is now part of the Nordic electricity market, while South Norway is not, because we have too bad connections between the Oslo area and South Sweden in particular. It's being worked on in relation to the South West link and the connections there. The starting point here is that there is a common situation in Central Norway and the Nordic countries. Then the representative takes up the question about the mobile gas power plants. I believe that it is a great security for the people of Central Norway to know that, in any case, we have a production reserve that provides preparedness in the area. There is enough power for consumers in central Norway, and that was the purpose of setting up the mobile gas power plants right there. We shall ensure that this security is maintained through the fact that the criterion for starting up those works is just being prepared.
ParlaMint-NO_2010-02-03.ana.ud2135e357	I thank you for your answer. Talking about having mobile gas power plants on standby, but believing that a power price of NOK 8 or NOK 11 is not enough to put them into service, is like a hospital saying that you have medicine in stock, but you don't use it until the patient is dead. That's what's relevant here. Nor is there any comfort for people in central Norway to show that South Norway has not had a power price of 8 kroner or 11 kroner per year. kWt. The problem is that the electricity price in Central Norway and North Norway has been sky-high, and then people have very little understanding that the state is disposing of the power generation that they do not want to use. The reason is obvious: there is a disagreement about CO2 emissions and such things, and this makes you paralysed in relation to this. This is a completely political process – if you want to. Then I repeat my question: will the Council of State take the initiative that the price mechanism here also become part of this? If you go all the way to school on prices, prices will always balance a market. The question is whether you are willing to take the consequence that the electricity price is between 10 and 15 and 20 kroner in order to restore the balance.
ParlaMint-NO_2010-02-03.ana.ud2135e367	What is a fact in this regard, and as I feel the representative is jumping over here now, is that Mid-Norway, as a result of network improvements, is part of the Nordic electricity market. This means that the reserve power plants in Central Norway represent 3 per million of installed capacity in the Nordic market. If the representative Solvik-Olsen now makes it a point that the price in Middle Norway is falling with the start of two back-up power plants, which thus have 3 per million of the installed power, then I disagree that there will be one measure that will help to make the price low rather than very high. The thing is, we've had the results of nuclear power plants in Sweden. There has been a low production of electricity in the Nordic region, and these are producers with completely different capacities than the reserve power plants in Central Norway. At the same time, it's been cold in the area. So we don't have to make the debate simpler than it is, because in reality, those reserve power plants have a limited capacity. In addition, Mid Norway is part of the Nordic market.
ParlaMint-NO_2010-02-03.ana.ud2135e374	There will be follow-up questions – first the representative Oskar Jarle Grimstad.
ParlaMint-NO_2010-02-03.ana.ud2135e377	We now see too many examples of unmanageable prices for business in Central Norway. In Forest, one saw the need to shut down a paper machine because of the high power prices. We see that the downstream power-processing industry will not be relaunched due to high electricity prices, and energy costs have a significant negative impact on business start-ups. Weighted delivery stillness is the conclusion of customers in the country, who are again lost customers. Is the State Council in agreement with the Progress Party that a price level of SEK 1 to 2 is so high that the concession conditions for the start-up of gas power plants should be changed? When we know that Mid-Noreg is below 5-6 billion kW, we're not talking about 0.3 per million of Nord Pool's entire area – we're talking about supply in Middle Norway that gives a completely different figure compared to what these gas plants can bring.
ParlaMint-NO_2010-02-03.ana.ud2135e382	I thought I answered that question, which was also asked by the representative of Solvik-Olsen. But with regard to the situation in central Norway in general, I believe that we have come into a somewhat lucky situation in that area because large industrial projects were started for some years ago without having to fill up with the corresponding production. This means that it has now been necessary to make extensive efforts to ensure that both production capacity in central Norway, where it is, among other things. significant Enova funds have been allocated in the last year to start new production and the transfer capacity out and into the area needs to be significantly improved. With regard to the latter, Ørskog–Fardal-traseen is the major measure that will mean a completely different situation in central Norway than the one we have seen before, and I am not comfortable with the fact that the price in central Norway is different from the other in Norway. We should have one price of electricity in Norway, and therefore we need to build more networks and get up the production of renewable energy.
ParlaMint-NO_2010-02-03.ana.ud2135e389	Bjørn Lødemel – for follow-up questions.
