ParlaMint-NO_2010-05-04.ana.ud1413e57	The representative of Trond Helleland will put forward a proposal for a representative.
ParlaMint-NO_2010-05-04.ana.ud1413e452	It has been interesting to follow the debate following the interplay of the representative, Højlund. It is, to this extent, concerned with what one might call the twice prerogative of the Government. The government's domain is foreign policy, but it is also the government's domain to distribute the business between the members of the Government. So it's entirely the government's responsibility, what we're discussing. At the same time, there is a long historical tradition that the Storting is more than interested in the design, content and arrangement of the service. The representative, Højlund, pointed out the enormous symbolic power that is just about Norway’s autonomous foreign service. I think we're going into a phase now that its significance is going to increase rather than decrease. Several of the perspectives drawn up in the debate will contribute to this. I would like to say that I am pleased that the Minister for Foreign Affairs is so conscious that we are now in an important phase in terms of the possibilities and potential of cooperation between the Nordic countries in the field of foreign stations. I fully agree that we should carefully assess what serves Norway’s interests in this regard, but the Stoltenberg report has created a platform that makes this natural for us to address now. At the same time, the organisation of a EEAS means that things are moving in the Nordic countries that are members of the EU. This means that we can face an important momentum in terms of opportunities for greater cooperation in some places between one or more other Nordic countries and Norway. I am pleased and will just underline and support the forward-looking attitude that I feel the Foreign Minister at that point expressed in his statement. We have an ambitious line in the Norwegian foreign service. We are present in many places, and we are present with very competent people. At the same time, from time to time, we experience that the external service is affected by what all social services in Norway are affected by, from time to time, the dissatisfaction of increasing expectations. I think the representative Gustavsen had some important points in how the EEAS is constantly meeting new demands, new expectations – not least from individuals who experience different kinds of consequences of their own actions, but also from Norwegian business out there. If I am to give the Foreign Minister some advice, which is perhaps unnecessary in this context, I would say that I think it will be even more necessary in the future for the EEAS to clarify expectations, for the EEAS to be clear about what individual citizens can expect, and for what one cannot expect, that one is clear about what business and other people you serve can expect, and what one cannot expect. Because I believe that the frustrations surrounding what the EEAS can and cannot fix will in the future become greater, as a result of the internationalisation and globalisation that is the starting point of the Höglund interpellation.
ParlaMint-NO_2010-05-04.ana.ud1413e461	There are now some interesting perspectives that have been drawn up in some articles. The Minister of Foreign Affairs will be asked to assess whether this is a debate he wants to invite Stortinget to – on what Norwegian citizens and Norwegian businesses can expect from services. I think we all agree that there are limits and that this is difficult. Every thing is unique. Every thing is different and has different starting points. This is something the Norwegian foreign service meets at work every day. It's challenging to discuss this in general, but this might also be a discussion we should at some point take a little bit more careful. I really don't have much more to add to the debate. I think I've got out of the debate what was a bit of the intention: to put the matter on the agenda, have a discussion also in the Storting on these questions. With regard to our budget cuts and changes, I see quite clearly – although we have respect for the government's responsibility to make the detailed changes – that when we propose adjustments to our budget proposals, we shall follow it by the next crossroads, if not with an order list, so at least with an example list of how this can be done, and at the same time take care of the priorities and the wishes we have expressed, so that we can see that there is a connection here, or if we believe that it is not a connection, but at least we can discuss them on such a basis. We'll take that with us.
ParlaMint-NO_2010-05-04.ana.ud1413e470	On the overall level, there is a lot of consensus, but the representative Gustavsen asked the interesting political question, and we got a vague answer. I would like to welcome that list to the Progress Party, I would say, over a cut of 100 million. NOK and more on what we in the U.S. call operation 02. There is the operation of the traditional foreign service — operation, not cut off in the programme, but operation. I would like to see the list, while guaranteeing the maintenance of the offer to the Nordics, business and travellers. That's what I'm meeting. I believe that we have now been promised that, and I will study the list with interest when it comes. My postal address is ready. It was said by the representative Kristiansen that managing crises tests how the EEAS works. I'm fully aware of that. No crisis is equal to the previous one. That's why we have to learn from the previous ones, but be prepared for something completely new. I experience that we have shown improved ability to meet it – from the war in Lebanon to other intermittent episodes. I want to use this opportunity to refer to the operational center we have now created in the U.D., which is a 24-hour staff, and which puts the Norwegians who contact an embassy outside the opening hours, in direct contact with a telephone that can provide answers and instructions. We also need to find room for that office within existing budgets, and we have found room for that by improving the efficiency of the EEAS. Then I fully agree with the representative, Højbräten, that it is important to clarify the expectations – what it is realistic to expect. I experience spending a lot of time on it, in fact, from the usual message that people have to take out travel insurance – an entirely elementary message, one in five who travels, doesn't. There are 22 million trips by the Nordics in the year, many of them abroad, many of them to demanding strokes. We'll keep doing that. It is a strength for the Government that this is also emphasised in the Great Government outside of a crisis, because it is clear that when the crisis strikes the individual, no matter how far out, one can theoretically say that there is no welfare state at that place, but the individual citizen, I think, has in the back margin to make quite clear expectations. We handle, as the representative Gustavsen said, 80,000 cases every year, roughly. This is a debate that really comes about in the extension of our foreign policy priorities and objectives. That is why it was a separate chapter in St.meld. No 15 for 2008-2009. With the dual pro-rogative to which the representative Højbräten refers, and as we are aware, I also think there is a legitimate debate here, and I welcome the question from the inter-pellant.
ParlaMint-NO_2010-05-04.ana.ud1413e482	That being the case, it is no. 2 completed.
ParlaMint-NO_2010-05-04.ana.ud1413e498	It is often discussed that the UN does not have to do all they have to do, but the UN has in its lifetime made at least one major difference in the world: there are 80 colonies smaller in the world after we got the UN, and 1 billion people have their maritime rights. This is a UN success. The last of the colonies is Western Sahara, which was under Spanish rule until 1975, and is now occupied by Morocco. For many of the observers in the area, this occupation is worse than the Spanish colonial power. For 30 years, the Saharans have lived in refugee camps in a land divided across a wall. This has been a neglected conflict, the shipping industry if there are 100 UN resolutions and an international court in The Hague that says they have international law on their side. That's about. 160 000 refugees in Algeria and 26 000 in Mauritania. Many of this conflict has recently escalated due to natural resources. We know that there are high-quality phosphates in the area. You might think there's oil and gas, but what you know is huge fish resources. Some estimate that there are 120 000 fishermen fishing in this area. That means that Morocco's settlement policy has worked out, because there are many more than what was the original population. The peace process is about to run into sand. At least it's not in a box; the entire population of the Western Sahara is stored in metal boxes in The Hague. This is a common European responsibility; it is a common European heritage, and it must be settled. We're constantly meeting the individuals who get into trouble because of this occupation. This is an area on which there is broad political agreement in Norway. In preparing for this debate, I clicked on the Support Committee of the Western Sahara's websites, where, in addition to very useful professional updates, there is also a collection of quotations and opinions on the conflict from a number of actors. All aspects of organisational life in Norway and almost all parties — including government parties — show clear support for Western Sahara. The support committee shall sum up its citation collection as follows: ‘From the Youth to Red of the Progress Party, from the Human-Ethical League to the Mosaic religious community in Trondheim; all agree that the Sahrawi people must participate in a referendum on the future of their country and that Morocco does not have a legitimate claim over Western Sahara.’ I raised the Western Sahara question with the Foreign Minister several times in the last growing-up period, and I have largely got the impression that he shares my concerns both about the situation of the population and about the relationship between commercial interests in the area. What strikes me is that broad political consensus should be the starting point for change, and that Norway can actually participate in ‘making a difference’, which I know the Minister for Foreign Affairs has as the goal for many of his foreign policy areas. That's what this interpellation is about. In 2007, the government of the Left took up the situation of Western Sahara, with a focus on human rights and trade. With regard to human rights, in that part of Western Sahara occupied by Morocco today, human rights violations have been perpetrated on a daily basis. There are serious violations of freedom of expression, freedom of organisation and freedom of movement. Journalists and editors who have raised the issue of seaworthiness have been imprisoned. Oppositional teachers and state officials have been moved from their homes, northwards to Morocco, and human rights activists have been imprisoned without a fair trial. According to the 2009 Refugee Account, more than 116 000 people are displaced only in this area. In terms of trade: Western Sahara has large natural resources, and throughout the period Morocco has provided the rich natural resources of Western Sahara. In recent years, Norwegian business has also become active in Western Sahara. The Norwegian fishing industry is said to be one of Morocco’s main partners, and as late as 2006, new Norwegian fighting projects were launched in the occupied areas — in addition to a number of agreements that have only been known to varying degrees. Now the exposure has been updated. Swedish TV, Norwegian TV and New Time have recently come with revelations. As I wrote in the interpolation text: ‘On several occasions in recent years, we have been exposed to Norwegian commercial interests in Western Sahara.’ What characterizes these revelations are unclear images, complicated owner structures, juxtapositions and adaptations. Let me do some examples. Example 1: Last year we experienced a debate related to the investment of the oil fund in seven fertilising companies that collect phosphates from the area, and an example with boat transport companies located in Agder. Example 2: We got revelations on Swedish television and on the NRK that fish oil from non-regulated fishing outside Western Sahara goes to a Norwegian company and goes on to, among other things. production of omega-3 pills. Example 3: There were revelations of customs yokes related to the fish oil case, which led to the NHO president leaving, and we've been swirling up a number of cross-links between different companies, all as one, in different ways and to different degrees, involved in trade in the area. The Ministry of Foreign Affairs does not recommend such an exposure. Among the companies we see are engaged, we also find state-owned companies, or companies where the state has heavy holdings. Among other things, when the salmon feed producer, the subsidiary of the partly state-owned Cermaq, signed a contract for the purchase of fish oil from GC Rieber Oils, the current Minister of Finance was even the director of Cermaq. I expect that the Minister of Foreign Affairs will explain in his reply the history of various agreements concluded by Norwegian companies that concern Western Sahara, and especially companies in which the State owns. I think that's important. It may be argued that it is the Minister of Industry's table, but it is undoubtedly a foreign policy issue. Customs rules are important enough and rules must be followed. But this interpellation is about something far greater than a customs fraud case. It is about trade based on the contribution of Western Sahara, which, in my view, contributes to an enormous profit-gathering and undermines the entire peace process. The examples we've seen, I don't hesitate to characterize as "almost unconscious trade" in Norwegian business in a conflict area. I am therefore keen to hear how the Minister of Foreign Affairs will contribute to more clarity as to the fact that it is unacceptable to Norwegian commercial involvement in Western Sahara, and there is a lot of evidence that the Ministry of Foreign Affairs, and the Ministry of Economic Affairs for that part, have not been clear enough. Today we remember Bjørnson. It's Bjørnson's anniversary. I believe this is really a matter he would have come to engage strongly in if he had been with us today. This would be to take up the spirit that Bjørnson stood for in speaking the occupied minority's fight against occupying powers. My question is whether the Minister for Foreign Affairs believes that he here wants to use his power to make a difference. The left has been clear that we will recognise the Sahrawi Arab Democratic Republic as a maritime state, and put pressure on both Morocco and the French authorities so that the legitimate demands of the Sahrawi Sea regime can be met. At the same time, Norway must press Morocco to respect the right of these citizens to freedom of organisation, freedom of expression and freedom of movement. Here the Foreign Minister can make a difference.
ParlaMint-NO_2010-05-04.ana.ud1413e546	Let me first thank the representative for an important and timely interplay. The left has been concerned about Western Sahara for many years and the situation of the Sahrawi population. It's an engagement I value, but at the same time, we need to have a realistic relationship with what Norwegian power means when it comes to clearing up this complicated situation. As the representative is aware, this government reinforced the recommendation to the Norwegian business community regarding the activities of the Western Sahara. Norway is now renouncing its activities in the area and it is positive that most Norwegian enterprises are following this advice. Why is this so important? Well, because Norwegian companies affect the social development in which they operate, and they have a responsibility. The government’s focus on corporate social responsibility is to clarify what this responsibility is and how best to take care of it. Our expectations for Norwegian companies and the role and responsibilities of the authorities are described in St.meld. No 10 for 2008-2009, Corporate social responsibility in a global economy, presented to the Stortinget last year. Overall, it is the Government’s view that industrial activities can contribute to development, but special circumstances will nevertheless suggest that Norwegian companies should refrain from financial involvement in certain countries or areas. This may apply to business activity in areas where there is conflict or where the humanitarian and human rights situation is particularly serious. Western Sahara, which has been on the United Nations agenda for a long time, is such an area, and Norwegian businesses are well aware of the position of Norwegian authorities. Otherwise, let me add, formally, that there are no sanctions imposed on the UN Security Council in this situation. Over 40 years after the establishment of Western Sahara as a non-self-governing area under the provisions of the United Nations Charter for territories which have not achieved independence, the conflict over the future status of the area remains unresolved. The UN Security Council assumes that a political solution must imply the right of self-determination for the people of Western Sahara and has encouraged the parties to direct negotiations without preconditions. These are the demands we support. Norway’s consistent line is to support the United Nations Security Council’s requirement to allow for the conditions of self-determination of the Western Sahara population, and to emphasise the need for respect for human rights. In this context, it is important to refrain from actions that may help to legitimise the current situation in the area. As Morocco does not exercise internationally recognised sovereignty over Western Sahara, it does not initially have the right to use its resources as if they were their own. International law requires that the use of resources in such areas must be in accordance with the wishes and interests of the local population. Therefore, if Morocco in the Western Sahara facilitates trade, investment, resource use and other commercial activities that are not in accordance with the interests of the local population, it may be contrary to international law. For other countries, it will also be able to represent a violation of international law if the State provides support for resource use that is not in line with the interests of the local population. Therefore, Norway does not provide public support for such activities in Western Sahara. What about the activities of private companies in Western Sahara? Today, as I said, these are not affected either by national law or by international sanctions. It cannot be excluded, however, that such activities may also be regarded as a violation of international law and, where appropriate, as a contribution to infringements of international law. However, much remains to be done before this can be considered to be the case and requires the conduct of the company in violation of international humanitarian law. We have no basis for deciding whether this has happened in any of the specific cases where Norwegian companies, regardless of state ownership, have been involved in Western Sahara. The government’s deterrence of industrial activities in Western Sahara is therefore primarily a recommendation to companies to discharge social responsibility. Therefore, although there is no legislation or formal requirements, I believe that Norwegian companies want to follow the clear advice of the authorities to refrain from any food exposure in Western Sahara. And I believe that the recent conclusions of a Norwegian company, based on the detection of trade with Western Sahara, show that it is being taken seriously. Not only do we authorities, but also increasingly customers, investors and employees, generally expect companies to exercise such social responsibility. It also has to do with the reputation of companies. And more specifically in our case: they do not engage in Western Sahara. Norway is among the countries that have gone most in emphasising that natural resources from Western Sahara, among others, are: at sea must not be exploited in a way that does not benefit the population of the non-autonomous territory. The government's dissuade of industrial activities in Western Sahara has been available since 2007 on our websites government.no. All those who turn to the U.D. for advice are informed of the opinion of the authorities. The paper on social responsibility, where the government's dissuade of financial involvement in Western Sahara is explicitly mentioned, is also available online for business and others. Since 2007, the parties to the conflict in Western Sahara have been through four negotiating rounds, with no results yet. Informal meetings shall prepare a fifth round of negotiations, but discussions between the Parties in August 2009 and February 2010 have so far led to no movement. The parties are far from each other and it is therefore unclear when a fifth round of negotiations can take place. There is still agreement in the Security Council that, among other things: through the peace operation MINURSO, must continue its efforts to maintain the truce and proceed with reliable measures through family reunification, under the supervision of the UN High Commissioner for Refugees. Norway supports the work done in this respect, and last year we increased the allocation for this purpose. Unfortunately, these measures have a temporary limited impact. Several tens of thousands of refugees are in line to make use of the visitation scheme, and with today’s closure it may be up to 20 years before all those who so wish have been able to benefit from the measures. At the initiative of the UN High Commissioner for Refugees, Morocco and Algeria have tried, but not clearly, to reach an agreement on a mine clearance agreement and the opening of the border in order to increase the volume of exchanges also in land transport. According to reports, there are still violations of human rights in Western Sahara. In particular, freedom of expression and assembly is restricted and police officers engage in abuses against supporters of independence and human rights defenders. The Moroccan authorities do not reject the violation of human rights, but on their side they accuse Polisario of provoking abuses in order to use them against Morocco. Several reports also point to the problems of freedom of movement for the Sahrawis in the refugee camps in Algeria. Without a visa, the refugees cannot leave the camps. A lack of solution also affects the region in a broader perspective. The Western Sahara conflict has high indirect costs in terms of lost political and economic relations between the Maghreb countries. According to a 2008 study by the Peterson Institute for International Economics in the United States, the region loses nearly $9 billion annually in foreign trade as a result of the conflict. North Africa is one of Europe's neighbourhoods. Unstability and the lack of economic development in this region have a direct impact on our own continent. The parties and neighbouring countries, but also we in Europe will therefore be able to find a solution. Norway supports the negotiations under the UN regime which started in 2007. Let me also make it clear here, as I have done in the past in Stortinget, that when the Government uses the same vocabulary as the UN Security Council and the UN General Assembly in the report of Western Sahara, that is. This is because Norway is not unilaterally trying to advance the outcome of the peace efforts and the self-determination process under way under the auspices of the United Nations. It is important that the international community stands united in its pressure on the parties to reach a lasting solution to the conflict as quickly as possible. We are working through our embassies in Rabat, Algeria and the UN Delegation towards central networks to promote the UN track and encourage the parties to engage in direct negotiations without preconditions in order to achieve a political solution that the parties can accept. Both the parties and the UN know that if there is something they want Norway to contribute, we will be positive about this. I take up the importance of getting speedy negotiations going every time I talk to my colleagues from Morocco and Algeria. Norway's financial support for the Sahrawi population has also increased during this government. Our efforts are mainly to remedy the situation in the refugee camps in Tindouf, where the humanitarian situation is very difficult. The government set aside 11.9 million in 2009. available for various humanitarian measures. The Norwegian aid is mainly intended for the liaising activities of Sahrawi families living in the western Sahara and the refugee camps in Algeria, for the improvement of the nutritional situation of the refugee camps and for the clearance of mines and other unexploded explosives in the Western Sahara. So let there be no doubt: the government is clear when it comes to Western Sahara. We support the UN line and make ourselves available to contribute to a solution. We have clearly expressed our dissatisfaction with business activities in Western Sahara, a dissuade that is widely available, and we take a clear position on the issue of corporate social responsibility through St.meld. No 10 and the follow-up of this, as for example open the door in this room.
ParlaMint-NO_2010-05-04.ana.ud1413e599	I thank you for the answer, and I really don't doubt the common commitment in this room to Western Sahara. I also do not doubt the position of the Minister for Foreign Affairs. But there are two things I want to ask questions about. One applies to the concepts. We in the left probably go further by using the definition of occupation of areas. The Foreign Minister’s argument to adhere to the definition of ‘non-self-governing’ put forward here is the aim of reaching the fastest possible solution. It really hasn't worked in 30 years. This situation is more fixed than it has ever been, and it's not going to be better when you find more natural resources, it's just getting worse. Baker, who was the last person who tried to make a solution here, threw in the cards two to three years ago and said he couldn't do this. Maybe there should be some grip in the international world where you put the right word on this, that it's an occupation. The second is whether the Minister of Foreign Affairs could plan to organise a small seminar in the Government and inform about the website of the Ministry of Foreign Affairs, so that we were sure that the state-owned companies too were informed. The Minister of Finance has now become Minister of Finance, so he cannot learn this, but there are many who are performing duties on our behalf – a message of ownership, as the Minister of Foreign Affairs said – but who have still not understood what they are doing in this occupation of Western Sahara. So it's quite clear that it hasn't reached all Norwegian companies. Maybe it's not enough to keep it on your website, at least when you also see that there are state-owned Norwegian companies going in and doing things like this. That means that the information has not been spread well enough.
ParlaMint-NO_2010-05-04.ana.ud1413e611	The situation is complex, as the representative says. I'm not sure the use of words on this is going to decide and make it less complex. It has been Norway's assessment, along with the countries that think like us, that we should deal with concepts that are central to the United Nations and not open up a new internal debate in the United Nations that weakens the pressure that we can legitimately put on the parties. We do not want to unilaterally influence or foreshadow the outcome of the peace efforts and the process of self-determination under the auspices of the United Nations, which is enshrined in the Security Council resolutions. That is why we are choosing to mention this case complex in accordance with the wording used by the UN Security Council and the UN General Assembly. I think it is important in Norway's consistent support of the role of the UN in this field that we stick to it. So I don't think there's a need for a seminar in the government. The rules here are such that no law has been passed, no sanctions have been imposed by the UN, but there is a clear recommendation on which to base. I believe, as I said in my post, that what has happened in the last few weeks in connection with one significant Norwegian company's involvement in Western Sahara, shows that putting itself beyond those rules has a significant risk of reputation. If not all the companies that were supposed to be in this field have got it over the last few weeks, well at least we're going to have to make sure to repeat it and remember it. As far as corporate social responsibility is concerned, it was very clearly stated in the paper and the reading here that the principles we set up, the expectations we have, of course, apply quite equally, regardless of what state ownership it might be in individual companies.
ParlaMint-NO_2010-05-04.ana.ud1413e620	First, I want to start by thanking the interpellant for addressing a conflict that needs more attention, and in particular for addressing the question of clarity in relation to the fact that it is unacceptable to Norwegian commercial involvement in Western Sahara. I think that's very good. The situation in Western Sahara and how Norwegian companies act in the area, it is important that we discuss in Stortinget. The Western Sahara is referred to as the interpellant, as Africa's last unresolved colonial issue and is treated, among other things. also by the United Nations as exactly that. The Western Sahara has a rather demanding history, from being a Spanish colony to Moroccan forces moving into the area in 1975. The country was at war for 16 years, until the United Nations negotiated a ceasefire agreement between Morocco and the Liberation Movement Front Polisario in 1991. It was negotiated subject to a referendum on the status of the area. It has never been kept, despite the fact that repeated UN resolutions have called for self-determination for the people of Western Sahara. The situation of the Zahrawi people is characterized by isolation and oppression. Thousands of people have been driven away, and human rights activists and political activists are systematically persecuted and imprisoned. Western Sahara is rich in natural resources, especially fish and phosphate, as well as oil and gas in the area. So, we're talking about an area that's very valuable and also attractive to the international business community. In Norway, we have clearly said that we do not advise Norwegian companies to invest in the area, and we have been clear on the great social responsibility of the Norwegian companies, among others. through the communication on corporate social responsibility in a global economy, as mentioned by the Minister for Foreign Affairs in his statement. What I think is a challenge with regard to the social responsibility of some Norwegian companies is that they simply don't take it. We have had several examples over the years of just Norwegian companies that have been operating in Western Sahara which, in my opinion, are not acceptable. And the question is, what do we do? This is where I feel that we need a discussion. What do we do when companies do not take responsibility? And how are we going to make them more aware of their actual responsibilities? Today, I think it can work a bit like this, that when it is up to each one to contact to get advice, it may not be everyone who makes contact – to hear something they really don't want to hear. That's why I think we should consider whether it's possible to be more proactive towards companies that you know are in the area. Therefore, I also believe that there must be room to discuss more instruments against companies that do not relate to either international or ethical principles, without necessarily having all the answers to what should be the concrete instruments. But I think we need a discussion in Norway about that. Norway should be clear about its support for the Zahrawi people, and we should be clear that we never accept that anyone will profit from war and that countries will make arrangements. The conflict in the Western Sahara is in many ways a somewhat forgotten conflict. That is not the question at the top of the international agenda, despite the fact that the situation there is quite unsustainable. Now it is said that there are more organisations in Norway that are very active and that the media have also begun to focus more on the conflict. And that's good. But it is also a major problem that it is almost impossible for international observers, human rights activists, journalists and parliamentarians to get into the area. I myself was in Western Sahara in 2005 and received a very short visit – one day at a time – when I was thrown out of the area along with four other law laws, as well as the Moroccan authorities arresting people whom we had planned to meet. I think it is important that we, as parliamentarians, contribute to keeping the debate on Western Sahara up. It is important that we put this conflict on the agenda – as it is today. So once again, I want to thank the interpellant for asking an important question, and I hope that more people will take part in the debate.
ParlaMint-NO_2010-05-04.ana.ud1413e639	And more people are taking part in the debate. The next person to take part in the debate is the representative Peter N. Myhre, then the representative Peter Skovholt Gitmark.
ParlaMint-NO_2010-05-04.ana.ud1413e642	Let me begin by thanking the representative Skei Grande for once again addressing the matter of Western Sahara. I would also like to thank the Western Sahara Support Committee for keeping our attention focused on this issue and this area. I also think that the Minister for Foreign Affairs was ready to speak. Despite the fact that perhaps more than we parliamentarians do, the Foreign Minister has a complicated balance to go, I think we can establish that the Government in this matter has a total collapse behind it. On the website of the Western Sahara Support Committee, I read a while back that this may be the least political disagreement in Norway, and I think that is right. Thus, no international sanctions have been adopted in the case of Western Sahara, but both the United Nations and the Hague Court have condemned Morocco's occupation. This is to a far greater extent a local struggle for natural resources than a struggle for the rights of the people of Western Sahara, and that is what has created the tragic situation we are now seeing. As long as the current conflict is ongoing, it is important that Norway has a strong voice for Western Sahara. The country's population suffers from oppression and the absence of human rights. The aim must be to stop the abuses in the annexed Western Sahara, to respect human rights and to clarify the status of the area. Finally, it is important that Norwegian industry does not now contribute to the enrichment of the resources of Western Sahara in the presence of Norwegian enterprises and that Norwegian industry follows closely the instructions or recommendations or signals of the Government in the case of Western Sahara.
ParlaMint-NO_2010-05-04.ana.ud1413e651	Thank you very much to the Left for their long-standing commitment to Western Sahara and for democracy and human rights in Western Sahara. Also a great thank you, as the representative Peter N. Myhre had in mind, to the Western Sahara Support Committee for the job they do in Norway, and the job that is also done internationally for Western Sahara. It is worth drawing attention back to the time when Western Sahara was a Spanish colony – Rio de Oro – where Polisario finally fought a struggle for liberation, a bloody struggle for independence. It was crowned with victory, but immediately after that Morocco occupied as much as three-quarters of the Western Sahara. The last quarter, now retained, is up to the border of Mauritania, which is very scarce, consisting largely of desert landscapes and rocks. Now, when you hear how Western Sahara is referred to in the UN, it's interesting that the legal status of the territory is that it's Spain that is still administrative, because Spain, as a former colonizer, was unable to fulfil its responsibility to give the territory self-determination. But it's also quite obvious that it's de facto Morocco that is administrative power now. It's also another international parallel, and that's the wall that goes through the entire Western Sahara, which is 2,700 km. It's a wall that's four times longer than the wall we see in Israel and the Palestinian territories. There are also some of the world's largest minefields in Western Sahara, which are intended to separate the quarter of the territory under the control of Polisario, and the last 75 pst., which is under the control of Morocco. It is also true that when Morocco invaded Western Sahara, a large part of the population, perhaps as much as a place between 120 000 and 170 000, was moved to Zahrawi refugee camps in Tindouf, Algeria. In total, more than 200,000 people from Western Sahara live outside the borders of the country, mostly in refugee camps. It is quite obvious that Morocco has a desire for a settlement policy that is very similar to what you see, among other things. in today's China with regard to the Uighurs and Tibetans. The people of Western Sahara are being displaced, new ones are coming from Morocco, huge tax advantages are being given to both companies and individuals who want to develop the economy of Western Sahara and settle in Western Sahara. It means again that the desire for a future referendum will be very problematic. It will in fact mean that Morocco will demand that everyone who lives in Western Sahara at a given time be able to vote, while they are actually illegal immigrants. Should there be a question of referendum, it will be very important that it is the original population – the people of Western Sahara – who are given the opportunity to vote. So to the human rights situation and – as the interpellant also pulls up – a very acute human rights situation. Not enough of such a large proportion of the population being displaced out of the country, with the exception of freedom of movement, forced displacement – many against their will – but there are also examples of systematic prisons and deprivation of freedom of expression. I just have to get into the post of the representative Eva Kristin Hansen, whom I want to say I support, but who at the same time I ask some questions, when she speaks of a de facto boycott. I believe that the Ministry of Foreign Affairs has gone as far as possible when there are no UN sanctions against the country, when Norwegian companies are not advised to engage in Western Sahara.
ParlaMint-NO_2010-05-04.ana.ud1413e670	It is a very important matter for the representative of the Skei Grande to take up. It is positive and very important that the Storting gets the opportunity to discuss such matters. We are now seeing a development in which the demand for business to take on social responsibility is gaining increasing support for opinion. It is therefore important that the Storting discuss these questions and have an offensive position on this matter. Morocco's occupation of the former Spanish colony of Western Sahara has gone apart for over 30 years. Further peace processes under the auspices of the UN and the African Union, as well as innumerable resolutions in the Security Council, have not been able to bring the conflict to an end. Since 1975, Morocco has been neglecting the resolutions of the Security Council and the UN General Assembly on Sahraviane's right to self-determination. Morocco also refuses to comply with agreements with the United Nations on a referendum. Sahrawiane in refugee camps in Algeria lir under inadequate humanitarian aid, and frustration is increasing over being a forgotten part of the world community. In this situation, Morocco and foreign industrial interests are exploiting irreplaceable natural resources and breaking down the life base of Western Sahara. This is completely unacceptable. It is particularly unfortunate that shared state companies have involved themselves in this trade. It shouldn't be that they only take social responsibility when they get into the media. This is an example of the need to discuss the issue of social responsibility in a new owner’s message, as set out in Soria Moria II. But social responsibility should be the same, of course, for private companies as for whole and shared state companies. We do not currently have binding international standards or national guidelines and sanctions for private companies, but we still have to expect private companies to take their social responsibility seriously, and at least follow advice from the Ministry of Foreign Affairs. Exploitation on the resource base of poor countries with an oppressed population is one of the worst impacts of economic imperialism. There is therefore reason to praise the media for taking up this matter and helping to reveal and end a part of it. It is our responsibility to develop laws and regulations that can reduce the extent of such exploitation of natural resources in poor countries. The representative Skei Grande also takes up the ethical guidelines of the State pension fund abroad. We still have to discuss these and improve them. But there might be reason to remind you that SV was closest to being led out when the party raised the issue of ethical guidelines for the fund. In view of this, a lot has happened, but it is important to move on. Norway is a rich country with extensive trade. It obliges us to be at the forefront when it comes to implementing social responsibility in both state enterprises and private enterprises.
