ParlaMint-NO_2010-10-01.ana.ud1712e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2010-10-01.ana.ud1712e260	I am delighted to propose Per-Christian Foss.
ParlaMint-NO_2010-10-01.ana.ud1712e268	Per-Kristian Foss has been proposed to the second Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e276	The President then asks for proposals from the Third Vice-President of the United Kingdom.
ParlaMint-NO_2010-10-01.ana.ud1712e282	I allow myself to propose Marit Nybakk.
ParlaMint-NO_2010-10-01.ana.ud1712e290	Marit Nybakk has been proposed to the Third Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e299	The President then asks for proposals from the Fourth Vice-President of the United Kingdom.
ParlaMint-NO_2010-10-01.ana.ud1712e304	I allow myself to propose Akhtar Chaudhry.
ParlaMint-NO_2010-10-01.ana.ud1712e312	Akhtar Chaudhry has been proposed to the Fourth Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e320	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2010-10-01.ana.ud1712e325	I'm delighted to propose Line Henriette Heimdal.
ParlaMint-NO_2010-10-01.ana.ud1712e333	Line Henriette Hemdal has been proposed to the Fifth Vice President of the Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e342	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2010-10-01.ana.ud1712e348	I suggest Tor-Arne Stroem.
ParlaMint-NO_2010-10-01.ana.ud1712e356	Tor-Arne Stroem has been proposed to the Secretary of the Storting. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e364	The President then asks for a proposal from the Secretary of State.
ParlaMint-NO_2010-10-01.ana.ud1712e370	I suggest Karin S. Woldseth.
ParlaMint-NO_2010-10-01.ana.ud1712e378	Karin S. Woldseth was proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e386	Norway's 155th magnification is hereby declared legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government, so that he may obtain the King's decree on the time of the opening of the Great. – It shall be deemed to have been adopted. The time will be published later.
ParlaMint-NO_2010-10-01.ana.ud1712e397	The size shall now temporarily select the first Vice-President of the first Vice-President of the Executive Board of Öyvind Korsberg from 1 October to 5 November. The President is asking for a proposal from the interim first Vice-President.
ParlaMint-NO_2010-10-01.ana.ud1712e400	I allow myself to propose Hans Frode Kielland Asmyhr.
ParlaMint-NO_2010-10-01.ana.ud1712e405	His Frode Kielland Asmyhr has been proposed as temporary first vice president. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e413	The size shall then elect on a provisional basis the fourth Vice-President under the fourth Vice-President Akhtar Chaudhry’s leave from 1 October to 5 November.
ParlaMint-NO_2010-10-01.ana.ud1712e416	I allow myself to propose Geir-Ketil Hansen.
ParlaMint-NO_2010-10-01.ana.ud1712e421	Geir-Ketil Hansen has been proposed for the temporary fourth vice-president. Other proposals are not available.
ParlaMint-NO_2010-10-01.ana.ud1712e430	The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom has been delivered, give the customary wish to the King and the country of origin – and consider this authority to be granted. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting. This authorisation shall be deemed to have been granted. As a deputation, the representatives of Anders Anundsen, leader, Svein Flätten, Sonja Mandt, Inga Marte Thorkildsen, Svein Roald Hansen, Ulf Leirstein and Irene Johansen are appointed. In response to the solemn opening of the Stortinge, Oslo Bishop has invited Stortinget’s representatives to worship in Oslo Cathedral today, Friday 1 October, at 9 p.m. 17. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
