ParlaMint-NO_2010-05-31.ana.ud2225e36	The representative No Marte Thorkildsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2010-05-31.ana.ud2225e268	The reason for this case happened on 9 February 1945 when U-864 was lowered by 67 tonnes of mercury, probably on an operation that would end in Japan. In time, much has speculated in the honor of the submarine, and only there may be reason good enough to get it up. Nearly seven years ago, the ‘Tyr’ submarine was found, and investigations and processes were initiated with a view to detecting risks in view of and for the purpose of getting the boat up. It's used tens of billions the representative would have meant to say 'till millions'. in this work, and that is clearly what is important. Of course, it's the fear of the consequences for the local environment, for people living and living on the coast, it's the fear of the big fish stocks and the resource that fishing represents, and of course it's the fear of what this can mean for our long-term reputation as a fishing nation. Three years ago, the government presented a proposal for coverage. This met with great resistance and the Stortinge conducted two hearings which almost forced the government to draw up the proposal and produce an alternative outcome, namely to explore a lifting option. The right has been clear on this issue for a long time, the wrecked – the very source of pollution – must be removed. There's a big cost associated with this, but the costs can get a lot bigger if we don't clean up properly. There are, as I mentioned, also speculations about whether the submarine has additional dangerous cargo. So it's the relationship with the local people, the security they have to know, that Helga Pedersen justified his decision when she turned the case around. This also applies to our reputation, not least the ability to clean up ourselves in our sources of pollution can mean a lot to our neighbouring countries too. Otherwise, we're pretty good at pointing out neighboring countries' sources of pollution – I mention Sellafield in this context, and not least the nuclear pollution from Kola. When we later got a matter from the government, unfortunately, they had turned back. It was justified by a report submitted by the consulting company Dovre and TØI – a report that we in the Right reacted to, but not on what the previous speaker made a big point, namely the concept, because the concept of lifting was previously assessed by the Norwegian Veritas. I did not notice that the Labour Party representative mentioned it in a single word. In retrospect, it has also been evaluated by Lloyd's, a world-renowned class company. If you go into the Dovre report and see what it refers to, it mentions the role of the Coastal Works as a contractual counterpart to Mammoet, and also the possible role of the Coastal Works as such by leading such a large project as they had not had before. Many points were made in this report, namely the risk assessment between the parties, namely that this was a limited solidity company. Yes, it even said it was a limited-experienced company. Not so many others have raised submarines before. And it said that the Coastal Plant as such was undersized for the task. The last point was the cost aspect, the actual cost of this, which had a large room of uncertainty. All of this has been cleared up in retrospect, not least because the Coastal Works themselves took hold of it and went into new negotiations with Mammoet. There are even contract proposals that address this. It's given a price guarantee. In the course of the hearing, the Council of State stated that, to the extent that the Coastal Works are not able to do so themselves, they would relate to their competence. So this is going to be done in a safe and proper way. In other words, the many critical comments of the Dovre report have been rejected or renegotiated. What is it that makes the government parties continue to maintain their position on this? They don't do that either, because in the proposition, you're actually going back to the start. They also say that the cover option should be fully investigated. Then it happens that the speakers before me have been involved, that both the Prime Minister and the Council of State have been out and said that the submarine should be lifted. There is a step in the right direction again, but it is also suitable to create again confusion about what the government really means. For what the Labour Party's representative just said from this pulpit, and what the Council of State said in the Questionnaire as late as a week ago, does not agree with what is in their own motion. It's quite eye-catching. We don't take the chance. In the right, we've decided, we don't take the chance of multiple postponements, because postponements can become fatal. We strongly regret – in a matter that should not really be very political, I understand correctly – that the government parties will not now be involved in the upswing. We agreed on this, and now you fold. That can't be the solution. The government did not react to the solution at all when Veritas presented his concept assessment last summer. There is a proper method of lifting, which has been used many times in the past, and one also cleans up afterwards on the seabed. In the right, we're wondering what's really behind this. Because we have registered that the Workers' Party's representatives at their annual meetings and in other forums also press the government on this issue to try to change the decision. Could there be other reasons behind this? Because these are not rational arguments. We've got the contract modifications. The risk has been identified. We have also given the Coastal Agency competence. We have received a guaranteed price, and the concept has been duly assessed. So what could it be that's left over? It's tempting to come up with speculation. One should probably avoid that, but I can associate speculation with what the Council of State has written in its proposition, where she says that there should be acceptable risk and acceptable economy. Are we starting to approach the cause now? Is it the economy – trying to correct in the revised national budget 630 million loved ones – that is why? I do not know, but I find that the government and its representatives in this house once again cause confusion on this matter. We really don't know what they stand for, because there are two different things that come out in their speeches and in what they write in the proposition.
ParlaMint-NO_2010-05-31.ana.ud2225e294	The representative Halleraker concludes by wondering if it's the economy that's the starting point here. Then it was a little funny, I thought, that the representative Halleraker thought we had already spent tens of billions on this. He probably meant tens of millions. But it's a little strange that he's speculating in the economy when he obviously goes a little bit mad in the economy itself. But let's do it. I note that Stortinget today does not want to try out the project that the opposition wants and that is not quality-proof, because the position wants to move forward on the basis of the report that has come. After the criticism that has been voiced there, a new round of rounds has to go, and a budget for 2011 will set out how far one has come in that process. It sounds like what we're doing today is going against raising, when you listen to Halleraker and Sortevik and probably others in the opposition as well. But that's not it, because – and I know this, because I've been working for as long as Halleraker and Sortevik did with this case – we were very happy in 2009, when one presented the conclusion. But then one has got another round – we have to do another round to ensure quality. I found it quite demanding when it comes to doubting what both the Prime Minister and the Council of State have said when it comes to lifting, when the question is whether this submarine is being raised, and the answer is yes. How much time can you be? I think there's a bad thing from the opposition's side when we talk here. I have been through three consultations on this matter now. I thought that the last hearing was the most interesting, in fact, because then there came up some new lifting options – they were even Norwegian – that gave me some new knowledge about how we do things in the oil and gas industry, can be linked to such a thing as this, where we can develop our own competence in this area and not just condoms on a giant global actor – a recognized global actor, for all. The knowledge gained during the last hearing is now open to us to go into it. I am only very clear – as the national meeting in SV has been – that this submarine should be raised. That is what the Prime Minister has said, as the Council of State has said, and that is what SV's representative says on the Stortinget. The mercury must rise.
ParlaMint-NO_2010-05-31.ana.ud2225e309	The submarine at Fedje is a matter of a long story that several representatives have prepared very well, so I'm not going to go into that problem. The centre party considers that it is correct and necessary that the submarine and its contents be handled safely. The centre section is also fully in place for the submarine to be lifted. But it has to be done in such a way that the environment and safety are ensured. There would be a very bad case both for the local population, for the productive sea and coastal areas, for the environment and for those to undertake the uplifting operation, if something had gone wrong during the operation. That's what makes us do the extra round of quality assurance. It is necessary to really go in and look at the concepts that have been chosen, which was also pointed out in the KS2 report. The mercury load shall be removed. It must be done with as little risk as possible and we must use the resources needed to ensure good progress. It's solid. Further reporting on the progress and status of the project has been said to take place in the State budget for 2011. It's not about a postponement, it's about doing it in a proper way. And reports come quickly – to the autumn. Finally, I would like to reiterate that the decision to lift the submarine and its cargo remains firm, which has been firmly established by both the Prime Minister and the Minister for Fisheries and Coast on various occasions this year, and which we in the Central Party are fully committed to.
ParlaMint-NO_2010-05-31.ana.ud2225e320	There were some of us who had enjoyed having a little pre-premier on this case in this room in the previous week. Then we asked a question to the council, and we got such a good answer that we chose to include it in the setting, because it was so obvious that the submarine should be raised. This is a matter of enormous commitment. It's not just the community of Fedje that's busy with this, it's also a collective coast of Norway. I also want to show the significance this can have for the reputation of the entire maritime industry. Therefore, this is an important issue both for the local population and for coastal industries in general. But there is reason to be confused when reading the proposition that came to the Storting, for the government says the following: ‘The Government will therefore launch a pre-study and then a KS1 containing the following four alternatives: the zero option, coverage, raising and an alternative where raising and covering are combined. By also including cover and an alternative where raising and covering are combined, the likelihood of remaining together increases with satisfactory alternatives to the management of mercury pollution.» It's based on the doubt being sown here, that the opposition has chosen to be clear in this matter. Now I'm not going to draw up the story, it did the case spokesman in a brilliant way, but the paradox here is that the government said so clearly in 2007 that it was going to be covered up. In 2009, the government said it would be lifted. So in 2010, you're going to have to figure out both how to raise and how to cover. And then one came to the Storting in the last week and said very clearly that it should be raised, but it was uncertain when it was going to happen. I don't think there are any professional reasons why it can't happen in the summer of 2011. I want to get what the representative Halleraker also mentioned here, that this project has had a six-and-a-half-year preparatory work, closely followed and evaluated by the well-known Norse Veritas. The project has also been approved by Lloyd's. Legally, the Kystsverket also has clear support from two large law firms with extensive experience and practice within just such contracts internationally. The Dovre Group notes that there is considerable economic uncertainty in the project and that total costs have increased sharply. Veritas has calculated the costs of uncertainty both before and after the Dovre report and has found that there is no need to change the estimate. So there is a clear technical recommendation from the Norwegian Veritas that this project is justified. That's why we should be able to do this in 2011. I trust both the members of the government party and the state council when they say the submarine should be raised. The question is when to do so. This may be done in 2011 on the basis of a professional recommendation. Will the government wait until 2012 or 2013 – or will it do so in 2014, as this government will carry out very many projects at the same time? I understand it this way – and I think it is very good, what the representative Magne Rommetveit says – that the 2011 State Budget will provide clear information on the status and progress of the work. There is a hall that today says we want the submarine lifted. We disagree if it is professionally right to do it in the summer of 2011. I note that the opposition has the Norwegian Veritas with them when they say that it is fully defendable. The most important thing is that the submarine is raised and that it happens as soon as possible. The economic framework for this says Veritas is also safe. What's absolutely certain is that the longer one waits, the more expensive this can be.
ParlaMint-NO_2010-05-31.ana.ud2225e340	Only a brief left-wing explanation of vote: in the previous period, when the Left sat in the Committee on Transport and Communications, this matter was thoroughly debated, with two hearings presented by the rapporteur. The left voted in favour of lifting in 2007 and will vote today to ensure that this is done as quickly as the majority of the Committee proposes. The left is to seek knowledge and to ask questions well before decisions are taken. But this case has been through so many investigations and hearings that I find it difficult to see that there will be new moments that are heavy enough to postpone it. Of course, the critical comments made in the reports are important to take into account in the project. This should also be done in connection with the conclusion of the negotiations with the company responsible for the termination. If this wreck is lying down, I fear that Norway will lose credibility and weight on international environmental issues, as many have been concerned about. Any argument from the Norwegian authorities to clean up radioactive emissions, which Halleraker made in connection with Sellafield – and we are also critical to some projects in Russia – will fall on its own unfairness if it leaks mercury from a wreck that has been lying right outside our door for a long time. The left will therefore vote with the majority here today.
ParlaMint-NO_2010-05-31.ana.ud2225e349	For the sake of order, in that it is a voice alert: Does it mean that the Left will vote for the setting?
ParlaMint-NO_2010-05-31.ana.ud2225e353	Yes, we will vote with the majority.
ParlaMint-NO_2010-05-31.ana.ud2225e358	Whether it becomes a majority remains to be seen. - Left supports setting.
ParlaMint-NO_2010-05-31.ana.ud2225e363	The work on U-864 and the management of mercury cargo pollution are a demanding matter. In the interests of both safety, our productive sea and coastal area and people living along the coast, we must be sure that an uplifting operation is well planned and acceptable in terms of environmental considerations and risks. I am not going to go into the details of what has happened since the wreck of U-864 was found outside Fedje in Hordaland by the Maritime Defense in 2003. I explained that at the open hearing on the matter on 27 April. However, I would like to repeat that in January 2009 the government went in to cancel the wreck of U-864. As the cancellation project has a cost framework of more than 500 million. At the same time, it was made clear that an external quality assurance would be carried out. That is the report of this quality assurance I received on 16 December last year. The report concludes that the project, based on the plans available, is not sufficiently prepared and that there is a very high risk related to the scope of work, contractual relationships and governance. Furthermore, the report says that there is doubt that the project can be managed in a sufficiently controlled manner, which is also unfortunate in terms of safety and the environment. In the proposition on the matter, the government does not go into the details of the external quality assurance, but concludes from an overall assessment that further investigation is necessary before final decision is taken. I believe that, in the light of quality assurance, it would be irresponsible for the government to proceed with the cancellation project as it now exists. After the presentation of the proposal, recordings have been made from among others. Mammoet Salvage, who has been awarded the cancellation contract. There has also been contact between the company and the Swedish Coast Guard Agency, which I have informed about in my own letter. I would like to reiterate that there is an overall assessment on the basis of the government's conclusion that further investigations are necessary. Any recording related to details after the submission of the KS2 report, whether from Mammoet or other actors, does not alter that assessment. In Stortinget's Question Time on May 26, I was asked if I agree with the Prime Minister that U-864 should be lifted. A number of Committee members have expressed surprise at this. It amazes me. The proposition reads on page 4: ‘The external quality assurance report recommends the implementation of a pre-project for a cancellation operation. The government considers it important to have the necessary measures taken to deal with the pollution from U-864. Therefore, further consideration of the cancellation option should be seen in the context of other possible measures that could provide an environmentally and risky solution. There is a risk that, even after the implementation of a pre-project for raising the U-864, one will not have an alternative that meets the overall environmental concerns and is acceptable for management, risk and costs. The government will therefore launch a pre-study and then a KS1 containing the following four alternatives: the zero option, coverage, raising and an alternative where raising and covering are combined.» Thus, the government has never deviated from the decision to raise the U-864, but if, in the worst case, a reassessment would show that raising is not environmentally sound, it would be very unfortunate to be left without alternatives to dealing with mercury. We all agree that it's not a solution not to do anything. That's why the government has chosen to include the cover option of the wreck as well as an option that combines raising and covering. Let me just remind you that the project at hand is actually also about raising and covering. Coverage must be provided in any case. With this little quote reading from the proposition, I hope that no one is as surprised that the government is standing by its decisions. After treatment in Stortinget, work on the necessary investigations will start as soon as possible. Once the investigations and quality assurance have been carried out, the government will return to Stortingen with this matter. I propose to inform the Storting about the further process, both in the budget proposal for the autumn and in the revised national budget for 2011. I also have to say that I am in part quite impressed with the technical competence available. I've read the Dovre report carefully. When it comes to saying that what has now happened during and after the hearing responds to all the points in the Dovre report, I find it quite difficult to reach the same conclusion. Furthermore, it may not be a good idea for a Council of State to ask when you are in Stortingen, but at least I have to say that I am amazed at what has happened after the open hearing. There the representative said Halleraker, and pointed out that there was also a reaction to the KS2 report at the right. In that hearing, Halleraker said that he understood well that the Council of State withdrew this case, because this would be a very large risk project to go further. I would like to know what has made the Right now turn to the degrees, as we have heard here today. Finally, I would like to stress that the government's focus in this matter is on the environment. We can't afford to expose the environment to the risk of a failure of a cancellation operation. The responsible person is therefore not to proceed with this cancellation project now. A more thorough investigation will give us the knowledge we lack.
ParlaMint-NO_2010-05-31.ana.ud2225e394	It's going to be line change.
ParlaMint-NO_2010-05-31.ana.ud2225e397	Now we are approaching the core of the matter. Here we're going to have repeated the second thing already read: that's, as it's written on page 4 of the proposition, four alternatives. That is, there are actually five options being explored, because the zero option is also mentioned. It's an alternative not to do anything. It's also in the toolbox of this government, not to do anything at all! I ask again on the basis of the very clear assurance that came here in Stortinget last Wednesday that it is about cancellation: why then do you investigate full coverage of mercury, and why do you investigate partial covering of mercury, if there are methods the government has not intended to use? If we are to believe the Council of State last Wednesday and the Prime Minister the week before, that is the out-of-date option. Why do you want to investigate anyway?
ParlaMint-NO_2010-05-31.ana.ud2225e406	Just to take a short flip into the zero option, I'd say there's formalities. I would like to delete that, but it is about formalities in this type of procedure. I'm not going to throw myself into explaining why it has to be included. It's not a realistic option, so I'm asking that we just put it away. Until it is taken with both full cover and partial cover: the last one is included because regardless of the lift, there has to be a cover. It was also reviewed in the quality report, as a lack of description related to it. It will also be an extremely important part of an operation related to this mercury. There are 30,000 m2 already heavily contaminated. I'm not very technical, but even I realize that it's not possible to get up absolutely everything of the smallest little pollution. That's also why we have to have partial coverage. Otherwise, I repeat what I have said: the government has not changed its position on the matter.
ParlaMint-NO_2010-05-31.ana.ud2225e418	I record that the Council of State is concerned with further investigations, and that she is very concerned that we need to assess the matter even more closely. Criticism is largely about economic conditions and other things. In fact, you can start wondering if it's Minister of Finance Sigbjørn Johnsen and his search for money that is the Council's reason for now postponing the matter again. We have had many investigations, and we have had clear and clear information to show that this can be done. I want to challenge the Council of State because she does not respond concretely. She says the zero option doesn't apply anymore. In the letter that was sent at 1 p.m. 10.18 last Wednesday – when the Council of State sat here in this room – it is said that the options should be considered: the zero option, coverage, raising and an alternative where raising and covering are combined. It was sent from the Department to the Committee at 5 p.m. 10:18, when the councils sat here. Afterwards, the Council of State says that she agrees with the Prime Minister. I wonder what the Council of State really agrees with the Prime Minister.
ParlaMint-NO_2010-05-31.ana.ud2225e425	I can repeat once again why we have the different options. The zero option is accepted, it is not applicable. Anyway, when there's an alternative to covering, it's, as I've said repeatedly, to be absolutely sure that whatever happens, it's going to be a realistic alternative. So if you don't want to lose time in the ultimate sense, that's what happens. I want to remind you once again of the importance of focusing thoroughly also on covering, because it will in any case be a form of covering. The same amount we get up, there has to be a coverage as well. It is also an important part of the overall project, so having a thorough coverage review is necessary. I must admit that I do not fully understand why the fear of this is so great, when the repeated statement from this pulpit is said that the government has not amended the decision. We stand firm on the original decision.
ParlaMint-NO_2010-05-31.ana.ud2225e432	I think it is nice that the Council of State comes to Stortinget and asks us questions and applies for knowledge. If I can contribute, I'd like to contribute. She will fail to complete the quote 100 pst. I said that I agreed with her on the basis that I think this was a fitting report on the role of the Coastal Works and the ability of the Coastal Works to solve the problem. I also said that in the Questionnaire last Wednesday. I'm standing by. That is what I thought was largely rejected by what has happened during and after the hearing, which makes us sure that this is a sensible project to proceed with. If this as the Council of State points out is correct, I would like to ask the following question: What is the reason why the government did not stop the matter and came to Stortinget with the matter after the Veritas report became known? It was a concept assessment that had been carried out.
ParlaMint-NO_2010-05-31.ana.ud2225e441	The proceedings here have progressed step by step. That concept assessment, as the representative Halleraker points out, is made by Veritas. The Dovre report, that is, the KS2 report, is broader in scope. It also goes into part of the work and scope of work and points out things there. I would like to repeat that it is about the totality of that quality assurance report. Deaf people point out the uncertainty in the scope of work, they point out that method development and technical definition have come very short, challenges and management of wrecks and contents are little worked out, and the scope and solution for covering and dredging has not been clarified – important things related to the operation itself as well as, as I say, the totality. The KS2 report is part of the formal treatment related to cases of over 500 million cases. kr, and, as I have repeated, it is clear in its recommendation.
ParlaMint-NO_2010-05-31.ana.ud2225e448	Governments are quoting from the proposition, but it deliberately stops up before the sentence that says: ‘The pilot study will be subject to external quality assurance of design choices [[KS1]] One of the options that will be considered is full coverage. The zero option says one in the proposition that one will not follow. But full coverage doesn't take a distance from the proposition. Therefore, there has to be confusion about whether there is an alternative, when the government says that this is an option you want to consider yourself. But I still think the debate has made it clear that there is a lifting of the government going ahead. I understand that the government can't reach the goal of raising in the summer of 2011 with its schedule. But there are good opportunities to achieve the goal of raising in the summer of 2012. And my question to the Council of State is, is it also the Council of State's goal that the submarine be lifted in the summer of 2012?
ParlaMint-NO_2010-05-31.ana.ud2225e461	My honest and sincere goal is to treat mercury and mercury pollution outside of Fedje as quickly as possible, as safely and as safely as possible. Then I'll come back to Stortinget as soon as I have both the timeline and the content of that project.
ParlaMint-NO_2010-05-31.ana.ud2225e466	At the risk of being perceived as premature both on their own and on behalf of others: this is a matter that involves a strong commitment. It is also a difficult matter, it has been expressed several times by the Council itself. Then I finally have to go back and connect the line from Wednesday in the previous outside to here we are now. At 11.09 a.m., the Council of State answers: ‘The Council of Trade Unions agrees with the Prime Minister. Yes.’» But the question is, do you agree to cancel the submarine? Then my last question in the last line about the state council can explicitly say here that she agrees that the submarine should be lifted.
ParlaMint-NO_2010-05-31.ana.ud2225e478	I will repeat once that the government's decision to cancel is firm. It's not harder than that. It's repeated by the Prime Minister, it's repeated by me. It is quite obvious that the government then has a goal of implementing its decision, which is cancellation.
ParlaMint-NO_2010-05-31.ana.ud2225e483	The cord shift is over.
ParlaMint-NO_2010-05-31.ana.ud2225e486	I almost think we should welcome the matter that we do not want to solve, greet the red-green government. I have to get back to the last Council of State said. Last Wednesday, at 6 p.m. So 10.18 the Council of State said to evaluate all the alternatives. At 11.09 a.m., the Council of State said that she agreed to cancel the submarine. Then the committee decides the setting at the end of last week. Then it was not necessarily seen that the submarine had to be lifted. Today, the Council of State says that she agrees that the submarine should be lifted, but we are still going to adopt the proposal from the government, which means new investigations and new assessments. At least it is quite clear that this is a government that will not take responsibility and difficult choices. In 2011, there are municipal and county elections. I understand that it might be good for the government to push this matter forward after the municipal and county elections in 2011, because then it might not be quite the same pressure on the government because you have finished the election that is important to many of the local politicians of the Workers' Party in Hordaland. I heard statements from the representative of Langeland. It didn't sound like a very credible post. It sounded like a post that he had to make, but he didn't really mean what he said. That is not how I have heard the representative from Langeland earlier on this matter. This matter is quality-secured up and down, and Dovre's counter-representations are largely refuted quite thoroughly. And, as I said, I am not sure that the Ministry of Finance is the right one to assess who has the most competence to comment professionally on the professional issues involved in this matter, but perhaps others who have also shown and documented that cancellation is very reasonable. I assume, of course, that the Workers' Party in Hordaland is on the decision they have made, that we are demanding a lifting. I also think it's a little special, because in 2007, after the hearings in the Transport Committee, the Council of State said that there were new elements that made it necessary to reconsider this. We were happy about that. But there must be limits to how many times we are going to re-examine this matter, and especially when we see that it is economic conditions both for the Council of State and for other representatives who are in favour of what is proposed by the minority in the Committee. That's the economic and governance thing you're most concerned about, not the environmental thing, which at least I think you should take into account and actually do something about. The representative of Romemetwiss's post was heard as a 10-minute post in fossroing to try to create uncertainty, in order to try to tell why the government now needs to re-examine what has been done many times before, and perhaps also how to reverse this case. Since the representative Rommetveit is also from Hordaland, it may be useful to have the matter put to the vote after the municipal and county elections in 2011. I believe that now there has to be an end to postponement, training and keeping people out of Fedje and in all other areas for fools, and not least an industry, with which I thought the Council of State was quite well acquainted, the fishing industry, for which she also has a responsibility, and which is very concerned that we now get cleaned up – I think the third – I get to say the poison, because that's what it is. I also think it is a great paradox that government representatives from Norway travel around the world telling how to clean up old sins, or new sins for that matter. But we can't clean up our own dish. So in our own backyard, we can't make a decision that says we're going to clean up the U-boat on Fedje once and for all, make sure to cancel the poison and get it out and out. I'm almost beginning to wonder at the saying – as some claim – that if you're not going to do anything, you're going to set up a committee. In this case, we have to expand it to make sure that if you want nothing done, you can make a new report or take a new review, and then you have to put the matter back on, so that you can not do anything about this matter. But I still want to challenge the Council of State, because she is not clear when you last changed the position on this matter. When, in 50 minutes, you can walk from one position to another, and after that, you come back with a new position, and now you have come back to one of the positions you had in the Question Time last Wednesday – are you going to change it again?
ParlaMint-NO_2010-05-31.ana.ud2225e505	In this debate, the opposition is trying to create the impression that the government has substitutive motives for implementing quality assurance of all alternatives in order to secure the wreckage of U-864 and the on-board mercury cargo. I'm sorry. So the opposition uses all the means when, for example, it does. to better knowledge, ask questions about what has been said about a zero option. The zero option is inserted to have a reference option and it knows the opposition. There must be no doubt that the red-green majority is concerned about finding the safest and most environmentally friendly way to deal with an uplifting of the wreck and handling the mercury cargo on board. I believe that there is greater reason to ask questions about the responsibility of the opposition in this case. As the representative Rommetveit said, the handling of the wreck and the pollution from the mercury cargo on board are both demanding and complex. Not only the wreck and cargo in their present state, but also the removal and lifting of wrecks and cargo represent a major environmental risk. In addition, large concentrations of mercury contamination on the seabed around the wreck have also been recorded, as well as extensive work on cleaning and/or covering the seabed must be carried out. It goes without saying that there is no limit to error handling in this case. We have to be absolutely sure that an uplifting of the wreck will be carried out in the safest way. We can't afford to expose the environment to the risk of a failure of a cancellation operation. We can't afford to have any urgency in the matter either. In the context of the revised national budget last year, the government informed its decision to lift the submarine with the dangerous cargo. At the same time, quality assurance was also notified. This resulted in that KS2 report, which is very critical of the project at hand and which concludes that the existing plans are not sufficiently prepared and that there is a very high risk associated with, inter alia, the risks. scope of work, contractual relationships and governance. It's the government's duty and the Big One's duty to deal with this. Therefore, it is right for the government — in addition to continuing with the decision to lift — to ensure quality of other alternatives, such as coverage and a combination of uplifting and cover. The government's decision to raise the issue remains firm, as both the Prime Minister and the Minister for Fisheries and Coastal Affairs have established. At the committee hearing, we were presented with several alternative ways of lifting the wreck and removing the mercury load. Mammoet Salvage owns one of the solutions in question. After a thorough assessment of both the concept and the contract, Stortinget will be presented with an even safer solution. I share the impatience expressed by many in this case, but in this case we cannot afford to make the wrong decisions. So it's a little special when the Progress Party, the Right Party and the Christian People's Party come in to maintain the contract that is the basis for the highly critical quality assurance report. It is, as I see it, also a dangerous way to assume that the Storting will choose a contract partner, especially because there is a lot of commercial light to be considered. But that does not seem to frighten the Advance Party and the case rapporteur, Arne Sortevik, who has also previously pointed out suppliers to the government. I believe the practice of the Progress Party and Arne Sortevik put forward could have caused us considerable problems, but it is even more worrying that there are responsible parties that support such a procedure. The responsible choice in this case is to join the government's arrangements.
ParlaMint-NO_2010-05-31.ana.ud2225e526	U-864 is a derelict wreck. It's a grave for German soldiers, and it has a deadly cargo on board. As late as 2003, they found the wreck of U-864. It is 145 metres deep, but smaller parts of the wreck are scattered outwards and down to a depth of 160 to 165 metres. The area on which the wrecks are located is considered unstable and at risk of slipping. There are 30 dimensions of contaminated seabed around the wreck. There's one grave, there's one wreck, and there's one environmental bomb. This time I want to say that I am grateful for Germany's ability to produce things with high quality, because if the cylinders containing mercury were not so solid, the leakages would be greater than they are. They were designed to withstand at least 60 years, but the Germans produce quality that lasts more than that. Despite it, it tastes like mercury – after all, it's a whole submarine that's blown to pieces – approx. 3 kg a year, we're assuming it's leaking out. Therefore, everything suggests that it is urgent to get this out of the seabed. We have experienced the way forward to this debate in this Chamber as long, and we have felt that there has been uncertainty along the way – not uncertainty created by the government, but uncertainty created about the consequences of mercury poisoning. Can this be affected? Is it possible to touch the sediments without any leakage of mercury into water? It's been the uncertainty we've been feeling. What is the correct solution? What is the solution for the future – and for the present? From the wreck was found until the first signals that this wreck actually contained pollutants took some time. When the final message came that the wreck most likely had a load of metallic mercury that was as large as 67 tons, we actually had some problems understanding how much it was. Throughout this period, local politicians and state politicians have had a close and good dialogue with the government. We have had many meetings and many rounds of information exchanges and conversations to get the matter out, to light it up so well that a decision could be made that is correct. This is a matter that has engaged me strongly. I live in the middle of the area, and I've been trying to be out and talk about it. I've compared it to the mercury thermometer that has fallen on the bath floor and been crushed – one little pearl is considered dangerous, what about fainting 67 tons? We have received both the Prime Minister's and the Government's assurances that they will support us in this matter and that the submarine will be cancelled, and we trust that the cancellation will be completed as soon as possible. But this isn't a project where we can have a hurry. Here security must come first. I note that the opposition does not want to spend the additional time it takes to determine how the project is to be carried out. The report raised so much doubt about the cancellation operation and the contract that it would be irresponsible not to go the extra round, in order to evaluate this process more thoroughly. I'm still paying attention to the fact that the cancellation option is fixed. I would also like to stress that it is a matter of course that the polluting sediments around the wreck are handled in the same process, so that we get a cover of the soils that cannot be removed. Then I notice that the opposition has a very great faith in the Hordaland Workers' Party. I think that is quite reasonable. It's a county that has a lot of good statements. Later on, you can just distribute them, and then you can follow our policy. I feel safe about that should go well for the country and for the county. However, the conclusion of the Hordaland Labour Party is that the lifting should take place at the lowest risk possible, as soon as possible, but in the most secure way possible. The government has repeatedly confirmed that it should not be an economic issue but a matter of environment and security. It is a guarantee that I feel secure. My summary in relation to U-864 is: it has to be raised. The polluting sediments around the wreck that may not be removable are covered. The implementation of the operation is carried out as soon as it is environmentally sound. This is an operation we cannot afford to fail – on behalf of the local population, on behalf of the fishing industry or perhaps more precisely, life in the sea, on behalf of our generation, but most of all on behalf of future generations who will continue to live both off and along our coasts.
ParlaMint-NO_2010-05-31.ana.ud2225e556	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-05-31.ana.ud2225e559	It is wonderful to attend today's debate and to experience that we have a government that appears to be completely free of substance, content and accountability. It's also amazing to hear that the opposition is accused of irresponsibleness. Is it true that the Hordaland Workers' Party has been irresponsible in the matter? Is it true that former Minister for Fisheries and Coast Helga Pedersen has been irresponsible in this matter? In this case, the Labour Party has a relatively large problem. Both the Prime Minister's statement on the matter and the approach of the Minister for Fisheries and Coast to the lifting of U-864 or not make it appear to be of little credibility. You almost have to ask if it's a Columbus trip we're witnessing? Columbus went out as known to find India. He did not know where to go, not how long he would be gone, and when he came back, he did not know where he had been either. The same can be said about the government's treatment: they didn't know what and where they wanted. When they made the decision, they didn't know what they had decided, so they changed their attitude and meaning up to several times, without adopting anything. That's what the minister says today: Yes, we get to cancel the submarine, but you don't want a decision on it. It should then be understood that there is a reasonable doubt about the actual position of the government. Let us hope that both the Labour Party and the Minister for Fisheries and Coastal Affairs will gradually become aware of where they are and what issue we are actually debating today. It's unsustainable for anyone to deal with a government that really doesn't have an opinion whether to raise or not a submarine with 67 tons of mercury. Dovre Group has been commissioned to produce a report that you want to deal with. At the same time, you place both Mammoet Salvage, Lloyd's and Veritas in the same booth, which was incompetent for the task. A government, which has minimal competence in this area and does not know where to go, may doubt the competence and knowledge of global actors who actually possess the knowledge and competence that the government does not possess and demand in this case. It is amazing that the government in its ordered report more or less slaughters the Coastal Works and the competence there, while a global company like Mammoet Salvage says that for them, the Coastal Works has not been a problem, but a professional actor. This is a trick game.
