ParlaMint-NO_2010-03-10.ana.ud2469e26	The representative, Mr Halleraker, will put forward a proposal for a representative.
ParlaMint-NO_2010-03-10.ana.ud2469e120	I can repeat what I said about what I have said about this matter, and what is the story of green certificates in general. On the question raised by the representative to re-examine this matter, the answer is no, and this matter has also been notified in the form of a letter to the Stortinge regarding the limitations of the transitional regime on small-scale power. Nor do I agree with the representative of Solvik-Olsen in his claim that what has now happened has led to a standstill and almost apathy in the industry. There's a lot of activity in the industry now, there's a lot of interest in expanding. What we're doing around green certificates is a fantastic stimulus to the small-scale power industry and will contribute to the development of projects and to the development of renewable energy in the Norwegian market. So I disagree with the entrance. I believe that this particular case is a good case for the renewable industry and shows that the Government wants something in terms of both small and renewable energy.
ParlaMint-NO_2010-03-10.ana.ud2469e125	Three follow-up questions are raised – first Henning Skumsvoll.
ParlaMint-NO_2010-03-10.ana.ud2469e128	It's not just in the small power industry that people feel cheated. Even in the wind power industry, there have been problems with constantly changing framework conditions. Statoil's chief of new energy, Alexandra Bech Gjørv, expressed great frustration over this in today's business 12 January this year. She pointed out that many companies have used considerable resources to develop power projects, but that the framework conditions are missing when you arrive at the time of investment. In the same article, Foreign Minister Jonas Gahr Støre said that he thinks it would be strange if Norway were to use even more resources to build renewable energy, since Norway has so much renewable energy. This creates further uncertainty in the industry, and among many actors, doubts arise as to whether a green certificate market is actually being created in 2012. Can the Council of States resolve any doubts by guaranteeing the introduction of green certificates from 2012?
ParlaMint-NO_2010-03-10.ana.ud2469e135	The processes we are now going with Sweden in relation to green certificates are good, and we have progress as expected in relation to implementation on 1 January 2012. In this way, I am very pleased with what has happened since Maud Olofsson and I signed the agreement in September 2009. So we're working on the goal we've set for this to be implemented on 1 January 2012. When it comes to wind, I've previously said from this pulpit that wind is the area of renewables where I'm least satisfied with development. What we have seen on the wind side is that a factor that is quite essential to the rate of expansion – and I wish we could agree on that in this Chamber – is a combination of the increased costs and what happened around the financial crisis in 2009. It helped investors to be cautious about going into large investments, and it has helped to make wind investments later than I would like to. But we spend a lot of money, we spend a lot of money on wind bets now as well.
ParlaMint-NO_2010-03-10.ana.ud2469e142	Siri A. Meling – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e146	A few weeks ago, I was contacted by some landowners at Ualand, in the municipality of Lund in Rogaland, who have the opportunity to expand small power for about 20 million. kr. They wondered if I thought it was smart that they did it, and if they could expect to receive the support that has been available in relation to green certificates. I wish I could say, yes, go ahead, because we need all the energy we can get, and we need jobs, we need those who landowners and farmers to strengthen their livelihoods. But unfortunately I couldn't say that, I had to say no. Had it been my money, I would not have dared to invest them until I actually saw what was going on in 2012. And why would I have to give that answer? Well, when a cross-political collapse says it will take effect from 1 January 2004, and there is uncertainty about who gets, and whether they get at all, and if they get started, I can't call anyone to spend their savings on investing in small power. What will the Council of State do to bring peace, optimism and the desire to invest in small power in the future?
ParlaMint-NO_2010-03-10.ana.ud2469e153	I find it difficult to see that I can do something more than now to ensure that the good process we have with Sweden – which is going on the technical adaptation to legislation, the design of a framework for the market itself – is going well, as it is now. The great framework, the political framework, around it was laid last year, and then we have a not insignificant job in relation to the technical, which is, of course, extensive, because the energy markets of two countries are going to work together. But I mean the best signal I can give to the industry, the best message I can give, is that this is going for the time being absolutely as it should. Progress is good, and we have a common plan, and that's 2012. Which advice the representative Meling chooses to give, I can't really interfere so much with and think so much about. It must be the representative's own choice.
ParlaMint-NO_2010-03-10.ana.ud2469e158	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e161	I think it is bad to hear the Council of State today, which is misleading the Storting against what it has been politically agreed on, that small power plants that had started construction after 1 January 2004 would be allowed to participate in the green certificate market. So there are 150 small power plants built after 2004. These are proud of the Government. They are proud of what has been said about the framework conditions, and they have made great investments. There is a lot of money and many hours that have been laid down. The government clarified this to Stortinget as late as 2006, and then came this press release at the end of last year, which set a production ceiling. The Council of State has replied to the representative Ketil Solvik-Olsen that he will not re-examine the matter. But my question is: Has the government changed the energy policy according to its own wishes, or is it the Swedish government that has pushed the government into this breakup?
ParlaMint-NO_2010-03-10.ana.ud2469e170	No, I think the representative Hemdal also knows that the transitional regime is a national matter, so of course it is not something that the Swedish government has pushed the Norwegian government to do.
ParlaMint-NO_2010-03-10.ana.ud2469e175	Let's move on to the next main question.
ParlaMint-NO_2010-03-10.ana.ud2469e178	My question goes to Minister of Knowledge Kristin Halvorsen. The drop-out in secondary education is one of the most serious problems of the welfare society. One in three young people does not complete. Worst is the situation in the professional sector. Most of them are those who, after two years at school, do not receive an offer of apprenticeship, as they are suggested – because there are not enough apprenticeship places. In an interview with the Evening Post recently, the Council of State promises an improvement in the absence in three years. With the problems we have in terms of non-response, this is a very defensive goal. The otherwise friendly newspaper Nordlys wrote in the lead place before the weekend that it is a shame that the government is defeating increasingly new young people, and the newspaper criticises the government for doing too little. This government is responsible for the highest top-ranking salaries in the state — while the government provides bottom-up for apprentices in the state. It is now four years since Kristin Halvorsen's predecessor, former Minister of Knowledge Øystein Djupedal of the Socialist Left Party, said he was ashamed of the state's greedy apprentice effort. In the meantime, the number of apprentices in the country has been further reduced, from 690 in 2006 to 382 in 2009. By comparison, Bergen has only 200 apprentices. Better access to apprenticeship places is essential to reduce the drop-out rate in secondary education. Does the Council of State agree that the State's apprenticeship effort is even worse today than in 2006, and will the Council of State ensure that the State celebrates for its own door and provides significantly more apprenticeship places from coming school in the autumn of 2010?
ParlaMint-NO_2010-03-10.ana.ud2469e197	I'm very happy to have this question. It's because the most important thing I've been going to do in the next few years is just to bring down the dropout in high school. We know a lot about what works, but we need an even stronger grip on that effort. That is why I have already invited all the heads of state schools in the country to join a parallel of the Barnehagel promise, namely systematic cooperation between the state, the counties and other actors – with full ‘driving’ to bring down the drop-off from secondary education. Through an untraditional cooperation between state and local authorities, we were given full childcare coverage – through an untraditional and stronger approach between the state and the counties, we can reduce the drop-out rate in secondary education. My invitation to them is that we need a common statistical basis, because we count a little bit differently. We have to set clear targets for what we're going to achieve, so that the arrow goes down and we have clear targets for each state. And we have to have full 'driving' on the apprentices. I fully agree with Mr Aspaker that the public must take its share of that responsibility. This is why part of my approach to this is to make contact with all parts of the country – and with the municipalities – because we can offer apprenticeships in more areas than what we are doing today. It's a big waste in Norwegian society that we have such a big drop-out. The 30 pst. which does not complete is a composite group. Some of them have made a mistake – therefore advice is so important. Some of them strike in a trade or two, even though they have completed — it is therefore so important to support training at once. Some of them drop out, and we don't see them in a while. We know that we're going to need more secondary education in the future – there will be little room for those who only have primary education. That's why this is my most important case in this period.
ParlaMint-NO_2010-03-10.ana.ud2469e212	The problem for the apprentices who need room for the harvest is that they need room for the harvest. And what I hear is that the council has a very good time. This is where monitoring is to be carried out, where it will work together, and many things will be done with the local government sector. The point is that the municipal sector is delivering. The local government sector has seen a large increase in the number of apprenticeship places. Those who don't do their job are actually the state. It can almost look as if those with the least social responsibility are the top leaders in the state, who don't take this seriously. For example, the municipal sector has: 50 pst in the field of health care. More apprenticeship places in the last two years – 2500 new places in that area alone. I'm calling for a far tougher grip from the Council of State in view of what's going to happen in the autumn – and the many young people who are going to stand without an apprenticeship, if not the Council of State is now taking action. It will not be able to monitor this year in the case of students without an apprenticeship in the coming harvest.
ParlaMint-NO_2010-03-10.ana.ud2469e223	The representative Aspaker hears extremely poorly after all. We've had 30 pst. 15 years of absence from secondary education. We've put 'tired' on this right now. It is the most important task that we can have in relation to ensuring that the lowest possible number of people are expelled from the labour market. There are thus many measures, and there has never been such a ‘trafficking’ before to prevent future non-response. We need to work much more systematically — including in the public sector and in the state sector. I think the municipalities can also think that they can offer apprenticeships in areas other than what they are doing now, even though the municipalities are nice. The state has a lot of state businesses in all areas, and I'm going to go to every state council to get them to the skill we need to get more apprenticeships. Just a little comment about Nordlys: I'm a little surprised about them – it's not that long since I was in a meeting with the editorial board in Nordlys and was just talking about drop-outs in high school. We have some special challenges in the north, and especially Finnmark states have some special challenges in terms of non-response. So this is a particularly important cooperation with the three northernmost states.
ParlaMint-NO_2010-03-10.ana.ud2469e234	The President will be told that he believes that the Council of State should base the representations of the Stortinge to follow. However, there is an opportunity to take a different view of political issues. I think we will see more of that in this debate. Three follow-up questions will be raised – first Siri A. Meling.
ParlaMint-NO_2010-03-10.ana.ud2469e242	I record that the Minister of Knowledge wanted to hear all his government councils in relation to what part of the responsibility they take, and therefore my supplementary question is addressed to the Council of State Terje Riis-Johansen. The power industry is facing major investments in the future. This applies both to deployment and not least to the deployment of networks. That means that we will need a lot of skilled labour in the future. So my question to the Council of State is, what action will he take, or have he taken, to ensure recruitment through, among other things. to include apprentices in their own department, their own directorates and in the state enterprises for which the Council of State of Terje Riis-Johansen is responsible?
ParlaMint-NO_2010-03-10.ana.ud2469e249	I understood primarily that the question from the representative Meling is about what is simply called fumigation in the power industry. And that's quite correct. A bit of a joke is said that the average age over a period has been one year higher for each passing year. There has been little recruitment to the power industry, I fully agree. I think some of the explanation for that is that industry has been considered to be very mature. There has been little new that has happened there. The previous investments have been maintained. Now we have a completely different situation. We have a lot of small power development, and we don't have a lot of exciting projects in terms of pumping, power driving and using the magazines in a completely different way than before. As far as those businesses are concerned, they are a bit on the outside of what I am specifically responsible for. But as the Minister of Knowledge just said, this is something that the entire Government is concerned about. I'm also going to make sure that the power industry increases awareness considering the importance of taking in apprentices, getting in young people. Last night I had just that message to the oil and gas industry at a meeting I had in Bergen.
ParlaMint-NO_2010-03-10.ana.ud2469e258	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e261	My question then goes to the State Council Halvorsen. That much of the dropout in high school is because the student does not have a place to study is not an unknown matter. There's a very big shortage of apprenticeships, and the public is the one that's at least good at providing a place to teach. Now it seems that the minister has taken some action here. However, there is a need to think about new areas of learning and to be constructive. The Progress Party considers the possibility of replacing the one-year option at Vg3 with a two-year practical training course with professional guidance, using workshops – the kitchen or other practical rooms – in connection with student enterprises in the school for those who have not received a apprenticeship. The question then arises: Will the Minister facilitate the provision of an adequate apprenticeship for more students through two-year training in the creation of a school student enterprise with practical and professional guidance?
ParlaMint-NO_2010-03-10.ana.ud2469e272	This is a good and interesting proposal. I think the most important thing is to make sure that the appeal to all businesses, both private and public, is about the following: Join us on the duel to get the most to complete advanced education. Set up with an apprentice slot. I notice that there is a great responsibility in the private sector, and I see that this is about their ability to have competent labour force in the future. It's better during this financial crisis than the last time Norway had a crisis. So this proposal that the representative of Thorsen now comes up with, has come. It's a budget question, but it's a way of looking at how we can manage to get a proper education for those who don't get a place to learn, so I'd like to get back to that. So I'm working on one more thing, and that's the question of legislating the right to a place of learning, and it really comes within this proposal of the Progress Party as well. Because apprenticeship is so crucial for completion, we have to make sure that we use all the tools to get the best out of it.
ParlaMint-NO_2010-03-10.ana.ud2469e283	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e286	I think it's important that the emergency measures that the Council of State will achieve in the cooperation she has now invited to bring down the dropout, but I think it's also about doing some structural measures for the school and asking if the school is the way it should be when so many actually fall from. But I think, too, when we are talking about apprentices – and the Council of State mentions the word ‘dugnad’ – that many enterprises, with what is now in the Grand Council about a statutory right to apprenticeship, and the invitation to good that comes, feel that that is exactly what they are invited to: a volunteer. Because that's, now that the bottom line is difficult for many companies, apprentices it'll go off. My question is quite simple: would you consider doing something about the employer's fee in relation to the apprentices and with the grant that the companies actually receive to take care of the students they receive, so that this is not just about a voluntary effort that goes beyond the bottom line, but that the state is actually setting up in terms of the economy?
ParlaMint-NO_2010-03-10.ana.ud2469e295	It's a pleasure that a lot of companies don't squander apprenticeships even though they have a little more demanding times than before. It's because many companies think very long-term, and they think they themselves have an interest in having access to good and competent labour in the future. So I'm very happy about that. With regard to support for apprenticeships, we have come to the conclusion that a grant is a better tool than a reduced employer’s fee. For example, Finnmark County would not enjoy a reduced employer’s fee for apprentices. But it's also a budgetary question, and I think the most important challenge that I can now give to private business is to continue the idea that very many people have of thinking in the long term and being with and taking responsibility for it. And then is the support and guidance that apprentices receive in relation to how they follow up the individual apprentice, which can also be a rather demanding challenge.
ParlaMint-NO_2010-03-10.ana.ud2469e302	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e305	Last week, Fafo presented a report on the dropout in high school. At the presentation of that report, Gudmund Hernes, who made the report, delivered two bells to the Secretary of State, for he would hang the bells on the cat. In this context, the cat was the Council of State, because it is the Council of State that is responsible for the entire education cycle and for all the measures from the first class that have to be done to actually do something about the dropout. We in the Left have submitted a Document No. Eight proposals with a lot of measures. The councils are talking about a good deal here. So I have two questions. One is, is that skill also a political virtue for all the measures we can actually take to prevent school drop-out? The second question is, Did the Council of State get the bells?
ParlaMint-NO_2010-03-10.ana.ud2469e314	The bells are superfluous, but I didn't need them. That former ministers of knowledge underline the importance of the minister of knowledge, I appreciate it so much. The report from Hernes is very interesting, but it doesn't say much new about what the job is. It underlines what I've already taken up, that we really know a lot about what we have to do. We just need much more coordination of what we do, much stronger cooperation and much more force over the efforts. And I've already done that. Then, of course, I would like to accept good suggestions from the opposition as well. I very much agree with Trine Skei Grande that this work does not start in higher education. It doesn't even start in 1st grade. It starts in the kindergarten. It's about how we make sure that as many children as possible are included and encouraged to reach as far as possible. But I might say in particular that high school is a somewhat neglected school step that I want to focus much more on in the future.
ParlaMint-NO_2010-03-10.ana.ud2469e326	Then we move on to the next main question.
ParlaMint-NO_2010-03-10.ana.ud2469e329	I have a question for the Minister of Knowledge. When the press release from the Ministry of Knowledge this week ticked into my e-mail, I knew that I was actually a bit touched. This is not often the case when press releases arrive. But I knew it was actually useful to hump. It's useful to have a lot of good things, even to a majority government that's often shown that it might not be entirely responsive to what the Storting has brought up. Because it was as the Council of State said in its last reply now: there's a message about youth. The forgotten step – something that both teachers, parents, students and the Christian People's Party have been taking up and masturbating in many years – is finally to be put on the agenda. The youth is the forgotten step, we have written in the Christian People's Party. No, say the government, we've remembered that. But in the press release we could now read that yes, that is the forgotten matter. Because I think it's incredibly important that we now be able to make high school a master's arena for the students. Today, this is a difficult step with anxiety, lack of discipline, a lot of theory, too little framework for good teaching. A school that I know of had to call a psychologist to "coache" both teachers and students so they could help them deal with all the behavioral challenges they had. All the money has been used incorrectly in the years this government has been sitting and running. Then my question is: do these new signals mean that you're finally going to put away the whole day's school project and rather create a school that you actually need? And will the Council of State and the Government, when they go to Torbjørnrud, actually put money in the pot to do something about the forgotten step, so that high school becomes a step that doesn't help push students out of school everyday, but that helps them to master and lead them into school?
ParlaMint-NO_2010-03-10.ana.ud2469e342	I am very pleased if the press release from me can touch the representative Eriksen, and I hope that I can see several small steps forward. I have not seen the representative Eriksen's commitment to high school as gnawing. I've seen it as a real commitment to a school step that's very demanding. Fourteen are loving beings — and quite demanding in a high school that is not perceived as relevant in relation to the reality around them. What do we need this for, what are we going to apply to the Norwegian and to the math and to the English? There are some questions that go back to high school. And the cry for more practical opportunities to learn is very massive. We have now had some experiments in the field of employment as an opportunity to take up vocational training in high school. It's an alternative to another foreign language. We invited more people to try out from the next year of school. Then 230 municipalities reported. The majority of Norwegian municipalities will be involved. Unfortunately, we did not have the opportunity to say yes to everyone. But there is one headline: More possibility of practical teaching – not because the students need less theory, but because they need more relevance to how to learn theory. Then there are many who are asking for options. I think we need to re-examine that discussion – not because it should be possible to choose something that in some way does not count for the future, but we need to find some kind of electoral profession that is also involved in counting, which you are reaching for, and for which you have competence objectives. That's how I think we can get to a high school that's exciting and demanding, that's in touch with what's really young people, and that's motivating. I don't agree with the Christian People's Party that, in order to do that, we have to cut the number of hours in high school, because high school also provides the basis for high school.
ParlaMint-NO_2010-03-10.ana.ud2469e355	Now it's not about cutting in the number of hours, it's about stopping the race of always adding even more hours. But that's it now. I thank you for your answer and I am actually extremely pleased that the Council of State has put this on the agenda. I believe that when 230 municipalities report to an experiment with the labour market, they have seen this a long time ago. They're struggling with their schools. I know that I'm quite inspired to continue to masturbate – in other areas. Those who work in high school today may be some of the real heroes we have, because they've got a framework in which it's impossible to do their job. Then we see that now the government has put on the table a new teacher training. We can read in the class struggle today that the goal, to take a master and have only professional development, and not didactics and learn how to handle fortices and the challenges it brings, may be wrong. Will the youth message that is coming now also include the kind of competence that teachers who are actually going to work in high school need? Do you want to put this away that it's a master that's the only blessing, and give them more practice and more didactics?
ParlaMint-NO_2010-03-10.ana.ud2469e366	I have invited you to a slightly different way of making this message about high school. For example, I'm going to invite four groups of high school students, and not just those who feel that they're mastering high school the best. The students themselves must be involved and take responsibility for, and make suggestions on how to get to a more demanding and rewarding high school. Then I want to invite both teachers and parents to join in taking responsibility for changing their experiences to political proposals. Of course, if there are some weaknesses in the training we have now provided in terms of teacher training, we also accept views on it. But I think it's important for high school teachers that they're also very safe on the subjects they're going to teach. Making the subjects exciting, relevant, interesting and making use of e.g. Enterprises and research environments in the community are also concerned with having a good professional overview.
ParlaMint-NO_2010-03-10.ana.ud2469e373	Three follow-up questions are raised – first Geir Jørgen Bekkevold.
ParlaMint-NO_2010-03-10.ana.ud2469e376	Absence at high school and drop-out in high school are related. The government’s only action against high school so far has been to propose raising the absence of the closing diploma. The Christian People's Party believes that the problems in high school cannot be solved solely by asking the students to tighten up, nor does it solve the drop-off problem in high school. Instead, we believe that we must have a high school that is adapted not only to the theoretical strengths but also to the practical strengths of the students. We want the electoral professions back. We want to increase the allocation of quality development, and we want more professional groups to go to high school. Is the council ready to take far tougher and better steps to make high school a master's arena for all of our loving and demanding forts?
ParlaMint-NO_2010-03-10.ana.ud2469e383	From me there comes a roaring yes to this. I'm very concerned that we're going to succeed. There are some paradoxical pictures I see here: if you see how eager a three-four-year-old is, and then you see the same kid as a thirteen-four-year-old, it's not necessarily the same knowledge and booze that characterizes the fourteenth. I don't think it's because fourteen are not interested. I think there are many more strings we can invite them to play on to get to a much more demanding and educational childhood. But focusing on absence is important. Unfortunately, too many young people believe that they can learn despite their high levels of absence. We know that an important indicator of secondary school dropout is high levels of absence at secondary school and poor knowledge, especially in Norwegian and math. So these areas we have to give much more attention.
ParlaMint-NO_2010-03-10.ana.ud2469e390	Tord Lien – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e393	Now the government has been running for almost five years. At this time, young people have shown poor professional performance in relation to the countries with which they compete. There are weak results in many subjects, except reading. We have a school that is characterized by anxiety and lack of discipline. In real science, in particular, we have teachers with poor background skills, which in total is an important reason for the drop-out in high school. Distinguishing number 44 for 2008-2009 was to be the mother of all school policy respondents, who were to address the knowledge nation of Norway. Before it is finished in Stortinget, we are told that there is a need for a new high-school survey report – something special. However, the objective should be both a more practical secondary school and a more demanding secondary school. I fully agree with that. But how is SV, with its resistance to differentiation, going to do both of these problems?
ParlaMint-NO_2010-03-10.ana.ud2469e400	Usually, the representative Tord Lien is a bit more optimistic in his description of the Norwegian school. I actually think that's an important point. There is an incredible amount of good work going on in Norwegian school. There's an incredible amount of good work going on in high school. There are a lot of people who get good results, and I've given myself a slogan, and it's that I'm going to bring out everything that's positive, and not "deep" a sector with the challenges it has. It's all about encouraging good forces, and it's about presenting the school as a job that maybe is one of the most challenging, demanding and fun things you can imagine, because we need more people to choose the teaching profession in the future. Then we don't have to differentiate or introduce old curricula. The old syllabus was dropped because young people who had the potential to get further relaxed with an too low syllabus. There's no reason. Nevertheless, we should of course have adapted training, but it needs to be put in the way that the young people in 'Class 10b' say: they stretched a little further when they got teachers who thought they could reach further.
ParlaMint-NO_2010-03-10.ana.ud2469e408	Svein Harberg – for follow-up questions.
ParlaMint-NO_2010-03-10.ana.ud2469e411	Like the Christian People's Party, the Right is extremely pleased that the Council of State follows up the focus we have at high school. Increased bets in high school and better results in high school are very good. We are particularly pleased that the Council of State has pointed out that it is now important to bet on the basic subjects. We'll see better results on the PISA ranking, as a result. We're going to have that focus. What's been a lot of talk about here is how to get more people through in a good way, so that they experience mastering. It is then exciting to confirm that an increasing number of municipalities will be involved in the labour market testing scheme. Then we get a little worried when it comes to notifying you of an increased offer of elective and practical subjects in high school. For now, therefore, we need to invest in the labour market and basic subjects, but where are these new choices to be taken from, without weakening the other measures? I think that also concerns the teachers around.
ParlaMint-NO_2010-03-10.ana.ud2469e418	I have invited you to a discussion about how we can make the high school more relevant, more demanding, more characterized by mastery for the individual and more influenced by learning. What has been mentioned in that debate by a great many teachers, parents and students is the possibility of more practical training — the profession of work will give it the opportunity, but also to have more choices. It's not because you want to get away from the basics, but because those who master other things a little bit better, often also get a little bit better in basics. So I want that discussion to go on, but you have to do it in such a way that it doesn't become a department to relax, but a department for a slightly different type of learning. I am very pleased if both the Right Party and the Christian Party are now satisfied. I find it interesting that very many of the proposals that the Right usually come into the school debate, about privatisation, about ranking and about grades are absent in this debate. I am absolutely sure that the grips we want to take on the future are going to work together on and get good solutions on.
ParlaMint-NO_2010-03-10.ana.ud2469e425	Then we move on to the next main question.
ParlaMint-NO_2010-03-10.ana.ud2469e428	My question goes to the Minister of Labour. In his New Year's speech, the Prime Minister said: ‘The work is the basis for our well-being. Therefore, we must constantly ensure that as much work as possible is in progress.» Furthermore, the Prime Minister said that we must live on each other's work, not on the work of others. This was also fully underlined when the Prime Minister was in Stortinget for a short time and presented his new project: Dugnad for work. I'm going to be the first to admit that as much work as possible is a good goal. However, from the New Year onwards, no disabled person is getting to work or is in a training situation, work and education trips. People have to quit working life or turn down to work. The adopted State budget does not allow for granting a single new application for transport to and from work or education — this information, according to the Blind Alliance. For every day that goes, more disabled people are hit. They fall out of work or lose the opportunity to take a job they have been offered. The Government and the Workers' Party also have a different slogan, 'All shall join'. This clearly does not apply to disabled persons. Why is it that disabled people are not given the opportunity to live on their own work?
ParlaMint-NO_2010-03-10.ana.ud2469e448	The question concerns the financing of work trips. I would like to stress that the Government spends a great deal of money on financing transport for disabled people. This system we are talking about now is a testing scheme introduced in 2001 to cover a gap – for people with disabilities who cannot benefit from the other existing schemes. There are currently about 400 users in this scheme, with around 18 million in use. kr. But it is quite right that the representative says that after Christmas there have been about 30 people who have been rejected. This does not mean that there are fewer people travelling, but it has not been possible to take new users because of the budgetary situation. What I've said before is that we're going to look at this arrangement. It is for evaluation, and we are going to see if it should be changed, whether it should be made more permanent. I will come back to that in the context of the budget.
ParlaMint-NO_2010-03-10.ana.ud2469e455	The answer, that you have this system to assess, amazes me a little. It's just that we're done with an IA agreement, where one of the targets is that more people with disabilities are going to get into work. The situation today is that there are several disabled people who want to go to work. A lot of companies, and Nav, have used money to organize a lot of jobs, but the problem is simply that the disabled don't get to their workplaces. They can't get there because you haven't spent any money in the state budget. For this reason, my follow-up question will be: will the Council of State, in the context of the revised National Budget for 2010, or at the latest in the State budget for 2011, provide more money for travel by work and education, so that people with disabilities who are ready to move out of work will be able to get to work?
ParlaMint-NO_2010-03-10.ana.ud2469e462	First, I would like to stress that the Government has many measures to get out of work. But just in the case of this scheme, there are some users who have been refused because there have been no funds beyond the funds they had last year. I will look at this matter, and I will come back in a general way in the context of the budget.
ParlaMint-NO_2010-03-10.ana.ud2469e469	Three follow-up questions are raised – first Vigdis Giltun.
