ParlaMint-NO_2010-05-26.ana.ud2104e26	The representative of Morten Stordalen will present a proposal for a representative.
ParlaMint-NO_2010-05-26.ana.ud2104e153	Unfortunately, we have to be some people in that the aftermath is greater than ever, the same is true of the past on our roads. But it is also true that the Storting has allowed more money to go than ever before. But one of the challenges is that the money has not been used up in 2009. We have 669 million. kr again for national road investment. We have 130 million. NOK we could have spent on racial protection, which has not been used. $800 million. We have had to go in 2009. They haven't been used. I think a lot of people can understand that they don't get money because there's no total money. But when they don't get any money when it says 800 million. kr again on the book after 2009, I have to ask the Minister: Is this a good enough organization? Does the government have a good enough executive capacity?
ParlaMint-NO_2010-05-26.ana.ud2104e160	This large number, which was not paid around the turn of the year, mainly tells of the large increase in funds between 2008 and 2009, not least the package of measures, which was a gift to the country over, and which meant both much asphalt and much more maintenance, but where there were unpaid bills around the turn of the year. I didn't think it was good to have 800 million. So let's add another cent. But I must also say that this was the situation at the time, with so much money going on in 2009, I have a certain understanding that the state's roadway here did what they could to use this money effectively. I can make sure that now they're gone. We keep the pressure that the money that's been given for 2010 will be used.
ParlaMint-NO_2010-05-26.ana.ud2104e165	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e168	I have taken care of the road and we from January this year, where road safety was the topic. The question to a number of resource people was whether it was possible to achieve the objectives of reducing traffic damage and killing by a third by 2020. I'll quote the leader of Safe Traffic: ‘It could be possible if the political will were present. It's not like that today. We need safer roads, the volume of control needs to be increased and the focus on awareness-raising needs to be strengthened. In the State budget of the year, there is a gap between the long-term objective of the government and the resources allocated to it.» What concrete action does the Council of State intend to take to achieve the objectives of the NTP?
ParlaMint-NO_2010-05-26.ana.ud2104e178	Traffic security has priority number one from this government. We are now busy following up an action plan that has been prepared in cooperation between the State Road Administration, the Ministry of Education, the Directorate of Health and Safety, i.e. several agencies, with a total of 152 actions. The action plan applies to road, running gear and driver. What is stimulating is that half of the most serious accidents – half of the number of fatalities – could be avoided if people used seat belts, ran in your condition and kept speed limits. So we always have to focus on both. We have to do what we can on the part of the government when it comes to driving, road and driving. Then we must also play on the responsibility of the individual driver.
ParlaMint-NO_2010-05-26.ana.ud2104e183	Then we move on to the next main question.
ParlaMint-NO_2010-05-26.ana.ud2104e186	I have a question for the rescuer of the agricultural agreement – the Minister for Foreign Affairs. In fact, the nation confirmed on 18 May this year that it was Secretary of State Jonas Gahr Støre who finally got the agricultural agreement into port. It happened because his colleague in the government, Breck, did not have enough money, and thus could not meet the farmers' total demands. The agricultural agreement has three main pillars. From now on, 2010, state subsidies on the one hand, increased prices for consumers on the other, and increased customs duties, as the last. Now that's the last point, increased customs, which is the principle I want to ask the Foreign Minister questions about. We see that it is in contradiction to developments in the rest of Europe that we now agree to increase Norwegian customs and import protection. It is contrary to the principles underlying free trade, which the Minister for Foreign Affairs also wants, and which he has said from the Chair of the United Kingdom several times that we want to contribute to. Norway has an open economy, and we are totally dependent on free trade. It's about Norwegian jobs, and it's about the opportunity we have to have profitable and good jobs in Norway. But the Minister for Foreign Affairs has been clear that he was advised not to include increased customs walls and import protection into the agreement. So my question to the Minister for Foreign Affairs is, what was the reason for the person whom the Minister for Foreign Affairs said no? Why, then, did the Foreign Minister leave that Council?
ParlaMint-NO_2010-05-26.ana.ud2104e199	I would like to thank the Right-wing Representative for joining the front page of the nation. It feels warm. There is a complex history behind the decision that was included in the solution to the agricultural situation. I would like to comment on what was my advice and my assessment. What came out of different advice to me, I think I'll leave, because there's always more, from more perspectives. My starting point is that Norway has a choice between a centimetre and a centimetre. The situation is therefore that of Norwegian agriculture — and I think it is important to remember that, because it is true that Norway is a member of free trade and an open economy — that Norway benefits from lower rates of customs duty. However, Norway is primarily a member of a regulated international trading system. It is that we have followed the rules on point and point, including in the field of agriculture, and we will do so as the outcome of a WTO agreement, on the adoption of new legislation on agriculture. Nor is it the case that Norway is unable to use this means of using a dollar and a percentage of customs duties within the WTO or the EU obligations for the purpose that we believe serves us the best. The situation of milk farmers in particular has been such that the agricultural organisations, the Ministry of Agriculture and others have felt that changing the weighting from krona to percentage duty has been the right approach. I have been made aware that there are measures that we can take under the WTO Agreement that we can do under the EEA Agreement. That's why I've joined it. The fact that other countries are moving in different directions in those areas where they have export interests, we will see a complex picture in many areas of the economy. But overall, I thought that this was a solution that defended the interests of Norway in this area, and that I am willing to stand by, if anyone would have different opinions about it, also internationally.
ParlaMint-NO_2010-05-26.ana.ud2104e217	I would recommend the Foreign Minister to press the victories coming on the way to his chest – and the look-up in the nation is definitely one of them when you manage to save an agricultural agreement. The problem is that the principles go on the boat. The Minister of Foreign Affairs is also clear in his reply now, it is not agreed that it is the principles that should govern, it is the interests of Norway alone, almost on a case-by-case basis. It also undermines the work done in the near future by a new free trade agreement. But the Minister of Foreign Affairs also says in the United Nations on 18 May that this ‘is not a dangerous way for the future’. So my question to the Minister for Foreign Affairs is, if it's not a dangerous way for the future to be involved in increasing Norwegian import protection, why was it a dangerous way to do that in this agreement?
ParlaMint-NO_2010-05-26.ana.ud2104e224	I am not ashamed to take Norwegian interests into account when we do so within the regulatory framework we have agreed to. If there is a general principle that says that Norway is for the least possible protection of all sectors, therefore we are building up what is absolutely necessary to maintain agriculture throughout the country, I choose to follow the care of Norwegian interests. What I have said in the Commentary to the Nations is that it is not a lasting solution to Norway's challenges in many areas to increase customs duties. The whole picture of the Norwegian economy is that we're reducing customs duties. And if there is a WTO agreement – I have also pointed out this – there are arrangements for large cuts in customs and large cuts in internal support. But we have to act on the instruments we have today, and this is an instrument that is fully legal, according to the legislation and the agreements that Norway has concluded. And every country that I meet acts like this. Countries strongly involved in free trade also use their possibilities for protection in the areas covered by the agreement.
ParlaMint-NO_2010-05-26.ana.ud2104e231	There will be three follow-up questions – first Elisabeth Røbekk Nørve.
ParlaMint-NO_2010-05-26.ana.ud2104e234	My follow-up question goes to the Minister for Fisheries and Coast. The Minister of Fisheries is responsible for one of the country’s most important industries — and a large export industry. Norway therefore has a high interest in free trade in fish. Norwegian fisheries exports are the most vulnerable industry in terms of international responses to increased Norwegian customs duties. We therefore assume that the Minister for Fisheries has been involved in this matter. Can the Minister for Fisheries guarantee to Stortinget that this will not have a negative impact on Norwegian fishing exports?
ParlaMint-NO_2010-05-26.ana.ud2104e241	The President will note that the question is moving significantly away from the main question, but the Council of State Berg-Hansen has to decide for herself whether to answer.
ParlaMint-NO_2010-05-26.ana.ud2104e244	Yes, the fisheries and aquaculture industry is very concerned with free trade in fish. So, both in international negotiations and in national policy making, there are no links between what is happening in one area and what is happening in another. We have a trade minister who travels around the world and negotiates free trade agreements where possible. I work closely with him in that area. Of course, what is happening in the formulation of international policies in the field of agriculture has no connection with what is happening in the area where we are dealing with the trade of fish.
ParlaMint-NO_2010-05-26.ana.ud2104e249	Morten Højlund – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e252	My follow-up question goes to the Minister for Foreign Affairs. The Minister of Foreign Affairs is quite right to be able to do what you have done, but there are probably few foreign ministers who have been so clear and fundamental about these issues as the Minister of Foreign Affairs of the United Kingdom. A very short time ago, the Minister of Foreign Affairs said that the government will ‘continue to work in all relevant forums to counter increased protectionism’. Then you clearly think of all the forums outside the government's own circles. For example, where you can do something about protectionism, you can do something about protectionism. agricultural production, a traditional, old-fashioned solution is chosen. Does not the Minister for Foreign Affairs agree that there is a great difference between the modest Minister for Foreign Affairs in the UK and what will be the practical results of this agricultural settlement?
ParlaMint-NO_2010-05-26.ana.ud2104e261	I do not agree with that, but I agree that there is a great difference between Norwegian agriculture and all other parts of Norwegian economy. It is a characteristic of Norway — the reality of farming in Norway. Although it went the wrong way because of what I wanted, there was a contributing reason why the Norwegian people voted no to EU membership. EU agricultural policy was seen as incompatible with the maintenance of agriculture throughout the country. That is why we are not part of the common agricultural policy in the EU, but we are part of the WTO. There is now a debate on a framework that could affect agriculture. I am a member of the regulatory trading system. It allows you to choose between a percentage and a dollar. It's the country's ability to make that choice. We have used the legislation within the framework – no one can argue against it. This is what all other countries do to ensure national interests. Norwegian interests and objectives are to maintain agriculture throughout the country. This tool is then used for an industry that has been heavily exposed, and we have used instruments that Norway is fully entitled to and to which we stand clearly upright.
ParlaMint-NO_2010-05-26.ana.ud2104e266	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e269	I believe that I and the Minister for Foreign Affairs agree that reaching a WTO agreement is important, both for a moral perspective internationally and for growth in Norway and also in many other countries. We see that not only do we increase the customs barriers, as we do in this agricultural settlement, but we also maintain a very large amount of export support. So we're increasing the customs barriers in Norwegian milk, and we're spending 140 million dollars. kr for export aid to Norwegian milk abroad. The left has proposed to cut it in every budget. Does the Minister for Foreign Affairs not see that this is a bit of a double moral, that we are both protecting our own and paying for export aid, which is, of course, what the WTO is trying to combat in order to achieve a world trade that both works and can lead to growth for Norwegian business, for Norwegian farmers, and for the international balance and growth of the world?
ParlaMint-NO_2010-05-26.ana.ud2104e275	I believe that the export aid should be phased out. It is also within the WTO agreement that can come. If it had arrived in 2005, the export aid had been phased out by 2013. Norway has made it quite clear that we are going to wind it up in line with WTO rules, but it must be done as part of an agreement. And Norway is a tiny player in this giant class of countries that subsidizes its exports. The major problem in the markets is what is happening in the EU and the United States. As far as I see, 10 pst goes. Norwegian milk production for the production of exported cheese. It shall receive support for such exports. If it's changed, it's about some thousand jobs, which I think the producer of cheese will then move out. Until there is a WTO agreement, the level is maintained. As far as the moral perspective is concerned, therefore, we have solidarity with the fact that we have imposed that rate of duty on milk – in this case it must conflict with Swedish dairy farmers, who have the greatest interests in Norway. I think we can stand upright because we have the right to implement this, in line with the measures to which the agreements give us full authority.
ParlaMint-NO_2010-05-26.ana.ud2104e282	Let's move on to the next main question.
ParlaMint-NO_2010-05-26.ana.ud2104e285	My question goes to the Minister for Transport. I expect that this may be the last time the Minister of Transport comes in the spontaneous question hour before summer. The Christian People's Party took up a case before the summer last year, and it applies to the offer criteria for the fast route. Unfortunately, it is a significant insecurity attached to the fast route. We may risk a sharp decrease in supply, or in the worst case, it disappears. What Lonely Planet describes as “the world’s most beautiful boat trip” is a community institution in Norway. There was a joint transport and communication committee that was in Finnmark and Troms in the previous week. This was the thing we got most feedback on. It means a lot to the coastal population, it means a lot to the ports that the fast route enters, to tourism – it says itself – for freight traffic – yes, it is a community institution. This winter we have experienced that all the flights in Norway have been standing because of the wish situation, we have also experienced that all the trains have been standing, but the fast route, she has gone. This was a matter that the Christian People's Party took up last year. On June 19, at 4 p.m. 12.46 Liv Signe Navarsete said in this room: ‘I’m sorry we couldn’t get the case before Stortinget leaves each other.’ Since that time the minister has left, and there has come a new minister, but very little has happened in this matter. So the government regrets that one of them didn't come forward a year ago, so we haven't seen anything in Stortinget. So my question is, when does this matter come to the Storting?
ParlaMint-NO_2010-05-26.ana.ud2104e301	My starting point is that the government has mountained Hurtigruten from bankruptcy. It was the Hurtigruten who had to report to the government that Hurtigruten was unable to comply with the agreement entered into with the State on the purchase of services that would expire in 2012. My next starting point is that the fast route is very important. It means a lot to the continent, there is no doubt about it, and it means a lot to Norway as a travel nation. Therefore, of course, I do my job to get a good offer basis. So that's not a simple thing. It's not that because if it hasn't come a case to Stortinget yet, nothing has happened. On the contrary, we have worked very hard to establish a good basis. So in the meantime, there's an additional agreement between Hurtigruten and the state. So the insecurity that must be, the debt, I understand, the indebtedness of all the future, and beyond 2012. The fast route’s agreement with the State applies to that part of the Hurtigruten’s services which is about to carry passengers and goods on long-distance journeys. That's where the government buys services. In addition, Hurtigruten operates a large commercial part, i.e., that which has to do with travel or otherwise. When we get a good supply basis, we're dependent on the agreements that we're part of. Difor has this take a long time.
ParlaMint-NO_2010-05-26.ana.ud2104e310	I'm not impressed with this answer. So one year ago, in this Chamber, a minister lamented that this matter had not come to the Stortinget. And now the minister says this is because it's going to be so thorough work. What's happening now is that the Hurtigruten is building a plane B, where one of them is sending ships in international waters. So in a few years' time, the coast can experience that one does not have the fast-haul traffic that is so important for the whole coast. I mean, it means that we have a fast route that goes every day, that goes into the ports that we have today, is helping to secure a basis for the coast. And I don't understand that it's going to take so long. So when the then Minister lamented one year ago that the matter had not arrived before the summer of 2009, I thought I had to look at how a worker works in the government when this takes so long.
ParlaMint-NO_2010-05-26.ana.ud2104e317	Now I'm glad I have one more minute to answer Hareide, so I can say an important sentence, which I didn't have in my previous answer. It's that I didn't intend to go beyond winter and spring before a new period comes out, which will have to be due from 1 January 2013 and which may be due in the past. I'm not going to take a break until the offer papers for the hotspot are out. This probably also means that options that Hurtigruten had to work with will give them an idea of what they're doing, but it's actually going to be an offer here that makes it possible for more people to offer. It requires the EEA Agreement.
ParlaMint-NO_2010-05-26.ana.ud2104e322	There will be three follow-up questions – first Rigmor Andersen Eide.
ParlaMint-NO_2010-05-26.ana.ud2104e325	It is good that the matter is being worked on, even if we think it is going incredibly slowly. The problem, as mentioned earlier, is that we have heard the same thing in the Chamber about a year ago by the Minister of Transport at that time. The fast route has taken hold of the situation. After the conversion, the arrow points upwards. But there is no doubt that the state purchase is absolutely necessary for the concept – as we know it today, and as it has survived and lived for over 100 years, a long history – to continue. In a letter to the Christian People’s Party dated 23 November last year, the Council of State stated that ‘the government will decide on future sailing patterns when you know the costs of the different options better’. Now it might be time to conclude. My question is therefore: can the Council guarantee that a new tender will mean that daily sailing takes place throughout the year, and that the same ports as today are visited by the fast route?
ParlaMint-NO_2010-05-26.ana.ud2104e334	Let me, for the sake of order, correct my own and others' language here in proportion to what we're talking about. What is the state's part, where we buy services when it concerns passengers and goods, is the coastal route, that is, a coastal route that goes from Bergen to Kirkenes. So the Hurtigruten ASA is a company that by date performs this service because one has an agreement with the state, so that side is clear. What I can stress once again is that it has been absolutely necessary to take time to get a good supply base, not least for the purpose of the EEA Agreement. This is an agreement that is important, an offer that is important, but that is also cost-required. So what I can say is that the documents have to go out before the summer break.
ParlaMint-NO_2010-05-26.ana.ud2104e341	Bård Hoksrud – for follow-up questions.
ParlaMint-NO_2010-05-26.ana.ud2104e344	I guess it's still the Stortinget that grants money, not the government. I heard what the council said instead. It's good now that it won't go winter and spring, I'm very happy about that. Quick route means an incredible amount, it means a lot to both parts of the country, it means a lot to Norway, and it means not least enormously in tourism. The problem is the uncertainty of the future, it's the one you're experiencing very strongly in the Hurtigruten, because you don't get an answer. That's how the uncertainty just keeps going. The Council of State has now said that she will not take leave until the tender has been completed. I'm glad, and then I expect it to move forward, and you get it in place pretty fast. But I want to face a challenge because the fast route also has a number of opportunities in terms of tasks that are important to society, for example. in relation to rescue and oil protection, and it has the possibility of carrying such equipment on ships. I want to challenge the Council of State as to whether she will ensure that this can also be a part of the offer – precisely this that you can carry oil protection equipment on the boats, which means that if a disaster occurs, you can act quickly.
ParlaMint-NO_2010-05-26.ana.ud2104e354	If I have expressed myself as allowing the government money on my own, I must be allowed to correct it. I am fully aware that the government is proposing and Stortinget's rights. What I mean myself that I said in relation to costs was that this is a cost-requiring offer; it will in any case be a cost-requiring agreement, when so far lir. Then I can stress that the government is deeply aware and think itself that the fast route is very important. Both the coast route and the fast route are important for passengers, the one part is important for Norwegian travel, and we have the ambition to take care of this important offer still. So Hoksrud raises a demanding question, when he now asks if I can take other things into this supply. Then I'm afraid that summer will go, so I have to reject it here and now.
ParlaMint-NO_2010-05-26.ana.ud2104e363	Ingerd Schou - until last follow-up question.
ParlaMint-NO_2010-05-26.ana.ud2104e366	Quick route is the workhorse of the coast. The Committee was travelling, as we know, in North Norway last week. In coastal municipalities by coastal municipality, we met representatives who were happy about the fast route, glad that it was going. What we also met were coastal municipalities who experienced that the fast route went, but did not stop. It is contained in the tender documents today that there is a certain percentage where you can actually pass by. But when you get to a small place on the Finnmark coast there is 17 May with the school music, you have passengers on and off, and you also have to play for the tourists, and the fast route just goes by – then there is only one of many examples of irritating feedback that the committee received. The question to the Council of State will then be whether the Council of State is going to be inspired by the trick and real-time information that exists, about when the trick comes, and when the trick goes. As it is on the coast today, you have to call the dispatcher and tell him we're passing by, and the agent can be for dinner.
ParlaMint-NO_2010-05-26.ana.ud2104e373	I think it is good to hear that the Transport Committee has been travelling on the fast-track and is looking into the important tasks it is carrying out. I've had it myself several times, and I know what it means. So -- yeah, it might be something to learn from the trick. I would say that the fast route, as I have experienced it, also carries out a community mission beyond what is contained in the agreements and does a lot for Norwegian travel, precisely because they put in a lot of unexpected along the way and give passengers extra experiences. Compared to going past where they are supposed to add to the box and the contracts that are valid, the agreements are due. I've heard of one of these conditions, I immediately picked it up, because it shouldn't be like that.
ParlaMint-NO_2010-05-26.ana.ud2104e380	Let's move on to the next main question.
ParlaMint-NO_2010-05-26.ana.ud2104e383	I will have to ask the Minister for Fisheries and Coastal Affairs a question. In connection with the recent visit of Vega to Northern Ireland by the Council of State, it was possible to read on Monday on the website of www.kyst.no that, in the context of the need to create more jobs in the community related to the farming industry, the Council of State has issued the following statement to the NRK: ‘Therefore, farmers now need to create more jobs where they live, and they should do so by further processing the fish, she says to the NRK. Breeders are using our common land, and farmers must therefore take up the call to leave more in the communities.’ Many of the problems related to the processing of fish, and in particular salmon, are linked to customs barriers resulting from the higher the level of processing, the greater the customs protection we encounter in the international market, cf. a certain agricultural agreement which has been commented on here earlier today on whether or not to increase the customs barriers. My questions to the Council of State are as follows: How has the Council of State planned to follow up on this further? Does the Council intend to oblige farmers to further process the salmon, or does the Council intend to impose additional taxes or charges relating to the use of sea area? How has the Council of State planned to do this through its instrument? Or is it the intention of the Council of State to leave this to the industry itself, which must be the right one to assess whether a market will accept an increased processing of the fish or not?
ParlaMint-NO_2010-05-26.ana.ud2104e397	As the representative Nesvik has registered, I travel a lot, and I was at Vega. And this is actually one of the areas I discuss a lot both with local politicians and not least with the industry itself. Just to answer the last one first, yes, the industry itself has to do this. I think it's terribly tricked by the industry to seize the opportunities that lie here. I am also very aware of the customs duties on the various processed products. And it's like on the simplest variants, like fillets and pieces, it's so low customs that that's not the challenge. Of course, if you want to start smoking the fish and make ready meals, the situation is different. There we have a Norwegian market that I experience as almost starving on good products, also from the aquaculture industry, but gathered from the Norwegian seafood industry. I also believe there is a great potential for increased processing, not least in the aquaculture industry. We have amazing examples of it already, but it can do a lot more. So yes, the industry itself has to do the job. I meet a lot of people who say that this is wise for business reasons, and that actually makes money on it. And then, of course, I also meet a lot of people who say that it's hard to process, if you don't have a raw material that's large enough, especially in relation to the fresh fish markets out in Europe that demand to have deliveries every single day. With regard to the issue of taxes and land taxes, I am concerned that we should have a marine industry that can compete internationally, and of course we have to see it in a context. When I have mentioned this, it is based on the fact that there are some – not least – coastal rapporteurs who are not very impressed by the nature of the marine industry left in the community.
ParlaMint-NO_2010-05-26.ana.ud2104e406	I am very pleased that the Council of State has now, at least, put the ball to death that you should oblige the industry to do this. This is going to be up to business itself, and it's at least a good start. It is not possible to put under the chair that there was some scepticism within the industry after the opinion of the Council of State. Among other things, pointed out that what you could do if you meant something about giving back something to the community could be that the sum you had to pay for new farming concessions last year was due to the municipalities as compensation. And then there's other ways to do it. But at least it is reassuring that the Council of State now says not to impose this on the industry, but to encourage it, if necessary. Well, that's a good start. My follow-up questions to the Council of State are: Can the Council of State be a little clearer in terms of taxation of sea area, because where do I feel that the Council of State says she will come back to it later? Can the Council of State also order that the Government intends to introduce such a measure?
ParlaMint-NO_2010-05-26.ana.ud2104e415	Once again, I want to confirm what the representative now states, that the industry must of course do the job itself. But, as I say, I think the industry has a lot to pick up on, and I haven't met a lot of scepticism in the industry. I was last at the FHL's annual meeting and brought this up in a bigger context. I work a lot to put fisheries and aquaculture policy into a wider context than, as today, that fisheries policy is a sport for particularly interested people. I think this is a way to go to succeed with it. Carrot rather than whip is my motto for this work, and e.g. when former fisheries minister Helga Pedersen announced new concessions, processing was one of the points. I am not working with plans to increase the overall taxation of the aquaculture industry.
ParlaMint-NO_2010-05-26.ana.ud2104e422	There will be three follow-up questions – first Torgeir Tåldal.
ParlaMint-NO_2010-05-26.ana.ud2104e425	Agricultural production this year increased the rate of milk duty, leading to strong reactions across the EU. We have received reactions from more people in the European Union who say that this will have consequences, including: for the Norwegian fishing industry. Norway exports fish for a staggering 45 billion. kr. In my view, the government has weakened Norway's credibility and sympathy when we protest against other countries' attempts to protect ourselves against the export of Norwegian fish, and then we do the same ourselves. My question to the Council of State is as follows: Why does the Council of State put the largest and most important industry after oil to stake in order to draw the centre party? And why did the Council of State choose milk over fish?
