ParlaMint-NO_2010-04-30.ana.ud1090e35	The representative, Mr Solvik-Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-04-30.ana.ud1090e230	First, thank you to the interpellant for putting an important issue on the agenda. And then a little visit to the Progress Party, because after the post from Reiertsen's representative, I'm a little uncertain about whether the Progress Party knows what social dumping really is, but I'll leave it. Unfortunately, social dumping continues to occur in Norwegian working life, although the Government has taken many proper and important measures to combat it. Much attention has been paid to the construction industry and much has been done. But we know that the problem also occurs elsewhere, for example. in agriculture, in the clean-up and service industries and – as the interpellant mentions – in shipping. The use of labour is unacceptable. In the case of non-resident workers, they are often in a very vulnerable situation. They may be far from home, lacking language skills and not familiar with our laws and regulations. Social dumping also affects employers and enterprises that act seriously and follow the rules. When they lose contracts unprofessionally, the good jobs can become unsafe and the pay and employment of employees are under pressure. So these are the unprofessional companies that get a competitive advantage. Social dumping also affects future recruitment, because we know that we do not get young people to take education in industries that have received an unprofessional stamp. We have to make sure that this doesn't happen within the maritime industry. In its ultimate consequence, this is also a threat to our entire model of society. The welfare state is based on an attractive labour market with decent wages and regulated conditions. It ensures the standard of living of the individual, but also the financing of the welfare state. Social dumping must also be seen in the context of the fight against undeclared work, tax evasion and economic crime. The Norwegian model of society is inter alia: built on a safe and equivalent working life. This has given us the welfare community, with a high degree of social equality. That's why it's so important to protect about the most important ingredients in this successful model. In the case of social dumping in Norwegian shipping, it is important to focus a lot on this, as the interpellant well explained in its submission. It's one of our most important industries and part of Norway's face outside. We must take responsibility for this and maintain a labour market also within this industry, where everyone follows the rules of the game. And I am glad that the Council of State today has underlined that this is an important matter that the Government focuses a lot on and actively continues to work with.
ParlaMint-NO_2010-04-30.ana.ud1090e247	Thank you to the interpellant for putting an important item on the agenda, and thank you to the Council of State for a very good response. It's time to remember that it's May 1st tomorrow. There's a signal that there's a difference between the left-hand side and the right-hand side. The left side has been a driver for the promotion of workers' rights at sea too. I can sign the Gullvågs summary of the involvement in Westfold, and I can assure the representative and others in the Chamber that there was no less in West Agder. It was a major commitment and a major trade union ‘trafficking’ to change the decisions that the Bondevik government had taken. And the ‘tired’ reflected not only among seafarers and trade unions, but also among the general population. West Agder is a state of great traditions in maritime transport. The Labour Party believes that social dumping must be combated in all industries. That is why I am very pleased with the signals that have now come from the Council of State. I want to say that these signals help to lift the industry and ensure the quality and professional development of maritime professions. The representative, Tone Sønsterud, was also concerned with quality in the industry. In the broad sense, this is about taking political action to ensure equivalent employment and respect for the work done by our seafarers. In the small picture, this is about the lives of individuals and opportunities to live a good life. On May 1st represents the day of the workers. One of the most important things that makes us today have as good a country to live in as Norway is that we have a good cooperation with the trade unions and that we work well with the business community. It is the most important pillar of the development of a good welfare society. The policy dividers go right between the left, which sees that combining business development with political governance provides good results, gives security to individuals and security and predictability to industries, and the conservative right-hand side, which is little concerned with systems. They're attacking us because we're so busy with the systems that we don't see the individuals. They believe that seeing only the individual creates security. We see that being concerned with both the system and individuals and being able to combine this in political decisions and political work is what ensures the security of the people most. Then we see political dividing lines in the debate here, too, in terms of how much one should rule, and to what extent the market should rule in terms of maritime rules. The reality is that the right side will not have control – they will not have control. And when the Progress Party stands here and says that they have promoted a proposal for a representative on the net pay system, while at the same time not want technical cooperation at the central level, they do not want the management of business at all – they have to have the free market, precisely because the individual himself has to create his own safe job – it is not a matter of intervention, President, if it is a parliamentary expression that I can use. At least it's not good politics. So I'm very happy that the government takes these political steps and shows that it's actually possible to combine politics in the broad picture with the needs of individuals, and ensure that these two things are combined in a good way – for the benefit of the seafarers, for Norway and for the trade unions.
ParlaMint-NO_2010-04-30.ana.ud1090e269	The President can see no reason why the expression ‘not hanging in touch’ should be unparliamentary.
ParlaMint-NO_2010-04-30.ana.ud1090e272	To the extent that it's allowed from this pulpit to speak for the gallery, I'll do it right here and now, because there's a lot of people with orange t-shirts that are directly dependent on us getting a level playing field on Norwegian continental shelf and in Norwegian domestic shipping. It's really their jobs. In its statement earlier today, the Council of State said that the publication of collective bargaining agreements is one possibility for Norwegian domestic shipping as well. The check on the law we have in this area is that it is the subject of tariffs that has to decide whether to make the collective agreements applicable in a particular area. And there's the fact that there's also the Shipowners' Association, which so far has done what they can to block any attempt to generalise tariff agreements in this area. I am pleased that the Council of State mentioned the possibility of using public contracts as an instrument for achieving a level playing field and thus also good pay and working conditions on the base and on domestic voyages. If we got the State Oil Company Statoil to implement such principles in its procurement policy, we would take a long step closer to ensuring a level playing field and a level playing field on Norwegian soil. Then I finally want to say, because yesterday we witnessed that several government councils agreed to present a package for the yard industry, that I could wish for an equal number of councillors to stand up one day and ensure Norwegian seafarers good and equivalent pay and working conditions. It's a cross-political problem that I hope we'll see the results of.
ParlaMint-NO_2010-04-30.ana.ud1090e283	The President would point out that if there was no opportunity to speak for the gallery, many of the posts in this room would never have been held! But it might be a little unusual for it to be admitted.
ParlaMint-NO_2010-04-30.ana.ud1090e286	I want to start by thanking the interpellant for the interpellation, and I want to thank you for the debate, which concerns a very important area. There has been a good and constructive debate that is important for the work of the Government. I want to point cards to something that was taken up by a representative here about the Troms Offshore. I will not say anything about the legality of the notified boycott etc. Some of this is going to court. But I just underline, as the inter-pellant also stressed, that at least the Minister for Fisheries and the Coast has made it clear that in future contracts here, in line with the rules applicable to public procurement, Norwegian pay and working conditions will be required. Then I just want to say to the discussion that has been here about what social dumping is: I am very clear, for my part, that when you have systematic manoeuvring to avoid employing people in Norwegian pay and working conditions, but, as you often see in many industries, hires foreign labour on completely different terms, I can see nothing but that it is the core area of social dumping. This is what you see very clearly in the construction industry, in the hotel and restaurant industries and in the cleaning industry. There are all areas, along with this area, where the Government is now very clear that systematic work is being done through different types of action. So it was said here that there are international rules that restrict what you can do. That's absolutely right. You could like it or not, but that's the way it is. That's why it's very important that we have – and that's what I've been trying to say about here – a variety of different types of instruments, in order through that set of instruments to try to achieve what we really want.
ParlaMint-NO_2010-04-30.ana.ud1090e297	So the debate is on case No. 1 over.
ParlaMint-NO_2010-04-30.ana.ud1090e313	«Every citizen of the State is generally equally obliged, for a certain period of time, to protect his country of origin, without regard to birth or wealth.» That's what the Constitution says, § 109, and it's done since 1907. The protection obligation that the concept has brought back much longer and has historically been the cornerstone of the construction and preservation of the nation state. The duty to protect their country of origin has been established. The same has been done by law through the Constitution, the Act on Obligations of Protection and the Act on Home Protection. The community, on the other hand, and the world, have changed dramatically. The defense has the same thing. There have been consequences for the implementation mechanisms for the protection obligation, mainly the initial military service. Only a few years ago, almost all of the male coal — approx. 30000 – the service, whether it was needed for them or not. Today it is called approx. 10000 in, and 7000 to 8000 in. The defence needs are controlled. The whole intention is that there should be a need for those who actually serve. It is important to distinguish the concepts of compulsory protection from first-time services. One is a legal obligation; the other is one of so many imaginable mechanisms for carrying out the obligation. It's a crucial point that is all too often lost when discussing this topic. One thing is likely to be repeated many times during the debate today, and that is that there is a broad political consensus on maintaining the duty of protection. And that's it. That is precisely why all of us who agree and want a duty-based defence owe it constantly to update and improve its content. All defence policy decision-making documents repeat the message of the importance of the protection obligation. There is broad political agreement that the obligation to protect is the cornerstone of the operational activities of the Defence Agency and of its contacts with the population. By virtue of the duty of protection, the defence shall have access to appropriate personnel irrespective of social and cultural lines. The needs of the defence shall govern the number of called. The initial service shall be the General Defence Recruitment Mechanism. This is something we agree on. It is also useful to reiterate the need for action to do first-time and second-time protection services, such as: in the Home Security, more relevant and attractive. Then the question is whether one is equally good at meeting this need and to promote – and even more importantly – concrete policies to create a meaningful, relevant and competent military service for those who actually deserve their protection. The answer to that, unfortunately, is not as obvious. Here it is natural to praise the Trustee System, which does a very good job as representatives of those under protection. As participants at hearings, in meetings with the Committee or with the party groups, we meet an active and competent trustee scheme that is a valuable premiscuous supplier and sparring partner for us politicians. This interpellation actually occurred after a meeting with the Trustee Order. So what's the Trusted Management system's wish list? It is too long, but I allow myself to mention something. One is gender-neutral protection. The second is to improve the economic conditions, such as: increased distribution and service allowances, or improved pay conditions for trained HV personnel. In parentheses, you might say that, unfortunately, HV personnel are too small and almost not in practice for the time being. This is the development of competence for the individual, the study score and the further development of systems to ensure that military military training and training are accredited civilly, or additional credits for admission to civil educational institutions. These are comprehensive measures. Some are cost-intensive, some are not. A wide range of measures have been implemented by several governments. I also allow myself to point out that the biggest changes occurred between 2001 and 2005. Under the right-hand direction of the Ministry of Defence, there was a measure of what would be done to raise the status of our soldiers who are in the first duty. Specific measures were set for increased service additions, dispensation allowances and study credits. Kristin Krohn Devold was then proclaimed as the ‘military minister’ of the soldiers’ own confidence. Today, too, the intentions are clear. In particular, the long-term plan mentions five areas in which a unanimous increase gave its support. In the spring of 2009, a working group provided a report with 55 different measures that could be of value to those under protection. Not all of these measures are extremely resource-intensive. I can mention some of the measures proposed: departmental labels and distinctions for individuals and uniforms, more systematised and simplified information on defence, simple work environment measures, adaptation of food and serving in canteens and fairs, better record of skills development. Many of these are measures that should be implemented quickly, easily and reasonably. It was expected that several of these measures would already be included in the budget for the current year. But again, unfortunately, the department is remarkably little concrete in the implementation of state-of-the-art measures. In summary, one can go so far as to say that the Government, both through the long-term plan and the budget, once again clarifies that the obligation of protection should be an essential element of the defence's activities, but paradoxically neither has made use of funds nor implemented concrete measures to a certain extent. Many measures can raise status and improve initial services. The most important measure of creating a relevant and meaningful service is based on the compulsory service of first-time service with the aim of being trained as a soldier. Thus, the military training of the defence shall reflect real situations for the soldier to be trained against. This is of great importance to the motivation of the soldiers and not least their ability to solve the demanding task of being a soldier. This means that they shall have adequate, relevant and realistic exercise, time and proper material and adequate ammunition. All soldiers serving first-time service must reach the defined minimum level of skills. This must be a prerequisite for being able to serve as a soldier. I'm afraid it's not like that today. The soldiers are complaining that all so-called green service is disappearing. This has a major impact on the individual guardian's meeting with the Defence and, last but not least, on the country's defence capabilities. The right has repeatedly pointed to the critically low level of exercise and training that is – especially in the Army. It is of great importance to the soldiers' meeting with the Defense that they feel that they are not being trained enough, not realistic enough and not relevant enough. Of course, it also means a lot to the motivation to assess a further career in Defence. The Trustee’s scheme highlights this as the most important point in terms of initial service today. They also agree with the Right in our description of the analysis and the consequences in the long term. For those of us who are concerned with the duty of protection, this point is absolutely crucial. If the quality of the individual soldier and of the security departments, which have an important operational role in our defence, is impaired, then the development towards a fully professional, fully-fledged defense could become a self-fulfilling prophecy. We have to avoid that. Therefore, meaningful, competent military service, with adequate exercise and training, is a prerequisite for the continuation of the duty of protection.
ParlaMint-NO_2010-04-30.ana.ud1090e352	The obligation to protect is a support bar in the Norwegian defence. Under the protection obligation, the defence is anchored in society — a social contract between the defence and the population that allows for mutual influence and understanding. The reputation of the Defence is built by anchoring. And a good reputation is not least important when it comes to recruitment. This is closely related. Through the initial service, we ensure access to well-motivated and skilled soldiers. By means of the protection obligation, we form the basis for further service in the Defence. This is where we lay the groundwork for the recruitment of highly qualified commanders, officers and officers. That Norwegian soldiers are well qualified and do a very good job, we get, among other things. feedback from foreign operations. For each soldier, it is essential that first-time service be perceived as socially useful and meaningful and that efforts be valued. In this way, the duty of protection is given a good reputation and a high status. In dealing with the long-term defence plan, the government’s proposal to maintain and adapt the scheme to a new period of time was widely welcomed. The government has followed this up by extending the initial service to 12 months for all. We have launched a series of measures to raise the status of first-time services. Of course, the decision on the status-enhancing measures, to which the representative Eriksen Soreide refers, has provided the basis for this work. Let me explain the main measures. The session obligation for women is already in place. We aim to conduct a two-part session throughout the country over the next year. This is, in my view, the most important status-raising measure in the short term. In order for the defence to have the greatest legitimacy and upliftment possible, it is essential that the defence reflects society. Recruitment of women to the duty of protection ensures us the most motivated soldiers regardless of sex, a good environment and the best defense. Modern defence is a more diverse defence. The objective of the new session scheme is, inter alia, to: to provide the vulnerable with better information and much more predictability. Through an effective exchange of information with the Swedish Civil Protection Agency, young people gain an increased knowledge of the protection obligation. The scheme provides greater opportunity to meet the individual’s needs in terms of service. This way, we get the right person in the right place at the right time. This, in combination with a better selection, should result in fewer interruptions of the service. Reduced non-response is favourable from the point of view of defence, from a socio-economic point of view and for the individual soldier. In order for the initial service to provide added value for the Defence and for individuals, it is important that it makes sense and maintains a good level of military expertise. Therefore, I would like administrative tasks to be carried out primarily through the apprenticeship system or through the use of categories of personnel other than those subject to protection. Protectors are now able to take basic military training examinations with 15 study credits during duty. Since the scheme entered into force in 2008, more and more offers are being made and examinations are being carried out. That candidates without general study competence can also take the exam and later use these points is a positive scheme that we believe will increase participation. In autumn 2009, a modernisation of Armed Forces Adult Training was also launched. Increased focus on skills-enhancing courses, together with new initiatives such as career guidance, ensures that more people can go straight to school or to work after completing their duties. Let me also mention that we want women now to make a final decision as to whether to complete the initial service when the service starts. So they won't be able to make a reservation in the first three months. The goal is to give more equal treatment to soldiers of both sexes. This shows that we actively and continuously adapt the protection obligation to developments in defence and society. Let me therefore say that we have done a great deal to raise the status of those under protection, and that we are therefore following up the Storting decision in this case. We are now considering several new measures. The proposals cover a wide range of measures in the fields of administration, management and attitudes, information, skills enhancement, school and school scores, and economics. In addition, new measures are being put in place to improve the quality of the service. I am very concerned that the Action Plan for Attitudes, Ethics and Management is actively followed up in all parts of the Defence. This is an important work also in terms of our guardians. And here we have common goals. Thus, an important contribution to this work is this year's military action, where the soldiers themselves have focused on how the Defence can help to create the best possible relationship between command and soldiers. I am, like the Defence Ombudsman, impressed by the good work of our guardians here laid down to improve the collegial relationship between them and the command. Furthermore, the field service assesses how defence can facilitate religious practices for all religious groups in the ministry. This work is well under way, including: on the initiative of the Trustees’ Organisation. In addition, we consider the system of compulsory academic command to make it more attractive to individuals. I would like to highlight here the proposals for improved officer training, salary and the use of officer degrees throughout the service period. At the same time, we are constantly working to get all the soldier cases at a level that meets the health, environmental and safety requirements. As I said, we involve those responsible for protection and their trustees in the work on future actions. The trustee scheme is, as the interpellant has already pointed out, a very important partner with constructive proposals, which has given a higher status and better content to the protection obligation scheme. Our guardians shall be compensated for the important efforts they make for Norway. That is why I am also pleased that the service allowance of our guardians has increased significantly, as was said, in the last decade, and that the dispensation allowance has doubled in the same period. In recent years, we have chosen to give priority to quality raising measures. This includes, as I mentioned, measures to improve the session and work on equality, diversity, quality, management and attitudes. The most costly proposals, such as the raising of military allowances — an estimated 230 million. kr more a year – or the proposal for holiday and pension credits for HV’s intervention forces – an estimated 180 million. kr per year – not promoted. They could have a significant impact on the implementation of the long-term defence plan, and we have therefore not found it appropriate to give priority to these measures at this stage. For this government the implementation of the long-term plan is a clear main priority. The protection obligation is in a special position in relation to the rest of the world of work. The lifting of the protection obligation is also about more than a dollar and a penny for the individual. However, I understand the desire for more compensation and will therefore also work to increase the rates in the future. It is essential that the duty of protection is high in quality and that we ensure that the individual feels that it is meaningful. In this way, protective persons are given the right competences, increased importance and opportunity for personal development. The protection obligation is stronger in Norway than in most of the countries with which we can compare. The duty of protection is central to the strong popular upsurge of defence and thereby to the will and defence of the Norwegian people. That is why, in the future, we will also take new measures to further improve the status of those under protection.
ParlaMint-NO_2010-04-30.ana.ud1090e405	I thank the Council of State for the answer. As I also mentioned in my statement, it is clear that the duty of protection, and to the extent that the service of the first-time service is also an important link between defence and civil society. But I think that even more important to the popular uprising about defence is that we actually have a defense that is able to deliver according to the tasks the defense has. That's what ultimately is the most important popular anchoring. There are many measures that can be implemented both in the short and long term. I want to highlight here some of the issues that I think it is important to continue working on in the future. One is the point that the Council of State was making at the end of the day: how, for example. can assess remuneration for those serving, and insofar as HV too – there are many issues that are important to address. The feeling of fair and acceptable remuneration is important for the motivation of the soldiers. They shall be capable of carrying out that service, with a clear military relevant averaging. In this context, I would just like to point out that today there are many guardians who are serving first-time service, and are doing completely administrative tasks that have no military averaging – sorting mail, ordering air tickets, doing other things that really have nothing to do with the Defense. It's depressing. These are tasks that could have been taken over by civilians. The next point – which I think you need to be aware of has a strong impact on the motivation of those who perform the initial service and on the ability to perform it in a good way, and who ensure good competence – is the extremely poor exercise situation you have, especially in the security services. We have duty-based operational departments, including: in the Army. There is therefore a critical shortage of ammunition, and the level of practice is several places below what the Inspector-General has defined as a critically low level. We can see that when we're around exercises, that special methods are used to make it look like you're out doing a lot of practice. The departments are out for a longer time, but the soldiers get only one night or two out in the field in practice. That's not good enough. It means a lot to the motivation of the soldiers that they actually feel that they are getting appropriate training, a training that is relevant to their mission to defend the country.
ParlaMint-NO_2010-04-30.ana.ud1090e422	I am very pleased that the duty of protection has been included in this interview, and I am also very pleased that the agreement on the duty of protection has been reaffirmed. I think it's a very important starting point when we're discussing together how to improve the content of the initial service and the quality of the tasks of the individual who's in the service. I agree that compensation is important. However, I chose to explain why these proposals have not been taken forward. We have chosen to give priority to issues related to increasing the quality of the service. I think it's essential for the motivation, and I also think we get a very happy response from the soldiers themselves, related to the work done in this area. Annual surveys are carried out among the soldiers. Last year this was implemented for the third consecutive year, and higher well-being has been reported in all branches compared to the previous year. I think that's the best -- call it what we like -- the quality test we can get on the measures, that's how the soldiers themselves experience the work that's done. But of course we should go on, and in this context I also think it is important to continue to look at the content of the service and the opportunities for practice given. But I think it's important in the situation not to blackpaint the stand out there. It is an important point that we have both strengthened the Army considerably since 2006, and we have in fact effectively strengthened the Army's budget in addition to the wage and price compensation of over 740 million. kr. In doing so, we can also expect that of course it is reflected again in the ability of the soldiers to exercise.
ParlaMint-NO_2010-04-30.ana.ud1090e431	When I went to the recruiting school at Trandum in the 1970s, my sergeant told me that I could be a good soldier if I hadn't asked so many questions. Now, of course, a good soldier should be able to take orders without objection. In a conflict situation, the field crew cannot be operated in accordance with the general meeting principle, but a soldier must also have the ability to critically assess the situation if he or she is to carry out a demanding task. That's why we need soldiers who have a critical sense and who can make independent decisions based on the situation you're in. I know that the recruiting school has evolved since then, and that the attitude towards the guardian and the content of the service is different now. The rest of the normal first-time service I have no experience from, because it was served as a journalist in the Mannskapsavias. But there is also an example of how the first-time service can be provided with content that makes it attractive and far from waste — considering the civil runway it will come as a break in. The general duty of protection is important for several reasons. It is important to create a ownership relationship with the Defence of the population. Defending our country is a shared responsibility. Øystein Sunde has a song called "People to Such" – but we can't hire people to defend the country, we have to do that as a collective. But the general duty of protection is also important because it gives the defence access to the best candidates and because the defence will be a continuation of the social and cultural melting crucible that Norwegian school is. It helps to create a community on the task that is the most important of all if it becomes serious: defending the territorial integrity of the nation. The fact that we also have acquired departments does not alter this fundamental principle behind the general protection obligation and initial service. So it's important that the initial service, which is the central element of the universal protection obligation, becomes meaningful. There are about 8 000 who complete the initial service of 30 000 men per year. When, from this year on, the girls are also called to a session, an even lower proportion of the total annual coal will serve initial service. Therefore, when a smaller proportion of youth schools have to assume this obligation, it is even more important that they feel meaningful and useful. The defence has undergone a major change. This work also looks at the content of the initial service. A separate working group has proposed a number of measures aimed at raising the status of this service. The Council of State pointed out that several measures have been taken, and to the good cooperation with the Council of Trustees, which I am pleased to see. I agree with the praise that the Trustee Order has been awarded here, both from the Council of State and from the inter-pellant. I would also like to point out that the Ombudsman’s annual report points to the positiveness of the apprenticeship system and the initiative taken by the Minister of Defence for freedom of expression, harassment and bullying. The time I was called to the recruiting school was the forced cutting of hair that was longer than prescribed – which, at least, hit all the Beatles-inspired hair sweaters – the big theme. It was perceived as unenvoying and discouraging. Therefore, measures that enable individuals to experience the integrity of their lives, whether by maintaining their freedom of expression or by letting go of harassment and bullying, are important for well-being. And well-being is important for the benefits of the service. There are still many status-enhancing measures that remain and should be implemented as quickly as possible, but as a natural part of the defence transition. The initial service must be such as to meet the needs of the defence and society for well-trained and motivated soldiers. However, it also needs to meet the different needs of the individual guardian over these twelve months — for training, of course, but also for leisure time, opportunities for schooling and for participating in other arenas, as we do in the ordinary community. What needs to be given priority is what is most important in raising the status of the first-time service, namely that the actual training of the individual as a soldier is good and meaningful, as underlined by both the inter-pellant and the Council of State. It is this that really engages in the service, that you learn to control the equipment you are going to use, understand tasks and roles, and have opportunities for adequate training. That's what you're doing. I am sure that when the transition is completed in the next two years, the level of training will also be where it should and should be.
ParlaMint-NO_2010-04-30.ana.ud1090e446	It is a very important theme that interpellant Eriksen Soreide addresses today. The duty of protection is the support of our defence. The guardians give the Defense the popular anchoring that is so crucial in an open democracy like ours. It is important that the guardians are proud to serve and that the service provides competence. This will make the good ambassadors of the security system. For those responsible for protection, it is important that they have other status in society. The protection obligation shall be an appropriate instrument to ensure security for Norway and peace with our neighbouring countries. At the same time, the guardians must benefit from having earned their protection – that is, what is called a win-win situation in our day. For us who, like previous speakers, served the duty of protection in the 1970s, there was a lot of motivation in itself that Norway was exposed to a constant threat from the Warsaw Pact countries, with the Soviet Union at the head. The Soviets developed the world's largest military base on the Kola Peninsula, just a few miles from Norwegian territory. Norway had to be defended, and it gave status to having done its duty to the country of origin. We, who were finished in the mid 1970s, felt that in a job interview was always one of the first questions about whether you had earned the protection obligation, and in that case what you had done. If you had a good answer to that, you were already on the way. The role of the defence has changed and, when the Defence Committee gathered in 2008, the Government informed that the Committee assumes that the Government is continuing its work to make the initial service more attractive to those under protection, it was not without reason. Of course, this means that the first-time service is definitely not attractive enough and that something needs to be done. The status-enforcement of those who serve as guardians has been a theme for a long time. The 2002 Seventeenth Report has been an important contribution. Some of the measures identified in the report have been implemented, but much remains to be done. It is now also necessary to look at other and new areas of status raising. Societal development is increasing, and the defence must be more attractive to appear as an attractive organization in order to secure well-qualified and motivated soldiers. An instrument here is that at the end of the service, the guardians receive more than one medal, they must be able to use the service as a reference and as an important qualification for a career in civil society. Last but not least, the Norwegian soldiers in foreign operations: the status of the veterans and their ability to use the service as a reference for their career in civil matters are important to them. In addition, this is an important signal for new recruits. It is therefore important to ensure good rights, follow-up and support for veterans. The government has an important problem here, and there's a lot left before we can say that this task is done. This might cost you a little bit. The Progress Party is willing to give priority to this in budgetary terms. The first occasion is the 2011 state budget, and we will see which parties will follow the words.
ParlaMint-NO_2010-04-30.ana.ud1090e457	Once again, the duty of protection is a theme, and once again we hear that the duty of protection has the anchoring in Stortinget that I have seen that it has always had. What I think this interpellation is questioning is not whether the duty of protection is our main recruitment mechanism for Defence also for the future; it is a question of what is to be done, what must we do to ensure that the duty of protection will also be in the future and survive. Then I think it is important to take the signals that the Trustee's system here is bidding through the interpellation. The measures described in the Interpellation, which, to the extent that the Council of State has also been involved, are, of course, important to ensure that the burden on the guardian is not excessive when he is inside and doing his duty. It's also, of course, about status. However, I would like to point out what may be the most important thing for the protection obligation to remain meaningful and continue to be our main recruitment mechanism, namely that during the initial service there are sufficient frameworks for practice, so that the guardians feel that they are actually doing a socially useful task, while they are being trained for the soldiers we need both at home and outside. In this context, we must agree that the exercise activity we see in the Defence Departments today is not good enough. That's where I think the main problem lies in terms of survival, in order to use such an expression, for our duty to protect. Of course, it's the way to focus on the long-term message that the Storting has adopted, but I think it's important, even in that context, to ensure that there's sufficient framework so that the soldiers get the training they need. I think that is even more important than the other measures that the Trustee System points to in order to have a meaningful duty of protection.
ParlaMint-NO_2010-04-30.ana.ud1090e468	I would also like to thank the interpellant for addressing an important theme such as the Trustsman scheme in the Defence Agency and to help put it in focus – the Trustsman scheme in which I myself in time made a hard-hitting attempt to get to the top of it. In 1992, after I finished the recruiting ball in the good old intention, which was at the Gardermoen Air Station at the time, I made choices to be the chief authority of the Army in TMO. I lost after a hard fight, where I had no doubt remembered that my main estate was that if one chose me, it would be a great improvement in all the arrangements for trustees, and much better food in the canteens around the country. I didn't win, and I used the rest of the first service to sort paper, archive mail, and do other important tasks for defense. However, I have the experience that it was not so much better before when it comes to the practice of protective measures in Norway. Rather, on the contrary, I believe that it is possible that it was much better in the 1970s, but compared to the early 1990s, significant improvements have actually been made in many important areas when it comes to compulsory protection in Norway. It's my clear impression that a much larger part has a meaningful service directly attached to the tasks that lie in the core tasks of defence. We have been given a session duty for women, which, in my view, is a major and important step forward. There is also a clear improvement in the provision of skills and training in the context of the protection obligation, not least formal training provision in the context of the service. It is also so to a greater and clearer extent now that the defence needs to be governed by the protection obligation. However, there is a very clear need, as the Council of State was also involved, to move on along that track and make improvements. In the short term in particular, I would like to say that there are three important issues: Firstly, the contents of the service and the training offered to our protective crew must be of the highest quality. There's still a good deal to go on, which we're working on from the Government's side to get further improvements in the years to come. Secondly, there is a real need to take a discussion about redress. As I'm going to come in afterwards, it also has something to do with the protection and the way it is practiced today, something quite different than it was a few decades ago. Therefore, the debate on different types of evidence must actually be going on in the years to come. The third is that my clear impression is that, especially when it comes to formal training in the field of competence in connection with the detonation of protective duties, there are still considerable possibilities for doing it better and more systematically. This is true over the next few years, but it is also clear that we are facing a broader debate in the long term. I do not believe that the debate is about whether we should have a duty of protection or not – I am strongly attached to the duty of protection – but about what kind of duty of protection we should have and how we should practice it. During the cold war, more than two thirds of the male population in Norway ignited the duty of protection. One might say that it was relatively common, most men had been through the duty of protection. In comparison, I would like to note that in Finland, as far as I know, there were more than 90 pst. of all men, so there was a significant difference. Today, there are completely different numbers we are talking about. It's no longer that having been through the first-time service means that one does what the great majority of its generation does. This opens up various debates. That applies to the debate on a gender-neutral protection obligation. The protection obligations will be further changed in that direction, but the debate will of course come in the years that are coming to an even greater extent. So that's how we're going to select the guardian, and the selection system -- not least the system of further recruitment to other defence tasks will be a continuous debate in the years to come. I also believe that the debate will broaden the perspective on what the duty of protection is. In its program, for example, it says: that we would like to address the question of civil peace forces, whether they can be an addition to the military protection obligation. Germany has a similar state-aided arrangement alongside the ordinary military protection obligation. To sum up, the protection obligation is very important, we need to continue working with state-of-the-art measures, redress and competence. There will be major debates on the subject in the future as well.
ParlaMint-NO_2010-04-30.ana.ud1090e491	The centre party is concerned that Norway should have a defence based on a duty of protection and that the duty of protection should form the basis for further service in the Defence. This is a very important element in creating a mutual understanding between the Defence and the people, and it remains to maintain the will to defend and defend the people. That is why I am very pleased that today we have the opportunity to discuss how we should be involved and strengthen the duty of protection. The general duty of protection is to ensure that we get well-motivated and capable soldiers. In order to ensure the protection of the legitimacy of the people, it is also important for those responsible to feel that first-time service is a meaningful service. An important measure to be taken in place is the mandatory session of women. This will help the defence to reflect society more closely. And the fact that more women look at Defense as a possible workplace in the future will help to raise the quality of Defence and increase the interest and commitment of those under protection. The government has said that they want to work to increase the number of women in defence, but have not yet applied for general protection for women. Personally, I think this is something that will come to pass. Gender-neutral protection obligations will be a very important element in strengthening the legitimacy of the duty of protection in the people. The implementation of a two-part session will also contribute to improving the information and predictability of those subject to protection, which in turn could counteract the non-response. Other important instruments may be the ability to make study credits during the course of service. A job has also been done in this respect, which will provide the guardians with an even better offer, and which will allow even more people to gain additional skills after the first job has ended. The discussion about the desire for better financial arrangements has been going on for a long time. Quality-enhancing has been a priority in recent years, and the implementation of the long-term programme also leads to the prioritisation of the funds. But in the future, it is important that the financial arrangements are also raised when discussing what is needed to strengthen the protection obligation. The use of guardians for postal sorting and other administrative tasks will quickly compromise the motivation. Therefore, it is also important that these tasks are primarily done by others. In order for us to have a duty of protection that is still strong in the people in the future, it is important that we have a high-quality first-time service, that the underprivileged perceive the service as valuable and socially beneficial, and that it provides them with something that they would not otherwise have had.
