ParlaMint-NO_2010-05-06.ana.ud710e48	The representative of Mr Harald T. Nesvik will present a proposal for a representative.
ParlaMint-NO_2010-05-06.ana.ud710e181	I would like to thank the Minister of Foreign Affairs for a statement that addresses the current challenges we are facing, in particular with regard to the Treaty of Lisbon. This statement also confirms that our extensive participation in EU cooperation is expanded with unreserved strength. We have announced our wish to participate in another five agencies, including: EU Agency for Regulatory Authorities on the energy side. We are going to participate in the European Year of Social Cohesion and Combating Poverty, and the key message of Norwegian refugee and migration policy in a European perspective provides for an even stronger link to EU policies in this area. It shows how important it is for us to participate in cooperation with our neighbouring countries on common challenges. I would like to focus on three issues in this article, first of all what challenges the Treaty of Lisbon presents for our EEA relationship. The main challenge, as pointed out by the Minister for Foreign Affairs, will be that it will be more demanding to see what is inside and what is outside the scope of the EEA Agreement and the Schengen Agreement when the EU develops new policies and legislation. There are three challenges for us. One concerns the agreement between the Commission and the EFTA countries on what is within our agreements, the other on how far our rights of participation in decision-making extend, as defined in the EEA Agreement and the Schengen Agreement, when the border crossing becomes more unclear. But there's a third dimension in this, which there's little attention around. There must also be agreement between the three EFTA countries on what is inside and what is outside these two comprehensive agreements. As the border rise becomes more unclear, there may also be greater disagreement between the three of us on the EFTA side. It is far from certain that Norway, Iceland and Liechtenstein will have a similar interest in drawing the same boundaries. One such example is the food law package, which we have wanted to implement in the EEA Agreement, but where Iceland has had a different view. As a result, the implementation of this common legislation covering the whole food chain, from the placing on the market and control of primary production, to the placing on the market and the consumer, has been delayed by several years. Another example is the Services Directive, which is only now implemented in the EEA Agreement after Iceland has dealt with the matter in Everything just before Easter. With the demanding issues Iceland now has on its political table, Icesave, the membership negotiations and the settlement after the collapse of the bank, we can risk more such delays. We are not worthy of being hung behind in the update of the legislation of the internal market. Until then, this market is too important for tens of thousands of Norwegian jobs. The Lisbon Treaty also poses a challenge by increasing the power of the European Parliament. I believe that here in Stortinget we must take a considerable responsibility to strengthen contact with the European Parliament. The decision that one of the employees of the international department here in the Grand Duchy should have their place of work in Brussels is very important in this way. In recent months, there has been growing contact between committees in the European Parliament and the European Parliament and between the party groups. I think everyone who has participated in this work has seen how important it has been to have good helpers, both at home and in Brussels, who have helped with contacts and implementation. The Commission has now presented its work programme for 2010, as also referred to by the representative Ine Marie Eriksen Soreide. So the representative, Eriksen Søreide, wanted the government's play so that the Storting could take hold of this. However, the GSCs have been given the opportunity to take the initiative themselves and address issues related to the EEA. When you look at the flow of private suggestions presented from this pulpit at the beginning of every meeting, there is no lack of initiative to address matters on your own. I also believe that the Committees should make use of the possibility in this area. I am particularly surprised that the Right should sit still and wait for a replay from the Government – those who, before this big period, have announced that they would raise the EU case. We've seen a little bit of that. But here, right here, they have an opportunity, and because I understand, they have gone through the Commission's proposal for a work programme. Then I think you should use that opportunity. It is a long and interesting discussion – when the Government will come to the Storting, when the Government is prepared to make its recommendations. But the big committees and party groups in Stortinget have thus had an opportunity to address matters, regardless of when the government had to find it right to come to Stortinget with its assessments – which I think is important that we do. I believe that all the committees in the European Parliament should now go through this work programme and flash things out that they think are important, and address them when they are presented by the Commission, so that we can participate in the debate at the same time as our colleagues in the European Parliament and in the parliaments of the Member States. Perhaps the best way to take care of Norwegian interests towards the European Parliament will be against our sister parties there – at least for those of us who have them. At the same time, we should be aware that this also means that the political battle in this Chamber is being carried over to the European Parliament in cases where there is no broad consensus on what is Norwegian interest, but where the political divisions we know from Norwegian policy will also apply at European level. In addition, we need to exploit the opportunities offered by Nordic cooperation, through the EU strategy addressed by the Nordic Council last autumn, to exert influence on important issues. In its presentation, the Minister for Foreign Affairs addressed the new growth and employment strategy, Europe 2020, to which the EU Summit has joined. Norway has recorded, both at the Prime Minister and the Minister of Industry. Europe 2020 will affect us in several ways, both through the development of new legislation and through our participation in the various EU programmes. The Minister for Foreign Affairs did not say that directly in his statement, but I assume that Norway agrees to participate fully in this work. Although Norway has come much better through the financial crisis than its neighbouring countries — so far — we share the long-term challenges: an ageing population, with associated cost pressures on elderly care and health care, a declining workforce and growing competition from China, India, Brazil and other countries that are in the midst of a raging economic development. The aim of Europe 2020 is to combat unemployment by providing a basis for sustainable economic growth. It is a goal that is entirely in line with a value basis shared by the Government. Therefore, we should participate wholeheartedly in this – not just send some kind of input and hope for the best. The EEA and Schengen agreements are our most comprehensive and important international agreements. The EEA Agreement allows us to participate in the internal market under the same conditions as EU countries. This is absolutely essential for the Norwegian export industry. The Schengen Agreement makes us part of a common European area of security and legal certainty. The third thing I want to touch on is the second important European cooperation we are involved in – the EFTA cooperation. Without EFTA, we would not be able to negotiate the EEA Agreement when the EU decided to develop the internal market. It was the EFTA membership that created economic integration in the Nordic region, which we did not have power on our own. Therefore, EFTA has been important for Norway. The EFTA was created as a reflection of EU cooperation and has changed over the years as a reflection of developments in the EU, as regards both the Member States and the content of cooperation. Today there are only four member countries left. However, EFTA remains important, because EFTA is our tool to give Norwegian business better access to important markets outside Europe – to now through 20 free trade agreements. Monday this week filled the EFTA cooperation 50 years. While tens of thousands filled the streets of Berlin and all the 27 Heads of Government attended when the EU celebrated its 50th anniversary three years ago, the marking in Geneva was of a more modest kind, with a lunch reception and a dinner in the evening for 45 guests. The governments of all four countries limit their representation to official level. From the parliamentary committee, three of us were at the reception and one at dinner. It was a really nice family company, but it was retrospective. This is now beyond the parliamentary responsibility of the Minister for Foreign Affairs. I mention it, however, because I believe that EFTA cooperation is still important as a trade policy instrument for us who in this area do not benefit from EU cooperation. Now the 50th year's marking gave birth to one thing, namely a book on EFTA. One of the contributions in this book should call for interest and reflection, namely that of the Swedish State Secretary Jean-Daniel Gerber. He describes the Swedish agreement, which, like the EEA Agreement, means that the laws of the country must be adapted to the EU. The choice is, he says, whether we should maintain our sovereignty by not changing the laws and losing competitiveness, or whether we should lose some sovereignty and maintain our competitiveness. So he says, how much longer is it possible to keep such a complicated relationship with the EU? It is a question that, on the basis of the Treaty of Lisbon, the development of EU cooperation may make more urgent, including for us.
ParlaMint-NO_2010-05-06.ana.ud710e232	It's being opened for line change.
ParlaMint-NO_2010-05-06.ana.ud710e235	The approach of the three government parties to the EU and the EEA is different, and that is the way the world is. Nevertheless, active European policies are agreed. However, it is a small obligatory heading and umbrella, and we know that the activities of the Councils in relation to Europe, in relation to invitations to participate in the EU context, are very different. Is the representative satisfied with the overall work of the Government to promote an active European policy?
ParlaMint-NO_2010-05-06.ana.ud710e242	I think it would be an advantage if you found an opportunity to attend the meetings you're invited to and given the opportunity to do, because it's part of maintaining a network. I do not know the reason why you have failed to do so to the extent that it would have been desirable. Whether you are satisfied or not should be measured by the result. It is, after all, very rare for us to experience that the EU is adopting directives, laws and rules that are contrary to Norwegian interests. This suggests that the impact work, through different channels, has succeeded in caring for Norwegian interests. We have recently had a blatant case, and that was the sales case. But it then came from the sideline of Parliament and was not through the usual decision-making process. So we're cutting off our possibilities for the influence line that we have.
ParlaMint-NO_2010-05-06.ana.ud710e251	The representative Svein Roald Hansen rarely allows an opportunity to ironize over EFTA and the EEA. I understand that this time he has been in the wrong company. What is, however, the problem of the representative, Hansen, is that the vast majority of the Norwegian people want our current form of association, and say no to the form of association for which the representative, Hansen and his party, are fighting. In the government defended by the representative Hansen, SV. One of the strongest entries on the newscasts on TV yesterday was when the representative who is SV's parliamentary leader looked into the screen on Carl I. Hagen's way and appealed to the Right Party to join in and stop the Data Storage Directive. Since the representative Hansen is not going to get the reply from SV here in the Chamber, I will address the same appeal to the representative Hansen and ask about the criticism that the Data Storage Directive has been subject to, has made some impression on the Workers' Party.
ParlaMint-NO_2010-05-06.ana.ud710e260	Let me first say that if the representative Højbrätten understood what I said about EFTA, as ironization, I am amazed. On the contrary, I stressed the importance of EFTA for Norway, because it takes care of our trade policy interests outside Europe. What I might have ironized about was that the marking of the 50th anniversary of such an important organisation for Norway in my view was a bit modest. Maybe you should take advantage of it a little bit better. As far as the Data Storage Directive is concerned, there is a very important debate, and the Government takes seriously the objections, or issues, to privacy raised. But it is also an important discussion from other points of view, namely how to combat crime. What's a shame is that we didn't have the opportunity to participate in that debate while discussing it in Europe. Then we also had a greater chance of moving some of these markers in the right direction.
ParlaMint-NO_2010-05-06.ana.ud710e267	The representative Hansen and I agree on a great deal about the EU. We are both in favour of Norwegian membership and believe that we should become a member as soon as possible – I think we can agree on that. So the representative, Hansen Right, criticized that we haven't raised any more issues into the Storting and into the Committees. It's a criticism we might be going to take on, and at least take advantage of that opportunity much better in the future. That doesn't mean that the government doesn't have much to answer for, but that means that the Storting can also participate more actively. Nevertheless, I would like to ask the representative Hansen if he can explain what matters the Labour Party has brought into the committees.
ParlaMint-NO_2010-05-06.ana.ud710e274	I think we all have to admit that we could have been more active in using the opportunity that the legislation has now given us to raise issues in the committee. In fact, however, we have been quite active on the consumer directive, both against our own party group and with the committee in the European Parliament. We have also been active in relation to the fisheries policy in the EU through the EFTA Parliamentary Committee. So I'm looking at the beginning of an activity that should accelerate up. Here it is a responsibility for the party groups, but also a responsibility for the committees and for the EFTA Parliamentary Committee, which we both sit on. Also here's a lot to do for many.
ParlaMint-NO_2010-05-06.ana.ud710e279	The cord shift is over.
ParlaMint-NO_2010-05-06.ana.ud710e282	The constant challenge for Norway is our relationship with the EU, a relationship based on a national compromise, the EEA. This is at the heart of the problem — not the EEA Agreement, but for almost everyone it is only a compromise. For most, it was never and will never be the goal of the relationship with the EU. The EEA is the second best. And it's hard to fight for the second best. The grass often appears greener on the other side. But a real political assessment of the political landscape both in Norway and in Europe suggests that there are many clouds covering the sun and that what appears to be the second best can actually prove to be the best achievable. The national compromise also takes place in today’s government, which is responsible for managing the EEA Agreement. All parties in the government prefer to get rid of the agreement – with slightly different reasons. Then it is legitimate to ask: who cares for the EEA with the zeal and enthusiasm that is required? And when I ask questions about fulfilling the EEA Agreement, it is not about political or administrative professionalism. The job is done, but there are limits to how far a government and a government can go, when walking beyond narrow borders can lead to a government collapse. The inadequacy of the EEA Agreement has been highlighted by several. We need to update or upgrade the agreement, but we cannot establish a common strategy to do this. Now a job has been started to look at experiences with the EEA. That's good. Here, however, no-side has been clear that they wanted the evaluation to be more about alternatives to the agreement than improvements to it. That debate will be re-examined when the report is presented. We, who have tried to call for a pre-conquered EEA strategy for several years, have often heard that it is stupid for Norway to put this on the case map, we can risk getting an agreement that is worse. This is a strategy that can be sustainable for a certain period, but at some point it expires. And now that the Treaty of Lisbon has been adopted, my claim is that it has expired. Norway needs a modernised EEA agreement, and this work should be a priority. It is announced that there will be a big message about the theme in a few years. It's with respect to report at the top late. But for a divided government and a divided opposition, it is probably a compromise that is political enough. But that shouldn't be right enough. We should arrest, for example. the possibility that the European Parliament's Committee on the Internal Market has given us when they themselves talk about the need for an upgrade to the EEA Agreement. In Norway, we are good at analysing the consequences and reading changes in the EU and in Europe, but we are less good at transforming our analyses into national strategies for safeguarding national interests. When we agree on national strategies, such as: in negotiations on a frontier line in the Barents Sea, important progress is being made on behalf of Norway. However, when we are fundamentally fragmented, as in the approach to the EU, then policy becomes too. The call for us all must not be to destroy primary positions on the EU and the EEA for an opportunity to have a national agenda in meeting with the EU on an EEA Agreement adapted to the Lisbon Treaty and the EU cooperation we see today, which is something different from the one with which we originally entered into an agreement. Norway is a relevant EU partner in important areas. We should not underestimate the European interest in us. However, a Norway that is at best unclear, at worst deeply fragmented in meeting with the EU, cannot expect to receive the attention or agreements that we need.
ParlaMint-NO_2010-05-06.ana.ud710e299	It's being opened for line change.
ParlaMint-NO_2010-05-06.ana.ud710e303	The representative Morten Höglund began by saying that the EEA Agreement is a constant challenge because it is a compromise. It's considered by almost everyone, I think we have to say, in this hall as the next best. And he thought the inadequacy was well-lit. Then is my first question: what does the representative, Höglund, think is the best relationship we could have with the EU? Is there no EEA Agreement, or is it membership? The second question relates to the search for a more overarching EEA strategy and expressed the need to modernise the EEA Agreement. What is the content of the concept of modernisation for the representative? What parts of the EEA Agreement are they going to modify?
ParlaMint-NO_2010-05-06.ana.ud710e312	My best option is an upgraded EEA agreement. My personal alternative is not EU membership, and it is not back to any kind of free trade agreement. I believe in broad cooperation with the EU, but I am not a member of membership. That's my personal attitude. With regard to modernisation, there is a legal and technical process that needs to be done to update the Treaty basis that the EU is now operating on. It will give us a legal balance in meeting with the EU. But it is also a political challenge given that we now have the Treaty of Lisbon, with an increasingly important European Parliament – we know that institutional cooperation between the EEA/EFTA countries and the EU is not consistent. There is a need for a thorough review here. I also think there is a need to look at the areas that are excluded from the EEA Agreement today, to see if it can be possible to obtain a broader cooperation here than we have today.
ParlaMint-NO_2010-05-06.ana.ud710e319	The representative, Høglund, was exemplary in what was the second best. He was also quite clear on what was the best alternative for the representative Højlund. But the representative, Mr Höglund, speaks on behalf of a party and is the main figure for a party in this Chamber in foreign affairs. So my question is, What is the best option for the Progress Party in relation to the EU?
ParlaMint-NO_2010-05-06.ana.ud710e324	As the representative very well knows, we have full freedom in the Progress Party to mean what we want on this issue, and so do we. We have different positions on the issue, and we want respect for the referendum that might come to settle such a question. So for me to talk on behalf of the whole party or all of its members about what is our common point of view here, would be going far beyond our party program on these issues. I have explained my personal position, which is a variant, preferably an improved version, of today's EEA Agreement.
ParlaMint-NO_2010-05-06.ana.ud710e329	I would like to begin by welcoming the representative Höglund to the club of us who have the EEA Agreement, preferably upgraded, as the best option. That club is not as small as the representative of Høglund wants it to. And that's the good reason for that. Two successive governments have now established that the EEA Agreement has served Norway well. There is a reason why Norwegian business is well satisfied with the overall functioning of this agreement. I think we who represent the people here in the hall, should be careful to talk down such an important agreement for Norway. My question to the representative, Mr Höglund, is whether at least we, as friends of the EEA Agreement, should agree that we should safeguard its status, strengthen it and strengthen its authority.
ParlaMint-NO_2010-05-06.ana.ud710e336	The meaning of my post was to focus on the EEA Agreement, have a government that realizes that it is the agreement that is our anchored to the EU, and probably will be it for many years to come, and make the best of it. But many years have passed since the agreement was signed. A lot has happened in the EU. In order to safeguard Norway’s interests in an even better way, we need to adapt the legislation to the changes that have occurred. It is precisely on the basis of the recognition that it is the EEA that is likely to be and will be our main basis for cooperation with the EU.
ParlaMint-NO_2010-05-06.ana.ud710e341	The cord shift is over.
ParlaMint-NO_2010-05-06.ana.ud710e344	I would like to thank the Minister of Foreign Affairs for a good deal. He was in both the economic situation and the Lisbon strategy and had a wide range of issues in the loop, and how to work with Norwegian influence in the EU. Perhaps the attendance in different parts of this room can be a good illustration of how the Norwegian European debate stands today. There are no journalists – excuse me, a journalist, some politicians and a very numerous audience from all around the world. It is a challenge to raise the Norwegian debate on European policy and influence to a greater extent in public space and in the political environment. But I'm going to use the rest of my posts for what's going on in Europe. The causes of the job and debt crisis under seal are many. They have a background in the financial crisis, the economic decline and different conditions in some countries. But when it comes to the handling and the possibility of doing so, it is directly linked to the economic and monetary union and the euro. For the Greek tragedy that happens these days, unfortunately, there is a warning example of what is the problem of the euro and monetary union. A country that needs an economic policy other than the rest of the members of the Union has denied the possibility of taking advantage of monetary policy to get out of the crisis, and is instead forced to sort everything out through fiscal policy. Had Greece still had dragons, the price of dragons would fall and debt would be easier to bear for the country – like Icelandic crowns, UK pounds and US dollars, to identify other countries with significant debt problems. Instead, Greece is left with a narrow-down package that has hardly been seen by any country. It is not surprising that it creates strong reactions and a difficult situation for the Greeks most, which, because of it, may be the result of a financial crisis more severe than the inhabitants of any other country. Let me clarify: the problem had not been gone for that reason, but the handling had been easier. Other problems had also been there, such as inflation, but fiscal policy had not taken the noise entirely alone. This is also a lesson that, in my view, should pour cold water over the years on some of the strongest euro followers in Norway. Norway is also a country in need of an economic policy different from the rest of Europe. While the euro area now has a unemployment rate of around 10 pst, Norway has a unemployment rate of 3.5 pst. - Unbelievably good. It also creates a need for a different stimulus in economic policy. Today, we are dealing with it in a combination of monetary and financial policies, where monetary policy takes a great deal of responsibility for the short-term stabilisation of the Norwegian economy. If we were a member of monetary union, we could not have had an interest rate that is roughly a percentage point above the euro area. Then we had to tighten significantly more on the use of money in the state budget, which had led to a strong tightening for the household. It is very likely that this would lead to more unemployment than today. Then I asked the representative Eriksen Soreide a question instead that I did not get an answer to. I'm taking it up again now, because I have more speaking time left. I do, too, because I have been involved in some EU debates over the last few years with Right-wing people. The continuous tone has been quite strongly criticised by the Government, especially the Workers' Party, for being passive, locked and bound, and if a escape to the Right, there shall be other balls. So I would like confirmation: does Right want EU membership and soon membership of economic and monetary union? How does the Right – if they think it will mean an enhancement of our ability to keep unemployment down and pursue a good policy in Norway – mean that Norwegian membership of EMU and being part of the euro will increase our ability to do so? I have now systematically gone through what I think is the arguments against it – that it would make it harder to deal with the situation. I'd like to right how Right thinks it could improve our economic situation, if they think it would be an advantage that we were an EMU member.
ParlaMint-NO_2010-05-06.ana.ud710e359	It's being opened for line change.
ParlaMint-NO_2010-05-06.ana.ud710e362	I have read the SV's work programme for 2009–2013 and attached myself to Chapter 11.9, where SV goes in to cancel the EEA Agreement. Now most of Norwegian exports go to the EU. How much loss of income will it have for Norway as a nation and for the state if you cancel the EEA Agreement, I don't know, but maybe the Socialist Left Party itself has calculated a little: how many hundreds of thousands are going to lose the job if SV gets what they want, and you cancel the EEA Agreement?
