ParlaMint-NO_2010-01-13.ana.ud1798e26	The called alternate of the Rogaland County, Arne Bergsvåg, has taken the seat.
ParlaMint-NO_2010-01-13.ana.ud1798e153	The research that has now been presented is not politically censored, but it shows that there are good and bad lessons, that there are good and bad ways of working with homework, and that homework such as these is not among the things that have the greatest effect. It's the teacher and the quality of the teacher that has the greatest effect in school, no matter how we turn it around. A good teacher gives lessons that are the repetition of drugs that you've been through, and that the students are explained, you don't introduce new knowledge through the homework. A good lesson is also a lesson you get feedback on. What happens often in this field, I've noticed, it's going to be a discussion: what works, what doesn't work, and how do you do it? I am absolutely sure that a lot of kids now hold up the research in front of the teacher and say: It says here – lessons don’t work, so we have to let that go! What I'm considering is holding a consensus conference and having the lesson issue as a pilot project to bring together professionals – practitioners and researchers – discuss how we use homework best, and agree on some sort of minimum as to what kind of place lessons should have in Norwegian school.
ParlaMint-NO_2010-01-13.ana.ud1798e162	The next follow-up question is from Dagrun Eriksen.
ParlaMint-NO_2010-01-13.ana.ud1798e165	I think the debate on homework is important. What may surprise me a little bit is that every time the parental perspective is highlighted in the lecture debate, it's in the context of the parents who can't follow up. Because there are some challenges to the system that it is now being put up to by the Government. As a parent said to me, what should I do when I want to use SFO – good offer – but will do the homework with my child? When the homework is going to be on the SFO, how are we gonna do it? When the Council of State here mentioned this consensus conference, she also forgot the important group of parents and parents. That's how homework is actually one of the few ties parents have with the school today. Some schools offer training for parents to secure them in the role of teaching assistants and co-workers in connection with it. My simple question to the Council of State is: Will the Council of State also bring parents forward as a resource in the discussion we now have about homework, and not just focus on the parents who are unable to help the students?
ParlaMint-NO_2010-01-13.ana.ud1798e174	In any case, it is in all areas of school that parents are a resource that is incredibly important to involve, including in the field of homework. But what's the big challenge with regard to the research we have on homework is that lessons given in a crazy way can increase the differences, among other things. because those students who have not had lessons at school depend on their parents perhaps explaining rather than being part of the rehearsing or rehearsing of things they have gone through. So the big concern about homework is that they have to be given in such a way that it doesn't increase the social differences in school. And of course, it's very important that parents are aware of how they can support their homework, but it's also a call for parents not to measure the quality and knowledge of school based on the amount of homework the students get, because it gives a completely wrong picture.
ParlaMint-NO_2010-01-13.ana.ud1798e181	Let's go to the next main question.
ParlaMint-NO_2010-01-13.ana.ud1798e184	My question goes to the Minister of Knowledge. Reading research centres in Stavanger have estimated that 330,000 adults have very poor reading and writing skills, but that as many as 950,000 read less than they should. At the same time, we know that reading requirements have been expanded and strengthened in most professions, and the amount of information that needs to be processed in people's everyday lives is constantly increasing. The risk of exclusion from work is obvious, but in addition, adult literacy skills are important from an inclusive perspective. The Bondevik II government introduced a right to primary education for adults and launched the ‘New Chance’ programme for workers with weak basic skills to receive training at the workplace. The right has promoted a number of proposals for increased investment in this field, and a total increase has asked the Government to follow up – without having seen the results of it so far. On the contrary, the Ministry of Knowledge has received strong criticism from the National Audit Office for the lack of control and follow-up of the offer to adults with poor basic skills. In concrete terms, the right has proposed the launch of a 10-year national initiative on adults with lack of basic skills, because we believe it is so important in a broad societal perspective. My question to the Council of State will then be: Can she explain what the Government will do to bring the adult's right to training into line with the training offered to this group today and to prevent further exclusion from the labour market as a result of lack of literacy skills?
ParlaMint-NO_2010-01-13.ana.ud1798e197	That's a very important question that's being addressed here. In my opinion, the key is to find the most effective measures we can take to prevent high sick leave and early disability, right here, because we know that many of those who do not have education beyond primary school, or who have little knowledge of reading, are among those who later have problems in their professional life, which can be prevented by good training. We have followed up on the right to training, as the Bondevik government introduced. We have increased the budgets, including: for the current year — to implement what is called the Basic Skills Programme in the workplace, which is literacy training related to enterprises. And here I think some of the country's bravest students go. It is very shameful not to be able to read well when you are an adult, and it is very brave to sign up for a reading course in their workplace. It's very important for me to bring forward all the good examples of adults who will gain greater competence at a later stage. This is largely not about the fact that you can't read the letters or read a text, but about the understanding of the text. I believe that this work is the most important thing we can relate to the discussion on sick leave and disability insurance. The government has increased its efforts over the budgets for this type of training. We have a lot to go on. We also need to make the threshold to sign up for this type of course lower. I think it's a good idea from the Right to focus on this over a longer period — a decade — because it's simply so that very many adults have had too little benefit from the school, and remembers back to their schooling as a long number of years of lack of mastering. It's a lot to pick up on getting in early.
ParlaMint-NO_2010-01-13.ana.ud1798e208	It is good to hear that the Minister of Knowledge agrees that this is a very important area to address — but the more disappointing to note that since 2005, after the Bondevik II government went off, virtually nothing has happened. The criticism of the Riksrevision came in 2008, despite the fact that the Storting had focused heavily on this area and had asked the Government to act. So the government is on its heels. But I now hear a bid for improvement. From the Center for Reading Research, we now also hear about examples from primary school, where the waiting time for dyslexics to get help can come up for as much as three years. When we know how important it is to get that help – and considering what this can lead to later – I want to ask the Council of State what she will do to ensure that dyslexics in primary school, that is, young dyslexics, get the help they need as quickly as possible.
ParlaMint-NO_2010-01-13.ana.ud1798e215	It is to give an absolutely totally wrong picture to say that in recent years it has not been focused on what is involved in increasing the basic competence of adults. These are the main proposals in the Single European Act, which is now being discussed in the United Kingdom, and which concern the education line. We have over time increased the appropriations for this type of training. We're going to have a full focus on this and follow it up very closely. The picture Aspaker paints – paradise conditions before and desert migration now – is completely wrong. This is it strongly focused on. In addition, I would like to say that this year we will have the National Year of Reading, which is a collaboration between the Ministry of Culture and the Ministry of Knowledge, which is aimed at adults – to increase the readership of the population. With regard to the offer to dyslexics, I would like to look into this a little bit more – get me a good overview of where the offer is. A great many of these problems are now known, knowledge that would mean that you can deal with them in early school.
ParlaMint-NO_2010-01-13.ana.ud1798e225	Three follow-up questions are raised – first Olemic Thommessen.
ParlaMint-NO_2010-01-13.ana.ud1798e228	My follow-up question goes to the Minister of Culture. The Minister of Knowledge was in the National Year of Reading. It's a great move. It is the beginning of the national lesion lift, which will last for a few years. The book industry is an exciting industry. There are many exciting actors who have previously also been able to pull important loads in terms of literature interest and – I think – read-only. It is therefore with some wonder that I have noticed that when we are now in the first month of the academic year, it does not seem that neither the publishing house, the bookstore association, the author's association, nor any of the players in the bookstore with whom I have regularly contacted have heard something specific about the academic year – and much less have been involved in some work on what to do. My question to the Minister of Culture is: Wouldn't it have been a good idea to engage in the book industry, engage those who are knowingly working with books and reading in this country, and involve them in this work? How is this going to work?
ParlaMint-NO_2010-01-13.ana.ud1798e239	The President must be allowed to point out that there might be a somewhat sought-after connection between the main question and the follow-up question that was now asked. Given that we are in a new year and are going to be a little liberal, it is nevertheless up to the Minister of Culture if she wants to answer the question as a follow-up question to the main question.
ParlaMint-NO_2010-01-13.ana.ud1798e242	It's true, as the minister of knowledge says, that the theme for the academic year is adults who don't read that much, or adults who have weak reading skills. This means that we have started cooperation with the social partners in order to support some of the projects they have undertaken and will set in motion in the coming year, in order to ensure that we get more reading among adults. But it is also important, as the representative says, to cooperate with the Association of Authors, with the Center of Authors, with the Library Association and with all actors who are willing and interested in doing a job. We have started such a work, and in a very short time we are going to present the plans we have for the academic year.
ParlaMint-NO_2010-01-13.ana.ud1798e247	Bente Thorsen – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e250	My question goes to the Minister of Knowledge. Being able to master Norwegian in writing and orally is very important, and it also shows that early work in primary school is important and necessary. We are also responsible for another group: in Norway, we have accepted many more asylum seekers than we have managed to integrate into society. Many have been here for many years without being able to speak Norwegian, either in writing or orally. I hope for an answer to the question, and not a counter-attack. What concrete measures and instruments will the Minister take to ensure that residents with foreign origin also learn Norwegian, which gives them more opportunity to participate in the labour market, as well as to reduce the obstacles to non-Norwegian knowledge — the fact that they do not master the language used in the country in which they live — provide? It's very important, because it's not easy to live and live in a society. We don't know if it's voluntary or involuntary because they don't know how to speak. I hope the question came out clearly.
ParlaMint-NO_2010-01-13.ana.ud1798e257	We have put down a separate sample, for example. address these issues, which concern minority languages and how they develop languages. Someone they've focused on is what we call late arrivals, that is, youth coming to Norway when they're quite big or adults. I spoke to them yesterday, and they put forward a partial position to invite them to a debate on the conclusions to be reached. I really recommend it to those who are concerned about these questions in general, there are many important discussions. Which is very important to be aware of, is that it takes a very long time to learn a language well. We've now increased the number of hours for the introduction program. You have to assume that it may take between four and six years to learn a language so well that you're fully operational in many contexts, and that's why this is incredibly important. I also think it is important to link Norwegian training to work training, and I do not think that you should first learn Norwegian and then you should get to work. Here it's very much to pick up a collaboration.
ParlaMint-NO_2010-01-13.ana.ud1798e264	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e267	In these themes are the disappointments and failures of many beautiful people, people who have often been met with a lot of ignorance about not being able to read and write. Some simple grips can be done, and some dumps in the way would have been easy to remove, so that you might get a little further off the farm. For example, the Education Directorate now has a performance requirement for the Huseby Competence Centre, which produces audiobooks that can be a great help in the school, especially for those with dyslexia. The performance requirement means that schools now have to pay a fee of NOK 160 per year. The audiobook, which makes it possible in a stressed school situation to choose not to use audiobooks, but rather to try other ways of doing this. There are many who have been upset about, and my simple question to the Council of State is, Will she remove that dump in the way of those who have dyslexia?
ParlaMint-NO_2010-01-13.ana.ud1798e272	I think I have to be allowed to get into these 160 kroner completely concretely, before I give an answer to that. But I will take it with me, and then the representative Dagrun Eriksen will get an answer at a later stage.
ParlaMint-NO_2010-01-13.ana.ud1798e277	Let's move on to the next main question.
ParlaMint-NO_2010-01-13.ana.ud1798e281	I have a question for the knowledge minister, so she can just stay standing. We are currently seeing joyous new rates of school policy from the new Minister of Knowledge. In meeting with Skole-Norway, the message is now much more in line with the course that the Christian People's Party took during the last big period, but which was perhaps then met with a little more deaf ears, namely the fight against apostasy through more practical school bets and a good professional education, a force in the fight against bullying – and that you should have more teachers. I hope that soon she might also talk about getting other professional groups into school. That being said, of course, it's going to be a but. Why all day long does this government spend the money on wrong measures in relation to the challenges that the Minister of Knowledge has now addressed? What we've seen from this government hasn't been that you've been betting on the fight against apostasy and spent the big money on it. It has not been the intention of having a good professional education for the students who want it. We haven't seen a power cap in the fight against bullying. What we've seen is the dream of the whole day school, that we're going to get more hours into school, more theories for the very least, and until now – I've asked a lot of times – you haven't been able to show research that it gives us more learning, maybe rather the opposite. It doesn't like party speeches to address the challenges that the school is facing. It's not just about knowing the real issues, it doesn't help students master, but it's about being able to spend the big money in other areas than just creating more hours. So my challenge to the Council of State is: In the name of the postwar clock, and with the new experience that this government now has, do you see that you have spent money and prioritised mistakes in school policy?
ParlaMint-NO_2010-01-13.ana.ud1798e290	It's always a good sign when the opposition comes and says that finally the Council of State says what we've meant for a long time, because that means that many want to take credit for having put a political course that many see as reasonable. I'm extremely concerned about the school's ability to combat differences, the incredible opportunity we have to get more people to complete their higher education, and the incredible opportunity we as a society have for individuals and individuals to succeed better, get more control of their lives, also financially. We got a report at the Rome Christmas that shows that if we get the drop from high school down from 30 pst. For 20 p.m., we can do it per cent. Coal saving between 5 and 9 billion kroner. The solution for sick leave and early disability is clear. Because we know that those who have not completed high school are very strongly overrepresented among social assistance clients, young people who are disabled and sick, this is the solution to include people in society, to get young people to implement, but also to give access to adults who have received poor education. So I have full pressure on this. Now it's like the Norwegian school has fewer hours on average than the OECD average. We're about. nine hours below primary school. We've increased the number of hours, but we didn't increase as much as we really had ambitions about in Soria Moria I. That's because we've weighted a little bit differently, among other things. relative to teacher's density, and e.g. ensuring that early efforts were followed up, because we wanted to use more teaching resources in the first to fourth phase. class, so that we could quickly address the challenges. But going as far as the Christian People's Party suggests in its budgets, spending hours, is a billion-dollar savings in school that is not a good investment. Focusing on practical training and on the professions, especially in high school, I think is very important. [[The President clubs.]]
ParlaMint-NO_2010-01-13.ana.ud1798e299	Now are the hours we've been through, just those that the government has had in its school effort, so we haven't taken away hours that have been there. We think it's a completely wrong priority this government has done. Especially in relation to the challenges that the Council of State addresses, and which she begins with in the answer I forgot to thank for – as I do now – she forgets a little that an actually then has to intervene to meet this. I was in high school in Kristiansand. There the principal says to me that today it is such that practical strong students have often not received mastery from home, because it is no longer such that we can tick the cars, or that the houses are built so that you can try the hammer. In the budget debate we had a big discussion about it for professional students was important to know Ibsen. I think we can quite agree that it may be important that you have basic competence about it. But even more concerned, Councillor, I am that not the discussion then goes on: isn't it as important to be able to use a hammer as to know Ibsen? That discussion is completely missing. Do you now want to spend the big money just to get into a practical challenge in school that gives mastery to all students, including those who are practically strong?
ParlaMint-NO_2010-01-13.ana.ud1798e308	It's well to draw Ibsen something far to say that Nora would have let go if there was more practical knowledge in the home there. But just to underline: it's a very unisoned desire from professionals, from professionals, from professionals, from professionals, and from all professionals, to get a more practical theory education. What we also know is that if we force young people to choose their life course at a very early age, and that they, for example. choose from the possibility of study competence, it locks young people in some educational pathways that are also unlucky. So I think the main challenge lies in how we're going to be able to get the theoretical knowledge instruction in the professional subjects relevant, professionally. A lot of the states, like Oslo, who has succeeded in her drop-off projects, has just done it, so I have a full focus on it. [[The President clubs.]] I want to work with Dagrun Eriksen and everyone else about this. I also think high school deserves a little more attention from us. [[The President clubs again.]]
ParlaMint-NO_2010-01-13.ana.ud1798e315	The President must be allowed to remind – not least the Council of State – that the clock at the front of the pulpit is counting down, and when it comes to zero, the speaking time is out. Then you're supposed to land, and not take off.
ParlaMint-NO_2010-01-13.ana.ud1798e318	The President will excuse me for my commitment.
ParlaMint-NO_2010-01-13.ana.ud1798e323	There will be four follow-up questions – first Geir Jørgen Bekkevold.
ParlaMint-NO_2010-01-13.ana.ud1798e326	In the government's priority in school policy, it's probably the high school that may have come most in the shade. Despite strong warnings, such as: So from the Christian People's Party, the government chooses to let the high school sail a little like its own sea. But it is in high school that we find the main challenges, including: in the case of fighting and unrest and theoretical students. There's reason to believe that this continues to propagate and leads to us having the dramatic high rate of non-response in higher education. It does not help with early efforts and that ‘all are going’ in the early years when the measures are completed and the students are forgotten as soon as they come to high school. So we also have to make high school a master's arena. When pupils are short in theory, they must also be able to be offered a more practical school day. My simple question is, what is the reason why the Government believes youth is less important than the other steps?
ParlaMint-NO_2010-01-13.ana.ud1798e333	Fortunately, we don't. The representative of Becquerad's right is, of course, that high school is a demanding part of school time, because it happens a lot to those who go to high school, and fourteen is a very special people that everyone should love, but that's a bit demanding. It flies hormones, and a poor teacher has to stand there and sort it out. We see a lot that not necessarily the physical breakdown, although it's also a problem in high school, but the mental -- that you don't follow, that you tell yourself that you don't have ambitions, that you don't understand the meaning of it, or you think you're just sitting and waiting to grow up and all this -- we can take on in a much more offensive way than we can do now. We know that those who have a lot of non-response are at risk of dropping out later. We are now conducting a survey in high school to capture those who have poor knowledge of Norwegian and math, quickly, so that we can put the effort there. The discussion of theory and practice must go hand in hand, because it is not about either theory or practice, it is about making the theory practical and professional.
ParlaMint-NO_2010-01-13.ana.ud1798e342	Mette Hanekamhaug – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e345	Unlike the Christian People's Party, we in the Progress Party are positive in increasing the number of hours and believe that it is an important priority. But these hours are also going to be filled with something. And research has repeatedly shown that the number of teachers per year. students have little or no effect on the quality of school. Nevertheless, the Government has promised this as one of the most important measures. But according to the journal Education, there is a great deal of disagreement within government parties about how much this teaching density should actually be. SV has previously arranged to quantify this with 15 students per person. teacher. So what we in the Progress Party are asking is simply: what is the government's policy in this area? And have you been able to agree on a specific number in this case?
ParlaMint-NO_2010-01-13.ana.ud1798e351	What the government agrees on is that we need a greater government management of the resources of the school, related to a resource standard or a change in the training law that ensures a certain number of teachers compared to the number of students. We're working on that right now, so I don't have a number to come with right now. Let me nuance this discussion something. It is true that cleaning up with teachers of uneven quality is not the solution for Norwegian school. A teacher of good quality is the most important success factor for Norwegian school. But we also have a good effect of high teacher density, especially in the earliest class stages, and especially for students with a demanding social background. So we have to be able to have two thoughts in our head at the same time in the discussion about what works in school, or many, but at least these two.
ParlaMint-NO_2010-01-13.ana.ud1798e358	Svein Harberg – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e361	I want to follow up on what the Council of State was at the end, that of the many things we can discuss, teachers of high quality are an important factor in school. Then we'll probably be able to discuss the teacher's density. However, several of the measures taken by the Government are measures that require more teachers. It is a strong desire to get more teachers, and it is important to have teachers who have completed a good education. At the same time, we now see that one in five study places are available. We see that there is a great disqualification in this education, and we know that in the years to come, the great coal of the teachers who are in school today, who retire. It worries us. I'm assuming it's a concern to the Council of State. That is why we are excited about what actions the Council of State and the Government have now assessed and will start to ensure recruitment, good teachers and enough teachers in the future.
ParlaMint-NO_2010-01-13.ana.ud1798e368	We have a cooperation that we call GNIST. There is a cooperation between different parties – the Education Association, the KS, the Ministry of Knowledge and many others – that interests us to recruit teachers for the school, and we have been able to recruit very many teachers for study admissions in the autumn. There was a huge increase in the number of applications for teacher training. We have great ambitions, and we are now doing extensive work around where teachers too are engaged in advertising why it is so important to choose teacher training, why teacher training is so meaningful. I'm not so afraid that there's some lack of teacher training, because it's a goal that those who find that they don't fit to teach at school will be quick – not at a later stage of teacher training, or maybe long after they start teaching. That's exactly one of the things that we're focusing on. Then we are doing a significant shift in teacher training — more practice, more professional immersion — which is also part of this.
ParlaMint-NO_2010-01-13.ana.ud1798e375	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2010-01-13.ana.ud1798e378	I'm going to follow up right where the Council of State stopped. It is very good that there will be an increased recruitment, it is good that there are many applicants, but it will take some time before they get out to Norwegian school. And we have a problem today, for 40 pst. by primary school teachers over 50 years of age, and 50 pst. teachers in secondary school are over 50 years of age. We also think that many of them will end before they have to. We see that the government does not want to put any action into action to get them to stand on a little extra. We also see that within some disciplines, as stated in the morning paper on Friday, it is soon empty for real-time teachers in Norway. So there are actually some steps to get the good teachers to stand in a few more years to get access to the good teachers, etc. What will the Council of State do to get it to?
ParlaMint-NO_2010-01-13.ana.ud1798e385	It's a perfectly correct picture the representative gives that there are many good adult teachers in Norwegian school. That's why we're so focused on recruitment. Unfortunately, there are quite a number of teachers, I think, who are now sitting and planning to get rid of the AFP, who could certainly have contributed to Norwegian school in the future. We have changed the pension system so that they are also financially well earned to continue their work. Senior actions related to this group of teachers are incredibly important, as it is the teachers who are the most important asset manager in Norway. We work systematically to enable those who have been in school for a long time to be able to complete their professional training through continuing training. We work systematically to ensure that those who want new challenges, such as: will apply for a post of Vice-Chancellor, will receive training related to it. It's one of the things that teachers themselves say is crucial to seeing the school as a meaningful job even after a long professional life there.
ParlaMint-NO_2010-01-13.ana.ud1798e392	We're going to go to the next main question.
ParlaMint-NO_2010-01-13.ana.ud1798e395	I have a question for the Minister of Volunteers. Celebrations are held about the importance of volunteering — about all those who work there, about all those who contribute, and about all the hundreds of thousands of hours spent volunteering in Norway. Celebrations are also held on the importance of volunteering for Norway and on the overall functioning of Norway. Voluntary activities have a higher value than Norwegian agriculture has in Norway. It's important to bring it with you. But we have an obligation to help the volunteer. We have an obligation to facilitate volunteering. A total exemption from VAT for voluntary activities would therefore have been the right thing to do. That the volunteer – sports team, rescue team – will pay 25 pst. more for a snowmobile than for a high mountain hotel, or for the City Commission, which offers drug users, to pay 25 pst. more for detergents, food and equipment than a street kitchen does is not correct. There are major challenges to volunteering today. Several cultural ministers and the Government have promised a compensation scheme from 1 January this year that they have not been able to deliver. This is frustrating for volunteering. It was also promised that more money would be given through Norwegian Typing, but Norsk Typing does not provide more money for volunteering than they do today. Losses of automatic receipts are also subject to fraud. The reason for the loss of automatic income was that there was some grievance around these revenues. You can see today that what hunted me is probably ugly also in Norwegian Typing. So my questions to the Council of State are: Will the Cancer Association lose on this new VAT compensation scheme? Will the Cancer Society Keep Its Income? And: Is the Minister of Volunteers willing to see if volunteering can take over Norwegian Typing, so we're dropping this gruesome?
ParlaMint-NO_2010-01-13.ana.ud1798e408	The President will draw attention to the fact that 'I am' is not a parliamentary expression.
ParlaMint-NO_2010-01-13.ana.ud1798e411	The representative made a number of claims in his question that do not lead to correctness. One is about a VAT compensation scheme. It's set at 200 million. NOK extra in the State budget for this purpose, so that this scheme now has 396 million. kr. We'll have a code in place in a short time, but we can apply for VAT compensation in retrospect. But the time that this VAT compensation scheme starts to work is 1 January 2010, so we are in no way delayed in this area. Then I would also like to remind you that in recent times we have introduced a grassroots fraction in Norwegian Typing which the Progress Party has voted against. It also contributes to volunteering for sport at local level. In the case of the new VAT compensation scheme, it shall be consulted. Not all non-governmental organisations are involved in Freewill Norway, so we need a broad review of the legislation. As to how the individual organisation comes out, I have registered what the Cancer Association has said. We're going to do this in a relatively short time. But that there's a lot more money in the system now than before, is quite clear, so this is a big boost for volunteering.
ParlaMint-NO_2010-01-13.ana.ud1798e423	I understand that the Council of State thinks it is okay that the sports pay 25 pst. more for a snowmobile. I don't think so. There is no doubt that sending something out to the hearing and getting answers from hearing bodies takes time, so I think this will only be started for the autumn. It's too late. Organisations carry out budgetary work. They do not know how to deal with their work under the new VAT compensation scheme. If the Council of State does not see this, I think it is regrettable. Then I think she should take a phone call to non-governmental organisations and ask what challenges they have today. The answer will be that yes, that is bureaucracy, and we do not know what budgets we are going to add for the year to come – that is, for 2010. A frustration – it must be allowed to say – that I have, and that I want to get an answer to, is that it is not the will to help the state with income; it is the state that should facilitate to help the volunteer with income.
ParlaMint-NO_2010-01-13.ana.ud1798e430	We have a very good dialogue with voluntary organisations in developing a good code of VAT compensation. But it is in the nature of the matter that you apply afterwards for compensation for the expenses. This means that voluntary organisations receive compensation far more than they have previously received. I fundamentally disagree with the VAT system that the Party of Presidents wants. If the representative and the undersigned start a sports team, we can get much cheaper dresses with it than if we go to an ordinary sports store. It will, in my view, undermine the entire VAT system and large parts of private business. We have focused on developing a VAT compensation scheme for non-governmental organisations that allows them to recover part of their VAT expenditure, and I fundamentally disagree with the model that the Progress Party wants.
ParlaMint-NO_2010-01-13.ana.ud1798e437	Three follow-up questions will be raised – first Solveig Horne.
ParlaMint-NO_2010-01-13.ana.ud1798e440	First of all, let me say that the system that the Progress Party wants, with full exemption from VAT, is the one that voluntaryism also wants. Last winter and ours, all the opposition parties here together said that we had to get a real VAT exemption for volunteering. The government promised that they would follow suit. There was a great deal of tension when the budget was presented, but what was presented in the budget was only NOK 1 billion in five years, that is. 200 million. kr in this first year. The Council of State now stands and boasts that this is a great boost to volunteering, but what volunteering needs is quite different from the figures that the Government is operating with. Then the Council of State also says that they can come back later and apply to cover the expenses they have incurred. My question to the Council of State will then be: Does the Council of State believe that it is right that the volunteer should advance for the state?
