ParlaMint-NO_2010-03-22.ana.ud1354e66	The representative of Morten Höglund, who has been licensed, has once again taken his seat.
ParlaMint-NO_2010-03-22.ana.ud1354e216	In VG 10 February 2010, under the title ‘Cynical Output’, the doctor Wasim Zahid, a doctor with Norwegian background – i.e. a Norwegian doctor – and an internal physician at Drammen Hospital, writes the following about the proposals of the Progress Party: ‘How cold can you get to be eager to throw unwanted people out of the country? There is no evidence that the necessary health care can prolong an illegal stay and the proposal completely violates the fundamental principles of the professional secrecy of healthcare professionals.’ On proposal No 2 from the Progress Party he writes: ‘The obligation of professional secrecy is governed by §21 of the Health Care Professional Act and includes both a passive obligation to remain silent and an active obligation to prevent the disclosure of information. Proper handling of patient information is a prerequisite for complying with the obligation of professional secrecy. It is a central element of privacy and its purpose is to ensure human confidence in healthcare so that they do not fail to seek health care for fear of flow of information or, in this case, to indicate to the authorities. Paragraph 23(4) of the Health Personnel Act is a general exception to the obligation of professional secrecy which allows disclosure when ‘heavy private or public interests make it lawful’. In practice, there will be emergency justice considerations such as trying to prevent the abuse of another person, stopping an intoxicated person from driving a car, or informing the police that a person in a mental imbalance is in possession of a weapon. The extension of an illegal stay in Norway does not constitute grounds for lifting the obligation of professional secrecy.’ It is interesting that the Progress Party here gives a legal lesson to a doctor about how the obligation of professional secrecy works already today, and that the Progress Party does not use more resources to see what the law is today, and what problems the proposal they have promoted would create for health professionals. The doctor continues: ‘Exceeded from legal considerations, the total lack of humanity is the most serious. One proclaims an elementary absence of empathy in what one chooses to persecute the weakest group of people in a society, when they are affected by disease. Talk about kicking someone who's lying down." I guess that's not the first time the Progress Party can be accused of kicking those who are down. He continues: ‘However, I can both exacerbate Frp and calm illegal immigrants. I have sworn to an oath that I hold sacred and above other principles. According to my abilities and understanding, I will always do my utmost to provide medical care to sick people, regardless of their status in society, and I will keep their health information secret. I have a higher call and correspond to a higher code than a simple and low law paragraph." Fortunately, the proposals of the Progress Party are not adopted, so one should not call it a low law paragraph. The doctors cannot pursue immigration policy; it still has to be a task for the police. Illegal immigrants cannot become a problem for doctors and not least create a bureaucracy for health services in order to keep them in order, it must be a problem for the police, and a challenge for politicians to solve. The left was already in 2008 of the following opinion: Firstly, the law changes so that paperless immigrants are entitled to the necessary health care even when the condition is not acutely life-threatening. Secondly, voluntary organisations such as the Church's Bymition and the Red Cross must receive grants for the operation of low-threshold health services for vulnerable groups in large cities. Such offers need to be provided with sufficient resources to ensure that health workers who contribute can also be paid for their efforts. Thirdly, anonymous health care must be an opportunity for, among other things, record-keeping systems and social security suspensions are ensured against the transparency of immigration authorities and it must be possible to obtain adequate health care without having a personal identification number. Fourthly, health professionals must be guaranteed the right to provide relevant health care to paperless immigrants without risking any legal aftermath. I would like to inform you that we will support the proposals of the Christian People's Party.
ParlaMint-NO_2010-03-22.ana.ud1354e260	The right to health care for people residing illegally in the country has long been a controversial issue. Today’s legislation is somewhat unclear and thus does not provide the necessary guidelines. This gives little predictability to persons who are residing illegally, and it can lead to discrimination. It is also problematic for health professionals, who do not know what treatment they are obliged to provide to this group. On this basis, the Government has decided to initiate work to clarify the legislation. The Ministry will draw up a consultation note detailing proposals for clarification and clarification. All residents of Norway shall be entitled to immediate assistance, including persons without a legal residence permit. In addition to this, I believe that everyone should also have the right to ‘health care that cannot wait’. Closer definition of this concept must be further explored, and I do not want to draw any final lines yet, except to say that the concept must reflect that a medical assessment must be based on. I have, however, noted the comment made by the representative of Davøy in the position, where she points out that the Norwegian Medical Student Association sees the need for patients with diabetes and asthma to receive health care before there is a need for emergency treatment. This may, in my view, be examples of conditions in which health care cannot wait in some situations, and I would like to include it in the further assessment. I believe it is important that all children are entitled to the necessary health care, and that pregnant women are entitled to health care before and after birth, regardless of their residence status. I would therefore like to put to the consultation a proposal that more closely equates these groups with other groups. We're going to have a well-functioning infectious agent in Norway. It is important that persons residing illegally in the country also have the right to infectious diseases. Furthermore, I believe that social reasons indicate that mentally unstable persons who may present a hazard should be provided with mental health care. I also believe that women should be given the right to abortion. This is important for particularly vulnerable groups, for example: prostitutes and victims of trafficking in human beings. I fear that women will apply for other opportunities to interrupt their pregnancy without legal residence if they are not given legal abortion in Norway. In addition, there is no need to extend the right to health care for persons residing illegally in Norway. More health care for people without a legal residence in the country could help undermine immigration policy decisions. However, it is important to look at the human aspects of the matter. I therefore believe that the offer made by the Church's City Mission and the Red Cross should be continued. Health professionals are bound by a duty of professional secrecy which requires them to actively prevent others from becoming aware of information they are told about in their capacity as health professionals. Reporting obligations to the health professionals police will break this principle. I fear that such a reporting obligation could lead to people refusing to seek health care. In particular, I think that such a reporting obligation could be for children. I am therefore pleased that the proposal of the representative for a ban on the provision of health care to people who are staying illegally in the country and on reporting obligations to the police is annexed to the protocol.
ParlaMint-NO_2010-03-22.ana.ud1354e287	It's going to be line change.
ParlaMint-NO_2010-03-22.ana.ud1354e290	In this case, the Party of Advances proposes that health professionals should be required to report to the police if they come into possession of a foreigner who is presumed to be illegally resident in the State. The Council of State then points to the obligation of professional secrecy as a restriction on health professionals not being able to report. So my question is, what is the reason that health professionals report to the police when a child is suspected of being sexually abused, but not when a girl illegally resides in the country because she is sexually exploited by trafficking? What are the legal paragraphs that the Council of State believes defends such a different treatment of what I experience as analogue cases? So in the first case, you have an obligation to disclose – why not in the second case?
ParlaMint-NO_2010-03-22.ana.ud1354e297	In the first case to which it refers, there has obviously been a criminal act. Doctors and healthcare professionals have a duty of professional secrecy in general, and I believe that this obligation of professional secrecy should also apply in cases where they provide the necessary health care to people who are staying illegally in Norway. As I explained in my article, we want to clarify the guidelines for this type of health care. We believe that this is absolutely necessary, but that it should not be such that people who are staying illegally, for fear of being notified to the police, should not be able to visit the health service. We can then fully agree that people who are illegal in Norway – and who have been refused their application – should leave the country. But it's a completely different matter. Health professionals should not be the ones who report this to the police.
ParlaMint-NO_2010-03-22.ana.ud1354e304	When the Right supports the decision that the proposals are annexed to the Protocol, it is because we agree with what the Council of State writes in the letter. Clearing and reviewing current legislation may make sense to ensure that legislation is clear, but in such a way that it actually clarifies current health professionals’ practices, which handle current legislation in a sensible way and use their heads in the meeting with individuals and assesses the situation in a concrete way. In addition to current practice, there may be a few impressions from the Council of State that one also wants to expand this. Such a development will not be in a position to support the Right. But my question to the Council of State is: is there an assessment of the need to clarify the rules of the Foreign Affairs Act relating to ensuring the necessary health care for people residing illegally in Norway, so that it will not strengthen the person's relationship with Norway in the next round and thus have an impact on the residence permit?
ParlaMint-NO_2010-03-22.ana.ud1354e311	What I tried to explain was that the government is going in to get the legislation ready so that we can provide urgent assistance to all people who are in Norway – a type of health care that cannot wait, even to people who are illegal in the country. Then it is enough that there have been some ambiguities in this legislation for health professionals in terms of what they can deliver. There are some clarifications that are being made here, for example: in the case of children. They are roughly assimilated to Norwegian children with regard to this benefit. This applies to pregnant women, who also need health care for both mother and child. Otherwise, this is an attempt at clarification and at creating a better regulation – with more predictability for both health professionals and those seeking this kind of health care.
ParlaMint-NO_2010-03-22.ana.ud1354e316	I have a question as to why not the government parties in the UK can get the government to vote for our proposal to improve the situation of paperless migrants, when the government itself has started work, and even goes very far in saying that they want – in fact, perhaps even stronger than we have said – to extend the rights, where reference is made to children and pregnant women in particular?
ParlaMint-NO_2010-03-22.ana.ud1354e321	This work has been undertaken by the Government to clarify unclear legislation and to establish guidelines that will be more predictable for those who are to provide assistance, as well as for those who are to receive assistance. Then, of course, we've also looked at international conventions in the case of children, in the case of pregnant women. But otherwise this is about immediate help, and it's about health care that can't wait. And then it's about a case to be clarified and sent out to the hearing; a work that the government has seen as necessary to do, just to be predictable with them.
ParlaMint-NO_2010-03-22.ana.ud1354e330	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2010-03-22.ana.ud1354e335	I would like to stress that the Christian People's Party's representative proposal is not about asylum or refugee policy, but about responsibility and solidarity with our fellow human beings. It is about individuals in a very difficult situation — children, women and men who need help for their own health. Then it was just to be lacking that we did not set up – that should be done by the public. Actually, we should thank the ideal organisations and volunteers who set up, as they do. We should thank them, and not oblige them to report to the police. Of course, the Christian People's Party is voting against the two proposals of the Progress Party. One of the problems of the Progress Party is that they make this a matter of asylum and refugee policy. They believe Norway is becoming too attractive if we provide health care to the paperless. However, the fact that we have measures for this group does not make Norway a liberal country in relation to countries in Europe. Until the Church's Bymission started this, we were one of the very few Western European countries that did not have special measures for this group. No country is serving an unregistered population, and measures are needed to counteract this development. Even so, we have to recognize that this group exists. This group will not be reduced by making life as difficult for them as possible, or by criminalising co-humanity and neighbourliness as voluntary organisations show when they provide help to paperless immigrants. Helping one of the most vulnerable groups in society is to show fellow humanity and empathy. It is about fundamental human rights, and the Christian People’s Party will today ask the Government to ‘promote proposals for humanitarian and health-related measures’, and we ask the Government to promote ‘possible legislative changes that may improve the situation of paperless migrants living in Norway’. The majority will not vote in favour of our proposal. I understand that not the Progress Party will, but that the government parties, as far as I can see, can not agree with us, can vote in favour of this, I find it difficult to understand. It's almost going to be a parody. When we promoted this proposal, we received a response from the Minister of Health that she would assess the need for action. It was not surprising that the members of the governing parties in the committee also turned the thumb down, even though they expressed themselves in the debate as if they were in agreement with the proposals of the Christian People's Party. But just a week before the committee was due to give up its position, we could read in the evening post that the Minister of Health and the Minister of Justice are addressing almost the same thing as the Christian People's Party is promoting in its proposal. That they don't mention the Christian People's Party, I understand, because you prefer to own things yourself, but I expected the government parties in the committee to change their comments. And the parody is that today they're voting against something they're really in favour of.
ParlaMint-NO_2010-03-22.ana.ud1354e350	The topic of today's debate is addressed in two different ways. I see that the proposal by the Christian People's Party uses the term 'paperless migrants'. The Progress Party uses the term ‘illegal migrants’. I think that illustrates a little bit of the problem. Firstly, if there is a very large number of illegal immigrants in Norway today, there are a lot of papers, because there are people who have largely been treated for an asylum application, who have been rejected and who may have been accused on several occasions. They are by no means paperless. But it shows that you're trying to talk about this problem with – what to say – nicer words than the fact. Persons who are illegally present in the Kingdom and who have nothing to do here, to be returned, are a strong growing group. Thus, although estimates are very uncertain — between 10,000 and 32 000 — there are several tens of thousands in Oslo alone. This problem is growing, and then it's not very smart to impose strong rights for these types of groups. For there is something today’s government should have brought with it during the years it has been sitting and directing this country, it is that relatively small, marginal changes in Norwegian policy can have major consequences for the arrival of specific asylum seekers. We've seen that over and over again. Small legislative changes that have been made here in this Chamber have led us through 2008 and 2009 to blow up all the records of asylum seekers from outside Europe. There is some lack of learning ability, so this has not been done carefully with regard to the borderline moves to be made when it comes to rights for illegal immigrants. Then it's not like someone's trying to present it, that it's problematic that we have to inform the police about illegal immigrants. So you have an information obligation in a number of other contexts, and the introduction of this here is not going to be anything fundamentally different either. The size is free to adopt what you want, no matter what the representative Raja of the Left Party may think of it. And no doctor can stand above Norwegian law.
ParlaMint-NO_2010-03-22.ana.ud1354e361	I think it is quite special to hear the representative, Mr Davøy, and the representative, Mr Bekkewold, claim that the majority is not allowed to vote in favour of the proposals of the Christian People's Party. It's pretty straightforward, I think. For us it becomes strange and completely unnatural to ask the government to start a work that it is already doing. We don't need that. We have confidence that the Government will do what it itself has adopted.
ParlaMint-NO_2010-03-22.ana.ud1354e367	The President is uncertain whether the term ‘fair’ is appropriate in this Chamber.
ParlaMint-NO_2010-03-22.ana.ud1354e370	I'm an alternate, so I still have the opportunity to be surprised at how to abuse this pulpit. When the representative Per-Willy Amundsen speaks, one would think that the rest of the hall here disagreed with him – that someone else believes that illegal immigrants should be allowed to stay in Norway. It would be thought that we others believe that no, illegal immigrants do not burden the system, and that maybe we others think that no, they do not exploit the system. Perhaps the representative believes that we other politicians or the other political parties want to welcome the illegal immigrants and that we are of the opinion that the illegal asylum seekers do not destroy the legitimate asylum seekers. But it's not like that. This representative shouts and shouts, and I am surprised that he allows himself to use this hall to kick in open doors and speak against better knowledge. I'm surprised. Of course, all the political parties agree that illegal immigrants are going out of Norway, that they are charging and exploiting the system, and that illegal immigrants are destroying the legitimate asylum seekers, whom the majority of Norway fortunately wants to help. But this debate is not about kicking in these open doors. It is about whether to provide the necessary health care to those who need it or whether to impose a health care professional’s obligation to report that is contrary to their obligation of professional secrecy and the oath they have taken. To the fact that the doctors, who have been trained in medicine, should now not help the people who need help, it is to say, I am very pleased that these doctors write in the newspaper time and time again that they swear to a much larger oath that is far more sacred to them, and that is saving human lives. I am very pleased that the proposal mentioned by that doctor in my previous post as a low proposal is not going to get the majority of the Stortinge.
ParlaMint-NO_2010-03-22.ana.ud1354e381	I need to make something more related to the statements by the representative Olsen. She responded to the Christian People's Party statements here. I stand for what I have said. The background for this is that the formal writing we got in the committee from the government and the government, is not what it said in the evening post. I am also not aware that the work has started. It may be, but in response to the committee – during our discussion – the Council of State writes in the last sentence: ‘I am aware that current legislation in this area is partly unclear and will therefore assess whether there is a basis for clarifying it.’ This is the formal response of the Health and Welfare Committee of the Stortinge during its treatment from the Council of State. We got that long before we gave the setting. Having said that, of course, I am pleased that the government has started the work. That's great. In our proposal, we want to improve the situation of paperless migrants living in Norway. That is the end of our proposal. What we've read about in the Evening Post is that both state councils now want to clarify the provision. So they have made a decision in time between the letter we received and before we gave the cancellation, that they will clarify the provision on the right to health care. And a little further down it says that children and pregnant women will have extended rights after the proposal. This will, of course, greatly improve the situation, as we propose. That's why I don't understand that you can't vote for our proposal – when that's actually what you've been doing. I wish we could agree on this. We were even willing to change the proposal so that it could become more in line with what the Government is going to do. But here you want to vote for a very good proposal.
ParlaMint-NO_2010-03-22.ana.ud1354e397	As I tried to point out in my speech, things can be done in one policy area, have consequences in other policy areas. Thus, it is not that immigration policy is isolated, Norwegian integration policy isolated, which has consequences for the arrival of, for example. asylum seekers and the extent to which people become illegal immigrants. There is a set of policies, in a variety of areas, that influence this. That's exactly what's the problem, that you don't take it into this room. That's where you have to have a good balance. So this is where everyone agrees that illegal immigrants are not good. It may be, but it does not help to be opposed when you are not willing to implement the policy that is necessary in order to bring the problem to life. Today, we have major challenges – I stress major challenges – with a growing number of illegal immigrants who are in the realm at all times, and I note that there is no need to take on board the need to take other policy measures beyond immigration policy in order to address the issue. Then it must be that the Left Party with the representative of Raja is also against illegal immigrants, but the truth is that if the Left's policy had been applied, this problem would have been totally unmanageable because it had blown up all borders with regard to immigration into the Kingdom. In practice, Norway would have acted as a haven for how many would want to seek asylum — and with the Left’s policy, almost everyone would have received it as well. Other politicians are concerned with the context of Norwegian policy. We are concerned that we have a responsible policy in this area, in the area of health as in the field of immigration, which means that Norway does not have further problems with illegal immigrants. This is one of several proposals the Progress Party is promoting in various areas to address that issue. I record that the other parties do not have solutions to meet just these challenges that I point out.
ParlaMint-NO_2010-03-22.ana.ud1354e408	I'm a little surprised by the representative Davøy's obvious irritation about the government's way of doing things. When we wrote in a letter dated 20 December that we are aware that the legislation is unclear, no one should be surprised that the government is actually working on the issue. That is a clear recognition that there has been an unclear code. This is not a good situation, either for those seeking health care or for those seeking health care. The government wanted to do something about it. That is why we have taken up this work, had it going on for a while, in parallel with the proposal under consideration today. So it is that the Minister of Justice and I went out in the evening post, is completely in line with what I have explained here today. So there's no difference. I find reason to stress that there are no surprises here. This is actually what the matter is about.
