ParlaMint-NO_2010-01-07.ana.ud2258e44	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2010-01-07.ana.ud2258e195	Nordic cooperation has a long history, and we Nordics have many and close links with our Nordic neighbours. I would therefore like to first address the very difficult situation in which our Icelandic friends have come up with. I am very pleased with what the representative Lundteg takes up in his contribution related to the financial crisis, which does not frame Norway as hard as our Nordic brothers in Iceland. Several of their financial institutions had expanded strongly abroad, and when they broke out, it created a national economic crisis. The Icelandic banking crisis is the biggest crisis, relative to the size of the country, which some country has ever experienced. In 2007, the three largest banks in Iceland raised loans corresponding to around nine times the country’s annual production of goods and services. The Icelandics will spend many years paying off the debts left by the bank collapse, even though the values in the arc will give the Icelandics back two-thirds of this sum. In order for Iceland to meet its obligations to customers in the United Kingdom and the Netherlands, the Icelandic Government, through the Icesave agreement, has assumed a liability of approximately one hundred thousand dollars for each Icelander. Now the situation is acute because the Icelandic President will not approve the agreement and will send the cases out to a referendum. I'm worried about the situation. The IMF, the Nordic countries, Russia, Poland and the Faeroe Islands have lent Iceland about $5 billion to help the country import essential basic products such as food and fuel. These payments are paid in portions, and a lot of the payments are left. If Iceland now says no to the Icesave agreement, the IMF will probably stop the payments. I would therefore like to take advantage of the opportunity to ask the Foreign Minister whether Norway will do as an IMF and stop helping Icelanders if they refuse to pay the Icesave debt, or if Norway can choose a different line and show more solidarity with our Icelandic brothers than the IMF would possibly do. I thought the words from Lundtegen about an outstretched hand are important to take with me, and I want to challenge the foreign minister on this. The Christian People's Party will further develop the good cooperation we have in the Nordic region and use the Nordic Channel in our work on other challenges in European context. In meeting globalisation, Nordic cooperation must focus strongly on the challenges of climate, environment, energy, research, innovation and barriers between Nordic countries. When it comes to frontier barriers, I will join the words of the case-speaker, but I will also refer to the plural note from the Right, the Advance Party and the Christian People's Party in the Inner. 125 S. We must not only work to build up old barriers, but also do what we can to prevent new ones from emerging. as a result of the implementation of new EU directives. Together with the Right, the Christian People's Party also has a minority comment on language policy. He is important not only in school, but also in other areas, such as media and cultural policy. Better understanding of our neighboring languages is important with the great interrelationship we now have across the Nordic borders. Otherwise, from the Christian People's Party's side, we have a special commitment to support the work of democratisation in Belarus. It would be nice if we from the Nordic side could take advantage of our secrets to help bring about democracy there. For its part, the Christian People's Party is in contact with Christian Democrats in Belarus. For us who live in a well-established democracy, it is the right to see our colleagues in a neighbouring European country denied a completely elementary right they have – the right to set up a party of their own. A real democracy has led the opposition to respect its fundamental democratic rights.
ParlaMint-NO_2010-01-07.ana.ud2258e216	This is the first time I discuss Nordic issues in Stortinget, and I look forward to good cooperation with the representatives on these issues. Nordic cooperation spans a wide range of fields, and new dynamics have been introduced in recent years into the Nordic meetings. Thorvald Stoltenberg's report has focused on possible areas of cooperation in several fields. The initiative of the Prime Ministers on globalisation has brought more vitality into the cooperation of the Nordic Council of Ministers. This reflects the role of the Nordic region as an important region, both economically, politically and culturally. Without going to go into it more closely now, I would like to stress that cooperation with the neighbouring regions of the Nordic region is very important. This applies to North-West Russia and the Baltic Sea region, but also westwards. Prime Ministers have provided the overall leadership for a renewed Nordic joint effort to meet the challenges of globalisation. The aim is to vitalize cooperation and make the Nordic region visible in a globalised world. The first focus was on research, innovation, climate, energy and the environment, and other areas have subsequently emerged. These measures are enshrined in the various Councils of Ministers. The Globalisation Initiative shall not be an isolated process but shall provide new dynamics to the traditional Nordic cooperation areas. Now there is also health and well-being. This is intended to promote health and quality of life and empowerment in an inclusive working life. I am concerned that we are going to take advantage of the benefit that would be if the Nordic countries could extend the already close cooperation within the relevant Councils of Ministers in areas such as health, social issues, industry and knowledge. The Nordic countries are good at this, but all also face challenges in these areas. Here we can achieve added value when establishing cooperation projects in specific areas. Frontier barriers have been the subject of today, and this is a very topical issue. Many of these we may have to live with to some extent, but obstacles must be removed where possible. For me, it is particularly important to avoid new barriers arising unintentionally because national legislation and the implementation of EU directives have not taken sufficient account of the barrier aspect. In this context, as others have done, let me mention the Border Obstacle Forum, which has made a fine effort to ensure that relevant matters are dealt with in the respective professional bodies. Drivers are needed in individual cases, and the Border Barrier Forum has shown great commitment. This work should be continued because it has helped us to find solutions to many individual issues. A study conducted by the University of Lund points out that the population of the Nordic region is having bigger and larger problems of understanding each other, and perhaps even with concern it is that this is especially true of young people. English has become the language of youth, and young people may not be so conscious of the benefit of maintaining the Nordic community. We have to work on this. Both the language convention, which is now being revised, and the language declaration are important instruments. The declaration shall form the basis for a comprehensive, long-term and effective language policy effort. I would like to highlight a common Nordic language campaign to be launched by the now drenched Icelandic Presidency and the new Danish in the Nordic Council of Ministers later this winter. Here we will especially try to reach children and young people with competitions and events that appeal to the different age groups. Many of the technical councils and institutions within the Council of Ministers will participate. Nordic courses have also been started in educational guidance for primary school teachers who want to introduce students to neighbouring countries. With the Nordic community, we mean the Scandinavian languages, but I would also like to stress the importance of having a common Sami cultural and language area in Norway, Sweden and Finland. In 2009, Iceland held the Presidency of the Nordic Council of Ministers. It was, as we know, not the easiest year for the Icelandics, but the Presidency was accomplished in an excellent way. It was an activity and a drive in the work that I can applaud. Now Denmark has taken over. All Nordic countries individually have a broad international commitment. Nordic cooperation provides an additional dimension with common Nordic values and priorities in many areas ranging from gender to climate. I look forward to continuing the active Norwegian line of Nordic cooperation in the Nordic Council of Ministers. The parliamentary anchoring of Nordic cooperation is essential, and as I said, I am delighted to cooperate closely with the Nordic Council delegation.
ParlaMint-NO_2010-01-07.ana.ud2258e237	It's going to be line change.
ParlaMint-NO_2010-01-07.ana.ud2258e240	As the Council of State said, she is new to this job as Minister of Cooperation. And there's a lot of possibilities. It gives opportunities to look at things with new glasses, think new and stand freer in relation to what has happened before. At least when I talk to a lot of voters, party-confidential, even colleagues here in the house, I experience that you're wondering what exactly comes out of Nordic cooperation. I also believe, as I said in my first post, that very many of our citizens – in all Nordic countries – have uncleared what concretely comes out of this cooperation. I was going to ask the Council of State if she has clear thoughts and ideas about how we can put this into practice and make it more understandable to our citizens.
ParlaMint-NO_2010-01-07.ana.ud2258e246	I can confirm that I think it is an exciting task to have been given the Nordic Minister of Cooperation. In my time as Secretary of State in the Ministry of Health, I worked on many Nordic issues, and I clearly saw that we had great benefit in doing things together, because we are relatively small countries, all of us, where we have the benefit of being able to pull each other. However, I agree with the representative that it is important that we focus on informing our citizens about the work of the Nordic Council of Ministers and the Nordic Council of Ministers and the results we achieve. That's why I think we need to continue using the new information channels, and in particular focus on young people to get an understanding of what Nordic cooperation is. I also look forward to working closely with the Nordic Association, which is an important source of information, in order to bring understanding of Nordic cooperation to people who are not working on such matters in their daily lives.
ParlaMint-NO_2010-01-07.ana.ud2258e251	It was a pleasure to hear that the Council of State spent some time talking about language. The Scandinavian community of languages is perhaps the most important glue we have in Nordic cooperation and Nordic understanding. There is then, as the Council of State also mentioned in its statement, the Nordic language declaration is absolutely central. Now it is that the declaration is not a supranational treaty. It only indicates a job that countries undertake to do. One important point is that each country should draw up an action plan for the Nordic-related language work. I would like to ask the Council of State what she thinks about the work – where it says it. If she could say anything about it, it would be fine, but at least it would be nice if she could say something about what kind of thoughts she has in the future regarding such an action plan.
ParlaMint-NO_2010-01-07.ana.ud2258e256	I agree that it is important that we focus on the Nordic language, and I am particularly concerned that we also have it in the education process. This is why the new report on the role of teachers also said something about the need for Norwegian in the new teacher training to reflect the curriculum's demands for knowledge of Nordic language and Nordic literature. Now, when we're going to get a new elementary school teacher education, this will be important in the curriculum work that's to be done after that big-school report. With regard to the specific question of how far we have come to follow up this action plan, I must be allowed to come back to it. It's not under my department's responsibility. It's under the Department of Knowledge. I would like to be allowed to come back to how far we have come with this work on an appropriate occasion.
ParlaMint-NO_2010-01-07.ana.ud2258e263	I would like to take advantage of the opportunity to congratulate the Council of State on the work before Nordic cooperation and say that she made a good contribution. I'm glad someone's recording what's going on in language cooperation. I also fully support the campaigns taken by the Council of State in its article, but it is a language work that comes under the education sector. My question is: does the Council of State see that language cooperation can be extended even within other sectors? I'm thinking about the cultural sector. I'm thinking about the media sector. And I'm thinking about the possibilities that the web now offers. In this way, a completely different possibility is given for Nordic cooperation. Let me give you an example. For many, it would be easier to go to a website that has Danish as a language, than one that has English as a language, because the knowledge and proximity of other Nordic languages are greater. My question is: do you see an expanded linguistic cooperation in other sectors outside the education sector?
ParlaMint-NO_2010-01-07.ana.ud2258e270	I think it's important to promote Nordic language understanding, especially within what goes on culture. Some of the new initiatives taken include: in Nordic film. I think that's an important element of the work that helps to increase language understanding. I'm absolutely sure that in a lot of areas we can make use of each other's language in a much better way than before. As far as border barriers are concerned, as I said, I am concerned that we contribute so that we do not create new ones when, among other things, we do not create new ones. introduce new EU directives. I am absolutely sure that if we, for example, can link more to translations made in Scandinavian languages, it will be easier for many to get involved in, among others. issues relating to EU directives to be incorporated into Norwegian languages. I think there might be a lot of ways to do this. I will include that work in the follow-up to the language declaration and any skill plan related thereto.
ParlaMint-NO_2010-01-07.ana.ud2258e277	I would like to follow up where the representative Hareide finished, that is, how wide it is natural to anchor the Scandinavian language work. We see that it is an increasingly Scandinavian/Nordic thinking, both within ownership and within business. A development of a single market – then I believe not only a formal single market, but also a practical operational single market – I think it will be of great importance to the linguistic one. If we do manage to involve language policy in economic life, in business, I think it will give a completely different dynamics and a completely different momentum than if we reserve the language policy to be cultural policy or educational policy. My question is, could the Council of State expect to invite you, for example: Is the main business organisation or the social partners involved involved in a language work that adds to an action plan?
ParlaMint-NO_2010-01-07.ana.ud2258e286	I agree that it is important that we have a common Nordic language understanding. I think we'll lose a lot on the day we have to use English as a working language in Nordic meetings. Therefore, it is important in all areas that we contribute to our Nordic language competence. It is certainly also important in the field of business. So it would be natural for me, in the light of the debate we have had here today, to discuss the kind of issues when we meet with the NHO and other business organisations and employee organisations. I must be allowed to come back to how I might involve those organisations in the further work on Nordic language and increased language understanding.
ParlaMint-NO_2010-01-07.ana.ud2258e291	The cord shift is over.
ParlaMint-NO_2010-01-07.ana.ud2258e294	It is a pleasure as Minister of Foreign Affairs to participate in the debate on Nordic cooperation. When we had a debate in the Nordic Council this autumn, I invited the Stoltenberg report to be debated in the national parliaments. It is a pleasure that several of the representatives in this room have taken up the Stoltenberg report, got into it and got involved in it. It is an important driving force for cooperation in the Nordic region. I agree with the representative Foss that there is room for deepening Nordic cooperation. I don't see the room getting bigger if the EU strives to unite on its common foreign policy. I believe that it is always an advantage for us in the Nordic countries to be able to do well in Europe, economically and politically. Many conditions in our part of Europe call for increased cooperation between the Nordic countries. The language debate here is one example. I experience many examples in my everyday life where the North is the starting point: relations with Russia in the North, border cooperation with Russia, the North in international cooperation, relations with the G20 countries, the UN, a number of such issues. And the North is a glue in the regional councils of the North, the Arctic Council, the Barents Council and the Baltic Council, where we take over the Presidency on 1 July this year. When Denmark and Norway are leading countries in the debate on the Polish regime – we will also be at a ministerial meeting of the five polar states, the coastal states, in Canada in March – Denmark and Norway will work closely together. The Stoltenberg report invited to see 10–15 years in advance. It was 30-40 pst. more ambitious than a government can normally carry out in the year in which it is provided. It was the mission to Stoltenberg. Therefore, the report will be on the agenda of most of the meetings we will have in the coming years. No proposals were rejected. We're implementing several of them. Together with my Danish colleague in Copenhagen two days ago, I had the opportunity to go through a series of proposals. Among other things, we agreed that Norway and Denmark should seriously go through the entire foreign representation to see if we can do more together — an example of this. Then to Iceland. We must show solidarity with our brothers in Iceland. We've got close contact. We have close political dialogue, and we follow up as best we can. The Icelandic Minister of Finance is today in Oslo in conversation with his Norwegian colleague. It's an expression for this. I agree with the representative, Lundtigen, who says that we must now support Iceland so that they have the opportunity to work out the disaster in a realistic way. He also mentioned a realistic platform for long-term Norwegian-Icelandic cooperation. I fully share that ambition. Then we'll remember that there was no natural disaster that hit Iceland. It was a man-made situation, promoted by the financial world and banking through year-on-year development. The strategy we have to follow is, therefore, that we decently enable Iceland to work out of this mess. Iceland can count on Norway. In order to succeed, the Norwegian Government considers that an international framework around the Iceland economic recovery programme is crucial. Norway alone cannot, should not, lift this alone. But it's through a framework, anchored in the IMF, well supported by the Nordics and other related countries, that Iceland can work through it. That is why we have supported the Icelandic government in the laborious reconstruction work of the government, and Iceland can count on our support further. We note the signals from the Icelandic Prime Minister that these plans are firm, even though we are now waiting for a possible referendum, probably at the end of February, about this element relating to the so-called Icesave agreement. However, Norway will – and this has been stated very clearly by the Stortinget when it gave support to the loan package that came – be very careful about the IMF's arrangements for Iceland, and there is also security, stability, so that Iceland can regain the confidence that it deserves through its hardworking people, and which is crucial for the success of the programme. We have a great deal of understanding that this has been a difficult case in Iceland, and that the difficulties and digestion of this challenge are not over. It is therefore important to have close contact at all levels with Iceland, which we have on government teams, but also parliamentary and through other channels. But as I said, I think it is important to stress that support for Iceland takes place in the context of international cooperation, that the IMF is an important foundation for what Iceland is going to do, and from the Norwegian side, we are therefore committed to lending to Iceland. Close contact shall be maintained with the other Nordic countries in this respect and it is important for Iceland itself and for the relationship with other countries that they are able to comply with their international obligations, including the EEA obligations.
ParlaMint-NO_2010-01-07.ana.ud2258e313	It's going to be line change.
ParlaMint-NO_2010-01-07.ana.ud2258e316	The Minister of Foreign Affairs mentioned the Baltic Sea cooperation, and the three Baltic countries are now all members of the EU, and they are members of NATO. My question to the Minister for Foreign Affairs is the extent to which the Minister for Foreign Affairs sees further integration of the Baltic countries in Nordic cooperation, and the long-term extension of Nordic cooperation – the work of the Nordic Council being extended – by three members, from five to eight.
ParlaMint-NO_2010-01-07.ana.ud2258e322	Since the early 1990s, there has been an exciting development in the so-called five plus three-circuit to which the representative refers. I worked in a different function in the government system when this work started, and we were visited by parliamentarians and government members from the three Baltic countries to the Nordic Council, and then there was a rather fine network of meetings between state councils, government members and also parliamentarians between the five and between the three. I think the Nordics should be like the Nordics. I think the Nordic Council will continue to be for the five Nordic countries. But I think the Nordic Council, which is so established and anchored, can have open doors to five plus three, and also to other constellations. I heard the representative Hareide mention Belarus. There I agree that the Nordic Council of Ministers, the Nordic dimension, is an interesting framework for working towards such a country. However, I believe that we should stick to the Nordic bottom shelf, but in accordance with Nordic traditions we have openness, especially in the direction of the Baltic countries, to which we are strongly attached.
