ParlaMint-NO_2010-05-05.ana.ud2638e26	The representative of Per-Kristian Foss will present a proposal for a representative.
ParlaMint-NO_2010-05-05.ana.ud2638e124	Councillor Kristin Halvorsen provided a guarantee of full cleaning at Mongstad. State Councillor Kristin Halvorsen, who is party leader, and who is a member of the government's subcommittee, came with a guarantee, with his hand on his heart. My question is whether this guarantee is given on behalf of the Government, or whether it is given on behalf of itself. Then it must also be allowed to wonder how the Prime Minister and the Government can be so seemingly unaffected by the fact that one now has to do full right in relation to a project that you have given guarantees about, and that one has also described as a lunar landing project. Perhaps it would be appropriate to adopt a somewhat more humble attitude on the part of the Government and the Prime Minister in relation to misleading the voters on this issue.
ParlaMint-NO_2010-05-05.ana.ud2638e131	Let's move on to the project. First of all, we do that by going further with step 1, and it's always meant to do this in two steps. As I say, when this project – i.e. step 1 – is due to be completed in 2012, it will be the world leader in its field. It's a technology center that the world looks to. Shell is in step 1, and now Sasol – a South African company – has decided to participate. That is important because they are too high a point in the world. Step 1 is itself a large and gigantic project that contributes to the development of valuable carbon capture technologies. We haven't stopped step 2, but we've said that we're going to spend a little longer on step 2, because both Statoil in its assessment, Gassnova in its assessment and the department in its assessment have come to the conclusion that we're getting a better project. I believe that we would have done the environment a bear service if we had carried out a bad project at Mongstad, step 2. The whole point of what we're doing in Mongstad is just that we're going to create a technology that the world wants to implement.
ParlaMint-NO_2010-05-05.ana.ud2638e138	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e141	The Christian People's Party is concerned about the environment, and we regret that the Government has exposed Mongstad and the Prime Minister's moon landing. What remains of the moon landing is increased greenhouse gas emissions — and that is not a small increase, but it is an increase of up to 2.5 pst. of our national emissions. It's not easy to land on the moon. It will be precious, and so will Mongstad. There is no new information. The Prime Minister said in this Chamber a few years ago that we are developing even more environmentally friendly gas technologies more quickly if we are today launching and using the best available technology. My question to the Prime Minister is: What new knowledge has the Prime Minister gained in recent years that means that what he said and told in the Stortinget in 2000 – then as a representative of the magnificence – is not the policy that the Prime Minister is now leading from the Government office?
ParlaMint-NO_2010-05-05.ana.ud2638e150	So we're on. We spend billions of dollars building step one on Mongstad, which in itself will be a very valuable project where we're going to develop technology and do something you don't do anywhere else in the world, using two different types of technologies and cleaning two different types of gases, one from a refinery and one from a power plant. So we're already in Mongstad. It's very good, and it contributes to the technology development the world needs. So we haven't canceled, but we've done something, step 2. The reason why we're postponing step 2 is more. One is that it is said that it is more technically complicated specifically to do this on a plant that is already in operation, and the other is that assessments of health aspects have also been made. Both of these parts are important for us to go through before we start step 2.
ParlaMint-NO_2010-05-05.ana.ud2638e157	Let's move on to the next main question.
ParlaMint-NO_2010-05-05.ana.ud2638e160	The worrying thing about the postponement and delay of both Kårstø and Mongstad cleaning is that it goes into an image so that almost all important road choices and decisions we have to make to achieve our objectives in climate policy are pushed out in time. Under this government, green certificates have only been stopped, so they started again – perhaps there will be a five-year delay. We know that one third of the climate emissions in Norway come in the transport sector. It is then important to ensure that we get better and more environmentally friendly cars, buses, means of transport, but that we also do something with which fuels they go on. The government cut out the main instrument related to biodiesel, and has not created any new fuel-related strategy. It delays the transition to a cleaner transport sector in Norway. In Stortinget, red-green people are voting against proposals for more environmentally friendly public transport, they are voting against proposals for more energy-efficient construction, and they are voting against proposals relating to the rapid replacement of the car park. In addition, we have had a good investment in several combustion plants, and we have developed more district heating in the last ten years, but this is currently torpedoed by the fact that the supply of forest – or garbage, as the eastern countries call it – is now stopped by a fuel tax that helps more combustion plants actually assess the use of fossil fuels in these plants. The point is that two years after the climate agreement, we are further away from reaching the goals we agreed on, than what we did when we negotiated it. Can the Prime Minister now assure us that we will have a strategy to achieve the objectives of the climate agreement? Can he guarantee us – I am not asking for the hand of the heart this time – that we will achieve our Kyoto objectives?
ParlaMint-NO_2010-05-05.ana.ud2638e171	This government has put forward a policy, and will put forward further proposals for a policy that will allow us to meet both our Kyoto targets and, in addition, the objectives we have set for 2020, which go beyond the Kyoto agreement. What the government has done is two things. One is to step up and increase the level of ambition in climate policy by saying, first of all, that we are not just going to achieve the Kyoto target, but unlike the previous government, we have said that we are going to over-achieve the Kyoto target by 10 percentage points. It is important, because it contributes to greater emission reductions, and it contributes to the transfer of financial resources from the rich to the poor world, which is crucial to getting the poor world involved in an agreement, which is crucial to getting large enough cut. So that's point one: we're overcomplying with the Kyoto agreement. It is important in itself, but it also builds confidence in developing countries. The second thing we've said is we're going to reduce emissions by 30 pst. by 2020. It goes beyond the Kyoto period, but we have said that we should do this partly through significant reductions in our own country and partly through the use of the mechanisms contained in an international agreement on climate, i.e. the same mechanisms as are currently in the Kyoto agreement. The third thing we've said is we're going to be carbon neutral. There are three major ambitions, three accentuations of the level of ambition. We are therefore in the process of following it both nationally and internationally through significant forestry efforts, significant cooperation with many countries to reduce emissions there, but also significant measures at home – doubling railway investment, more than doubling the allocation of Enova to renewable energy, implementing the EU ETS, which contributes to the price of carbon in large parts of the Norwegian economy, and thus reducing emissions, more economical gain by generating clean-up and reducing emissions, and also new building regulations that help to reduce the use of energy in buildings. So we're going on both with significant action at home and with significant action out there, and we're going to meet our goals.
ParlaMint-NO_2010-05-05.ana.ud2638e182	I can't help noticing that the Prime Minister is now saying that he guarantees that we will achieve our Kyoto objectives. It's ambitious. That's not what we can read from the statistics per. the current date of emissions in Norway. But this is possible for the voters to measure the Prime Minister before the next elections. This is not just about buying allowances abroad, it is also about our domestic emissions. But when we buy allowances abroad, it's now proven that only 27 dollars of each dollar we spend on the purchase of allowances actually contributes to climate change reductions. The rest goes to administration, and the measures don't work. Then my question is, is the Prime Minister just as sure that so much can be taken out of the shop, that it's as effective as he's believed in the past? Or is it that we now need a much clearer strategy and actually proposals for this Stortinget that will allow us to get to the technological developments and the changes that are necessary to address environmental emissions and climate emissions in Norway?
ParlaMint-NO_2010-05-05.ana.ud2638e191	I think it is necessary to take significant action both at home and outside. Action at home is important, because it is important that we reduce our own emissions. It also helps to develop our own technology. However, significant measures are also important, partly because there are much greater reductions in relation to the money we spend. We can see that, for example. in the case of forests, where we have very large reductions in emissions – large and fast cuts at quite low costs. Then I think it is very important to distinguish between the quotas that are real climate quotas, namely the EU quotas – where little criticism has been made about how they work – that they contribute to real reductions – and the developing countries’ quotas, which are not really climate quotas. There's more discussion. The advantage of developing countries' quotas is that they go to developing countries, and we need to spend money in developing countries if we are to get developing countries into an agreement. There is no doubt that the EU quota system is better than the developing country quotas. The problem is that then we spend money in Germany instead of spending money in India, Brazil and China. We need to spend money in those countries to get them involved, and that is crucial for an agreement.
ParlaMint-NO_2010-05-05.ana.ud2638e198	There will be three follow-up questions – first Nikolai Astrup.
ParlaMint-NO_2010-05-05.ana.ud2638e202	There is no doubt that the government is still the world champion in climate rhetoric, but in results we unfortunately see that it is at the same time – the moon landing, the performance project of Stoltenberg, the quota trade, with which unfortunately it will be very difficult to get ashore, and, not least, that the climate announcement of what we are going to do at home is at risk. The only thing the government can comfort itself with is the rainforest bet, which came on a proposal from the Right. But I want to ask the Prime Minister about the following: Cleaning of both Kårstø and Mongstad is within the reference path for Climate Change 2020. Will the Prime Minister compensate for the lack of cleaning through other cuts domestically? And how will he compensate for the purified CO2 from the testing centre at Mongstad, which will be released right back into the atmosphere until storage is in place?
ParlaMint-NO_2010-05-05.ana.ud2638e212	Firstly, Norway is the world leader in these areas. Just that we're building step 1, and that it's expected to be finished in 2012, is a huge project for billions of dollars that are unique in the world in its kind. So that's point 1. It is not that this has been cancelled. Step 1 is in the box, step 2 is slightly deferred. But it's infinitely better than what the previous government was driving, because they gave the concession to gas plants on Melkoya with zero requirements for CO2 cleaning. We have great ambitions. We follow up step 1 and spend a little longer time on step 2 because we think it is best for the environment and best for the project, while the Bondevik II government did not make any demands when it came to the gas power plant that was opened and started at Melkoya. As far as compensation is concerned, I think I have to clean up the following: the Kyoto agreement is valid until 2012, so this would not have any meaning whether it starts in 2014, 2016 or 2018 – or when it starts. For our other objectives, we have 2020, and then full-scale cleaning should also be in place.
ParlaMint-NO_2010-05-05.ana.ud2638e224	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e227	There is little comfort in saying that you should make demands when you are unable to meet the requirements you are making. This government has also authorised the construction of gas power plants, e.g. in the Goliath field, without any requirement for purification. This government has authorised the construction of two mobile gas power plants in central Norway without requirements for cleaning. So I think the prime minister should be a little careful about sticking to others. Then I have also seen the proposal that the Progress Party and the Right has been promoting when it came to Mongstad. The Prime Minister should like to read it, because the proposal from the Right and the Advance Party was that the Stortinget ask the Government to grant Statoil's application for a cogeneration plant at the oil refinery in Mongstad. So there's nothing negative about CO2 cleaning, either. On the other hand, if you read the settings of St.prp. No 49 for 2006–2007, the Progress Party and the Right will take care of what the Prime Minister is lying about and will say that we are not doing. So the question is, when the government postpones the project in Mongstad, it's because you want to gain experience from the test facility, or is it because the government sees that this is too expensive a project per. tonnes of CO2 in relation to alternative national measures?
ParlaMint-NO_2010-05-05.ana.ud2638e242	The President must be told that accusing counter-debatants of lying is a form of parliamentary expression that we do not accept in the Stortinget. It is possible to have different opinions without one being accused of that kind of thing.
ParlaMint-NO_2010-05-05.ana.ud2638e245	Let me first take it: the point was that this document 8 proposal was a proposal to grant a concession without making demands for purification. It is perceived that the Advance Party and the Right did not demand purification. That they have later thought that we should still have cleaning, I think it is good. Let's put it behind us and say that all the games on the Storing are for cleaning at Mongstad, even though different parties have slightly different opinions initially. When it comes to the question of whether we are going to make compensatory measures, I cannot quite understand that there is something that belongs to this debate, because we are in any case going to achieve our Kyoto targets by 2012, and reach our targets by 2020, regardless of when start-up comes.
ParlaMint-NO_2010-05-05.ana.ud2638e252	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e255	We hear the Prime Minister repeats that we are world leaders in Mongstad. I also want to say that we are world leaders in climate change. Kårstø was to be finished in 2009 with cleaning. We were going to bet on biofuels. We have also introduced a biodiesel tax, which means that we have come a long way back there. We were supposed to have 3 TWh on wind power. That goal has been postponed by the Government. We were going to bet on renewable energy. Enova was an important tool, and Enova gets criticised by the National Audit Office – just to mention some of the issues that the Government has broken in terms of climate. The Socialist Left Party joined the government because it was going to put more environment on the agenda. After almost five years in government together with the Workers' Party, SV is completely ribbed for the environmental credibility they had. My question to the Prime Minister is: how does it feel to contribute so strongly to undermining the credibility of a colleague of government on their most important matter?
ParlaMint-NO_2010-05-05.ana.ud2638e262	We cooperate well in the Government, also on environmental issues, and there is no doubt that SV sitting in the Government has helped us to become even stronger drivers, for example. in the case of carbon capture. I stress that in carbon capture, just what we're doing now is making the world come to Norway. The world notices what is happening in Norway, and step 1 itself is going to be a fantastic technology development project. And then we're going to go on with step 2, but then we're going to spend a little longer time. Enova has more than doubled her allocations. That's why we're spending a lot of money on renewable energy, and so we're spending more money than we've ever done before. Then we're going to step up our efforts in all of these areas, for example. bets on public transport. The image of SV not being passed is incorrect. SV gets a lot of environmental impact, so this government has a very offensive environmental policy in a lot of areas.
ParlaMint-NO_2010-05-05.ana.ud2638e269	Let's move on to the next main question.
ParlaMint-NO_2010-05-05.ana.ud2638e272	After listening to the Prime Minister today, I realize that he takes relatively lightly the fact that his prestigious moon landing is at risk. So it's a little bit of a backsliding point for Mr. Stoltenberg, but it's a gigantic retreat for the environment. The fact is that this year we get a new, highly polluting gas power plant that we can now risk remaining standing for a decade without any kind of cleaning. This affects the plans that this government has so far made for domestic contributions to the management of CO2 – most recently the Climate Action Plans, which were submitted for some time ago, and which require cleaning both on Kårstø and on Mongstad. The working party has always wanted – from the turn of the millennium onwards – to build gas power plants in Norway, usually without cleaning. In the year 2000, you wanted it so much that you put in the center government to get it done. The Kårstø power plant stands there today without cleaning as a monument to the gas power plant from 2000. SV thought it was a great victory for the environment at Soria Moria in 2005. When the statement was ready, they sent out a press release, where it said: ‘15 years of gas power plant struggle has ended. The environment won!’ Today, we know that victory was very short - lived. The promise of cleaning has now been pushed to 2018; perhaps it will never happen. So far, there is only one thing that has come out of Soria Moria and the promise of moon landing, and there is a sharp increase in greenhouse gas emissions and breach of Norwegian international commitments. The debate has shown that it is a lot about money, less about technology. What has also emerged is that Statoil's original wish to clean up in 2018 has now become the government's policy. Can the Prime Minister confirm that it is not only Statoil's original plan A that has now been achieved, but that this has in fact been the Prime Minister's own initial plan of progress, and that the final investment decision has been pushed over to the government that must have power after the next election?
ParlaMint-NO_2010-05-05.ana.ud2638e294	Let me underline once again: Step 1, that is, the big technology center to develop new and great technologies for the world, is on track, and it will itself be an important contribution to developing technologies that the world and Norway need in order to reduce their emissions. Step 2 is somewhat exposed, but it is a project we are going to implement. It is not that we postpone it, that our entire climate policy collapses – on the contrary. So, in the climate agreement, we have said that we are going to reduce emissions in relation to the reference path in the 2007 national budget by about 15 million tonnes when forest is taken into account, and then about 1 million tonnes from Mongstad. But it's in 2020. So in relation to that climate objective, the starting time is not what determines. We want to get this in place as soon as possible, but we prefer a good project a little later than a bad project a little earlier. The reason why we're postponing is that it'll be doing the environment a bear service if step 2 on Mongstad becomes a bad project. The purpose is that there should be a project that the world wants to copy. If it stands there as a monument to misinvestment, it will not be something that other countries want to copy – then it will be a bad project for the environment. We want a good project, and then our leading consultants in Gassnova, in Statoil, say that we spend a little longer, we get better quality, better implementation and also more control of costs. It's about doing something that hasn't been done before. We're going to apply this technology to a plant that's in operation, and installing a heavy factory, a carbon capture plant, to a refinery that's in operation, is technologically very demanding, and that makes Statoil, Gassnova, think we're getting a better project if we spend some longer time. We have listened to these arguments, and I think it is responsible that we then say: yes, let's get a good project something later, but therefore in time for 2020, instead of getting a bad project something earlier.
ParlaMint-NO_2010-05-05.ana.ud2638e303	I would like an answer to my question: is it so that what is now going to be the result, is Statoil's Plan A and the Prime Minister's Plan A? I would also like to know what the Prime Minister has to say to the many young people who saw his new year in 2007, who heard the fantastic environmental speech he gave to the National Assembly of the Labour Party that same year, and who saw a visionary politician who was not the old gas power Jens who took power at the polluting gas power station but who now had a vision for Norway. Now the vision is exposed, and the result is not an environmental monument, but it's a monument that emits 1.2 million tons of CO2 per. years – for how many years we don't know yet. What does the Prime Minister have to say to them?
ParlaMint-NO_2010-05-05.ana.ud2638e311	I think it's always wise just to have one plane, plane A. I don't have a plan B, either now or before, and the plan we put forward was the plan we agreed to be the best. Then there is new information that makes us stand at step 1 – we implement it – and postpones step 2 somewhat, but it does not destroy the project. That's why I also know what was the vision in my national meeting speech to the Workers' Party and in the New Year's, namely that we should be the leader in developing this technology. We're going to be already with the test facility, and then we're going to move on with step 2. So it's a little strange to hear that once we've given the concession to a plant in Mongstad with demands for cleaning and creating a fantastic technology center, you have – what to say – such a fun tone as the representative Højbråten has, while he himself put in a government that gave concession and started operating an equal gas power plant on Melkøya, with zero, absolutely zero and nothing requirements for CO2 cleaning. You have zero ambitions, you never disappoint. If you have ambitions, it's sometimes hard to reach them fully, but we're much better off than you were.
ParlaMint-NO_2010-05-05.ana.ud2638e321	Three follow-up questions are raised – first Knut Arild Hareide.
ParlaMint-NO_2010-05-05.ana.ud2638e324	I must be allowed to inform the Prime Minister that the day we have the technology ready to clean up on Melkøya, it's going to clean up on Melkøya. It was the lead of the Bondevik II government, and it does not seem very much like what the Prime Minister says today. I thought it was strange to experience that we have a prime minister who boasts of a breach of promises. It's strange about Stortinget, compared to SV, who wants to be an environmental party. My questions to the Prime Minister are: When we now know that we will have large emissions in 2014, in 2015, in 2016, in 2017, in 2018, which is not included in the Climate Action Programme, is it only the target for 2020 as a debt? Would you like to introduce new measures during this period?
ParlaMint-NO_2010-05-05.ana.ud2638e331	It is true that the Bondevik government said that on the day the technology is ready, we should also have CO2 capture at Melkøya, that is, at the gas power plant that you authorised, built and started. I agreed. But you said when only the technology is ready, you have to install the technology. The big difference is that in Mongstad we didn't just say that, but we started a huge project to get the technology going, and so we're going to spend billions of dollars – 5-6 billion dollars – to make the world's largest technology center in its turn to test two technologies and two different types of gases. You weren't near doing anything near our step 1, which we're doing at Mongstad. You were not close to thinking about this when it came to the gas power plant at Snow White. Then we go on with step 2, but we're postponing something. Then it's strange to hear someone who didn't think of either step 1 or step 2, criticizing us for reaching step 1 and spending a little longer time on step 2. Both are fantastic projects that contribute to technology development. Once we have provided the technology that is needed, the installation may come at your gas power plant.
ParlaMint-NO_2010-05-05.ana.ud2638e341	There is at least one propulsion plan to be maintained and that is speaking time. In this meeting, there's only one plan A. I ask everyone to respect the speaking time. Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2010-05-05.ana.ud2638e346	It is interesting to hear the Prime Minister repeat and repeat that we are world leaders, and that phase 1, which is the technology center, is on track, all the time the technology center is exposed. But it's going to be done. We're all happy about that. The reality is that it gets right so popular on the moon before we land there. I want to ask the Prime Minister a question. It is that Gassnova has estimated that it costs between 10 billion kroner and 27 billion kroner to clean Kårstø. Statoil has estimated that it will cost 25 billion dollars to clean Mongstad. At the same time, for example: Sargas said they can clean Kårsteø for 5 billion kroner, and Aker Clean Carbon himself said that cleaning Mongstad's full scale would be far cheaper than Statoil's estimate. What does the Prime Minister think about it because Gassnova and Statoil believe it is significantly more expensive to clean Mongstad and Kårstø than the technology providers who are going to do the job themselves do?
ParlaMint-NO_2010-05-05.ana.ud2638e353	It is precisely to ensure the cost estimates that we want to spend some more time on step 2. One reason why there's going to be more expensive in Mongstad than looking at some projects that are being evaluated elsewhere in the world is that in Mongstad, we're going to do something that you haven't done anywhere else in the world, at least to a small extent. It is to install this technology in full scale on an in-service installation. It is more demanding to build a heavy factory inside a refinery that is in operation than to build it on a completely new plant that is not in operation. That's at least some of the explanation why it's going to be expensive in Mongstad. So it's quite right that there's a lot of people working on this technology. At the same time, our step 1, that is, when we have the technology center and 100 000 tons handled, will be the world leader and the foremost and greatest in its battle in the world when it is finished in 2012. Then there are many people in the debate who mix it with something completely different, that of course there is carbon capture today. Norway was also the first to go out with it, namely on Sleipner. But it's getting CO2 out of the methane gas, not out of the exhaust gas.
ParlaMint-NO_2010-05-05.ana.ud2638e363	The statements to the Prime Minister are not related – is it a parliamentary expression that you can live with? Mongstad test centre would cost SEK 5.3 billion when it was adopted at Stortinget in May last year. Now the Prime Minister is talking about NOK 10 billion for test facilities and the design of full-scale facilities, not decisions and construction of full-scale facilities, but design. Does this mean that the Council of State has a consulting company that makes NOK 4.7 billion on projecting a full-scale facility? That's the one question. Mongstad is now being exposed to technology challenges. All the technology challenges that have so far been addressed were known long before the decision of the Stortinge in May 2009. That moon landing could be postponed already in December 2008. Bergen's Official Journal had postponed until 2018 on the front page of the week before Stortinget dealt with this – ergo, this was well known. However, as a consequence of the surveys, the red-green batches in the main hall said that it was not appropriate to postpone full-scale cleaning to wait for the pilot plant's experience. 2014 was a sacred goal. When did the Prime Minister conference with the Stortinge to bypass what the majority of the population then said?
ParlaMint-NO_2010-05-05.ana.ud2638e372	First of all, we want to provide a review and evaluation of the different figures in the revised budget. Then Stortinget gets a good opportunity to go into the numbers, ask additional questions and light up all aspects of estimates and figures. But basically, we can say that the test facility, or the technology center, was estimated to be above NOK 5 billion. There'll be something adjusted up now, about NOK 6 billion. The numbers are going to be revised. Then the estimates for the design of the fishing facility are around NOK 2 billion and of transport and storage around NOK 1.5 billion. But these figures also need to be quality assured and presented to the Stortinget. So the Storting gets the opportunity to go through all of these numbers in the revised budget. At least the last figures are still estimates. That's all we have to go through now and get a better quality assurance of the numbers. The figures provided for the Storting apply. We'll come up with new numbers when we have a better basis for it, and the first round will be revised. It is true that information has been found that this is an ambitious project. We've gone through that, and so we're postponing step 2 by a few years.
ParlaMint-NO_2010-05-05.ana.ud2638e382	Let's move on to the next main question.
ParlaMint-NO_2010-05-05.ana.ud2638e385	There is a clear green thread going through the environmental policy of the Left, and it has been for many decades. Similarly, a clear red thread goes through the Workers' Party. For the Workers' Party, oil and gas have always been more important than the environment. It has been very important actually to build old-fashioned, polluting gas power plants. It was so important to throw the left out of the Bondevik I government to get it done, to weaken the pollution law and to build the two gas power plants on Mongstad and Kårstø with CO2 emissions. If the Prime Minister had had had the same commitment here as building, we might have had clean-up already today. But I want to quote what Stoltenberg said in Stortinget on the evening of 9 March 2000. It's probably a night prime minister remembers: ‘Co2-free gas power technology has been around the corner for 10 years. When I was State Secretary at the Ministry of Environment, Thorbjørn Berntsen and I met companies and technology environments who said it was right around the corner. They got a few million -- we believed it. Now it's been ten years, and being right around the corner for ten years is a long corner." According to the record, the hall was cheerful. It is clear that you care much more about oil and gas than you care about climate, since you were willing to throw the government to get to polluting gas power plants, while the climate was ridiculed. Now this corner of the prime minister has been 20 years. It's been ten years since he stood here and ridiculed it. So my question is really: will you still stick to the red thread and ridicule the environmental solutions, or will you maybe turn around and grab the green and bet on what's future, what's actually the climate-neutral solutions, what's actually not gas and oil, but what's renewable energy, which is what we can live with in the future?
