ParlaMint-NO_2010-10-29.ana.ud2117e45	The representative Siri A. Meling will put forward a proposal for a representative.
ParlaMint-NO_2010-10-29.ana.ud2117e210	It's still very good, I think, that fisheries policy issues are once again on the Scissors' Map in this Chamber. That's very good. In my view, there are several important areas of this interpellation – it's kind of a cheek egg interpellation. In my view, there are three important areas. One is coastal cod and protection restrictions, the other is the market situation for coastal fleets, and the third is the market situation for industry. All these areas deserve attention. Having said that, I note that there are also a lot of different views about coastal cod regulation. I notice that the Norwegian Coastal Fisheries Team believes that since the gypsum stock of cod is listed from 50,000 tonnes to 75 000 tonnes, the coastal cod can be freshly reported and removed from the so-called red list. At the same time, the Norwegian Coastal Fisheries Team believes that the fjord cod is in poor condition and must have a protection, while the Marine Research Institute sees no developments indicating that coastal cod protection measures should be limited, but hopes that the decline is now slowed down. And e.g. Nordland Fylkes Fiskarlag is critical of the strict regulations for this fishing and considers that it has had no positive impact on the population. This shows that there are many opinions about which administration we should have and what results this has given. So it's like there's someone who seems to be getting harder hit than others. The interpellant mentions the Henningswärbox. Since I'm from Lofoten, I know well where the Event Warrior is, and what challenges the protection of this area seems to have given. The protection of this area is demanding for the fishing industry in East Lofoten. Producers are struggling with raw material and many fishing businesses are struggling as a result. In addition, the insight of crawling into the Westfjord has failed in recent years, with the consequences it has also received. I know there's dialogue between the relevant municipalities and the department, and I hope that there can be a good solution there. The working party believes that it is important to keep up and strengthen the cod stocks that spawn locally. Coastal cod is important for the coastal ecosystem and is at the same time the basis for much coastal fishing. What is difficult is to get a regulation that reduces the extraction of cod, while at the same time maintaining traditional fishing and activity along our coast. In the long term it will be best for everyone to have strong local cod populations. There is a difficult balance between the concerns of business operators and local communities on the one hand and the need to rebuild coastal cod stocks on the other. In the last ten years, we have had good management of fish stocks according to the precautionary principle and based on knowledge. This has led to the fact that most populations are bigger today than they have been in a very long time. For the Workers' Party, the precautionary principle will always underpin the good and sustainable management of our fishing resources. So far, it has produced good results.
ParlaMint-NO_2010-10-29.ana.ud2117e229	Coastal cod is a smaller part of the fishing resources, but it is important for the fishermen who have fished in our fjords not to stop fishing. My soul comes from a fjord at the heart of Borgundfjord on Sunnmøre, where my grandfather fished at Borgundfjorden next to being a farmer. Getting together with grandpa in Borgundfjord to put and pull yarns is a nice childhood memory, for all of us saw until the annual Borgundfjord fishing was to start. Today, the Borgundfjord is near peace. It is totally unreasonable that fishing here is totally forbidden, said the head of the County Fishery Team, Lars Erik Hopmark, at the annual meeting of More and Romsdal Fiskerlag in Ålesund on Thursday, two weeks ago. It's no shame to turn around. I want my profession back," said Terje Blomvik, a childhood friend who has had Borgundfjord fishing who has lived his entire adult life. Head of Norway's Fiskarlag, Reidar Nilsen, said the following: We have been peaceing the coastal cod for a long time without seeing results. Now it's time to do something about the nibbles -- the predators that eat up the juvenile. Before one does anything to the nibblers, the gypsum doesn't make the kids grow to. The debate thus took a new turn; it focused on the lack of research in the field of predators, which was cutting and selling. So you might ask yourself, what is sustainable fishing? A little simplified means that today’s fisheries should not adversely affect the next generation’s ability to fish. But to achieve that, one must assume a well-functioning ecosystem at all levels. In a situation where knowledge of a resource is lacking, sustainable management implies a pre-war approach to anthropogenic impacts on resources. It's tempting to think that the less knowledge, the more conservative management. The annual meeting in More and Romesdal Fiskerlag could show that they have repeatedly expressed themselves critical of the research effort on the coastal cod. While they were within the pattern of cod migration as a challenge, they argued that harvesting seaweed leads to the fish spawn not finding hiding places and thus making it easier to switch for, among other things. Scurvy. The participants wanted to know why this was not taken into account in the reconstruction plan. It was therefore very positive that the speakers of the Fiskarlag, who addressed these challenges, were supported by research teams. I agree that we don't know enough about how the predators, who cut and sell, affect the coastal cod population. We'd like to discuss these things, said marine scientist Asgeir Aglen of the Marine Research Institute. It is a paradox that he just before – from the same pulpit – said: If the reconstruction plan does not lead to improvement, we must come back with increasingly tough regulations. Recently we were able to read in the FiskerybladetFiskeren that after 18 years of total satisfaction with the cod in Canada, it has never returned, and that Canadian researchers who have researched the problem with the sale believe that there is grazing pressure and crying that may be the cause. Why was this issue not taken into account in the treatment of the last notification of sea mammals? Will the Council of State take these important signals and ensure that the process of Canadian researchers will be followed up by the scientific community in Norway as well? I recorded that the Council of State said there was considerable research on the coastal cod, and that there are still many unanswered questions in the field of research. I sincerely hope that the Council of State will take into account the challenges of the annual meeting of fishermen in Ålesund, and also look at what is happening in Canada.
ParlaMint-NO_2010-10-29.ana.ud2117e259	It is an important issue that has been raised and, as many have said before, it is important that we discuss fisheries policy in this Chamber as well. Like the previous speaker, I have also grown up in a small fjord, and have many good and nail-bitting memories of cod fishing in my youth and also later in life. SV is busy with two things: we're busy taking care of the coastal fishing fleet, and we're busy taking care of the coastal cod. As a starting point, this may appear to be a contradiction, since the delimitation of coastal cod fishing may in the short term lead to major challenges for the coastal fishing fleet. And there is – as many have said here – quite a lot of point of view about what is the right balance between fishing and protection, what is the correct design of the restrictions so that they become fair, but also the best possible yield and the best possible strategy to build up a viable strain of the coastal cod. The only solution to this is essentially that we get a knowledge-based management. As others have called for here, knowledge may not be good enough in some areas – when it relates to patterns of migration, when it relates to mixing with other strains, when it relates to who grazes on the cod. So, in the long term, the solution will be an even heavier commitment to knowledge about the coastal cod, in line with the entire management regime, to ensure sustainable fishing resources – not least resource-efficient fishing resources that also reach heights in order to find protection methods for coastal fishing fleets. So this is a matter on which in today's debate there has been no solution, but there has been a clear view that we have too little knowledge, and it must be a challenge for us to continue working to strengthen the level of knowledge in this area. Then there are also two things that are important here. The only thing is that we have to build up the tribe, for the tribe and for the fishing its own part. But in our market-oriented society, it is also important – as many people have been in it – that we ensure that we build and see the structure in a way that gives us confidence in the market. It is perhaps the third part – protection, coastal fishing and marshals in the market – that we have to work on, and that the knowledge base needs to be built up to provide us with the best possible basis for decision. So one has been a little bit concerned with other things, besides the three things that this is about, that affect the development of the coastal cod. It has been called recreational fishing, which is clearly an element that we also need to look at – both to map scale and to discuss restrictions. But there's one point that hasn't been mentioned here today, and we in SV are very busy, and that's that we're facing a situation where oil extraction in coastal areas can be what really destroys the possibilities to last this fish stock.
ParlaMint-NO_2010-10-29.ana.ud2117e273	I would like to thank the inter-pellant for addressing the issue of coastal cod, which is an important issue for the fishing industry. Like others who have spoken in this Chamber, I am also pleased that fisheries policy is still on the agenda here, that is important industrial policy and that is important policies for building the country. I would also like to thank the Council of State for a good answer. Let me start by saying that we in the Centre Party are concerned that we should have a reliable status of the coastal cod situation. This is a fundamental prerequisite for good governance. The Council of State has made a comprehensive presentation of the monitoring work carried out, the adjustments made and the establishment of a reconstruction plan. So I'm not going into these areas. What I want to draw attention to is that in the wider management of coastal cod there will be a need for even more detailed knowledge and more research. In this context, good dialogue with fishermen is important. Opinions have been given from fishermen that fishermen are positive in contributing to such surveys and thus contribute to more detailed knowledge. Knowledge needs include systematic monitoring of important coastal breeding and spawning areas, but also surveys of migration patterns provide a better basis for defining what can actually be considered as local fjord cod. Furthermore, there is a need to know which parts of the coastal cod interfere with the strong population of Norwegian Arctic cod. In this context, it is important that researchers also examine whether the coastal cod has moved further into the sea, as has been pointed out by fishing teams. This is important to examine further in order to have the best possible factual and professional basis to assess. Regarding the second point of the interpellation, about the problematic market situation for coastal fleets and industry, I have not recorded any market problems at this time. But the winter of 2009, as we all know, was a very difficult year. My impression now is that the export is going well. Like the Council of State, I hope this will continue beyond winter and that prices will improve.
ParlaMint-NO_2010-10-29.ana.ud2117e292	Interpellant tackles a major challenge for coastal fishermen: to identify the situation of the coastal cod, so that we get a reliable status. It is essential for good governance and long-term value creation. There are several challenges related to the whitefish. In the winter of 2009, the marketing of just that kind of fish was very demanding. The fishing industry faced credit challenges as a result of poorer demand for white fish, and stocks became high. However, the parties agreed to reduce the minimum price for cod. A long coast with large seas and many fjords gives Norway good conditions for fishing. We need to make use of that in a sustainable way. Fishing resources must be managed in a long-term perspective, and the consideration of viable stocks – a precautionary principle – must be given to short-term nutritional considerations, so that fish resources can continue to provide a basis for employment both at sea and on land in the future. At the same time, I see the great challenges this presents for fishermen, and as Røbekk Nørve I will use the example of Borgundfjord. Fishing in Borgundfjorden is a traditional fishing that has been going on for hundreds of years. Then large parts of the fjord were closed for net fishing, and more than 30 fishermen and professional fishermen who depend on this income are very dubious. The Borgundfjord is one of the best spawning areas for the coastal cod, and it is therefore important that it be opened as soon as the stock is sustainable and we have a reliable status for the coastal cod. The dialogue between authorities and fishermen and the fishing teams is important in order to have confidence in both figures and measures being implemented. I experienced that in the same way as the representative Røbekk Nørve at that meeting in Møre and Romsdal Fiskerlag. The Deltakers Act and the Raw Fish Act are important pillars of fisheries policy. When we dealt with the raw fish law in spring, there was a broad consensus on the implementation of the raw fish law and the Fish Exports Act. The sales laws themselves, in cooperation with economic operators, have to adapt to the most appropriate forms of sales to ensure value creation and control of the resource take-off. A prerequisite for this is, of course, the interpellant, namely the need for a reliable status of the coastal cod situation. In addition, the whitefish sector is raw materialised and characterized by seasonal fishing, which provides poor profitability for the fishing industry. We have large quantities of fish and a proximity to the market that should make it as easy to get even deliveries of cod to the market as for salmon. But we are losing against Iceland and the Faeroe Islands in the competition for high-quality products and competing with China and Vietnam in the low-priced market. I hope the Council of State and the government will take action to help the whitefish sector develop in a positive way.
ParlaMint-NO_2010-10-29.ana.ud2117e307	First, I would like to thank Mr Bakke-Jensen for addressing the situation of the coastal cod, an important issue both for the environment, for the districts and for the industry. The coastal cod, or Gadus morhua, as the species is actually called, is found in several populations along the coast from City to the Russian border. The Norwegian coastal cod population declined continuously from 1994 to 2003 and has since remained at the same low level. The spawning population in 2009 was one of the lowest, and due to high fish mortality, it is unlikely to increase in the next few years. The International Council for the Exploration of the Sea, ICES, classifies the population to have reduced reproductive capacity and states that it is not harvested sustainably. Coastal cod reference points have not been established because catch statistics are uncertain. Historical data on total catches are difficult to estimate, and the number of unregistered catches of recreational and tourist fishermen is uncertain. As a result, stock calculations, and therefore the ratio of brood stock to recruitment, are also incorrect. However, ICES considers that the estimated stock reflects the real development. Due to poor recruitment, the population is expected to decline further in the next few years. Since 2004, ICES has recommended that it not be caught coastal cod and that recommendation also applies to 2010. Coastal cod is on the red list according to the criteria of the International Nature Conservation Organisation, used by the Species Database in the classification of threats within Norwegian fauna and flora. If the aim is to build the spawning stock up to 70-80 pst. of what it was in the mid-1990s, the population had to be increased by at least 50 pst. in relation to the level of the day just to get out of the red list. We cannot therefore settle down and be satisfied with today's stock situation. The ambitions should be greater than getting out of the red list. One problem is that Norwegian coastal cod and North-East Arctic cod are caught mixed in the same fisheries, and in the regulation the quotas for the two stocks are merged. This means that the quota set for coastal cod is to a small extent governing the quantity of coastal cod caught. In order to limit coastal cod fishing, new regulations were introduced in 2005, which have continued until now. However, these regulations are unlikely to be sufficient to stop the decline in coastal cod stocks. The left will also point to the importance of continued good regulation in Borgundfjord and in surrounding areas. A significant part of the catch of coastal cod north of Town in the spawning season is taken in the Helgeland-Møre area. Within a line between Slinningsodden and Langevåg, including Stadtgrunden/Aspevågen, means e.g. The marine research institute should be allowed to fish only by handcutter in the months of March to April of the next five years. Regular biological sampling should be carried out at the same time. In order to ensure that spawning fish enter their spawning areas, greater restrictions should also be imposed on the area just outside, i.e. The Hessafjord. Seismic shooting outside the Lofoten and the West Pole shows that there are regional/local differences when the coastal cod is finished spawning. This has also been demonstrated in other studies and supported by observations from fishermen. Sampling in this area showed that gypsum was still in progress after 15 May – approx. 5 pst. of the cod continued to drive and spawn. The left will point out in this context that we are opposed to seismic shooting in this area. The left considers that the Henningswärbox should be maintained with limits as it has been and has worked in recent years. Protection of such an important spawning ground for coastal cod will result in better recruitment, and it cannot be excluded that this regulation has contributed to an flare and some improvement of recorded deposits of 2 to 4 year olds from Westfjord and northwards. Finally, the left will refer to the need for the correctly specified catch position. This is essential in order for ICES to have a proper picture of the relationship between coastal cod and North-East Arctic cod and for stock calculations to be in line with reality. The Left will support new measures that the Government may propose to ensure that coastal cod stocks can be rebuilt. The main challenge remains to regulate coastal cod, while maintaining traditional coastal fishing and economic activity. Finally, I would like to challenge the Minister on two specific issues: The left considers that a plan should be drawn up for national cod fjords, in line with national salmon fjords. Does the Minister agree? And: Will the government follow the recommendations of the Sugar Project to look at the relationship between coastal fish and sugar tar?
ParlaMint-NO_2010-10-29.ana.ud2117e337	I would first like to thank the representative, Bakke-Jensen, for an important interplay. Norway is a far-reaching country with a decentralised economic structure. This is a good example of our fishing industry. Fishing and processing and their positive ring-effects mean that we have a living business and housing along our long coast, but also inland. I guess we could also say that our fishing resources are our common property that needs to be adequately cared for. The propulsion batch wishes to ensure optimum exploitation of fish stocks. This may include, inter alia: be made through transferable allowances and facilitating close interaction between enterprises, industries, research environments and other actors. The transition to transferable quotas requires a review of the participant law and the raw fish law so that the industry is not closed for investment. Permits to exploit parts of marine resources shall be granted by the State. Those authorisations shall be capable of being traded between economic operators and shall be open-ended. It is also important to ensure arrangements for the re-employment of the fishing industry. Sustainable taxation of resources requires international cooperation and agreements. Norway must therefore contribute to ensuring agreements and effective control against illegal, unreported and unregulated fishing, and the placing on the market of illegal catches must be investigated as serious financial crime. Strict responses must be made to infringements and other forms of fraud involving allowances. For this reason, it is necessary, inter alia, to: The coastguard and the control of fisheries shall be provided with sufficient resources to increase efforts against illegal fishing. Certain regulation of fisheries is necessary and there is a need to revise current regulatory models, with a view to better fixing total quotas, exploitation and predictability as far as possible. This will provide stability and provide a basis for better industry planning. Such stability will encourage long-term investment by industry, fishermen and fishermen. The Progress Party sees the benefits of having a varied fishing fleet and considers diversity, proximity, flexibility, financial resources and stable framework conditions as positive for industry and will facilitate this. In the case of the coastal cod in particular, the Progress Party will come back to this. In any case, fishing has always been an important industry, and the Progress Party will continue to test to the best of its ability to enable this industry to have the best possible framework conditions, while at the same time having a reasonable harvest of this rich, large and diverse resource.
ParlaMint-NO_2010-10-29.ana.ud2117e354	There are obviously some representatives in this room who have not understood that the situation of the coastal cod is quite precarious. In particular, this relates to the coast of Skagerrak and Oslofjorden. In some fjords the cod has simply disappeared. The professional fishermen have chosen to abandon fishing for cod and the recreational fishermen report black seas. There is little doubt about the causes of the deplorable stock situation, namely significant overfishing over time and the increase in the stock of sprats and seals. A very effective light fishing for herring right inside the rocks has also affected the balance of the ecosystem in our fjord arms. I am aware, of course, that fishing on our sides of the country does not have the same economic importance as fishing in the West and North, but also with us fishermen live by the sea. Nearly 2 million people use the Oslo soil and the Skagerrak coast as a recreational area, and it has its own value. Not only would it be unwise, but something close to an ecological disaster if we continue to fish down the cod stock, so that eventually it will be impossible to hang out a handcutter with reasonable hope of getting fish. The scientists were early out and called an alarm, but it took time for the authorities to respond. That is why I should like to commend the Minister for Fisheries for seeing what is happening in our coastal area as the first in that Ministerial post, who has taken hold and has dared to introduce protective measures. Neither was it when we introduced restrictions on lobster fishing a few seasons ago. But what has happened? Both recreational and professional fishermen can already report larger catches than in many years. The restrictions are already working. Offensive fishing is obviously reduced, probably as a result of self-justice among fishermen, control and increased information on fishing rules. All Norwegian fisheries management must be based on the best available knowledge of stock sustainability and ecosystems. Sustainable management is also an eco-based management of fish resources. That is why it is so important that governance is based on up-to-date knowledge of the ecosystem. We don't have that much. I'll give you an example. One of the measures put in place by the government is the prohibition of light fishing for sprat and herring. Rightly, exemptions from the prohibition may be granted if the vessels have an observer on board and the fishing is the subject of a knowledge acquisition. I agree with the ban, and I agree that we need more knowledge about the consequences of light fishing. My point is that in the cold water of the ban there appeared a marine scientist who claimed that light fishing for herring and sprat has no significance whatsoever for the development of the cod population. What is not said, however, is that the research data of the Marine Research Institute, that is, the basis for the assessments of light fishing, originate from the late 1960s and 1970s, when the composition of emergency catches in Hardanger, Sogn and Fjordane, Oslofjorden and Skagerrakskysten was investigated. I would, with respect to reporting, believe that the stock situation at the time was completely different from now, and that the knowledge acquisition of the time is not particularly relevant to today's situation. This means that we need more and more up-to-date research, not just on the stock situation and the total withdrawal of individual fish species, but on the ecosystem as a whole. I trust that the measures introduced from the turn of the year, with minimum targets, gear limits and fishing restrictions, will contribute positively to the restoration of coastal cod populations. Further measures have been announced in 2012 and the Directorate-General for Fisheries has been asked to assess possible measures in the fisheries with crepe trawls, the use of gills in shrimp fisheries and the establishment of their own protection areas. There will be a conflict between each of the measures launched because it obviously affects the work and income of fishermen, but the option is far worse. Finally, it is regrettable that restrictions on fishing must be followed by control measures. Humanity is, as we know, relatively fragile.
ParlaMint-NO_2010-10-29.ana.ud2117e375	I would like to thank you for the very good contributions and make a brief summary of some of the recordings that have been made. As far as tourist fishing is concerned, we have a regulation, but in my opinion, not a regulation that is good enough. First of all, it doesn't work, because you don't have a control system and you don't have a device in place to check it. It is enough that man is fragile both within and outside the limit, to quote Gullvåg. It's also true that there's no difference if there's a tourist coming here for 14 days, or if there's a tourist coming here for four hours: you can bring the same amount out. It's a problem for the industry and it doesn't promote those businessmen in travel who are really nice and have people here for a long time. So you should look at this a little bit. The market problem has been mentioned in part here. I also remember that there was a market crisis for white fish, but that's not the problem I'm talking about when I'm talking about environmental certification of products. For those who remember it and are unable to see any problems in the future market: Well, good market work is very much about trying to read a market in the future. That's what was my point. The precautionary principle in regulation is important, but we must never go so far as to say no to knowledge for the sake of the precautionary principle. That's a little bit of what we experience with the coastal cod. We actually have more knowledge of this being more population, but we're not using it in the reconstruction plan. That's my point. Then I was glad that the minister mentioned the industry's behaviour at sea in the last few days. I registered an interview where the minister said that she was shaken and did not believe that such was going on in the Norwegian fishing industry. That is probably true, because the Council of State has probably listened to her as Minister of Fisheries before her. At that time one could sometimes get the impression that the Workers' Party had invented the Barents' Sea. And that's not true -- the Barents Sea is enough even older than what Haakon Lie was. I have produced a 2004 report entitled ‘Commission for Action against Fish Drafts’, from a Commission set up under an excellent fisheries minister named Svein Ludvigsen. There the problem industry had been tackled when it came to drafts and stuff like that. And since I've noticed that this councillor's ability to harness knowledge, I've included the report and I'm going to deliver it to her, so she can take it to work further. All governance is based on knowledge, but there is also an important point that management must be anchored in the industry to be managed. If the administration loses confidence in the industry, we won't get good results. Coastal cod management can in many ways be an example that we have not been good enough to anchor this. Here's the knowledge that we're not willing to use. Then it doesn't always become such a good model.
ParlaMint-NO_2010-10-29.ana.ud2117e394	First of all, I would like to thank you for a good debate. I would also like to thank you for a report that I have already received. To that I have to say that we can take a separate debate on what has been done since this report was submitted. We have strengthened resource control, we have introduced an electronic fishing diary, we have introduced selective fishing gear – at all we have done a lot. What the former fisheries minister did just before he left the offices, however, was cut off the appropriations for the Fisheries Directorate and the resource control, so what I would say is not to follow up his own report. So to today's text: the coastal cod. The Borgundfjord has been mentioned by several. It's closed for fishing, with the exception of handcuffs in the spawning season in the spring. The marine scientists believe that this is important to ensure spawning and recruitment. Fish must therefore go a little further to fish. I understand that this can be a challenge. Then I would like to comment on what the representative Røbekk Nørve was in with regard to the sales. It has been claimed in several articles this week in the Fishery Magazine that havert, or graying, is responsible for the cod crisis in Canada, i.e. the grazing of the yard has led to the collapse of the cod population in eastern Canada. That information was claimed to come from a seminar on the impact of the garden on fish stocks, which was held at the beginning of October in Halifax, Canada. The marine research institute was represented at this meeting and they cannot join in such a conclusion. The final report is not written, but the workshop concludes that overfishing was the cause of the decline in the population in all areas. Then the representative Raja picked up sugar bars and the project that has been there. The ecosystem in which coastal cod grows and lives is important. This area is one of the areas we need to look at. Several projects have been launched to look at the importance of the tares forest, and of course we need to take the knowledge from this. Then, as far as the proposal on national cod fjords is concerned, I would just like to point out what I was in the post that we need to pay particular attention to the fjord cod. Both fishermen and researchers seem to agree that the population of stationary fjord cod is even worse than the population of coastal cod. At the same time, there is no doubt that the future management regime for the coastal cod population will require new knowledge and thorough assessments of what is going on and what is going to be the administrative units. The Institute of Marine Research is in the process of working, and an important point here is what several representatives have been involved in, taking with them the experience and knowledge of fishermen. The debate on the coastal cod has been fresh for several years, and it illustrates that there are no simple solutions or answers. To the representative of Bredvold, I just want to say that it is this government that has actually stopped illegal fishing in the Barents Sea. We did not invent the Barents Sea, but we had to stop the illegal fishing that was up to 100,000 tonnes. Last year no illegal withdrawal of cod was reported in the Barents Sea.
ParlaMint-NO_2010-10-29.ana.ud2117e407	Then there's case no. 2 completed. At the request of the Church Education and Research Committee, the President will propose that case No. 3 and 4 are treated together. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-10-29.ana.ud2117e434	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. The President will also propose that there should be no repetition and that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2010-10-29.ana.ud2117e441	Competitive teachers are the most important factor in the learning of students. There is broad political agreement on the importance of high professional and pedagogical competences. It also provides a good basis for finding good solutions with wide lashing. Although the majority do not agree with all the proposals put forward by the rapporteurs behind the current proposals for representatives, we appreciate that they are raising a debate on which instruments will be the best. Such debates are useful to make the system work as well as possible. I am the case rapporteur for Document 8:150, and I feel that the Committee as a whole is concerned that the obstacles that teachers can face when they want continuing training should be removed, so that as much as possible they can make use of the offer. However, there is some disagreement about what the obstacles are and how they can best be removed. At the outset, it may be appropriate to stress that the strategy for continuing training must be seen in the context of the work done in general to strengthen the role of teachers. The GNIST campaign contributes to better recruitment for teacher training. From this fall, teacher training has been shifted to more specialisation towards subjects and steps. In 2008, the skills requirements at secondary school were strengthened, and in October this year a further increase in the competence requirement has also been issued. Guidance for newly-trained teachers has also started. The aim is for all new teachers to receive practical guidance. The permanent system of formal continuing vocational training is part of this picture. We must not forget the importance of the roles of school leaders and school owners, so that teachers can get the elbow space they need to play their role as fully as possible. The number of persons enrolled for further training with State sub-funding has increased, but we want more. There are still too many people who do not take advantage of the offers despite the fact that there are teachers who want to participate. Some teachers report that they do not experience the system as sufficiently flexible. Some schools are striving to find qualified temporary workers while their teachers are being refilled. There are feedback we take seriously, and we want to work to make the system more familiar and get the anchoring needed to allow even more people to make use of the offer. It is a central part of the employer’s responsibility to ensure that all teachers and school managers receive the professional offer they need, and it is part of the employer’s responsibility to facilitate this. It assumes that you are stockpiling and anchoring local escalation plans where local conditions are taken into account. This means that individual EVU accounts should be established, as proposed by the Right, but that there is a school owner who needs to assess the benefits and the need for this. The responsibility of the Ministry and the parties is to support this work, such as: make through the Quality Competence strategy. The state also contributes financially. The members of the Committee of the Progressive Party, the Right, the Christian People's Party and the Left also ask that the government increase the government's share of funding for further training for teachers. As we see it, it is a strength that the provision of continuing education is anchored as a partnership in commitment cooperation with school leaders, teachers' organisations, KS and the National Council for Teacher Education. It also makes it possible to anchor the offers with the parties involved. It contributes to the mutual commitment of responsibility for the success of establishing and providing good provision of continuing education and training. Then, of course, we need to continuously assess the form and content of the offers and how the funding is to be made and distributed in order to be sure that it works optimally. And we want to keep doing that. Furthermore, the Left proposes that the decision on hour extensions and fruit-and-green arrangements be reconsidered. The Christian People's Party joins in this. The majority do not consider it appropriate to set these measures against each other. It is not particularly sensible to compare apples and pears, as is well known, or in this case fruit-and-green scheme with continuing training for teachers. We believe it is right both to give priority to awakening students and to ensuring that teachers are professionally up-to-date. Finally, I would like to explain the position of the majority of the government in relation to the proposals for representatives. Document 8:150, from the right, is annexed to the Protocol and Document 8:145, from the left, is not adopted.
ParlaMint-NO_2010-10-29.ana.ud2117e462	Now the rapporteur, Mr Tajik, has raised the issue. 4 and passed through it. In addition, she also commented on case No. 3, for which I am the case rapporteur. Since the issues in both cases relate to continuing training for teachers, the same argument remains. What distinguishes most in the cases is that the Left's proposal focuses on the fact that the State should assume greater financial responsibility for the financing of continuing education for primary school teachers during a transitional period. The right-hand proposal concerns the continuing training of teachers in Norwegian primary and secondary education. In addition, the proposal from the Right includes: proposals for more flexible solutions for continuing training. Both proposals address the need for mandatory escalation plans to ensure that more teachers receive further training. As rapporteur for case No. 3 I would like to thank you for your cooperation with the members of the Committee. The Committee has expressed concern on many issues and on a number of occasions that some students do not develop sufficient basic skills in schools, with the potential consequences for further education, private life and the working life of each student. Therefore, it is not unexpected that all parties agree on the importance of having the best up-to-date teachers in the school sector. Nor is it unexpected that the political parties have different solutions to reach the goal. Everyone agrees and stresses the importance of having good decentralised and online offers. This type of education offers good opportunities for flexibility in continuing training. In addition, such education will reduce the need for travel, with subsequent savings in travel and accommodation costs. With this in mind, the Progress Party hopes that this form of teaching will soon be offered, so that more people will be able to participate. Government parties are celebrating a large part of their argument on the matter to the importance of the conversion of teacher training — otherwise, the whole Storting agreed. But it doesn't help the students and teachers who are in today's school system. It does not seem to them that government parties have little choice of solutions that give priority to continuing education for as many of today’s teachers as possible, who may have to teach at school for as many as 20 and 30 years. It is also important to note that seven out of ten teachers themselves express the need for further training, cf. a survey conducted by the Education Association in 2009. School policy we adopt today will affect future knowledge developments. If Norway is to be able to compete in the ever-increasing international competition in the future, the focus on knowledge and competence must be first priority for both pupils and teachers. Already today, over 70 pst. of the total value creation of human capital in Norway, and this proportion will increase. If we are to be able to maintain and further develop today's prosperity and well-being, it is essential that we do things smarter and better – both in relation to how we do it today and in relation to other countries. It may take more than five to six years for teachers who have been trained by a new standard to teach at school. Another side of this case is that we also know that it is not the easiest thing in the world to get into a new job and believe that one can turn the new colleagues around after working in the same job for many years, if they have not received the same update in the subject. This also applies in school. The prerequisite for the success of new teachers is that both new and old teachers who teach at the same school should teach according to almost the same criteria. If this is not the case, the conversion of teacher training may be that it does not give the expected pay-out in terms of pupils' learning outcomes and that everything remains at the same age in school. All batches agree that the training offer should be extended. The majority of governments argue that the increase needs to be adapted to needs, demand from school owners and the development of quality assurance studies. They therefore consider it important not only that funds be allocated but also that sound and good instruments be found to increase participation. These are good arguments to which the Progress Party normally subscribes. But it's kind of creepy when the government parties use this argument right here. Why has the ministry bought far more places than the school owners have seen fit to accept, if the quality of the offer is not good enough? The reasons why municipalities do not accept the offer are not a lack of school needs or poor quality of studies offered, but simply a lack of economy. Evaluation, including: from the municipality of Stavanger, shows that the study offer is of very good quality, but that it is limited because of the high cost. In view of the fact that the time is running out for me, I have submitted an excessive contribution, I just have to go right over to say that I am addressing the proposals that the Progress Party is part of in both cases.
ParlaMint-NO_2010-10-29.ana.ud2117e490	The representative Bente Thorsen has taken up the suggestions to which she referred.
