ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u1	We will begin our meeting. Welcome, colleagues.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u12	Mr President, my other question concerns the conditionality of additional investment. Now I ask my question about the European Relance Fund. I will be very brief on the European Recovery Fund. We all know that the European Corona Restoration Fund can be used for projects in this country. Agreements have been made between the federal government and the federal states. This is regulated at European level and linked to economic growth. Now it appears that economic growth is better than initially expected. That seems good news, but it is not, in this case, because it would reduce us to EUR 750 million. So we are not getting EUR 5.9 billion. There's 750 million euros going off. Mr Secretary of State, much can be said about this. I hope, however, that you will not tell us that this is good news. After all, it is not. There are three reasons for this. Firstly, economic growth is indeed doing better, but we do not excel in Europe. Our economic growth is the lowest compared to all European countries. Three countries are doing even worse, but all other European countries will have higher economic growth than us. Secondly, we had received EUR 5.9 billion, but actually that amount was too little. According to more accurate parameters, that should have been much more. In the light of the average European countries have received, we should have been entitled to EUR 12 billion in relation to our gross domestic product and to the damage. We only received EUR 5.9 billion. We have had this debate here in Parliament on several occasions. You are undoubtedly aware of this. A further EUR 750 million is now going to go. Thirdly, investments are not paid in percentage terms but in cents. It is not because economic growth is improving as a percentage that an investment in digitalisation, in a bridge or in green energy in cents is cheaper. In reality, you will have EUR 750 million less in money to invest. The fact that the percentage is better is not good news for a country that is already underfunded and has large budgetary requirements. The question is simple. Can you confirm the discussion? Has this been discussed within the government but also with the Länder? How will the figures be processed?
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u13	Mr Loones, one of your questions was also addressed to Minister Van Peteghem. That question was sent here, too. The question was perhaps similar. That is why there are two questions from you on the agenda. The same applies to Mr Vermeersch. He too has a question which was originally addressed to Mr Van Peteghem, but which will be answered here.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u14	Mr President, Mr Secretary of State, the Minister for Finance seems to have passed the hot potato on to you. Mr Loones has already indicated that Belgium will receive some EUR 5.9 billion from the European Recovery Fund. In order to boost the economy, the Flemish government developed a relaunch plan of 4.3 billion euros in September 2020. It demanded EUR 3 billion from the European Recovery Fund, but finally came home with only EUR 2.25 billion. This amount is even less than the amount received by the Walloon and Brussels authorities together. After all, the federal government receives EUR 1.25 billion from the fund, or approximately 21%. Approximately 38% or €2.25 billion goes to Flanders. The Walloon authorities receive more than 34% or EUR 2 billion and the Brussels Region receives 7%, a small EUR 400 million. An article by the National Bank states that Belgium will receive EUR 750 million less than currently planned. I would like to ask four questions about this. Firstly, can the Minister confirm these insights from the National Bank, in particular that Belgium will receive EUR 750 million less from the recovery fund? Secondly, the Flemish Minister for the Budget and Finance, Matthias Diependaele, states that the wrong parameters are used to distribute the money. Countries that recover slower and grow less get less money. Unemployment, for example, weighs very heavily. As a result, countries that do badly in this area receive a lot more money than other countries. Can you, as Secretary of State, agree with the position of your Flemish colleague? Will the federal government once again call into question the parameters and distribution at the European level? Thirdly, Minister Diependaele is committed to maintaining the EUR 4.3 billion investment in the Flemish relay plan, regardless of the amount that Flanders will eventually receive from Europe. Can the Flemish Government continue to count on these EUR 2.25 billion from the European Recovery Fund? Fourthly, what level will the reduction in revenue ultimately be? How will these lower revenues be distributed among the different entities? Will this be proportionate or by another method? What procedure will be followed? Can the federal government state its position on the distribution of the expected less revenue?
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u15	I agree with the same item. It is therefore effective to say that there is 750 million less because of higher growth, but certainly not the highest. Did you hear the competent government members of the Länder on this? Are certain projects at risk? If so, which one? How is the reduction collected? Which key is used to recover the reduction on the respective regional and federal projects? Are the reduced budgets covered by the budget? Finally, in general terms, did Belgium already receive relay budgets from Europe? Then where were these already deployed?
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u16	Thank you all three for your questions. I can confirm to Mrs Verhelst, Mr Loones and Mr Vermeersch that, on the basis of the European Commission's economic forecast for the summer of 2021, Belgium could see the size of its maximum financial envelope reduced by EUR 750 million under the European Recovery Plan. That's a maximum amount. This represents a maximum of just over 10% of the total envelope. First of all, I am very pleased that colleagues from these three parties, like us, believe that investments in transition and in our infrastructure are really important and are one of the greatest challenges of our generation. Secondly, it is useful to remember that this is a recovery fund. 70% of the total envelope is a fixed amount, while 30% of the amount depends on recovery. The stronger the recovery, the smaller the amount, that makes sense. It is a fund that focuses on countries that are struggling with recovery. So if Belgium is doing better, it is logical that it gets a little less. I would add that the initial amount was determined on the basis of the forecast of one year ago, i.e. at the start of this government. Now, one year later, the National Bank's prognosis is more favourable, because the confidence of entrepreneurs is greater and because the management of the sanitary crisis in Belgium is better than in other countries. We therefore have a better economic forecast, which is a positive signal, also for the work of our governments. I would like to remind you that at the moment it is only an assumption that will only be verified in June 2022, when the European Commission will update the autumn economic forecast for 2020. The reduction will therefore not be confirmed until June next year. In addition, we should particularly welcome the economic revival, which translates into an exceptional revival of confidence in our companies, which will enable the Belgian authorities to save around EUR 7 billion in the budget. This figure corresponds to the reduction in the general government deficit over the period 2020-2021. Our subsidies will therefore be reduced by between EUR 0 and 750 million, but the net impact on public finances will be positive, because we will have additional public revenues thanks to the higher economic growth in our country. So it really is a positive signal that the economy is improving and I think that the reduction in European subsidies that we receive is not comparable to the higher revenue of the government thanks to stronger growth. As far as the ambition of our plan and the projects included in it are concerned, I believe at this stage that there is no reason to change anything for at least two reasons. Firstly, the federal investment projects under the European Recovery Plan have been assessed by the Federal Planning Office and the European Commission as good investments that are both productive and useful to ensure, in particular, the digital and environmental transition. Investment will have a direct impact on economic activity and will automatically increase our GDP. They will also contribute to the growth potential of the economy and to job creation in the future by creating the conditions for increased productivity and competitiveness. Therefore, ending some of the projects because of less EU funding would be economically nonsense. Secondly, why does it make no sense, at this stage, to review the list of projects? As I have already mentioned, the cyclical beautification announced by the National Bank will have the direct effect of lifting certain constraints on our public finances and of creating additional budgetary margins. For analysing the state budget, you know that some items, whether in revenue or in expenditure, are highly dependent on growth. Therefore, if there is strong growth, additional margins will be cleared. We have calculated that, thanks to the additional growth prospects, public budgets will benefit from additional margins of €7 billion. It is therefore incomparable with regard to the loss of subsidies. On the one hand, we have a risk, which will be assessed in June 2022, of losing 700 million but on the other hand, we have a bonus on public finances, generated by the additional growth, which is in a ratio of 1 to 10. In view of the above, there is no objective reason not to assume budgetary responsibility for the implementation of these projects and, possibly, to transfer them to the own budgets of the governments concerned. With regard to pre-financing, although we were among the last on the starting line, our intensive work over the last few months seems to have borne fruit in cooperation with all the country's entities, because we were among the first three Member States to benefit from European pre-financing under the recovery and resilience facility. The European Regulation establishing this facility allows up to 13% of each Member State's envelope to be paid once the plan has been approved and the financing agreement has been signed by both parties. This was done for Belgium on 27 July 2021. As the budget is estimated at EUR 5.9 billion at this stage, pre-financing amounted to EUR 770 million. This amount was paid into a federal account and then distributed to the entities according to the general distribution key approved by the Consultation Committee in January. According to the distribution key, the share of this envelope corresponds to 162 million euros which allowed to feed the organic fund created specifically to manage the recovery plan. This amount has not been allocated to specific departments. Departments that have to make expenditure in order to start their project(s) forward their files to the SPF BOSA, which is responsible for cross-cutting management and charges expenditure in accordance with the usual administrative and budgetary control procedures. Mr President, I would be grateful if you would excuse me for slightly exceeding my speaking time, but the subject is important. In conclusion, I would like to point out that the authorization for this fund to present debt positions in liquidation and in commitment makes it possible to achieve these expenses, even in the absence of available resources. In other words, all the projects that need to start right now in order to achieve the implementation objectives described in the European decision can begin. Therefore, I encourage all jurisdictions to launch their project(s) without further delay. Indeed, as you know, for each project there are master execution targets to be carried out every six months and for which we will carry out a reporting within this committee.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u17	You're trying to tell us that getting 750 million less is actually good news. It really isn't. You end up with figures that we lose 750 million, but instead we get 7 billion more because of economic growth. In reality, all other European countries, except three, have even greater economic growth. They will therefore have an even more positive return. We've already been scammed by using the wrong parameters. We should have gotten much more than we actually got. It has been chosen not to look at the damage of corona, and to choose economic keys that have nothing to do with it. We were fooled the first time, and now we will be fooled again because our economic growth is lower than in other countries and we still have to cut back. This isn't a percentage story, this is a penny story. There's 750 million less, when we're actually getting too little. This government is so eager to be European, you forget to stand up for our own interests. I really would advise you to stop doing that. All other European countries try to do at least or ideally the two. They try both to be European-minded and to look at their own needs. The naivety buys you over and over again. We get less than our share. You say that nothing will be changed yet because we will only know in June next year what is the final calculation of what we can get less. That's a little special. Yesterday a report by Bruegel appeared, which combines all the relay projects. All countries get about the same points, while Belgium jumps out again. We are getting less good points in terms of coherence of the plan. It is your responsibility to guard that coherence. So there's definitely some work to be done. Let's take that sufficiently seriously.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u18	You counted my party one of the three parties that would be warmed up by that recovery fund. I'd like to make that right. Flanders, as well as Belgium, will contribute net to this fund, while Flanders was most affected by that crisis within Belgium. Moreover, the Flemish Government has very badly negotiated this recovery fund. Flanders receives 38% less than 34% for the Walloon authorities and 7% for the Brussels authorities. Secondly, you are boasting with the growth impact of this fund. This would be a budgetary plus for Belgium. However, this does not correspond to the real figures. The impact on growth is estimated by the Court of Auditors at some percentage points of GDP. Belgium is already paying EUR 7.7 billion to the European Union today, without the recovery fund. In the end, we will contribute more billions to that recovery fund than we will ever get out of it. You also did not answer the question of how this EUR 750 million will be distributed among the different entities. This creates very little confidence, because we fear that Flanders will come to the shortest conclusion and eventually become the child of the account.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u19	Thank you, Mr Secretary of State, for the answer. I heard that there are uncertainties and it is important that the investments should not stop. Like Mr Loones, I believe that we must act every day for our country as well as for our country. Our relance is doing well, but the crew to achieve it is not enough. Please take that with you because it is very important.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u20	Mr President, Secretary of State, the first cycle of your State Secretariat has been devoted to managing the European Resilience Plan. I think this has been done effectively. While Belgium is leaving behind its neighbours, you have shown that federalism of cooperation is working. It is therefore EUR 5.9 billion that can be invested in the ecological transition and mobility of tomorrow, as we have already mentioned with you. Today, we have entered the "second cycle" of your mandate. Here, the stakes are double. First, these Europe-funded projects must be carried out and therefore be extremely effective in implementing the resilience plan. Secondly, the challenge is to go even further in terms of public investment. Going towards 4% of GDP in 2030 with a 3.5% step in 2024, the commitment is also included in the government agreement. This is necessary if we are to respond to the sense of urgency that exists in the face of the structural challenges of our economy (decarbonizing the economy, moving towards more environmentally friendly ways of moving, etc.).). In this context, Mr Secretary of State, I would like to ask you three questions. Firstly, it was reported in the press this summer that a first tranche of the European Recovery and Resilience Fund of the order of 770 million had been released. Belgium is a leading trio of the first countries of the European Union to be able to do so. Can you tell us a little more about this? How were these amounts allocated? Secondly, I have also learned that you have, together with the Minister of Finance, Mr. Van Peteghem, launched the Belgian Recovery Fund, EUR 350 million to strengthen the solvency of Belgian companies after the crisis linked to the Covid epidemic. Could you describe the operation and objectives of this fund? Finally, discussions are currently under way in the government to examine how to meet the commitment of the government agreement: going towards 4% of GDP in 2030 with a 3.5% step in 2024. Can you provide an update on these discussions? What method is in place at the federal level to achieve this? (Connecting problem)
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u21	Indeed, the government agreement puts 4% of public investment at the forefront by 2030 and an intermediate target of 3.5 % by 2024. For federal policy, this means additional investment of 2 billion by 2024. Of the five working groups set up at the initiative of the Prime Minister for the preparation of a XXL relay plan, a working group chaired jointly by the Prime Minister and myself is looking at investment. My fellow ministers provided us with 37 project sheets, amounting to EUR 3.3 billion, which, according to the same axes as those in our European Plan for Recovery and Resilience that we submitted to the European authorities at the end of April. In addition to these 37 fact sheets on investment projects, we have also introduced four accompanying action sheets for a better investment policy. It is well known that in Belgium it is not only a budgetary matter to be able to make large investments, but also an issue of administrative implementation. Fast track is needed to ensure that investment projects are properly executed. These projects must meet a range of criteria, which we are currently evaluating, in order to be able to rank them. It is clear that not all projects will be funded, in any case not entirely. This includes assessing the leverage effect on the private sector, economic performance, the contribution to the renewal of our economy, and the transition to a low-carbon economy. I can tell you that in the context of the budgetary conclave, discussions are taking place on this subject in parallel with a fine inspection of the projects by the Finance Inspectorate. With regard to coordination with federated entities, addressed in many of your questions, we are here on investments that fall within federal jurisdiction. It is therefore not intended to enter into a specific dialogue with the federated entities. That said, the advantage of anchoring itself in the structure of the European Recovery Plan is that its very structure had been defined with the Regions to ensure that there is coherence between the different axes for specific topics, particularly in the case of infrastructure projects. For these projects, which are numerous, special consultations will of course be undertaken with the federated entities to ensure that they are coherent and, above all, that they are carried out properly. In conclusion, be assured that the monitoring of investment projects contained in this plan – not a new plan but an additional layer of investments along the same lines as the recovery plan – will be ensured by following the same procedures as set out in the recovery and resilience plan. In particular, it is planned to organise a report on the implementation of the projects twice a year, in principle at the end of April and October. I would be pleased to come and present systematically the results of this reporting work to Parliament. Progress in project implementation will also be accessible through open and online communication tools. For monitoring and audit, all the projects discussed here will be subject to all the usual administrative and budgetary control procedures.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u22	Mr President, Mr Secretary of State, thank you for your answer. As I have already indicated, I would like to be referred to my question as it has been tabled. That said, Minister, unfortunately I have not been able to hear your answer as a whole because of a connection problem. But I'm sure she was excellent. In any case, I will not fail to refer to it in the minutes of the meeting.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u23	Thanks for the answers. So I hear that there will be a report twice a year that will bring you here. We'll look forward to it and make sure they're properly audited. However, I keep repeating: make sure that more people get to work, because all these investments cannot be made without people. That's my biggest message, thank you very much.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u24	Yes, there are some reassuring messages. You say that you yourself are chairing the investment group in which you are holding the discussions with the Prime Minister, and that you will do the reporting and follow-up. You also point out that the same reasoning applies to European investment funds. These are reassuring signals, also because we as a Parliament need to organise ourselves in order to be able to follow up on these investments. In this way we know that investments are the toys of Secretary of State Dermine and we can see whether they are being handled correctly. Secondly, you say that there is a connection between the logic and structure of the European recovery fund. Well, then we really want to press for this to be done fully, not only in dividing up into, for example, some green and some digital investments, but also in linking those investments to reforms. In this respect, I should like to add my voice to what Mr Verhelst has said. You say that it is not enough to plan an investment, but that we must also ensure that the procedures are good so that they are carried out on the ground. If we're all gonna build and renovate what we're all gonna do, Kathleen's 100 percent right: there's not enough hands to operationalize those projects. Your plan will therefore only be successful if it is accompanied by labour market reforms. Please keep that focus and make sure that clutch is made. If we are all going to build and remodel Mrs Verhelst will be very satisfied, I think. And if we do that very energeticly, it will only cost 1% registration fees in Flanders.
ParlaMint-BE_2021-09-29-definitief-55-commissie-ic582x.u25	Colleagues, you will also have seen that we have tried to plan with the secretariat for the autumn, so that all ministers and secretaries of state can come regularly. There are six, so that was a difficult exercise, thanks to the services for that. On the intranet, you'll find an overview of the moments when every minister and secretary of state comes, and I think that's good for your planning, too. It's arranged for the whole fall. Perhaps a shift will be needed here and there, but we will try to follow that planning as closely as possible.
