ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u1	Question No 55016229C by Mrs Jadin is transformed into a written question.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u14	Yesterday the further discussion with the Pension Office took place. According to the service, the period for the pension does count if two quarters are regularised. My first call is therefore next. I would ask you to launch an information campaign on this so that self-employed people know very well that there is no impact on pensions if, when applying for an exemption afterwards, those two quarters are regularised within five years. It is not just about the amount but also about the time of early retirement. Perhaps people are not aware of this now, but at the moment when retirement age approaches, they may regret their current decision. If they have all the information, they can make a conscious choice. As far as equality and discrimination are concerned, I think there is indeed a difference. However, I also have an eye and an understanding of the comments you have made. I myself have received many questions from the self-employed, to whom I have all passed on what their options were, but also what the consequences of certain choices were. I have also heard a lot of self-employed people saying that, if that were the impact on their pension, they would make every effort to pay. They have double-plowed and twisted in all corners to pay the RSZ contribution anyway, so there was no effect on the pension. If we change that now, it is difficult for those self-employed who have paid their RSZ contribution. However, I still believe that there is a difference with the current corona period, in which a number of government measures have forced people to close their cases. Yesterday, in the discussion with Minister Lalieux, a call for tenders was launched to investigate how we can strengthen solidarity within the self-employed system. In this respect, I would like to ask and suggest that one of the elements included in the investigation is the way in which these matters can be dealt with, so that they do not have an impact due to the corona crisis. However, I also understand that when it is simply a difficult situation in general and we want to promote entrepreneurship, people must be allowed to fail sometimes, but to get up again afterwards. That should be taken into account and examined thoroughly in order to see how we can cope with this.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u15	Minister, the self-employed status is being abused by some foreigners in order to obtain a residence permit in order to benefit from our extensive social system afterwards. You know the problem. From an answer to an earlier question from my colleague Ellen Samyn, we can see that the number of checks and investigations started on false self-employment is falling sharply: from 684 investigations in 2017 to 393 investigations in 2019. The number of removals of self-employed persons by the AFA service is also falling sharply. If there were 990 in 2017, the deletions have now fallen to 201 in 2019. It appears that 75% of cases concern persons of Romanian origin. In addition to the persons of Bulgarian origin, the other nationalities are negligible. Especially in the Romanians there is clearly a problem. The large percentage, about three quarters of all deletions, points to an organised system of abuse. How do you explain the strongly decreasing number of investigations into this fraud? What will you do to act proactively for Romanians and Bulgarians, because they have apparently set in motion a fraud mechanism in order to abuse our social security system?
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u16	Mr Verreyt, the fight against social fraud is essential to me. As you know, social fraud is evolving and inspection services are constantly adapting. As far as investigations into bogus self-employment are concerned, investigations into bogus self-employment take time. Therefore, the RSVZ seeks to conduct its investigations more and more specifically, including on the basis of its experience in that matter. For example, this led to a closer cooperation with the RSZ in November 2018, the RSVZ and the RSZ concluded a cooperation protocol in the fight against bogus statutes or the designation, in March 2018, of an inspector who is fully committed to this issue. The number of deletions due to fictitious connections is indeed decreasing. The number of files on fictitious connections is enormous. It is not easy to detect cases of fraud from the mass of incoming files. The RSVZ has currently set up a procedure to better identify and identify potential fraud cases. It is suspected that the phenomenon is falling, thanks to the procedures set up. The new procedure will allow that point to be confirmed. The results of the studies shall be regularly monitored.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u17	Thank you for your reply, Minister. The fight against social fraud is a cornerstone of our social security. If we do not detect this fraud, then we will undermine our own social security, that of the workers, and certainly that of the self-employed. I hear you talking about focus and cooperation between multiple services. I welcome both. However, if we start fewer investigations for the mass of potential cases, and therefore get fewer deletions and sanctions, it may be because there are fewer potential fraud cases, but it may also be the result of the lower number of investigations. We have to rule out the latter. We cannot allow our social system to be undermined by fraud files. We must therefore continue the investigations consistently and perhaps more targeted, towards the Romanians and Bulgarians, in order to rule that out.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u18	When paying the bridging right, a group of self-employed persons was excluded, namely retired self-employed persons. It was apparently assumed that this right of bridging did not belong to them, because they were also paid a pension in addition to their self-employed activity. Many complaints from this group show that they have had a very hard time in the last year. We are talking about the group of pensioners who still carry out an independent activity, but below the reference income remain a main occupation. That small additional income from their self-employment helps them to supplement their low pension. In fact, they're forced to survive on their own. Their fixed costs as self-employed persons, such as rent, taxes and the like, naturally continued to go through and in that they are no different from the other self-employed persons. They are thus driven towards the poverty line. Are you aware of this problem? Will you still take measures to meet this forgotten group?
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u19	Mr Verreyt, I am very much aware of the fact that a large proportion of the self-employed, including retired self-employed, suffer from this pandemic. For this reason, the staff scope of the bridging right was extended to include retired self-employed persons. This in no way excluded that category from the temporary crisis measures for bridging rights. The active pensioners whose statutory provisional contributions were calculated on a reference income higher than EUR 6.996.89 were indeed eligible for half the financial benefits in 2020 amounting to EUR 645.85 per month, without family burden, or EUR 807.5 per month with family burden. They could combine that benefit with their pension, up to a maximum of EUR 1,614,10 per month. The ratio of that cumulative ceiling lies in the subsidiary nature of the bridging right. In addition, self-employed persons who have reached the statutory retirement age but have not taken up their pension and paid provisional contributions such as a self-employed person in main occupation were eligible for the full amount of the temporary crisis measure for bridge law. They were also entitled to the temporary measures for bridging rights in support of the restart. Retired self-employed persons were not excluded from the double financial benefit from October if they belonged to a compulsory closed sector or were dependent on those sectors. From 2021 onwards, all pensioners, irrespective of the sector in which they operate and in so far as their provisional contributions are calculated on a reference income higher than EUR 7 021,29, can claim half the financial benefits under the temporary crisis measures. For this purpose, they should be able to demonstrate a turnover decrease of 40% compared to the same months in 2019. Furthermore, from 2021 onwards, from January for the single benefit and from February for the double benefit, the cumulative ceiling was amended from a flat-rate amount of EUR 1,614,10 to the amount of the financial benefit foreseen under the temporary crisis measure on the bridging right. A self-employed person who, for example, is active in the hospitality sector will thus be entitled from February to the double financial benefit provided for, after deduction of his pension amount. In addition, retired self-employed persons may also benefit from a temporary crisis benefit for the period during which they are required to respect compulsory quarantine, provided that the cumulative ceiling is applied. I come to your second question. In view of the above, it can be concluded that the retired self-employed are indeed eligible for the temporary crisis measures on the right of bridging. I would also point out that, in addition to the financial benefits, the retired self-employed can also benefit from the other aid measures provided for. They could, inter alia, apply for exemption from social contributions and regularisation contributions through a simplified form and request a postponement of payment or a reduction of their provisional social contributions. Finally, I would like to point out that the right of bridging is a flat-rate replacement income from social security. Its purpose is to guarantee a means of subsistence. It is not intended to compensate for loss of revenue or turnover, which falls within the competence of the Regions.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u20	Thank you, Minister, for the comprehensive answer with many figures. Since complaints and questions continue to come from that target group, I think that this is primarily and partly a communication problem, on which we can make much more efforts. The target group of social secretariats are primarily self-employed with staff and so on. They're over-questioned, too. Many social secretariats are very difficult to reach today, certainly by telephone. For this group of retired self-employed people, it is of course often a supplement to their pension. Their pension is not that big, and we have talked about this a few times in this committee. It's kind of like a vacation job for students or a side job for an employee, which is a limited supplement to the pension with several hundred euro's income per month. They are, of course, still very often covered by the reference income, which is necessary for all kinds of support measures. On the one hand, it is a communication problem and on the other hand it is a group with no full-time income, which does not have a main occupation of an independent business. It's more about a form of back-up or a little extra-earning.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u21	Question No 55017608C by Mrs Moscufo is transformed into a written question.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u22	Madam President, Minister, the calculation of the pensions of self-employed persons who remain active after the retirement age remains very unfair to them. By the way, we have already talked about it. After the retirement age, a self-employed person, notwithstanding paying contributions to the RSVZ, shall not build up any additional rights unless he or she has not worked for 45 years and in the meantime does not take up the pension. This is not fair, especially to those who had a dual career, for example as an employee and at the same time as self-employed contributions. Work must be waged and must lead to the building of rights. That is why I have the following questions. Firstly, how many people who have reached retirement age do not take up their pensions and are still self-employed? Secondly, will you, together with your fellow Minister for Pensions, Lalieux, abolish the calculation of pensions at 45 years, so that a self-employed person can build up an additional pension even after 45 years of work, and thus also contributions to social security? Thirdly, do you see any possibility of having a self-employed person who is still working after retirement to build up an additional pension?
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u23	Madam President, Mr Verreyt, according to the provisional quarterly figures, 17,370 self-employed persons were active on 31 March 2021 who do not receive any pension after reaching retirement age, either a retirement and survivor's pension or a pension after divorce. It's about 9,729 men and 7,641 women. As far as capping is concerned, the principle of unity of career, which originally provided for the capping of homogeneous or mixed careers to 45 career years, has already been relaxed by my predecessor. This relaxation was achieved by the Law of 5 December 2017 amending several provisions relating to the pension scheme for employed and self-employed persons, as regards the principle of the unity of career and the early retirement pension. That law provides that, for the pensions which were actually and for the first time entered into on 1 January 2019 at the earliest, the self-employed person, despite the fact that he or she already has a full career of forty-five years, can continue to work and build up pension rights. The calculation shall consider exactly when a full career of 45 years or 14,040 full-time daily equivalents is achieved. If you continue to work after that 14,040th day, you can still build up pension rights as a selfemployed person for that period, provided that contributions are paid at least equal to the minimum contributions for a selfemployed person in the main occupation. It is therefore already possible today to build pension rights after the retirement age. However, the complete abolition of the principle of unity of careers is not included in the coalition agreement.
ParlaMint-BE_2021-05-12-definitief-55-commissie-ic474x.u24	Minister, 17,300 self-employed people do not benefit from a pension, but continue to work after their retirement age. That is a large number, especially since a large proportion of these people continue to contribute to the social security of self-employed people, without building up too many rights. I'm glad there are a number of possibilities. I regret, however, that the other issues I asked for are not included in the coalition agreement. That is, of course, not only your own responsibility, but that of the whole team of purple-green. In the course of the legislative term, we will make a number of proposals to change that, perhaps through Parliament.
