ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u1	Question No 54, by Mr De Pasquale 55014059C, No. 55014361C, No. 55014362C, No. 55014363C, No. 55014364C and No. Mr Boukili's 55014368C were converted into written questions.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u12	Minister, thank you for your answers. As is the case with you, this is a question that I am quite sensitive to. I am convinced that the only criminal approach that has existed for too long is largely inadequate. A preventive and multidisciplinary approach is therefore needed. I am pleased to know that the discussions are under way, in consultation with Justice, the Regions and the Communities, with the aim of developing an approach to prevention and risk reduction, as well as the health approach with regard to narcotic drugs, but also an approach in terms of repression – which is sometimes necessary – within a holistic framework taking into account all the elements. Like you, I'm interested in narcotics. Indeed, there are many things to be heard in this area. As you said on the occasion of your answer, the statistics available are either unavailable or old. It might therefore be interesting to ask BELSPO or other organisations whether it is possible to refine the statistics available to objectiveise the question of criminal policy, which is sometimes fantasized through various facts, and to see how to change the judicial strategy and the entire criminal chain from prevention to repression of this phenomenon of consumption. I am thinking here, in particular, of consumers who are involved in a crime phenomenon, who are subject to insanity and for whom, in my view, the criminal response is not the most appropriate. Further answers should be possible.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u13	Mrs Bury, you have asked for a number of figures. Here's what I'm going to sum up. Administrative arrests were not made. There were two judicial arrests. An adult was made available to the court and was subpoenaed to appear before the court in the short term. A very young 13-year-old minor, who was deprived of his freedom to be heard, was then released because images still had to be exploited and because at this stage his involvement was unclear. No offenders were placed in remand or released under conditions. The adult has Belgian nationality, the minor has Moroccan nationality. The police weren't set up. No corona violations were detected. For the time being, one person was subpoenaed directly by means of a summons by police report. You also ask what measures I will take. Now, you know my opinion: violence against police forces cannot and must not be tolerated and must not go unpunished. A few weeks after my appointment as Minister of Justice, I, together with the College of Attorneys General, reviewed the national circular on violence against members of the police forces so that suspects can no longer go unpunished. The case you raised in your question therefore proves that that amended directive is also being applied, since the adult suspect in custody has been put at the disposal of the King's Attorney and is the subject of a rapid judicial procedure before the courts, so the sentence will follow if the blame is proven. What means do I provide for this? As with other specific cases, including the problems of the Peterbospark in Anderlecht or the Matongewijk in Ixelles, the Brussels parish and the police areas are working on a local approach, district by district, in order to deal more effectively with specific crime in each district. Police and Justice must assume their responsibilities in this respect through a prompt response to such facts. But let us be clear, Justice and the police alone cannot solve this problem in its entirety, of course. Finally, you also had questions about the staff that we are going to use extra. To this end, I refer to my colleague, the Minister for the Interior, who is responsible for police personnel.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u14	Thank you, Minister, for your reply. You're saying that the letter of conversion and the right to speed are working. In relation to the facts, I find the number of arrests particularly poor. The problems do not arise in just one day. In the Versailles district, for example, the problems persist. In some places people are afraid to get out. The finger really needs to be held on the wrist. It is therefore regrettable that only one person should be detained, that only one person should be subject to swift justice. You always say with the best of intentions, I know, that the resources are coming. I also know that you have no tolerance for violence. But if you say that the justice system and the police alone will not provide the solution, then I think that is a peculiar argument. Then who did? I believe that they form the basis and that the police and the judiciary can work together to find a solution so that violence is not tolerated. Yesterday we discussed the right to speed, with all the prison sentences that will be carried out. But justice and police will have to find a solution. We will keep the finger on the wrist so that this happens.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u15	Mrs Bury, Mrs Rohonyi is unreachable, so you may ask your question.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u16	Madam President, Mrs Bury, as such, aid is not within my competence, as long as the facts have not been disclosed to the police or the police. This does not alter the fact that intra-family violence is of course close to my heart and that justice is a loyal partner and often also the initiator of a chain-oriented approach to this issue. Many projects and initiatives have been launched since the outbreak of the pandemic. The most important thing is undoubtedly the federal action plan to combat gender-domestic violence after the second wave of COVID-19. This is mainly the responsibility of my colleague, the Secretary of State for Equal Opportunities. I can already say that with regard to urgent measures relating to the covid pandemic, and in view of the common desire to provide a concrete and rapid response to women who are victims of violence, the Inter-Ministerial Conference on Women's Rights has taken many decisions in the areas of prevention, protection of victims and prosecution of offenders. In order to develop the measures, I would refer you to the answer to Mr Matz's oral question on intra-family violence during the lockdown. The development of a chain-oriented approach to familial violence and post-Sexual Violence Care Centres to help victims of violence can also be highlighted. In Flanders there are the Family Justice Centers. In the framework of the Flemish Action Plan to Combat Sexual Violence 2020-2024, scientific research is currently exploring the possibilities to further invest in an intersectoral and systemic approach to intra-family violence. Starting from the existing chain approach systems of intra-family violence and the Family Justice Centers, one looks at whether and how we can evolve into inter-sectoral, multidisciplinary, directly accessible and area-covering centres for intra-family violence. In this way, it is clear where to go for each family in a situation of intra-family violence. This investigation involves all interested parties, so that a supported result can be achieved. Pending this roll-out, the already existing chain approach will be made more territorial. In Flanders, EUR 9 million is allocated to the development of intra-family violence centres. These matters are the responsibility of the Communities and the Regions, which will report on the evolution of the situation in the context of the Inter-Ministerial Conference. There are many other projects, such as pilot projects to promote the recording of complaints at the police station by specialised police officers, specialized intervention teams in this area and the setting up of partnerships with emergency services, so that the specialised police officer goes to the victim to do the interview instead of the other way around. The Judicial Training Institute (IFJ) is fully engaged in the preparation of the organization of the compulsory training on sexual and domestic violence which was introduced by the Act of 31 July 2020. In accordance with international recommendations, including the Istanbul Convention, the Institute worked with a large number of experts from, inter alia, relevant non-governmental organizations and civil society active in combating such violence to develop the programme of multidisciplinary training. The Institute for Judicial Training is indeed in the process of preparing for compulsory training. At present the training programme is ready and the IGO is about to establish the training schedule. This formation is intended to start immediately after the Easter holiday. Several sessions will be planned, the dates of which will be communicated at the same time, so that all the magistrates concerned can follow this training within the legal deadlines. It should be borne in mind that about 1,300 magistrates have to undergo thorough training and about 2,000 magistrates have to undergo basic training. Given the current circumstances in covid times, the sessions will be given in the form of webinars. I come to Mrs Rohonyi's second question. The development of the Family Justice Centers is one of the initiatives the government is working on to help victims of violence, as well as the development of the chain approach to sexual violence in the family context and sexual violence centres. In Wallonia, unlike Flanders, it is not the model of a specific structure of a Family Justice Center that has been chosen, but the model of networked consultation spaces integrating psycho-medical and social services, the police, the prosecutor's office, specialized services for the care of victims and perpetrators, as well as those specialized in the care of minors. The project under development in Namur is named Espace VIF. It is expected to be completed in December 2021. However, given the health context, this period could be extended. The various stakeholders working on this project hope to be able to present it publicly in June this year. Meetings are held in various Walloon cities on this subject. The establishment of a Family Justice Center or other centre with the same aims is currently being considered, particularly in Liège. However, these matters fall within the competence of the Communities and the Regions, which will have to report on developments at the Interministerial Conference on Women's Rights. Furthermore, I was surprised by Mrs Bury's question as to whether I intended to set up specialised chambers in family courts. I do not know where she gets the information that I would intend to set up specialised chambers in that sense. The establishment of such chambers with judges specialising in criminal law which also deal with civil matters is far from self-evident, as it concerns different jurisdictions. It is certainly first and foremost appropriate to await the evaluation of the family courts, in accordance with Article 273 of the Law of 30 June 2013, before amending their organisation. The priority approach to intra-family violence by the public prosecutors is already set out in several of the public prosecutors' directives. I refer to COL 3, COL 4, COL 16, COL 18, COL 4 of 2017 and COL 6 of 2017. A new directive on the audiovisual hearing of victims and witnesses of violence is currently being finalised. Early this year, in January, COL 15 introduced a risk assessment tool for police and law enforcement in the event of domestic violence. Last year's COL 20 provides for a revisit by the police after reporting partner violence during the corona crisis. We also want to implement the recommendations made by the Supreme Court of Justice in its report on a better approach to sexual violence. For example, we want to provide for an automatic intervention of the Victim's Home in sexual crimes. In the case of files in which that service has been appointed, it shall be automatically informed of new elements in the file. In this way, Victim's reception can proactively contact the victims. We're introducing a risk assessment, which means that certain files will be subpoenaed in court as a matter of priority. The pilot project in Ghent is an example of this. When the case comes to court, we take the victims, before the hearing begins, separately. In each court a separate room will be provided, so that the victims do not have to wait together with the suspect. Sessions shall take place at a fixed hour. That narrows the waiting time for the victims. For minor victims, we provide automatic second-line assistance by a specialised youth attorney. Finally, we also provide for a proper transfer of files from first instance to appeal, so that those files are given priority in appeals. Madam President, ladies and gentlemen, I think I have answered the various questions asked to me.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u17	Thank you, Minister, for the very comprehensive answer. The way in which you follow up on the problem is a great achievement. We will continue to follow the dossier. Another survey is carried out to determine whether the figures are stagnant, rising or falling. Indeed, we must be vigilant about the figures; I see that you are doing the same. I hope that something really positive comes out of your measures. Furthermore, in the context of my question on specialised family courts, I refer to the motion for a resolution, with a comparison with neighbouring countries, which is discussed in the Committee on Social Emancipation. The Minister responsible at Flemish level and yourself can work with certain passages of it. For example, in Spain, France and Québec, there is also a correctional aspect to the family courts. Those specialized rooms for intra-family violence are a huge success story. The victims stay in the cold much less often. The files can also be linked, while the court is absolutely unaware of this when there are correctional aspects to cases at family courts. That point is not only to follow up, but also to do something with it. The motion for a resolution is still before us.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u18	Mrs Rohonyi, I do not know if you have heard the answer.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u19	Madam President, it is indeed difficult for me to reply properly, given the fact that I have unfortunately not heard the full response of the Minister. But I wanted to explain to him why I wanted to question him about it. Minister, you are chairing the working group on police and justice at the Interdepartmental Conference on Women's Rights. In addition, it is found that the Temporary Ban on Residence Act is insufficiently enforced or, in any case, is not applied in the same manner according to the public prosecutor's office. We can see that in Antwerp or Limburg the law is enforced, thanks to a good collaboration between the various services: police, justice, rescue service and the famous Family Justice Centers. As a result, victims are not protected in the same way according to their borough. This is something that is not right and which we pointed out in our motion for a resolution, adopted last June, which asked you precisely to consider the application of this law as a priority, by using the I+ Belgium platform but also by giving the King's prosecutor the ability to associate the temporary prohibition of residence with a prohibition of contact, not only for the persons who share the residence concerned, but also for the author who does not share or more the residence of the victim. From what I heard, the development of the Family Justice Centers remains a priority for your government. Still, there is still no calendar. Similarly, you recall that a circular has been adopted by the College of Attorneys General, which contains instructions to make more use of it. Here too, excellent thing, but we see that this circular is not always applied in the same way. I think that this is a problem that could be solved, in particular, with the well-known general training of judges on domestic violence and sexual violence, which we voted for before the summer. For the rest, I really thank you for all the work you're doing. Of course you can count on the support of Parliament, the majority as opposed.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u20	Mrs Rohonyi, as I have had the opportunity to refer to her in response to a recent question from Mrs Hugon, the work of Haren prison is progressing well, while the arrival of the detainees is scheduled for September 2022. Only then can the transfer of detainees from the three Brussels prisons begin. As I have already indicated, it is a matter of transferring more than 1,000 prisoners in several months. However, it is likely that the operation will begin with those in Forest Prison, particularly because their number is relatively small, but mainly because this building has been facing stability and health problems for years. Having said that, as we are one and a half years from the beginning of this transfer, I cannot be totally assertive, especially since the planning has not yet been finalized. As far as your second question is concerned, the opening of new institutions systematically raises the question of the extension of the penal net. But you know that this problem is much more complex than a case of opening and closing prisons. In this regard, I refer you to the ten-point plan against prison overcrowding, which I have already had the opportunity to address on several occasions. The opening of establishments is one component, but there are nine others. It is the interactions between these areas of work that will ultimately have a real impact on the prison population. In short, I am not going to be content with new openings, but I intend to act on other levers such as more effective reintegration, differentiated detention or the speedy execution of judicial decisions in order to encourage a more firm, faster and humane justice. I will conclude by stressing that such fears had already been expressed when the prisons of Marche-en-Famenne, Beveren and Leuze-en-Hainaut entered service in a few months. However, there was no subsequent increase in overpopulation. It is also premature to give a definitive answer to your third question. It is true that the prison in Saint-Gilles has undergone major renovations in recent years and that the prison in Berkendael is in good condition, unlike the prison in Forest – as I have just pointed out. These considerations will be taken into account when evaluating the Masterplan Prisons. It's going on. I will soon present it to the Council of Ministers. With regard to your last question (...) (Login interrupted)
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u21	Mr. Secretary, your connection has been disconnected. The minister's trying to log in again. There you are again, Minister. We had not yet heard the last part of your reply.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u22	Madam President, there's a problem with my Wi-Fi. I come to the fourth and final question. Whatever the future of the institutions of Forest or Saint-Gilles, however, it remains that today, and for many months to come, prisoners stay there and many people work there. It is therefore quite normal that we still have to intervene. Four interventions are planned in Forest and nine in Saint-Gilles. You will be provided with a list of these interventions, Ms. Rohonyi.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u23	Madam President, Minister, I thank you for your answers, which in the end provide no more information than when you answered my colleague Claire Hugon's question. I hear that transfers will begin from Forest Prison, since the emergency is at the level of this prison, in view of the major health problems that arise there. I did not get an answer to the question whether Berkendael prison will be partially maintained, as the mayor of Saint-Gilles recently suggested. I think this is a big problem because the government that decided to build the famous Haren prison and the successive governments had made a formal commitment that this prison would replace the three Brussels prisons and thus completely free their land. It is a matter of honouring the agreement reached on this subject, in line with the argument put forward by the various governments that the construction of the Haren prison was indispensable in view of the old-fashioned three Brussels prisons. Therefore, you cannot claim, today, that Berkendael prison does not really present problems of age and health and that, in doing so, one could imagine that part of this prison could be maintained as it was, especially since the previous governments had suggested the same thing for Namur prison which was supposed to be replaced by Marche-en-Famenne prison and which was ultimately left in the state. It can therefore be observed that prison capacity is only increasing when, as you have said, this is not the objective of the government agreement. In conclusion, let me tell you, Minister, that I am very concerned about the rights of defence in this future Haren prison. As we know, if the video-conferencing component could not be adopted in the context of your bill at the end of December last year, it is because the Council of State and the Data Protection Authority gave rather stinging opinions, particularly with regard to the lack of guarantees as to the confidentiality of hearings that could be conducted in the context of video-conferencing. I therefore hope that you will be extremely vigilant about this issue because Haren's prison is far further from the Brussels Courthouse than the three Brussels prisons it has to replace.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u24	Minister, since April 11, 2019, the minimum service in our country's prisons has been provided for by legislation. This guaranteed service, which has been in effect since the beginning of last year, is important both for the proper management of our prisons and for the rights of prisoners, and it is even essential for the safety of both staff and detainees. It is expected that an evaluation of the mechanism will be carried out one year after its implementation. Our committee was able to hear from the Central Prison Supervisory Board (CCSP) recently and I was able to question its chairman whether the guaranteed service had made it possible to improve the situation of our prisons in the event of a strike. His answer was more than mixed. Minister, how many strike movements in our prisons have taken place since the establishment of the minimum service? Do you confirm that the specific prison plan has been drawn up and is operational for each facility? Have there been any improvements? Have there been any difficulties in the implementation of the system, particularly as regards compliance with the list of staff available during the strike, a list normally drawn up by the head of the establishment? Were there situations in which additional staff were recalled in the event of a strike lasting more than two days? Did this happen without difficulty for the prison directorates? As we arrive at the evaluation period, can you tell us when it will be planned and what service will be responsible for it? Thank you.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u25	Colleague, a total of 8 national strike movements took place, including 5 24-hour and 3 48-hour movements. In total, ten local strike movements took place, including three in Leuze-en-Hainaut, one in Mons, one in Bruges, one in the central prison of Leuven and four in Saint-Gilles. In response to your second question, a model plan has been drawn up for each prison. It sets the number of persons present per 24 hours in the event of a strike. This standard is set for prison and technical staff, for management, administration and statutory or contractual nurses. This model plan has been applied since the introduction of the minimum service, in order to allow minimum activities guaranteed by the law of 23 March 2019. With regard to your third question, the assessment provided for in section 20 of the law of 23 March 2019 is being prepared within my administration. I will not prejudge the conclusions of this report by making statements on the subject at this stage. Let me turn to your fourth question. To date, no staff members have been recalled. As far as your last question is concerned, as I have just said, the assessment will take place in accordance with Article 20. It will cover the application of the standard to the personnel provided for in the model plan and the provision of services or activities the offer of which is guaranteed by law during the strike. My administration has already collected the data and is preparing the evaluation. The work is therefore under way and I will certainly return to you as soon as the document is finalized. We won't take too long to do it.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u26	Mr. Minister, thank you. It's perfectly complete as an answer. We will indeed discuss this when the evaluation report is presented to us.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u27	Madam President, I tabled a question following a press release of 14 days ago from the Flemish Minister of Justice, Mrs Demir, in which she called for the introduction of a Salduz law for victims and free legal support in an interrogation, as is the case for perpetrators. At first, she saw that useful for victims of sexual violence. This can be particularly useful for this target group. I think it is a noble objective, but of course it costs a lot of money. For my questions on this subject, I would like to refer to my written question.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u28	Madam President, in the questions I can see some interesting arguments, either in one direction or in another. We have good, open and constructive contacts with Zuhal Demir's cabinet, both at cabinet level and at my level. So we will have constructive discussions on this. The underlying ratio of Minister Demir's proposal, in particular considering how to provide optimal assistance to victims, deserves full support. In substance, I can give you the following items. It's a bit technical, but I want to be correct. A distinction must first be made between two types of legal assistance. There is first-line legal assistance within the competence of the Communities. The cost tag goes with that. There is also second-line legal assistance, which can be wholly or partly free of charge and falls under federal jurisdiction. From what I have heard, first-line assistance for victims would be that they would already be able to have an interview with a specialised lawyer in the care centres. My colleague, Mr Demir, is responsible for the concrete elaboration and discussion of this matter with all the actors involved. I can give you an answer from the federal level about the second-line legal assistance, in particular the assistance of a pro-Deo attorney during the interrogation. In addition, there is an important nuance that needs to be corrected first. Salduz legislation provides for the presence of an attorney while interrogating a suspect. International obligations do not require this to be free of charge. Salduz assistance does not necessarily mean second-line legal assistance, except in the case of a minor. Salduz should not therefore be aligned with automatic free-of-charge. If one is not eligible for legal second-line assistance, then as a suspect, one simply pays the Salduzad lawyer himself after the hearing. I would remind you that the right to an attorney's assistance by the victim during an interrogation is already possible. This was clearly stated in the discussion of the 2016 Salduz-bis legislation. Article 5a (3) of the preceding Title of the Code of Criminal Procedure provides that the injured person has the right to be assisted by a lawyer. This provision may also cover the questioning and confrontation. The injured person, the victim or the witness who himself takes the initiative to be assisted by a lawyer in an interrogation has the right to do so. If the second-line assistance of its own motion and for all the victims provided for the free performance of the lawyer in the interview of the victim, the affordability of the system would be compromised. If a person wishes to rely on the second-line legal assistance, he or she must comply with the financial access thresholds in order to qualify for a so-called pro-Deo lawyer. The granting of all or part of the second-line legal assistance is based on the criterion of insufficient financial resources. So that system also applies to the so-called Salduz interviews for suspects. Granting free of charge on the basis of the status of a person and no longer on the basis of means of subsistence is a serious game changer who threatens to discriminate against persons in similar situations but who do not have the status of victims. I have given you a number of arguments, but I always want to look at suggestions and better proposals, including with my Flemish colleague. Victims are at the heart of our policy.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u29	Madam President, Minister, thank you for the clarification. Legal support is always important, including for victims, but free of charge for everyone is priceless and not necessary. It is therefore important to proceed with caution and thoughtfulness, including in communication. I have noted that you are working constructively with your colleague. So to be continued.
ParlaMint-BE_2021-03-03-definitief-55-commissie-ic395x.u30	Madam President, Minister, there is therefore constructive cooperation with Minister Demir's cabinet. I would urge you to do this further, but I am sure you will. I understand your explanation, of course, but I think that between these two extremes is still a sea of opportunity that we should be able to discuss. The principle that a victim receives the same assistance in this way, but does not become the victim of an expensive account, is quite justifiable. I hope that we will be able to come back to this once you have had more consultation with the Demir cabinet.
