ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u1	Mrs de Laveleye is not yet here. Mr Ravyts, you have the floor.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u18	Madam Minister, on 31 March 2021, the OECD presented the Environmental Performance Review on Belgium, i.e. our country's environmental performance assessment, containing a number of recommendations. In this new analysis of Belgian environmental policy since 2005, the OECD concludes that Belgium is not on the way to achieving sustainable development targets and European climate objectives by 2030. The findings are consistent with the evaluations carried out by the European Commission and the European Environment Agency. Progress in areas such as air quality, waste and CO2 emissions is insufficient to achieve biodiversity loss and climate targets for 2030. The striking common thread is always the lack of a long-term vision shared and supported by all governments. Reference is made to an interfederal climate law. Madam Minister, on March 31, 2021, you were in the interview entitled "We start with a heavy climate heritage' and pleine form and were very hard hit by the Flemish policy level in particular. I quote: 'I have gradually realised that the nationalist agenda of the N-VA is clouding the debate. Its main objective is to show that it is not possible to work together in Belgium." You also indicate that there is no political will for a national climate law and that Bart De Wever is more ambitious in terms of climate than the entire Flemish government. I can go on like this. It's a very interesting interview. Firstly, Madam Minister, what is your substantive response to the recommendations in the report? It includes almost all of your policy paper, by the way. Secondly, can you also explain your very sharp remarks about the lack of cooperation with the Flemish Government on this matter?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u19	Mr President, Madam Minister, my colleague Kim Buyst has already asked you in plenary about this a few weeks ago. But I think it is appropriate for us to come back to the committee, having more time at our disposal. On Thursday 31 March 2021, the OECD published the report on the environmental performance of its member countries, including Belgium. The report estimates that Belgium will not meet its sustainability targets by 2030. In its first report since 2007, the OECD states that Belgium has made progress on greenhouse gas emissions and air and water pollution. However, they are not sufficient. The OECD adds that "Belgium's performance remains insufficient to halt biodiversity loss and to alleviate the growing pressures of demographic development, urbanization and intensive agricultural practices". Air pollution remains a health concern and the use of pesticides in agriculture is the main source of water pollution. On the basis of these findings, the OECD concludes that Belgium will not meet its 2030 sustainable development goals and makes recommendations, several of which depend on the federal level, in particular in terms of taxation, biodiversity and circular economy. I have, of course, addressed specific questions on agriculture to your colleague Mr Clarinval. This report is in addition to other criticisms of Belgian environmental policies. In view of these findings, you have announced a serious resumption by submitting to the Council of Ministers a note aimed at imposing on each minister a road map, a timetable and a regular monitoring of the reduction of CO2 emissions. No later than September 30, each minister and the administrations under his/her control, the federal public institutions and the competent public enterprises will have to submit a detailed roadmap with planning of the actions to be undertaken, the intermediate steps and the deadlines. The document will also include indicators and a methodology for monitoring the policies and measures envisaged. Minister, how will the working group that will monitor the implementation of the roadmaps and report on progress in each area be established? Regardless of the CO2 targets, how do you intend to address the other challenges highlighted in the OECD report? Among the OECD recommendations, on which are you putting a priority?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u20	Minister, on March 31, 2021, the OECD published its environmental report 2021 on Belgian policy. This review reveals some positive results in terms of respect for the climate and the environment: the reduction of greenhouse gas and air pollutant emissions, municipal waste generated, energy and materials consumed, and water abstraction over the past decade. However, a number of shortcomings are also mentioned, which support the following observation: "Belgium is not on the right track to achieve the sustainable development goals". Minister, can we get your feedback on the findings of the OECD review? The abridged version of the review presents five categories of recommendations. These include climate change and water management, environmental governance and management, green growth, biodiversity and waste, and material management and the circular economy. The adoption of an "inter-federal climate law defining long-term national targets (2030 and 2050) to achieve climate neutrality" is included in the first of these categories. Can we get your point of view on this? Can such a measure be considered? Is contact with your competent regional colleagues envisaged in this regard? In addition, the second category contains a recommendation on "increased coordination between the federal government and the Regions, as well as between the Regions, particularly in the areas of climate change, water resources management, waste management and the circular economy". Is the implementation of related initiatives being considered? Finally, on 2 April 2021, we learned via press release "the adoption by the Council of Ministers of a tool for monitoring federal policies and measures to achieve climate objectives". This press release refers to the preparation of roadmaps by ministers and their administrations. Will these be communicated to Parliament? Can we be informed of the organisational arrangements for the follow-up of the measures mentioned in the roadmaps? Thank you in advance for your answers.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u21	The OECD verdict fell the day after our previous questioning: Belgium's environmental and climate policy has been guided across the board. That verdict doesn't come as a thunderbolt in the clear sky. We have known for years that environmental and climate policy in Belgium is behind the facts. We continue to emit too many greenhouse gases. These emissions have hardly been reduced since 2014. Our country has not achieved its renewable energy targets, which forced taxpayers to pay a heavy fine. 93% of Belgians receive more fine dust than is healthy. Our water quality is severely affected by fertilizers and pesticides. The loss of biodiversity in our country is accelerating. Then we have not even discussed environmental legislation, which is regularly violated. For many of these aspects you are not directly competent and just the policy fragmentation indicates the OECD as the main cause of Belgium's environmental and climate failure. For climate and environment alone, there are four ministers in Belgium and for related areas such as energy, mobility and agriculture there are additional ministers. All these ministers must be able to work well together in order to pursue a sound environmental and climate policy. That's where the shoe just snapped. Our federal state in its present form, without a hierarchy of standards, makes sure that if one level of policy does not cooperate, the policy becomes blocked. There is no unit of command around the environment and climate in Belgium. This requires a special climate law or at least a cooperation agreement. Although you are in favour of this, you indicated in the newspaper that this may not work because of a lack of political will from Flanders. How do you intend to get out of this impasse so that Belgium can implement the environmental and climate policy that meets today's and tomorrow's needs? How do you think environmental and climate policy should take shape in Belgium?
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u22	Ladies and gentlemen, unfortunately there were few surprises in the report, both the OECD's analyses and recommendations converge with previous reports: the one on the state of the environment in the European Union or the Commission's analysis of the PNEC. Specific follow-up to OECD recommendations will be carried out within the bodies concerned by the various themes. As regards my competence, for example climate governance, my proposal on the follow-up to the implementation of the federal climate policies and measures for 2021-2030 was adopted by the Council of Ministers on 2 April 2021. The follow-up mechanism provides for a six-monthly review of the state of play within inter-kabinette working groups. This will be done on the basis of follow-up tables and annual progress reports which will in turn give rise to a public synthesis report presented by the Council of Ministers. This structural framework for planning and monitoring federal climate policy is real progress. We make it a priority to implement this framework. It will also examine whether it is necessary, appropriate and feasible to maintain structural follow-up through the adoption of a legislative framework. A federal action plan on circular economy is also being prepared, in cooperation with my colleague, Mr Dermagne, in charge of Economics. We intend to present this to the Council of Ministers in September 2021. The plan will be built around five objectives: to encourage the marketing of circular products and services, to encourage more circularity in the mode of production, to support the role of public consumers and purchasers, to provide the necessary incentives and tools and to evaluate progress. With regard to my powers, my intention is to lay down criteria on the use of certain wort claims, for example on the content of recycled materials, the content of bio-based materials, repairability or recyclability, etc. I also want to work on providing information through the value chains. This should contribute to European work on product passporting. I also intend to work on replacing certain dangerous chemicals which are currently preventing healthy recycling. With respect to the recommendations on sustainable development, the draft Federal Sustainable Development Plan was tabled in the Council of Ministers on March 19. I have submitted the preliminary draft plan simultaneously to the legislative chambers, the councils and the governments of the Communities and the Regions. The public consultation on the development of the draft plan began on 9 April and will last until 8 June. I will then submit the draft federal sustainable development plan and advice to the Council of Ministers before October 1, 2021. In order to achieve the post-2020 biodiversity targets, a national strategy for maintaining and protecting biodiversity will be developed in consultation with the Regions, integrating other existing plans into the global framework, European biodiversity and forest conservation strategies, as well as biodiversity recommendations resulting from the OECD's environmental performance review. I will ensure the signing of a CITES cooperation agreement with the Regions, which will lead in particular to strengthening the means and collaborations for its implementation. With regard to the recommendation for increased coordination, I intend to promote the proven technique of national plans where the Regions consider them equally relevant. My priorities are to put biodiversity on the public political agenda at the same level as the climate issue. The restoration of a healthy environment without chemicals, the transition to a circular economy and the democratization of the debate to reach the most vulnerable audiences. For years there has been good cooperation with the Regions, through the existing coordination structures of the CCIM. This cooperation is based on a consensus and can escalate to higher political levels, where ministers ultimately take the final decisions. Since the beginning, I have been open to dialogue and cooperation, to federalism for cooperation. However, Mr Ravyts, I have to say that the desire for cooperation must come from both sides. At present, this is sometimes not the case.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u23	Mr President, Minister, in your reply you have made a number of preliminaries to my next oral questions, but we will be able to go into some more detail later. With regard to biodiversity and circular economy, agreements should be possible with your colleague, Mr Demir, in the coming months and years. With regard to the Federal Sustainable Development Plan, our work was somewhat amputated by the cyber attack last week. That was a shame, of course. Madam Minister, with regard to this positive escalation, because in French something can also escalate positively to higher political levels, it is good that the institutional future is being reconsidered in this country. The beautiful Switzerland may not be a bad example.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u24	Thank you for your detailed answer, Minister. I note two priority points, which you also included in your policy note. We find the strong axes of the circular economy, a true consideration of biodiversity issues at the political level – which is quite recent in both Europe and Belgium – and the right to a healthy environment. It is important to address both environmental and social issues. We can only encourage you in this regard. I find it very interesting to move forward in terms of effective work capacity and monitoring. In politics, there are many ambitions: to implement them is sometimes more complicated. Bringing the whole government together with clear roadmaps and targets for Parliament and civil society and monitoring and being able at some point to support where it hurts, when necessary, seems to me to be a significant step forward in good governance and efficiency. We look forward to these roadmaps in September and will see if they will live up to what the OECD expects of us, but also to what the environment in general and our health expect of us. We will see how Parliament can support this work. Thank you for putting on an accelerator. We expect a lot of coming months.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u25	I welcome the Minister's consideration of the results of this OECD environmental review for Belgium. I take note of the suggested ways to significantly improve the results. I share the Minister's willingness to put biodiversity on an equal footing with climate issues, as well as her analysis of social issues, which must not be forgotten. Let us look at and consider the roadmaps that will be proposed to ensure that the work is done in depth. We will ensure careful and vigilant follow-up to this work.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u26	Madam Minister, thank you for the answer and for explaining your vision. For us it is quite clear, we want a unity of command in place of that scattered battle order. It is also time to consider the re-federalisation of certain environmental and climate-related powers. Pollution does not stop at the regional borders. We do not say that everything has to come back to the federal level, because for some things regional expertise is really an added value. However, there must be a clear hierarchy so that the federal level can monitor policy coherence. We need ambitious environmental planning at national level so that all regions can contribute properly and so that climate change and environmental issues can really be addressed.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u27	Madam Secretary, I'm going into federal climate governance. On 2 April 2021, the Council of Ministers undertook to establish a monitoring instrument for federal policies and measures (PAMs) to reduce greenhouse gases. These PAMs were identified in the federal contribution to the NEKP and the announced actions in the government agreement, the general policy papers and the policy statements. Each minister will therefore have to be a climate minister:au fédéral tout le monde devra se mouiller, to say it beautifully in the language of Molière. You have already answered a number of questions, but I do not think there are any calculated plans yet as to what each cabinet should do, how and against when to do so and with the assistance of which institutions. Can you confirm that these concrete roadmaps are not yet ready? They should be ready for an Inter-Kabinette working group by June and not be on the agenda of the Council of Ministers until after the summer. A number of French-speaking colleagues have already asked if you are prepared to share the progress reports, in addition to the public summary report, with the members of the committee, Madam Minister. I am therefore looking at you, Mr President. After all, you are announcing a very important policy measure, Madam Minister: a transversal approach in which each department will have to take responsibility.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u28	Mr Ravyts, given the transversal nature of climate policy and the multitude of the federal areas of competence involved in the PAMs, I think it is essential that the Council of Ministers makes a collective commitment to this effort and that each minister concerned, within his powers, makes every effort to achieve the desired objectives. The note also decided that the relevant ministers should mobilise the relevant Federal Public Services, institutions and companies under their supervision and, in consultation with those departments, draw up a detailed roadmap containing the necessary initiatives for the operationalisation of the PAMs and their follow-up. This roadmap will consist essentially of an action plan for the operationalisation of the measures, the description of intermediate steps and their deadlines and the identification of indicators and/or methodology for monitoring the PAMs, in accordance with European provisions. For the development of the methodology for monitoring, the departments concerned may rely on technical support from a consortium of consultants, with ICEDD, Gauss, VITO and TML, appointed under a public contract of the FPS Public Health, DG Environment, for the update of the impact assessment of existing federal climate policies and the development of a monitoring methodology for federal PAMs from the National Energy and Climate Plan 2021-2030. These roadmaps should be developed as a priority for the 22 identified themes in seven specific areas, namely taxation and finance, energy, mobility, economy, public buildings, civil service and public enterprises and international cooperation and two transversal domains, namely governance and adaptation. The list is not exhaustive and, if necessary, additional action may be taken on a proposal from the ministers concerned. Ministers are asked to submit their implementation plan, drawn up with their administrations, to the Council of Ministers and to report periodically on progress to decide on possible additional or improved actions. The roadmaps, which will be developed in the coming months, will be expected at the Council of Ministers by 30 September at the latest. The state of implementation will then be discussed by the policy cells every six months. Annual progress reports will be consolidated in a synthesis report, which will be made public. It seems to me that this is an excellent time to discuss the subject here in committee. I will, of course, make the progress reports available to the committee. The intention is that the government should discuss, within three months of publication, any additional decisions that might be required to fully achieve the objectives.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u29	I am quite satisfied with the comprehensive answer. It is indeed an important matter. Among other things, my colleague often discusses the federal responsibilities and the federal part of climate policy, and you could not help but launch such a measure. Thank you for explaining the roadmaps and methodologies of the monitoring. I hope that we will find a solution here. Finally, I would like to address the President-in-Office of the Council with a method of giving us some light over the next few months and years.
ParlaMint-BE_2021-05-11-definitief-55-commissie-ic470x.u30	Mr President, Minister, perhaps you have already mentioned that I am following your policy activities in a fairly detailed manner, which, moreover, falls within my mandate as a federal representative of the people. As a result of a media contribution about the criticism of certain NGOs, Belgium's international commitments to international climate finance are insufficient or not, you tweeted on 31 March: "We start with the decision to release an additional 12 million euros annually. Together with the regions, we need to consider a new ambitious Belgian objective." You will forgive me if I would like to anticipate the COP in Glasgow, where issues such as international climate finance are addressed. We know that a total of EUR 100 million will be provided at federal level in 2021, of which EUR 12 million will not come from the development cooperation pot. You're trying to put that plume on your hat in front of the NGOs. In my view, it does not correspond directly to the budgetary neutrality advocated by some Liberal colleagues during the rest of the government, but that is obviously not my concern. Of course, it's never enough for the NGOs. Every year people want EUR 500 million, and some even talk about EUR 1 billion, as a correct Belgian contribution. Madam Minister, do you have any plans, in the run-up to COP26 in Glasgow, to improve the Belgian objectives? Will you put some pressure on your regional colleagues within the National Climate Commission? Are there any conversations about that? What's the timeline?
