ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u1	Mrs. Vindevoghel is not here.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u12	Recently, the Court of Auditors submitted its report on the second adjustment of the Flemish budget for 2020 and the Flemish budget for 2021 to the Flemish Parliament, adopted on 20 November 2020. On page 32 of the report, the Court of Auditors draws the attention of the Flemish Parliament to the fact that, according to the decision of the Consultation Committee between the Federal Government and the Land governments of 2013 on the three awarded 4G licences, 20% of the revenue had to be passed on to the Communities. For the Flemish Community, this amounts to EUR 41,453.360. However, according to the Court of Auditors, seven years later, nothing has yet been paid out. In this way, the Flemish government misses a significant amount of income. I assume that is also the case for the other regions. Can the Minister clarify why that share of the proceeds from the award of the 4G licences has still not been paid to the Flemish state level and possibly to the other regions? What steps has the Minister taken to date, in consultation with colleagues from the Flemish Government, to ensure that this income is passed on? Why haven't these steps produced any results so far? What steps will the Minister, in consultation with colleagues from the Flemish Government, take to ensure that this revenue is actually paid in? What assurances will the Minister provide during the negotiations to be conducted on the distribution of revenues of the 5G spectrum auction in the Consultation Committee in order to avoid that the Flemish government will also miss out on this revenue or will only be allocated years later?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u13	I, along with you, regret that until now revenue has not been paid out. But it's not the federal government that's been failing here since 2013. There's been a delay in payout for two years, not seven years. That requires some explanation. The distribution between the Communities and the federal government of the proceeds of the 4G auction was decided in 2013, but the internal distribution between the three Communities was only finally settled in an agreement in 2019. Only then can the financial transfer be made. The problem dates from far before my time as Minister. Anyway, it is one of the first to do's on my agenda to finally fix the payment of the 4G auction revenue in 2021. Let's hope, by the way, that it won't last seven or eight years for 5G either. In the meantime, my cabinet has made the necessary contacts with the FPS Economy, responsible for the payout. The FPS Economy has confirmed that it intends to regulate this through the 2020-2021 budgetary control, as the initial expenditure budget 2020-2021 does not provide for the necessary appropriations to implement the transfer to the Communities and the Regions. As far as the timetable is concerned, I can tell you that the amendment to the budget law must be dealt with in plenary before 30 June, which also means that the payment cannot be made before that date. It remains my ambition not to delay the collapse any more. The proceeds of the 5G auction we want to block on a federal guard account third money until an agreement was reached between the federal state and the Communities. I will look again and do everything I can to ensure that the information flows optimally to the services concerned, who will then have to pay out when the agreement is reached, not only between the federal level and the Länder, but also between the Länder themselves. I hope it'll happen sooner this time.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u14	Madam Secretary, thank you for your answers. Two years is, of course, much shorter than seven years, but actually still long enough. You have indicated that you want to do this quickly, and that is very positive. I hope that we can close the file quickly and that the score will be settled. We cannot leave invoices open for years and expect citizens and businesses to pay us. We must set an example and ensure that our invoices are settled soon.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u15	Mr President, Minister, almost two months after discussing the policy paper in this committee, you will be presenting a policy paper 2.0. You announced that, too. However, it is a document without any legal value, since it is not an official document which can still be submitted to the Chamber. It cannot be put to the vote either. Perhaps you could ask for a new vote on this new policy document, if that is technically possible. There are indeed new issues in the document, for example on the establishment of a knowledge and learning centre. These new elements can, of course, also have budgetary implications. After all, there was no mention of this centre, but its creation will obviously cost money. Do you think that an adjustment of the budget is necessary? Then how are you going to submit that? Another amendment to the Policy Paper 2.0 also corresponds to one of our recommendations, namely on combating fake news, including on 5G. Your party and the purple-green majority voted against that recommendation, but now we see them in the text. Why couldn't we add that to the text at the time if it was a good idea? So why didn't we adopt this recommendation instead of voting against it, so that we can take it up again now? This seems like a media stunt to me. Hence my questions to you. What adjustments are you going to make to the budget? Can you give the Policy Paper 2.0 an official character in any way?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u16	Mr President, first of all I would like to ask you if I could use a little more time to answer this question, because this is a very important issue that is important for the whole committee. I am a little disappointed to hear that Mr Freilich calls my intentions to always take Parliament seriously a pure media stunt. Since the start of the debate on the policy paper, I have always been very transparent about my genuine will to take useful suggestions from Parliament, whether they come from the majority or from the opposition. That so far the only criticism comes from the opposition, surprises and regrets me very much, but I would like to answer your question in a constructive way. You have, as often do, raised a number of valid points. It is true that the Court regards the Policy Paper 2.0 as an informal document, because the initial version has already been adopted with a vote. In this or any other committee, there was a brief discussion on whether to vote on it or whether the vote should be postponed. At that time it was decided not to postpone it and to abide by the Rules of Procedure, since documents 2.0 have no official status. In addition to the healthy dose of criticism you have at your disposal, I hope you can also appreciate that I, even during the year, have good suggestions for fine-tuning my policy from society and will continue to pick up Parliament, regardless of whether those suggestions come from the majority or from the opposition. That does not seem to me to be prohibited, as long as I do not violate any rules. I would like to point out a few things. Firstly, the policy paper 2.0 for 2021 does not change the budget that had already been adopted. That element was therefore not entirely correct, as several items included in version 2.0 are budget neutral. This applies, among other things, to the knowledge and learning platform to which you refer. It will be possible to finance this within the budget, with the resources of the BIPT, which will be responsible for it. We have also submitted this within the reforms of the consolidated interfederal package of RRF funds. With any luck, therefore, funding will come from the European Union's recovery fund. Secondly, as Minister, I do not take part in the vote on the recommendations that have been formally tabled. However, I did not include literally voted recommendations in the Policy Paper 2.0 afterwards. There are also nuances. That's what I want to talk to you about. Specifically about the 5G story you are referring to, I make it clear that there is a difference between the genuine concerns of citizens about health and fake news. In your recommendation that distinction is not made and you consider all concerns as fake news. I do not need to explain to you why this distinction is very important for us as ecologists. Of course it's also about fake news. However, some citizens' concerns about long-term health effects are justified. We don't have all the answers yet, but the concern cannot be dismissed as fake news. I think that distinction is important enough to justify the difference between your recommendation and what I have included in the Policy Paper 2.0. You may find elements of all kinds of parties in version 2.0, as long as the debate, conducted in this committee, showed that the idea behind it was useful or sufficiently broad-based by different political groups. For the sake of completeness, I would also like to point out that a number of suggestions were included which were not submitted as official recommendations, but were addressed in the debate, including from the opposition. As an example, I would like to mention your suggestion that bpost's vacancies should always be published in Dutch, which we have taken over and which I hope you will not be grieved about. In any case, I agree with you, at least if this form of new political culture is also supported by you in the spirit and can be permanently incorporated into the system, which in future the vote can be postponed. In addition, if necessary, our review could be speeded up in order to have the completed policy paper 2.0 adopted in future as an official document in the Chamber. For me, that can be perfect, but in the current system it could not, as you know. I would like to include that suggestion, along with other of your suggestions, in my future policy and working methods, if you can agree to it. Despite the fact that I regret that you seem to question my sincere intentions, I hope to be able to make a better policy with you in the next three years and also to find a good modus operandi together to shape certain elements of the new political culture, in which I believe, and I think you too. Thank you in advance.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u17	Madam Secretary, thank you for your answer. I'm sure you have my appreciation. If my wording was a little too strong or too sharp, I should like to apologize for that. However, I do think that a minister who is under a little bit of opposition fire can sometimes also perform better. You must consider my question purely in that sense. I am also pleased that you pointed out that I have raised valid points and that you have included them. I am a fan of the new political culture as you put it. That is what I said a few weeks ago when we discussed a legislative proposal. Perhaps I will use that as an off script too, and fellow Members of the Group of the European People's Party (Christian Democrats) and European Democrats will give me the opportunity to do so, but I think it is important to take the open hand that you have. As political groups, we have different opinions, sometimes ideological ones, so we will not always find an agreement. That's good in a democracy. However, some elements discussed benefit from the general interest. As I said in plenary, politics is not a zero-sum game for me, where one party can only win if another loses, or vice versa. Occasionally, both parties can be winners if they give each other the hand. Thus, both your party and my party win and also the whole politics, which is sometimes wronged by the people. So I am very happy to hear that we may be able to move in a new direction. This morning, moreover, there was a motion for a resolution on 5G in this committee. There were four different parties that had submitted resolutions on this subject: N-VA, CD&V, MR and cdH. That is where we decided to put the four texts side by side and try to come up with a joint motion for a resolution. After all, everyone agrees that we should not miss the 5G boat. So we are certainly going to work on that and I hope that we can work constructively together in this committee.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u18	Debates of the European Parliament Mr Josy Arens converted 55012943C into a written question. Mrs Verhaert is not present for her question No. 55013123C. Mrs Lanjri and Mrs Depraetere are also not present for their combined questions Nos. 55014127C and 55014155C. Debates of the European Parliament 55014137C by Mrs Kattrin Jadin will be converted into a written question. Mr Sander Loones referred to Question No 55014307C on the agenda, but he is still on the Constitutional Commission. That brings us to Mrs Ingels' question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u19	Madam Minister, I do not often join the Committee on Economic Affairs, but I would like to raise a matter which is very close to my heart, namely the critical communication between the aid and security services. I used to be a government commissioner at ASTRID. That's why I know the file well. The Council of Ministers of the end of January 2021 adopted a number of royal decisions on radio access, including those concerning the 700 megahertz frequency band at first reading. The file had a very long run. ASTRID is still working with TETRA technology, but will switch to and use the normal telecom networks. In order to achieve this, we need stable agreements and guarantees. We worked very hard on this in 2017 and 2018. There was an initial proposal from the BIPT on the 700 megahertz. We then worked very hard with all the parties involved, from the telecom operators themselves to the cabinets of then competent Minister De Croo and Minister Jambon, with which I myself sat at the table. After several meetings, we reached a compromise that was feasible for everyone and in which the necessary guarantees were given to ASTRID. It was mainly about the importance of critical communication and everything involved, about the very important national roaming and also about the arbitration role of the BIPT, which in itself is an additional role that ASTRID has never been confronted with to date. That text was approved by the Council of Ministers in July 2018. However, when I analyse the KB on the 700 megahertz approved on 22 January 2021, I note that the initial Royal Decree prepared by BIPT prior to the discussions has been approved. I was very surprised because we had worked very intensively on this. We had an agreement. It therefore feels somewhat like lost work, and it is a very regrettable matter also in the light of the confidence that is needed in such processes of change. Were you aware of the compromise on the Royal Decree of 2018, which was approved by the Council of Ministers? Did the BIPT inform you that it was about a different text? Given the specificity of the ASTRID dossier, have you had contact with Minister Verlinden's cabinet or with the government commissioner at ASTRID? Were they involved in the inter-kabinette working groups in one way or another? What do you intend to do to remedy the situation? Are you planning a new arrangement on the Council of Ministers? I have seen in the notification that only if there are certain comments from advisory bodies can it be decided whether or not a second reading will take place. There is therefore no guarantee that there will be a second reading.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u20	Mrs Ingels, I know that you know the subject very well and that you are very concerned about it. My answer will be a bit technical, as you can see. The KB on the 700 megahertz, which was indeed approved by the Council of Ministers on 22 January and which was first on the agenda for the Consultative Committee on 12 February, brings with it changes for ASTRID compared to the previous version. In legal terms, there is a change in the legal basis to Article 51 of the Electronic Communications Act of 13 June 2005 instead of the previous Article 106. I have been told that the application of Article 51 is the most legally appropriate basis, since it deals specifically with roaming and complies with European directives. The terminology in the text of the Royal Decree was therefore extended to be consistent with the law on electronic communications. The arbitration role, assigned to the regulator BIPT, is also in line with Article 51. Indeed, the regulator cannot impose national roaming as a measure until it has been established that the commercial negotiations between operators have not led to an agreement within a reasonable period of time. Of course, the specific needs of ASTRID regarding public security and security solutions, civil security and disaster response, the famous PPDR or public protection and disaster relief were taken into account. In the absence of agreement between the 700 megahertz operator and ASTRID on specific PPDR measures, BIPT may impose the application of minimum specific PPDR measures on the 700 megahertz operator. The PPDR roaming obligation therefore remains with the operator, as in the 2018 version. In the KB concerning the 700 megahertz there is also a spectrum reservation of 8 megahertz-duplex for PPDR solutions. Those frequencies will enable ASTRID to roll out its own dedicated radio access network, in addition to or as an alternative to the radio access network for one or more public mobile operators. All government parties approved the text in the Ministerial Council, after several consultations in IKW's, which also shared the note on the whole dossier, including the history, including the history around ASTRID. No comments have been made. I was confronted with that file as a new minister. If partners from the past have no comments and find the text a very good basis, it is not for me to say that we will do so differently here, you will understand. In substance, like you, I attach great importance to the proper functioning of emergency services and I believe that we should support them in this. We have no doubt the same concern about the ultimate importance of emergency telecommunications. There have already been several discussions between ASTRID, Minister Verlinden's cabinet and my cabinet. There the best solution was sought, both legally and operationally, for example when intervention is required between ASTRID and the operators. We want to continue and facilitate frequent consultations, because we consider the importance of good cooperation between the security services and the telecoms services to be very important. If I am well informed, there is even a meeting scheduled for today in that context. The BIPT plays a very important role in this, but I can assure you that relations are also constructive at cabinet level. Finally, I would like to stress that I am convinced that the current KB on the 700 megahertz ASTRID will enable it to successfully move from TETRA to 5G and that it offers the same guarantees to ASTRID as the previous version. I am told that legal and European coherence in the current texts is even better guarded, but I leave that to the experts.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u21	Thank you, Madam Secretary, for your answers. I am fully convinced that we are pursuing the same objective. I just think there's a breach of trust that we need to recover quickly. At ASTRID, things were shot in the wrong throat. That is why I think the consultation is definitely necessary. Indeed, we have very good experiences with telecoms, security services and everything related to emergency situations. Think of Alert SMS and roaming related to the 112 app. So it doesn't have to go wrong at all. We just need to make sure that there is good communication between ASTRID and the BIPT. So I am counting on you, Mrs Verlinden, and the government commissioners to glue to the breach of confidence that has been established in this area. After all, that is your mission.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u22	Mr President, Minister, I have just come from the Constitutional Commission, where the debate was held with Minister Verlinden and at the moment with Minister Clarinval, but I thought it was important to jump in. My question is also about the institutional. Before the krokusreces, I asked Minister Verlinden how all this would go exactly and how the debate on state reform would be prepared. It's huge. There are a lot of corners and sides to it and there is a lot of expertise needed for that. I asked her how that was handled in practice and she replied to me that she had two advisors in her cabinet before that, and that is it. I also put the question to Minister Clarinval. He's got about six employees for that. Minister Verlinden said that we should look at this together, that the cabinet is not doing it alone, but that the entire government is doing it. Experts on institutional matters can be found in the various Cabinets, especially those of the Deputy Prime Ministers. Hence my question to you whether you have institutional experts in your cabinet. How many are there? Are they exclusively engaged in this theme or are they also working on other themes? How will you do that? Do you have special budgets to use external expertise if necessary?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u23	Mr President, Mr Loones, as far as my cabinet is concerned, in the General Policy Cell, the policy officer who succeeds Justice has also been specifically recruited for institutional reform. Of course, that person is not exclusively involved with that today. I'm sure you'll understand. He'll be working on that as soon as there's active business on the table. In my policy cell, my box cell, I also have an employee who is a lawyer and who works mainly on management agreements. He has expertise in institutional reform and has been asked to follow it up. Both are lawyers. So these are two people who can work on this theme, but who are not exclusively engaged in it, especially in the early stages. At the moment, I have no other expertise on institutional reforms in my cabinet. There's a budget for that, so I can expand if the need arises. If this really becomes a full-time activity and comes on the agenda very quickly, then we can hire someone to do so. We'll do the same. I do not need to explain to you that it is also a very important dossier for my political family that we want to follow very closely. Indeed, Minister Verlinden and Minister Clarinval are pulling this off, but all the Vice-Kabinets are following this with particular interest. It is indeed a matter for all of us. I would add Minister Verlinden that we should all be working on this because this is an important part of the coalition agreement. There is sufficient capacity, at least on my vice-office, to be engaged very quickly if the pace of work on that domain would increase.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u24	Madam Secretary, thank you for your reply. It's always nice to be able to look behind the curtain and get an insight into the kitchen. There is a lot going on, especially in the preparation of that famous dialogue platform. Questions have just been asked about this. Mr Calvo has already intervened on this matter. We are currently considering how these modalities should be designed. If the government and all parties take this issue seriously, it would be interesting to put additional capacity on it. That is my personal opinion on the rhythm determined by the Ministers for Institutional Reforms. In addition, you also determine the rhythm. The coalition agreement provides for the explicit possibility for all your colleagues to pursue an asymmetric policy adapted to the specific needs of the various sub-regions of this country. We were just talking about 5G. The sensitivities there are quite different in the different parts of this country. There too, an asymmetric approach could speed things up. In any case, the coalition agreement gives you that opportunity to think about it. You are responsible for economics and consumer protection, issues where perspectives differ in the North and South of the country. You will have already noticed this in the questions you are being asked in Parliament. Here's an invitation to recruit extra people. You won't hear that very often from N-VAs, but you'll hear it from me, in my personal name. You can, of course, compensate for that in other areas, you will undoubtedly be careful with taxpayers' money, but it is important.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u25	Debates of the European Parliament Mr Pillen's 55014486C was converted into a written question.
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u26	Mr President, Minister of State, there is an increasing number of complaints about online purchases. More than 22,000 complaints have already been noted since the establishment of the Economic Inspection hotline in 2016. However, the number of complaints is increasing. For example, over 7,500 complaints were registered during the first 10 months of 2020, which is about half more than during the whole year 2019. Mainly they concern complaints about fraud and non-supply of ordered goods or services. How can consumers protect themselves against online fraud and not delivering orders? What concrete steps can a consumer take to report abuses? Where can consumers go? Are financial figures available on the damage suffered by consumers? If so, can you get me those numbers? If not, why not? Are you prepared to launch an information campaign to better inform consumers about such abuses, with tips on how to arm themselves against them? Finally, what steps will you take to combat the activities of fraudulent sellers from home and abroad? In summary, how are you going to better protect consumers from online fraud?
ParlaMint-BE_2021-02-24-definitief-55-commissie-ic387x.u27	Mr President, my question is also about fraud in online purchases of goods. It is no secret that there are more and more complaints about this. Figures from the Economic Inspectorate show that last year, among other things by corona and the lockdowns, many people have made purchases on webshops. The Economic Inspectorate received no less than 7,500 complaints. There are a lot of temporary web shops that once the consumer had ordered and paid for them, disappeared again from the web. Often these are webshops that are made with Shopify, a Canadian company that facilitates online purchases because such webshops can be created easily and quickly. There are also many other websites that are known to be fraudulent, but which remain online. I am convinced that the Economic Inspectorate is really committed to preventing and resolving these practices, but unfortunately it is often mop-up for them with the tap open. That's why I have the following questions. There is a clear increase in complaints. Is there any way the Economic Inspectorate can follow that? Does she have sufficient support for this? Will there be any increase in resources for the Economic Inspectorate? Can consumers be prevented from buying on such websites by making them even more aware, informing them more and making them more resilient?
