ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u1	Debates of the European Parliament 55014569C by Mr Moyaers has been postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u12	Debates of the European Parliament Mrs Marie-Colline Leroy's 55014993C and 55015170C have been postponed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u13	Madam Minister, in order to spare my vote, I would like to refer to the interplay that has been tabled.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u14	Madam President, I agree and refer to my written question.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u15	The death of a spouse has significant financial consequences for families. In many cases, the couple has put in place long-term financial projects, and suddenly the entire financial burden of the household rests solely on the surviving spouse.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u16	Madam Minister, losing a partner at a young age is not only emotional but also financially extremely difficult. To compensate for this financial loss, young widows and widowers up to 48 years of age receive today a temporary transitional allowance of either 24 months if there are children or 12 months if there are no children. Practice shows that this transitional period is too short, which is also confirmed by various case law.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u17	Colleagues, I am not indifferent to the difficult emotional and financial situation of widows and widowers today. I have had contacts on this subject with organizations that defend their rights, such as ODOS, a Dutch-speaking organization, and the League of Families, an organization on the francophone side. They and they are very worried about the future of their children. The short period during which they may fall back on a transitional allowance is a source of stress. The time is approaching when they will have to ensure everything again. More financial support, and therefore more time to be present for children, is needed. This theme, which mainly affects women – as we all know – obviously holds my full attention. The automation of social rights is certainly important to us. If you are entitled to a certain benefit, you must at least know that you are entitled to it and, as far as possible, the benefit must be granted automatically. That's another point of interest to me. The transition allowance came into effect only in 2015 and I have not yet received an assessment of my administration. On the other hand, my office is working on appropriate reform proposals that will address both financial and availability concerns for children. This is obviously a totally legitimate concern of these – most of them – women. As far as survivors' pensions are concerned, the problem is wider than the permitted working limits. There is, among other things, a problem of dependency traps. The system also ensures the unequal treatment of ex-one earners and two earners. We strive for the right balance between the personal risk, the family risk and the collective risk. It is also time to take steps to reform the family dimensions of legal pensions. It is time to adapt our pension system to the evolution of our society. As far as the tax treatment of the transitional allowance is concerned, I refer you to the competent Minister of Finance, Mr. Van Peteghem. But of course, I've already discussed it with him. He is very aware of the issues at stake. We will work together, at the government level, to achieve consistent decisions, that is to say, to ensure that an allowance for the widow is not subject to an insufficient discount and that there are bad surprises at the end of the year. The Minister of Finance is very aware of the problem. The administrative burden for next of kin is indeed enormous. At least at the Federal Pension Service, we will do everything we can to communicate clearly. For this we call on experience experts, who are better than anyone to indicate exactly what the needs are in this particular situation.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u18	Madam Secretary, thank you for your reply. It is good to hear that you are consulting and that this important dossier is being kept under constant review. After all, the death of a child, partner or parent has an emotional impact on the next of kin. We followed the hearings well last week. It is almost immediately confronted with the administrative and financial mess with which this loss is associated. Survivors have to pay for all possible costs: paying the rent, paying a house if one does not have debt balance insurance, paying daily business, household costs, utilities. On top of that, it brings with it extra worries. We are pressing for specific measures to be taken. I hear you're in agreement with the Minister of Finance. We're delighted, but I'm asking you not to let the file snow under. We know that it is a complex dossier, which has to do with pensions, but also with other benefits. I also ask you to work on one central hotline. That would make it much easier for that target group. They've been asking for that for a long time. Thank you for the efforts you have made in this dossier.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u19	Madam Minister, I do not think we can imagine how difficult the loss of a partner is, especially if one loses it at a young age and has children. In that case, it is not only immense grief, but also the financial situation that is made more difficult by payments that are not automatic, taxes that have to be repaid afterwards, and so on. The current legislation relating to the survivor's pension and the transitional allowance was indeed introduced at the end of 2014 and started from 2015. In the meantime, we've been six years. The coalition agreement also states that we must evaluate this legislation. CD&V had insisted on doing so, especially for people with a family burden. I'm glad you're doing that. The transitional allowance, which was intended to give young people the chance to stay in work, is good in itself, but that two-year period is far too short. We have tabled a proposal to extend that period to three years and one and a half years for people without children's problems. In addition, you can do something yourself. What one can earn if one gets a survivor's pension is very limited, which sometimes means that people stop working or work less, otherwise they lose too much of their survivor's pension. That's not the point. It was never intended that a woman who lost her husband at 55 would only work for ten hours because she would lose too much if she continued to work full-time. Those amounts really need to be increased. I hope you want to do that exercise, too. I have noticed something inexplicable in the figures, namely the limits of what is to be earned. I don't see the logic behind that. Do you know that one can earn less if one has dependent children and is less than 65 years old than when one is 65 years old and has dependent children? That is a very bizarre argument: either one has children dependent or not, and there can be a difference on that basis, but age itself does not matter. I find it bizarre that someone who is 65 years old and still has a child dependent on, for example, 19 years old may earn a little more than that. I find that completely illogical, and you can do something about that yourself via a KB, which I have checked: you do not need to change the law for that. I hope you will. You already have our support for this, but I would like to start by discussing in Parliament where we are going to draw up these limits, so that everyone can have the opportunity to choose for themselves. Of course, we prefer that people continue to work. If they want to work a little less temporarily, for example because of their grief, they should be able to do so, but we are not supposed to oblige people to stay home because otherwise they will lose too much of their benefit. That's completely wrong.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u20	Minister, thank you for your answers. Two years of transitional allowances is not enough to protect his family. They are often families who need their mother and it is important not to lose sight of the fact that with a widow's status it is not easy to return to work because companies know that the person is alone with his or her children and that he or she must be able to be absent. This must be taken into account. The concern about the duration of the allowance adds to the particularly complicated emotional state of the parent a significant stress. All this gives families the feeling of being doubly penalized. I am pleased to hear you say that you are working with your firm on reform to meet these needs. With sp.a, our group will table a motion for a resolution to help these families.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u21	Madam Secretary, thank you for the answer. We all agree that a loss is always terrible. When one loses the partner at a young age and is left alone with the children, it is not only emotionally heavy but also financially heavy. You say that the assessment of the transitional allowance is in the government agreement and that you are already looking at it, especially in the cases where there are children. There have already been court rulings on specific cases of single women with children working part-time in residential care centres and thus not in full-time employment. The labour court of Liège has said several times that the limitation of the transitional allowance to two years is contrary to the Constitution. The Constitutional Court also highlighted the high risk of poverty following the 2015 reform. That's an element we should definitely take with us. On the one hand, children can be dependent, but on the other hand, there is a high risk of poverty if the benefit is suddenly stopped after two years. I would like to raise a second point on taxation. I hear you're in contact with Mr Van Peteghem. You say that we can include more corporate tax, so that people will not be surprised afterwards. As a result of the conversations I had, including the non-profit association ODOS, I had a fictional case calculated. I have taken an annual professional income of 35,000 euros and a transitional allowance of 14,000 euros. If this is combined with a professional income, the total amount of taxes will be EUR 15,000. I didn't levy a corporate tax. If you only have the transitional allowance, without cumulation, you will get 9 000 euros of taxes. Half of the transitional allowance is thus taxed when you go to work. That transitional allowance was intended as an activating measure. There is therefore a need for further consideration of these taxes. I am not opposed to maintaining the transitional allowance as an activating measure. In the past, there were people who were almost forced to work part-time or to stop completely in order to maintain their survivor's pension. I don't want to go back to that situation either. There is therefore a need for further reflection on taxation.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u22	At the end of this discussion, further motions were tabled. In conclusion to this discussion, the following motions were tabled. A motion of recommendation was tabled by Mrs Ellen Samyn and reads as follows: "The Chamber, heard the interplay of Mrs Ellen Samyn and the reply of the Minister for Pensions and Social Integration, responsible for Persons with Disabilities, Combating Poverty and Beliris, - in view of the current problems of mourning leave and, by extension, the administrative and financial malle mill in which the survivors end up; - having regard to the fact that the Minister himself stated in the weekly Dag Allen at the end of December that "the transitional allowance system is not ideal"; - having regard to the fact that such discrimination has been indicted for years by conflicts of interest; calls on the Government - provide specific support measures for this target group, - take initiatives to pay the survivor's pension net as non-taxable compensation in order to avoid high tax charges; - consider paying a transitional allowance as long as there are children studying, and if a number of conditions are met." A motion for recommendation was tabled by Ms. Ellen Samyn and reads as follows: "The Chamber, having heard the inquiry of Ms Ellen Samyn and the response of the Minister for Pensions and Social Integration, responsible for Disabled Persons, the Fight against Poverty and Beliris, - in view of the current problem of bereavement leave and by extension, the administrative and financial harassment that families face; - since the minister herself told the weekly Dag Allemaal at the end of December that the transitional allowance system was not ideal; - since associations defending the interests of the persons concerned have been denouncing this discrimination for many years; asks the government - provide for specific accompanying measures for this target group; - take initiatives to ensure that the survivor's pension is paid in net as a non-taxable allowance to avoid high taxation; - consider the payment of a transitional allowance as long as children are educated and subject to certain conditions." A simple motion was tabled by Mrs Sophie Thémont. A simple motion was tabled by Ms. Sophie Thémont. The motions will be voted on later. The meeting's over. The vote on the motions will take place at a later date. The discussion is closed.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u23	The European Disability Card is an official card that promotes the inclusion of people with disabilities in culture, sport, mobility and leisure activities. The organisers of the activities choose the advantages they give to the card. The advantages of this card are numerous. Moreover, the card is much more practical in use than a document from the FPS Social Security Office to show that one has a disability. The card is recognised in several European countries, allowing the EDC to be used cross-border.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u24	Ms Lanjri, disabled people have been able to apply for a European disability card since November 2017. Since the introduction of this card, more than 80,000 copies have been delivered in Belgium. The European project at the heart of the European Disability Card (EDC) focused primarily on four areas: sport, culture, leisure and transport. In Belgium, the card is only used for the first three domains. In our country, the project was developed on the basis of cooperation between the federal government and the Länder with the participation of five institutions responsible for granting benefits and assistance to people with disabilities. These are the FPS Social Security, the Flemish Agency for Persons with a Handicap, PHARE, AViQ and DSL. The National High Council for Persons with a Handicap and the WDF have been involved since the start. They form the basis of a European initiative. Two weeks ago, the European Commission launched a new European strategy for the rights of people with disabilities. One of the initiatives put forward by the Commission is the intention to propose the general application of the EDC to all Member States by the end of 2023, drawing on the experience of eight Member States, including Belgium. I intend to use this European ambition and the Belgian expertise to promote the use of this card, both among the people who could benefit from it and among the potential partners to expand the offer. Indeed, the EDC could also be used in other areas, such as the economy, aid and security. After we've promoted the map, we can consider the questions you're asking us in a second phase. I am convinced that this card can contribute to the inclusion of people with disabilities in our society. I will certainly be committed to this dossier. Finally, I would like to say that the improvement of the EDC website is also one of the priorities. This website should become more user-friendly.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u25	Madam Minister, I do not need to explain to you that the EDC card is an extremely important tool for people with disabilities so that they can participate in our society in all possible ways. That card is not only meant to give discounts or certain benefits to people with disabilities in the areas of sport, culture and leisure, that card can mean much more. It is a handy card, in bank card format and plasticized, which one can easily carry and, for example, quickly present to prove a disability. In France this is already being applied much more than in our country and in France it is also much more well known. That card is a good means for its owner to prove the disability, rather than showing a document or a letter from DG Han, a letter explaining the disability. Such a letter is not convenient. That is why I am calling for the second phase. It is more than just the use of sport, culture and leisure time. That card can also be used to show the handicap. We shouldn't wait for that. You say that you want to do so afterwards, after the generalization, but it is already necessary today. For example, sometimes people with autism get a fine when arrested by the police because the police people believe that the person in question does not want to cooperate. In that case, if the person concerned can show a card, that is a solution. I have asked the Minister of the Interior to make the map known to the police and she will do her best to do so. However, instead of having to ask every minister to apply that in his or her domain, I ask you, as Minister for Persons with Disabilities, to ask your fellow ministers to do all that is necessary in their domain now.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u26	That's a good idea.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u27	Voilà. If there is a need for a legislative initiative, you can do so in cooperation with your fellow ministers. You can't wait to do that. I notice that some shops already want to give priority to people in queues in one way or another. Ikea, for example, gives priority to people with disabilities. Then that card can be used to show the handicap. A handicap is not always easy to read. Sometimes it can also be a mental handicap that cannot be seen. Then people are sometimes looked at wrongly by others and so it is good to be able to present the card. I would therefore ask you to make this card public in the other areas, and not to wait for the second stage. Otherwise, they're gonna have to wait a long time. I have also noticed that some city councils do not want to cooperate. They say this card doesn't have to be because they have their own card. I've even seen it in Antwerp. Now we come back to that decision and we have realised that it would be better to do so. But they didn't want it at first. Other municipalities set a good example and they should be able to move forward. For federal powers, the card is useful, not just when it comes to security. The paramedics can also know that they are dealing with a person with disabilities. That's what the ticket's for. Then use it. Madam Minister, I urge you to urge the relevant ministers Vandenbroucke and Dermagne to promote the card and make it known. These are my very specific suggestions. Finally, the website. Madam Secretary, did you know that the latest information on the EDC map on DG Han's website dates from October 2020? That was five months ago. In five months the world will change, I say, especially with regard to the EDC map and all applications and possibilities. For example, the Roma have joined. This is not found on the website. That shouldn't take five months, not more than a week. The website should be updated weekly anyway. If municipal authorities, cultural institutions or anyone else decide to do something with the map, would they have to put it on the website immediately? That has not happened since October 2020. I don't think that's a good example.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u28	If I had inherited another administration, things would be better! As I have already told you, I will not be able to resolve in three months what the five ministers before me have failed to do. You are aware of the situation in DG People with Disabilities.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u29	The website is also very important. Access to information is very important. Madam Secretary, that is something that is easy to solve, the rest will take some time. However, the problem of the website can be solved immediately.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u30	I refer to the written version of my question.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u31	The grant of the 50 euro premium indeed depends on the status of the rightholder. At present, the measure applies only to persons entitled to a living wage, to persons with disabilities or to an IGA. That decision was still taken by the previous government. It is true that disabled people and the unemployed cannot benefit from this. As regards the principle of law, the caselaw concludes that the difference is not contrary to the principle of equality. I agree with you on the principle, but no consensus has been reached on this in the government so far. I can confirm that the premium will be awarded retroactively under the amended law on the price of love. The grant of the corona premium depends on the period of entitlement to an IVT or IT and not on the date of the decision. If the IVT or IT is granted retroactively, the same shall apply to the premium. Specifically, it means that those who are entitled to an IT by abolishing the price of love from 1 January will also receive the premium with retroactive effect from that date. That will be done in the form of backseats. Finally, I also have some good news for you about the extension of the premiums. After all, the government decided on my initiative to extend the measure until the end of June. The draft law on this subject will be discussed in the Committee on the Rules of Procedure, the Verification of Credentials and Immunities next Tuesday.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u32	Madam Minister, thank you for your reply. It is good to know that the premium will be paid retroactively. Fifty euros may not seem much, but for many people it saves a lot at the end of the month. The extension of the measure is certainly a good thing, which we will fully support.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u33	Madam Minister, I refer to the version of my question that has been tabled.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u34	Since 2015, a person who has a career of at least 45 years at the starting date of his pension is entitled to combine this pension unlimitedly with a professional activity. However, in Belgium there is a basic ban on combining social security benefits. We are talking about two replacement incomes and we can only get one replacement income. It is therefore not possible to combine a retirement pension with a sickness benefit. If you receive a replacement income during a given month, your retirement pension will be suspended for that calendar month.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u35	Thank you for your answer.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u36	Minister, the financial situation of single-parent families, made up of more than 80% by single mothers, is more precarious than that of other forms of household. Separation is a time when women are getting poorer, as it leads to lower incomes and a higher standard of living than men.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u37	Madam President, ladies and gentlemen, the cost of a household alone is the fate of the growing number of single-parent families. This is an untenable situation for the most precarious. European figures on over-indebtedness show that single-parent families have been overrepresented for more than ten years. In 80 per cent of cases, women are the heads of these families. These figures must of course challenge us. In many cases, maintenance payments that are due are never received. Single-parent families are an audience to which we must pay close attention when it comes to the fight against poverty. They will also be at the heart of the future poverty plan. Measures for access to alimony and debt mediation will have to be taken. Behind these mothers in difficulty, we must never forget the children, who suffer the heavy consequences. We must fight against the intergenerational reproduction of poverty and cannot accept that today's poor children are tomorrow's poor adults. As far as children are concerned, there is no expenditure, there are only investments. This is why the MIRIAM pilot project was launched in the CPAS in order to provide targeted and reinforced assistance to this particularly disadvantaged audience, of which debt mediation can be a part. In order to understand the extent of the situation, out of 50,819 single-parent families receiving social integration income in Belgium in 2019, 44,815 were headed by a woman, or more than 88%. Evaluations show the effectiveness of this project through the overall improvement of the situation of women, including their financial situation. Nevertheless, its effect remains limited to a few CPAS per year and to a dozen women per CPAS. I am particularly interested in this project, and we are working on a more structural and far-reaching MIRIAM 4.0 to reach more single mothers, or single-parent families, who come knocking on the door of our CPAS. I will certainly come back to you about this new project.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u38	Thank you, minister, for that answer. It is good news that this more structural MIRIAM 4.0 project is coming to light. I'm astonished by the numbers you gave me, I'm glad to have them. I will not fail to ask you a question on this subject.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u39	Last week, in the Chamber, we adopted a proposal which finally enshrined the rights of persons with disabilities in the Constitution. It is our responsibility to ensure that this article does not remain a dead letter.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u40	As you rightly point out, real work is very important for the inclusion of people with disabilities in our society. Their full inclusion will only be possible if every minister supports this idea. As part of the Federal Disability Plan, I will also meet with all ministers to encourage them to pursue a policy that is structuralally improving the daily lives of this group. The first step has already been taken because my cabinet has already consulted Minister De Sutter on the measures to be taken. With this plan, I want to take proactive action and take concrete measures. World Down Syndrome Day, on 21 March, allows us to bring these children and adults to the fore. We can loudly repeat the desire for them to be fully incorporated into society. However, as Minister responsible for Persons with disabilities, I want to remain as objective as possible and create the opportunity for all people, regardless of their disability, to find a suitable job. Therefore, reasonable adjustments, which are now enshrined in the Constitution, are made possible for all persons with disabilities who are requested to do so. As these measures cover different areas and levels, they will have to be discussed at the Inter-Ministerial Conferences. I certainly do not intend to wait a long time to deal with this issue, in consultation with my colleagues in the Länder. After all, employment is also a regional competence. So we are all involved in helping these people who can and want to work.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u41	Madam Minister, in the plenary session on Thursday 10 March 2021, we adopted a bill that Sabine de Béthune had put in the Senate. A proposal has been made together with colleagues from other groups. I had also tabled the bill in the Chamber to anchor the rights of people with disabilities in the Constitution. It was accepted last week. That's very good, but we have to make sure this doesn't remain a dead letter. When we say that people should be part of it, they should be part of it in all areas, including employment. I'm the first to say we can't make a distinction. Every disability is a disability, physical or mental, whether it is suffering from down syndrome or not. Action must be taken in the area of work for all. I ask the question specifically in relation to persons with Down syndrome, because I notice that in our country none of those persons are yet employed in a regular job, provided that the necessary adjustments are made. That is the case in our neighbouring countries. But in our country, nobody with Down's syndrome is employed in a normal function, in a normal business, in the normal economic circuit. I'm not talking about tailor-made companies. This is already happening in Germany, Sweden, the United Kingdom, the Netherlands and France, but not yet with us. I would very much like people with Down's syndrome to be able to participate in a normal economic circuit, subject to adjustments. Of course, the government, as the country's largest employer, has an exemplary role in this. It's a good thing we're doing something about that. When I look at the numbers, I see they're undersized. 1.22 % is terribly low. The private sector is doing better than the government. So that has to change and improve. I'd really like to ask for specific attention for people with Down syndrome. Like others, they also have the right to perform a job, possibly with adjustments in the workplace. I want to fight for that with you.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u42	(...) enterprises in restaurants not adapted, but normal.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u43	I do not see Mr Bayet, so his question No. 55015361C expires.
ParlaMint-BE_2021-03-17-definitief-55-commissie-ic417x.u44	I refer to my written question.
